hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
533:宾馆	宾馆	宾馆	el hotel	Nos alojamos en un hotel cerca del aeropuerto.	l'hôtel	Nous logeons dans un hôtel près de l'aéroport.	das Hotel	Wir wohnen in einem Hotel in der Nähe des Flughafens.	l'albergo; l'hotel	Alloggiamo in un hotel vicino all'aeroporto.	o hotel	Ficamos num hotel perto do aeroporto.	гостиница; отель	Мы живем в гостинице рядом с аэропортом.
534:冰	冰	冰	el hielo	Hay hielo en el vaso.	la glace	Il y a de la glace dans le verre.	das Eis	Im Becher ist Eis.	il ghiaccio	C'è del ghiaccio nel bicchiere.	o gelo	Há gelo no copo.	лед	В стакане есть лед.
537:病人	病人	病人	el paciente; el enfermo	El médico está viendo a un paciente.	le patient; le malade	Le médecin reçoit un patient.	der Patient; der Kranke	Der Arzt untersucht gerade einen Patienten.	il paziente; il malato	Il medico sta visitando un paziente.	o paciente; o doente	O médico está a atender um paciente.	пациент; больной	Врач сейчас принимает пациента.
538:不但	不但	不但	no solo	Él no solo habla chino, sino también inglés.	non seulement	Il parle non seulement chinois, mais aussi anglais.	nicht nur	Er kann nicht nur Chinesisch, sondern auch Englisch.	non solo	Lui sa parlare non solo cinese, ma anche inglese.	não só; não apenas	Ele não só fala chinês, como também inglês.	не только	Он говорит не только по-китайски, но и по-английски.
539:不见	不见	不见	no ver; desaparecer	Hace mucho que no nos vemos. ¿Cómo has estado últimamente?	ne pas voir; disparaître	Cela fait longtemps qu'on ne s'est pas vus. Comment vas-tu ces derniers temps ?	nicht sehen; verschwinden	Lange nicht gesehen. Wie geht es dir in letzter Zeit?	non vedere; sparire	È da tanto che non ci vediamo. Come stai ultimamente?	não ver; desaparecer	Há muito tempo que não nos vemos. Como tens estado ultimamente?	не видеть; пропадать	Давно не виделись. Как у тебя дела в последнее время?
540:不用	不用	不用	no hace falta; no usar	No hace falta que me esperes.	ne pas avoir besoin de; ne pas utiliser	Tu n'as pas besoin de m'attendre.	nicht nötig sein; nicht benutzen	Du musst nicht auf mich warten.	non occorre; non usare	Non devi aspettarmi.	não ser preciso; não usar	Não precisas de esperar por mim.	не нужно; не использовать	Тебе не нужно меня ждать.
541:不同	不同	不同	diferente	Tenemos ideas diferentes.	différent	Nous avons des idées différentes.	unterschiedlich; anders	Wir haben unterschiedliche Ideen.	diverso	Abbiamo idee diverse.	diferente	Temos ideias diferentes.	разный; отличающийся	У нас разные идеи.
542:不久	不久	不久	poco después; pronto	Poco después, él se mudó a Shanghái.	peu après; bientôt	Peu après, il a déménagé à Shanghai.	bald; kurz danach	Kurz danach zog er nach Shanghai.	poco dopo; presto	Poco dopo si è trasferito a Shanghai.	pouco depois; em breve	Pouco depois, ele mudou-se para Xangai.	вскоре; недолго	Вскоре после этого он переехал в Шанхай.
543:不行	不行	不行	no va; no se puede	Hoy no se puede. Tengo clase.	ça ne va pas; impossible	Aujourd'hui, ce n'est pas possible. J'ai cours.	nicht gehen; nicht möglich sein	Heute geht es nicht. Ich habe Unterricht.	non va bene; non si può	Oggi non si può. Ho lezione.	não dá; não ser possível	Hoje não dá. Tenho aula.	нельзя; не подходит	Сегодня не получится, у меня занятия.
544:才1	才1	才	solo entonces; no antes de	Él no llegó a casa hasta las diez.	seulement alors; pas avant	Il n'est rentré chez lui qu'à dix heures.	erst; erst dann	Er kam erst um zehn Uhr nach Hause.	solo allora; non prima di	È arrivato a casa solo alle dieci.	só então; apenas	Ele só chegou a casa às dez horas.	только тогда; лишь	Он пришел домой только в десять часов.
548:草地	草地	草地	el césped; la hierba	Los niños juegan sobre el césped.	la pelouse; l'herbe	Les enfants jouent sur la pelouse.	die Wiese; der Rasen	Die Kinder spielen auf dem Rasen.	il prato; l'erba	I bambini giocano sul prato.	a relva; o gramado	As crianças brincam na relva.	трава; лужайка	Дети играют на траве.
550:查	查	查	consultar; comprobar	Quiero comprobar el precio del billete.	vérifier; chercher	Je veux vérifier le prix du billet.	nachsehen; prüfen	Ich möchte den Ticketpreis prüfen.	controllare; cercare	Voglio controllare il prezzo del biglietto.	verificar; consultar	Quero verificar o preço do bilhete.	проверять; искать	Я хочу проверить цену билета.
554:常	常	常	a menudo	Él va a menudo a esa librería.	souvent	Il va souvent dans cette librairie.	oft	Er geht oft in diese Buchhandlung.	spesso	Lui va spesso in quella libreria.	com frequência; muitas vezes	Ele vai muitas vezes àquela livraria.	часто	Он часто ходит в тот книжный магазин.
555:常见	常见	常见	común; frecuente	Esta es una pregunta común.	courant; fréquent	C'est une question courante.	häufig; üblich	Das ist eine häufige Frage.	comune; frequente	Questa è una domanda comune.	comum; frequente	Esta é uma pergunta comum.	часто встречающийся; обычный	Это часто встречающийся вопрос.
556:常用	常用	常用	de uso común	El teléfono móvil es una herramienta de uso común.	couramment utilisé	Le téléphone est un outil couramment utilisé.	häufig benutzt; gebräuchlich	Das Handy ist ein häufig benutztes Werkzeug.	di uso comune	Il telefono è uno strumento di uso comune.	de uso comum	O telemóvel é uma ferramenta de uso comum.	часто используемый; распространенный	Телефон — часто используемый инструмент.
557:常常	常常	常常	a menudo; frecuentemente	A menudo leo por la noche.	souvent; fréquemment	Je lis souvent le soir.	oft; häufig	Ich lese oft am Abend.	spesso	Leggo spesso la sera.	muitas vezes; frequentemente	Leio muitas vezes à noite.	часто	Я часто читаю по вечерам.
564:出院	出院	出院	salir del hospital	Él puede salir del hospital hoy.	sortir de l'hôpital	Il peut sortir de l'hôpital aujourd'hui.	aus dem Krankenhaus entlassen werden	Er kann heute aus dem Krankenhaus entlassen werden.	uscire dall'ospedale	Oggi può uscire dall'ospedale.	ter alta do hospital	Ele pode ter alta do hospital hoje.	выписываться из больницы	Сегодня его могут выписать из больницы.
565:初中	初中	初中	la escuela secundaria básica	Mi hermana menor estudia en la escuela secundaria básica.	le collège	Ma petite sœur étudie au collège.	die Mittelschule; die Unterstufe	Meine jüngere Schwester besucht die Mittelschule.	la scuola media	Mia sorella minore studia alla scuola media.	o ensino básico; a escola preparatória	A minha irmã mais nova estuda no ensino básico.	средняя школа; младшая средняя школа	Моя младшая сестра учится в средней школе.
568:春天	春天	春天	la primavera	Ha llegado la primavera y las flores se han abierto.	le printemps	Le printemps est arrivé et les fleurs se sont ouvertes.	der Frühling	Der Frühling ist da, und die Blumen blühen.	la primavera	È arrivata la primavera e i fiori sono sbocciati.	a primavera	A primavera chegou e as flores abriram.	весна	Пришла весна, и цветы распустились.
574:大人	大人	大人	el adulto	Los adultos charlan en la sala.	l'adulte	Les adultes discutent dans le salon.	der Erwachsene	Die Erwachsenen unterhalten sich im Wohnzimmer.	l'adulto	Gli adulti chiacchierano in soggiorno.	o adulto	Os adultos conversam na sala de estar.	взрослый	Взрослые разговаривают в гостиной.
575:大小	大小	大小	el tamaño	Estas dos prendas son del mismo tamaño.	la taille	Ces deux vêtements ont la même taille.	die Größe	Diese zwei Kleidungsstücke haben die gleiche Größe.	la taglia; la dimensione	Questi due vestiti hanno la stessa taglia.	o tamanho	Estas duas peças de roupa têm o mesmo tamanho.	размер	Эти две вещи одного размера.
576:大熊猫	大熊猫	大熊猫	el panda gigante	El panda gigante está comiendo bambú.	le panda géant	Le panda géant mange du bambou.	der Große Panda	Der Große Panda frisst Bambus.	il panda gigante	Il panda gigante sta mangiando bambù.	o panda-gigante	O panda-gigante está a comer bambu.	большая панда	Большая панда ест бамбук.
577:大衣	大衣	大衣	el abrigo	Hace frío, así que me pongo un abrigo.	le manteau	Il fait froid, alors je mets un manteau.	der Mantel	Es ist kalt, also ziehe ich einen Mantel an.	il cappotto	Fa freddo, quindi mi metto il cappotto.	o sobretudo	Está frio, por isso visto um sobretudo.	пальто	Холодно, поэтому я надел пальто.
583:得	得	得	obtener; ganar	Él estudió mucho y al final obtuvo una nota alta.	obtenir; gagner	Il a étudié dur et a finalement obtenu une bonne note.	bekommen; erzielen	Er lernte fleißig und erzielte schließlich eine hohe Punktzahl.	ottenere; guadagnare	Ha studiato molto e alla fine ha ottenuto un punteggio alto.	obter; ganhar	Ele estudou muito e finalmente obteve uma pontuação alta.	получать; приобретать	Он усердно учился и наконец получил высокий балл.
584:得到	得到	得到	obtener; recibir	Recibí ayuda de mi profesor.	obtenir; recevoir	J'ai reçu l'aide de mon professeur.	bekommen; erhalten	Ich bekam Hilfe von meinem Lehrer.	ottenere; ricevere	Ho ricevuto aiuto dal mio insegnante.	obter; receber	Recebi ajuda do meu professor.	получить; добиться	Я получил помощь от учителя.
585:得分	得分	得分	anotar; puntuación	Él obtuvo la puntuación más alta en este partido.	marquer; score	Il a marqué le plus de points dans ce match.	punkten; Punktzahl	Er erzielte in diesem Spiel die meisten Punkte.	segnare; punteggio	In questa partita ha fatto il punteggio più alto.	pontuar; pontuação	Ele marcou a maior pontuação neste jogo.	набирать очки; балл	В этой игре он набрал больше всех очков.
586:的话	的话	的话	si; en ese caso	Si tienes tiempo, vayamos juntos.	si; dans ce cas	Si tu as le temps, allons-y ensemble.	wenn; in diesem Fall	Wenn du Zeit hast, gehen wir zusammen.	se; in tal caso	Se hai tempo, andiamo insieme.	se; nesse caso	Se tiveres tempo, vamos juntos.	если; в таком случае	Если у тебя есть время, пойдем вместе.
589:地	地	地	la tierra; el terreno	En este terreno se pueden cultivar verduras.	la terre; le terrain	On peut cultiver des légumes sur ce terrain.	das Land; der Boden	Auf diesem Stück Land kann man Gemüse anbauen.	la terra; il terreno	Su questo terreno si possono coltivare verdure.	a terra; o terreno	Neste terreno é possível cultivar legumes.	земля; участок земли	На этом участке земли можно выращивать овощи.
593:电	电	电	la electricidad	No hay electricidad en la habitación.	l'électricité	Il n'y a plus d'électricité dans la pièce.	der Strom; die Elektrizität	Im Zimmer gibt es keinen Strom mehr.	l'elettricità	Non c'è più elettricità nella stanza.	a eletricidade	Não há eletricidade no quarto.	электричество	В комнате нет электричества.
595:电子书	电子书	电子书	el libro electrónico	Leo libros electrónicos en el teléfono.	le livre numérique	Je lis des livres numériques sur mon téléphone.	das E-Book	Ich lese E-Books auf dem Handy.	l'e-book; il libro elettronico	Leggo e-book sul telefono.	o livro digital	Leio livros digitais no telemóvel.	электронная книга	Я читаю электронные книги на телефоне.
598:东北	东北	东北	el noreste	Mi casa está en el noreste de la ciudad.	le nord-est	Ma maison est au nord-est de la ville.	der Nordosten	Mein Zuhause liegt im Nordosten der Stadt.	il nord-est	La mia casa è nel nord-est della città.	o nordeste	A minha casa fica no nordeste da cidade.	северо-восток	Мой дом находится на северо-востоке города.
599:东方	东方	东方	el este; Oriente	El sol sale por el este.	l'est; l'Orient	Le soleil se lève à l'est.	der Osten; der Orient	Die Sonne geht im Osten auf.	l'oriente; l'est	Il sole sorge a est.	o oriente; o leste	O sol nasce a leste.	восток; Восток	Солнце встает на востоке.
600:东南	东南	东南	el sureste	La escuela está en el sureste de la ciudad.	le sud-est	L'école se trouve au sud-est de la ville.	der Südosten	Die Schule liegt im Südosten der Stadt.	il sud-est	La scuola si trova nel sud-est della città.	o sudeste	A escola fica no sudeste da cidade.	юго-восток	Школа находится на юго-востоке города.
601:冬天	冬天	冬天	el invierno	Aquí hace mucho frío en invierno.	l'hiver	Il fait très froid ici en hiver.	der Winter	Im Winter ist es hier sehr kalt.	l'inverno	Qui fa molto freddo d'inverno.	o inverno	Aqui faz muito frio no inverno.	зима	Зимой здесь очень холодно.
602:懂得	懂得	懂得	saber; entender	Él sabe cuidar a los demás.	savoir; comprendre	Il sait prendre soin des autres.	wissen; verstehen	Er weiß, wie man sich um andere kümmert.	sapere; capire	Lui sa prendersi cura degli altri.	saber; compreender	Ele sabe cuidar dos outros.	понимать; знать как	Он умеет заботиться о других.
604:动物园	动物园	动物园	el zoológico	Este fin de semana vamos al zoológico.	le zoo	Nous allons au zoo ce week-end.	der Zoo	Am Wochenende gehen wir in den Zoo.	lo zoo	Nel fine settimana andiamo allo zoo.	o jardim zoológico	Vamos ao jardim zoológico este fim de semana.	зоопарк	В выходные мы пойдем в зоопарк.
606:短裤	短裤	短裤	los pantalones cortos	A menudo llevo pantalones cortos en verano.	le short	Je porte souvent un short en été.	die kurze Hose	Im Sommer trage ich oft kurze Hosen.	i pantaloncini	D'estate porto spesso i pantaloncini.	os calções	No verão uso muitas vezes calções.	шорты	Летом я часто ношу шорты.
611:而且	而且	而且	además; y además	Esta tienda es barata y además tiene buen servicio.	et en plus; de plus	Ce magasin est bon marché et le service est bon.	und außerdem	Dieser Laden ist günstig, und der Service ist gut.	e inoltre	Questo negozio è economico e il servizio è buono.	e além disso	Esta loja é barata e o serviço é bom.	и к тому же; причем	Этот магазин недорогой, и обслуживание хорошее.
613:耳机	耳机	耳机	los auriculares	Mis auriculares están sobre la mesa.	les écouteurs; le casque	Mes écouteurs sont sur la table.	die Kopfhörer	Meine Kopfhörer liegen auf dem Tisch.	gli auricolari; le cuffie	I miei auricolari sono sul tavolo.	os auscultadores; os auriculares	Os meus auscultadores estão em cima da mesa.	наушники	Мои наушники лежат на столе.
620:方便面	方便面	方便面	los fideos instantáneos	A veces como fideos instantáneos.	les nouilles instantanées	Je mange parfois des nouilles instantanées.	die Instantnudeln	Ich esse gelegentlich Instantnudeln.	i noodles istantanei; la pasta istantanea	Ogni tanto mangio noodles istantanei.	as massas instantâneas	Às vezes como massas instantâneas.	лапша быстрого приготовления	Иногда я ем лапшу быстрого приготовления.
623:房子	房子	房子	la casa; el apartamento	Este apartamento está muy limpio.	la maison; l'appartement	Cet appartement est très propre.	das Haus; die Wohnung	Diese Wohnung ist sehr sauber.	la casa; l'appartamento	Questo appartamento è molto pulito.	a casa; o apartamento	Este apartamento está muito limpo.	дом; квартира	Эта квартира очень чистая.
625:放假	放假	放假	tener vacaciones; tener días libres	La semana que viene tenemos tres días libres.	être en vacances; avoir congé	La semaine prochaine, nous avons trois jours de congé.	Ferien haben; frei haben	Nächste Woche haben wir drei Tage frei.	essere in vacanza; avere giorni liberi	La settimana prossima abbiamo tre giorni liberi.	ter férias; ter folga	Na próxima semana temos três dias de folga.	быть на каникулах; отдыхать	На следующей неделе у нас три выходных дня.
627:放学	放学	放学	terminar las clases	Después de clase voy a la biblioteca.	finir l'école; après les cours	Après les cours, je vais à la bibliothèque.	Schulschluss haben; nach der Schule	Nach der Schule gehe ich in die Bibliothek.	finire la scuola; dopo le lezioni	Dopo la scuola vado in biblioteca.	acabar as aulas; depois da escola	Depois das aulas vou à biblioteca.	заканчиваться занятиям; после школы	После занятий я иду в библиотеку.
628:分开	分开	分开	separar	Por favor, separa estos libros.	séparer	Sépare ces livres, s'il te plaît.	trennen	Bitte trenne diese Bücher.	separare	Per favore, separa questi libri.	separar	Por favor, separa estes livros.	разделять; разложить отдельно	Пожалуйста, разложи эти книги отдельно.
629:风	风	风	el viento	Hoy hace mucho viento.	le vent	Il y a beaucoup de vent aujourd'hui.	der Wind	Heute ist der Wind sehr stark.	il vento	Oggi c'è molto vento.	o vento	Hoje está muito vento.	ветер	Сегодня сильный ветер.
630:封	封	封	clasificador para cartas	Recibí una carta.	classificateur pour les lettres	J'ai reçu une lettre.	Zählwort für Briefe	Ich habe einen Brief bekommen.	classificatore per lettere	Ho ricevuto una lettera.	classificador para cartas	Recebi uma carta.	счетное слово для писем	Я получил одно письмо.
631:夫妻	夫妻	夫妻	el matrimonio; la pareja	Esta pareja es muy amable.	le couple; les époux	Ce couple est très gentil.	das Ehepaar; das Paar	Dieses Paar ist sehr freundlich.	la coppia; i coniugi	Questa coppia è molto gentile.	o casal	Este casal é muito simpático.	супруги; семейная пара	Эта пара очень дружелюбная.
632:服务	服务	服务	servir; el servicio	Este restaurante tiene muy buen servicio.	servir; le service	Ce restaurant a un très bon service.	bedienen; der Service	Dieses Restaurant hat sehr guten Service.	servire; il servizio	Questo ristorante ha un servizio molto buono.	servir; o serviço	Este restaurante tem um serviço muito bom.	обслуживать; обслуживание	В этом ресторане очень хорошее обслуживание.
635:该1	该1	该	deber; tocar	Ya debemos irnos.	devoir; il faut	Nous devons partir maintenant.	sollen; an der Reihe sein	Wir sollten jetzt gehen.	dovere; essere il momento di	Ora dobbiamo andare.	dever; ser altura de	Devemos ir agora.	следует; пора	Нам пора идти.
638:感到	感到	感到	sentir	Me siento un poco cansado.	se sentir; ressentir	Je me sens un peu fatigué.	sich fühlen	Ich fühle mich ein bisschen müde.	sentirsi	Mi sento un po' stanco.	sentir	Sinto-me um pouco cansado.	чувствовать	Я чувствую себя немного уставшим.
643:刚刚	刚刚	刚刚	acabar de; justo ahora	Él acaba de salir del aula.	à l'instant; juste maintenant	Il vient de quitter la salle de classe.	gerade eben	Er hat gerade das Klassenzimmer verlassen.	appena; proprio ora	È appena uscito dall'aula.	acabar de; agora mesmo	Ele acabou de sair da sala de aula.	только что	Он только что вышел из класса.
644:高铁	高铁	高铁	el tren de alta velocidad	Mañana tomo el tren de alta velocidad a Pekín.	le train à grande vitesse	Demain, je prends le train à grande vitesse pour Pékin.	der Hochgeschwindigkeitszug	Morgen nehme ich den Hochgeschwindigkeitszug nach Peking.	il treno ad alta velocità	Domani prendo il treno ad alta velocità per Pechino.	o comboio de alta velocidade	Amanhã vou de comboio de alta velocidade para Pequim.	скоростной поезд	Завтра я поеду в Пекин на скоростном поезде.
649:工作日	工作日	工作日	el día laborable	Los días laborables me levanto a las siete de la mañana.	le jour ouvrable	Les jours ouvrables, je me lève à sept heures du matin.	der Arbeitstag	An Arbeitstagen stehe ich um sieben Uhr morgens auf.	il giorno lavorativo	Nei giorni lavorativi mi alzo alle sette del mattino.	o dia útil	Nos dias úteis levanto-me às sete da manhã.	рабочий день	В рабочие дни я встаю в семь утра.
651:刮	刮	刮	soplar; raspar	Fuera sopla un viento fuerte.	souffler; gratter	Un vent fort souffle dehors.	wehen; kratzen	Draußen weht ein starker Wind.	soffiare; raschiare	Fuori soffia un forte vento.	soprar; raspar	Lá fora sopra um vento forte.	дуть; скрести	На улице дует сильный ветер.
653:关机	关机	关机	apagar; apagar el dispositivo	Por favor, apaga el teléfono durante la clase.	éteindre; arrêter l'appareil	Éteins ton téléphone pendant le cours, s'il te plaît.	ausschalten	Bitte schalte dein Handy während des Unterrichts aus.	spegnere	Per favore, spegni il telefono durante la lezione.	desligar	Por favor, desliga o telemóvel durante a aula.	выключать устройство	Пожалуйста, выключай телефон во время урока.
657:关注	关注	关注	prestar atención a; seguir	Presto mucha atención a los estudios de mi hijo.	prêter attention à; suivre	Je fais très attention aux études de mon enfant.	auf etwas achten; verfolgen	Ich achte sehr auf das Lernen meines Kindes.	prestare attenzione a; seguire	Presto molta attenzione allo studio di mio figlio.	prestar atenção a; seguir	Presto muita atenção aos estudos do meu filho.	обращать внимание; следить	Я внимательно слежу за учебой ребенка.
659:过节	过节	过节	celebrar una fiesta	Durante las fiestas, la casa está muy animada.	célébrer une fête	Pendant les fêtes, la maison est très animée.	ein Fest feiern	Wenn wir ein Fest feiern, ist es zu Hause sehr lebhaft.	festeggiare una festa	Durante le feste, in casa c'è molta allegria.	celebrar uma festa	Quando celebramos uma festa, a casa fica muito animada.	праздновать праздник	Когда мы отмечаем праздник, дома очень оживленно.
661:海	海	海	el mar	Quiero viajar a la costa.	la mer	Je veux voyager au bord de la mer.	das Meer	Ich möchte ans Meer reisen.	il mare	Voglio viaggiare al mare.	o mar	Quero viajar para a beira-mar.	море	Я хочу поехать к морю.
663:好多	好多	好多	muchos; un montón	Hay muchos libros nuevos en la tienda.	beaucoup de	Il y a beaucoup de nouveaux livres dans le magasin.	viele; eine Menge	Im Laden gibt es viele neue Bücher.	molti; un sacco	Nel negozio ci sono molti libri nuovi.	muitos; imensos	Na loja há muitos livros novos.	много; множество	В магазине много новых книг.
664:好久	好久	好久	mucho tiempo	Hace mucho que no nos vemos.	longtemps	Nous ne nous sommes pas vus depuis longtemps.	lange Zeit	Wir haben uns lange nicht gesehen.	molto tempo	Non ci vediamo da molto tempo.	muito tempo	Há muito tempo que não nos vemos.	долго; давно	Мы давно не виделись.
667:河	河	河	el río	Este río es ancho.	la rivière; le fleuve	Cette rivière est large.	der Fluss	Dieser Fluss ist breit.	il fiume	Questo fiume è largo.	o rio	Este rio é largo.	река	Эта река широкая.
670:红绿灯	红绿灯	红绿灯	el semáforo	Mira el semáforo al cruzar la calle.	le feu de circulation	Regarde le feu de circulation en traversant la route.	die Ampel	Schau beim Überqueren der Straße auf die Ampel.	il semaforo	Guarda il semaforo quando attraversi la strada.	o semáforo	Olha para o semáforo ao atravessar a rua.	светофор	Переходя дорогу, смотри на светофор.
672:后年	后年	后年	el año después del próximo	Quiero ir a China a estudiar el año después del próximo.	l'année d'après; dans deux ans	Je veux aller étudier en Chine dans deux ans.	das übernächste Jahr	Übernächstes Jahr möchte ich zum Lernen nach China gehen.	l'anno dopo il prossimo	Voglio andare a studiare in Cina l'anno dopo il prossimo.	o ano depois do próximo	Quero ir estudar para a China no ano depois do próximo.	через два года; послезавтра в годах	Через два года я хочу поехать учиться в Китай.
673:后天	后天	后天	pasado mañana	Pasado mañana tenemos un examen.	après-demain	Nous avons un examen après-demain.	übermorgen	Übermorgen haben wir eine Prüfung.	dopodomani	Dopodomani abbiamo un esame.	depois de amanhã	Depois de amanhã temos um exame.	послезавтра	Послезавтра у нас экзамен.
675:花园	花园	花园	el jardín	Hay muchas flores en el jardín.	le jardin	Il y a beaucoup de fleurs dans le jardin.	der Garten	Im Garten gibt es viele Blumen.	il giardino	Nel giardino ci sono molti fiori.	o jardim	Há muitas flores no jardim.	сад	В саду много цветов.
676:画家	画家	画家	el pintor; el artista	Este pintor es muy famoso.	le peintre; l'artiste	Ce peintre est très célèbre.	der Maler; der Künstler	Dieser Maler ist sehr berühmt.	il pittore; l'artista	Questo pittore è molto famoso.	o pintor; o artista	Este pintor é muito famoso.	художник	Этот художник очень известен.
681:黄色	黄色	黄色	el color amarillo	Compré una prenda superior amarilla.	la couleur jaune	J'ai acheté un haut jaune.	die Farbe Gelb	Ich habe ein gelbes Oberteil gekauft.	il colore giallo	Ho comprato una maglia gialla.	a cor amarela	Comprei uma peça de cima amarela.	желтый цвет	Я купил желтую верхнюю одежду.
685:或	或	或	o	Puedes ir en coche o a pie.	ou	Tu peux y aller en voiture ou à pied.	oder	Du kannst mit dem Auto oder zu Fuß gehen.	o	Puoi andare in macchina o a piedi.	ou	Podes ir de carro ou a pé.	или	Можно поехать на машине или пойти пешком.
687:鸡	鸡	鸡	el pollo; la gallina	La familia de mi abuela cría unas cuantas gallinas.	le poulet; la poule	La famille de ma grand-mère élève quelques poules.	das Huhn	Die Familie meiner Großmutter hält ein paar Hühner.	il pollo; la gallina	La famiglia di mia nonna alleva alcune galline.	a galinha; o frango	A família da minha avó cria algumas galinhas.	курица	У бабушки дома держат несколько кур.
691:急	急	急	ansioso; urgente	No te pongas ansioso. El coche aún no ha llegado.	inquiet; urgent	Ne t'inquiète pas. La voiture n'est pas encore arrivée.	eilig; besorgt	Keine Eile. Das Auto ist noch nicht angekommen.	ansioso; urgente	Non avere fretta. La macchina non è ancora arrivata.	ansioso; urgente	Não fiques ansioso. O carro ainda não chegou.	спешить; тревожиться	Не спеши, машина еще не приехала.
692:记	记	记	recordar; anotar	Por favor, anota mi número de teléfono.	se souvenir; noter	Note mon numéro de téléphone, s'il te plaît.	sich merken; notieren	Bitte notiere meine Telefonnummer.	ricordare; annotare	Per favore, annota il mio numero di telefono.	lembrar; anotar	Por favor, anota o meu número de telefone.	запоминать; записывать	Пожалуйста, запиши мой номер телефона.
693:季	季	季	la estación	Hay cuatro estaciones en un año.	la saison	Il y a quatre saisons dans une année.	die Jahreszeit	Ein Jahr hat vier Jahreszeiten.	la stagione	In un anno ci sono quattro stagioni.	a estação	Há quatro estações num ano.	сезон; время года	В году четыре времени года.
695:加	加	加	añadir	Por favor, añádeme un poco de agua.	ajouter	Ajoute-moi un peu d'eau, s'il te plaît.	hinzufügen	Bitte gib mir ein wenig Wasser dazu.	aggiungere	Per favore, aggiungimi un po' d'acqua.	acrescentar	Por favor, acrescenta um pouco de água para mim.	добавлять	Пожалуйста, добавь мне немного воды.
