source_headword	LT	example_LT
assessment	įvertinimas	Įvertinimas truko dvi valandas.
associate	sieti	Žmonės sieja dūmus su pavojumi.
associated	susijęs	Stresas susijęs su liga.
association	asociacija	Asociacija remia jaunus menininkus.
assume	manyti	Manau, kad sutinki.
attempt	bandymas	Pirmasis jo bandymas nepavyko.
bacteria	bakterijos	Bakterijos gali greitai plisti.
barrier	kliūtis	Kalba buvo kliūtis.
basically	iš esmės	Iš esmės mums reikia daugiau laiko.
bear (deal with)	pakęsti	Negaliu pakęsti šio triukšmo.
beg	maldauti	Jis maldavo pagalbos.
being	būtybė	Kiekvienai būtybei reikia vandens.
bent	sulenktas	Metalinis strypas buvo sulenktas.
bet	lažintis	Lažinuosi, kad jis žino.
beyond	už	Kaimas yra už upės.
bitter	kartus	Vaistai buvo kartaus skonio.
blame	kaltinti	Nekaltink vairuotojo.
blind	aklas	Jis apako jaunas.
bond	ryšys	Pasitikėjimas sukuria stiprų ryšį.
breast	krūtis	Ji pajuto skausmą krūtyje.
brief	trumpas	Tegul tavo atsakymas būna trumpas.
broad	platus	Upė čia plati.
broadcast	transliuoti	Kalba buvo transliuojama tiesiogiai.
budget	biudžetas	Biudžetas labai ribotas.
bullet	kulka	Kulka pataikė į sieną.
bunch	krūva	Ji nešė raktų krūvą.
bush	krūmas	Paukštis pasislėpė krūme.
cable	kabelis	Kabelis pažeistas.
calculate	apskaičiuoti	Apskaičiuok bendrą kainą.
cancel	atšaukti	Jie atšaukė susitikimą.
cancer	vėžys	Vėžio gydymas gali būti sunkus.
capable	pajėgus	Ji pajėgi daugiau.
capacity	pajėgumas	Salė pasiekė pajėgumą.
capture	užfiksuoti	Nuotrauka užfiksuoja nuotaiką.
cast	aktorių sudėtis	Aktorių sudėtis pasiruošusi.
cell	ląstelė	Kiekvienoje ląstelėje yra duomenų.
chairman	pirmininkas	Pirmininkas pradėjo posėdį.
characteristic	savybė	Kantrybė yra pagrindinė jos savybė.
chief	vyriausias	Vyriausiasis inžinierius atvyko vėlai.
circumstance	aplinkybė	Apgalvok kiekvieną aplinkybę.
cite	cituoti	Prašau cituoti savo šaltinį.
citizen	pilietis	Kiekvienas pilietis gali balsuoti.
civil	taikus	Protestas išliko taikus.
classic	klasikinis	Šis filmas yra klasika.
closely	atidžiai	Atidžiai stebėk procesą.
collapse	sugriūti	Senas tiltas gali sugriūti.
combination	derinys	Derinys gerai veikė.
comfort	paguoda	Jos žodžiai suteikė paguodos.
command	įsakymas	Pareigūnas davė įsakymą.
commission	komisija	Komisija peržiūrėjo bylą.
commitment	įsipareigojimas	Darbui reikia įsipareigojimo.
committee	komitetas	Komitetas renkasi kas savaitę.
commonly	dažnai	Šis augalas dažnai auginamas.
complicated	sudėtingas	Nurodymai yra sudėtingi.
component	komponentas	Vienas komponentas sugedo.
concentration	susikaupimas	Triukšmas trikdo mano susikaupimą.
concept	sąvoka	Sąvoka yra paprasta.
concern	rūpestis	Saugumas yra mūsų pagrindinis rūpestis.
concerned	susirūpinęs	Tėvai buvo labai susirūpinę.
conduct	vykdyti	Jie vietoje vykdo tyrimą.
confidence	pasitikėjimas	Praktika stiprina pasitikėjimą.
conflict	konfliktas	Konfliktas truko metus.
confusing	klaidinantis	Žemėlapis buvo klaidinantis.
conscious	sąmoningas	Ji liko sąmoninga.
conservative	konservatyvus	Jo pažiūros yra konservatyvios.
consideration	apsvarstymas	Kaina yra svarbus apsvarstymas.
consistent	nuoseklus	Jos rezultatai yra nuoseklūs.
constant	nuolatinis	Nuolatinis triukšmas mus išvargino.
constantly	nuolat	Jis nuolat tikrina telefoną.
construct	pastatyti	Darbininkai pastatė naują tiltą.
construction	statyba	Statyba prasideda kitą mėnesį.
contemporary	šiuolaikinis	Galerija rodo šiuolaikinį meną.
contest	konkursas	Ji dalyvavo konkurse.
contract	sutartis	Atidžiai perskaityk sutartį.
contribute	prisidėti	Kiekvienas gali prisidėti idėjomis.
contribution	indėlis	Jos indėlis buvo vertingas.
convert	paversti	Jie pavertė garažą.
convinced	įsitikinęs	Esu įsitikinęs, kad jis melavo.
core	branduolys	Pasitikėjimas yra problemos branduolys.
corporate	korporacinis	Korporacinės taisyklės vėl pasikeitė.
council	taryba	Taryba patvirtino planą.
county	apskritis	Apskritis sutvarkė kelią.
courage	drąsa	Ji parodė tikrą drąsą.
crash	avarija	Avarija užblokavo eismą.
creation	kūrimas	Kūrimas truko šešis mėnesius.
creature	padaras	Padaras judėjo tyliai.
crew	įgula	Įgula paruošė laivą.
crisis	krizė	Krizė viską pakeitė.
criterion	kriterijus	Kaina yra vienas kriterijus.
critic	kritikas	Kritikas pagyrė spektaklį.
critical	kritinis	Jo būklė yra kritinė.
criticism	kritika	Ji ramiai priėmė kritiką.
criticize	kritikuoti	Nekritikuok kiekvienos klaidos.
crop	derlius	Šiemet derlius žlugo.
crucial	esminis	Laikas čia yra esminis.
cure	vaistas	Gydytojai rado vaistą.
curve	kreivė	Kelias eina kreive.
curved	lenktas	Siena yra šiek tiek lenkta.
debate	debatai	Debatai tęsėsi kelias valandas.
debt	skola	Jis sumokėjo skolą.
decent	padorus	Jie rado padorų butą.
declare	paskelbti	Jie paskelbė rezultatą.
decline	mažėti	Pardavimai toliau mažėjo.
decoration	papuošimas	Papuošimas atrodė brangus.
decrease	sumažėti	Kainos gali greitai sumažėti.
deeply	giliai	Jai labai rūpėjo teisingumas.
defeat	pralaimėjimas	Komanda priėmė pralaimėjimą.
defence	gynyba	Gynyba buvo gerai pasiruošusi.
defend	ginti	Ji gynė savo sprendimą.
delay	vėlavimas	Blogas oras sukėlė vėlavimą.
deliberate	sąmoningas	Tai buvo sąmoningas pasirinkimas.
deliberately	sąmoningai	Ji sąmoningai nepaisė įspėjimo.
delight	pradžiuginti	Naujiena visus pradžiugino.
delighted	pradžiugintas	Dovana mus pradžiugino.
delivery	pristatymas	Pristatymas atvyko anksti.
demand	reikalauti	Darbininkai reikalauja geresnio atlygio.
demonstrate	pademonstruoti	Jis pademonstravo naują programinę įrangą.
deny	neigti	Ji neigė kaltinimą.
depressed	prislėgtas	Po pralaimėjimo jis jautėsi prislėgtas.
depressing	slegiantis	Filmas buvo slegiantis.
depth	gylis	Baseinas turi didelį gylį.
deserve	nusipelnyti	Tu nusipelnei pertraukos.
desire	noras	Ji išreiškė norą keliauti.
desperate	beviltiškas	Jie paskambino beviltiškai.
detailed	išsamus	Vadovas yra labai išsamus.
detect	aptikti	Šunys gali aptikti dūmus.
dig	kasti	Vasarą jie kasa šulinius.
disc	diskas	Diskas buvo subraižytas.
discipline	disciplina	Disciplina padeda sportininkams tobulėti.
dishonest	nesąžiningas	Jo atsakymas skambėjo nesąžiningai.
dismiss	atmesti	Vadovas atmetė skundą.
display	rodyti	Ekranas rodo rezultatą.
distribute	paskirstyti	Savanoriai paskirstė švarų vandenį.
distribution	paskirstymas	Paskirstymas prasidėjo po saulėtekio.
district	rajonas	Rajonas išrinko merą.
division	skyrius	Skyrius tvarko teisines bylas.
domestic	vietinis	Vietiniai skrydžiai pigesni.
dominate	dominuoti	Viena įmonė gali dominuoti rinkoje.
downwards	žemyn	Takas leidžiasi žemyn.
dozen	tuzinas	Ji nusipirko tuziną kiaušinių.
draft	juodraštis	Prašau peržiūrėti juodraštį.
drag	tempti	Netempk stalo.
dramatic	dramatiškas	Rezultatai buvo dramatiški.
edit	redaguoti	Ji redagavo straipsnį.
edition	leidimas	Šiame leidime yra naujų nuotraukų.
efficient	efektyvus	Sistema yra efektyvi.
elderly	pagyvenęs	Pagyvenusiems gyventojams reikia paramos.
elect	išrinkti	Rinkėjai išrenka naują tarybą.
elsewhere	kitur	Pagalbos ieškojome kitur.
emerge	paaiškėti	Detalės paaiškėjo po vidurnakčio.
emotional	emocinis	Kalba buvo emocinga.
emphasis	pabrėžimas	Pabrėžk saugumą.
emphasize	pabrėžti	Mokytojai pabrėžia kasdienę praktiką.
enable	įgalinti	Programėlė įgalina greitus mokėjimus.
encounter	susidurti	Susidūrėme su intensyviu eismu.
engage	įtraukti	Kursas įtraukia suaugusius mokinius.
enhance	pagerinti	Apšvietimas gali pagerinti kambarį.
enquiry	tyrimas	Tyrimas truko tris mėnesius.
ensure	užtikrinti	Patikrink du kartus, kad užtikrintum tikslumą.
enthusiasm	entuziazmas	Jos entuziazmas padrąsino grupę.
enthusiastic	entuziazmo kupinas	Savanoriai buvo entuziazmo kupini.
entire	visas	Visas kaimas neteko elektros.
entirely	visiškai	Istorija yra visiškai melaginga.
establish	nustatyti	Jie nustatė aiškias taisykles.
estate	dvaras	Dvaras apima kelis ūkius.
estimate	įvertinti	Vertiname dešimt tūkstančių lankytojų.
ethical	etiškas	Sprendimas iškėlė etinių klausimų.
evaluate	įvertinti	Ekspertai įvertins projektą.
evil	blogas	Karalius bijojo blogų dvasių.
examination	apžiūra	Apžiūra truko vieną valandą.
excuse	pasiteisinimas	Tas pasiteisinimas skambėjo silpnai.
executive	vadovas	Vadovas patvirtino sandorį.
existence	egzistavimas	Jų egzistavimas buvo nežinomas.
expectation	lūkestis	Prieš paleidimą lūkesčiai buvo dideli.
expense	išlaidos	Kelionė yra didžiausios mūsų išlaidos.
exploration	tyrinėjimas	Kosmoso tyrinėjimas įkvepia vaikus.
expose	atskleisti	Straipsnis atskleidė korupciją.
extend	pratęsti	Jie pratęsė terminą.
extent	mastas	Mastą sužinojome vėliau.
external	išorinis	Išorinis spaudimas juos paveikė.
extraordinary	nepaprastas	Jos pasveikimas buvo nepaprastas.
facility	įstaiga	Įstaiga atsidarė birželį.
failure	nesėkmė	Nesėkmė išmokė jį kantrybės.
faith	tikėjimas	Ji išlaikė tikėjimą juo.
fault	kaltė	Avarija buvo mano kaltė.
feather	plunksna	Plunksna nukrito nuo pagalvės.
fee	mokestis	Mokestis apima pietus.
feedback	grįžtamasis ryšys	Grįžtamasis ryšys padėjo pagerinti kursą.
fellow	kolega	Kolegos darbuotojai ją palaikė.
finance	finansai	Bankas finansuos plėtrą.
finding	išvada	Išvada nustebino tyrėjus.
firm	įmonė	Įmonė pasamdė naujų darbuotojų.
flame	liepsna	Pasirodė maža liepsna.
flash	blykstelėjimas	Blykstelėjimas nušvietė dangų.
flexible	lankstus	Tvarkaraštis yra lankstus.
float	plūduriuoti	Lapai plūduriuoja ant vandens.
folding	sulankstomas	Jis nešė sulankstomą kėdę.
forgive	atleisti	Ar gali jam atleisti?
former	buvęs	Buvęs meras sugrįžo.
fortune	turtas	Jie prarado turtą.
found	įkurti	Jie įkūrė mažą labdaros organizaciją.
freedom	laisvė	Laisvė reikalauja atsakomybės.
frequency	dažnis	Dažnis padidėjo žiemą.
fully	visiškai	Viešbutis visiškai užsakytas.
fund	fondas	Fondas remia vietos mokyklas.
fundamental	pagrindinis	Pagarba čia yra pagrindinė.
funding	finansavimas	Finansavimas baigėsi pernai.
furthermore	be to	Be to, išlaidos didėja.
gain	įgyti	Studentai greitai įgyja pasitikėjimo.
gang	gauja	Gauja kontroliavo gatvę.
generate	generuoti	Saulės baterijos generuoja energiją.
genre	žanras	Komedija yra jos mėgstamiausias žanras.
govern	valdyti	Įstatymai valdo viešąsias išlaidas.
grab	griebti	Jis griebė mane už rankos.
gradually	palaipsniui	Skausmas palaipsniui dingo.
grand	didingas	Viešbutis turi didingą įėjimą.
grant	dotacija	Dotacija apmokėjo įrangą.
guarantee	garantuoti	Bilietas garantuoja įėjimą.
handle	tvarkyti	Ji ramiai sutvarkė skundą.
harm	žala	Rūkymas gali pakenkti sveikatai.
harmful	žalingas	Ta cheminė medžiaga yra žalinga.
hearing	klausa	Jos klausa pagerėjo.
heaven	dangus	Jie įsivaizdavo dangų viršuje.
heel	kulnas	Jo kulną labai skaudėjo.
hell	pragaras	Kelionė buvo pragaras.
hesitate	dvejoti	Nedvejok paklausti.
hollow	tuščiaviduris	Medis viduje buvo tuščiaviduris.
holy	šventas	Jie aplankė šventą vietą.
honour	garbė	Jie kovojo dėl garbės.
household	namų ūkis	Kiekvienas namų ūkis gavo vandens.
housing	būstas	Būsto išlaidos nuolat auga.
humorous	juokingas	Jo istorija buvo juokinga.
humour	humoras	Humoras padėjo sumažinti įtampą.
hunting	medžioklė	Medžioklė čia draudžiama.
illustrate	iliustruoti	Pavyzdžiai iliustruoja taisyklę.
illustration	iliustracija	Iliustracija rodo procesą.
imagination	vaizduotė	Vaikai laisvai naudoja vaizduotę.
impatient	nekantrus	Vairuotojai tapo nekantrūs.
imply	reikšti	Jo tyla gali reikšti sutikimą.
impose	skirti	Teismas skyrė baudą.
impress	sužavėti	Jos drąsa visus sužavėjo.
impressed	sužavėtas	Buvau sužavėtas jos darbu.
inch	colis	Pastumk jį vienu coliu į kairę.
incident	incidentas	Incidentas sukėlė susirūpinimą.
income	pajamos	Jų pajamos pamažu didėjo.
increasingly	vis labiau	Būstas vis labiau brangsta.
industrial	pramoninis	Miestas turi pramonines šaknis.
infection	infekcija	Infekcija greitai plito.
inform	informuoti	Prašau informuoti vadovą.
initial	pradinis	Pradinė kaina buvo didelė.
initially	iš pradžių	Iš pradžių niekas juo netikėjo.
initiative	iniciatyva	Ji pradėjo naują iniciatyvą.
inner	vidinis	Vidinės durys buvo užrakintos.
insight	įžvalga	Ataskaita siūlo naudingą įžvalgą.
insist	reikalauti	Jie reikalauja saugumo patikrų.
inspire	įkvėpti	Jos istorija gali įkvėpti kitus.
install	įdiegti	Jie įdiegė naują šildytuvą.
instance	atvejis	Tai yra vienas aiškus atvejis.
