source_headword	KK	example_KK
plot	сюжет	Сюжетті бақылау оңай болды.
plus1	қосу	Екі қосу үш бес болады.
poem	өлең	Ол қысқа өлең жазды.
poet	ақын	Ақын дауыстап оқыды.
poetry	поэзия	Ол қазіргі поэзияны ұнатады.
poison	у	Уды балалардан алыс ұста.
poisonous	улы	Кейбір саңырауқұлақтар улы.
policy	саясат	Компания саясатын өзгертті.
political	саяси	Сөз саяси болды.
politician	саясаткер	Саясаткер сұрақтарға жауап берді.
politics	саясат	Саясат күрделі болуы мүмкін.
port	порт	Кеме портқа кірді.
portrait	портрет	Портрет залда ілулі тұр.
possibly	мүмкін	Ол мүмкін кеш келер.
pot	құмыра	Өсімдікке үлкенірек құмыра керек.
pour	құю	Сүтті жайлап құй.
poverty	кедейлік	Көп отбасы кедейлікте өмір сүреді.
powder	ұнтақ	Ұнтақты суға қос.
powerful	қуатты	Қозғалтқыш қуатты.
practical	практикалық	Бұл практикалық шешім.
pray	дұға ету	Олар әр таң сайын дұға етеді.
prayer	дұға	Ол тыныш дұға айтты.
prediction	болжам	Оның болжамы дұрыс болды.
prepared	дайын	Мен емтиханға дайынмын.
presentation	таныстырылым	Оның таныстырылымы анық болды.
press	басу	Түймені бір рет бас.
pressure	қысым	Қысым денсаулыққа әсер етуі мүмкін.
pretend	кейіп таныту	Ұйықтап жатқандай кейіп танытпа.
previous	алдыңғы	Алдыңғы сабақ жеңілірек болды.
previously	бұрын	Біз бұрын Римде тұрдық.
priest	діни қызметкер	Діни қызметкер жай сөйледі.
primary	басты	Денсаулық біздің басты алаңымыз.
prince	ханзада	Ханзада мектепке барды.
princess	ханшайым	Ханшайым көк көйлек киді.
printing	басып шығару	Есепті басып шығару бірнеше минут алды.
prisoner	тұтқын	Тұтқын түнде қашты.
private	жеке	Бұл жеке әңгіме.
producer	өндіруші	Өндірушіге фильм ұнады.
production	өндіріс	Өндіріс келесі аптада басталады.
profession	мамандық	Мұғалімдік құрметті мамандық.
profit	пайда	Дүкен пайда тапты.
promote	насихаттау	Олар пайдалы тамақтануды насихаттайды.
proper	дұрыс	Жаяу жүруге дұрыс аяқ киім ки.
properly	дұрыс	Есікті дұрыс жап.
property	мүлік	Олар өзен жанынан мүлік сатып алды.
protest	наразылық	Наразылық бейбіт аяқталды.
proud	мақтанған	Ол ұлымен мақтанды.
prove	дәлелдеу	Жауабыңды дәлелдей аласың ба.
punish	жазалау	Мұғалім оны жазаламады.
punishment	жаза	Жаза әділ көрінді.
qualification	біліктілік	Бұл жұмысқа біліктілік керек.
qualified	білікті	Ол білікті медбике.
qualify	іріктелу	Біздің команда іріктелуі мүмкін.
queue	кезек	Біз ұзын кезекте күттік.
quit	тастау	Ол темекіні тастауды шешті.
quotation	дәйексөз	Эссе дәйексөзбен басталады.
quote	дәйексөз келтіру	Сөзіңізден дәйексөз келтіре аламын ба.
race (people)	нәсіл	Нысан нәсіл туралы сұрайды.
racing	жарыс	Ат жарысы ол жерде танымал.
range	ауқым	Дүкен кең ауқым сатады.
rare	сирек	Бұл құс сирек.
rarely	сирек	Біз сирек сыртта тамақтанамыз.
reaction	реакция	Оның реакциясы мені таңғалдырды.
reality	шындық	Шындық оның арманынан өзгеше болды.
receipt	түбіртек	Түбіртекті сақта.
recommendation	ұсыныс	Ұсыныс үшін рақмет.
reference	дереккөз	Соңына дереккөз қос.
reflect	шағылыстыру	Айна жарықты шағылыстыра алады.
regularly	тұрақты түрде	Ол тұрақты түрде жаттығады.
reject	қабылдамау	Олар ұсынысты қабылдамауы мүмкін.
relate	байланыстыру	Мен бұл әңгімемен байланыстыра аламын.
related	байланысты	Екі мәселе байланысты.
relation	байланыс	Олардың арасында байланыс бар.
relative	салыстырмалы	Жылдамдық салыстырмалы.
relaxed	босаңсыған	Кешкі астан кейін ол босаңсығандай болды.
relaxing	тыныштандыратын	Музыка тыныштандыратын еді.
release	шығару	Олар фильмді жақында шығарады.
reliable	сенімді	Бұл автобус әдетте сенімді.
religion	дін	Дін ол үшін маңызды.
religious	діни	Олар діни ғимаратқа барды.
remain	қалу	Өтінемін, сабырлы қал.
remind	еске салу	Ертең маған еске сал.
remote	алыс	Олар алыс ауылда тұрады.
rent	жалға алу	Жалға алу ақысы бүгін төленуі керек.
repeated	қайталанған	Қайталанған қателер жұмысты баяулатты.
represent	білдіру	Жұлдыз үмітті білдіреді.
require	талап ету	Бұл жұмыс дайындықты талап етеді.
reservation	брондау	Мен брондау жасадым.
resource	ресурс	Кітапхана пайдалы ресурс.
respect	құрмет	Сыныптастарыңды құрметте.
responsibility	жауапкершілік	Бала күтімі үлкен жауапкершілік.
responsible	жауапты	Ол билеттерге жауапты.
retire	зейнетке шығу	Әкем жақында зейнетке шығады.
retired	зейнеткер	Ол зейнеткер мұғалім.
revise	қайта қарау	Бүгін кешке эссеңді қайта қара.
risk	қауіп	Жаңбыр қаупі бар.
robot	робот	Робот еденді тазалады.
roll	домалату	Допты маған домалат.
romantic	романтикалық	Олар романтикалық кешкі ас ішті.
rope	арқан	Арқанды мықтап байла.
rough	кедір-бұдыр	Жол кедір-бұдыр болды.
row1	қатар	Алдыңғы қатарға отыр.
royal	патшалық	Патшалық отбасы келді.
rugby	регби	Біз теледидардан регби көрдік.
safety	қауіпсіздік	Жұмыста қауіпсіздік маңызды.
sailor	теңізші	Теңізші қайықты жөндеді.
sample	үлгі	Медбике қан үлгісін алды.
sand	құм	Құм аяқ киімімді жапты.
scan	сканерлеу	Алдымен құжатты сканерле.
scientific	ғылыми	Бұл ғылыми әдіс.
script	сценарий	Актер сценарийді оқыды.
sculpture	мүсін	Мүсін сыртта тұр.
secondary	екінші дәрежелі	Бұл екінші дәрежелі мәселе.
security	қауіпсіздік	Қауіпсіздік қызметі сөмкелерімізді тексерді.
seed	тұқым	Тұқымды топыраққа отырғыз.
sensible	ақылға қонымды	Бұл ақылға қонымды ой.
seriously	байыпты	Бұл мәселені байыпты қабылда.
servant	қызметші	Қызметші есікті ашты.
set (put)	қою	Стақанды үстелге қой.
set (group)	жинақ	Бұл жинаққа алты кесе кіреді.
setting	орта	Әңгіме қалалық ортада өтеді.
sex	жыныс	Нысан жас пен жынысты сұрайды.
sexual	жыныстық	Сынып жыныстық денсаулықты талқылады.
sharp	өткір	Бұл пышақ өткір.
shelf	сөре	Кітапты сөреге қой.
shell	қабық	Қабық бос еді.
shift	ауысым	Менің ауысымым сегізде басталады.
shine	жарқырау	Жұлдыздар түнде жарқырайды.
shiny	жылтыр	Оның аяқ киімі жылтыр.
shoot	түсіру	Фотограф көріністі түсіреді.
shy	ұялшақ	Ол бейтаныстармен ұялшақ.
sight	көрініс	Тау әдемі көрініс болды.
signal	сигнал	Сигнал әлсіз болды.
silent	үнсіз	Бөлме үнсіз қалды.
silly	ақымақ	Бұл ақымақ қате болды.
similarity	ұқсастық	Анық ұқсастық бар.
similarly	ұқсас түрде	Екінші жоспар ұқсас түрде жұмыс істейді.
simply	жай ғана	Жай ғана осы түймені бас.
sink	бату	Ауыр тастар тез батады.
slice	тілім	Мен торттың бір тілімін жедім.
slightly	аздап	Бөлме аздап жылырақ.
smart	сәнді	Ол сәнді күрте киді.
smooth	тегіс	Жол тегіс.
software	бағдарламалық жасақтама	Бағдарламалық жасақтамаға жаңарту керек.
soil	топырақ	Топырақ құрғақ.
solid	берік	Қабырға берік.
southern	оңтүстік	Олар оңтүстік жағалауда тұрады.
specifically	нақты	Мен нақты шай сұрадым.
spending	шығын	Үкімет шығыны өсті.
spicy	ащы	Бұл карри ащы.
spirit	рух	Команда үлкен рух көрсетті.
spoken	ауызша	Жаттығумен ауызша ағылшын тілі жақсарады.
spot	орын	Бұл орын мінсіз.
spread	жағу	Нанға сары май жақ.
stadium	стадион	Стадион толы болды.
staff	қызметкерлер	Қызметкерлер көмекшіл болды.
standard	стандарт	Стандарт жоғары болды.
statistic	статистика	Бұл статистика таңғалдырады.
statue	мүсін	Мүсін алаңда тұр.
stick (push into/attach)	жапсыру	Заттаңбаны қорапқа жапсыр.
stick (piece of wood)	таяқ	Ол таяқ алды.
