source_headword	ML	example_ML
hand	കൈ	നിന്റെ കൈ ഉയർത്തുക.
happen	സംഭവിക്കുക	അടുത്തത് എന്ത് സംഭവിക്കും?
happy	സന്തോഷമുള്ള	ഞാൻ ഇന്ന് സന്തോഷവാനാണ്.
hard	കടുപ്പമുള്ള; കഠിനം	ഈ കസേര കടുപ്പമുള്ളതാണ്.
hat	തൊപ്പി	എന്റെ തൊപ്പി കറുപ്പാണ്.
hate	വെറുക്കുക	എനിക്ക് തണുത്ത ചായ ഇഷ്ടമില്ല.
have	ഉണ്ടാകുക; കൈവശം വയ്ക്കുക	എന്നോട് കാർ ഉണ്ട്.
have to modal	ചെയ്യേണ്ടതുണ്ട്; വേണം	ഞാൻ പഠിക്കണം.
he	അവൻ	അവൻ എന്റെ ചേട്ടനാണ്.
head	തല	എന്റെ തല വേദനിക്കുന്നു.
health	ആരോഗ്യം	നല്ല ഭക്ഷണം ആരോഗ്യത്തിന് സഹായിക്കുന്നു.
healthy	ആരോഗ്യകരമായ	ഈ ഭക്ഷണം ആരോഗ്യകരമാണ്.
hear	കേൾക്കുക	ഞാൻ സംഗീതം കേൾക്കുന്നു.
hello	നമസ്കാരം	നമസ്കാരം, നിന്നെ കാണാൻ സന്തോഷം.
help	സഹായം; സഹായിക്കുക	ദയവായി എന്നെ സഹായിക്കുക.
her	അവളെ; അവളുടെ	ഇത് അവളുടെ ബാഗാണ്.
here	ഇവിടെ	ഇപ്പോൾ ഇവിടെ വാ.
hey	ഹേയ്	ഹേയ്, എന്നെ കാത്തിരിക്കൂ.
hi	ഹായ്	ഹായ്, നീ എങ്ങനെയുണ്ട്?
high	ഉയർന്ന; കൂടുതൽ	ഭിത്തി ഉയർന്നതാണ്.
him	അവനെ	ഞാൻ അവനെ അറിയുന്നു.
his	അവന്റെ	അവന്റെ കോട്ട് നീലയാണ്.
history	ചരിത്രം	ഞാൻ ചരിത്രം പഠിക്കുന്നു.
hobby	ഹോബി	വായന എന്റെ ഹോബിയാണ്.
holiday	അവധി	ഞങ്ങൾ ജൂലൈയിൽ അവധി എടുക്കുന്നു.
home	വീട്	ഞാൻ വീട്ടിലാണ്.
homework	ഹോംവർക്ക്	ഇന്ന് രാത്രി നിന്റെ ഹോംവർക്ക് ചെയ്യുക.
hope	പ്രതീക്ഷിക്കുക	നീ വരുമെന്ന് ഞാൻ പ്രതീക്ഷിക്കുന്നു.
horse	കുതിര	കുതിര വേഗത്തിൽ ഓടുന്നു.
hospital	ആശുപത്രി	ആശുപത്രി ഇവിടെ അടുത്താണ്.
hot	ചൂടുള്ള	സൂപ്പ് ചൂടാണ്.
hotel	ഹോട്ടൽ	ഹോട്ടൽ വൃത്തിയാണ്.
hour	മണിക്കൂർ	ഒരു മണിക്കൂർ കാത്തിരിക്കുക.
house	വീട്	ഈ വീട് പഴയതാണ്.
how	എങ്ങനെ	നീ എങ്ങനെയുണ്ട്?
however	എന്നാൽ	എന്നാൽ, ഞാൻ ഇവിടെ തുടരാം.
hundred	നൂറ്	നൂറ് പേർ വന്നു.
hungry	വിശക്കുന്ന	എനിക്ക് വിശക്കുന്നു.
husband	ഭർത്താവ്	അവളുടെ ഭർത്താവ് ഡോക്ടറാണ്.
I	ഞാൻ	എനിക്ക് ചായ ഇഷ്ടമാണ്.
ice	മഞ്ഞ്	മഞ്ഞ് തണുപ്പാണ്.
ice cream	ഐസ്ക്രീം	എനിക്ക് ഐസ്ക്രീം വേണം.
idea	ആശയം	അത് നല്ല ആശയമാണ്.
if	എങ്കിൽ	നിനക്ക് സഹായം വേണമെങ്കിൽ എന്നെ വിളിക്കുക.
imagine	കല്പിക്കുക	ഒരു ചെറിയ വീട് കല്പിക്കുക.
important	പ്രധാനപ്പെട്ട	ഈ പാഠം പ്രധാനമാണ്.
improve	മെച്ചപ്പെടുത്തുക	ഞാൻ മെച്ചപ്പെടാൻ ആഗ്രഹിക്കുന്നു.
in	ൽ; അകത്ത്	താക്കോലുകൾ എന്റെ ബാഗിൽ ഉണ്ട്.
include	ഉൾപ്പെടുത്തുക	ദയവായി നിന്റെ പേര് ഉൾപ്പെടുത്തുക.
information	വിവരം	എനിക്ക് കൂടുതൽ വിവരം വേണം.
interest	താൽപ്പര്യം	അവൾക്ക് കലയിൽ താൽപ്പര്യം ഉണ്ട്.
interested	താൽപ്പര്യമുള്ള	എനിക്ക് സംഗീതത്തിൽ താൽപ്പര്യം ഉണ്ട്.
interesting	രസകരമായ	ഈ പുസ്തകം രസകരമാണ്.
internet	ഇന്റർനെറ്റ്	ഇന്റർനെറ്റ് മന്ദമാണ്.
interview	അഭിമുഖം	എനിക്ക് ഇന്ന് അഭിമുഖം ഉണ്ട്.
into	അകത്തേക്ക്	പുസ്തകങ്ങൾ ബാഗിനകത്ത് ഇടുക.
introduce	പരിചയപ്പെടുത്തുക	ദയവായി നിന്റെ സുഹൃത്തിനെ പരിചയപ്പെടുത്തുക.
island	ദ്വീപ്	ഈ ദ്വീപ് ചെറുതാണ്.
it	അത്	അത് തണുപ്പാണ്.
its	അതിന്റെ	നായയ്ക്ക് അതിന്റെ കിടക്ക ഇഷ്ടമാണ്.
jacket	ജാക്കറ്റ്	എന്റെ ജാക്കറ്റ് പുതുതാണ്.
January	ജനുവരി	ജനുവരി ആദ്യ മാസമാണ്.
jeans	ജീൻസ്	എന്റെ ജീൻസ് നീലയാണ്.
job	ജോലി	എനിക്ക് പുതിയ ജോലി വേണം.
join	ചേരുക	ഇന്ന് നമ്മുടെ ക്ലാസിൽ ചേരുക.
journey	യാത്ര	യാത്ര നീണ്ടതാണ്.
juice	ജ്യൂസ്	ഞാൻ ഓറഞ്ച് ജ്യൂസ് കുടിക്കുന്നു.
July	ജൂലൈ	ഞങ്ങൾ ജൂലൈയിൽ യാത്ര ചെയ്യുന്നു.
June	ജൂൺ	സ്കൂൾ ജൂണിൽ അവസാനിക്കുന്നു.
just	മാത്രം; ഇപ്പോൾ	എനിക്ക് വെള്ളം മാത്രം വേണം.
keep	വെക്കുക	ഈ താക്കോൽ വെക്കുക.
key	താക്കോൽ	എന്റെ താക്കോൽ നഷ്ടപ്പെട്ടു.
kilometre	കിലോമീറ്റർ	ഒരു കിലോമീറ്റർ നടക്കുക.
kind (type)	തരം	നിനക്ക് ഏത് തരത്തിലുള്ള സംഗീതം ഇഷ്ടമാണ്?
kitchen	അടുക്കള	അടുക്കള വൃത്തിയാണ്.
know	അറിയുക	എനിക്ക് ഉത്തരം അറിയാം.
land	ഭൂമി	വിമാനം ഭൂമിയിൽ ആണ്.
language	ഭാഷ	ഇംഗ്ലീഷ് ഒരു ഭാഷയാണ്.
large	വലിയ	ഈ മുറി വലുതാണ്.
last1 (final)	അവസാന	ഇത് അവസാന പേജാണ്.
late	വൈകിയ	ബസ് വൈകിയിരിക്കുന്നു.
later	പിന്നീട്	പിന്നീട് കാണാം.
laugh	ചിരിക്കുക	ഞങ്ങൾ ഒരുമിച്ച് ചിരിക്കുന്നു.
learn	പഠിക്കുക	ഞാൻ ഇംഗ്ലീഷ് പഠിക്കുന്നു.
leave	വിട്ട് പോകുക; പോകുക	വാതിൽ തുറന്നുവെക്കുക.
left	ഇടത്	ഇവിടെ ഇടത്തേക്ക് തിരിയുക.
leg	കാൽ	എന്റെ കാൽ വേദനിക്കുന്നു.
lesson	പാഠം	പാഠം ഇപ്പോൾ തുടങ്ങുന്നു.
let	അനുവദിക്കുക	നിന്നെ സഹായിക്കാൻ എന്നെ അനുവദിക്കുക.
letter	കത്ത്; അക്ഷരം	ഞാൻ കത്ത് എഴുതുന്നു.
library	ലൈബ്രറി	ലൈബ്രറി ഒമ്പതിന് തുറക്കുന്നു.
lie1	കിടക്കുക	ദയവായി കിടക്കയിൽ കിടക്കുക.
life	ജീവിതം	നഗരജീവിതം തിരക്കേറിയതാണ്.
like (similar)	പോലെ	അത് ഒരു കളിപോലെ ആണ്.
like (find sb/sth pleasant)	ഇഷ്ടം	എനിക്ക് ഈ പാട്ട് ഇഷ്ടമാണ്.
line	വരി; രേഖ	വരിയിൽ നിൽക്കുക.
lion	സിംഹം	സിംഹം ഉറങ്ങുന്നു.
list	പട്ടിക	വാങ്ങൽ പട്ടിക ഉണ്ടാക്കുക.
listen	കേൾക്കുക	അധ്യാപകനെ കേൾക്കുക.
little	ചെറിയ; കുറച്ച്	എന്നോട് കുറച്ച് പണം ഉണ്ട്.
live1	താമസിക്കുക	ഞാൻ സ്കൂളിന് സമീപം താമസിക്കുന്നു.
local	പ്രാദേശിക	ഇത് പ്രാദേശിക കടയാണ്.
long1	നീളമുള്ള	റോഡ് നീളമുള്ളതാണ്.
look	നോക്കുക	ചിത്രം നോക്കുക.
lose	നഷ്ടപ്പെടുത്തുക	നിന്റെ ടിക്കറ്റ് നഷ്ടപ്പെടുത്തരുത്.
lot	വളരെ	എനിക്ക് വളരെ ഹോംവർക്ക് ഉണ്ട്.
love	സ്നേഹം; സ്നേഹിക്കുക	ഞാൻ എന്റെ കുടുംബത്തെ സ്നേഹിക്കുന്നു.
lunch	ഉച്ചഭക്ഷണം	ഉച്ചഭക്ഷണം തയ്യാറാണ്.
