source_headword	TA	example_TA
charity	தொண்டு நிறுவனம்	தொண்டு நிறுவனம் குழந்தைகளுக்கு உதவுகிறது.
chat	அரட்டை அடி	நாங்கள் வகுப்புக்குப் பிறகு அரட்டை அடிக்கிறோம்.
chef	சமையல்காரர்	சமையல்காரர் சூப் செய்தார்.
chemistry	வேதியியல்	வேதியியல் எனக்கு கடினமாக உள்ளது.
chip	சிப்ஸ் துண்டு	இந்த சிப்ஸ் துண்டு உப்பாக உள்ளது.
choice	தேர்வு	இந்த தேர்வு முக்கியமானது.
church	தேவாலயம்	தேவாலயம் இங்கே அருகில் உள்ளது.
cigarette	சிகரெட்	சிகரெட் உடல்நலத்திற்கு தீங்கு.
circle	வட்டம்	இங்கே ஒரு வட்டம் வரை.
classical	செவ்வியல்	எனக்கு செவ்வியல் இசை பிடிக்கும்.
clear	தெளிவான	பதில் தெளிவாக உள்ளது.
clearly	தெளிவாக	தயவுசெய்து தெளிவாக பேசு.
clever	புத்திசாலி	அவள் புத்திசாலி குழந்தை.
climate	காலநிலை	காலநிலை மாறுகிறது.
close2	அருகில்	என் பள்ளி வீட்டிற்கு அருகில் உள்ளது.
closed	மூடிய	கடை மூடியுள்ளது.
clothing	உடை	சூடான உடை பயனுள்ளதாக இருக்கும்.
cloud	மேகம்	ஒரு மேகம் சூரியனை மூடுகிறது.
coach	பயிற்சியாளர்	பயிற்சியாளர் அணிக்கு உதவினார்.
coast	கடற்கரை	நாங்கள் கடற்கரையை ஒட்டி சென்றோம்.
code	குறியீடு	குறியீட்டை இங்கே உள்ளிடு.
colleague	சக பணியாளர்	என் சக பணியாளர் எனக்கு அழைத்தார்.
collect	சேகரி	நான் பழைய அட்டைகளை சேகரிக்கிறேன்.
column	நெடுவரிசை	முதல் நெடுவரிசையை படி.
comedy	நகைச்சுவை	இந்த நகைச்சுவை வேடிக்கையாக உள்ளது.
comfortable	வசதியான	இந்த நாற்காலி வசதியாக உள்ளது.
comment	கருத்து	கீழே ஒரு கருத்தை இடு.
communicate	தொடர்பு கொள்	நாங்கள் மின்னஞ்சல் மூலம் தொடர்பு கொள்கிறோம்.
community	சமூகம்	எங்கள் சமூகம் நட்பாக உள்ளது.
compete	போட்டி இடு	அவர்கள் ஒவ்வொரு ஆண்டும் போட்டியிடுகிறார்கள்.
competition	போட்டி	போட்டி நாளை தொடங்குகிறது.
complain	புகார் செய்	மீண்டும் புகார் செய்யாதே.
completely	முழுமையாக	நான் உன்னுடன் முழுமையாக ஒப்புக்கொள்கிறேன்.
condition	நிலை	கார் நல்ல நிலையில் உள்ளது.
conference	மாநாடு	மாநாடு ஒன்பது மணிக்கு தொடங்குகிறது.
connect	இணை	தொலைபேசியை கணினியுடன் இணை.
connected	இணைந்த	இரண்டு யோசனைகளும் இணைந்துள்ளன.
consider	கருத்தில் கொள்	தயவுசெய்து என் யோசனையை கருத்தில் கொள்.
contain	கொண்டிரு	இந்த பெட்டியில் புத்தகங்கள் உள்ளன.
context	சூழல்	சூழல் உனக்கு புரிந்துகொள்ள உதவுகிறது.
continent	கண்டம்	ஒரு கண்டம் மிகவும் பெரியது.
continue	தொடர்	தயவுசெய்து படிப்பதை தொடரு.
control	கட்டுப்பாடு	வேகத்தை கவனமாக கட்டுப்படுத்து.
cooker	அடுப்பு	அடுப்பு சுத்தமாக உள்ளது.
copy	நகல்	எனக்காக ஒரு நகல் எடு.
corner	மூலை	மூலையில் உட்கார்.
correctly	சரியாக	பதிலை சரியாக எழுது.
count	எண்ணு	புத்தகங்களை எண்ணு.
couple	ஜோடி	ஜோடி சீக்கிரம் வந்தது.
cover	மூடு	கிண்ணத்தை மூடு.
crazy	பைத்தியமான	இந்த யோசனை பைத்தியமாக கேட்கிறது.
creative	படைப்பாற்றல் உள்ள	அவளிடம் படைப்பாற்றல் உள்ள யோசனை உள்ளது.
credit	கடன்	நான் கடன் அட்டையால் செலுத்தினேன்.
crime	குற்றம்	குற்றம் ஒரு கடுமையான பிரச்சினை.
criminal	குற்றவாளி	குற்றவாளி விரைவாக சென்றான்.
cross	கட	சாலையை கவனமாக கட.
crowd	கூட்டம்	ஒரு கூட்டம் வெளியே காத்திருந்தது.
crowded	நெரிசலான	ரயில் நெரிசலாக இருந்தது.
cry	அழு	இப்போது அழாதே.
cupboard	அலமாரி	கோப்பைகள் அலமாரியில் உள்ளன.
curly	சுருட்டான	அவளுக்கு சுருட்டான முடி உள்ளது.
cycle	மிதிவண்டியில் செல்	நான் பள்ளிக்கு மிதிவண்டியில் செல்கிறேன்.
daily	தினசரி	நான் செய்திகளை தினசரி படிக்கிறேன்.
danger	ஆபத்து	அடையாளம் ஆபத்தை காட்டுகிறது.
data	தரவு	தரவு பயனுள்ளதாக உள்ளது.
dead	இறந்த	செடி இறந்துவிட்டது.
deal	ஒப்பந்தம்; சலுகை	இது நல்ல சலுகை.
death	மரணம்	மரணம் கடினமான தலைப்பு.
decision	முடிவு	இன்றே ஒரு முடிவு எடு.
deep	ஆழமான	தண்ணீர் ஆழமாக உள்ளது.
definitely	நிச்சயமாக	எனக்கு நிச்சயமாக தேநீர் வேண்டும்.
degree	பட்டம்	என் பட்டம் வரலாற்றில் உள்ளது.
dentist	பல் மருத்துவர்	பல் மருத்துவர் என் பற்களை பார்த்தார்.
department	பிரிவு	காலணி பிரிவு மேல்தளத்தில் உள்ளது.
depend	சார்ந்து இரு	அது வானிலையை சார்ந்துள்ளது.
desert	பாலைவனம்	பாலைவனம் மிகவும் வறண்டது.
designer	வடிவமைப்பாளர்	வடிவமைப்பாளர் இந்த உடையை செய்தார்.
destroy	அழி	கோப்பை அழிக்காதே.
detective	துப்பறிவாளர்	துப்பறிவாளர் சாவியை கண்டுபிடித்தார்.
develop	உருவாக்கு	அவர்கள் புதிய செயலியை உருவாக்குகிறார்கள்.
device	சாதனம்	இந்த சாதனம் பயனுள்ளதாக உள்ளது.
diary	நாட்குறிப்பு	அவள் தனது நாட்குறிப்பில் எழுதுகிறாள்.
differently	வேறுபடையாக	நாங்கள் அதை வேறுபடையாக செய்கிறோம்.
digital	டிஜிட்டல்	இது டிஜிட்டல் கேமரா.
direct	நேரடி	நேரடி ரயிலை எடு.
direction	திசை	இந்த திசையில் நட.
director	இயக்குநர்	இயக்குநர் படத்தை விரும்பினார்.
disagree	ஒப்புக்கொள்ளாமல் இரு	அந்த யோசனைக்கு நான் ஒப்புக்கொள்ளவில்லை.
disappear	மறைந்து போ	சூரியன் விரைவில் மறைந்து போகும்.
disaster	பேரழிவு	புயல் ஒரு பேரழிவாக இருந்தது.
discover	கண்டுபிடி	அவர்கள் புதிய தீவை கண்டுபிடிக்கிறார்கள்.
discovery	கண்டுபிடிப்பு	கண்டுபிடிப்பு அறிவியலை மாற்றியது.
discussion	விவாதம்	விவாதம் சீக்கிரம் முடிந்தது.
disease	நோய்	இந்த நோய் கடுமையானது.
distance	தூரம்	தூரம் குறுகியது.
divorced	விவாகரத்து பெற்ற	அவளின் பெற்றோர் விவாகரத்து பெற்றவர்கள்.
document	ஆவணம்	இந்த ஆவணத்தை இப்போது சேமி.
double	இரட்டை	எனக்கு இரட்டை அறை தேவை.
download	பதிவிறக்கு	இன்றே செயலியை பதிவிறக்கு.
drama	நாடகம்	நாடகம் இன்று இரவு தொடங்குகிறது.
drawing	வரைதல்	அவளின் வரைதல் அழகாக உள்ளது.
dream	கனவு	எனக்கு விசித்திரமான கனவு வந்தது.
driving	ஓட்டுதல்	இரவில் ஓட்டுதல் கடினம்.
drop	கைவிடு; கீழே விடு	கண்ணாடியை கீழே விடாதே.
drug	மருந்து	மருந்து அவனுக்கு உதவியது.
dry	உலர்ந்த	துண்டு உலர்ந்துள்ளது.
earn	சம்பாதி	நான் வேலையில் பணம் சம்பாதிக்கிறேன்.
earth	பூமி	பூமி உருண்டையாக உள்ளது.
easily	எளிதாக	அவள் எளிதாக கற்றுக்கொள்கிறாள்.
education	கல்வி	கல்வி முக்கியமானது.
effect	விளைவு	விளைவு தெளிவாக இருந்தது.
either	எதுவாக இருந்தாலும்	எதுவான பதிலும் சரி.
electric	மின்சார	இந்த கார் மின்சாரமானது.
electrical	மின்சாரத்திற்கான	மின்சார அமைப்பு பாதுகாப்பாக உள்ளது.
electricity	மின்சாரம்	இங்கே மின்சாரம் விலையுயர்ந்தது.
electronic	மின்னணு	இந்த மின்னணு சீட்டு வேலை செய்கிறது.
employ	வேலைக்கு அமர்த்து	அவர்கள் ஐந்து பேரை வேலைக்கு அமர்த்துகிறார்கள்.
employee	ஊழியர்	ஊழியர் கடினமாக வேலை செய்கிறார்.
employer	வேலை வழங்குபவர்	என் வேலை வழங்குபவர் நியாயமானவர்.
empty	காலியான	அறை காலியாக உள்ளது.
ending	முடிவு	முடிவு ஆச்சரியமாக இருந்தது.
energy	ஆற்றல்	இன்று எனக்கு ஆற்றல் இல்லை.
engine	இயந்திரம்	இயந்திரம் சத்தமாக உள்ளது.
engineer	பொறியாளர்	பொறியாளர் பாலத்தை சரிசெய்தார்.
enormous	மிகப்பெரிய	கட்டிடம் மிகப்பெரியது.
enter	நுழை	அறைக்குள் அமைதியாக நுழை.
environment	சுற்றுச்சூழல்	சுற்றுச்சூழலை பாதுகாப்போம்.
equipment	உபகரணம்	இந்த உபகரணம் விலையுயர்ந்தது.
error	பிழை	நான் ஒரு பிழையை கண்டேன்.
especially	குறிப்பாக	இந்த பாடல் எனக்கு குறிப்பாக பிடிக்கும்.
essay	கட்டுரை	இன்று இரவு ஒரு கட்டுரை எழுது.
everyday	அன்றாட	இது அன்றாட ஆங்கிலம்.
everywhere	எங்கும்	மலர்கள் எங்கும் வளர்கின்றன.
evidence	சான்று	சான்று தெளிவாக உள்ளது.
exact	சரியான	சரியான எண்ணை கொடு.
exactly	சரியாக	அது சரியாக உள்ளது.
excellent	சிறந்த	உன் வேலை சிறந்தது.
except	தவிர	என்னைத் தவிர எல்லோரும் வந்தனர்.
exist	இரு	இந்த முகவரி இருக்கிறதா?
expect	எதிர்பார்	நான் நாளை மழையை எதிர்பார்க்கிறேன்.
experience	அனுபவம்	எனக்கு குழந்தைகளுடன் அனுபவம் உள்ளது.
experiment	சோதனை	சோதனை நன்றாக வேலை செய்தது.
expert	நிபுணர்	உதவிக்கு நிபுணரை கேள்.
explanation	விளக்கம்	அவளின் விளக்கம் தெளிவாக இருந்தது.
express	வெளிப்படுத்து	தயவுசெய்து உன் கருத்தை வெளிப்படுத்து.
expression	சொற்றொடர்	இந்த சொற்றொடர் பொதுவானது.
extreme	தீவிரமான	வெப்பம் தீவிரமாக இருந்தது.
extremely	மிகவும்	இது மிகவும் குளிராக உள்ளது.
factor	காரணம்	செலவு ஒரு காரணம்.
factory	தொழிற்சாலை	தொழிற்சாலை ஐந்து மணிக்கு மூடுகிறது.
fail	தோல்வியடை	நான் தோல்வியடையவில்லை.
fair	நியாயமான	விலை நியாயமானது.
fan	விசிறி	விசிறியை இயக்கவும்.
farming	விவசாயம்	விவசாயம் கடினமான வேலை.
fashion	ஃபேஷன்	ஃபேஷன் ஒவ்வொரு ஆண்டும் மாறுகிறது.
fear	பயம்	பயம் மக்களை நிறுத்தலாம்.
feature	அம்சம்	இந்த தொலைபேசியில் பயனுள்ள அம்சம் உள்ளது.
feed	உணவளி	இப்போது பூனைக்கு உணவளி.
female	பெண்	பெண் விளையாட்டு வீரர் வென்றார்.
fiction	புனைகதை	அவள் இரவில் புனைகதை படிக்கிறாள்.
field	புலம்	புலம் பச்சையாக உள்ளது.
fight	சண்டையிடு	அவர்கள் மிகவும் அதிகமாக சண்டையிடுகிறார்கள்.
figure	படம்; உருவம்	படத்தைப் பார்.
finally	இறுதியாக	நாங்கள் இறுதியாக வீட்டை அடைந்தோம்.
finger	விரல்	என் விரல் வலிக்கிறது.
firstly	முதலில்	முதலில், கேள்வியை படி.
fishing	மீன்பிடித்தல்	மீன்பிடித்தல் இங்கே பிரபலமானது.
fit	பொருந்து	இந்த காலணிகள் நன்றாக பொருந்துகின்றன.
fix	சரி செய்	உடைந்த நாற்காலியை சரி செய்.
flu	காய்ச்சல்	எனக்கு காய்ச்சல் உள்ளது.
flying	பறத்தல்	பறத்தல் வேகமானது.
focus	கவனம் செலுத்து	இந்த பணியில் கவனம் செலுத்து.
following	பின்வரும்	பின்வரும் வாக்கியத்தை படி.
foreign	வெளிநாட்டு	அவள் வெளிநாட்டு மொழி பேசுகிறாள்.
forest	காடு	காடு அமைதியாக உள்ளது.
fork	முள் கரண்டி	முள் கரண்டியை பயன்படுத்து.
formal	முறையான	இந்த கடிதம் முறையானது.
fortunately	அதிர்ஷ்டவசமாக	அதிர்ஷ்டவசமாக, யாரும் காயமடையவில்லை.
forward	முன்னோக்கி	மெதுவாக முன்னோக்கி நகரு.
fresh	புதிய	ரொட்டி புதியதாக உள்ளது.
