hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
3629:报刊	报刊	报刊	gazete ve dergiler; süreli yayınlar	Kütüphanede çok sayıda Çince gazete ve dergi var.	magazeti na majarida	Maktaba ina magazeti na majarida mengi ya Kichina.	qəzet və jurnallar; dövri nəşrlər	Kitabxanada çoxlu Çin dilində qəzet və jurnal var.	gazeta va jurnallar; davriy nashrlar	Kutubxonada ko‘plab xitoycha gazeta va jurnallar bor.
3635:悲剧	悲剧	悲剧	trajedi	Bu kaza bir trajediydi.	msiba; tukio la kusikitisha	Ajali hii ilikuwa msiba.	faciə	Bu qəza faciə idi.	fojia	Bu hodisa fojia edi.
3636:悲伤	悲伤	悲伤	üzgün; kederli	Haberi duyunca çok üzüldü.	huzuni; mwenye huzuni	Aliposikia habari hii, alihuzunika sana.	kədərli; qəmgin	Bu xəbəri eşidəndə o çox kədərləndi.	g‘amgin; qayg‘uli	Bu xabarni eshitgach, u juda g‘amgin bo‘ldi.
3638:北美洲	北美洲	北美洲	Kuzey Amerika	Kanada Kuzey Amerika'da yer alır.	Amerika Kaskazini	Kanada iko Amerika Kaskazini.	Şimali Amerika	Kanada Şimali Amerikada yerləşir.	Shimoliy Amerika	Kanada Shimoliy Amerikada joylashgan.
3640:被迫	被迫	被迫	zorunda kalmak; mecbur bırakılmak	Şiddetli yağmur yüzünden maç iptal edilmek zorunda kaldı.	kulazimishwa; kulazimika	Kwa sababu ya mvua kubwa, mechi ililazimika kufutwa.	məcbur edilmək; məcbur qalmaq	Güclü yağışa görə oyun ləğv edilməyə məcbur oldu.	majbur bo‘lmoq; majbur qilinmoq	Kuchli yomg‘ir sababli o‘yin bekor qilinishga majbur bo‘ldi.
3641:背心	背心	背心	atlet; kolsuz üst	Yazın sık sık atlet giyer.	fulana isiyo na mikono; vesti	Wakati wa kiangazi mara nyingi huvaa fulana isiyo na mikono.	qolsuz köynək; jilet	Yayda o tez-tez qolsuz köynək geyinir.	mayka; yengsiz kiyim	Yozda u ko‘pincha mayka kiyadi.
3642:备用	备用	备用	yedek	Lütfen yedek bir anahtar hazırlayın.	akiba; ya ziada	Tafadhali andaa ufunguo wa akiba.	ehtiyat; əlavə	Zəhmət olmasa, ehtiyat açar hazırlayın.	zaxira; qo‘shimcha	Iltimos, zaxira kalit tayyorlang.
3643:倍增	倍增	倍增	katlanmak; hızla artmak	Bu yıl sipariş sayısı katlandı.	kuongezeka sana; kuongezeka maradufu	Idadi ya oda mwaka huu imeongezeka sana.	dəfələrlə artmaq; çoxalmaq	Bu il sifarişlərin sayı dəfələrlə artdı.	bir necha barobar oshmoq; keskin ko‘paymoq	Bu yil buyurtmalar soni bir necha barobar oshdi.
3644:奔跑	奔跑	奔跑	koşmak	Çocuk oyun alanında koşuyor.	kukimbia	Mtoto anakimbia uwanjani.	qaçmaq	Uşaq meydançada qaçır.	yugurmoq	Bola maydonchada yugurmoqda.
3647:本土	本土	本土	yerel; vatan toprağı	Bu şirket yerel kültüre önem verir.	ya ndani; ardhi ya nyumbani	Kampuni hii inathamini utamaduni wa ndani.	yerli; doğma torpaq	Bu şirkət yerli mədəniyyətə dəyər verir.	mahalliy; ona yurt	Bu kompaniya mahalliy madaniyatni qadrlaydi.
3648:逼	逼	逼	zorlamak; baskı yapmak	Çocukları sevmedikleri şeyleri yapmaya zorlama.	kulazimisha; kushinikiza	Usiwalazimishe watoto kufanya mambo wasiyoyapenda.	məcbur etmək; sıxışdırmaq	Uşaqları sevmədikləri işi görməyə məcbur etmə.	majbur qilmoq; siquvga olmoq	Bolalarni yoqtirmaydigan ishlarini qilishga majbur qilmang.
3651:闭	闭	闭	kapatmak	Lütfen kapıyı kapatın.	kufunga	Tafadhali funga mlango.	bağlamaq; örtmək	Zəhmət olmasa, qapını bağlayın.	yopmoq	Iltimos, eshikni yoping.
3652:避	避	避	kaçınmak; sakınmak	Araba kullanırken yoğun saatlerden kaçının.	kuepuka	Unapoendesha gari, epuka saa za msongamano.	qaçmaq; yayınmaq	Maşın sürərkən pik saatlardan qaçın.	qochmoq; chetlab o‘tmoq	Mashina haydaganda tig‘iz vaqtdan qoching.
3653:必修	必修	必修	zorunlu; mecburi	Bu ders üniversite birinci sınıf öğrencileri için zorunludur.	lazima; ya lazima	Kozi hii ni ya lazima kwa wanafunzi wa mwaka wa kwanza wa chuo kikuu.	məcburi; vacib	Bu fənn universitetin birinci kurs tələbələri üçün məcburidir.	majburiy	Bu fan universitetning birinchi kurs talabalari uchun majburiydir.
3654:编	编	编	derlemek; düzenlemek	O bir Çince ders kitabı derliyor.	kutunga; kuhariri	Anaandaa kitabu cha kiada cha Kichina.	tərtib etmək; redaktə etmək	O, Çin dili dərsliyi tərtib edir.	tuzmoq; tahrir qilmoq	U xitoy tili darsligini tuzmoqda.
3656:编写	编写	编写	hazırlayıp yazmak; derlemek	Öğretmen bir dizi alıştırma hazırlayıp yazdı.	kuandika na kuandaa	Mwalimu aliandaa na kuandika seti ya mazoezi.	tərtib edib yazmaq	Müəllim bir dəst məşq tapşırığı tərtib edib yazdı.	tuzib yozmoq	O‘qituvchi mashqlar to‘plamini tuzib yozdi.
3657:遍地	遍地	遍地	her yer; dört bir yan	İlkbaharda parkın her yeri çiçek dolu olur.	kila mahali; pote	Wakati wa masika, maua yako kila mahali bustanini.	hər yerdə; hər tərəfdə	Yazda parkın hər yeri çiçəklə dolu olur.	hamma joyda; butun atrofda	Bahorda parkning hamma joyi gullarga to‘ladi.
3658:便捷	便捷	便捷	pratik; kullanışlı	Bu ödeme yöntemi çok pratik.	rahisi kutumia; yenye urahisi	Njia hii ya malipo ni rahisi sana kutumia.	rahat; əlverişli	Bu ödəniş üsulu çox rahatdır.	qulay; oson	Bu to‘lov usuli juda qulay.
3660:兵	兵	兵	asker	Bu asker sınırda görev yapıyor.	askari	Askari huyu anahudumu mpakani.	əsgər	Bu əsgər sərhəddə xidmət edir.	askar	Bu askar chegarada xizmat qilmoqda.
3662:播	播	播	yayınlamak; çalmak	Televizyon kanalı bu belgeseli bu akşam yayınlayacak.	kutangaza; kucheza	Kituo cha televisheni kitatangaza filamu hii ya hali halisi leo usiku.	yayımlamaq; səsləndirmək	Televiziya kanalı bu sənədli filmi bu axşam yayımlayacaq.	efirga uzatmoq; qo‘ymoq	Telekanal bugun kechqurun bu hujjatli filmni efirga uzatadi.
3670:不适	不适	不适	rahatsızlık; iyi hissetmeme	İlacı aldıktan sonra kendini rahatsız hissetti.	kutokuwa vizuri; usumbufu wa mwili	Baada ya kunywa dawa, alijihisi hayuko vizuri.	narahatlıq; halsızlıq	Dərmanı içəndən sonra özünü narahat hiss etdi.	noqulaylik; betoblik	Dorini ichgandan keyin u o‘zini noxush his qildi.
3671:不至于	不至于	不至于	o kadar da değil; ...acak kadar değil	Bu küçük hata sonucu etkileyecek kadar ciddi değil.	si kwa kiasi cha; si hadi	Kosa dogo hili halitafikia kiwango cha kuathiri matokeo.	o dərəcədə deyil; ... qədər deyil	Bu kiçik səhv nəticəyə təsir edəcək qədər deyil.	darajasida emas; shunchalik emas	Bu kichik xato natijaga ta’sir qiladigan darajada emas.
3672:补	补	补	tamamlamak; onarmak	Bu rapora hâlâ bazı veriler eklenmeli.	kuongeza; kutengeneza	Ripoti hii bado inahitaji kuongezewa baadhi ya data.	əlavə etmək; yamamaq	Bu hesabata hələ bəzi məlumatlar əlavə edilməlidir.	qo‘shimcha qilmoq; yamamoq	Bu hisobotga hali ba’zi ma’lumotlarni qo‘shish kerak.
3673:捕	捕	捕	yakalamak; ele geçirmek	Polis kısa sürede şüpheli kişiyi yakaladı.	kukamata; kunasa	Polisi walimkamata mshukiwa haraka.	tutmaq; yaxalamaq	Polis şübhəlini tez bir zamanda yaxaladı.	tutmoq; qo‘lga olmoq	Politsiya gumondorni tezda qo‘lga oldi.
3675:补课	补课	补课	telafi dersi almak	Hasta olduktan sonra telafi dersi alması gerekiyor.	kusoma masomo ya kufidia	Baada ya kuugua, anahitaji kufidia masomo aliyokosa.	buraxılmış dərsi bərpa etmək	Xəstələndikdən sonra buraxdığı dərsləri bərpa etməlidir.	qoldirilgan darsni to‘ldirmoq	Kasallangandan keyin u qoldirgan darslarini to‘ldirishi kerak.
3677:补习	补习	补习	ek ders almak; özel ders almak	Hafta sonları matematikten özel ders alıyor.	kusoma masomo ya ziada; kufundishwa binafsi	Mwishoni mwa wiki huenda kusoma hisabati ya ziada.	əlavə dərs almaq; hazırlığa getmək	O, həftə sonu riyaziyyatdan əlavə dərsə gedir.	qo‘shimcha dars olmoq; repetitorga bormoq	U dam olish kunlari matematikadan qo‘shimcha darsga boradi.
3680:不曾	不曾	不曾	hiç; bir kez bile değil	Bu konuyu hiç duymadım.	kamwe; hata mara moja si	Sijawahi kusikia jambo hili.	heç vaxt; bir dəfə də yox	Mən bu məsələ barədə heç vaxt eşitməmişəm.	hech qachon; biror marta ham emas	Men bu ish haqida hech qachon eshitmaganman.
3681:不成	不成	不成	olmamak; işe yaramamak	Bunu böyle yapmak galiba işe yaramaz.	kutofaulu; kutowezekana	Kufanya hivyo kwa njia hii huenda isifaulu.	alınmamaq; işə yaramamaq	Bunu belə etmək yəqin ki, alınmaz.	bo‘lmaslik; ish bermaslik	Bunday qilish, ehtimol, ish bermaydi.
3682:不得	不得	不得	yapılmamalı; izin verilmemek	Kamusal alanlarda sigara içmek yasaktır.	hairuhusiwi; haipaswi	Hairuhusiwi kuvuta sigara katika maeneo ya umma.	olmaz; icazə verilmir	İctimai yerlərdə siqaret çəkmək olmaz.	mumkin emas; taqiqlanadi	Jamoat joylarida chekish mumkin emas.
3683:部队	部队	部队	birlik; askeri birlik	Bu birlik dağlık bölgede eğitim yapıyor.	kikosi cha jeshi; wanajeshi	Kikosi hiki cha jeshi kinafanya mazoezi milimani.	hərbi hissə; qoşun	Bu hərbi hissə dağlıq bölgədə təlim keçir.	harbiy qism; qo‘shin	Bu harbiy qism tog‘li hududda mashg‘ulot o‘tkazmoqda.
3687:不许	不许	不许	izin vermemek; yasak olmak	Buraya park etmek yasaktır.	kutoruhusu; hairuhusiwi	Hairuhusiwi kuegesha gari hapa.	icazə verməmək; olmaz	Burada maşın saxlamağa icazə verilmir.	ruxsat bermaslik; mumkin emas	Bu yerda mashina qo‘yishga ruxsat yo‘q.
3688:不宜	不宜	不宜	uygun değil; tavsiye edilmez	Yemekten hemen sonra egzersiz yapmak uygun değildir.	haifai; si vyema	Haifai kufanya mazoezi mara tu baada ya kula.	uyğun deyil; məsləhət deyil	Yeməkdən dərhal sonra idman etmək məsləhət deyil.	mos emas; tavsiya etilmaydi	Ovqatdan keyin darhol mashq qilish tavsiya etilmaydi.
3689:不已	不已	不已	durmadan; son derece	İyi haberi duyunca herkes çok heyecanlandı.	bila kukoma; sana	Waliposikia habari njema, wote walisisimka sana.	dayanmadan; hədsiz	Yaxşı xəbəri eşidəndə hamı hədsiz həyəcanlandı.	to‘xtovsiz; nihoyatda	Yaxshi xabarni eshitib, hamma nihoyatda hayajonlandi.
3693:猜测	猜测	猜测	tahmin etmek; varsaymak	O sadece tahmin ediyor, henüz kanıtı yok.	kukisia; kudhani	Anakisia tu, bado hana ushahidi.	təxmin etmək; güman etmək	O, sadəcə təxmin edir, hələ sübutu yoxdur.	taxmin qilmoq; faraz qilmoq	U faqat taxmin qilyapti, hali dalili yo‘q.
3696:才华	才华	才华	yetenek; kabiliyet	Müzik konusunda çok yetenekli.	kipaji; talanta	Ana kipaji kikubwa katika muziki.	istedad; qabiliyyət	Onun musiqidə böyük istedadı var.	iste’dod; qobiliyat	U musiqada katta iste’dodga ega.
3697:才能	才能	才能	yetenek; beceri	Bu proje yönetim becerisi gerektiriyor.	uwezo; kipaji	Mradi huu unahitaji uwezo wa usimamizi.	bacarıq; qabiliyyət	Bu layihə idarəetmə bacarığı tələb edir.	qobiliyat; mahorat	Bu loyiha boshqaruv qobiliyatini talab qiladi.
3699:财物	财物	财物	mal varlığı; eşyalar	Lütfen kişisel eşyalarınıza iyi bakın.	mali; vitu binafsi	Tafadhali tunza vizuri mali zako binafsi.	əmlak; şəxsi əşyalar	Zəhmət olmasa, şəxsi əşyalarınızı yaxşı qoruyun.	mol-mulk; shaxsiy buyumlar	Iltimos, shaxsiy buyumlaringizni yaxshi saqlang.
3700:材质	材质	材质	malzeme; doku	Bu kıyafetin kumaşı çok rahat.	nyenzo; mguso wa kitu	Nyenzo ya nguo hii ni ya kustarehesha sana.	material; toxuma	Bu paltarın materialı çox rahatdır.	material; tuzilishi	Bu kiyimning materiali juda qulay.
3707:参展	参展	参展	fuara katılmak	Şirket bu yıl ilk kez fuara katılıyor.	kushiriki maonyesho	Kampuni inashiriki maonyesho kwa mara ya kwanza mwaka huu.	sərgidə iştirak etmək	Şirkət bu il ilk dəfə sərgidə iştirak edir.	ko‘rgazmada qatnashmoq	Kompaniya bu yil birinchi marta ko‘rgazmada qatnashyapti.
3710:草原	草原	草原	bozkır; çayır	Yazın bozkır çok güzeldir.	nyanda za majani	Nyanda za majani ni nzuri sana wakati wa kiangazi.	çəmənlik; bozqır	Yayda çəmənlik çox gözəl olur.	yaylov; dasht	Yozda yaylov juda chiroyli bo‘ladi.
3711:侧	侧	侧	taraf; yan	Yolun sol tarafında durdu.	upande	Alisimama upande wa kushoto wa barabara.	tərəf; yan	O, yolun sol tərəfində dayandı.	tomon; yon	U yo‘lning chap tomonida turdi.
3716:层面	层面	层面	düzey; boyut	Bu konu hukuki açıdan analiz edilmeli.	kiwango; upande	Suala hili linahitaji kuchambuliwa upande wa sheria.	səviyyə; aspekt	Bu məsələ hüquqi aspektdən təhlil edilməlidir.	daraja; jihat	Bu masalani huquqiy jihatdan tahlil qilish kerak.
3717:叉	叉	叉	çatal	Garson bana bir çatal verdi.	uma	Mhudumu alinipa uma.	çəngəl	Ofisiant mənə bir çəngəl verdi.	sanchqi	Ofitsiant menga sanchqi berdi.
3718:差异	差异	差异	fark; farklılık	Kuzey ve güney iklimleri arasında büyük fark var.	tofauti; pengo	Kuna tofauti kubwa kati ya hali ya hewa ya kaskazini na kusini.	fərq; uyğunsuzluq	Şimal və cənub iqlimi arasında böyük fərq var.	farq; tafovut	Shimol va janub iqlimi o‘rtasida katta farq bor.
3720:查询	查询	查询	sorgulamak; aramak	Uçuş bilgilerini internette sorgulayabilirsin.	kutafuta taarifa; kuuliza	Unaweza kutafuta taarifa za ndege mtandaoni.	sorğu etmək; axtarmaq	Uçuş məlumatlarını internetdə axtara bilərsən.	qidirib ko‘rmoq; so‘ramoq	Parvoz ma’lumotlarini internetdan qidirib ko‘rishingiz mumkin.
3721:拆除	拆除	拆除	yıkmak; sökmek	Bu eski köprü gelecek ay yıkılacak.	kubomoa; kuondoa	Daraja hili la zamani litabomolewa mwezi ujao.	sökmək; dağıtmaq	Bu köhnə körpü gələn ay söküləcək.	buzmoq; olib tashlamoq	Bu eski ko‘prik keyingi oy buziladi.
3722:产出	产出	产出	üretmek; çıktı vermek	Bu toprak her yıl çok tahıl üretir.	kuzalisha; kutoa	Ardhi hii huzalisha nafaka nyingi kila mwaka.	istehsal etmək; məhsul vermək	Bu torpaq hər il çox taxıl məhsulu verir.	ishlab chiqarmoq; hosil bermoq	Bu yer har yili ko‘p don hosili beradi.
3723:产地	产地	产地	menşe yeri; üretim bölgesi	Bu çayın menşei Yunnan'dadır.	mahali pa asili; eneo la uzalishaji	Mahali pa asili ya chai hii ni Yunnan.	mənşə yeri; istehsal bölgəsi	Bu çayın mənşə yeri Yunnandadır.	kelib chiqqan joy; ishlab chiqarish hududi	Bu choyning kelib chiqqan joyi Yunnan.
3724:肠	肠	肠	bağırsak	Doktor onun bağırsağını muayene etti.	utumbo	Daktari alimchunguza utumbo wake.	bağırsaq	Həkim onun bağırsağını yoxladı.	ichak	Shifokor uning ichagini tekshirdi.
3725:长短	长短	长短	uzunluk; uzun-kısa farkı	Bu iki ipin uzunluğu farklı.	urefu; tofauti ya urefu	Kamba hizi mbili zina urefu tofauti.	uzunluq; uzun-qısa fərqi	Bu iki ipin uzunluğu fərqlidir.	uzunlik; uzun-qisqaligi	Bu ikki arqonning uzunligi har xil.
3726:常规	常规	常规	rutin; geleneksel	Bu hastanede yapılan rutin bir kontroldür.	utaratibu wa kawaida; ya kawaida	Huu ni uchunguzi wa kawaida hospitalini.	adi; ənənəvi	Bu, xəstəxanada adi müayinədir.	odatiy; an’anaviy	Bu shifoxonadagi odatiy tekshiruvdir.
3727:常年	常年	常年	yıl boyu; sürekli	Burada iklim yıl boyu ılımandır.	mwaka mzima; daima	Hali ya hewa hapa ni ya wastani mwaka mzima.	ilboyu; həmişə	Burada iqlim ilboyu mülayimdir.	yil bo‘yi; doimiy	Bu yerda iqlim yil bo‘yi mo‘tadil.
3728:长寿	长寿	长寿	uzun ömür; uzun yaşamak	Sağlıklı yaşam alışkanlıkları uzun ömre yardımcı olur.	maisha marefu; kuishi muda mrefu	Tabia nzuri za maisha husaidia kuishi muda mrefu.	uzunömürlülük; uzun yaşamaq	Sağlam həyat vərdişləri uzunömürlülüyə kömək edir.	uzoq umr; uzoq yashash	Sog‘lom turmush odatlari uzoq umrga yordam beradi.
3729:常温	常温	常温	oda sıcaklığı; normal sıcaklık	Bu ilaç oda sıcaklığında saklanabilir.	joto la kawaida; halijoto ya kawaida	Dawa hii inaweza kuhifadhiwa kwenye joto la kawaida.	otaq temperaturu; normal temperatur	Bu dərman otaq temperaturunda saxlanıla bilər.	xona harorati; odatiy harorat	Bu dorini xona haroratida saqlash mumkin.
3730:场次	场次	场次	seans; gösterim zamanı	Bugünkü gösterinin üç seansı var.	kipindi; muda wa onyesho	Onyesho la leo lina vipindi vitatu.	seans; nümayiş vaxtı	Bugünkü tamaşanın üç seansı var.	seans; namoyish vaqti	Bugungi tomoshaning uchta seansi bor.
3731:场地	场地	场地	alan; mekan	Okul yarışma alanını sağladı.	mahali; uwanja	Shule ilitoa uwanja wa mashindano.	məkan; sahə	Məktəb yarış üçün məkan təmin etdi.	joy; maydon	Maktab musobaqa uchun joy taqdim etdi.
3732:场馆	场馆	场馆	tesis; stadyum	Yeni tesis yirmi bin kişi alabilir.	ukumbi; uwanja	Ukumbi mpya unaweza kuchukua watu elfu ishirini.	zal; stadion	Yeni məkan iyirmi min nəfər tuta bilər.	inshoot; stadion	Yangi inshoot yigirma ming kishini sig‘dira oladi.
3734:厂家	厂家	厂家	üretici; fabrika	Bu üretici satış sonrası hizmet sunuyor.	mtengenezaji; kiwanda	Mtengenezaji huyu hutoa huduma baada ya mauzo.	istehsalçı; zavod	Bu istehsalçı satışdan sonrakı xidmət göstərir.	ishlab chiqaruvchi; zavod	Bu ishlab chiqaruvchi sotuvdan keyingi xizmatni taqdim etadi.
3735:场景	场景	场景	sahne; durum	Filmdeki bu sahne çok duygulandırıcı.	tukio; mandhari	Tukio hili katika filamu linagusa moyo sana.	səhnə; vəziyyət	Filmdəki bu səhnə çox təsirlidir.	sahna; vaziyat	Filmdagi bu sahna juda ta’sirli.
3737:厂商	厂商	厂商	üretici; satıcı firma	Birçok üretici lansmana katıldı.	mtengenezaji; muuzaji	Wauzaji na watengenezaji wengi walihudhuria hafla ya uzinduzi.	istehsalçı; satıcı şirkət	Bir çox istehsalçı təqdimat tədbirində iştirak etdi.	ishlab chiqaruvchi; sotuvchi	Ko‘plab ishlab chiqaruvchilar taqdimot tadbirida qatnashdi.
3746:炒股	炒股	炒股	borsada hisse alıp satmak	Son zamanlarda borsada hisse alıp satmayı öğrenmeye başladı.	kufanya biashara ya hisa	Hivi karibuni alianza kujifunza biashara ya hisa.	səhm alveri etmək	O, son vaxtlar səhm alverini öyrənməyə başladı.	aksiyalar savdosi bilan shug‘ullanmoq	U yaqinda aksiyalar savdosini o‘rganishni boshladi.
3748:撤回	撤回	撤回	geri çekmek	Şirket bu başvuruyu geri çekti.	kuondoa; kufuta	Kampuni iliondoa ombi hili.	geri çəkmək; ləğv etmək	Şirkət bu müraciəti geri çəkdi.	qaytarib olmoq; bekor qilmoq	Kompaniya bu arizani qaytarib oldi.
3752:撑	撑	撑	desteklemek; açmak	Bu şemsiye artık açılmıyor.	kushikilia; kutegemeza	Mwavuli huu hauwezi kufunguka tena.	dayamaq; açmaq	Bu çətir artıq açılmır.	tiramoq; ochmoq	Bu soyabon endi ochilmayapti.
3755:称作	称作	称作	adlandırmak; ... diye çağırmak	İnsanlar burayı şehir bahçesi diye adlandırıyor.	kuita; kuitwa	Watu huita mahali hapa bustani ya jiji.	adlandırmaq; çağırmaq	İnsanlar buranı şəhər bağı adlandırırlar.	deb atamoq; nomlamoq	Odamlar bu joyni shahar bog‘i deb ataydi.
3756:成	成	成	onda bir; oran	Bu yıl gelir yüzde otuz arttı.	sehemu ya kumi; kiwango	Mapato ya mwaka huu yaliongezeka kwa asilimia thelathini.	onda bir; nisbət	Bu il gəlir otuz faiz artdı.	o‘ndan bir; ulush	Bu yil daromad o‘ttiz foizga oshdi.
3763:成千上万	成千上万	成千上万	binlerce; on binlerce	Binlerce insan yürüyüşe katıldı.	maelfu kwa maelfu	Maelfu kwa maelfu ya watu walijiunga na maandamano.	minlərlə; saysız-hesabsız	Minlərlə insan yürüşdə iştirak etdi.	minglab; juda ko‘p	Minglab odamlar yurishda qatnashdi.
3766:诚信	诚信	诚信	dürüstlük; güvenilirlik	Ticarette en önemli şey dürüstlüktür.	uadilifu; uaminifu	Jambo muhimu zaidi katika biashara ni uadilifu.	dürüstlük; etibarlılıq	Biznesdə ən vacib şey dürüstlükdür.	halollik; ishonchlilik	Biznesda eng muhim narsa halollikdir.
3768:城镇	城镇	城镇	kasaba; kent	Bu kasaba deniz kıyısına yakın.	mji mdogo; eneo la mjini	Mji huu mdogo uko karibu na bahari.	qəsəbə; şəhərcik	Bu qəsəbə dəniz kənarına yaxındır.	shaharcha; shahar posyolkasi	Bu shaharcha dengiz bo‘yiga yaqin.
3770:持有	持有	持有	sahip olmak; elinde bulundurmak	Bu şirketin hisselerine sahip.	kumiliki; kushikilia	Anamiliki hisa za kampuni hii.	sahib olmaq; əlində saxlamaq	O, bu şirkətin səhmlərinə sahibdir.	egalik qilmoq; qo‘lida tutmoq	U bu kompaniyaning aksiyalariga egalik qiladi.
3771:尺	尺	尺	çi; Çin uzunluk ölçüsü	Bu kumaş üç çi uzunluğunda.	chi; kipimo cha urefu cha Kichina	Kitambaa hiki kina urefu wa chi tatu.	çi; Çin uzunluq ölçüsü	Bu parça üç çi uzunluğundadır.	chi; xitoy uzunlik o‘lchovi	Bu mato uch chi uzunlikda.
3772:尺寸	尺寸	尺寸	ölçü; boyut	Lütfen kutunun boyutlarını doğrulayın.	ukubwa; vipimo	Tafadhali thibitisha vipimo vya sanduku.	ölçü; ölçülər	Zəhmət olmasa, qutunun ölçülərini təsdiqləyin.	o‘lcham; hajm	Iltimos, qutining o‘lchamlarini tasdiqlang.
3778:重建	重建	重建	yeniden inşa etmek	Depremden sonra köy yeniden inşa edilmeye başladı.	kujenga upya	Baada ya tetemeko la ardhi, kijiji kilianza kujengwa upya.	yenidən qurmaq	Zəlzələdən sonra kənd yenidən qurulmağa başladı.	qayta qurmoq	Zilziladan keyin qishloq qayta qurila boshladi.
3780:抽奖	抽奖	抽奖	çekiliş	Bilet alanlar çekilişe katılabilir.	droo ya zawadi; bahati nasibu	Watu wanaonunua tiketi wanaweza kushiriki droo ya zawadi.	uduş tirajı; lotereya	Bilet alanlar uduş tirajında iştirak edə bilərlər.	yutuqli o‘yin; lotereya	Chipta olganlar yutuqli o‘yinda qatnashishi mumkin.
