source_headword	FI	example_FI
assessment	arvio	Arvio kesti kaksi tuntia.
associate	yhdistää	Ihmiset yhdistävät savun vaaraan.
associated	liittyvä	Stressi liittyy sairauteen.
association	yhdistys	Yhdistys tukee nuoria taiteilijoita.
assume	olettaa	Oletan, että olet samaa mieltä.
attempt	yritys	Hänen ensimmäinen yrityksensä epäonnistui.
bacteria	bakteerit	Bakteerit voivat levitä nopeasti.
barrier	este	Kieli oli este.
basically	pohjimmiltaan	Pohjimmiltaan tarvitsemme lisää aikaa.
bear (deal with)	sietää	En siedä tuota melua.
beg	anoa	Hän anoi apua.
being	olento	Jokainen olento tarvitsee vettä.
bent	taipunut	Metallitanko oli taipunut.
bet	lyödä vetoa	Lyön vetoa, että hän tietää.
beyond	takana	Kylä on joen takana.
bitter	karvas	Lääke maistui karvaalta.
blame	syyttää	Älä syytä kuljettajaa.
blind	sokea	Hän sokeutui nuorena.
bond	side	Luottamus luo vahvan siteen.
breast	rinta	Hän tunsi kipua rinnassa.
brief	lyhyt	Pidä vastaus lyhyenä.
broad	leveä	Joki on tässä leveä.
broadcast	lähettää	Puhe lähetettiin suorana.
budget	budjetti	Budjetti on hyvin tiukka.
bullet	luoti	Luoti osui seinään.
bunch	nippu	Hän kantoi nippua avaimia.
bush	pensas	Lintu piiloutui pensaaseen.
cable	kaapeli	Kaapeli on vaurioitunut.
calculate	laskea	Laske kokonaiskustannukset.
cancel	peruuttaa	He peruuttivat kokouksen.
cancer	syöpä	Syövän hoito voi olla raskasta.
capable	kykenevä	Hän on tarpeeksi kykenevä.
capacity	kapasiteetti	Sali saavutti kapasiteettinsa.
capture	tallentaa	Kuva tallensi tunnelman.
cast	näyttelijäkaarti	Näyttelijäkaarti on valmis.
cell	solu	Jokainen solu sisältää tietoa.
chairman	puheenjohtaja	Puheenjohtaja avasi kokouksen.
characteristic	piirre	Kärsivällisyys on tärkeä piirre.
chief	tärkein	Tärkein syy oli turvallisuus.
circumstance	olosuhde	Jokainen olosuhde merkitsee.
cite	lainata	Opiskelija lainasi kolmea lähdettä.
citizen	kansalainen	Jokainen kansalainen saa äänestää.
civil	siviili-	Asia koski siviilioikeuksia.
classic	klassinen	Se on klassinen esimerkki.
closely	tiiviisti	He työskentelivät tiiviisti yhdessä.
collapse	romahtaa	Vanha katto romahti.
combination	yhdistelmä	Tämä yhdistelmä toimii hyvin.
comfort	mukavuus	Tuoli tarjoaa vähän mukavuutta.
command	käsky	Sotilaat noudattivat käskyä.
commission	komissio	Komissio tutki valituksen.
commitment	sitoutuminen	Hänen sitoutumisensa pysyi vahvana.
committee	komitea	Komitea äänestää huomenna.
commonly	yleisesti	Tätä sanaa käytetään yleisesti.
complicated	monimutkainen	Säännöt ovat monimutkaiset.
component	osa	Jokainen osa testattiin.
concentration	keskittyminen	Täysi keskittyminen on tarpeen.
concept	käsite	Käsite on yksinkertainen.
concern	huoli	Turvallisuudesta on huolta.
concerned	huolestunut	Olemme huolestuneita kustannuksista.
conduct	suorittaa	He suorittavat paikallista tutkimusta.
confidence	luottamus	Hänen luottamuksensa kasvoi nopeasti.
conflict	konflikti	Konflikti kesti vuosia.
confusing	hämmentävä	Selitys oli hämmentävä.
conscious	tajuissaan	Hän oli tajuissaan kaatumisen jälkeen.
conservative	konservatiivinen	Ehdotus oli melko konservatiivinen.
consideration	huomio	Ota tämä huomioon.
consistent	johdonmukainen	Hänen työnsä on johdonmukaisesti hyvää.
constant	jatkuva	Siellä oli jatkuvaa melua.
constantly	jatkuvasti	Puhelin soi jatkuvasti.
construct	rakentaa	He rakensivat uuden sillan.
construction	rakentaminen	Rakentaminen alkaa kesäkuussa.
contemporary	nykyajan	Museo esittelee nykyajan taidetta.
contest	kilpailu	Hän voitti kilpailun.
contract	sopimus	Sopimus päättyy perjantaina.
contribute	osallistua	Kaikki voivat osallistua rahastoon.
contribution	panos	Hänen panoksensa oli tärkeä.
convert	muuntaa	He muuttivat rakennuksen asunnoiksi.
convinced	vakuuttunut	Olen vakuuttunut, että hän on oikeassa.
core	ydin	Luottamus on ongelman ydin.
corporate	yritys-	Yritys muutti yritysstrategiaansa.
council	neuvosto	Neuvosto hyväksyi suunnitelman.
county	piirikunta	Piirikunta sai uudet rajat.
courage	rohkeus	Hän osoitti suurta rohkeutta.
crash	törmäys	Törmäys tukki tien.
creation	luominen	Työpaikkojen luominen vie aikaa.
creature	olento	Olento liikkui hitaasti.
crew	miehistö	Miehistö pysyi rauhallisena.
crisis	kriisi	Kriisi kesti kuukausia.
criterion	kriteeri	Hinta ei ole ainoa kriteeri.
critic	kriitikko	Kriitikko kehui elokuvaa.
critical	kriittinen	Tilanne on kriittinen.
criticism	kritiikki	Hän otti kritiikin rauhallisesti.
criticize	arvostella	Älä arvostele häntä liian nopeasti.
crop	sato	Sato tarvitsi lisää sadetta.
crucial	ratkaiseva	Aika on tässä ratkaisevaa.
cure	parannuskeino	Parannuskeinoa ei ole vielä.
curve	kaari	Tiessä on jyrkkä kaari.
curved	kaareva	Sillalla on kaareva muoto.
debate	keskustelu	Keskustelu alkoi myöhään.
debt	velka	Hän maksoi velkansa takaisin.
decent	kunnollinen	Hän löysi kunnollisen hotellin.
declare	julistaa	Hallitus julisti hätätilan.
decline	lasku	Lasku oli odottamaton.
decoration	koriste	Koriste riippui oven yläpuolella.
decrease	vähentyä	Kulut vähenivät hitaasti.
deeply	syvästi	Hän tunsi itsensä syvästi loukatuksi.
defeat	tappio	Tappio oli vaikea hyväksyä.
defence	puolustus	Puolustus oli hyvin valmisteltu.
defend	puolustaa	Hän puolusti päätöstään.
delay	viive	Viive kesti tunnin.
deliberate	tahallinen	Se oli tahallinen valinta.
deliberately	tahallaan	Hän sivuutti varoituksen tahallaan.
delight	ilo	Uutinen toi paljon iloa.
delighted	ilahtunut	Hän oli ilahtunut tuloksesta.
delivery	toimitus	Toimitus tulee huomenna.
demand	kysyntä	Huoneiden kysyntä kasvoi.
demonstrate	osoittaa	Luvut osoittavat ongelman.
deny	kieltää	Hän kielsi syytöksen.
depressed	masentunut	Hän tunsi itsensä masentuneeksi.
depressing	masentava	Uutinen oli masentava.
depth	syvyys	Mittaa veden syvyys.
deserve	ansaita	He ansaitsevat rehellisen vastauksen.
desire	halu	Hänen halunsa vapauteen säilyi.
desperate	epätoivoinen	Hän teki epätoivoisen yrityksen.
detailed	yksityiskohtainen	Saimme yksityiskohtaisen raportin.
detect	havaita	Testi voi havaita virheitä.
dig	kaivaa	He kaivoivat syvän kuopan.
disc	levy	Vanha levy ei toiminut.
discipline	kuri	Kuri auttaa harjoittelussa.
dishonest	epärehellinen	Vastaus kuulosti epärehelliseltä.
dismiss	hylätä	Tuomari hylkäsi valituksen.
display	näyttää	Näyttö näyttää tulokset.
distribute	jakaa	He jakoivat ruokaa kylässä.
distribution	jakelu	Jakelu ei ollut reilu.
district	piiri	Piiri sai uuden koulun.
division	osasto	Hän työskentelee talousosastolla.
domestic	kotimainen	Kotimaan lennot ovat halvempia.
dominate	hallita	Yksi joukkue hallitsi peliä.
downwards	alaspäin	Nuoli osoittaa alaspäin.
dozen	tusina	Hän osti tusinan munia.
draft	luonnos	Ensimmäinen luonnos on valmis.
drag	raahata	Raahaa tuoli seinän luo.
dramatic	dramaattinen	Muutos oli dramaattinen.
edit	muokata	Muokkaa teksti huolellisesti.
edition	painos	Tämä painos sisältää uusia kortteja.
efficient	tehokas	Järjestelmä on tehokas.
elderly	vanhus	Vanhus sai apua.
elect	valita	He valitsivat uuden johtajan.
elsewhere	muualla	Meidän täytyy etsiä muualta.
emerge	ilmetä	Uusia faktoja ilmeni.
emotional	tunteikas	Keskustelusta tuli tunteikas.
emphasis	painotus	Painotus on turvallisuudessa.
emphasize	korostaa	Korosta tärkeintä kohtaa.
enable	mahdollistaa	Sovellus mahdollistaa nopean oppimisen.
encounter	kohdata	He kohtasivat ongelman.
engage	osallistaa	Opettaja osallisti luokan.
enhance	parantaa	Tämä toiminto parantaa kokemusta.
enquiry	tutkimus	Tutkimus alkaa huomenna.
ensure	varmistaa	Tarkista tämä turvallisuuden varmistamiseksi.
enthusiasm	innostus	Hänen innostuksensa tarttui muihin.
enthusiastic	innostunut	Ryhmä oli innostunut.
entire	koko	Koko joukkue tuli.
entirely	täysin	Olen täysin samaa mieltä.
establish	perustaa	He perustivat uuden yrityksen.
estate	tila	Tila sijaitsee kaupungin ulkopuolella.
estimate	arvio	Arvio oli liian matala.
ethical	eettinen	Valinta oli eettisesti vaikea.
evaluate	arvioida	Meidän täytyy arvioida tulokset.
evil	pahuus	Tarina kertoo pahuudesta.
examination	tutkimus	Tutkimus kesti kaksi tuntia.
excuse	tekosyy	Tekosyy kuulosti heikolta.
executive	johtaja	Johtaja erosi.
existence	olemassaolo	Kirjeen olemassaolo vahvistettiin.
expectation	odotus	Odotus oli liian korkea.
expense	kulu	Tämä kulu ei ollut suunniteltu.
exploration	tutkimusmatka	Tutkimusmatka alkoi aikaisin.
expose	altistaa	Älä altista lapsia savulle.
extend	pidentää	He pidensivät määräaikaa.
extent	laajuus	Vahingon laajuus on tuntematon.
external	ulkoinen	Ulkoinen tiimi tarkistaa tämän.
extraordinary	poikkeuksellinen	Se oli poikkeuksellinen saavutus.
facility	laitos	Laitos avautuu ensi viikolla.
failure	epäonnistuminen	Hänen epäonnistumisensa oli tuskallinen.
faith	usko	Hän menetti uskonsa järjestelmään.
fault	virhe	Se ei ollut sinun virheesi.
feather	sulka	Sulka oli pöydällä.
fee	maksu	Maksu sisältyy hintaan.
feedback	palaute	Palaute oli hyödyllistä.
fellow	kollega	Kollegani auttoi minua.
finance	rahoitus	Hän opiskelee rahoitusta.
finding	löydös	Löydös yllätti tiimin.
firm	yritys	Yritys kasvaa nopeasti.
flame	liekki	Liekki kasvoi suuremmaksi.
flash	välähdys	Välähdys valaisi huoneen.
flexible	joustava	Aikataulu on joustava.
float	kellua	Puu voi kellua vedessä.
folding	taitettava	Hän osti taitettavan tuolin.
forgive	antaa anteeksi	Voin antaa hänelle anteeksi.
former	entinen	Entinen johtaja puhui lyhyesti.
fortune	omaisuus	Hän menetti omaisuutensa.
found	perustaa	He perustivat klubin vuonna 1998.
freedom	vapaus	Vapaus on tärkeää kaikille.
frequency	taajuus	Taajuus kasvoi.
fully	täysin	Ymmärrän sen täysin.
fund	rahasto	Rahasto tukee tutkimusta.
fundamental	perustavanlaatuinen	Tämä on perustavanlaatuinen oikeus.
funding	rahoitus	Rahoitus hyväksyttiin.
furthermore	lisäksi	Lisäksi suunnitelma on halvempi.
gain	saada	He saivat lisää tukea.
gang	jengi	Jengi pidätettiin.
generate	tuottaa	Ohjelma tuottaa raportin.
genre	genre	Pidän tästä genrestä.
govern	hallita	Lait hallitsevat maan toimintaa.
grab	tarttua	Tartu laukkuun nopeasti.
gradually	vähitellen	Kipu katosi vähitellen.
grand	mahtava	Hotellilla oli mahtava sisäänkäynti.
grant	apuraha	Koulu sai apurahan.
guarantee	takuu	Takuu on voimassa kaksi vuotta.
handle	käsitellä	Hän käsittelee painetta hyvin.
harm	haitta	Tupakointi aiheuttaa haittaa.
harmful	haitallinen	Tämä aine on haitallinen.
hearing	kuulo	Hänen kuulonsa heikkeni.
heaven	taivas	Taivas oli kirkas.
heel	kantapää	Kantapäähäni sattuu.
hell	helvetti	Matka tuntui helvetiltä.
hesitate	epäröidä	Älä epäröi soittaa.
hollow	ontto	Puu oli sisältä ontto.
holy	pyhä	Temppeli on pyhä paikka.
honour	kunnia	Se oli suuri kunnia.
household	kotitalous	Jokainen kotitalous sai kirjeen.
housing	asuminen	Asuminen on täällä kallista.
humorous	humoristinen	Hänen tarinansa oli humoristinen.
humour	huumori	Hänen huumorinsa rauhoitti kaikki.
hunting	metsästys	Metsästys on täällä kielletty.
illustrate	havainnollistaa	Kaavio havainnollistaa eron.
illustration	kuvitus	Kuvitus on sivulla kaksi.
imagination	mielikuvitus	Käytä mielikuvitustasi.
impatient	kärsimätön	Hänestä tuli kärsimätön jonossa.
imply	vihjata	Vihjaatko, että olen väärässä?
impose	määrätä	Hallitus määräsi uudet säännöt.
impress	vaikuttaa	Hänen rohkeutensa teki vaikutuksen kaikkiin.
impressed	vaikuttunut	Olin vaikuttunut työstä.
inch	tuuma	Näyttö on viisi tuumaa leveä.
incident	välikohtaus	Välikohtaus tutkittiin.
income	tulo	Hänen tulonsa kasvoivat tänä vuonna.
increasingly	yhä enemmän	Se käy yhä enemmän selväksi.
industrial	teollinen	Kaupungissa on teollisuusalue.
infection	infektio	Infektio levisi nopeasti.
inform	ilmoittaa	Ilmoita meille muutoksista.
initial	alustava	Alustavat kustannukset olivat korkeat.
initially	aluksi	Aluksi kukaan ei ymmärtänyt sitä.
initiative	aloite	Hän teki aloitteen.
inner	sisäinen	Hänen sisäinen voimansa säilyi.
insight	oivallus	Tutkimus antoi uuden oivalluksen.
insist	vaatia	Hän vaati vastausta.
inspire	innoittaa	Hänen tarinansa innoitti luokkaa.
install	asentaa	Asenna sovellus tänään.
instance	esimerkki	Tämä on selkeä esimerkki.
