source_headword	RO	example_RO
speculate	a specula	Experții speculează despre cauză.
speculation	speculația	Articolul a încurajat speculația.
spice	condimentul	Adăugați câte un condiment pe rând.
spill	a vărsa	Nu vărsa sucul.
spite	ciuda	El a reușit în ciuda problemelor.
spoil	a strica	Prea multă sare poate strica supa.
spokesman	purtătorul de cuvânt	Purtătorul de cuvânt a răspuns la întrebări.
spokesperson	purtătorul de cuvânt	Purtătorul de cuvânt a citit o declarație.
spokeswoman	purtătoarea de cuvânt	Purtătoarea de cuvânt s-a adresat presei.
sponsorship	sponsorizarea	Echipa are nevoie de sponsorizare.
sporting	sportiv	Orașul găzduiește evenimente sportive.
stall	taraba	Taraba din piață vinde fructe.
stance	atitudinea	Ministrul și-a schimbat atitudinea.
starve	a muri de foame	Fără hrană, animalele pot muri de foame.
steadily	constant	Compania a crescut constant.
steam	aburul	Aburul s-a ridicat din supă.
stimulate	a stimula	Culorile strălucitoare pot stimula interesul.
