source_headword	MY	example_MY
unfortunate	ကံမကောင်းသော	အမှားသည် ကံမကောင်းသော်လည်း ပြုပြင်နိုင်သည်။
unite	စည်းလုံးသည်	ခေါင်းဆောင်များသည် ပါတီကို စည်းလုံးအောင် ကြိုးစားခဲ့သည်။
unity	စည်းလုံးညီညွတ်ရေး	မိန့်ခွန်းက အမျိုးသား စည်းလုံးညီညွတ်ရေးကို တောင်းဆိုခဲ့သည်။
universal	စကြာဝဠာ	အက်ပ်သည် စကြာဝဠာဒီဇိုင်းကို အသုံးပြုသည်။
urgent	အရေးပေါ်	ဆေးရုံသည် အရေးပေါ် ဖုန်းခေါ်ဆိုမှုတစ်ခု လက်ခံရရှိခဲ့သည်။
usage	အသုံးပြုမှု	လမ်းညွှန်က မှန်ကန်သော အသုံးပြုမှုကို ရှင်းပြထားသည်။
useless	အသုံးမဝင်သော	ကျိုးနေသော အားသွင်းကြိုးသည် အသုံးမဝင်ပါ။
valid	တရားဝင်သော	သင့်နိုင်ငံကူးလက်မှတ်သည် တရားဝင်ဆဲဖြစ်သည်။
variation	ကွဲပြားမှု	စျေးနှုန်းများတွင် ကျယ်ပြန့်စွာ ကွဲပြားမှုရှိသည်။
vertical	ဒေါင်လိုက်	ဇယားတွင် ဒေါင်လိုက် ဝင်ရိုးတစ်ခု ပါရှိသည်။
viewpoint	အမြင်	စကားစစ်ထိုးပွဲအပြီးတွင် သူမ၏အမြင် ပြောင်းလဲသွားသည်။
visa	ဗီဇာ	သူသည် ကျောင်းသားဗီဇာ လျှောက်ထားခဲ့သည်။
visible	မြင်နိုင်သော	ဆိုင်းဘုတ်ကို ဤနေရာမှ မြင်နိုင်သည်။
voluntary	စေတနာ့ဝန်ထမ်း	သင်တန်းတွင် စေတနာ့ဝန်ထမ်း အလုပ်ရုံဆွေးနွေးပွဲများ ပါဝင်သည်။
voting	မဲပေးခြင်း	ကြိုတင်မဲပေးခြင်းကို နောက်တစ်ပတ်တွင် စတင်မည်။
wander	လှည့်လည်သည်	ကမ္ဘာလှည့်ခရီးသည်များသည် ဈေးဟောင်းတွင် လှည့်လည်သွားလာကြသည်။
warming	ပူနွေးလာခြင်း	ကမ္ဘာကြီးပူနွေးလာခြင်းသည် ပင်လယ်ရေမျက်နှာပြင်ကို သက်ရောက်မှုရှိသည်။
weekly	အပတ်စဉ်	အဖွဲ့သည် အပတ်စဉ် အစည်းအဝေးတစ်ခု ကျင်းပသည်။
weird	ထူးဆန်းသော	အသံသည် ထူးဆန်းနေသည်။
welfare	လူမှုဖူလုံရေး	အစီအစဉ်သည် ကလေးသူငယ် လူမှုဖူလုံရေးကို ပံ့ပိုးပေးသည်။
wheat	ဂျုံ	လယ်သမားက ဂျုံစိုက်ပျိုးသည်။
whoever	မည်သူမဆို	ဦးစွာရောက်လာသူ မည်သူမဆို အပြင်တွင် စောင့်သင့်သည်။
widespread	ကျယ်ပြန့်သော	မုန်တိုင်းသည် ကျယ်ပြန့်သော ပျက်စီးမှုကို ဖြစ်စေခဲ့သည်။
wisdom	ဉာဏ်ပညာ	သူမ၏ အဖွားသည် လက်တွေ့ကျသော ဉာဏ်ပညာကို မျှဝေခဲ့သည်။
withdraw	ရုပ်သိမ်းသည်	သူသည် လျှောက်လွှာကို ရုပ်သိမ်းလိုက်သည်။
workforce	လုပ်သားအင်အား	လုပ်သားအင်အားသည် ကျွမ်းကျင်မှုအသစ်များ လိုအပ်သည်။
workplace	လုပ်ငန်းခွင်	လုပ်ငန်းခွင်တွင် ရှင်းလင်းသော လုံခြုံရေးစည်းမျဉ်းများ ရှိသည်။
workshop	အလုပ်ရုံဆွေးနွေးပွဲ	အလုပ်ရုံဆွေးနွေးပွဲ ဆယ်နာရီတွင် စတင်မည်။
worm	တီကောင်	တီကောင်တစ်ကောင်သည် မြေကြီးပေါ်တွင် ရွေ့လျားသွားသည်။
wrist	လက်ကောက်ဝတ်	သူမသည် လက်ကောက်ဝတ်ကို ဒဏ်ရာရခဲ့သည်။
