source_headword	KO	example_KO
intelligent	똑똑한;지적인	그는 똑똑한 학생이에요.
international	국제적인	이곳은 국제공항이에요.
introduction	소개;도입	소개는 짧았어요.
invent	발명하다	아이들은 새로운 게임을 발명할 수 있어요.
invention	발명	그 발명은 시간을 절약했어요.
invitation	초대;초대장	나는 초대장을 받았어요.
invite	초대하다	네 친구도 초대하세요.
involve	포함하다;관련되다	그 일에는 여행이 포함될 거예요.
item	물건;항목	물건 하나를 고르세요.
itself	그 자체;스스로	기계가 스스로 꺼져요.
jam	잼	빵에 잼을 바르세요.
jazz	재즈	오늘 밤 재즈가 멋지게 들려요.
jewellery	보석;장신구	그녀는 보석을 상자에 보관해요.
joke	농담	나에게 농담을 해 주세요.
journalist	기자	기자가 질문했어요.
jump	뛰다	선을 넘어 뛰세요.
kid	아이	그 아이가 웃고 있어요.
kill	죽이다	그 곤충을 죽이지 마세요.
king	왕	왕은 궁전에 살았어요.
knee	무릎	내 무릎이 아파요.
knife	칼	날카로운 칼을 사용하세요.
knock	두드리다	들어가기 전에 노크하세요.
knowledge	지식	지식은 연습으로 늘어요.
lab	실험실	실험실은 닫혀 있어요.
lady	여성;숙녀	그 여성이 우리에게 미소 지었어요.
lake	호수	호수는 잔잔해요.
lamp	램프;등	등을 켜세요.
laptop	노트북 컴퓨터	내 노트북은 새것이에요.
last1 (taking time)	지속되다	그 영화는 두 시간 동안 계속돼요.
laughter	웃음소리	우리는 밖에서 웃음소리를 들었어요.
law	법	법이 어제 바뀌었어요.
lawyer	변호사	변호사가 나에게 전화했어요.
lazy	게으른	게으르지 마세요.
lead1	이끌다;안내하다	좋은 지도자는 모범으로 이끌어요.
leader	지도자;리더	그녀는 팀 리더예요.
learning	학습	학습에는 시간이 걸려요.
least	가장 적은;최소의	가장 싼 것을 고르세요.
lecture	강의	강의는 열 시에 시작해요.
lemon	레몬	차에 레몬을 넣으세요.
lend	빌려주다	나에게 오 달러를 빌려줄 수 있나요?
less	더 적은	설탕을 덜 먹으세요.
level	수준;단계	이 단계는 쉬워요.
lifestyle	생활 방식	그는 건강한 생활 방식을 가지고 있어요.
lift	들어 올리다	상자를 조심해서 들어 올리세요.
light	불을 붙이다	초에 조심해서 불을 붙이세요.
light (not heavy)	가벼운	이 가방은 가벼워요.
likely	가능성이 있는	내일 비가 올 가능성이 있어요.
link	링크	나에게 링크를 보내 주세요.
listener	듣는 사람;청자	좋은 청자가 되세요.
lock	잠그다	문을 잠그세요.
lorry	트럭	트럭이 상자들을 실었어요.
lost	길을 잃은;잃어버린	우리는 길을 잃었어요.
loud	큰 소리의	음악 소리가 커요.
loudly	큰 소리로	큰 소리로 말하지 마세요.
lovely	사랑스러운;멋진	정말 멋진 정원이네요!
low	낮은	의자가 낮아요.
luck	운	시험 잘 보길 바라요.
lucky	운이 좋은	오늘 당신은 운이 좋아요.
mail	우편;메일	나는 오늘 아침 우편을 받았어요.
major	주요한;큰	이것은 큰 문제예요.
male	수컷의;남성의	수컷 새는 색이 밝아요.
manage	관리하다;해내다	이 일을 해낼 수 있나요?
manager	관리자;매니저	매니저는 바빠요.
manner	방식;태도	공손한 태도로 말하세요.
mark	표시하다;점수	답을 분명히 표시하세요.
marry	결혼하다	그들은 6월에 결혼할 거예요.
material	재료;소재	이 소재는 부드러워요.
mathematics	수학	수학은 내가 가장 좋아하는 과목이에요.
maths	수학	수학은 나에게 어려워요.
matter	중요하다;문제	그것은 중요하지 않아요.
may modal	~해도 된다;~일지도 모른다	이제 떠나도 돼요.
media	미디어;언론	언론이 그 이야기를 보도했어요.
medical	의료의	그녀는 의료 도움이 필요해요.
medicine	약;의학	점심 후에 이 약을 드세요.
memory	기억;기억력	내 기억력은 좋아요.
mention	언급하다	내 이름을 언급하지 마세요.
metal	금속	문은 금속이에요.
method	방법	이 방법은 잘 통해요.
middle	가운데	가운데에 서세요.
might modal	~일지도 모른다	나중에 비가 올지도 몰라요.
mind	마음;생각	나는 마음을 바꾸었어요.
mine (belongs to me)	내 것	이 책은 내 것이에요.
mirror	거울	거울을 보세요.
missing	없어진;빠진	내 열쇠가 없어졌어요.
mobile	휴대전화	내 휴대전화는 탁자 위에 있어요.
monkey	원숭이	원숭이가 나무에 올랐어요.
moon	달	달이 밝아요.
mostly	대부분	수업은 대부분 조용해요.
motorcycle	오토바이	그는 오토바이를 타요.
movement	움직임	나는 나무 사이에서 움직임을 봤어요.
musical	음악의;뮤지컬	이것은 음악 영화예요.
musician	음악가	음악가가 기타를 연주했어요.
myself	나 자신	나는 이것을 직접 만들었어요.
narrow	좁은	길이 좁아요.
national	국가의;전국적인	그날은 국가 공휴일이에요.
nature	자연	나는 자연을 사랑해요.
nearly	거의	우리는 거의 다 왔어요.
necessary	필요한	이것이 필요한가요?
neck	목	내 목이 아파요.
neither	둘 다 아닌	두 답 모두 맞지 않아요.
nervous	긴장한	그녀는 긴장하고 있어요.
network	네트워크	네트워크가 끊겼어요.
noise	소음;소리	나는 큰 소리를 들었어요.
noisy	시끄러운	그 거리는 시끄러워요.
none	아무도 없음;하나도 없음	그들 중 아무도 오지 않았어요.
normal	정상적인;보통의	이것은 정상이에요.
normally	보통	나는 보통 일찍 일어나요.
notice	알아차리다;공지	그 표지판을 알아차렸나요?
novel	소설	그녀는 소설을 썼어요.
nowhere	아무 데도	앉을 곳이 아무 데도 없어요.
nut	견과;너트	그 견과는 딱딱해요.
ocean	바다;대양	바다는 깊어요.
offer	제안;제공	나는 그 제안을 받아들였어요.
officer	공무원;경찰관	경찰관이 내 표를 확인했어요.
oil	기름	팬에 기름을 넣으세요.
onto	위로	그것을 선반 위에 놓으세요.
opportunity	기회	이것은 좋은 기회예요.
option	선택지	가장 좋은 선택지를 고르세요.
ordinary	평범한	그날은 평범한 날이었어요.
organization	조직	그 조직은 학생들을 도와요.
organize	정리하다;조직하다	파일을 정리해 주세요.
original	원래의;원본의	원본 영수증을 보관하세요.
ourselves	우리 자신	우리는 저녁을 직접 만들었어요.
oven	오븐	오븐이 뜨거워요.
owner	주인;소유자	주인이 가게를 열었어요.
pack	짐을 싸다;포장하다	지금 가방을 싸세요.
pain	고통;통증	나는 등에 통증을 느껴요.
painter	화가;칠하는 사람	칠하는 사람이 벽을 끝냈어요.
palace	궁전	궁전은 오래되었어요.
pants	바지	이 바지는 너무 길어요.
parking	주차	여기서는 주차가 어려워요.
particular	특정한	나는 특정한 책이 필요해요.
pass	건네주다;지나가다	소금을 건네주세요.
passenger	승객	각 승객은 표가 필요해요.
patient	참을성 있는	아이들에게 참을성 있게 대하세요.
pattern	무늬;패턴	이 무늬는 단순해요.
peace	평화	우리는 모두 평화를 원해요.
penny	페니	나는 페니 하나를 찾았어요.
per	~당;마다	표는 한 사람당 십 달러예요.
per cent	퍼센트	오 퍼센트는 작아요.
perform	공연하다;수행하다	밴드는 오늘 밤 공연할 거예요.
perhaps	아마도	아마 그녀는 집에 있을 거예요.
permission	허락	먼저 허락을 구하세요.
personality	성격	그는 친근한 성격을 가지고 있어요.
pet	애완동물	내 애완동물은 고양이예요.
petrol	휘발유	차에는 휘발유가 필요해요.
physical	신체의;물리적인	신체 운동은 건강에 도움이 돼요.
physics	물리학	물리학은 어려워요.
pick	고르다;따다	카드 한 장을 고르세요.
pilot	조종사	조종사가 분명하게 말했어요.
planet	행성	지구는 행성이에요.
plastic	플라스틱;플라스틱의	이 병은 플라스틱이에요.
plate	접시	음식을 접시에 놓으세요.
platform	승강장;플랫폼	2번 승강장에서 기다리세요.
pleased	기쁜;만족한	만나서 반가워요.
pocket	주머니	표는 내 주머니에 있어요.
polite	공손한	모두에게 공손하게 대하세요.
pollution	오염	오염은 바다를 해쳐요.
pop	팝 음악	나는 팝 음악을 좋아해요.
population	인구	인구가 늘고 있어요.
position	위치;자세	자세를 바꾸세요.
possession	소유물;소유	이 반지는 내 소유물이에요.
possibility	가능성	비가 올 가능성이 있어요.
poster	포스터	포스터를 벽에 붙이세요.
power	힘;전력	컴퓨터에는 전력이 필요해요.
predict	예측하다	우리는 날씨를 예측할 수 없어요.
president	대통령;회장	대통령이 연설했어요.
prevent	막다;예방하다	병을 예방하려면 손을 씻으세요.
print	인쇄하다	문서를 인쇄하세요.
printer	프린터	프린터가 고장 났어요.
prison	감옥	그는 감옥에 갔어요.
prize	상	그녀는 상을 받았어요.
process	과정	그 과정은 시간이 걸려요.
produce	생산하다	농장은 음식을 생산해요.
professional	전문적인;전문가의	그녀는 전문 무용수예요.
professor	교수	교수가 질문에 답했어요.
profile	프로필	프로필을 업데이트하세요.
program	프로그램	프로그램이 지금 시작해요.
progress	진전;진보	우리는 오늘 진전을 이루었어요.
promise	약속;약속하다	약속을 지키세요.
pronounce	발음하다	이 단어를 발음해 주세요.
protect	보호하다	눈을 보호하세요.
provide	제공하다	그들은 무료 물을 제공해요.
pub	술집;펍	우리는 펍에서 만났어요.
public	공공의;대중의	그 공원은 공공장소예요.
publish	출판하다;발표하다	그들은 잡지를 출판해요.
pull	당기다	문을 당기세요.
purpose	목적	목적이 무엇인가요?
push	밀다;누르다	버튼을 누르세요.
quality	품질	품질이 높아요.
quantity	수량	수량을 확인하세요.
queen	여왕	여왕이 손을 흔들었어요.
quietly	조용히	조용히 말하세요.
race (competition)	경주;경기	경주가 곧 시작돼요.
railway	철도	철도가 폐쇄되었어요.
raise	올리다;기르다	손을 들어 주세요.
rate	요금;비율	호텔 요금이 높아요.
rather	꽤;차라리	나는 꽤 피곤해요.
reach	닿다;도착하다	선반에 닿을 수 있나요?
react	반응하다	그는 어떻게 반응했나요?
realize	깨닫다	나는 내 실수를 깨달았어요.
receive	받다	내 메시지를 받았나요?
recent	최근의	이것은 최근 사진이에요.
recently	최근에	나는 최근에 여기로 이사했어요.
reception	접수;환영회	접수는 월요일에 있어요.
recipe	요리법	이 요리법은 쉬워요.
recognize	알아보다;인정하다	나는 그 노래를 알아요.
recommend	추천하다	나는 이 책을 추천해요.
record	기록;녹음	결제 기록을 보관하세요.
recording	녹음	녹음이 선명하게 들려요.
recycle	재활용하다	종이와 플라스틱을 재활용하세요.
reduce	줄이다	불을 줄이세요.
refer	참조하다;언급하다	2쪽을 참조하세요.
refuse1	거절하다	나는 거짓말하기를 거절해요.
region	지역	이 지역은 추워요.
regular	정기적인;단골의	그는 단골손님이에요.
relationship	관계	그들의 관계는 튼튼해요.
remove	제거하다;벗다	신발을 벗으세요.
repair	수리하다	오늘 자전거를 수리하세요.
replace	교체하다	오래된 배터리를 교체하세요.
reply	답장하다	곧 답장해 주세요.
reporter	기자	기자가 메모를 했어요.
request	요청	나는 요청을 했어요.
research	연구	우리는 지역 역사를 연구해요.
researcher	연구자	연구자가 데이터를 확인했어요.
respond	응답하다	오늘 응답해 주세요.
response	응답;대답	그녀의 대답은 빨랐어요.
rest (remaining part)	나머지	나머지는 나중에 먹으세요.
rest (sleep/relax)	쉬다;휴식	당신은 쉬어야 해요.
review	복습하다;검토하다	오늘 밤 노트를 복습하세요.
ring1	반지	그녀는 금반지를 끼고 있었어요.
ring2	전화하다	점심 후에 나에게 전화하세요.
rise	오르다;상승하다	가격은 매년 올라요.
rock (stone)	바위;돌	그 돌은 무거워요.
