simplified	JA	example_JA	KO	example_KO	VI	example_VI
表扬	褒める; 表彰する	彼はよく校長に褒められます。	칭찬하다; 표창하다	그는 자주 교장 선생님에게 칭찬을 받아요.	khen ngợi; biểu dương	Anh ấy thường được hiệu trưởng khen ngợi.
饼干	ビスケット; クッキー	クッキーを買ったので、少し食べましょう。	비스킷; 쿠키	제가 쿠키를 샀으니 좀 먹어요.	bánh quy	Tôi mua bánh quy rồi, ăn một chút nhé.
并且	そのうえ; さらに	彼女は賢く、そのうえとても努力しています。	그리고; 또한	그녀는 똑똑하고 또 아주 열심히 해요.	hơn nữa; và	Cô ấy rất thông minh, hơn nữa còn rất chăm chỉ.
博士	博士; ドクター	紹介します。こちらは李博士です。	박사	소개할게요. 이분은 이 박사님입니다.	tiến sĩ; bác sĩ	Để tôi giới thiệu, đây là tiến sĩ Lý.
不过	しかし; ただし	彼は優秀ですが、会社の採用条件には合いません。	하지만; 그러나	그는 뛰어나지만 회사의 채용 조건에는 맞지 않아요.	nhưng; tuy nhiên	Anh ấy rất xuất sắc, nhưng không phù hợp với điều kiện tuyển dụng của công ty.
不得不	〜せざるを得ない; 〜しなければならない	外は大雨なので、家にいなければなりません。	어쩔 수 없이 해야 하다; 반드시 해야 하다	밖에 큰비가 내려서 저는 집에 있을 수밖에 없어요.	đành phải; buộc phải	Bên ngoài mưa to, tôi buộc phải ở nhà.
不管	〜にかかわらず; どんなに〜でも	天気がどうであっても、私は山に登らなければなりません。	상관없이; 막론하고	날씨가 어떻든 저는 산에 올라야 해요.	bất kể; dù	Dù trời thế nào, tôi cũng phải leo núi.
不仅	〜だけでなく	私はその町に行ったことがあるだけでなく、何度も行きました。	뿐만 아니라	저는 그 도시에 가 본 적이 있을 뿐만 아니라 여러 번 가 봤어요.	không chỉ	Không chỉ tôi đã từng đến thành phố đó, mà còn đến rất nhiều lần.
部分	部分; セクション	文章の最も重要な部分は第三段落です。	부분; 구역	글에서 가장 핵심적인 부분은 세 번째 단락이에요.	phần; bộ phận	Phần quan trọng nhất của bài viết là đoạn thứ ba.
擦	拭く; こする	私はもう窓をきれいに拭きました。	닦다; 문지르다	저는 이미 창문을 깨끗이 닦았어요.	lau; chùi	Tôi đã lau sạch cửa sổ rồi.
猜	当てる; 推測する	私があなたにどんな誕生日プレゼントを用意したか当ててみて。	맞히다; 추측하다	제가 당신을 위해 어떤 생일 선물을 준비했는지 맞혀 보세요.	đoán	Bạn đoán xem tôi đã chuẩn bị quà sinh nhật gì cho bạn?
材料	材料; 資料	申し込みにはどんな資料が必要ですか。	자료; 재료	등록에는 어떤 자료가 필요해요?	tài liệu; vật liệu	Đăng ký cần những tài liệu gì?
参观	見学する; 参観する	週末に万里の長城を見学したいです。	참관하다; 견학하다	저는 주말에 만리장성을 구경하러 가고 싶어요.	tham quan	Tôi muốn cuối tuần đi tham quan Vạn Lý Trường Thành.
餐厅	レストラン; 食堂	学校の近くに新しいレストランがオープンしました。	식당; 레스토랑	학교 근처에 새 식당이 열렸어요.	nhà hàng; phòng ăn	Gần trường mới mở một nhà hàng.
厕所	トイレ	男性用トイレは一階にあります。	화장실	남자 화장실은 1층에 있어요.	nhà vệ sinh	Nhà vệ sinh nam ở tầng một.
差不多	ほとんど; だいたい	私は毎日だいたい七時に起きます。	거의; 대략	저는 매일 대략 7시에 일어나요.	gần như; khoảng	Tôi gần như ngày nào cũng dậy lúc 7 giờ.
尝	味見する; 試す	早く私の作った料理を味見して、味はどうですか。	맛보다; 시도하다	빨리 제가 만든 요리를 맛보세요. 맛이 어때요?	nếm; thử	Mau nếm thử món tôi làm xem mùi vị thế nào.
长城	万里の長城	週末に万里の長城を見学したいです。	만리장성	저는 주말에 만리장성을 구경하러 가고 싶어요.	Vạn Lý Trường Thành	Tôi muốn cuối tuần đi tham quan Vạn Lý Trường Thành.
长江	長江; 揚子江	長江は中国で一番大きな川です。	창장; 양쯔강	창장은 중국에서 가장 큰 강이에요.	sông Trường Giang	Sông Trường Giang là con sông lớn nhất Trung Quốc.
场	場所; イベントの量詞	この雨はちょうどよい時に降りました。	장소; 회차를 세는 말	이번 비는 아주 제때 내렸어요.	trận; nơi; lượng từ sự kiện	Cơn mưa này đến rất kịp thời.
超过	超える; 上回る	ここでは毎日三百便以上の飛行機が出発します。	초과하다; 넘다	매일 이곳에서 300편이 넘는 항공편이 이륙해요.	vượt quá	Hằng ngày có hơn ba trăm chuyến bay cất cánh ở đây.
乘坐	乗る	この便にご搭乗いただきありがとうございます。	탑승하다; 타다	이번 항공편에 탑승하신 것을 환영합니다.	đi; ngồi phương tiện	Chào mừng quý khách đi chuyến bay này.
成功	成功; 成功する	努力は成功を得る保証です。	성공; 성공하다	노력은 성공을 얻는 보장이에요.	thành công	Nỗ lực là sự bảo đảm để đạt được thành công.
成为	〜になる	私は子どもの頃から警察官になりたいと思っていました。	되다	저는 어릴 때부터 경찰이 되고 싶었어요.	trở thành	Từ nhỏ tôi đã muốn trở thành một cảnh sát.
诚实	正直な; 誠実な	正直な人は私たちの尊敬に値します。	정직하다; 성실하다	정직한 사람은 우리의 존중을 받을 만해요.	thành thật; trung thực	Người trung thực đáng được chúng ta tôn trọng.
吃惊	驚く	その知らせを聞いて、彼はとても驚きました。	놀라다	그 소식을 듣고 그는 매우 놀랐어요.	kinh ngạc; ngạc nhiên	Nghe tin này, anh ấy rất kinh ngạc.
重新	もう一度; 改めて	彼はそのことをもう一度言い直しました。	다시; 새로	그는 그 일을 다시 한 번 말했어요.	lại; lại từ đầu	Anh ấy nói lại việc đó một lần nữa.
抽烟	タバコを吸う	すみません、病院ではタバコを吸えません。	담배를 피우다	죄송하지만 병원에서는 담배를 피울 수 없어요.	hút thuốc	Xin lỗi, trong bệnh viện không được hút thuốc.
出差	出張する	父はもう一か月以上出張しています。	출장 가다	아버지는 이미 한 달 넘게 출장 중이에요.	đi công tác	Bố đã đi công tác hơn một tháng rồi.
出发	出発する	私は北京から出発して上海へ行きます。	출발하다	저는 베이징에서 출발해 상하이로 가요.	xuất phát	Tôi xuất phát từ Bắc Kinh đi Thượng Hải.
出生	生まれる	私は小さな町で生まれました。	태어나다	저는 작은 도시에서 태어났어요.	ra đời; sinh ra	Tôi sinh ra ở một thành phố nhỏ.
出现	現れる; 発生する	私たちの仕事には多くの問題が出てきました。	나타나다; 발생하다	우리 일에서 적지 않은 문제가 나타났어요.	xuất hiện	Nhiều vấn đề đã xuất hiện trong công việc của chúng tôi.
厨房	キッチン; 台所	果物ナイフは台所にあります。	주방; 부엌	과일칼은 부엌에 있어요.	nhà bếp	Dao gọt trái cây ở trong bếp.
传真	ファックス	ファックスを一通送るのを手伝ってください。	팩스	팩스 한 부 보내는 것을 도와주세요.	fax	Xin hãy giúp tôi gửi một bản fax.
窗户	窓	私はもう窓をきれいに拭きました。	창문	저는 이미 창문을 깨끗이 닦았어요.	cửa sổ	Tôi đã lau sạch cửa sổ rồi.
词语	語句; 言葉	これらの語句を使って文をいくつか作ってください。	단어; 어구	이 단어들을 사용해서 문장을 몇 개 말해 보세요.	từ ngữ	Xin hãy dùng những từ ngữ này để nói vài câu.
从来	いつも; これまで一度も	私は彼に会ったことがありません。	지금까지; 전혀	저는 지금까지 그를 본 적이 없어요.	từ trước đến nay; chưa từng	Tôi chưa từng gặp anh ấy bao giờ.
粗心	不注意な; そそっかしい	あなたは本当に不注意すぎます。	부주의하다; 덜렁대다	당신은 정말 너무 부주의해요.	bất cẩn; cẩu thả	Bạn thật sự quá bất cẩn.
存	預ける; 保存する	私はお金を銀行に預けました。	맡기다; 저장하다; 존재하다	저는 돈을 은행에 넣었어요.	gửi; lưu trữ; tồn tại	Tôi đã gửi tiền vào ngân hàng.
错误	間違い; 誤り	私の間違いを指摘してくれてありがとう。	잘못; 오류	제 잘못을 지적해 줘서 고마워요.	lỗi; sai lầm	Cảm ơn bạn đã chỉ ra lỗi của tôi.
答案	答え; 解答	あなたの答えは正しいです。	답; 해답	당신의 답은 맞아요.	đáp án; câu trả lời	Đáp án của bạn đúng.
打扮	身支度をする; おしゃれをする	彼女は簡単に身支度をして出かけました。	꾸미다; 차려입다	그녀는 간단히 꾸미고 나갔어요.	ăn mặc; trang điểm	Cô ấy sửa soạn đơn giản rồi ra ngoài.
打扰	邪魔する; 迷惑をかける	すみません、少しお邪魔します。	방해하다; 실례하다	죄송하지만 잠시 방해할게요.	làm phiền	Xin lỗi, làm phiền bạn một chút.
打印	印刷する	これらの資料はもう印刷し終わりました。	인쇄하다	이 자료들은 이미 다 인쇄됐어요.	in	Các tài liệu này đã in xong rồi.
打招呼	挨拶する	彼は笑顔で私に挨拶しました。	인사하다	그는 웃으며 저에게 인사했어요.	chào hỏi	Anh ấy cười và chào tôi.
打折	割引する; セールをする	春節前、ショッピングモールはみんな割引をしています。	할인하다	춘절 전에 쇼핑몰들이 모두 할인해요.	giảm giá	Trước Tết Xuân, các trung tâm thương mại đều giảm giá.
打针	注射をする; 注射を受ける	息子は注射をとても怖がっています。	주사를 맞다; 주사를 놓다	아들은 주사를 아주 무서워해요.	tiêm; chích thuốc	Con trai rất sợ tiêm.
大概	たぶん; およそ	彼はたぶん来ないでしょう。	아마; 대략	그는 아마 오지 않을 거예요.	có lẽ; khoảng	Có lẽ anh ấy sẽ không đến.
大使馆	大使館	私は明日、大使館へビザを取りに行きます。	대사관	저는 내일 대사관에 비자를 신청하러 가요.	đại sứ quán	Ngày mai tôi sẽ đến đại sứ quán làm thị thực.
大约	およそ; 約	彼はおよそ三十代です。	약; 대략	그는 대략 서른 살이 넘은 것 같아요.	khoảng; chừng	Anh ấy khoảng hơn ba mươi tuổi.
大夫	医者; 先生	李先生、明日の午前中は病院にいますか。	의사; 선생님	이 의사 선생님, 내일 오전에 병원에 계세요?	bác sĩ	Bác sĩ Lý, sáng mai ngài có ở bệnh viện không?
戴	身につける; かける	彼はこの黒い眼鏡をかけています。	쓰다; 착용하다	그는 이 검은 안경을 쓰고 있어요.	đeo; đội	Anh ấy đeo cặp kính màu đen này.
当	〜になる; 務める	私は医者になりたいです。	~가 되다; 맡다	저는 의사가 되고 싶어요.	làm; trở thành	Tôi muốn làm bác sĩ.
当时	当時; その時	私はその時の状況をよく覚えていません。	당시; 그때	저는 당시의 상황이 잘 기억나지 않아요.	lúc đó; khi ấy	Tôi không nhớ rõ tình hình lúc đó.
刀	包丁; ナイフ	果物ナイフは台所にあります。	칼	과일칼은 부엌에 있어요.	dao	Dao gọt trái cây ở trong bếp.
导游	ガイド; 観光ガイド	私の姉は観光ガイドです。	가이드; 관광 안내원	제 언니는 관광 가이드예요.	hướng dẫn viên	Chị gái tôi là một hướng dẫn viên du lịch.
倒	倒れる; 倒す	強い風が木を倒しました。	넘어지다; 넘어뜨리다	강한 바람이 나무를 쓰러뜨렸어요.	đổ; làm đổ	Gió mạnh đã quật đổ cây.
到处	至る所; どこでも	公園には至る所に花があります。	도처에; 곳곳에	공원에는 곳곳에 꽃이 있어요.	khắp nơi	Trong công viên khắp nơi đều là hoa tươi.
到底	いったい; 結局	この文はいったいどういう意味ですか。	도대체; 결국	이 문장은 도대체 무슨 뜻이에요?	rốt cuộc; cuối cùng	Câu này rốt cuộc có nghĩa là gì?
道歉	謝る; 謝罪する	私はもう彼に謝りました。	사과하다	저는 이미 그에게 사과했어요.	xin lỗi; xin lỗi chính thức	Tôi đã xin lỗi anh ấy rồi.
得	〜しなければならない	明日は試験なので、早く寝なければなりません。	해야 하다; 반드시	내일 시험이 있어서 저는 일찍 자야 해요.	phải; cần phải	Ngày mai có thi, tôi phải đi ngủ sớm.
得意	得意になる; 誇らしい	仕事が成功して、みんなとても得意げでした。	뿌듯하다; 득의양양하다	일이 성공해서 모두 매우 뿌듯해했어요.	đắc ý; tự hào	Công việc thành công, mọi người đều rất tự hào.
登机牌	搭乗券	搭乗券をしっかり持って、搭乗の準備をしてください。	탑승권	탑승권을 잘 챙기고 탑승 준비를 하세요.	thẻ lên máy bay	Xin hãy cầm chắc thẻ lên máy bay và chuẩn bị lên máy bay.
等	など; 〜等	テーブルの上にはリンゴやバナナなどの果物があります。	등; 따위	탁자 위에는 사과, 바나나 등의 과일이 있어요.	vân vân; như	Bàn có trái cây như táo, chuối, v.v.
低	低い	もう少し高く、今は低すぎます。	낮다	좀 더 높게요, 지금은 너무 낮아요.	thấp	Cao hơn một chút, bây giờ thấp quá.
底	底; 基礎	コップの底はきれいです。	바닥; 밑	컵 바닥이 깨끗해요.	đáy; nền	Đáy cốc rất sạch.
地点	場所; 地点	会議の場所は三階の会議室です。	장소; 지점	회의 장소는 3층 회의실이에요.	địa điểm	Địa điểm họp ở phòng họp tầng ba.
地球	地球	地球の表面の大部分は海です。	지구	지구 표면의 대부분은 바다예요.	trái đất	Phần lớn bề mặt Trái Đất là biển.
地址	住所	ご住所を書いてください。	주소	주소를 적어 주세요.	địa chỉ	Xin hãy viết địa chỉ của ngài xuống.
掉	落ちる; 落とす	鍵が地面に落ちました。	떨어지다; 떨어뜨리다	열쇠가 바닥에 떨어졌어요.	rơi; làm rơi	Chìa khóa rơi xuống đất.
调查	調査; 調査する	警察が調査をしています。	조사; 조사하다	경찰이 조사하고 있어요.	điều tra	Cảnh sát đang tiến hành điều tra.
丢	なくす; 捨てる	かばんをなくしたのですか。	잃어버리다; 버리다	책가방을 잃어버렸어요?	mất; vứt	Bạn làm mất cặp sách rồi à?
动作	動作; 動き	私がダンスを教えます。動作はとても簡単です。	동작; 행동	제가 춤을 가르쳐 줄게요. 동작은 아주 간단해요.	động tác; hành động	Để tôi dạy bạn nhảy, động tác rất đơn giản.
堵车	渋滞	私は道路にいて、また渋滞しました。	교통 체증; 막히다	저는 길 위에 있었고 또 차가 막혔어요.	tắc đường	Tôi đang trên đường thì lại bị tắc đường.
肚子	お腹; 腹	お腹が痛いです。	배; 복부	저는 배가 아파요.	bụng; dạ dày	Tôi đau bụng.
短信	ショートメッセージ; 携帯メール	用事があればメッセージを送るか電話してください。	문자 메시지; 휴대전화 문자	일이 있으면 저에게 문자를 보내거나 전화해 주세요.	tin nhắn; tin nhắn điện thoại	Có việc gì xin hãy nhắn tin hoặc gọi điện cho tôi.
对话	会話; 対話	この会話は比較的簡単で、私は聞き取れます。	대화	이 대화는 비교적 쉬워서 저는 알아들을 수 있어요.	đối thoại	Cuộc đối thoại này khá đơn giản, tôi nghe hiểu được.
对面	向かい; 反対側	私は学校の向かいに住んでいます。	맞은편; 건너편	저는 학교 맞은편에 살아요.	đối diện	Tôi sống ngay đối diện trường học.
对于	〜について; 〜に関して	この問題について、私は違う見方を持っています。	에 대해; 에 관하여	이 문제에 대해 저는 다른 견해가 있어요.	đối với; về	Đối với vấn đề này, tôi có cách nhìn khác.
儿童	子ども; 児童	身長一メートル二十以下の子どもは子ども切符を買えます。	어린이; 아동	키가 1미터 20 이하인 아이는 어린이표를 살 수 있어요.	trẻ em	Trẻ em cao dưới một mét hai có thể mua vé trẻ em.
而	そして; しかし	この服は安くてきれいです。	그리고; 그런데	이 옷은 싸고 예뻐요.	mà; và	Bộ quần áo này vừa rẻ vừa đẹp.
发生	起こる; 発生する	状況は大きく変化しました。	발생하다; 일어나다	상황이 크게 변했어요.	xảy ra; phát sinh	Tình hình đã có thay đổi rất lớn.
发展	発展する; 発展	この数年、経済は急速に発展しました。	발전; 발전하다	최근 몇 년 동안 경제가 빠르게 발전했어요.	phát triển	Những năm này kinh tế phát triển rất nhanh.
法律	法律; 法	私は大学で法律を専攻しています。	법률; 법	저는 대학에서 법률 전공을 공부해요.	pháp luật; luật	Tôi học chuyên ngành luật ở đại học.
翻译	翻訳する; 通訳する	この文章を中国語に翻訳してください。	번역하다; 통역하다	이 글을 중국어로 번역해 주세요.	dịch; phiên dịch	Xin hãy dịch bài viết này sang tiếng Trung.
烦恼	悩み; 悩む	もうこのことで悩まないでください。	걱정; 고민하다	이 일 때문에 더 이상 고민하지 마세요.	phiền não; lo lắng	Đừng phiền não vì việc này nữa.
反对	反対する	この計画にはみんな反対しています。	반대하다	이 계획은 모두가 반대해요.	phản đối	Mọi người đều phản đối kế hoạch này.
方法	方法; 手段	私たちはきっと問題を解決する方法を見つけられます。	방법	우리는 반드시 문제를 해결할 방법을 찾을 수 있어요.	phương pháp; cách	Chúng ta nhất định tìm được cách giải quyết vấn đề.
方面	面; 分野	父は歴史方面の本を読むのが好きです。	방면; 분야	아버지는 역사 분야의 책을 읽는 것을 좋아해요.	phương diện; lĩnh vực	Bố thích đọc sách về lĩnh vực lịch sử.
方向	方向	この方向ですか。道に迷った気がします。	방향	이 방향이 맞아요? 저는 우리가 길을 잃은 것 같아요.	phương hướng; hướng	Đúng hướng này không? Tôi thấy chúng ta lạc đường rồi.
房东	大家; 家主	私の大家さんは親切で、よく助けてくれます。	집주인	제 집주인은 친절해서 자주 저를 도와줘요.	chủ nhà	Chủ nhà của tôi rất thân thiện, thường giúp tôi.
放弃	あきらめる; 放棄する	私は留学の機会をあきらめました。	포기하다	저는 유학할 기회를 포기했어요.	từ bỏ	Tôi đã từ bỏ cơ hội du học.
放暑假	夏休みに入る	明日から夏休みになります。	여름방학을 하다	내일부터 여름방학이에요.	nghỉ hè	Ngày mai là bắt đầu nghỉ hè rồi.
放松	リラックスする	試験が終わったので、少しリラックスする必要があります。	긴장을 풀다; 쉬다	시험이 끝났으니 우리는 좀 쉬어야 해요.	thư giãn	Kỳ thi kết thúc rồi, chúng ta cần thư giãn một chút.
份	部; 分	ファックスを一通送るのを手伝ってください。	부; 몫	팩스 한 부 보내는 것을 도와주세요.	phần; bản	Xin hãy giúp tôi gửi một bản fax.
丰富	豊かな; 豊富な	読書は私たちの生活を豊かにできます。	풍부하다; 풍성하다	독서는 우리의 생활을 풍부하게 할 수 있어요.	phong phú; làm phong phú	Đọc sách có thể làm phong phú cuộc sống của chúng ta.
否则	そうでなければ	今出発しましょう。そうでないと遅刻します。	그렇지 않으면	우리 지금 출발해요. 그렇지 않으면 늦을 거예요.	nếu không; nếu không thì	Bây giờ chúng ta xuất phát đi, nếu không sẽ đến muộn.
符合	合う; 条件に合う	彼女は私たちの採用条件によく合っています。	부합하다; 맞다	그녀는 우리의 채용 조건에 아주 잘 맞아요.	phù hợp; đáp ứng	Cô ấy rất phù hợp với điều kiện tuyển dụng của chúng tôi.
付款	支払う; 支払い	買い物はオンラインで支払えます。	결제하다; 지불하다	쇼핑은 온라인으로 결제할 수 있어요.	thanh toán	Việc mua sắm có thể thanh toán trực tuyến.
复印	コピーする; 複写する	この資料をもう二部コピーしてください。	복사하다	이 자료를 두 부 더 복사해 주세요.	photocopy; sao chép	Xin hãy photocopy thêm hai bản tài liệu này.
复杂	複雑な	これは複雑な技術問題です。	복잡하다	이것은 복잡한 기술 문제예요.	phức tạp	Đây là một vấn đề kỹ thuật phức tạp.
富	豊かな; 裕福な	人々の生活はますます豊かになっています。	부유하다; 풍요롭다	사람들의 생활이 점점 더 풍요로워지고 있어요.	giàu; giàu có	Cuộc sống của mọi người ngày càng giàu hơn.
父亲	父; 父親	私の父は今年八十三歳です。	아버지	제 아버지는 올해 여든세 살이에요.	cha; bố	Bố tôi năm nay tám mươi ba tuổi.
负责	責任を持つ; 責任感がある	小李は仕事にとても責任感があります。	책임지다; 책임감이 있다	샤오리는 일에 아주 책임감이 있어요.	phụ trách; có trách nhiệm	Tiểu Lý làm việc rất có trách nhiệm.
改变	変える; 変わる	私はもう計画を変えました。	바꾸다; 변하다	저는 이미 계획을 바꿨어요.	thay đổi	Tôi đã thay đổi kế hoạch rồi.
干杯	乾杯する; 乾杯	皆さん、よい祝日を。乾杯！	건배하다; 건배	여러분 즐거운 명절 보내세요, 건배!	cạn ly; chúc mừng	Chúc mọi người ngày lễ vui vẻ, cạn ly!
感动	感動する; 感動させる	彼の言葉に私はとても感動しました。	감동하다; 감동시키다	그의 말이 저를 매우 감동시켰어요.	cảm động	Lời nói của anh ấy khiến tôi rất cảm động.
感觉	感じる; 感覚	今日は少し寒く感じます。	느끼다; 느낌	오늘은 조금 춥게 느껴져요.	cảm thấy; cảm giác	Tôi cảm thấy hôm nay hơi lạnh.
感情	感情; 関係	彼らの関係はとてもいいです。	감정; 관계	그들 사이의 관계가 아주 좋아요.	tình cảm; cảm xúc	Tình cảm giữa họ rất tốt.
感谢	感謝する	私たちを助けてくださってありがとうございます。	감사하다	저희를 도와주셔서 감사합니다.	cảm ơn; biết ơn	Cảm ơn ngài đã giúp đỡ chúng tôi.
敢	あえて〜する; 勇気がある	一人で行く勇気がありません。	감히 하다; 용기가 있다	혼자 갈 용기가 없어요.	dám	Tôi không dám đi một mình.
赶	急ぐ; 間に合う	時間どおりに助けに来てくれてありがとう。	서두르다; 제때 오다	제때 와서 저를 도와줘서 고마워요.	vội; kịp đến	Cảm ơn bạn đã kịp thời đến giúp tôi.
干	する; 働く	何をしているのですか。	하다; 일하다	무엇을 하고 있어요?	làm; làm việc	Bạn đang làm gì?
刚	たった今; ちょうど	さっき言ったことを許してください。	방금; 막	제가 방금 한 말을 용서해 주세요.	vừa mới; vừa	Xin hãy tha thứ cho những lời tôi vừa nói.
高速公路	高速道路	ここに新しい高速道路が建設されました。	고속도로	여기에 새 고속도로가 건설됐어요.	đường cao tốc	Ở đây mới xây một con đường cao tốc.
胳膊	腕	彼は腕が少し痛いです。	팔	그는 팔이 조금 아파요.	cánh tay	Cánh tay của anh ấy hơi đau.
各	各; それぞれ	スーパーにはいろいろな果物があります。	각; 각각	슈퍼마켓에는 여러 가지 과일이 있어요.	mỗi; các	Trong siêu thị có các loại trái cây.
公里	キロメートル	この二つの都市の間の距離は三百キロメートルです。	킬로미터	이 두 도시 사이의 거리는 300킬로미터예요.	ki-lô-mét	Khoảng cách giữa hai thành phố này là 300 ki-lô-mét.
功夫	カンフー; 技	最近、中国カンフーを習っています。	쿵후; 재주	저는 요즘 중국 쿵후를 배우고 있어요.	công phu; kung fu	Gần đây tôi đang học kung fu Trung Quốc.
工资	給料; 賃金	彼の新しい仕事は給料が高いです。	임금; 월급	그의 새 일은 월급이 높아요.	tiền lương	Công việc mới của anh ấy có lương cao.
共同	共通の; 共同の	私たちには共通の目標があります。	공동의; 공통의	우리는 공통의 목표가 있어요.	chung; cùng nhau	Chúng tôi có một mục tiêu chung.
够	十分な; 足りる	今日はかなり寒いです。	충분하다; 꽤	오늘은 꽤 추워요.	đủ; khá	Hôm nay khá lạnh.
购物	買い物	買い物はオンラインで支払えます。	쇼핑; 물건 사기	쇼핑은 온라인으로 결제할 수 있어요.	mua sắm	Việc mua sắm có thể thanh toán trực tuyến.
估计	見積もる; 思う	彼らはもう空港に着いたと思います。	추정하다; 생각하다	저는 그들이 이미 공항에 도착했을 거라고 생각해요.	ước tính; đoán	Tôi đoán họ đã đến sân bay rồi.
鼓励	励ます; 励まし	親は子どもをもっと励ますべきです。	격려하다; 격려	부모는 아이에게 더 많은 격려를 해 줘야 해요.	khuyến khích	Bố mẹ nên khuyến khích con nhiều hơn.
故意	わざと; 故意に	すみません、わざとではありません。	고의로; 일부러	죄송해요, 저는 일부러 그런 게 아니에요.	cố ý	Xin lỗi, tôi không cố ý.
