simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR	ES-419	example_ES-419	AZ	example_AZ	UZ	example_UZ
好看	güzel; hoş görünen	Bu fotoğraf güzel görünüyor.	kupendeza kuonekana	Picha hii inaonekana nzuri.	bonito; agradável de ver	Esta foto ficou bonita.	bonito; agradable a la vista	Esta foto se ve bonita.	gözəl; baxımlı	Bu şəkil gözəl görünür.	chiroyli; ko'rkam	Bu surat chiroyli ko'rinadi.
好听	kulağa hoş gelen	Bu şarkı kulağa hoş geliyor.	kupendeza kusikiliza	Wimbo huu unasikika vizuri.	agradável de ouvir	Esta canção soa bonita.	agradable de oír	Esta canción suena bonita.	xoş səslənən	Bu mahnı xoş səslənir.	yoqimli eshitiladigan	Bu qo'shiq yoqimli eshitiladi.
好玩儿	eğlenceli	Bu oyun eğlenceli.	kufurahisha	Mchezo huu unafurahisha.	divertido	Este jogo é divertido.	divertido	Este juego es divertido.	əyləncəli	Bu oyun əyləncəlidir.	qiziqarli	Bu o'yin qiziqarli.
后	arka; sonra	Okulun arkasında park var.	nyuma; baada	Nyuma ya shule kuna bustani.	atrás; depois	Há um parque atrás da escola.	atrás; después	Detrás de la escuela hay un parque.	arxa; sonra	Məktəbin arxasında park var.	orqa; keyin	Maktab orqasida bog' bor.
火车	tren	Trenle Pekin'e gidiyorum.	treni	Ninaenda Beijing kwa treni.	trem	Vou a Pequim de trem.	tren	Voy a Pekín en tren.	qatar	Pekinə qatarla gedirəm.	poyezd	Pekinga poyezdda boraman.
家人	aile; aile üyesi	Bütün ailem Pekin'de.	familia; mwanafamilia	Familia yangu yote iko Beijing.	família; membro da família	Toda a minha família está em Pequim.	familia; miembro de la familia	Toda mi familia está en Pekín.	ailə; ailə üzvü	Bütün ailəm Pekindədir.	oila; oila a'zosi	Butun oilam Pekinda.
见	görmek; buluşmak	Yarın öğretmenle buluşacağım.	kuona; kukutana	Kesho nitakutana na mwalimu.	ver; encontrar	Amanhã vou encontrar o professor.	ver; encontrarse	Mañana me reuniré con el profesor.	görmək; görüşmək	Sabah müəllimlə görüşəcəyəm.	ko'rmoq; uchrashmoq	Ertaga o'qituvchi bilan uchrashaman.
今年	bu yıl	Bu yıl Çince öğreniyorum.	mwaka huu	Mwaka huu ninajifunza Kichina.	este ano	Este ano estou aprendendo chinês.	este año	Este año estudio chino.	bu il	Bu il Çin dili öyrənirəm.	bu yil	Bu yil xitoy tilini o'rganyapman.
开车	araba kullanmak	Babam her gün işe arabayla gider.	kuendesha gari	Baba huenda kazini kwa gari kila siku.	dirigir carro	Meu pai vai trabalhar de carro todos os dias.	manejar auto	Mi papá va al trabajo en auto todos los días.	maşın sürmək	Atam hər gün işə maşınla gedir.	mashina haydamoq	Dadam har kuni ishga mashinada boradi.
看病	doktora gitmek	Yarın hastaneye doktora gideceğim.	kwenda kwa daktari	Kesho nitaenda hospitalini kumwona daktari.	ir ao médico	Amanhã vou ao hospital para ver um médico.	ir al médico	Mañana iré al hospital a ver al médico.	həkimə getmək	Sabah xəstəxanaya həkimə gedəcəyəm.	shifokorga borish	Ertaga shifoxonaga shifokorga boraman.
没事	bir şey yok; iyi olmak	İyiyim, merak etme.	hakuna kitu; kuwa sawa	Niko sawa, usiwe na wasiwasi.	não foi nada; estar bem	Estou bem, não se preocupe.	no pasa nada; estar bien	Estoy bien, no te preocupes.	heç nə; yaxşı olmaq	Yaxşıyam, narahat olma.	hech narsa emas; yaxshi bo'lish	Yaxshiman, xavotir olma.
没有	yok; sahip olmamak	Telefonum yok.	kutokuwa na; hakuna	Sina simu.	não ter; não haver	Não tenho telefone.	no tener; no hay	No tengo teléfono.	olmamaq; yoxdur	Telefonum yoxdur.	yo'q; ega bo'lmaslik	Menda telefon yo'q.
们	kişiler için çoğul eki	Öğretmenler ofiste.	kiambishi cha wingi kwa watu	Walimu wako ofisini.	sufixo de plural para pessoas	Os professores estão no escritório.	sufijo plural para personas	Los profesores están en la oficina.	insanlar üçün cəm şəkilçisi	Müəllimlər ofisdədir.	odamlar uchun ko'plik qo'shimchasi	O'qituvchilar ofisda.
面条儿	erişte	Öğlen erişte yiyorum.	tambi	Mchana ninakula tambi.	macarrão	No almoço, como macarrão.	fideos	Al mediodía como fideos.	əriştə	Günorta əriştə yeyirəm.	ugra	Tushlikda ugra yeyman.
明年	gelecek yıl	Gelecek yıl Çin'e gideceğim.	mwaka ujao	Mwaka ujao nitaenda China.	ano que vem	No ano que vem, vou à China.	el año que viene	El año que viene iré a China.	gələn il	Gələn il Çinə gedəcəyəm.	kelasi yil	Kelasi yil Xitoyga boraman.
哪个	hangi; hangisi	Hangi fincanı beğeniyorsun?	ipi; gani	Unapenda kikombe kipi?	qual; qual deles	De qual xícara você gosta?	cuál; cuál de ellos	¿Cuál taza te gusta?	hansı; hansı biri	Hansı fincanı bəyənirsən?	qaysi; qaysi biri	Qaysi piyola sizga yoqadi?
哪里	nerede	Nerede oturuyorsun?	wapi	Unaishi wapi?	onde	Onde você mora?	dónde	¿Dónde vives?	harada	Harada yaşayırsan?	qayerda	Qayerda yashaysiz?
哪儿	nerede; nereye	Nereye gidiyorsun?	wapi; kwenda wapi	Unaenda wapi?	onde; para onde	Para onde você vai?	dónde; adónde	¿Adónde vas?	harada; hara	Hara gedirsən?	qayerda; qayerga	Qayerga ketyapsiz?
哪些	hangileri	Hangi kitaplar senin?	zipi	Vitabu vipi ni vyako?	quais	Quais livros são seus?	cuáles	¿Cuáles libros son tuyos?	hansılar	Hansı kitablar sənindir?	qaysilar	Qaysi kitoblar sizniki?
那边	orası; o taraf	Mağaza orada.	pale; upande ule	Duka liko pale.	ali; aquele lado	A loja fica ali.	allá; aquel lado	La tienda está allá.	o tərəf; orada	Mağaza oradadır.	u tomon; u yer	Do'kon u yerda.
那个	şu; o	Şu öğrenci benim arkadaşım.	yule; kile	Mwanafunzi yule ni rafiki yangu.	aquele; esse	Aquele estudante é meu amigo.	ese; aquel	Ese estudiante es mi amigo.	o; həmin	O tələbə mənim dostumdur.	ana u; o'sha	O'sha o'quvchi mening do'stim.
那里	orası	Öğretmen orada.	pale	Mwalimu yuko pale.	ali; lá	O professor está ali.	allá; ahí	El profesor está allá.	orada	Müəllim oradadır.	u yer	O'qituvchi u yerda.
那儿	orası	Arkadaşım orada.	pale	Rafiki yangu yuko pale.	ali; lá	Meu amigo está ali.	allá; ahí	Mi amigo está allá.	orada	Dostum oradadır.	u yer	Do'stim u yerda.
那些	şunlar; onlar	Şu elmalar taze.	vile; hivyo	Maapulo yale ni mabichi.	aqueles; aquelas	Aquelas maçãs estão frescas.	esos; aquellos	Esas manzanas están frescas.	onlar; o şeylər	O almalar təzədir.	anavilar; o'shalar	O'sha olmalar yangi.
男	erkek; eril	Bu çocuk erkek.	mwanaume; kiume	Mtoto huyu ni mvulana.	masculino; homem	Esta criança é um menino.	masculino; hombre	Este niño es varón.	kişi; kişi cinsi	Bu uşaq oğlandır.	erkak; o'g'il	Bu bola o'g'il.
男朋友	erkek arkadaş	Onun erkek arkadaşı araba kullanmayı biliyor.	mpenzi wa kiume	Mpenzi wake wa kiume anajua kuendesha gari.	namorado	O namorado dela sabe dirigir.	novio	Su novio sabe manejar.	oğlan dostu; sevgili	Onun oğlan dostu maşın sürə bilir.	yigit; sevgili	Unining yigiti mashina hayday oladi.
你好	merhaba; iyi günler	Merhaba, benim adım Xiao Li.	habari; hujambo	Habari, ninaitwa Xiao Li.	olá; bom dia	Olá, meu nome é Xiao Li.	hola; buenos días	Hola, me llamo Xiao Li.	salam; günaydın	Salam, mənim adım Xiao Lidir.	salom; assalomu alaykum	Salom, mening ismim Xiao Li.
你们	siz	Bugün dersiniz var mı?	nyinyi	Je, mna somo leo?	vocês	Vocês têm aula hoje?	ustedes	¿Ustedes tienen clase hoy?	siz	Sizin bu gün dərsiniz var?	sizlar	Bugun darsingiz bormi?
女	kadın; dişi	O bir kadın doktor.	mwanamke; kike	Yeye ni daktari mwanamke.	feminino; mulher	Ela é médica.	femenino; mujer	Ella es médica.	qadın; qadın cinsi	O qadın həkimdir.	ayol; qiz	U ayol shifokor.
女朋友	kız arkadaş	Onun kız arkadaşı müziği sever.	mpenzi wa kike	Mpenzi wake wa kike anapenda muziki.	namorada	A namorada dele gosta de música.	novia	Su novia ama la música.	qız dostu; sevgili	Onun qız dostu musiqini sevir.	qiz do'st; sevgili	Unining qiz do'sti musiqani yaxshi ko'radi.
前	ön; önce	Okulun önünde kitapçı var.	mbele; kabla	Mbele ya shule kuna duka la vitabu.	frente; antes	Há uma livraria em frente à escola.	delante; antes	Hay una librería frente a la escuela.	ön; əvvəl	Məktəbin qarşısında kitab mağazası var.	old; avval	Maktab oldida kitob do'koni bor.
请问	affedersiniz, sorabilir miyim	Affedersiniz, tuvalet nerede?	samahani, naweza kuuliza	Samahani, choo kiko wapi?	com licença, posso perguntar	Com licença, onde fica o banheiro?	disculpe, puedo preguntar	Disculpe, ¿dónde está el baño?	bağışlayın, soruşa bilərəm	Bağışlayın, tualet haradadır?	kechirasiz, so'rasam bo'ladimi	Kechirasiz, hojatxona qayerda?
上课	derse girmek; ders başlamak	Saat sekizde dersimiz var.	kuwa darasani; somo kuanza	Tuna somo saa mbili.	ter aula; começar a aula	Temos aula às oito.	tener clase; empezar clase	Tenemos clase a las ocho.	dərsə girmək; dərs başlamaq	Saat səkkizdə dərsimiz var.	darsga kirish; dars boshlanishi	Soat sakkizda darsimiz bor.
上学	okula gitmek	Çocuklar her gün okula gider.	kwenda shule	Watoto huenda shule kila siku.	ir à escola	As crianças vão à escola todos os dias.	ir a la escuela	Los niños van a la escuela todos los días.	məktəbə getmək	Uşaqlar hər gün məktəbə gedirlər.	maktabga borish	Bolalar har kuni maktabga boradi.
事	iş; mesele	Bugün yapacak çok işim var.	jambo; kazi	Leo nina mambo mengi ya kufanya.	coisa; assunto	Hoje tenho muitas coisas para fazer.	cosa; asunto	Hoy tengo muchas cosas que hacer.	iş; məsələ	Bu gün çox işim var.	ish; masala	Bugun qiladigan ishlarim ko'p.
书店	kitapçı	Kitapçı sinemanın yanında.	duka la vitabu	Duka la vitabu liko kando ya sinema.	livraria	A livraria fica ao lado do cinema.	librería	La librería está al lado del cine.	kitab mağazası	Kitab mağazası kinoteatrın yanındadır.	kitob do'koni	Kitob do'koni kinoteatr yonida.
睡	uyumak	Çocuk çoktan uyudu.	kulala	Mtoto tayari amelala.	dormir	A criança já está dormindo.	dormir	El niño ya duerme.	yatmaq	Uşaq artıq yatır.	uxlamoq	Bola allaqachon uxlayapti.
说	konuşmak; söylemek	O çok iyi Çince konuşuyor.	kuzungumza; kusema	Anazungumza Kichina vizuri sana.	falar; dizer	Ele fala chinês muito bem.	hablar; decir	Él habla chino muy bien.	danışmaq; demək	O, Çin dilində çox yaxşı danışır.	gapirmoq; aytmoq	U xitoy tilida juda yaxshi gapiradi.
他们	onlar	Onlar sınıfta.	wao	Wao wako darasani.	eles	Eles estão na sala de aula.	ellos	Ellos están en el salón de clases.	onlar	Onlar sinifdədir.	ular	Ular sinfxonada.
它们	onlar; şeyler veya hayvanlar için	Bu kediler küçük; çok sevimliler.	wao kwa vitu au wanyama	Paka hawa ni wadogo; wanapendeza.	eles para coisas ou animais	Estes gatos são pequenos; são fofos.	ellos para cosas o animales	Estos gatos son pequeños; son lindos.	əşyalar və heyvanlar üçün onlar	Bu pişiklər balacadır; onlar sevimlidir.	narsalar yoki hayvonlar uchun ular	Bu mushuklar kichik; ular yoqimli.
她们	kadınlar için onlar	Hepsi üniversite öğrencisi.	wao kwa wanawake	Wote ni wanafunzi wa chuo kikuu.	elas	Elas são todas estudantes universitárias.	ellas	Ellas son todas estudiantes universitarias.	qadınlar üçün onlar	Onların hamısı universitet tələbəsidir.	ayollar uchun ular	Ularning hammasi universitet talabalari.
天	gün; gökyüzü	Bugün pazar.	siku; anga	Leo ni Jumapili.	dia; céu	Hoje é domingo.	día; cielo	Hoy es domingo.	gün; səma	Bu gün bazar günüdür.	kun; osmon	Bugun yakshanba.
听见	duymak	Telefonunu duydum.	kusikia	Nimesikia simu yako.	ouvir	Ouvi o seu telefone.	oír	Oí tu teléfono.	eşitmək	Telefonunu eşitdim.	eshitmoq	Telefoningizni eshitdim.
外边	dışarısı	Dışarıda yağmur yağıyor.	nje	Nje kunanyesha mvua.	lado de fora	Está chovendo lá fora.	afuera	Está lloviendo afuera.	çöl	Çöldə yağış yağır.	tashqari	Tashqarida yomg'ir yog'yapti.
晚	geç; akşam	Şimdi çok geç.	kuchelewa; jioni	Sasa ni kuchelewa sana.	tarde; noite	Agora está muito tarde.	tarde; noche	Ahora es muy tarde.	gec; axşam	İndi çox gecdir.	kech; oqshom	Hozir juda kech.
晚饭	akşam yemeği	Akşam yemeğinde pirinç yemek istiyorum.	chakula cha jioni	Chakula cha jioni nataka kula wali.	jantar	No jantar, quero comer arroz.	cena	Para la cena quiero comer arroz.	axşam yeməyi	Axşam yeməyində düyü yemək istəyirəm.	kechki ovqat	Kechki ovqatga guruch yemoqchiman.
午饭	öğle yemeği	Öğle yemeğinde erişte yiyoruz.	chakula cha mchana	Mchana tunakula tambi.	almoço	No almoço, comemos macarrão.	almuerzo	En el almuerzo comemos fideos.	günorta yeməyi	Günorta yeməyində əriştə yeyirik.	tushlik	Tushlikda ugra yeymiz.
下班	işten çıkmak	Annem saat beşte işten çıkar.	kumaliza kazi	Mama humaliza kazi saa kumi na moja.	sair do trabalho	Minha mãe sai do trabalho às cinco.	salir del trabajo	Mi mamá sale del trabajo a las cinco.	işdən çıxmaq	Anam saat beşdə işdən çıxır.	ishdan chiqish	Onam soat beshda ishdan chiqadi.
下课	ders bitmek; dersten sonra	Dersten sonra kitapçıya gidiyorum.	somo kuisha; baada ya darasa	Baada ya somo ninaenda duka la vitabu.	terminar a aula; depois da aula	Depois da aula, vou à livraria.	terminar la clase; después de clase	Después de clase voy a la librería.	dərs bitmək; dərsdən sonra	Dərsdən sonra kitab mağazasına gedirəm.	dars tugashi; darsdan keyin	Darsdan keyin kitob do'koniga boraman.
小朋友	çocuk	Çocuklar parkta oynuyor.	mtoto	Watoto wanacheza bustanini.	criança	As crianças brincam no parque.	niño; pequeño amigo	Los niños juegan en el parque.	uşaq	Uşaqlar parkda oynayırlar.	bola	Bolalar bog'da o'ynayapti.
小学	ilkokul	Küçük kız kardeşim ilkokula gidiyor.	shule ya msingi	Dada yangu mdogo anasoma shule ya msingi.	escola primária	Minha irmã mais nova vai à escola primária.	escuela primaria	Mi hermana menor va a la escuela primaria.	ibtidai məktəb	Kiçik bacım ibtidai məktəbə gedir.	boshlang'ich maktab	Singlim boshlang'ich maktabga boradi.
小学生	ilkokul öğrencisi	O ilkokul öğrencisi.	mwanafunzi wa shule ya msingi	Yeye ni mwanafunzi wa shule ya msingi.	aluno da escola primária	Ele é aluno da escola primária.	estudiante de primaria	Él es estudiante de primaria.	ibtidai məktəb şagirdi	O, ibtidai məktəb şagirdidir.	boshlang'ich maktab o'quvchisi	U boshlang'ich maktab o'quvchisi.
星期日	pazar	Pazar günü dersim yok.	Jumapili	Jumapili sina somo.	domingo	No domingo, não tenho aula.	domingo	El domingo no tengo clase.	bazar günü	Bazar günü dərsim yoxdur.	yakshanba	Yakshanba kuni darsim yo'q.
星期天	pazar	Pazar günü film izlemeye gidiyorum.	Jumapili	Jumapili ninaenda kutazama filamu.	domingo	No domingo, vou assistir a um filme.	domingo	El domingo voy a ver una película.	bazar günü	Bazar günü film izləməyə gedirəm.	yakshanba	Yakshanba kuni kino ko'rgani boraman.
学	öğrenmek; okumak	Çince öğreniyorum.	kujifunza; kusoma	Ninajifunza Kichina.	aprender; estudar	Estou aprendendo chinês.	aprender; estudiar	Estoy estudiando chino.	öyrənmək; oxumaq	Çin dili öyrənirəm.	o'rganmoq; o'qimoq	Xitoy tilini o'rganyapman.
一半	yarım; yarısı	Pirincin yarısını yedim.	nusu	Nimekula nusu ya wali.	metade	Comi metade do arroz.	mitad	Me comí la mitad del arroz.	yarı; yarısı	Düyünün yarısını yedim.	yarmi	Guruchning yarmini yedim.
一下	biraz; bir kere	Lütfen biraz bekle.	kidogo; mara moja	Tafadhali subiri kidogo.	um pouco; uma vez	Por favor, espere um pouco.	un poco; una vez	Por favor, espera un poco.	bir az; bir dəfə	Xahiş edirəm, bir az gözlə.	biroz; bir marta	Iltimos, biroz kuting.
一点儿	biraz	Biraz yorgunum.	kidogo	Nimechoka kidogo.	um pouco	Estou um pouco cansado.	un poco	Estoy un poco cansado.	bir az	Bir az yorulmuşam.	biroz	Biroz charchadim.
一些	birkaç; biraz	Birkaç elma aldım.	kadhaa; kidogo	Nimenunua maapulo kadhaa.	alguns; um pouco	Comprei algumas maçãs.	algunos; un poco	Compré algunas manzanas.	bir neçə; bir az	Bir neçə alma aldım.	bir nechta; biroz	Bir nechta olma sotib oldim.
有的	bazıları	Bazı öğrenciler şarkı söylemeyi sever.	baadhi	Baadhi ya wanafunzi hupenda kuimba.	alguns	Alguns alunos gostam de cantar.	algunos	A algunos estudiantes les gusta cantar.	bəziləri	Bəzi tələbələr mahnı oxumağı sevir.	ba'zilari	Ba'zi o'quvchilar kuylashni yaxshi ko'radi.
有点儿	biraz; azıcık	Bugün biraz soğuk.	kidogo; kiasi	Leo kuna baridi kidogo.	um pouco; meio	Hoje está um pouco frio.	un poco; algo	Hoy hace un poco de frío.	bir az; azca	Bu gün bir az soyuqdur.	biroz; sal	Bugun sal sovuq.
有些	bazıları; birkaç	Bazı kitaplar öğretmenin yanında.	baadhi; kadhaa	Baadhi ya vitabu viko kwa mwalimu.	alguns; algumas	Alguns livros estão com o professor.	algunos; algunas	Algunos libros están con el profesor.	bəzi; bir neçə	Bəzi kitablar müəllimin yanındadır.	ba'zi; bir nechta	Ba'zi kitoblar o'qituvchida.
雨	yağmur	Bugün yağmur yağıyor.	mvua	Leo kunanyesha mvua.	chuva	Hoje está chovendo.	lluvia	Hoy llueve.	yağış	Bu gün yağış yağır.	yomg'ir	Bugun yomg'ir yog'yapti.
早	erken; sabah	Her sabah çok erken kalkar.	mapema; asubuhi	Kila asubuhi huamka mapema sana.	cedo; manhã	Ele acorda muito cedo todas as manhãs.	temprano; mañana	Él se levanta muy temprano cada mañana.	erkən; səhər	O hər səhər çox erkən qalxır.	erta; tong	U har tong juda erta turadi.
早饭	kahvaltı	Kahvaltıda süt içiyorum.	kifungua kinywa	Kifungua kinywa nakunywa maziwa.	café da manhã	No café da manhã, tomo leite.	desayuno	En el desayuno tomo leche.	səhər yeməyi	Səhər yeməyində süd içirəm.	nonushta	Nonushtada sut ichaman.
怎么	nasıl	Okula nasıl gidiyorsun?	vipi	Unaenda shule vipi?	como	Como você vai à escola?	cómo	¿Cómo vas a la escuela?	necə	Məktəbə necə gedirsən?	qanday	Maktabga qanday borasiz?
这边	bu taraf; buraya	Lütfen buraya gel.	upande huu; hapa	Tafadhali njoo hapa.	este lado; por aqui	Por favor, venha por aqui.	este lado; por aquí	Por favor, ven por aquí.	bu tərəf; bura	Xahiş edirəm, bura gəl.	bu tomon; bu yerga	Iltimos, bu yerga keling.
这个	bu	Bu baozi çok lezzetli.	hiki; huyu	Baozi hii ni tamu sana.	este; isto	Este baozi está muito gostoso.	este; esto	Este baozi está muy sabroso.	bu	Bu baozi çox dadlıdır.	bu	Bu baozi juda mazali.
这里	burası	Burası benim okulum.	hapa	Hapa ni shule yangu.	aqui	Aqui é a minha escola.	aquí	Aquí está mi escuela.	bura	Bura mənim məktəbimdir.	bu yer	Bu yer mening maktabim.
这儿	burası	Burada bir restoran var.	hapa	Hapa kuna mgahawa.	aqui	Aqui há um restaurante.	aquí	Aquí hay un restaurante.	bura	Burada restoran var.	bu yer	Bu yerda restoran bor.
这些	bunlar	Bu Çince karakterleri yazmak kolay.	hivi	Herufi hizi za Kichina ni rahisi kuandika.	estes; estas	Estes caracteres chineses são fáceis de escrever.	estos; estas	Estos caracteres chinos son fáciles de escribir.	bunlar	Bu Çin yazı işarələrini yazmaq asandır.	bular	Bu xitoy ierogliflarini yozish oson.
只	hayvanlar veya çiftin teki için ölçü sözcüğü	Masanın altında bir kedi var.	kihesabu cha wanyama au kitu kimoja cha jozi	Kuna paka mmoja chini ya meza.	classificador para animais ou um de um par	Há um gato embaixo da mesa.	clasificador para animales o una pieza de un par	Hay un gato debajo de la mesa.	heyvanlar və ya cütün biri üçün say sözü	Masanın altında bir pişik var.	hayvonlar yoki juftning biri uchun hisob so'zi	Stol tagida bitta mushuk bor.
中学	ortaokul; lise	Ağabeyim ortaokulda okuyor.	shule ya sekondari	Kaka yangu mkubwa anasoma shule ya sekondari.	escola secundária	Meu irmão mais velho estuda na escola secundária.	secundaria; bachillerato	Mi hermano mayor estudia en la secundaria.	orta məktəb	Böyük qardaşım orta məktəbdə oxuyur.	o'rta maktab	Akam o'rta maktabda o'qiydi.
中学生	ortaokul öğrencisi	O bir ortaokul öğrencisi.	mwanafunzi wa shule ya sekondari	Yeye ni mwanafunzi wa shule ya sekondari.	estudante do ensino secundário	Ela é estudante do ensino secundário.	estudiante de secundaria	Ella es estudiante de secundaria.	orta məktəb şagirdi	O, orta məktəb şagirdidir.	o'rta maktab o'quvchisi	U o'rta maktab o'quvchisi.
字	karakter; yazı	Onun el yazısı çok güzel.	herufi; mwandiko	Mwandiko wake ni mzuri sana.	caractere; escrita	A letra dele é muito bonita.	carácter; escritura	Su letra es muy bonita.	yazı işarəsi; xətt	Onun xətti çox gözəldir.	harf; yozuv	Unining yozuvi juda chiroyli.
做饭	yemek yapmak	Babam mutfakta yemek yapıyor.	kupika	Baba anapika jikoni.	cozinhar	Meu pai cozinha na cozinha.	cocinar	Mi papá cocina en la cocina.	yemək bişirmək	Atam mətbəxdə yemək bişirir.	ovqat pishirmoq	Dadam oshxonada ovqat pishiryapti.
