source_headword	SW	example_SW
associate	kuhusisha	Watu huhusisha moshi na hatari.
associated	inayohusiana	Mkazo unahusiana na ugonjwa.
association	chama	Chama kinasaidia wasanii vijana.
assume	kudhani	Nadhani unakubali.
attempt	jaribio	Jaribio lake la kwanza lilishindwa.
bacteria	bakteria	Bakteria wanaweza kuenea haraka.
barrier	kizuizi	Lugha ilikuwa kizuizi.
basically	kimsingi	Kimsingi, tunahitaji muda zaidi.
bear (deal with)	kuvumilia	Siwezi kuvumilia kelele hizi.
beg	kuomba	Tafadhali omba msaada.
being	kiumbe	Kila kiumbe kinahitaji maji.
bent	iliyopinda	Fimbo ya chuma ilikuwa imepinda.
bet	kuweka dau	Naweka dau anajua.
beyond	zaidi ya	Kijiji kiko zaidi ya mto.
bitter	chungu	Dawa ilikuwa chungu.
blame	kulaumu	Usimlaumu dereva.
blind	kipofu	Alikuwa kipofu akiwa kijana.
bond	uhusiano	Uaminifu hujenga uhusiano wenye nguvu.
breast	titi	Alihisi maumivu kwenye titi lake.
brief	fupi	Fanya jibu lako liwe fupi.
broad	pana	Mto ni mpana hapa.
broadcast	kutangaza	Hotuba ilitangazwa moja kwa moja.
budget	bajeti	Bajeti ni finyu sana.
bullet	risasi	Risasi ilipiga ukuta.
bunch	rundo	Alibeba rundo la funguo.
bush	kichaka	Ndege alijificha kwenye kichaka.
cable	kebo	Kebo imekatika.
calculate	kuhesabu	Hesabu gharama ya jumla.
cancel	kufuta	Walifuta mkutano.
cancer	saratani	Matibabu ya saratani yanaweza kuwa magumu.
capable	mwenye uwezo	Ana uwezo wa zaidi.
capacity	uwezo	Ukumbi ulijaa.
capture	kunasa	Picha inanasa hisia.
cast	waigizaji	Waigizaji wako tayari.
cell	seli	Kila seli ina data.
chairman	mwenyekiti	Mwenyekiti alifungua mkutano.
characteristic	tabia	Uvumilivu ni tabia yake kuu.
chief	mkuu	Mhandisi mkuu alichelewa.
circumstance	hali	Fikiria kila hali kwa uangalifu.
cite	kunukuu	Tafadhali taja chanzo chako.
citizen	raia	Kila raia anaweza kupiga kura.
civil	kistaarabu	Maandamano yalibaki ya kistaarabu.
classic	ya asili	Filamu hii ni ya asili.
closely	kwa karibu	Tazama mchakato kwa karibu.
collapse	kuporomoka	Daraja la zamani linaweza kuporomoka.
combination	mchanganyiko	Mchanganyiko ulifanya kazi vizuri.
comfort	faraja	Maneno yake yalileta faraja.
command	amri	Afisa alitoa amri.
commission	tume	Tume ilipitia kesi hiyo.
commitment	kujitolea	Kazi inahitaji kujitolea.
committee	kamati	Kamati hukutana kila wiki.
commonly	kawaida	Mmea huu hukuzwa kwa kawaida.
complicated	ngumu	Maagizo ni magumu.
component	sehemu	Sehemu moja ilishindwa.
concentration	umakini	Kelele huvunja umakini wangu.
concept	dhana	Dhana ni rahisi.
concern	wasiwasi	Usalama ni wasiwasi wetu mkuu.
concerned	mwenye wasiwasi	Wazazi walikuwa na wasiwasi mkubwa.
conduct	fanya	Wanafanya utafiti hapa nchini.
confidence	ujasiri	Mazoezi hujenga ujasiri.
conflict	mgogoro	Mgogoro ulidumu kwa miaka.
confusing	-enye kuchanganya	Ramani ilikuwa inachanganya.
conscious	-enye fahamu	Aliendelea kuwa na fahamu.
conservative	-a kihafidhina	Maoni yake ni ya kihafidhina.
consideration	jambo la kuzingatia	Gharama ni jambo muhimu la kuzingatia.
consistent	thabiti	Matokeo yake ni thabiti.
constant	-a kila wakati	Kelele za kila wakati zilituchosha.
constantly	kila wakati	Anakagua simu yake kila wakati.
construct	jenga	Wafanyakazi walijenga daraja jipya.
construction	ujenzi	Ujenzi unaanza mwezi ujao.
contemporary	-a kisasa	Jumba la sanaa linaonyesha sanaa ya kisasa.
contest	shindano	Alishiriki katika shindano.
contract	mkataba	Soma mkataba kwa uangalifu.
contribute	changia	Kila mtu anaweza kuchangia mawazo.
contribution	mchango	Mchango wake ulikuwa wa thamani.
convert	badilisha	Walibadilisha karakana.
convinced	-enye uhakika	Nina uhakika alisema uongo.
core	msingi	Uaminifu ni suala la msingi.
corporate	-a shirika	Sheria za shirika zilibadilika tena.
council	baraza	Baraza liliidhinisha mpango.
county	kaunti	Kaunti ilikarabati barabara.
courage	ujasiri	Alionyesha ujasiri wa kweli.
crash	ajali	Ajali ilizuia trafiki.
creation	uundaji	Uundaji ulichukua miezi sita.
creature	kiumbe	Kiumbe hicho kilisonga kimya kimya.
crew	wafanyakazi	Wafanyakazi walitayarisha meli.
crisis	janga	Janga lilibadilisha kila kitu.
criterion	kigezo	Bei ni kigezo kimoja.
critic	mkosoaji	Mkosoaji alisifu mchezo.
critical	mahututi	Hali yake ni mahututi.
criticism	ukosoaji	Alipokea ukosoaji kwa utulivu.
criticize	kosoa	Usikosoe kila kosa.
crop	mazao	Mazao yalishindwa mwaka huu.
crucial	muhimu sana	Muda ni muhimu sana hapa.
cure	tiba	Madaktari walipata tiba.
curve	kona	Barabara inafuata kona.
curved	-liopinda	Ukuta umepinda kidogo.
debate	mdahalo	Mdahalo uliendelea kwa saa nyingi.
debt	deni	Alilipa deni.
decent	nzuri	Walipata nyumba nzuri.
declare	tangaza	Walitangaza matokeo.
decline	shuka	Mauzo yaliendelea kushuka.
decoration	mapambo	Mapambo yalionekana ya gharama.
decrease	pungua	Bei zinaweza kupungua hivi karibuni.
deeply	kwa dhati	Alijali sana kuhusu haki.
defeat	kushindwa	Kushindwa kuliishtua timu.
defence	utetezi	Utetezi ulipinga ushahidi.
defend	kutetea	Alijaribu kujitetea.
delay	ucheleweshaji	Hali mbaya ya hewa ilisababisha ucheleweshaji.
deliberate	-a makusudi	Ulikuwa uamuzi wa makusudi.
deliberately	kwa makusudi	Alipuuza onyo kwa makusudi.
delight	kufurahisha	Habari ziliwafurahisha wote.
delighted	-enye furaha	Tulifurahishwa sana na zawadi.
delivery	uwasilishaji	Uwasilishaji ulifika mapema.
demand	hitaji	Wafanyakazi wanahitaji malipo bora.
demonstrate	kuonyesha	Alionyesha programu mpya.
deny	kukana	Alikana shtaka.
depressed	-enye huzuni	Alihisi huzuni baada ya kushindwa.
depressing	-a kuhuzunisha	Filamu ilikuwa inahuzunisha.
depth	kina	Bwawa lina kina kikubwa.
deserve	kustahili	Unastahili kupumzika.
desire	hamu	Alionyesha hamu ya kusafiri.
desperate	-a kukata tamaa	Walipiga simu ya kukata tamaa.
detailed	-a kina	Mwongozo ni wa kina sana.
detect	kugundua	Mbwa wanaweza kugundua moshi.
dig	kuchimba	Wanachimba visima wakati wa kiangazi.
disc	diski	Diski ilikuwa imekwaruzwa.
discipline	nidhamu	Nidhamu inawasaidia wanariadha kuboresha.
dishonest	si mwaminifu	Jibu lake lilisikika si la uaminifu.
dismiss	kutupilia mbali	Meneja alitupilia mbali malalamiko.
display	kuonyesha	Skrini inaonyesha alama.
distribute	kusambaza	Wajitoleaji walisambaza maji safi.
distribution	usambazaji	Usambazaji ulianza baada ya jua kuchomoza.
district	wilaya	Wilaya ilimchagua meya.
division	idara	Idara inashughulikia kesi za kisheria.
domestic	-a ndani	Safari za ndege za ndani ni za bei nafuu.
dominate	kutawala	Kampuni moja inaweza kutawala soko.
downwards	kuelekea chini	Njia inashuka kuelekea chini.
dozen	dazeni	Alinunua dazeni ya mayai.
draft	rasimu	Tafadhali pitia rasimu.
drag	kuvuta	Usivute meza.
dramatic	-a kusisimua	Matokeo yalikuwa ya kusisimua.
edit	kuhariri	Alihariri makala.
edition	toleo	Toleo hiki linajumuisha picha mpya.
efficient	-enye ufanisi	Mfumo una ufanisi.
elderly	wazee	Wakazi wazee wanahitaji msaada.
elect	kuchagua	Wapiga kura wanachagua baraza jipya.
elsewhere	mahali pengine	Tulitafuta msaada mahali pengine.
emerge	kuibuka	Maelezo yaliibuka baada ya saa sita usiku.
emotional	-a kihisia	Hotuba ilikuwa ya kihisia.
emphasis	msisitizo	Weka msisitizo kwenye usalama.
emphasize	kusisitiza	Walimu wanasisitiza mazoezi ya kila siku.
enable	kuwezesha	Programu huwezesha malipo ya haraka.
encounter	kukutana	Tulikutana na msongamano mkubwa wa magari.
engage	kushirikisha	Kozi inashirikisha wanafunzi watu wazima.
enhance	kuboresha	Taa inaweza kuboresha chumba.
enquiry	uchunguzi	Uchunguzi ulidumu miezi mitatu.
ensure	kuhakikisha	Angalia mara mbili ili kuhakikisha usahihi.
enthusiasm	shauku	Shauku yake ilikipa kikundi moyo.
enthusiastic	-enye shauku	Wanaojitolea walikuwa na shauku.
entire	nzima	Kijiji kizima kilipoteza umeme.
entirely	kabisa	Hadithi hiyo ni ya uongo kabisa.
establish	kuanzisha	Walianzisha sheria wazi.
estate	mali	Mali hiyo inajumuisha mashamba kadhaa.
estimate	kukadiria	Tunakadiria wageni elfu kumi.
ethical	kiadili	Uamuzi ulizua maswali ya kiadili.
evaluate	kutathmini	Wataalam watatathmini muundo.
evil	uovu	Mfalme aliogopa roho mbaya.
examination	mtihani	Mtihani ulidumu saa moja.
excuse	udhuru	Udhuru huo ulisikika dhaifu.
executive	mtendaji	Mtendaji aliidhinisha mpango huo.
existence	uwepo	Uwepo wao haukujulikana.
expectation	matarajio	Matarajio yalikuwa makubwa kabla ya uzinduzi.
expense	gharama	Usafiri ndio gharama yetu kubwa.
exploration	uchunguzi	Uchunguzi wa anga unawapa watoto motisha.
expose	kufichua	Makala ilifichua ufisadi.
extend	kuongeza	Waliongeza tarehe ya mwisho.
extent	kiasi	Tulijua kiasi hicho baadaye.
external	ya nje	Shinikizo la nje liliwaathiri.
extraordinary	ya ajabu	Kupona kwake kulikuwa kwa ajabu.
facility	kituo	Kituo hicho kilifunguliwa Juni.
failure	kushindwa	Kushindwa kulimfundisha uvumilivu.
faith	imani	Alihifadhi imani naye.
fault	kosa	Ajali ilikuwa kosa langu.
feather	unyoya	Unyoya ulianguka kutoka kwenye mto.
fee	ada	Ada inajumuisha chakula cha mchana.
feedback	maoni	Maoni yalisaidia kuboresha kozi.
fellow	mwenzake	Wafanyakazi wenzake walimuunga mkono.
finance	kufadhili	Benki itafadhili upanuzi.
finding	ugunduzi	Ugunduzi huo uliwashangaza watafiti.
firm	kampuni	Kampuni iliajiri wafanyakazi wapya.
flame	mwali	Mwali mdogo ulitokea.
flash	mwako	Mwako uliangazia anga.
flexible	-inayobadilika	Ratiba inabadilika.
float	kuelea	Majani yanaelea juu ya maji.
folding	-a kukunja	Alibeba kiti cha kukunja.
forgive	kusamehe	Je, unaweza kumsamehe?
former	wa zamani	Meya wa zamani alirudi.
fortune	utajiri	Walipoteza utajiri.
found	kuanzisha	Walianzisha shirika dogo la hisani.
freedom	uhuru	Uhuru unahitaji uwajibikaji.
frequency	marudio	Marudio yaliongezeka wakati wa baridi.
fully	kabisa	Hoteli imejaa kabisa.
fund	mfuko	Mfuko unasaidia shule za mitaa.
fundamental	msingi	Heshima ni ya msingi hapa.
funding	ufadhili	Ufadhili uliisha mwaka jana.
furthermore	zaidi ya hayo	Zaidi ya hayo, gharama zinapanda.
gain	kupata	Wanafunzi hupata ujasiri haraka.
gang	genge	Genge lilidhibiti barabara.
generate	kuzalisha	Paneli za jua huzalisha umeme.
genre	aina	Komedi ni aina anayoipenda zaidi.
govern	kudhibiti	Sheria hudhibiti matumizi ya umma.
grab	kunyakua	Alishika mkono wangu.
gradually	taratibu	Maumivu yalipotea taratibu.
grand	ya kifahari	Hoteli ina lango kubwa.
grant	ruzuku	Ruzuku ililipia vifaa.
guarantee	kuhakikisha	Tiketi inahakikisha kuingia.
handle	kushughulikia	Alishughulikia malalamiko kwa utulivu.
harm	madhara	Uvutaji sigara unaweza kudhuru afya.
harmful	ya kudhuru	Kemikali hiyo ni ya kudhuru.
hearing	usikivu	Usikivu wake uliboreka.
heaven	mbinguni	Walifikiria mbinguni juu.
heel	kisigino	Kisigino chake kiliuma sana.
hell	jehanamu	Safari ilikuwa jehanamu.
hesitate	kusita	Usisite kuuliza.
hollow	tupu	Mti ulikuwa mtupu ndani.
holy	takatifu	Walitembelea mahali patakatifu.
honour	heshima	Walipigania heshima.
household	kaya	Kila kaya ilipata maji.
housing	makazi	Gharama za makazi zinaendelea kupanda.
humorous	ya kuchekesha	Hadithi yake ilikuwa ya kuchekesha.
humour	ucheshi	Ucheshi ulisaidia kupunguza wasiwasi.
hunting	uwindaji	Uwindaji umepigwa marufuku hapa.
illustrate	kueleza kwa mifano	Mifano inaeleza kanuni.
illustration	kielelezo	Kielelezo kinaonyesha mchakato.
imagination	mawazo	Watoto hutumia mawazo kwa uhuru.
impatient	kukosa uvumilivu	Madereva walikosa uvumilivu.
imply	kudokeza	Ukimya wake unaweza kudokeza kukubali.
impose	kutoza	Mahakama ilitoza faini.
impress	kuvutia	Ujasiri wake ulivutia kila mtu.
impressed	kuvutiwa	Nilivutiwa na kazi yake.
inch	inchi	Isogeze inchi moja kushoto.
incident	tukio	Tukio lilisababisha wasiwasi.
income	mapato	Mapato yao yaliongezeka polepole.
increasingly	inazidi	Makazi yanazidi kuwa ghali.
industrial	ya viwanda	Mji huu una asili ya viwanda.
infection	maambukizi	Maambukizi yalienea haraka.
inform	kujulisha	Tafadhali mjulishe meneja.
initial	ya awali	Gharama ya awali ilikuwa kubwa.
initially	mwanzoni	Mwanzoni, hakuna aliyemwamini.
initiative	mpango	Alianzisha mpango mpya.
inner	ya ndani	Mlango wa ndani ulikuwa umefungwa.
insight	ufahamu	Ripoti inatoa ufahamu muhimu.
insist	kusisitiza	Wanasisitiza ukaguzi wa usalama.
inspire	kuhamasisha	Hadithi yake inaweza kutia moyo wengine.
install	kufunga	Walifunga hita mpya.
instance	mfano	Huu ni mfano mmoja wazi.
