source_headword	NO	example_NO
nerve	en nerve	Skaden skadet en nerve.
nevertheless	likevel	Oppgaven var vanskelig; likevel ble vi ferdige.
nightmare	et mareritt	Reisen ble et mareritt.
notion	en oppfatning	Avvis oppfatningen om at endring er umulig.
numerous	tallrike	Tallrike studier støtter denne ideen.
obey	adlyde	Sjåfører må adlyde skiltene.
objective	et mål	Vårt mål er å redusere avfall.
obligation	en forpliktelse	Foreldre har en forpliktelse til å beskytte barn.
observation	en observasjon	Hans observasjon endret diskusjonen.
observe	observere	Forskere observerer fuglene hver vår.
obtain	skaffe	Du må skaffe skriftlig tillatelse.
occasionally	av og til	Hun jobber av og til hjemmefra.
offence	en fornærmelse	Kommentaren forårsaket en alvorlig fornærmelse.
offend	fornærme	Jeg mente ikke å fornærme noen.
offensive	støtende	Plakaten inneholdt støtende språk.
opening	en ledig stilling	Den ledige stillingen tiltrakk seg mange søkere.
operate	fungere	Maskinen kan fungere automatisk.
opponent	en motstander	Motstanderen hennes kritiserte politikken.
oppose	motsette seg	Mange innbyggere motsetter seg planen.
opposed	motstridende	Gruppene hadde motstridende synspunkter.
opposition	en motstand	Forslaget møtte sterk motstand.
organ	et organ	Hjertet er et vitalt organ.
origin	en opprinnelse	Opprinnelsen til brannen er ukjent.
otherwise	ellers	Gå nå; ellers kommer du for sent.
outcome	et utfall	Utfallet overrasket alle.
outer	ytre	Den ytre veggen trenger reparasjon.
outline	et omriss / skissere	Vennligst skisser hovedargumentet ditt.
overall	overordnet	Det overordnede resultatet var positivt.
owe	skylde	Jeg skylder deg en unnskyldning.
pace	et tempo	Gå i et jevnt tempo.
panel	et panel	Panelet diskuterte klimapolitikken.
parliament	et parlament	Parlamentet godkjente den nye loven.
participant	en deltaker	Hver deltaker signerte skjemaet.
partly	delvis	Forsinkelsen var delvis vår feil.
passage	en passasje	Les passasjen før du svarer.
pension1	en pensjon	Pensjonen hans forsørger ham etter at han ble pensjonist.
permanent	permanent	De trenger en permanent løsning.
permit	tillate	Reglene tillater korte besøk.
perspective	et perspektiv	Prøv å se hennes perspektiv.
phase	en fase	Prosjektet gikk inn i sin siste fase.
phenomenon	et fenomen	Fenomenet oppstår i mange kulturer.
philosophy	en filosofi	Hennes filosofi verdsetter praktisk handling.
pile	en haug	En haug med papirer dekket skrivebordet.
pitch	en bane	Laget forberedte banen nøye.
plain	tydelig	Instruksjonene var tydelige og direkte.
pointed	spiss	Han kom med en spiss bemerkning.
popularity	en popularitet	Sangeren fikk popularitet på nettet.
pose	utgjøre	Spørsmålet kan utgjøre et problem.
possess	besitte	Få studenter besitter den ferdigheten.
potential	potensiell	Ideen har et reelt potensial.
praise	en ros	Læreren ga ærlig ros.
pregnant	gravid	Hun er seks måneder gravid.
preparation	en forberedelse	God forberedelse reduserer stress.
presence	en tilstedeværelse	Hans tilstedeværelse endret stemningen.
preserve	bevare	Vi må bevare denne historiske bygningen.
prime	fremste	Den fremste årsaken var dårlig planlegging.
principle	et prinsipp	Beslutningen fulgte et klart prinsipp.
priority	en prioritet	Sikkerhet er vår første prioritet.
privacy	et personvern	Kunder forventer personvern på nettet.
procedure	en prosedyre	Prosedyren tar tretti minutter.
proof	et bevis	Vi trenger bevis før vi handler.
proposal	et forslag	Forslaget trenger mer detaljer.
propose	foreslå	Jeg foreslår en annen løsning.
prospect	en utsikt	Utsikten til å mislykkes bekymret dem.
protection	en beskyttelse	Hjelmen gir grunnleggende beskyttelse.
psychologist	en psykolog	Psykologen forklarte testresultatene.
psychology	en psykologi	Hun studerer psykologi på universitetet.
publication	en publikasjon	Publikasjonen tiltrakk seg offentlig oppmerksomhet.
pupil	en elev	Hver elev fikk en ny lærebok.
purchase	et kjøp	De kjøper inn forsyninger hver måned.
pure	ren	Vannet var rent og kaldt.
pursue	følge	Han vil følge en medisinsk karriere.
rank	en rang	Hun har en høy rang.
rapid	rask	Landet opplevde rask vekst.
rapidly	raskt	Prisene steg raskt i år.
raw	rå	Kokken tilberedte rå grønnsaker.
realistic	realistisk	Sett en realistisk tidsfrist.
reasonable	rimelig	Det virker som en rimelig forespørsel.
recall	huske	Jeg husker hans eksakte ord.
recover	komme seg	Hun vil komme seg etter behandlingen.
reduction	en reduksjon	Reduksjonen sparte penger.
regard	betrakte	Mange betrakter henne som ærlig.
regional	regional	Det regionale kontoret stengte i dag.
register	registrere seg	Vennligst registrer deg før konferansen.
regret	angre på	Jeg angrer på min tidligere beslutning.
regulation	en forskrift	Den nye forskriften påvirker alle sjåfører.
relatively	relativt	Eksamen var relativt enkel.
relevant	relevant	Velg bare relevante detaljer.
relief	en lettelse	Nyheten brakte stor lettelse.
rely	stole på	Barn stoler på voksnes støtte.
remark	en bemerkning	Hans kommentar avsluttet diskusjonen.
representative	en representant	Representanten møtte lokale arbeidere.
reputation	et rykte	Hotellet har et godt rykte.
requirement	et krav	Erfaring er et grunnkrav.
rescue	redde	De redder mennesker fra flom.
reserve	en reserve	Vi reserverer plasser for gjester.
resident	en beboer	Hver beboer fikk et varsel.
resist	motstå	Prøv å motstå presset.
resolve	løse	De løste tvisten fredelig.
resort	et feriested	Feriestedet på øya åpnet i mai.
retain	beholde	Selskapet ønsker å beholde ansatte.
reveal	avsløre	Rapporten vil avsløre sannheten.
revolution	en revolusjon	Revolusjonen forandret landet.
reward	en belønning	Hardt arbeid fortjener en belønning.
rhythm	en rytme	Sangen har en jevn rytme.
rid	kvitte seg med	Kvitt deg med de gamle filene.
root	en rot	Roten til problemet er penger.
rub	gni	Gni overflaten med en klut.
rubber	en gummi	Gummipakningen forhindrer lekkasjer.
rural	landlig	Mange distriktsskoler trenger støtte.
rush	forhaste	Ikke forhast denne beslutningen.
satellite	en satellitt	Satellitten sendte nye bilder.
satisfied	fornøyd	Kunden virket fornøyd.
satisfy	tilfredsstille	Svaret tilfredsstilte ham ikke.
saving	en besparelse	Energisparing reduserer månedlige kostnader.
scale	en skala	Omfanget av skadene var enormt.
scheme	en ordning	Ordningen hjelper unge arbeidere.
scream	et skrik	De hørte et skrik utenfor.
sector	en sektor	Teknologisektoren vokser.
secure	sikre	Lås døren for å sikre den.
seek	søke	De søker råd fra eksperter.
select	velge	Velg det beste alternativet.
selection	et utvalg	Butikken tilbyr et bredt utvalg.
self	et selv	Hun viste sitt sanne jeg.
senior	senior	En overlege sjekket pasienten.
sensitive	følsom	Dette emnet er svært følsomt.
sequence	en rekkefølge	Følg rekkefølgen av trinnene.
session	en økt	Treningsøkten starter midt på dagen.
settle	løse	De løser krangelen raskt.
severe	alvorlig	Stormen forårsaket alvorlige flommer.
shade	en skygge	Sitt i skyggen.
shadow	en skygge	En skygge krysset vinduet.
shallow	grunn	Innsjøen er grunn her.
shame	en skam	Han følte skam etter å ha løyet.
shelter	et ly	Skolen tilbød nødhjelpsly.
shock	et sjokk	Beslutningen var et sjokk.
shocked	sjokkert	Hun så sjokkert ut over nyheten.
shooting	en skyting	Skytingen skjedde i nærheten av stasjonen.
shot	et skudd	Vinnerskuddet overrasket alle.
significant	betydelig	Oppdagelsen var betydelig.
significantly	betydelig	Kostnadene økte betydelig i fjor.
silence	en stillhet	Rommet falt i stillhet.
silk	en silke	Kjolen var laget av silke.
sincere	oppriktig	Vennligst aksepter min oppriktige takk.
slave	en slave	Loven frigjorde hver slave.
slide	skli	Barnet skled ned sklien.
slight	liten	Det var en liten forsinkelse.
slip	skli	Ikke skli på det våte gulvet.
slope	en skråning	Stien følger en bratt skråning.
solar	sol-	Huset bruker solenergi.
somewhat	noe	Instruksjonene var noe forvirrende.
soul	en sjel	Musikken løftet sjelen hennes.
specialist	en spesialist	Spesialisten undersøkte pasienten.
species	en art	Denne arten lever nær elver.
spiritual	åndelig	Hun beskrev en åndelig opplevelse.
split	dele	De delte regningen likt.
sponsor	sponse	Selskapet vil sponse arrangementet.
stable	stabil	Pasienten er stabil.
stare	stirre	Ikke stirr på fremmede.
status	en status	Statusen hans endret seg over natten.
steady	jevn	Hold en jevn fart.
steel	et stål	Broen er laget av stål.
steep	bratt	Bakketoppen er bratt.
sticky	klissete	Gulvet føles klissete.
stiff	stiv	Skulderen hans føltes stiv.
stock	et lager	Butikken har ingen varer på lager.
stream	en strøm	En liten strøm krysser jordet.
stretch	strekke	Strekk på bena etter flyturen.
strict	streng	Skolen har strenge regler.
strike	streike	Arbeiderne kan streike i morgen.
struggle	slite	Mange familier sliter med husleien.
submit	sende inn	Send inn skjemaet innen fredag.
sum	en sum	Summen var høyere enn forventet.
surgery	en operasjon	Operasjonen varte i to timer.
surround	omgi	Høye trær omgir huset.
surrounding	omkringliggende	Det omkringliggende området er stille.
suspect	mistenke	Politiet mistenker en lokal mann.
swear	banne	Ikke bann i klasserommet.
sweep	feie	Fei gulvet før gjestene kommer.
sympathy	en sympati	Hun uttrykte sympati med ofrene.
tale	en fortelling	Bestemor fortalte en merkelig historie.
tank	en tank	Tanken rommer rent vann.
tear1	rive	Ikke riv i stykker dokumentet.
tear2	en tåre	En tåre trillet nedover kinnet hennes.
temporary	midlertidig	Kontoret er et midlertidig tilfluktssted.
therapy	en terapi	Fysioterapi hjalp med bedringen hans.
threat	en trussel	Meldingen inneholdt en trussel.
threaten	true	Stormen kan true avlingene.
thus	derfor	Veien var stengt; derfor ventet vi.
tone	en tone	Tonen hans hørtes rolig ut.
tough	tøff	Intervjuet var tøft.
transfer	overføre	De overfører data hver natt.
transform	forvandle	Den nye politikken vil forvandle tjenestene.
transition	en overgang	Overgangen tok flere måneder.
trial	en rettssak	Rettssaken begynner neste uke.
tropical	tropisk	Tropiske stormer er vanlige her.
truly	virkelig	Jeg setter virkelig pris på hjelpen din.
trust	tillit	Tillit tar tid å bygge.
tune	en melodi	Bandet spilte en lystig melodi.
tunnel	en tunnel	Tunnelen går under elven.
ultimately	til syvende og sist	Til syvende og sist lyktes planen.
unconscious	bevisstløs	Pasienten forble bevisstløs.
unexpected	uventet	Forsinkelsen var uventet.
unique	unik	Hvert design er unikt.
universe	et univers	Universet utvider seg.
unknown	ukjent	Navnet forblir ukjent.
upper	øvre	Den øvre hyllen er tom.
upwards	oppover	Røyken beveget seg oppover.
urban	urban	Urbane områder trenger bedre transport.
urge	oppfordre	Leger oppfordrer folk til å trene.
vary	variere	Prisene varierer etter region.
vast	enorm	Ørkenen dekker et enormt område.
venue	et lokale	Lokalet har plass til fem hundre personer.
via	via	Send dokumentet via e-post.
victory	en seier	Laget feiret seieren sin.
violence	vold	Byen led av politisk vold.
virtual	virtuell	Møtet er virtuelt.
vision	en visjon	Visjonen hennes formet selskapet.
visual	visuell	Rapporten inkluderer visuelle eksempler.
vital	livsviktig	Vann er livsviktig for livet.
vitamin	et vitamin	Appelsiner inneholder vitamin C.
volume	et volum	Skru ned volumet.
wage	en lønn	Arbeiderne krevde en høyere lønn.
weakness	en svakhet	Planen har én svakhet.
wealth	en rikdom	Rikdommen hans kom fra handel.
wealthy	rik	Den rike familien finansierte museet.
whereas	mens	Hun liker te, mens jeg foretrekker kaffe.
wherever	hvor enn	Sitt hvor enn du føler deg komfortabel.
whisper	viske	Vennligst visk under seremonien.
whom	hvem	Hvem inviterte du?
widely	vidt	Boken er mye lest.
wildlife	et dyreliv	Parken beskytter lokalt dyreliv.
willing	villig	Hun er villig til å hjelpe.
wind2	vikle	Vikle kabelen rundt trommelen.
wire	en ledning	Ledningen kobler sammen de to enhetene.
wise	klok	Det var et klokt valg.
witness	et vitne	Et vitne beskrev ulykken.
wound	et sår	Rens såret forsiktig.
wrap	pakke inn	Pakk inn gaven i papir.
zone	en sone	Denne sonen er stengt for trafikk.
