source_headword	NL	example_NL
collective	collectief	De beslissing was een collectieve inspanning.
collision	de aanrijding	De aanrijding blokkeerde de snelweg.
colonial	koloniaal	Het gebouw heeft koloniale architectuur.
columnist	de columnist	De columnist bekritiseerde het beleid.
combat	het gevecht	Soldaten trainden voor het gevecht.
commence	beginnen	De ceremonie zal om twaalf uur beginnen.
commentary	het commentaar	Het wedstrijdcommentaar was levendig.
commentator	de commentator	De commentator legde de beslissing uit.
commerce	de handel	De online handel groeide snel.
commissioner	de commissaris	De commissaris kondigde nieuwe regels aan.
commodity	de grondstof	Tarwe is een belangrijke grondstof.
communist	communistisch	De communistische partij hield een vergadering.
companion	de metgezel	Haar hond is een trouwe metgezel.
comparable	vergelijkbaar	De twee steden zijn vergelijkbaar in grootte.
compassion	het medeleven	De verpleegster toonde groot medeleven.
compel	dwingen	Het bewijs kan een reactie afdwingen.
compelling	overtuigend	De documentaire bracht een overtuigende zaak naar voren.
compensate	compenseren	Het bedrijf zal getroffen klanten compenseren.
compensation	de compensatie	De werknemers eisten een eerlijke compensatie.
competence	de competentie	De test meet professionele competentie.
competent	bekwaam	Zij is een bekwame ingenieur.
compile	verzamelen	Onderzoekers verzamelen gegevens uit ziekenhuizen.
complement	aanvullen	De wijn zal de maaltijd aanvullen.
complexity	de complexiteit	Het project heeft een onverwachte complexiteit.
compliance	de naleving	De audit controleerde de wettelijke naleving.
complication	de complicatie	De operatie had één complicatie.
comply	naleven	Bedrijven moeten de regelgeving naleven.
composition	de compositie	De compositie omvat viool en piano.
compromise	het compromis	Het compromis stelde beide kanten tevreden.
compute	berekenen	Het programma kan het totaal berekenen.
conceal	verbergen	Hij probeerde de schade te verbergen.
concede	toegeven	De minister weigerde zijn nederlaag toe te geven.
conceive	bedenken	Ze konden geen beter plan bedenken.
conception	de opvatting	De film veranderde mijn opvatting over geschiedenis.
concession	de concessie	Het bedrijf bood één concessie aan.
condemn	veroordelen	Leiders veroordelen de aanval publiekelijk.
confer	verlenen	De prijs zal prestige verlenen.
confession	de bekentenis	Zijn bekentenis verraste de rechtbank.
configuration	de configuratie	De configuratie regelt de netwerktoegang.
confine	beperken	De regels beperken honden tot dit gebied.
confirmation	de bevestiging	We hebben per e-mail bevestiging ontvangen.
confront	onder ogen zien	Ze besloot het probleem onder ogen te zien.
confrontation	de confrontatie	De confrontatie eindigde zonder geweld.
congratulate	feliciteren	Ik belde om mijn zus te feliciteren.
congregation	de gemeente	De gemeente zong samen.
congressional	van het congres	De hoorzitting van het congres duurde uren.
conquer	veroveren	Het team hoopt de markt te veroveren.
conscience	het geweten	Zijn geweten zou leugens niet toestaan.
consciousness	het bewustzijn	Het ongeluk beïnvloedde zijn bewustzijn.
consecutive	opeenvolgend	Ze won drie opeenvolgende wedstrijden.
consensus	de consensus	De commissie bereikte snel een consensus.
consent	de toestemming	Schriftelijke toestemming is vereist.
conserve	besparen	Tijdens droogtes besparen we water.
consistency	de consistentie	Consistentie is belangrijk bij taalstudie.
consolidate	consolideren	Het bedrijf zal twee kantoren consolideren.
constituency	het kiesdistrict	De kandidaat bezocht elk kiesdistrict.
constitute	vormen	Vrouwen vormen de helft van de commissie.
constitution	de grondwet	De grondwet garandeert de vrijheid van meningsuiting.
constitutional	grondwettelijk	De rechtbank heeft de grondwettelijke rechten getoetst.
constraint	de beperking	Een budgetbeperking limiteerde het project.
consultation	het overleg	Het overleg duurde twee weken.
contemplate	overwegen	Ze pauzeerde om het aanbod te overwegen.
contempt	de minachting	Hij toonde minachting voor de regels.
contend	meedingen	Verschillende bedrijven dingen mee naar het contract.
contender	de kanshebber	Zij is een sterke kanshebber.
content2	tevreden	Hij voelde zich tevreden met het resultaat.
contention	het geschil	Het belangrijkste geschil betreft de financiering.
continually	voortdurend	Het systeem controleert voortdurend op fouten.
contractor	de aannemer	De aannemer heeft het dak gerepareerd.
contradiction	de tegenstrijdigheid	Zijn verklaring bevatte een tegenstrijdigheid.
contrary	tegenstrijdig	Het tegenstrijdige bewijs veranderde de zaak.
contributor	de bijdrager	Zij is een vaste bijdrager.
conversion	de omzetting	De omzetting veranderde dollars in euro's.
convict	veroordelen	De jury kan de verdachte veroordelen.
conviction	de veroordeling	Zijn veroordeling schokte het publiek.
cooperate	samenwerken	Werk alstublieft mee aan het onderzoek.
cooperative	coöperatief	Het personeel was coöperatief en kalm.
coordinate	coördineren	Zij coördineren de leveringen elke ochtend.
coordination	de coördinatie	Goede coördinatie bespaarde tijd.
coordinator	de coördinator	De coördinator wees elke taak toe.
cop	de agent	Er stond een agent buiten het station.
copper	koper	De pijp is gemaakt van koper.
copyright	het auteursrecht	De afbeelding is beschermd door het auteursrecht.
correction	de correctie	De leraar maakte één correctie.
correlate	correleren	Veel stress kan correleren met ziekte.
correlation	de correlatie	De studie vond een sterke correlatie.
correspond	overeenkomen	Deze getallen komen overeen met de labels.
correspondence	de correspondentie	Hun correspondentie duurde jaren.
correspondent	de correspondent	De correspondent deed verslag vanuit Caïro.
corresponding	bijbehorend	Elke knop heeft een bijbehorend lampje.
corrupt	corrupt	De corrupte ambtenaar nam geld aan.
corruption	de corruptie	Corruptie verzwakte het publieke vertrouwen.
costly	kostbaar	De fout was kostbaar voor het team.
councillor	het raadslid	Het raadslid beantwoordde de vragen van de bewoners.
counselling	de counseling	Na het ongeluk kreeg ze counseling.
counsellor	de adviseur	De adviseur hielp nieuwe studenten.
counter (argue against)	weerleggen	Ze probeerde zijn argument te weerleggen.
counterpart	de tegenhanger	Hij ontmoette zijn Japanse tegenhanger.
countless	talloos	Talloze vrijwilligers deden mee aan de zoektocht.
coup	de staatsgreep	De staatsgreep zette de president af.
courtesy	de beleefdheid	Ze bedankte hen voor hun beleefdheid.
