source_headword	RO	example_RO
peculiar	ciudat	Camera avea un miros ciudat.
persist	a persista	Simptomele pot persista zile întregi.
persistent	persistent	O tuse persistentă necesită atenție.
personnel	personalul	Dosarele personalului sunt confidențiale.
petition	petiția	Petiția a adunat mii de semnături.
philosopher	filozoful	Filozoful a pus la îndoială presupunerile comune.
philosophical	filozofic	Discuția a devenit filozofică.
physician	medicul	Medicul a ordonat teste de sânge.
pioneer	pionierul	A devenit un pionier în medicină.
pipeline	conducta	Conducta transportă gaz pe sub pământ.
pirate	piratul	Nava pirat a apărut în larg.
pit	groapa	Muncitorii au săpat o groapă adâncă.
plea	rugămintea	Rugămintea lui de ajutor a fost ignorată.
plead	a pleda	Suspectul va pleda vinovat.
pledge	a promite	Ei promit sprijin pentru reforme.
plug	a conecta	Conectați cablul în priză.
plunge	a se prăbuși	Prețurile se pot prăbuși după scandal.
pole	stâlpul	Steagul atârna de un stâlp.
poll	sondajul	Sondajul a arătat opinii în schimbare.
pond	iazul	Rațele au traversat iazul înghețat.
pop	a se sparge	Baloanele se sparg lângă obiecte ascuțite.
portfolio	portofoliul	Portofoliul ei include mai multe startup-uri.
portray	a înfățișa	Filmul va înfățișa viața rurală.
postpone	a amâna	Au decis să amâne audierea.
post-war	postbelic	Locuințele postbelice erau necesare de urgență.
practitioner	practicianul	Practicianul a explicat tratamentul.
preach	a predica	Pastorul va predica duminică.
precedent	precedentul	Hotărârea a stabilit un precedent important.
precision	precizia	Mașina taie cu precizie.
predator	prădătorul	Prădătorul aștepta lângă râu.
predecessor	predecesorul	Predecesorul ei a lăsat notițe detaliate.
predominantly	predominant	Zona este predominant rezidențială.
pregnancy	sarcina	Sarcina necesită îngrijire medicală regulată.
prejudice	prejudecata	Campania a contestat prejudecata rasială.
preliminary	preliminar	Rezultatele preliminare par promițătoare.
premier	premierul	Premierul s-a adresat astăzi parlamentului.
premise	premisa	Argumentul se bazează pe o premisă falsă.
premium	prețul premium	Clienții au plătit un preț premium pentru viteză.
prescribe	a prescrie	Medicii prescriu antibiotice cu atenție.
prescription	rețeta	Rețeta expiră luna viitoare.
presently	în prezent	În prezent, ea este indisponibilă.
preservation	conservarea	Conservarea protejează clădirile istorice.
preside	a prezida	Judecătorul va prezida procesul.
presidency	președinția	Președinția sa a durat opt ani.
presidential	prezidențial	Alegerile prezidențiale au atras atenția.
prestigious	prestigios	Ea a câștigat o bursă prestigioasă.
presumably	probabil	Biroul este probabil închis astăzi.
presume	a presupune	Presupunem că documentele sunt autentice.
prevail	a prevala	Bunul simț ar trebui să prevaleze.
prevalence	prevalența	Prevalența astmului a crescut.
prevention	prevenția	Prevenția este mai ieftină decât reparația.
