source_headword	JA	example_JA
grip	しっかり握ること	ロープをしっかり握っていてください。
gross	総計の	総収入が急激に増加しました。
guerrilla	ゲリラ	ゲリラ兵は丘に隠れました。
guidance	指導	そのガイドは実践的な指導を提供しています。
guilt	罪悪感	彼女は嘘をついた後に罪悪感を感じました。
gut	直感	難しい選択では自分の直感を信じなさい。
hail	称賛する	村人たちはその医師を英雄として称賛しています。
halfway	途中で	私たちは丘の中腹で立ち止まりました。
halt	停止	列車は急停車しました。
handful	少数	少数のボランティアが遅くまで残りました。
handling	取り扱い	適切な取り扱いが損傷を防ぎます。
handy	便利な	この道具は修理に便利です。
harassment	ハラスメント	会社はハラスメントの苦情を調査しました。
hardware	ハードウェア	その店はコンピューターのハードウェアを販売しています。
harmony	調和	合唱団は完璧なハーモニーで歌いました。
harsh	厳しい	裁判官は厳しい判決を下しました。
harvest	収穫	収穫は9月に始まります。
haunt	つきまとう	その記憶は彼につきまとい続けました。
hazard	危険	氷は道路上の重大な危険です。
heighten	高める	その演説は緊張を高めるかもしれません。
heritage	遺産	その城は地元の遺産の一部です。
hierarchy	階層	オフィスの階層は明確に定義されています。
high-profile	注目を集める	その注目を集める裁判は記者たちを引きつけました。
hint	ヒント	彼女は私に役立つヒントをくれました。
homeland	祖国	彼は祖国へ帰りました。
hopeful	希望に満ちた	医師たちは回復について希望を持っています。
horizon	地平線	太陽が地平線の下に消えました。
horn	クラクション	車のクラクションが全員を起こしました。
hostage	人質	人質は家に戻りました。
hostile	敵対的な	群衆は敵対的になりました。
hostility	敵意	あからさまな敵意が会談を終わらせました。
humanitarian	人道的な	人道支援ミッションは食糧を届けました。
humanity	人類	人類は共通の課題に直面しています。
humble	謙虚な	彼女は成功後も謙虚なままでした。
hydrogen	水素	水素は非常に燃えやすいです。
identification	身分証明	入り口で身分証明が必要です。
ideological	イデオロギーの	その争いにはイデオロギー的な根源がありました。
ideology	イデオロギー	彼のイデオロギーがすべての演説を形作りました。
idiot	馬鹿な人	誰のことも馬鹿と呼んではいけません。
ignorance	無知	無知は恐怖を広める可能性があります。
imagery	描写	その詩は鮮やかな描写を用いています。
immense	巨大な	そのプロジェクトには膨大な労力が必要でした。
imminent	差し迫った	嵐が差し迫っているように見えました。
implementation	実施	その法律の実施は遅れました。
imprison	投獄する	政権は批判者たちを投獄しようとしました。
imprisonment	投獄	彼の投獄は5年間続きました。
inability	できないこと	彼女が集中できないことは教師たちを心配させました。
inadequate	不十分な	その避難所は暖房が不十分でした。
inappropriate	不適切な	彼の冗談は不適切でした。
incidence	発生率	インフルエンザの発生率が増加しました。
inclined	傾向がある	彼女は同意する傾向があります。
inclusion	インクルージョン	その学校はインクルージョンを推進しています。
