simplified	LT	example_LT
地图	žemėlapis	Ieškau mokyklos žemėlapyje.
电梯	liftas	Liftas yra kairėje.
电子邮件	elektroninis laiškas	Siunčiu mokytojui elektroninį laišką.
东	rytai	Saulė teka rytuose.
冬	žiema	Žiemą mėgstu gerti karštą arbatą.
动物	gyvūnas	Panda yra garsus gyvūnas Kinijoje.
短	trumpas	Šios kelnės per trumpos.
段	pastraipa; dalis	Prašau perskaityti šią pastraipą.
锻炼	mankštintis; treniruotis	Kiekvieną rytą mankštinuosi.
多么	kaip; kiek	Kaip gera aplinka čia!
饿	alkanas; išalkti	Esu alkanas ir noriu valgyti duonos.
耳朵	ausis	Man šiek tiek skauda ausį.
发	siųsti; išleisti	Vakare siunčiu elektroninius laiškus.
发烧	karščiuoti	Jis karščiuoja ir negali eiti į mokyklą.
发现	atrasti; pastebėti	Pastebėjau, kad šis metodas geras.
方便	patogus	Važiuoti metro patogu.
放	padėti; paleisti	Prašau padėti knygą ant stalo.
放心	būti ramiam; nesijaudinti	Nesijaudink, atvyksiu laiku.
分	padalinti; paskirstyti	Prašau padalinti tortą visiems.
复习	kartoti; kartojimas	Prieš egzaminą turiu pakartoti medžiagą.
附近	netoliese; apylinkė	Netoliese yra restoranas.
干净	švarus	Šis kambarys labai švarus.
感冒	peršalti; peršalimas	Peršalau ir noriu pailsėti.
感兴趣	domėtis	Labai domiuosi kinų kalba.
刚才	ką tik; prieš akimirką	Kas tau ką tik skambino?
个子	ūgis; sudėjimas	Jis aukštas.
根据	pagal; remiantis	Pagal žemėlapį mokykla yra rytuose.
跟	su; sekti	Einu į parką su draugu.
更	dar labiau; daugiau	Šiandien dar šalčiau negu vakar.
公斤	kilogramas	Šie obuoliai sveria vieną kilogramą.
公园	parkas	Vaikai žaidžia parke.
故事	istorija; pasakojimas	Senelis man pasakoja istoriją.
刮风	pūsti vėjui	Šiandien pučia vėjas; nevažiuok dviračiu.
关	uždaryti; išjungti	Prašau uždaryti duris.
关系	santykis; ryšys	Mano santykiai su kolega geri.
关心	rūpintis; domėtis	Mama labai rūpinasi mano sveikata.
关于	apie; dėl	Ši knyga yra apie kinų kultūrą.
国家	šalis; valstybė	Kinija yra labai didelė šalis.
过	patirties dalelytė	Esu buvęs Pekine.
过去	praeitis; anksčiau	Anksčiau čia nebuvo metro.
还是	ar; vis dėlto	Ar geri arbatą, ar kavą?
害怕	bijoti	Nebijau egzamino.
黑板	lenta	Mokytojas rašo hieroglifus lentoje.
后来	vėliau; paskui	Vėliau nuėjome į parką.
护照	pasas	Prašau pasiimti pasą.
96:花	išleisti; kainuoti	Telefono pirkimas kainavo du tūkstančius juanių.
97:花	gėlė	Ant stalo yra gėlė.
画	piešti; paveikslas	Mano jaunesnioji sesuo mėgsta piešti pandas.
坏	blogas; sugedęs	Mano kompiuteris sugedo.
欢迎	pasveikinti; sveikas atvykęs	Sveikas atvykęs į mano namus.
环境	aplinka; sąlygos	Šios mokyklos aplinka labai gera.
还	grąžinti	Prašau rytoj grąžinti man knygą.
换	pakeisti; mainyti	Noriu pakeisti marškinius.
黄河	Geltonoji upė	Geltonoji upė labai ilga.
回答	atsakyti; atsakymas	Prašau atsakyti į mano klausimą.
会议	susitikimas; konferencija	Susitikimas prasideda devintą.
或者	arba; galbūt	Gali važiuoti metro arba autobusu.
几乎	beveik	Jis mankštinasi beveik kasdien.
机会	proga; galimybė	Tai gera proga.
极	ypač; labai	Ji ypač laiminga.
季节	sezonas; metų laikas	Ruduo yra mano mėgstamiausias metų laikas.
记得	prisiminti	Ar prisimeni pasiimti kreditinę kortelę?
检查	patikrinti; apžiūrėti	Gydytojas mane apžiūri.
简单	paprastas	Šis sakinys labai paprastas.
健康	sveikata; sveikas	Mankšta naudinga sveikatai.
见面	susitikti	Rytoj susitiksime mokykloje.
讲	aiškinti; kalbėti	Mokytojas aiškina labai aiškiai.
教	mokyti; dėstyti	Jis moko mane rašyti kinų hieroglifus.
脚	pėda; koja	Man šiek tiek skauda pėdą.
角	kampas	Parduotuvė yra gatvės kampe.
接	pasitikti; gauti; atsakyti	Einu į oro uostą pasitikti draugo.
街道	gatvė	Ši gatvė labai švari.
结婚	tuoktis	Jie susituoks kitais metais.
结束	baigti; pasibaigti	Rungtynės jau baigėsi.
节目	laida	Ši televizijos laida labai gera.
节日	šventė; festivalis	Pavasario šventė yra svarbi kinų šventė.
解决	išspręsti	Ši problema jau išspręsta.
借	pasiskolinti; paskolinti	Noriu pasiskolinti tavo žodyną.
经常	dažnai	Dažnai einu į biblioteką.
经过	praeiti pro; procesas	Kasdien einu per šį parką.
经理	direktorius; vadovas	Direktorius yra susitikime.
久	ilgai; ilgas laikas	Čia gyvenu jau ilgai.
旧	senas; naudotas	Šis drabužis labai senas.
句子	sakinys	Prašau parašyti vieną sakinį.
决定	nuspręsti; sprendimas	Nusprendžiau mokytis kinų kalbos.
可爱	mielas; gražus	Ši katė labai miela.
渴	ištroškęs	Esu ištroškęs ir noriu gerti vandens.
刻	ketvirtis valandos; akimirka	Yra ketvirtis po aštuonių.
客人	svečias; klientas	Šiandien pas mus į namus atėjo svečias.
空调	oro kondicionierius	Prašau įjungti oro kondicionierių.
口	burna; gurkšnis; skaitiklis žmonėms ar gyvūnams	Jis išgėrė gurkšnį vandens.
哭	verkti	Kodėl vaikas verkia?
裤子	kelnės	Šios kelnės naujos.
筷子	valgymo lazdelės	Moku valgyti lazdelėmis.
蓝	mėlynas	Dangus mėlynas.
老	senas; vyresnis	Mano mokytojas nėra senas.
离开	išvykti; palikti	Jis rytoj išvyksta iš Pekino.
礼物	dovana	Tai dovana tau.
历史	istorija	Man patinka Kinijos istorija.
脸	veidas	Jos veidas labai raudonas.
练习	praktikuotis; pratimas	Prašau daugiau praktikuotis kalbėti kiniškai.
辆	skaitiklis transporto priemonėms	Prie durų yra taksi.
聊天	kalbėtis; plepėti	Kalbuosi su draugu.
了解	suprasti; sužinoti	Noriu suprasti kinų kultūrą.
邻居	kaimynas	Mano kaimynas labai nuoširdus.
留学	studijuoti užsienyje	Ji studijuoja Kinijoje.
楼	pastatas; aukštas	Biuras yra trečiame aukšte.
绿	žalias	Pavasarį medžiai sužaliavo.
马	arklys	Tas arklys bėga labai greitai.
马上	tuoj pat; nedelsiant	Tuoj pat grįšiu.
满意	patenkintas	Esu labai patenkintas šiuo kambariu.
帽子	skrybėlė; kepurė	Ši skrybėlė labai graži.
米	metras; ryžiai	Šis stalas yra dviejų metrų ilgio.
面包	duona	Pusryčiams valgau duoną.
明白	suprasti; aišku	Suprantu, ką nori pasakyti.
拿	paimti; laikyti	Prašau paimti man vieną knygą.
奶奶	senelė iš tėvo pusės; senelė	Senelė mėgsta klausytis muzikos.
南	pietūs	Mokykla yra miesto pietuose.
难	sunkus	Šis klausimas nesunkus.
难过	liūdnas	Ji šiandien šiek tiek liūdna.
年级	klasė; mokslo metai	Mano jaunesnioji sesuo yra trečioje klasėje.
年轻	jaunas	Šis direktorius labai jaunas.
鸟	paukštis	Medyje yra paukštis.
努力	pastanga; stengtis	Jis labai stropiai mokosi.
爬山	kopti į kalną; žygiuoti kalnuose	Šį savaitgalį eisime į kalnus.
盘子	lėkštė; padėklas	Ant stalo yra trys lėkštės.
胖	storas; apkūnus	Šis šuo šiek tiek storas.
啤酒	alus	Tėtis negeria alaus.
皮鞋	odiniai batai	Ši odinių batų pora brangi.
瓶子	butelis	Butelyje yra vandens.
其实	iš tikrųjų	Iš tikrųjų nemėgstu alaus.
其他	kitas; kiti	Visi kiti klasės draugai atėjo.
奇怪	keistas	Šis garsas labai keistas.
骑	joti; važiuoti	Jis kasdien važiuoja į darbą dviračiu.
起飞	pakilti	Lėktuvas netrukus pakils.
起来	atsistoti; aukštyn	Prašau atsistoti.
清楚	aiškus; aiškiai	Tu kalbėjai labai aiškiai.
请假	prašyti laisvadienio	Jis peršalo ir turi prašyti laisvadienio.
秋	ruduo	Rudenį oras malonus.
裙子	sijonas	Šis sijonas labai gražus.
然后	tada; paskui	Pirmiausia valgau, tada darau namų darbus.
热情	nuoširdus; entuziastingas	Kinų draugai labai nuoširdūs.
认为	manyti; galvoti	Manau, kad šis metodas geras.
认真	rimtas; atidus	Prašau atidžiai klausytis mokytojo.
容易	lengvas	Šį kinų hieroglifą lengva parašyti.
如果	jeigu	Jeigu lis, važiuosime metro.
伞	skėtis	Lyja; prašau pasiimti skėtį.
上网	naršyti tinkle	Vakare naršau tinkle, kad patikrinčiau žemėlapį.
声音	balsas; garsas	Tavo balsas gražiai skamba.
生气	piktas; supykti	Nepykk, aš to nepadariau tyčia.
世界	pasaulis	Pasaulis labai didelis.
试	bandyti; mėginti	Noriu pasimatuoti šią odinių batų porą.
瘦	liesas; plonas	Jis liesesnis negu anksčiau.
叔叔	dėdė	Dėdė veža mane į mokyklą.
舒服	patogus; gerai jaustis	Ši kėdė patogi.
数学	matematika	Matematikos pamoka įdomi.
树	medis	Priešais namą yra medis.
刷牙	valytis dantis	Kiekvieną rytą valausi dantis.
双	pora; dvigubas	Nusipirkau porą odinių batų.
水平	lygis; matas	Jo kinų kalbos lygis aukštas.
司机	vairuotojas	Vairuotojas laukia mūsų prie durų.
太阳	saulė	Šiandien saulė stipri.
特别	ypač; ypatingas	Ši laida ypač įdomi.
疼	skaudėti; skausmingas	Man skauda koją.
提高	pakelti; pagerinti	Daugiau praktikos gali pagerinti kinų kalbos lygį.
体育	sportas; kūno kultūra	Man patinka sporto pamoka.
甜	saldus	Šis gėrimas per saldus.
条	skaitiklis ilgiems daiktams; vienetas	Nusipirkau sijoną.
同事	kolega	Mano kolega labai užimtas.
同意	sutikti	Sutinku su tavo sprendimu.
头发	plaukai	Jos plaukai ilgi.
突然	staigus; staiga	Jis staiga išėjo.
图书馆	biblioteka	Biblioteka šiandien nedirba.
腿	koja	Po kopimo į kalną man skauda kojas.
完成	baigti; užbaigti	Jau baigiau namų darbus.
碗	dubuo	Ant stalo yra du dubenys.
万	dešimt tūkstančių; daug	Šiame mieste yra dešimt tūkstančių žmonių.
忘记	pamiršti	Nepamiršk pasiimti paso.
为	už; dėl	Džiaugiuosi dėl tavęs.
为了	tam, kad; dėl	Dėl egzamino jis kartoja medžiagą kasdien.
位	mandagus skaitiklis žmonėms	Šis mokytojas labai žinomas.
文化	kultūra	Noriu suprasti kinų kultūrą.
西	vakarai	Bankas yra į vakarus nuo mokyklos.
习惯	įprotis; priprasti	Esu įpratęs mankštintis ryte.
洗手间	tualetas	Tualetas yra dešinėje.
洗澡	maudytis; praustis po dušu	Vakare prausiuosi po dušu.
夏	vasara	Vasara labai karšta.
先	pirmiausia; prieš	Tu pirmiausia valgyk.
相信	tikėti	Tikiu, kad jis ateis.
香蕉	bananas	Nusipirkau tris bananus.
像	būti panašiam; kaip	Šis debesis panašus į paukštį.
向	link; kryptis	Prašau eiti į kairę.
小心	atsargus; saugotis	Lyja; būk atsargus kelyje.
校长	mokyklos direktorius	Mokyklos direktorius yra biure.
新闻	naujienos	Tėtis kasdien žiūri naujienas.
新鲜	šviežias	Šie vaisiai labai švieži.
信用卡	kreditinė kortelė	Ar galiu sumokėti kreditine kortele?
行李箱	lagaminas	Mano lagaminas sunkus.
熊猫	panda	Vaikai mėgsta žiūrėti pandas.
需要	reikėti; būti reikalingam	Man reikia tavo pagalbos.
选择	pasirinkti; pasirinkimas	Kuriuos marškinius renkiesi?
要求	reikalauti; prašyti	Mokytojas reikalauja, kad kruopščiai atliktume namų darbus.
爷爷	senelis iš tėvo pusės; senelis	Senelis kasdien eina į parką.
一直	visą laiką; nuolat	Jis jau ilgai tavęs laukia.
一定	tikrai; būtinai	Tikrai ateisiu.
一共	iš viso	Kiek iš viso kainuoja šios knygos?
一会儿	trumpam; akimirka	Prašau manęs truputį palaukti.
一样	toks pats; vienodas	Šie du puodeliai yra vienodo dydžio.
以前	anksčiau	Anksčiau gyvenau Pekine.
一般	įprastas; vidutinis	Maistas šiame restorane vidutinis.
一边	viena pusė; tuo metu kai	Jis klausosi muzikos, kai daro namų darbus.
音乐	muzika	Man patinka kinų muzika.
银行	bankas	Bankas yra šalia didelės parduotuvės.
饮料	gėrimas	Šis gėrimas skanus.
应该	turėtų; privalėti	Turėtum daugiau ilsėtis.
影响	įtaka; daryti įtaką	Oras paveiks rungtynes.
用	naudoti	Naudoju kompiuterį namų darbams daryti.
游戏	žaidimas	Vaikai žaidžia.
有名	žinomas	Šis restoranas labai žinomas.
又	vėl; dar kartą	Šiandien jis vėl pavėlavo.
遇到	sutikti; susidurti	Gatvėje sutikau mokytoją.
元	juanis; piniginis vienetas	Šis žodynas kainuoja penkiasdešimt juanių.
愿意	norėti; būti pasirengusiam	Ar esi pasirengęs dalyvauti?
月亮	mėnulis	Šį vakarą mėnulis šviesus.
越	kuo labiau... tuo labiau...	Kuo daugiau mokausi kinų kalbos, tuo įdomiau darosi.
站	stotis; stovėti	Jis stovi prie durų.
张	skaitiklis plokštiems daiktams; lapas	Prašau duoti man žemėlapį.
长	augti	Vaikai greitai auga.
着急	nerimauti; jaudintis	Nesijaudink, liftas netrukus atvažiuos.
照顾	rūpintis	Ji rūpinasi sergančia senele.
照片	nuotrauka	Ši nuotrauka graži.
照相机	fotoaparatas	Naudoju fotoaparatą fotografuoti.
283:只	tik	Geriu tik vieną puodelį arbatos.
284:只	skaitiklis gyvūnams	Po stalu yra katė.
只有…才…	tik jeigu... tada...	Tik jei atidžiai pakartosi medžiagą, gerai išlaikysi egzaminą.
中间	vidurys; tarp	Stalas yra kambario viduryje.
中文	kinų kalba; kinų raštas	Kasdien mokausi kinų kalbos.
终于	pagaliau	Pagaliau atvykome.
种	rūšis; tipas	Kokios rūšies gėrimą mėgsti?
重要	svarbus	Pasas labai svarbus.
周末	savaitgalis	Savaitgalį noriu eiti į parką.
主要	pagrindinis	Jo pagrindinis pomėgis yra muzika.
注意	atkreipti dėmesį; saugotis	Prašau atkreipti dėmesį į mokytoją.
自己	pats; save	Noriu pats padaryti namų darbus.
自行车	dviratis	Mano dviratis apačioje.
总是	visada	Jis visada anksti atvyksta į biurą.
嘴	burna	Prašau atverti burną.
最后	paskutinis; galiausiai	Galiausiai visi sutikome.
最近	neseniai; pastaruoju metu	Pastaruoju metu esu užimtas.
作业	namų darbai; užduotis	Dar nebaigiau namų darbų.
