source_headword	JA	example_JA
size	サイズ	どのサイズが必要ですか？
ski	スキーをする	私たちは冬にスキーをします。
skiing	スキー	冬のスキーは楽しいです。
skin	肌	彼女の肌は乾いています。
sky	空	空は晴れています。
slowly	ゆっくり	氷の上をゆっくり歩いてください。
smartphone	スマートフォン	私のスマートフォンは新しいです。
smell	においがする	スープは良いにおいがします。
smile	笑う	カメラに向かって笑ってください。
smoke	煙	煙が部屋に充満しました。
smoking	喫煙	喫煙は禁止されています。
soap	石けん	石けんと水を使ってください。
soccer	サッカー	サッカーはここで人気です。
social	社交的な	これは社交イベントです。
society	社会	社会は時間とともに変わります。
sock	靴下	靴下が一つなくなっています。
soft	柔らかい	この毛布は柔らかいです。
soldier	兵士	その兵士は帰宅しました。
solution	解決策	私たちは解決策を見つけました。
solve	解く	このパズルを解いてください。
somewhere	どこか	それを安全な場所に置いてください。
sort	種類	どの種類が欲しいですか？
source	出典	まず出典を確認してください。
speaker	スピーカー	そのスピーカーは音が大きかったです。
specific	具体的な	具体的な答えが必要です。
speech	スピーチ	彼女のスピーチは短かったです。
speed	速度	ここでは速度を落としてください。
spider	クモ	壁にクモがいます。
spoon	スプーン	スープにはスプーンを使ってください。
square	四角い	四角い箱を描いてください。
stage	舞台	バンドは舞台にいます。
stair	階段	その階段は壊れています。
stamp	切手	手紙に切手を貼ってください。
state	述べる	名前をはっきり述べてください。
steal	盗む	お金を盗んではいけません。
step	一歩	一歩前に出てください。
stomach	胃	胃が痛いです。
stone	石	その石は重いです。
store	店	その店は早く閉まります。
storm	嵐	嵐が来ています。
straight	まっすぐ	まっすぐ家に帰ってください。
strange	奇妙な	その音は奇妙です。
strategy	戦略	戦略が必要です。
stress	ストレス	仕事はストレスの原因になります。
structure	構造	この構造は強いです。
stupid	ばかな	それはばかな間違いでした。
succeed	成功する	ここで成功できます。
successful	成功した	彼女は成功しました。
such	そのような	そのような助けは役に立ちます。
suddenly	突然	突然、犬が走り去りました。
suggest	提案する	短い休憩を提案します。
suggestion	提案	あなたの提案は役に立ちます。
suit	スーツ	このスーツは高いです。
support	支える	私たちはチームを支えます。
suppose	思う	あなたが正しいと思います。
surprise	驚き	その驚きで彼女は喜びました。
surprised	驚いた	彼女は今日驚いていました。
surprising	驚くべき	結果は驚くべきものでした。
survey	調査	この調査に回答してください。
sweet	甘い	このお茶は甘いです。
symbol	記号	この記号は危険を意味します。
system	システム	このシステムはうまく動きます。
tablet	タブレット	私のタブレットは机の上にあります。
target	的	的を注意して狙ってください。
task	課題	この課題は簡単です。
taste	味わう	まずスープを味わってください。
teaching	教えること	教えることは難しい仕事です。
technology	技術	技術はすぐに変わります。
teenage	十代の	私の十代の弟は一生懸命勉強します。
temperature	温度	温度は低いです。
term	学期	この学期はもうすぐ終わります。
themselves	彼ら自身	彼らは自分たちで夕食を作りました。
thick	厚い	この本は厚いです。
thief	泥棒	泥棒は逃げました。
thin	薄い	その紙は薄いです。
thinking	考えること	考えることには時間がかかります。
thought	考え	奇妙な考えが浮かびました。
throw	投げる	ボールをやさしく投げてください。
tidy	きちんとした	部屋をきちんと保ってください。
tie	結ぶ	今、靴ひもを結んでください。
tip	チップ	サービスにチップを残してください。
tool	道具	正しい道具を使ってください。
top	上	一番上の棚はいっぱいです。
touch	触る	ガラスに触らないでください。
tour	ツアー	私たちは市内ツアーに参加しました。
tourism	観光業	観光業はこの町を助けています。
towards	〜へ	駅の方へ歩いてください。
towel	タオル	きれいなタオルを持ってきてください。
tower	塔	その塔はとても古いです。
toy	おもちゃ	そのおもちゃの車は赤いです。
track	道	その道は北へ続いています。
tradition	伝統	この伝統は古いです。
traditional	伝統的な	彼女は伝統的な服を着ました。
trainer	トレーナー	私のトレーナーは親切です。
training	訓練	訓練は明日始まります。
transport	交通機関	公共交通機関が遅れています。
traveller	旅行者	その旅行者は助けを求めました。
trouble	問題	私たちは昨日問題がありました。
truck	トラック	トラックは外にあります。
twin	双子	私の双子の妹の方が背が高いです。
typical	典型的な	これは典型的な一日です。
underground	地下の	電車は地下を走ります。
understanding	理解	あなたの理解は正しいです。
unfortunately	残念ながら	残念ながら、店は閉まっています。
unhappy	不満な	彼は不満そうに見えます。
uniform	制服	彼女は学校の制服を着ています。
unit	ユニット	このユニットは小さいです。
united	団結した	チームは団結したままでした。
unusual	普通ではない	その音は普通ではありません。
used to modal	以前は〜した	私たちは以前ここに住んでいました。
user	ユーザー	各ユーザーには番号があります。
usual	いつもの	私はいつもの席に座りました。
valley	谷	谷は緑です。
van	バン	そのバンはいっぱいです。
variety	多様性	もっと多様性が必要です。
vehicle	車両	この車両は遅いです。
view	眺め	眺めは美しいです。
virus	ウイルス	ウイルスで彼は病気になりました。
voice	声	彼女の声は静かです。
war	戦争	戦争は何年も前に終わりました。
washing	洗濯物	洗濯物は外にあります。
wave	波	波が船に当たりました。
weak	弱い	足が弱く感じます。
web	ウェブ	ウェブページが開いています。
wedding	結婚式	結婚式はもうすぐ始まります。
weight	重さ	まず重さを確認してください。
wet	濡れた	靴が濡れています。
wheel	車輪	車輪が壊れています。
while	しばらく	しばらくここで待ってください。
whole	全体の	リンゴを丸ごと食べました。
whose	誰の	これは誰の電話ですか？
wide	広い	道は広いです。
wild	野生の	野生動物がここに住んでいます。
wind1	風	風が強いです。
winner	勝者	勝者は笑いました。
wish	願い	願い事をしてください。
wood	木	その椅子は木でできています。
wooden	木製の	その木製の箱は重いです。
working	仕事の	勤務日が終わりました。
worried	心配した	今日は心配しています。
worry	心配する	今は心配しないでください。
worse	より悪い	この痛みはさらに悪いです。
worst	最悪の	それは最悪の日でした。
wow	わあ	わあ、それはすごいです！
yet	まだ	もう着きましたか？
yours	あなたのもの	この本はあなたのものです。
zero	ゼロ	ゼロまで数えてください。
