source_headword	MS	example_MS
disclose	mendedahkan	Pegawai enggan mendedahkan angka tersebut.
disclosure	pendedahan	Pendedahan itu mengejutkan lembaga pengarah.
discourse	wacana	Wacana awam menjadi lebih sopan.
discretion	budi bicara	Gunakan budi bicara anda dalam kes yang sensitif.
discrimination	diskriminasi	Undang-undang melarang diskriminasi dalam pengambilan pekerja.
dismissal	pemecatan	Pemecatannya menyebabkan kemarahan orang ramai.
displace	menyesarkan	Peperangan itu mungkin menyesarkan beribu-ribu orang.
disposal	pelupusan	Pelupusan sisa kekal sebagai masalah tempatan.
dispose	melupuskan	Syarikat itu mesti melupuskan bahan kimia dengan selamat.
dispute	pertikaian	Pertikaian itu berlangsung selama beberapa bulan.
disrupt	mengganggu	Bunyi bising boleh mengganggu tumpuan.
disruption	gangguan	Mogok itu menyebabkan gangguan besar.
dissolve	larut	Gula akan larut dalam teh panas.
distinction	perbezaan	Perbezaan antara mereka adalah penting.
distinctive	tersendiri	Dia mempunyai suara yang tersendiri.
distort	memesongkan	Cermin itu boleh memesongkan pantulan anda.
distress	kesusahan	Panggilan itu menyebabkan kesusahan yang serius.
disturbing	mengganggu	Dokumentari itu menunjukkan adegan yang mengganggu.
divert	melencongkan	Polis terpaksa melencongkan lalu lintas.
divine	ketuhanan	Gereja kecil itu mempunyai suasana ketuhanan.
doctrine	doktrin	Parti itu menolak doktrin lama.
documentation	dokumentasi	Lengkapkan dokumentasi sebelum pelancaran.
domain	domain	Laman web itu menggunakan domain yang selamat.
dominance	penguasaan	Penguasaan pasukan itu bertahan selama satu dekad.
donor	penderma	Penderma itu menderma darah hari ini.
dose	dos	Ambil satu dos selepas sarapan.
drain	mengalir	Air akan mengalir ke dalam sungai.
drift	hanyut	Asap mula hanyut di seberang jalan.
driving	pendorong	Hujan adalah faktor pendorong di sebalik kelewatan.
drown	lemas	Jangan berenang di mana arus boleh menenggelamkan anda.
dual	dwi	Peranti ini mempunyai dwi fungsi.
dub	menggelar	Pengkritik menggelar bandar ini sebagai ibu kota budaya.
dumb	bodoh	Itu adalah kesilapan yang bodoh.
duo	pasangan	Pasangan komedi itu menjelajah Eropah.
eager	tidak sabar	Pelajar tidak sabar untuk bermula.
earnings	pendapatan	Pendapatan syarikat meningkat dengan mendadak.
ease	meredakan	Jalan baharu ini akan meredakan lalu lintas.
echo	bergema	Suaranya bergema di dalam dewan.
ecological	ekologi	Kesan ekologi masih tidak pasti.
educator	pendidik	Pendidik itu mereka kursus baharu.
effectiveness	keberkesanan	Kajian itu mengukur keberkesanan vaksin.
efficiency	kecekapan	Perisian yang lebih baik meningkatkan kecekapan.
ego	ego	Egonya menyebabkan masalah di tempat kerja.
elaborate	terperinci	Kostum yang terperinci itu mengambil masa berminggu-minggu.
electoral	pilihan raya	Sistem pilihan raya berubah pada tahun lalu.
elevate	meningkatkan	Anugerah itu akan meningkatkan profilnya.
eligible	layak	Hanya penduduk yang layak mendapat diskaun.
elite	elit	Golongan elit berlatih di akademi swasta.
embark	memulakan	Mereka akan memulakan perjalanan yang panjang.
embarrassment	rasa malu	Dia ketawa untuk menyembunyikan rasa malunya.
embassy	kedutaan	Kedutaan mengeluarkan nasihat perjalanan baharu.
embed	menyertakan	Wartawan itu akan menyertai unit tersebut.
embody	melambangkan	Patung itu seolah-olah melambangkan keberanian.
emergence	kemunculan	Kemunculan telefon telah mengubah kehidupan seharian.
empirical	empirikal	Kertas kerja ini bergantung pada bukti empirikal.
empower	memperkasakan	Pendidikan boleh memperkasakan komuniti tempatan.
enact	menggubal	Parlimen mengundi untuk menggubal pembaharuan itu.
encompass	merangkumi	Kursus ini akan merangkumi sejarah moden.
encouragement	galakan	Galakannya membantu dia untuk meneruskan.
encouraging	memberangsangkan	Keputusan awal kelihatan memberangsangkan.
endeavour	usaha	Penyelamatan itu adalah satu usaha yang sukar.
endless	tidak berkesudahan	Gurun itu seolah-olah tidak berkesudahan.
endorse	menyokong	Kesatuan sekerja enggan menyokong calon tersebut.
endorsement	sokongan	Sokongannya meningkatkan kempen wanita itu.
endure	bertahan	Tumbuh-tumbuhan boleh bertahan pada musim sejuk yang teruk.
enforce	menguatkuasakan	Polis menguatkuasakan had laju.
enforcement	penguatkuasaan	Penguatkuasaan yang lebih kuat mengurangkan pembuangan sisa haram.
engagement	penglibatan	Penglibatan pelajar bertambah baik pada semester ini.
engaging	menarik	Penceramah memberikan ceramah yang menarik.
enquire	bertanya	Sila bertanya di meja depan.
enrich	memperkayakan	Melancong boleh memperkayakan pemahaman anda.
enrol	mendaftar	Pelajar mesti mendaftar sebelum bulan September.
ensue	menyusul	Kekacauan mungkin menyusul selepas pengumuman itu.
enterprise	perusahaan	Perusahaan itu menggaji artis tempatan.
enthusiast	peminat	Setiap peminat basikal tahu laluan ini.
entitle	melayakkan	Tiket ini akan melayakkan anda untuk masuk.
entity	entiti	Syarikat itu adalah entiti undang-undang yang berasingan.
epidemic	wabak	Wabak itu merebak ke beberapa wilayah.
equality	kesaksamaan	Pergerakan itu memperjuangkan kesaksamaan.
equation	persamaan	Persamaan itu mengandungi dua nilai yang tidak diketahui.
erect	mendirikan	Pekerja akan mendirikan pagar baharu.
escalate	meningkat	Konflik ini boleh meningkat dengan cepat.
essence	intipati	Puisi itu merakamkan intipati zaman kanak-kanak.
establishment	pihak berkuasa	Pihak berkuasa menentang pembaharuan itu.
eternal	abadi	Mereka menjanjikan persahabatan abadi.
evacuate	memindahkan	Anggota bomba membantu penduduk berpindah dengan selamat.
evoke	membangkitkan	Lagu ini boleh membangkitkan kenangan yang kuat.
evolutionary	evolusi	Fosil itu menunjukkan perubahan evolusi.
exaggerate	melebih-lebihkan	Jangan melebih-lebihkan pengalaman anda.
excellence	kecemerlangan	Sekolah memberi ganjaran kepada kecemerlangan akademik.
exceptional	luar biasa	Dia menunjukkan kemahiran yang luar biasa.
excess	lebihan	Lebihan air itu membanjiri ruang bawah tanah.
exclusion	pengecualian	Pengecualian sosial memudaratkan golongan muda.
exclusive	eksklusif	Kelab ini menawarkan akses eksklusif.
exclusively	secara eksklusif	Bilik ini digunakan secara eksklusif oleh kakitangan.
execute	melaksanakan	Pasukan ini akan melaksanakan rancangan dengan berhati-hati.
execution	pelaksanaan	Pelaksanaan strategi mengambil masa berbulan-bulan.
exert	mengenakan	Anda mesti mengenakan lebih banyak tekanan.
exile	buangan	Penulis itu hidup dalam buangan.
expenditure	perbelanjaan	Perbelanjaan awam meningkat tahun lepas.
experimental	eksperimen	Rawatan ini masih di peringkat eksperimen.
expire	luput	Pasport saya akan luput tidak lama lagi.
explicit	jelas	Arahan itu sangat jelas.
explicitly	secara jelas	Peraturan secara jelas melarang merokok.
exploitation	eksploitasi	Laporan itu mendedahkan eksploitasi pekerja.
explosive	letupan	Peranti letupan itu telah dialihkan dengan selamat.
extremist	pelampau	Kumpulan pelampau itu kehilangan sokongan.
facilitate	memudahkan	Aplikasi ini akan memudahkan pembelajaran jarak jauh.
faction	puak	Satu puak menentang pemimpin itu.
faculty	fakulti	Fakulti meluluskan cadangan itu.
fade	luntur	Cat itu akan luntur dalam cahaya matahari.
fairness	keadilan	Keadilan penting dalam setiap pertandingan.
fatal	maut	Kemalangan itu menyebabkan kecederaan maut.
fate	nasib	Tiada siapa yang tahu nasibnya.
favourable	positif	Ulasan itu adalah positif.
feat	pencapaian	Memanjat puncak itu merupakan satu pencapaian.
feminist	feminis	Pergerakan feminis mengubah perbahasan awam.
fibre	serat	Roti ini mengandungi serat tambahan.
fierce	sengit	Ribut yang sengit itu merosakkan bumbung.
film-maker	pembuat filem	Pembuat filem menjawab soalan selepas itu.
filter	penapis	Penapis membuang habuk dari udara.
fine	denda	Syarikat itu membayar denda.
firearm	senjata api	Pegawai itu memperoleh semula senjata api yang dicuri.
fit	padanan	Kasut baharu itu padan dengan sempurna.
fixture	kelengkapan tetap	Lampu itu ialah kelengkapan tetap.
flaw	kecacatan	Reka bentuk itu mempunyai satu kecacatan yang serius.
flawed	bercacat	Kajian yang bercacat itu memberikan keputusan yang palsu.
flee	melarikan diri	Keluarga-keluarga terpaksa melarikan diri daripada pertempuran itu.
fleet	angkatan	Syarikat penerbangan itu memperbaharui angkatan pesawatnya.
flesh	kulit	Duri itu menusuk kulitnya.
flexibility	fleksibiliti	Kerja jarak jauh menawarkan lebih banyak fleksibiliti.
flourish	berkembang maju	Perniagaan kecil boleh berkembang maju di sini.
fluid	cecair	Minum banyak cecair selepas bersenam.
footage	rakaman	Rakaman itu menunjukkan nahas tersebut.
foreigner	orang asing	Borang itu bertanya sama ada anda orang asing.
forge	menjalin	Mereka cuba menjalin pakatan baharu.
formula	formula	Formula itu menyelesaikan masalah tersebut.
formulate	merumuskan	Saintis merumuskan teori baharu.
forth	ke hadapan	Sungai itu membawa bot itu ke hadapan.
forthcoming	yang akan datang	Laporan yang akan datang akan menjelaskan segalanya.
foster	memupuk	Program itu membantu memupuk sikap berdikari.
fragile	rapuh	Pasu yang rapuh itu memerlukan pengendalian yang berhati-hati.
franchise	francais	Restoran itu menjadi sebuah francais global.
frankly	terus terang	Terus terang, kami memerlukan lebih banyak masa.
frustrated	kecewa	Pekerja berasa kecewa dengan kelewatan itu.
frustrating	mengecewakan	Sambungan yang perlahan itu sangat mengecewakan.
frustration	kekecewaan	Kekecewaan memuncak semasa mesyuarat itu.
functional	berfungsi	Dapur lama itu masih berfungsi.
fundraising	pengumpulan dana	Pengumpulan dana bermula minggu hadapan.
funeral	pengebumian	Pengebumian itu berlangsung pada hari Jumaat.
gallon	gelen	Tangki itu memuatkan satu gelen.
gambling	perjudian	Perjudian disekat oleh undang-undang.
gathering	perhimpunan	Perhimpunan itu berakhir dengan aman.
gaze	pandangan	Dia membalas pandangannya seketika.
gear	kelengkapan	Kemas kelengkapan keselamatan sebelum mendaki.
generic	generik	Versi generik lebih murah harganya.
genocide	genosid	Genosid itu meninggalkan trauma negara yang mendalam.
glance	sekilas pandang	Dia melihat sepintas lalu.
glimpse	sekilas pandang	Saya ternampak laut sepintas lalu.
glorious	gemilang	Pasukan itu menikmati kemenangan yang gemilang.
glory	kegemilangan	Dia mengimpikan kegemilangan Olimpik.
governance	tadbir urus	Tadbir urus yang baik memerlukan ketelusan.
grace	keanggunan	Dia menerima kekalahan dengan penuh hemah.
grasp	memahami	Dia gagal memahami konsep tersebut.
grave (for dead person)	kubur	Kubur itu ditutupi dengan bunga.
grave (serious)	serius	Keadaan kekal serius.
gravity	graviti	Graviti menarik objek ke arah Bumi.
grid	grid	Peta itu menggunakan grid yang ringkas.
grief	kesedihan	Kesedihan mengubah seluruh keluarganya.
grin	senyuman	Budak lelaki itu memberikan senyuman yang lebar.
grind	mengisar	Pekerja mengisar biji kacang setiap pagi.
grip	genggaman	Pastikan genggaman yang kukuh pada tali itu.
gross	kasar	Pendapatan kasar meningkat mendadak.
guerrilla	gerila	Pejuang gerila bersembunyi di kawasan bukit.
guidance	panduan	Panduan itu memberikan bimbingan yang praktikal.
guilt	rasa bersalah	Dia berasa bersalah selepas menipu.
gut	naluri	Percayai naluri anda dalam pilihan yang sukar.
hail	menyanjung	Penduduk kampung menyanjung doktor itu sebagai hero.
halfway	separuh jalan	Kami berhenti separuh jalan menaiki bukit itu.
halt	berhenti	Kereta api itu berhenti secara tiba-tiba.
handful	segelintir	Segelintir sukarelawan tinggal lewat.
handling	pengendalian	Pengendalian yang betul mencegah kerosakan.
handy	berguna	Alat ini berguna untuk pembaikan.
harassment	gangguan	Syarikat itu menyiasat aduan gangguan.
hardware	perkakasan	Kedai itu menjual perkakasan komputer.
harmony	harmoni	Koir itu menyanyi dalam harmoni yang sempurna.
harsh	keras	Hakim menjatuhkan hukuman yang keras.
harvest	tuaian	Musim menuai bermula pada bulan September.
haunt	menghantui	Memori itu terus menghantuinya.
hazard	bahaya	Ais adalah bahaya jalan raya yang serius.
heighten	meningkatkan	Ucapan itu mungkin meningkatkan ketegangan.
heritage	warisan	Istana itu adalah sebahagian daripada warisan tempatan.
hierarchy	hierarki	Hierarki pejabat ditakrifkan dengan jelas.
high-profile	berprofil tinggi	Perbicaraan berprofil tinggi itu menarik perhatian wartawan.
hint	petunjuk	Dia memberi saya petunjuk yang berguna.
homeland	tanah air	Dia kembali ke tanah airnya.
hopeful	menaruh harapan	Doktor menaruh harapan tentang pemulihan itu.
horizon	ufuk	Matahari hilang di ufuk.
horn	hon	Hon kereta itu mengejutkan semua orang.
hostage	tebusan	Tebusan itu kembali ke rumah.
hostile	bermusuhan	Orang ramai menjadi bermusuhan.
hostility	permusuhan	Permusuhan terbuka mengakhiri rundingan itu.
humanitarian	kemanusiaan	Misi kemanusiaan itu menghantar makanan.
humanity	kemanusiaan	Kemanusiaan menghadapi cabaran yang dikongsi bersama.
humble	rendah diri	Dia kekal rendah diri selepas berjaya.
hydrogen	hidrogen	Hidrogen terbakar dengan sangat mudah.
identification	pengenalan diri	Pengenalan diri diperlukan di pintu masuk.
ideological	ideologi	Pertikaian itu mempunyai akar ideologi.
ideology	ideologi	Ideologinya membentuk setiap ucapan.
idiot	orang bodoh	Jangan panggil sesiapa orang bodoh.
ignorance	kejahilan	Kejahilan boleh menyebarkan ketakutan.
imagery	imejan	Puisi itu menggunakan imejan yang terang.
immense	amat besar	Projek itu memerlukan usaha yang amat besar.
imminent	hampir tiba	Ribut seolah-olah hampir tiba.
implementation	pelaksanaan	Pelaksanaan undang-undang itu perlahan.
imprison	memenjarakan	Rejim itu cuba memenjarakan pengkritik.
imprisonment	pemenjaraan	Pemenjaraannya berlanjutan selama lima tahun.
inability	ketidakmampuan	Ketidakmampuannya untuk memberi tumpuan membimbangkan guru-guru.
inadequate	tidak mencukupi	Tempat perlindungan itu mempunyai pemanasan yang tidak mencukupi.
inappropriate	tidak sesuai	Gurauannya tidak sesuai.
incidence	insiden	Insiden selesema meningkat.
inclined	cenderung	Dia cenderung untuk bersetuju.
inclusion	kemasukan	Sekolah itu menggalakkan kemasukan.
