hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
564:出院	出院	出院	hastaneden çıkmak	Bugün hastaneden çıkabilir.	kutoka hospitalini	Anaweza kutoka hospitalini leo.	xəstəxanadan çıxmaq	O, bu gün xəstəxanadan çıxa bilər.	shifoxonadan chiqmoq	U bugun shifoxonadan chiqishi mumkin.
565:初中	初中	初中	ortaokul	Kız kardeşim ortaokulda okuyor.	shule ya sekondari ya chini	Dada yangu mdogo anasoma shule ya sekondari ya chini.	orta məktəbin aşağı sinifləri	Kiçik bacım orta məktəbin aşağı siniflərində oxuyur.	o‘rta maktabning quyi bosqichi	Singlim o‘rta maktabning quyi bosqichida o‘qiydi.
568:春天	春天	春天	ilkbahar	İlkbahar geldi ve çiçekler açtı.	majira ya kuchipua	Majira ya kuchipua yamefika, na maua yamechanua.	yaz	Yaz gəlib, güllər açıb.	bahor	Bahor keldi, gullar ochildi.
574:大人	大人	大人	yetişkin	Yetişkinler oturma odasında sohbet ediyor.	mtu mzima	Watu wazima wanazungumza sebuleni.	böyük; yetkin	Böyüklər qonaq otağında söhbət edirlər.	kattalar	Kattalar mehmonxonada suhbatlashyapti.
575:大小	大小	大小	boyut	Bu iki giysinin boyutu aynı.	ukubwa	Nguo hizi mbili zina ukubwa sawa.	ölçü	Bu iki paltarın ölçüsü eynidir.	o‘lcham	Bu ikki kiyimning o‘lchami bir xil.
576:大熊猫	大熊猫	大熊猫	dev panda	Dev panda bambu yiyor.	panda mkubwa	Panda mkubwa anakula mianzi.	böyük panda	Böyük panda bambuk yeyir.	katta panda	Katta panda bambuk yeyapti.
577:大衣	大衣	大衣	palto	Hava soğuk, bu yüzden palto giydim.	koti kubwa; koti la baridi	Ni baridi, kwa hiyo nimevaa koti la baridi.	palto	Hava soyuqdur, ona görə palto geyindim.	palto	Sovuq bo‘lgani uchun palto kiydim.
583:得	得	得	almak; kazanmak	Çok çalıştı ve sonunda yüksek puan aldı.	kupata	Alisoma kwa bidii na hatimaye akapata alama ya juu.	almaq; qazanmaq	O, çox oxudu və nəhayət yüksək bal aldı.	olmoq; qo‘lga kiritmoq	U qattiq o‘qidi va nihoyat yuqori ball oldi.
584:得到	得到	得到	almak	Öğretmenimden yardım aldım.	kupata	Nilipata msaada kutoka kwa mwalimu wangu.	almaq	Müəllimimdən kömək aldım.	olmoq	O‘qituvchimdan yordam oldim.
585:得分	得分	得分	puan almak; puan	Bu oyunda en çok puanı o aldı.	kupata alama; alama	Katika mchezo huu alipata alama nyingi zaidi.	bal toplamaq; bal	Bu oyunda ən çox balı o topladı.	ball olmoq; ball	Bu o‘yinda u eng ko‘p ball oldi.
586:的话	的话	的话	eğer; öyleyse	Zamanın varsa birlikte gidelim.	ikiwa; basi	Ukiwa na muda, twende pamoja.	əgər; belədirsə	Vaxtın varsa, birlikdə gedək.	agar; shunday bo‘lsa	Vaqting bo‘lsa, birga boraylik.
589:地	地	地	toprak; yer	Bu toprakta sebze yetiştirilebilir.	ardhi; udongo	Ardhi hii inaweza kutumika kukuza mboga.	torpaq; yer	Bu torpaqda tərəvəz yetişdirmək olar.	yer; tuproq	Bu yerda sabzavot yetishtirish mumkin.
593:电	电	电	elektrik	Odada elektrik yok.	umeme	Chumbani hakuna umeme.	elektrik	Otaqda elektrik yoxdur.	elektr	Xonada elektr yo‘q.
595:电子书	电子书	电子书	e-kitap	Telefonumda e-kitap okurum.	kitabu cha kielektroniki	Ninasoma vitabu vya kielektroniki kwenye simu yangu.	elektron kitab	Telefonda elektron kitab oxuyuram.	elektron kitob	Telefonda elektron kitob o‘qiyman.
598:东北	东北	东北	kuzeydoğu	Evim şehrin kuzeydoğusunda.	kaskazini mashariki	Nyumba yangu iko kaskazini mashariki mwa jiji.	şimal-şərq	Evim şəhərin şimal-şərqindədir.	shimoli-sharq	Uyim shaharning shimoli-sharqida.
599:东方	东方	东方	doğu; Doğu	Güneş doğudan doğar.	mashariki	Jua huchomoza mashariki.	şərq; Şərq	Günəş şərqdən doğur.	sharq	Quyosh sharqdan chiqadi.
600:东南	东南	东南	güneydoğu	Okul şehrin güneydoğusunda.	kusini mashariki	Shule iko kusini mashariki mwa jiji.	cənub-şərq	Məktəb şəhərin cənub-şərqindədir.	janubi-sharq	Maktab shaharning janubi-sharqida.
601:冬天	冬天	冬天	kış	Burada kışın hava çok soğuk olur.	majira ya baridi	Hapa huwa baridi sana wakati wa majira ya baridi.	qış	Burada qışda çox soyuq olur.	qish	Bu yerda qishda juda sovuq bo‘ladi.
602:懂得	懂得	懂得	bilmek; anlamak	Başkalarına nasıl bakacağını bilir.	kujua; kuelewa	Anajua jinsi ya kuwajali wengine.	bilmək; anlamaq	O, başqalarına necə qayğı göstərməyi bilir.	bilmoq; tushunmoq	U boshqalarga qanday g‘amxo‘rlik qilishni biladi.
604:动物园	动物园	动物园	hayvanat bahçesi	Bu hafta sonu hayvanat bahçesine gidiyoruz.	bustani ya wanyama	Tunaenda bustani ya wanyama wikendi hii.	zoopark	Bu həftəsonu zooparka gedirik.	hayvonot bog‘i	Bu dam olish kunlari hayvonot bog‘iga boramiz.
606:短裤	短裤	短裤	şort	Yazın sık sık şort giyerim.	suruali fupi	Mimi huvaa suruali fupi mara nyingi wakati wa kiangazi.	şort	Yayda tez-tez şort geyinirəm.	shorti	Yozda tez-tez shorti kiyaman.
611:而且	而且	而且	ve ayrıca	Bu dükkân ucuz ve ayrıca hizmeti iyi.	na pia	Duka hili ni nafuu, na huduma ni nzuri.	və üstəlik	Bu mağaza ucuzdur və xidməti yaxşıdır.	va bundan tashqari	Bu do‘kon arzon, xizmati ham yaxshi.
613:耳机	耳机	耳机	kulaklık	Kulaklığım masanın üzerinde.	vifaa vya masikioni	Vifaa vyangu vya masikioni viko mezani.	qulaqcıq	Qulaqcığım masanın üstündədir.	quloqchin	Quloqchinim stol ustida.
620:方便面	方便面	方便面	hazır erişte	Ara sıra hazır erişte yerim.	tambi za haraka	Wakati mwingine hula tambi za haraka.	tez hazırlanan əriştə	Hərdən tez hazırlanan əriştə yeyirəm.	tez tayyorlanadigan lag‘mon	Ba’zan tez tayyorlanadigan lag‘mon yeyman.
623:房子	房子	房子	ev; daire	Bu daire çok temiz.	nyumba; fleti	Fleti hii ni safi sana.	ev; mənzil	Bu mənzil çox təmizdir.	uy; kvartira	Bu kvartira juda toza.
625:放假	放假	放假	tatile girmek	Gelecek hafta üç gün tatilimiz var.	kuwa likizo	Wiki ijayo tuna likizo ya siku tatu.	tətil olmaq	Gələn həftə üç gün tətilimiz var.	ta’til bo‘lmoq	Keyingi hafta uch kun ta’tilimiz bor.
627:放学	放学	放学	okul çıkmak	Okuldan sonra kütüphaneye giderim.	shule kuisha	Baada ya shule, ninaenda maktaba kusoma vitabu.	dərsdən çıxmaq	Dərsdən sonra kitabxanaya gedirəm.	dars tugamoq	Darsdan keyin kutubxonaga boraman.
628:分开	分开	分开	ayırmak	Lütfen bu kitapları ayırın.	kutenganisha	Tafadhali tenga vitabu hivi.	ayırmaq	Zəhmət olmasa bu kitabları ayırın.	ajratmoq	Iltimos, bu kitoblarni ajrating.
629:风	风	风	rüzgâr	Bugün çok rüzgâr esiyor.	upepo	Leo upepo unavuma sana.	külək	Bu gün güclü külək əsir.	shamol	Bugun kuchli shamol esyapti.
630:封	封	封	mektuplar için ölçü sözcüğü	Bir mektup aldım.	kipimo cha barua	Nilipokea barua moja.	məktublar üçün say sözü	Bir məktub aldım.	xatlar uchun hisob so‘zi	Men bir xat oldim.
631:夫妻	夫妻	夫妻	karı koca; çift	Bu çift çok arkadaş canlısı.	mume na mke; wanandoa	Wanandoa hawa ni wakarimu sana.	ər-arvad; cütlük	Bu cütlük çox mehribandır.	er-xotin; juftlik	Bu er-xotin juda samimiy.
632:服务	服务	服务	hizmet; hizmet etmek	Bu restoranın hizmeti çok iyi.	huduma	Huduma ya mgahawa huu ni nzuri sana.	xidmət	Bu restoranın xidməti çox yaxşıdır.	xizmat	Bu restoranning xizmati juda yaxshi.
635:该1	该1	该	gerek; -meli	Şimdi gitmeliyiz.	inapaswa	Tunapaswa kwenda sasa.	gərək; lazımdır	İndi getməliyik.	kerak	Endi borishimiz kerak.
638:感到	感到	感到	hissetmek	Biraz yorgun hissediyorum.	kuhisi	Ninahisi nimechoka kidogo.	hiss etmək	Özümü bir az yorğun hiss edirəm.	his qilmoq	Biroz charchaganimni his qilyapman.
643:刚刚	刚刚	刚刚	az önce	Az önce sınıftan çıktı.	hivi punde	Ameondoka darasani hivi punde.	indicə	O, indicə sinif otağından çıxdı.	hozirgina	U hozirgina sinfdan chiqib ketdi.
644:高铁	高铁	高铁	yüksek hızlı tren	Yarın Pekin'e yüksek hızlı trenle gideceğim.	treni ya mwendo kasi	Kesho nitaenda Beijing kwa treni ya mwendo kasi.	yüksəksürətli qatar	Sabah Pekinə yüksəksürətli qatarla gedəcəyəm.	tezyurar poyezd	Ertaga Pekinga tezyurar poyezdda boraman.
649:工作日	工作日	工作日	iş günü	İş günlerinde sabah yedide kalkarım.	siku ya kazi	Siku za kazi huamka saa moja asubuhi.	iş günü	İş günlərində səhər saat yeddidə dururam.	ish kuni	Ish kunlari ertalab soat yettida turaman.
651:刮	刮	刮	esmek; kazımak	Dışarıda güçlü bir rüzgâr esiyor.	kuvuma; kukwangua	Nje kunavuma upepo mkali.	əsmək; qaşımaq	Bayırda güclü külək əsir.	esmoq; qirmoq	Tashqarida kuchli shamol esyapti.
653:关机	关机	关机	kapatmak	Ders sırasında lütfen telefonunuzu kapatın.	kuzima	Tafadhali zima simu yako wakati wa darasa.	söndürmək	Dərs zamanı zəhmət olmasa telefonunuzu söndürün.	o‘chirmoq	Dars paytida telefoningizni o‘chiring.
657:关注	关注	关注	ilgi göstermek; takip etmek	Çocuğumun derslerine çok dikkat ederim.	kutilia maanani	Ninatilia maanani masomo ya mtoto wangu.	diqqət yetirmək	Uşağımın dərslərinə çox diqqət yetirirəm.	e’tibor bermoq	Farzandimning o‘qishiga katta e’tibor beraman.
659:过节	过节	过节	bayram kutlamak	Bayram kutlarken ev çok canlı olur.	kusherehekea sikukuu	Nyumba huwa na furaha tunaposherehekea sikukuu.	bayram keçirmək	Bayram keçirəndə ev çox canlı olur.	bayram nishonlamoq	Bayram nishonlaganda uy juda gavjum bo‘ladi.
661:海	海	海	deniz	Deniz kıyısına seyahat etmek istiyorum.	bahari	Nataka kusafiri kwenda ufukweni mwa bahari.	dəniz	Dəniz kənarına səyahət etmək istəyirəm.	dengiz	Dengiz bo‘yiga sayohat qilmoqchiman.
663:好多	好多	好多	çok; birçok	Dükkânda çok yeni kitap var.	nyingi; sana	Dukani kuna vitabu vipya vingi.	çox	Mağazada çoxlu yeni kitab var.	ko‘p	Do‘konda ko‘p yangi kitoblar bor.
664:好久	好久	好久	uzun zaman	Uzun zamandır görüşmedik.	muda mrefu	Hatujaonana kwa muda mrefu.	uzun müddət	Çoxdandır bir-birimizi görmürük.	uzoq vaqt	Bir-birimizni uzoq vaqt ko‘rmadik.
667:河	河	河	nehir	Bu nehir geniş.	mto	Mto huu ni mpana.	çay	Bu çay enlidir.	daryo	Bu daryo keng.
670:红绿灯	红绿灯	红绿灯	trafik ışığı	Yoldan geçerken trafik ışığına bakın.	taa ya barabarani	Angalia taa ya barabarani unapovuka barabara.	svetofor	Yolu keçəndə svetofora baxın.	svetofor	Yo‘lni kesib o‘tayotganda svetoforga qarang.
672:后年	后年	后年	öbür yıl	Öbür yıl Çin'e gidip okumak istiyorum.	mwaka baada ya mwakani	Nataka kwenda China kusoma mwaka baada ya mwakani.	birisi il	Birisi il Çinə gedib oxumaq istəyirəm.	kelasi yildan keyingi yil	Kelasi yildan keyingi yili Xitoyga o‘qishga bormoqchiman.
673:后天	后天	后天	öbür gün	Öbür gün sınavımız var.	kesho kutwa	Tuna mtihani kesho kutwa.	birisi gün	Birisi gün imtahanımız var.	indin	Indin imtihonimiz bor.
675:花园	花园	花园	bahçe	Bahçede çok çiçek var.	bustani	Bustanini kuna maua mengi.	bağ	Bağda çoxlu gül var.	bog‘	Bog‘da ko‘p gullar bor.
676:画家	画家	画家	ressam	Bu ressam çok ünlü.	mchoraji	Mchoraji huyu ni maarufu sana.	rəssam	Bu rəssam çox məşhurdur.	rassom	Bu rassom juda mashhur.
681:黄色	黄色	黄色	sarı renk	Sarı bir üst aldım.	rangi ya njano	Nilinunua nguo ya juu ya njano.	sarı rəng	Sarı rəngli üst paltarı aldım.	sariq rang	Sariq ustki kiyim sotib oldim.
685:或	或	或	veya	Arabayla veya yürüyerek gidebilirsin.	au	Unaweza kwenda kwa gari au kwa miguu.	və ya	Maşınla və ya piyada gedə bilərsiniz.	yoki	Mashinada yoki piyoda borishingiz mumkin.
687:鸡	鸡	鸡	tavuk	Büyükannemin ailesi birkaç tavuk besliyor.	kuku	Nyumbani kwa bibi wanafuga kuku wachache.	toyuq	Nənəmin evində bir neçə toyuq saxlayırlar.	tovuq	Buvimning uyida bir nechta tovuq boqiladi.
691:急	急	急	aceleci; kaygılı	Acele etme. Araba henüz gelmedi.	kuwa na haraka; wasiwasi	Usiwe na wasiwasi. Gari bado halijafika.	tələsik; narahat	Tələsmə. Maşın hələ gəlməyib.	shoshilinch; xavotirli	Shoshilmang. Mashina hali kelmadi.
692:记	记	记	hatırlamak; not etmek	Lütfen telefon numaramı yaz.	kukumbuka; kuandika	Tafadhali andika namba yangu ya simu.	yadda saxlamaq; yazmaq	Zəhmət olmasa telefon nömrəmi yazın.	eslab qolmoq; yozib olmoq	Iltimos, telefon raqamimni yozib oling.
693:季	季	季	mevsim	Bir yılda dört mevsim vardır.	msimu	Kuna misimu minne kwa mwaka.	fəsil	Bir ildə dörd fəsil var.	fasl	Bir yilda to‘rt fasl bor.
695:加	加	加	eklemek	Lütfen bana biraz su ekleyin.	kuongeza	Tafadhali niongezee maji kidogo.	əlavə etmək	Zəhmət olmasa mənə bir az su əlavə edin.	qo‘shmoq	Iltimos, menga ozgina suv qo‘shing.
696:假期	假期	假期	tatil	Tatilde dinlenmek istiyorum.	likizo	Nataka kupumzika wakati wa likizo.	tətil	Tətildə dincəlmək istəyirəm.	ta’til	Ta’tilda dam olmoqchiman.
700:检票	检票	检票	bilet kontrol etmek	İstasyona girmeden önce biletler kontrol edilmelidir.	kukagua tiketi	Tiketi lazima zikaguliwe kabla ya kuingia kituoni.	bilet yoxlamaq	Stansiyaya girməzdən əvvəl biletlər yoxlanmalıdır.	chipta tekshirmoq	Stansiyaga kirishdan oldin chiptalar tekshirilishi kerak.
707:街	街	街	sokak	Bu sokak çok canlı.	mtaa	Mtaa huu una shughuli nyingi.	küçə	Bu küçə çox canlıdır.	ko‘cha	Bu ko‘cha juda gavjum.
714:姐妹	姐妹	姐妹	kız kardeşler	Onlar kız kardeş.	dada	Hao ni dada.	bacılar	Onlar bacıdırlar.	opa-singillar	Ular opa-singillar.
716:斤	斤	斤	cın; yarım kiloluk ölçü	Yaklaşık bir kilo elma aldım.	jin; kipimo cha nusu kilo	Nilinunua takriban kilo moja ya tufaha.	cin; yarım kilo ölçüsü	Təxminən bir kiloqram alma aldım.	jin; yarim kilolik o‘lchov	Taxminan bir kilogramm olma sotib oldim.
720:酒	酒	酒	alkol; içki	Babam akşamları alkol içmez.	pombe	Baba hanywi pombe jioni.	spirtli içki	Atam axşam spirtli içki içmir.	spirtli ichimlik	Dadam kechqurun spirtli ichimlik ichmaydi.
722:句	句	句	cümle; cümle ölçü sözcüğü	Lütfen bir cümle daha söyle.	sentensi; kipimo cha sentensi	Tafadhali sema sentensi moja zaidi.	cümlə; cümlə üçün say sözü	Zəhmət olmasa bir cümlə də deyin.	gap; gaplar uchun hisob so‘zi	Iltimos, yana bir gap ayting.
725:卡	卡	卡	kart	Kartım çantamda.	kadi	Kadi yangu iko kwenye begi langu.	kart	Kartım çantamdadır.	karta	Kartam sumkamda.
726:开花	开花	开花	çiçek açmak	Ağaçlar ilkbaharda çiçek açar.	kuchanua	Miti yote huchanua wakati wa majira ya kuchipua.	çiçək açmaq	Yazda ağacların hamısı çiçək açır.	gullamoq	Bahorda daraxtlarning hammasi gullaydi.
727:开会	开会	开会	toplantı yapmak	Bugün öğleden sonra üçte toplantım var.	kufanya mkutano	Nina mkutano saa tisa alasiri.	iclas keçirmək	Bu gün günortadan sonra saat üçdə iclasım var.	yig‘ilish o‘tkazmoq	Bugun tushdan keyin soat uchda yig‘ilishim bor.
728:开机	开机	开机	açmak; başlatmak	Bilgisayar çok yavaş açılıyor.	kuwasha	Kompyuta inawaka polepole sana.	işə salmaq; yandırmaq	Kompüter çox yavaş işə düşür.	yoqmoq; ishga tushirmoq	Kompyuter juda sekin ishga tushadi.
730:看来	看来	看来	görünüşe göre	Görünüşe göre bugün yağmur yağacak.	inaonekana	Inaonekana leo mvua itanyesha.	görünür	Görünür, bu gün yağış yağacaq.	ko‘rinishidan	Ko‘rinishidan, bugun yomg‘ir yog‘adi.
731:可	可	可	gerçekten; çok	O gerçekten çok mutlu.	kweli; sana	Ana furaha kweli.	həqiqətən; çox	O, həqiqətən çox xoşbəxtdir.	haqiqatan; juda	U haqiqatan juda xursand.
736:课本	课本	课本	ders kitabı	Lütfen ders kitabını açın.	kitabu cha somo	Tafadhali fungua kitabu cha somo.	dərslik	Zəhmət olmasa dərsliyi açın.	darslik	Iltimos, darslikni oching.
738:课文	课文	课文	ders metni	Bu ders metni zor değil.	maandishi ya somo	Maandishi haya ya somo si magumu.	dərs mətni	Bu dərs mətni çətin deyil.	dars matni	Bu dars matni qiyin emas.
746:老人	老人	老人	yaşlı kişi	Bu yaşlı kişinin yardıma ihtiyacı var.	mtu mzee	Mtu huyu mzee anahitaji msaada.	yaşlı insan	Bu yaşlı insanın köməyə ehtiyacı var.	keksa odam	Bu keksa odamga yordam kerak.
751:练	练	练	pratik yapmak	Her gün Çince pratik yaparım.	kufanya mazoezi	Nafanya mazoezi ya Kichina kila siku.	məşq etmək	Hər gün çin dili məşq edirəm.	mashq qilmoq	Men har kuni xitoy tilini mashq qilaman.
755:聊	聊	聊	sohbet etmek	Seninle sohbet etmek istiyorum.	kuzungumza	Nataka kuzungumza nawe.	söhbət etmək	Səninlə söhbət etmək istəyirəm.	suhbatlashmoq	Sen bilan suhbatlashmoqchiman.
756:聊天儿	聊天儿	聊天儿	sohbet etmek	Akşam birlikte sohbet ederiz.	kupiga gumzo	Tunapiga gumzo pamoja jioni.	söhbət etmək	Axşam birlikdə söhbət edirik.	suhbatlashmoq	Kechqurun birga suhbatlashamiz.
760:留学生	留学生	留学生	uluslararası öğrenci	O Japonya'dan gelen bir uluslararası öğrencidir.	mwanafunzi wa kigeni	Yeye ni mwanafunzi wa kigeni kutoka Japani.	xarici tələbə	O, Yaponiyadan gələn xarici tələbədir.	xorijlik talaba	U Yaponiyadan kelgan xorijlik talaba.
761:楼梯	楼梯	楼梯	merdiven	Lütfen merdivenden yukarı çıkın.	ngazi	Tafadhali panda juu kwa ngazi.	pilləkən	Zəhmət olmasa pilləkənlə yuxarı qalxın.	zina	Iltimos, zinadan yuqoriga chiqing.
762:路边	路边	路边	yol kenarı	Arabayı yol kenarına park etti.	kando ya barabara	Aliegesha gari kando ya barabara.	yol kənarı	Maşını yol kənarında saxladı.	yo‘l cheti	U mashinani yo‘l chetiga qo‘ydi.
763:路口	路口	路口	kavşak	Seni kavşakta bekliyorum.	makutano ya barabara	Ninakusubiri kwenye makutano ya barabara.	yol ayrıcı; kəsişmə	Səni yol ayrıcında gözləyirəm.	chorraha	Seni chorrahada kutyapman.
765:马路	马路	马路	yol; cadde	Yoldan geçerken dikkatli ol.	barabara	Kuwa mwangalifu unapovuka barabara.	yol	Yolu keçəndə diqqətli ol.	yo‘l	Yo‘lni kesib o‘tayotganda ehtiyot bo‘l.
770:面前	面前	面前	önünde	Öğretmen öğrencilerin önünde duruyor.	mbele	Mwalimu anasimama mbele ya wanafunzi.	qarşısında; önündə	Müəllim şagirdlərin qarşısında dayanır.	oldida	O‘qituvchi o‘quvchilarning oldida turibdi.
772:名单	名单	名单	isim listesi	Lütfen listeye adınızı yazın.	orodha ya majina	Tafadhali andika jina lako kwenye orodha.	ad siyahısı	Zəhmət olmasa adınızı siyahıya yazın.	ismlar ro‘yxati	Iltimos, ro‘yxatga ismingizni yozing.
773:名人	名人	名人	ünlü kişi	Bu şehirde çok ünlü kişi var.	mtu maarufu	Kuna watu wengi maarufu katika jiji hili.	məşhur insan	Bu şəhərdə çoxlu məşhur insan var.	mashhur inson	Bu shaharda ko‘p mashhur insonlar bor.
776:南方	南方	南方	güney bölgesi	Güneyde kışlar çok soğuk değildir.	kusini	Majira ya baridi kusini si baridi sana.	cənub bölgəsi	Cənubda qış çox soyuq olmur.	janubiy hudud	Janubda qish juda sovuq bo‘lmaydi.
