simplified	NE	example_NE	SI	example_SI	TA	example_TA
报名	नाम दर्ता गर्नु; आवेदन दिनु	नाम दर्ता गर्न के सामग्री चाहिन्छ?	ලියාපදිංචි වීම; අයදුම් කිරීම	ලියාපදිංචියට අවශ්‍ය ද්‍රව්‍ය මොනවාද?	பதிவு செய்தல்; விண்ணப்பித்தல்	பதிவு செய்ய என்ன ஆவணங்கள் வேண்டும்?
抱	अँगालो हाल्नु; काखमा लिनु	उसले बच्चालाई काखमा उठायो.	වැළඳ ගැනීම; අත්වලින් උසුලා ගැනීම	ඔහු දරුවා අත්වලින් උස්සා ගත්තේය.	அணைத்தல்; கையில் தூக்குதல்	அவன் குழந்தையை கையில் தூக்கினான்.
抱歉	माफ गर्नुहोस्; खेद हुनु	तपाईंलाई यति धेरै पर्खाउनुपरेकोमा धेरै माफ गर्नुहोस्.	සමාවන්න; කනගාටුයි	ඔබව මෙතරම් කාලයක් බලා සිටවීම ගැන ඉතා සමාවන්න.	மன்னிக்கவும்; வருந்துதல்	உங்களை இவ்வளவு நேரம் காத்திருக்க வைத்ததற்கு மிகவும் மன்னிக்கவும்.
倍	गुणा; दोब्बर	हाम्रो विद्यालयका विदेशी विद्यार्थीहरू गत वर्षभन्दा दोब्बर भएका छन्.	ගුණයක්; දෙගුණයක්	අපේ පාසලේ විදේශීය සිසුන් ගණන පසුගිය වසරට වඩා දෙගුණයක් වී ඇත.	மடங்கு; இரட்டிப்பு	எங்கள் பள்ளியின் வெளிநாட்டு மாணவர்கள் கடந்த ஆண்டைவிட இரட்டிப்பாகியுள்ளனர்.
本来	मूल रूपमा; सुरुमा	मूल रूपमा म कार्यक्रम हेर्न जाने थिएँ, तर अचानक काम परेर जान सकिनँ.	මුලින්; ආරම්භයේදී	මුලින් මම ප්‍රසංගය බලන්න යාමට සිටියෙමි, නමුත් හදිසියේ කාර්යයක් ඇතිව ගිය නොහැකි විය.	முதலில்; ஆரம்பத்தில்	முதலில் நான் நிகழ்ச்சியை பார்க்கப் போக இருந்தேன், ஆனால் திடீரென வேலை வந்ததால் போக முடியவில்லை.
笨	मूर्ख; बेवकुफ	तिमी मूर्ख होइनौ, केवल अझ मेहनत गर्नुपर्छ.	මෝඩ; අඥාන	ඔබ මෝඩ නැහැ, තව වැඩිපුර උත්සාහ කළ යුතු පමණි.	முட்டாள்; அறிவில்லாத	நீ முட்டாள் அல்ல, இன்னும் கடினமாக முயற்சி செய்ய வேண்டும்.
比如	उदाहरणका लागि; जस्तै	मसँग धेरै रुचिहरू छन्, जस्तै पौडी खेल्नु र किताब पढ्नु.	උදාහරණයක් ලෙස; වැනි	මට බොහෝ විනෝදාංශ ඇත, උදාහරණයක් ලෙස පිහිනීම සහ පොත් කියවීම.	உதாரணமாக; போன்ற	எனக்கு பல விருப்பங்கள் உள்ளன, உதாரணமாக நீந்துதல் மற்றும் புத்தகம் வாசித்தல்.
毕业	स्नातक हुनु; पढाइ सक्नु	म यो वर्ष तेस्रो वर्षमा छु, अर्को वर्ष स्नातक हुन्छु.	උපාධිය ලබා ගැනීම; පාසල අවසන් කිරීම	මම මේ වසරේ තුන්වන වසරේ සිටිමි, ලබන වසරේ උපාධිය ලබා ගනිමි.	பட்டம் பெறுதல்; படிப்பை முடித்தல்	நான் இந்த ஆண்டு மூன்றாம் ஆண்டில் இருக்கிறேன், அடுத்த ஆண்டு பட்டம் பெறுவேன்.
遍	एक पटक; पटक	उसले कुरा फेरि एक पटक भन्यो.	වරක්; වතාවක්	ඔහු කාරණය නැවත වරක් පැවසීය.	ஒரு முறை; முறை	அவன் விஷயத்தை மீண்டும் ஒரு முறை சொன்னான்.
标准	मापदण्ड; शुद्ध	तपाईंको म्यान्डरिन धेरै शुद्ध छ.	ප්‍රමිතිය; සම්මත	ඔබේ සම්මත චීන කථනය ඉතා ප්‍රමිතියෙන් යුක්තයි.	தரநிலை; ஒழுங்கான	உன் மாந்தரின் பேச்சு மிகவும் தரமானது.
表格	फाराम; तालिका	कृपया फाराममा आफ्नो नाम भर्नुहोस्.	පෝරමය; වගුව	කරුණාකර පෝරමයේ ඔබේ නම පුරවන්න.	படிவம்; அட்டவணை	தயவுசெய்து படிவத்தில் உங்கள் பெயரை நிரப்புங்கள்.
表示	व्यक्त गर्नु; देखाउनु	कृपया उहाँलाई धन्यवाद व्यक्त गर्नुहोस्.	ප්‍රකාශ කිරීම; දැක්වීම	කරුණාකර ඔහුට ස්තුතිය ප්‍රකාශ කරන්න.	வெளிப்படுத்துதல்; காட்டுதல்	தயவுசெய்து அவருக்கு நன்றி தெரிவிக்கவும்.
表演	प्रदर्शन गर्नु; प्रस्तुति	तपाईंहरू के कार्यक्रम प्रदर्शन गर्न जाँदै हुनुहुन्छ?	රංගනය; ඉදිරිපත් කිරීම	ඔබලා කුමන වැඩසටහනක් ඉදිරිපත් කිරීමට යන්නේද?	நிகழ்த்துதல்; நிகழ்ச்சி	நீங்கள் எந்த நிகழ்ச்சியை நடத்தப் போகிறீர்கள்?
表扬	प्रशंसा गर्नु	उसले प्रधानाध्यापकबाट प्रायः प्रशंसा पाउँछ.	ප්‍රශංසා කිරීම	ඔහුට විදුහල්පතිගෙන් නිතරම ප්‍රශංසා ලැබේ.	பாராட்டுதல்	அவன் தலைமை ஆசிரியரிடமிருந்து அடிக்கடி பாராட்டு பெறுகிறான்.
饼干	बिस्कुट; कुकी	मैले बिस्कुट किनेको छु, अलिकति खाऊ.	බිස්කට්	මම බිස්කට් මිලදී ගත්තා, ටිකක් කමු.	பிஸ்கட்	நான் பிஸ்கட் வாங்கியிருக்கிறேன், கொஞ்சம் சாப்பிடு.
并且	र साथै; थप रूपमा	उनी धेरै चलाख छिन् र साथै धेरै मेहनती छिन्.	තවද; අමතරව	ඇය ඉතා බුද්ධිමත් වන අතර තවද ඉතා මහන්සි වේ.	மேலும்; அதோடு	அவள் மிகவும் புத்திசாலி, மேலும் மிகவும் உழைப்பாளி.
博士	विद्यावारिधि; डाक्टर	म परिचय गराउँछु, उहाँ डाक्टर ली हुनुहुन्छ.	ආචාර්ය; ආචාර්ය උපාධිධාරී	මම හඳුන්වා දෙන්නම්, මේ ලී ආචාර්යතුමාය.	முனைவர்	நான் அறிமுகப்படுத்துகிறேன், இவர் முனைவர் லி.
不过	तर; यद्यपि	उनी उत्कृष्ट छन्, तर कम्पनीको भर्ती सर्त पूरा गर्दैनन्.	නමුත්; කෙසේ වෙතත්	ඔහු විශිෂ්ටයි, නමුත් සමාගමේ බඳවා ගැනීමේ කොන්දේසි සපුරාලන්නේ නැහැ.	ஆனால்; எனினும்	அவன் சிறந்தவன், ஆனால் நிறுவனத்தின் ஆட்சேர்ப்பு நிபந்தனைகளை பூர்த்தி செய்யவில்லை.
不得不	बाध्य हुनु; नगरी नहुने	बाहिर ठूलो पानी परिरहेको छ, म घरमै बस्न बाध्य छु.	කළ යුතුම වීම; වෙන විකල්පයක් නැති වීම	පිටත දැඩි වැසි නිසා මට නිවසේ රැඳී සිටිය යුතුය.	வேறு வழியின்றி செய்ய வேண்டியிருத்தல்	வெளியில் கடும் மழை பெய்கிறது, எனவே நான் வீட்டிலேயே இருக்க வேண்டியுள்ளது.
不管	जे भए पनि; वास्ता नगरी	मौसम जस्तो भए पनि म पहाड चढ्नै पर्छ.	කෙසේ වුවත්; නොසලකා	කාලගුණය කෙසේ වුවත් මට කන්ද නගින්නම වේ.	எப்படியிருந்தாலும்; பொருட்படுத்தாமல்	வானிலை எப்படி இருந்தாலும் நான் மலை ஏற வேண்டும்.
不仅	मात्र होइन	म त्यो सहरमा मात्र गएको होइन, धेरै पटक गएको छु.	පමණක් නොව	මම එම නගරයට ගොස් තිබීම පමණක් නොව, බොහෝ වාර ගොස් ඇත.	மட்டுமல்ல	நான் அந்த நகரத்திற்குச் சென்றதுமல்ல, பல முறை சென்றிருக்கிறேன்.
部分	भाग; अंश	लेखको सबैभन्दा महत्वपूर्ण भाग तेस्रो अनुच्छेद हो.	කොටස; අංශය	ලිපියේ වඩාත්ම වැදගත් කොටස තුන්වන ඡේදයයි.	பகுதி; அங்கம்	கட்டுரையின் மிக முக்கியமான பகுதி மூன்றாவது பத்தி.
擦	पुछ्नु; मेट्नु	मैले झ्यालहरू सफा पुछिसकेको छु.	පිස දැමීම; මකා දැමීම	මම ජනෙල් දැනටමත් පිරිසිදු කර පිස දමා ඇත.	துடைத்தல்; அழித்தல்	நான் ஜன்னல்களை ஏற்கனவே சுத்தமாகத் துடைத்துவிட்டேன்.
猜	अनुमान गर्नु	तिमी अनुमान गर, मैले तिम्रो लागि के जन्मदिनको उपहार तयार गरेको छु?	අනුමාන කිරීම	මම ඔබට සූදානම් කළ උපන්දිනයේ තෑග්ග කුමක්දැයි අනුමාන කරන්න.	ஊகித்தல்	நான் உனக்காக என்ன பிறந்தநாள் பரிசு தயார் செய்திருக்கிறேன் என்று ஊகி.
材料	सामग्री; कागजात	नाम दर्ता गर्न के कागजात चाहिन्छ?	ද්‍රව්‍ය; ලේඛන	ලියාපදිංචියට අවශ්‍ය ලේඛන මොනවාද?	பொருள்; ஆவணங்கள்	பதிவு செய்ய என்ன ஆவணங்கள் வேண்டும்?
参观	भ्रमण गर्नु; हेर्न जानु	म सप्ताहन्तमा चीनको महान पर्खाल हेर्न जान चाहन्छु.	නැරඹීමට යාම; සංචාරය කිරීම	මට සති අන්තයේ චීන මහා ප්‍රාකාරය නැරඹීමට යාමට අවශ්‍යයි.	பார்வையிடுதல்; சுற்றிப் பார்தல்	நான் வார இறுதியில் சீனப் பெருஞ்சுவரைப் பார்வையிட விரும்புகிறேன்.
餐厅	रेस्टुरेन्ट; भोजनकक्ष	विद्यालय नजिक नयाँ रेस्टुरेन्ट खुलेको छ.	අවන්හල; භෝජන ශාලාව	පාසල අසල නව අවන්හලක් විවෘත වී ඇත.	உணவகம்; உணவறை	பள்ளி அருகில் புதிய உணவகம் திறக்கப்பட்டுள்ளது.
厕所	शौचालय	पुरुष शौचालय पहिलो तलामा छ.	වැසිකිළිය	පිරිමි වැසිකිළිය පළමු මහලේ ඇත.	கழிப்பறை	ஆண்கள் கழிப்பறை முதல் மாடியில் உள்ளது.
差不多	लगभग; झन्डै	म हरेक दिन लगभग सात बजे उठ्छु.	සමීපව; ආසන්න වශයෙන්	මම දිනපතා ආසන්න වශයෙන් හතට නැගිටිනවා.	கிட்டத்தட்ட; சுமார்	நான் தினமும் கிட்டத்தட்ட ஏழு மணிக்கு எழுகிறேன்.
尝	स्वाद लिनु; चाख्नु	छिटो आउ, मैले बनाएको परिकार चाख, स्वाद कस्तो छ?	රස බැලීම	ඉක්මනින් එන්න, මම කළ කෑම රස බලන්න, රස කොහොමද?	சுவைத்துப் பார்தல்	விரைவாக வா, நான் செய்த உணவைச் சுவைத்துப் பார், சுவை எப்படி?
长城	चीनको महान पर्खाल	म सप्ताहन्तमा चीनको महान पर्खाल हेर्न जान चाहन्छु.	චීන මහා ප්‍රාකාරය	මට සති අන්තයේ චීන මහා ප්‍රාකාරය නැරඹීමට යාමට අවශ්‍යයි.	சீனப் பெருஞ்சுவர்	நான் வார இறுதியில் சீனப் பெருஞ்சுவரைப் பார்வையிட விரும்புகிறேன்.
长江	याङ्त्से नदी	याङ्त्से नदी चीनको सबैभन्दा ठूलो नदी हो.	යැංසි ගඟ	යැංසි ගඟ චීනයේ විශාලතම ගඟයි.	யாங்சீ ஆறு	யாங்சீ ஆறு சீனாவின் மிகப் பெரிய ஆறு.
场	कार्यक्रम वा घटनाका लागि परिमाणवाचक शब्द; मैदान	यो वर्षा ठीक समयमा आयो.	සිදුවීම් සඳහා ප්‍රමාණ වචනය; පිටිය	මෙම වැස්ස නියම වේලාවේ වැටුණි.	நிகழ்வுகளுக்கான அளவுச்சொல்; இடம்	இந்த மழை சரியான நேரத்தில் பெய்தது.
超过	नाघ्नु; भन्दा बढी हुनु	हरेक दिन यहाँबाट तीन सयभन्दा बढी उडान उड्छन्.	ඉක්මවීම; වඩා වැඩි වීම	දිනපතා මෙතැනින් ගුවන් ගමන් තුන් සියයකට වැඩි ප්‍රමාණයක් පිටත් වේ.	மீறுதல்; அதிகமாக இருத்தல்	ஒவ்வொரு நாளும் இங்கிருந்து மூன்றுநூற்றுக்கும் மேற்பட்ட விமானங்கள் புறப்படுகின்றன.
乘坐	सवारी चढ्नु	यस उडानमा तपाईंलाई स्वागत छ.	වාහනයක ගමන් කිරීම	මෙම ගුවන් ගමනට ඔබව සාදරයෙන් පිළිගනිමු.	வாகனத்தில் பயணம் செய்தல்	இந்த விமானப் பயணத்திற்கு உங்களை வரவேற்கிறோம்.
成功	सफलता; सफल हुनु	मेहनत सफलता पाउने ग्यारेन्टी हो.	සාර්ථකත්වය; සාර්ථක වීම	උත්සාහය සාර්ථකත්වය ලබා ගැනීමේ සහතිකයයි.	வெற்றி; வெற்றி பெறுதல்	முயற்சி வெற்றியைப் பெறுவதற்கான உறுதி.
成为	बन्नु	म सानो हुँदादेखि नै प्रहरी बन्न चाहन्थेँ.	වීම; බවට පත්වීම	මම කුඩා කාලයේ සිටම පොලිස් නිලධාරියෙකු වීමට කැමති වුණෙමි.	ஆகுதல்; மாறுதல்	நான் சிறுவயதிலிருந்தே காவலராக ஆக விரும்பினேன்.
诚实	इमानदार; इमानदारी	इमानदार मानिस हाम्रो सम्मानका योग्य हुन्छन्.	අවංක; අවංකකම	අවංක මිනිසුන් අපගේ ගෞරවයට සුදුසුය.	நேர்மையான; நேர்மை	நேர்மையானவர்கள் நமது மரியாதைக்கு தகுதியானவர்கள்.
吃惊	अचम्मित हुनु; छक्क पर्नु	यो खबर सुनेर ऊ धेरै अचम्मित भयो.	පුදුම වීම; විස්මයට පත් වීම	මෙම පුවත ඇසූ ඔහු ඉතා පුදුම විය.	ஆச்சரியப்படுதல்; அதிர்ச்சி அடைதல்	இந்த செய்தியை கேட்டவுடன் அவன் மிகவும் ஆச்சரியப்பட்டான்.
重新	फेरि; पुनः	उसले कुरा फेरि एक पटक भन्यो.	නැවත; යළිත්	ඔහු කාරණය නැවත වරක් පැවසීය.	மீண்டும்	அவன் விஷயத்தை மீண்டும் ஒரு முறை சொன்னான்.
抽烟	धूम्रपान गर्नु	माफ गर्नुहोस्, अस्पतालमा धूम्रपान गर्न पाइँदैन.	දුම් පානය කිරීම	සමාවන්න, රෝහලේ දුම් පානය කළ නොහැක.	புகை பிடித்தல்	மன்னிக்கவும், மருத்துவமனையில் புகை பிடிக்க முடியாது.
出差	कामको यात्रामा जानु	बुबा एक महिनाभन्दा बढी समयदेखि कामको यात्रामा हुनुहुन्छ.	නිල ගමනකට යාම	තාත්තා මාසයකට වැඩි කාලයක් නිල ගමනක සිටී.	அலுவல் பயணத்திற்கு செல்லுதல்	அப்பா ஒரு மாதத்திற்கும் மேலாக அலுவல் பயணத்தில் இருக்கிறார்.
出发	प्रस्थान गर्नु; निस्कनु	म बेइजिङबाट साङ्घाईतर्फ निस्किएँ.	පිටත් වීම	මම බෙයිජිං සිට ෂැංහයි වෙත පිටත් වුණෙමි.	புறப்படுதல்	நான் பெய்ஜிங்கிலிருந்து ஷாங்காய்க்கு புறப்பட்டேன்.
出生	जन्मिनु	म एउटा सानो सहरमा जन्मिएको हुँ.	උපත ලැබීම	මම කුඩා නගරයක උපත ලැබුවෙමි.	பிறத்தல்	நான் ஒரு சிறிய நகரத்தில் பிறந்தேன்.
出现	देखा पर्नु; उत्पन्न हुनु	हाम्रो काममा धेरै समस्या देखा परे.	පෙනී එනවා; ඇති වීම	අපගේ වැඩ තුළ බොහෝ ගැටලු ඇති විය.	தோன்றுதல்; உருவாகுதல்	எங்கள் வேலையில் பல பிரச்சினைகள் தோன்றின.
厨房	भान्सा	फल काट्ने चक्कु भान्सामा छ.	මුළුතැන්ගෙය	පළතුරු කපන පිහිය මුළුතැන්ගෙයි ඇත.	சமையலறை	பழக் கத்தி சமையலறையில் உள்ளது.
传真	फ्याक्स	कृपया मलाई एउटा फ्याक्स पठाइदिनुहोस्.	ෆැක්ස්	කරුණාකර මට ෆැක්ස් එකක් යවන්න.	தொலைநகல்	தயவுசெய்து எனக்காக ஒரு தொலைநகல் அனுப்புங்கள்.
窗户	झ्याल	मैले झ्यालहरू सफा पुछिसकेको छु.	ජනේලය	මම ජනෙල් දැනටමත් පිරිසිදු කර පිස දමා ඇත.	ஜன்னல்	நான் ஜன்னல்களை ஏற்கனவே சுத்தமாகத் துடைத்துவிட்டேன்.
词语	शब्द; पद	कृपया यी शब्दहरू प्रयोग गरेर केही वाक्य बनाउनुहोस्.	වචනය; පදය	කරුණාකර මෙම වචන භාවිතා කර වාක්‍ය කිහිපයක් සාදන්න.	சொல்; சொற்றொடர்	தயவுசெய்து இந்த சொற்களைப் பயன்படுத்தி சில வாக்கியங்கள் சொல்லுங்கள்.
从来	कहिल्यै; सधैं	मैले उसलाई कहिल्यै देखेको छैन.	කවදාවත්; සෑමවිටම	මම ඔහුව කවදාවත් දැක නැත.	எப்போதும்; ஒருபோதும்	நான் அவனை ஒருபோதும் பார்த்ததில்லை.
粗心	लापरवाह; असावधान	तिमी साँच्चै धेरै लापरवाह छौ.	නොසැලකිලිමත්	ඔබ ඇත්තටම ඉතා නොසැලකිලිමත්.	கவனக்குறைவான	நீ மிகவும் கவனக்குறைவாக இருக்கிறாய்.
存	जम्मा गर्नु; भण्डारण गर्नु	मैले पैसा बैंकमा जम्मा गरें.	තැන්පත් කරනවා; ගබඩා කරනවා	මම මුදල් බැංකුවට තැන්පත් කළෙමි.	வைப்புச் செய்; சேமி	நான் பணத்தை வங்கியில் வைப்பு செய்தேன்.
错误	गल्ती; त्रुटि	मेरो गल्ती देखाइदिएकोमा धन्यवाद.	වැරැද්ද; දෝෂය	මගේ වැරැද්ද පෙන්වා දුන්නාට ස්තුතියි.	தவறு; பிழை	என் தவறைச் சுட்டிக்காட்டியதற்கு நன்றி.
答案	उत्तर; समाधान	तिम्रो उत्तर सही छ.	පිළිතුර; විසඳුම	ඔබේ පිළිතුර නිවැරදියි.	பதில்; தீர்வு	உன் பதில் சரியாக உள்ளது.
打扮	सजिनु; श्रृंगार गर्नु	उनी साधारण रूपमा सजिएर बाहिर निस्किन्.	සැරසෙනවා; අලංකාර කරනවා	ඇය සරලව සැරසිලා පිටව ගියාය.	அலங்கரித்துக்கொள்	அவள் எளிமையாக அலங்கரித்துக்கொண்டு வெளியே சென்றாள்.
打扰	बाधा दिनु; दुःख दिनु	माफ गर्नुहोस्, एकछिन तपाईंलाई बाधा दिन्छु.	බාධා කරනවා; කරදර කරනවා	සමාවෙන්න, මොහොතකට ඔබට බාධා කරමි.	தொந்தரவு செய்	மன்னிக்கவும், ஒரு நிமிடம் உங்களைத் தொந்தரவு செய்கிறேன்.
打印	छाप्नु	यी सामग्रीहरू छापिसकिएका छन्.	මුද්‍රණය කරනවා	මෙම ද්‍රව්‍ය දැනටමත් මුද්‍රණය කර අවසන්ය.	அச்சிடு	இந்தப் பொருட்கள் ஏற்கனவே அச்சிடப்பட்டுவிட்டன.
打招呼	अभिवादन गर्नु	उसले मुस्कुराउँदै मलाई अभिवादन गर्यो.	ආචාර කරනවා	ඔහු සිනාසෙමින් මට ආචාර කළේය.	வணக்கம் சொல்	அவன் புன்னகையுடன் எனக்கு வணக்கம் சொன்னான்.
打折	छुट दिनु	वसन्त चाडअघि व्यापारिक केन्द्रहरूमा छुट छ.	වට්ටම් දෙනවා	වසන්ත උත්සවයට පෙර වෙළඳ මධ්‍යස්ථානවල වට්ටම් තිබේ.	தள்ளுபடி செய்	வசந்த விழாவுக்கு முன் வணிக வளாகங்களில் தள்ளுபடி உள்ளது.
打针	सुई लगाउनु	छोरा सुई लगाउन धेरै डराउँछ.	එන්නත් කරනවා; එන්නතක් ගන්නවා	පුතා එන්නතක් ගන්න ඉතා බයයි.	ஊசி போடு; ஊசி போடிக்கொள்	மகன் ஊசி போடிக்கொள்வதை மிகவும் பயப்படுகிறான்.
大概	सायद; करिब	ऊ सायद आउनेछैन.	බොහෝ විට; ආසන්න වශයෙන්	ඔහු බොහෝ විට එන්නේ නැත.	ஏறக்குறைய; ஒருவேளை	அவன் ஒருவேளை வரமாட்டான்.
大使馆	दूतावास	म भोलि भिसाका लागि दूतावास जानुपर्छ.	තානාපති කාර්යාලය	මට හෙට වීසා අයදුම් කිරීමට තානාපති කාර්යාලයට යා යුතුය.	தூதரகம்	நான் நாளை விசாவுக்காக தூதரகத்திற்குச் செல்ல வேண்டும்.
大约	करिब; लगभग	ऊ करिब तीस वर्षको छ.	ආසන්න වශයෙන්; පමණ	ඔහු අවුරුදු තිහක් පමණ වයසයි.	சுமார்; ஏறக்குறைய	அவன் சுமார் முப்பது வயது.
大夫	डाक्टर	डाक्टर ली, के तपाईं भोलि बिहान अस्पतालमा हुनुहुन्छ?	වෛද්‍යවරයා	වෛද්‍ය ලී, ඔබ හෙට උදේ රෝහලේ සිටිනවාද?	மருத்துவர்	மருத்துவர் லீ, நீங்கள் நாளை காலை மருத்துவமனையில் இருப்பீர்களா?
戴	लगाउनु	उसले कालो चस्मा लगाएको छ.	අඳිනවා; පැළඳෙනවා	ඔහු කළු කණ්ණාඩි යුගලක් පැළඳ සිටී.	அணி; போட்டுக்கொள்	அவன் கருப்பு கண்ணாடி அணிந்திருக்கிறான்.
当	हुनु; काम गर्नु	म डाक्टर बन्न चाहन्छु.	වෙනවා; ලෙස සේවය කරනවා	මට වෛද්‍යවරයෙක් වීමට අවශ්‍යයි.	ஆகு; பணியாற்று	நான் மருத்துவராக விரும்புகிறேன்.
当时	त्यतिबेला; त्यस समयमा	मलाई त्यतिबेलाको अवस्था प्रस्ट याद छैन.	එවිට; ඒ වෙලාවේ	ඒ වෙලාවේ තත්ත්වය මට පැහැදිලිව මතක නැත.	அப்போது; அந்த நேரத்தில்	அந்த நேரத்தின் நிலைமை எனக்கு தெளிவாக நினைவில்லை.
刀	चक्कु	फल काट्ने चक्कु भान्सामा छ.	පිහිය	පළතුරු කපන පිහිය මුළුතැන්ගෙයි ඇත.	கத்தி	பழக் கத்தி சமையலறையில் உள்ளது.
导游	पर्यटक मार्गदर्शक	मेरी दिदी पर्यटक मार्गदर्शक हुन्.	සංචාරක මඟපෙන්වන්නා	මගේ අක්කා සංචාරක මඟපෙන්වන්නියකි.	சுற்றுலா வழிகாட்டி	என் அக்கா ஒரு சுற்றுலா வழிகாட்டி.
倒	ढल्नु; ढाल्नु	ठूलो हावाले रूख ढाल्यो.	වැටෙනවා; බිම හෙළනවා	බලවත් සුළඟ ගස බිම හෙළීය.	விழு; வீழ்த்து	பலமான காற்று மரத்தை வீழ்த்தியது.
到处	जताततै; सबैतिर	पार्कमा जताततै फूल छन्.	සෑම තැනම	උද්‍යානයේ සෑම තැනම මල් ඇත.	எங்கும்	பூங்காவில் எங்கும் மலர்கள் உள்ளன.
到底	आखिर; ठ्याक्कै	यो वाक्यको अर्थ आखिर के हो?	ඇත්තටම; හරියටම	මෙම වාක්‍යයේ අර්ථය ඇත්තටම කුමක්ද?	இறுதியில்; சரியாக	இந்த வாக்கியத்தின் அர்த்தம் சரியாக என்ன?
道歉	माफी माग्नु	मैले उसँग पहिले नै माफी मागिसकेको छु.	සමාව ඉල්ලනවා	මම ඔහුගෙන් දැනටමත් සමාව ඉල්ලා ඇත.	மன்னிப்பு கேள்	நான் அவனிடம் ஏற்கனவே மன்னிப்பு கேட்டுவிட்டேன்.
得	पर्नु; गर्नैपर्छ	भोलि परीक्षा छ, मैले चाँडै सुत्नुपर्छ.	කළ යුතුයි; අවශ්‍යයි	හෙට විභාගයක් තියෙන නිසා මට ඉක්මනින් නිදාගත යුතුයි.	வேண்டும்; கட்டாயம்	நாளை தேர்வு இருப்பதால் நான் சீக்கிரம் தூங்க வேண்டும்.
得意	गर्वित; प्रसन्न	काम सफल भएपछि सबैजना धेरै गर्वित भए.	ආඩම්බර; සතුටු	වැඩේ සාර්ථක වූ නිසා හැමෝම ඉතා ආඩම්බර විය.	பெருமைமிகு; மகிழ்ச்சி	வேலை வெற்றி பெற்றதால் எல்லோரும் மிகவும் பெருமைப்பட்டனர்.
登机牌	बोर्डिङ पास	कृपया बोर्डिङ पास राम्रोसँग लिनुहोस् र विमान चढ्न तयार हुनुहोस्.	ගොඩවීමේ පත්‍රය	කරුණාකර ගොඩවීමේ පත්‍රය තබාගෙන ගුවන් යානයට ගොඩවීමට සූදානම් වන්න.	பயணச்சீட்டு	தயவுசெய்து உங்கள் பயணச்சீட்டை வைத்துக்கொண்டு விமானத்தில் ஏறத் தயாராகுங்கள்.
