source_headword	VI	example_VI
demon	ác quỷ	Câu chuyện miêu tả một con ác quỷ cổ đại.
denial	sự phủ nhận	Sự phủ nhận của anh ấy khiến các nạn nhân tức giận.
denounce	lên án	Các nhà lãnh đạo lên án bạo lực học đường.
dense	rậm rạp	Khu rừng rậm rạp đã che khuất ánh sáng mặt trời.
density	mật độ	Mật độ dân số ở trung tâm thành phố rất cao.
dependence	sự phụ thuộc	Sự phụ thuộc của đất nước vào dầu mỏ đã giảm.
depict	miêu tả	Bức tranh tường miêu tả cuộc sống ở làng quê.
deploy	triển khai	Quân đội sẽ triển khai thêm nhân sự.
deployment	sự triển khai	Sự triển khai quân đội bắt đầu vào thứ Hai.
deprive	tước đoạt	Thiếu ngủ có thể tước đoạt sự tập trung của học sinh.
deputy	phó	Người cấp phó đã ký thỏa thuận.
descend	dốc xuống	Con đường bắt đầu dốc xuống một cách ngoạn mục.
descent	sự hạ cánh	Máy bay đã bắt đầu quá trình hạ cánh.
designate	chỉ định	Thành phố sẽ chỉ định một công viên mới.
desirable	đáng mong muốn	Ánh sáng tốt là điều đáng mong muốn trong các lớp học.
desktop	màn hình chính	Tệp tin nằm trên màn hình chính của tôi.
destructive	tàn phá	Cơn bão mang sức mạnh tàn phá.
detain	giam giữ	Cảnh sát có thể giam giữ các nghi phạm qua đêm.
detection	việc phát hiện	Việc phát hiện sớm sẽ giúp cải thiện hiệu quả điều trị ung thư.
detention	sự giam giữ	Các học sinh biểu tình phản đối điều kiện giam giữ.
deteriorate	xấu đi	Sức khỏe của anh ấy bắt đầu xấu đi.
devastate	tàn phá	Trận động đất có thể tàn phá các thị trấn ven biển.
devil	ác quỷ	Đứa trẻ đã vẽ một con ác quỷ đang cười.
devise	phát minh	Các kỹ sư phát minh ra các hệ thống giao thông an toàn hơn.
diagnose	chẩn đoán	Bác sĩ chẩn đoán căn bệnh bằng các xét nghiệm máu.
diagnosis	lời chẩn đoán	Lời chẩn đoán đã giải thích các triệu chứng của cô ấy.
dictate	ra lệnh	Bản hợp đồng sẽ quyết định các điều khoản thanh toán.
dictator	nhà độc tài	Nhà độc tài đã kiểm soát các phương tiện truyền thông.
differentiate	phân biệt	Bạn có thể phân biệt được thực tế với quan điểm không?
dignity	nhân phẩm	Mọi người đều xứng đáng được tôn trọng nhân phẩm tại nơi làm việc.
dilemma	tình trạng khó xử	Người quản lý phải đối mặt với một tình trạng khó xử nghiêm trọng.
dimension	khía cạnh	Vấn đề này mang một khía cạnh chính trị.
diminish	giảm bớt	Cơn đau sẽ dần dần giảm bớt.
dip	giảm xuống	Nhiệt độ có thể giảm xuống dưới mức đóng băng.
diplomat	nhà ngoại giao	Nhà ngoại giao đã gặp gỡ các nhà lãnh đạo nước ngoài.
diplomatic	mang tính ngoại giao	Các cuộc đàm phán ngoại giao tiếp tục diễn ra suốt đêm.
directory	danh bạ	Hãy tìm số của anh ấy trong danh bạ.
disastrous	thảm khốc	Trận lũ lụt thảm khốc đã phá hủy nhiều cây cầu.
discard	vứt bỏ	Đừng vứt bỏ các tài liệu hữu ích.
discharge	cho xuất viện	Bệnh viện sẽ cho anh ấy xuất viện vào ngày mai.
disclose	tiết lộ	Các quan chức đã từ chối tiết lộ những số liệu.
disclosure	sự tiết lộ	Sự tiết lộ đó đã gây sốc cho ban giám đốc.
discourse	diễn ngôn	Cuộc tranh luận công khai đã trở nên lịch sự hơn.
discretion	sự thận trọng	Hãy sử dụng sự thận trọng của bạn đối với những vụ việc nhạy cảm.
discrimination	sự phân biệt đối xử	Luật pháp nghiêm cấm sự phân biệt đối xử trong tuyển dụng.
dismissal	sự sa thải	Sự sa thải anh ấy đã gây ra sự phẫn nộ trong công chúng.
displace	phải di dời	Cuộc chiến tranh có thể khiến hàng ngàn người phải di dời.
disposal	việc xử lý	Việc xử lý rác thải vẫn là một vấn đề của địa phương.
dispose	vứt bỏ	Công ty phải vứt bỏ các loại hóa chất một cách an toàn.
dispute	cuộc tranh chấp	Cuộc tranh chấp kéo dài trong nhiều tháng.
disrupt	làm gián đoạn	Tiếng ồn có thể làm gián đoạn sự tập trung.
disruption	sự gián đoạn	Cuộc đình công đã gây ra sự gián đoạn lớn.
dissolve	hòa tan	Đường sẽ hòa tan trong trà nóng.
distinction	sự khác biệt	Sự khác biệt giữa chúng rất quan trọng.
distinctive	đặc biệt	Cô ấy có một giọng nói đặc biệt.
distort	làm méo mó	Chiếc gương có thể làm méo mó hình ảnh phản chiếu của bạn.
distress	nỗi đau buồn	Cuộc điện thoại đó đã gây ra nỗi đau buồn sâu sắc.
disturbing	gây ám ảnh	Bộ phim tài liệu đã chiếu những cảnh gây ám ảnh.
divert	chuyển hướng	Cảnh sát phải chuyển hướng giao thông.
divine	thần thánh	Nhà nguyện có một bầu không khí thần thánh.
doctrine	học thuyết	Đảng đã bác bỏ học thuyết cũ.
documentation	tài liệu	Hãy hoàn tất các tài liệu trước khi ra mắt.
domain	miền	Trang web này sử dụng một miền bảo mật.
dominance	sự thống trị	Sự thống trị của đội kéo dài một thập kỷ.
donor	người hiến tặng	Người hiến tặng đã hiến máu hôm nay.
dose	liều lượng	Uống một liều sau bữa sáng.
drain	chảy đi	Nước sẽ chảy xuống sông.
drift	trôi dạt	Khói bắt đầu bay ngang qua con đường.
driving	mang tính thúc đẩy	Mưa là yếu tố chính gây ra sự chậm trễ.
drown	chết đuối	Đừng bao giờ bơi ở nơi dòng chảy có thể làm bạn chết đuối.
dual	kép	Thiết bị có chức năng kép.
dub	gán cho	Các nhà phê bình mệnh danh thành phố này là thủ đô văn hóa.
dumb	ngớ ngẩn	Đó là một sai lầm ngớ ngẩn.
duo	bộ đôi	Bộ đôi hài kịch đã lưu diễn vòng quanh châu Âu.
eager	háo hức	Các sinh viên rất háo hức bắt đầu.
earnings	thu nhập	Thu nhập của công ty đã tăng mạnh.
ease	làm dịu	Con đường mới sẽ làm giảm bớt giao thông.
echo	vang vọng	Giọng cô ấy vang lên trong hội trường.
ecological	thuộc sinh thái	Tác động sinh thái vẫn chưa chắc chắn.
educator	nhà giáo dục	Nhà giáo dục đã thiết kế một khóa học mới.
effectiveness	tính hiệu quả	Nghiên cứu đã đo lường hiệu quả của vắc-xin.
efficiency	hiệu suất	Phần mềm tốt hơn đã cải thiện hiệu quả.
ego	cái tôi	Cái tôi của anh ấy đã gây ra vấn đề tại nơi làm việc.
elaborate	tỉ mỉ	Bộ trang phục cầu kỳ mất nhiều tuần để làm.
electoral	thuộc bầu cử	Hệ thống bầu cử đã thay đổi vào năm ngoái.
elevate	nâng lên	Giải thưởng sẽ nâng cao danh tiếng của cô ấy.
eligible	đủ điều kiện	Chỉ cư dân mới đủ điều kiện được giảm giá.
elite	tầng lớp tinh hoa	Những người ưu tú được đào tạo tại một học viện tư thục.
embark	bắt tay vào	Họ sẽ bắt đầu một cuộc hành trình dài.
embarrassment	sự bối rối	Anh ấy cười để che giấu sự bối rối của mình.
embassy	đại sứ quán	Đại sứ quán đã đưa ra lời khuyên du lịch mới.
embed	đi cùng	Nhà báo sẽ đi theo đơn vị.
embody	hiện thân của	Bức tượng dường như là hiện thân của lòng dũng cảm.
emergence	sự xuất hiện	Sự xuất hiện của điện thoại đã làm thay đổi cuộc sống hàng ngày.
empirical	dựa trên kinh nghiệm	Bài báo dựa trên bằng chứng thực nghiệm.
empower	trao quyền	Giáo dục có thể trao quyền cho các cộng đồng địa phương.
enact	ban hành	Quốc hội đã bỏ phiếu để ban hành luật cải cách.
encompass	bao gồm	Khóa học sẽ bao gồm lịch sử hiện đại.
encouragement	sự khuyến khích	Sự khuyến khích của cô ấy đã giúp anh tiếp tục.
encouraging	đáng khích lệ	Những kết quả ban đầu trông rất đáng khích lệ.
endeavour	sự nỗ lực	Cuộc giải cứu là một nỗ lực khó khăn.
endless	vô tận	Sa mạc dường như vô tận.
endorse	ủng hộ	Công đoàn đã từ chối ủng hộ ứng cử viên.
endorsement	sự chứng thực	Sự ủng hộ của ông đã thúc đẩy chiến dịch của cô.
endure	chịu đựng	Thực vật có thể chịu đựng được mùa đông khắc nghiệt.
enforce	thi hành	Cảnh sát thực thi giới hạn tốc độ.
enforcement	sự thi hành	Việc thực thi mạnh mẽ hơn đã giảm thiểu tình trạng đổ rác bừa bãi.
engagement	sự tham gia	Sự tham gia của học sinh đã được cải thiện trong học kỳ này.
engaging	lôi cuốn	Diễn giả đã có một buổi nói chuyện rất lôi cuốn.
enquire	hỏi thăm	Vui lòng hỏi ở quầy lễ tân.
enrich	làm phong phú	Du lịch có thể làm phong phú thêm sự hiểu biết của bạn.
enrol	ghi danh	Sinh viên phải ghi danh trước tháng Chín.
ensue	xảy ra sau đó	Sự hỗn loạn có thể xảy ra sau thông báo.
enterprise	doanh nghiệp	Doanh nghiệp tuyển dụng các nghệ sĩ địa phương.
enthusiast	người đam mê	Mọi người đam mê đạp xe đều biết tuyến đường này.
entitle	cho quyền	Tấm vé sẽ cho bạn quyền vào cửa.
entity	thực thể	Công ty là một thực thể pháp lý riêng biệt.
epidemic	dịch bệnh	Dịch bệnh lây lan qua nhiều khu vực.
equality	sự bình đẳng	Phong trào đã đấu tranh cho sự bình đẳng.
equation	phương trình	Phương trình chứa hai ẩn số.
erect	dựng lên	Các công nhân sẽ dựng một hàng rào mới.
escalate	leo thang	Cuộc xung đột có thể leo thang nhanh chóng.
essence	bản chất	Bài thơ nắm bắt được bản chất của tuổi thơ.
establishment	giới cầm quyền	Giới cầm quyền đã phản đối cuộc cải cách.
eternal	vĩnh cửu	Họ đã hứa hẹn một tình bạn vĩnh cửu.
evacuate	sơ tán	Lính cứu hỏa đã giúp người dân sơ tán an toàn.
evoke	gợi lên	Bài hát có thể gợi lên những kỷ niệm mạnh mẽ.
evolutionary	thuộc tiến hóa	Hóa thạch cho thấy một sự thay đổi tiến hóa.
exaggerate	phóng đại	Đừng phóng đại kinh nghiệm của bạn.
excellence	sự xuất sắc	Ngôi trường khen thưởng cho sự xuất sắc trong học tập.
exceptional	xuất chúng	Cô ấy đã thể hiện kỹ năng xuất chúng.
excess	sự vượt quá	Lượng nước dư thừa đã làm ngập tầng hầm.
exclusion	sự loại trừ	Sự loại trừ xã hội gây tổn hại cho những người trẻ tuổi.
exclusive	độc quyền	Câu lạc bộ cung cấp quyền truy cập độc quyền.
exclusively	dành riêng	Căn phòng này chỉ được sử dụng riêng cho nhân viên.
execute	thi hành	Nhóm sẽ thực hiện kế hoạch một cách cẩn thận.
execution	sự thực hiện	Việc thực hiện chiến lược mất nhiều tháng.
exert	sử dụng	Bạn phải gây thêm áp lực.
exile	sự lưu đày	Nhà văn đã sống lưu vong.
expenditure	sự chi tiêu	Chi tiêu công đã tăng vào năm ngoái.
experimental	thực nghiệm	Phương pháp điều trị vẫn đang trong quá trình thử nghiệm.
expire	hết hạn	Hộ chiếu của tôi sẽ sớm hết hạn.
explicit	rõ ràng	Các hướng dẫn rất rõ ràng.
explicitly	một cách rõ ràng	Các quy định cấm hút thuốc một cách rõ ràng.
exploitation	sự bóc lột	Báo cáo đã phơi bày sự bóc lột công nhân.
explosive	chất nổ	Thiết bị nổ đã được tháo gỡ an toàn.
extremist	kẻ cực đoan	Nhóm cực đoan đã mất đi sự ủng hộ.
facilitate	tạo điều kiện	Ứng dụng này sẽ tạo điều kiện cho việc học từ xa.
faction	phe phái	Một phe phái đã phản đối nhà lãnh đạo.
faculty	khoa	Khoa đã thông qua đề xuất.
fade	phai nhạt	Lớp sơn sẽ phai màu dưới ánh sáng mặt trời.
fairness	sự công bằng	Sự công bằng là quan trọng trong mọi cuộc thi.
fatal	gây tử vong	Vụ tai nạn gây ra những chấn thương chí mạng.
fate	số phận	Không ai biết số phận của anh ấy ra sao.
favourable	thuận lợi	Đánh giá đó rất thuận lợi.
feat	kỳ công	Leo lên đỉnh núi đó là một kỳ công.
feminist	người ủng hộ nữ quyền	Phong trào nữ quyền đã thay đổi cuộc tranh luận của công chúng.
fibre	chất xơ	Bánh mì này chứa thêm chất xơ.
fierce	dữ dội	Cơn bão dữ dội đã làm hỏng các mái nhà.
film-maker	nhà làm phim	Nhà làm phim đã trả lời các câu hỏi sau đó.
filter	bộ lọc	Bộ lọc loại bỏ bụi khỏi không khí.
fine	tiền phạt	Công ty đã trả một khoản tiền phạt.
firearm	súng cầm tay	Viên cảnh sát đã thu hồi được một khẩu súng bị đánh cắp.
fit	sự vừa vặn	Đôi giày mới rất vừa vặn.
fixture	vật cố định	Chiếc đèn là một vật cố định.
flaw	thiếu sót	Thiết kế này có một thiếu sót nghiêm trọng.
flawed	có thiếu sót	Nghiên cứu có thiếu sót đã đưa ra kết quả sai.
flee	chạy trốn	Các gia đình đã phải chạy trốn khỏi cuộc giao tranh.
fleet	đội máy bay	Hãng hàng không đã đổi mới đội máy bay của mình.
flesh	da thịt	Cái gai đâm xuyên qua da thịt anh ấy.
flexibility	sự linh hoạt	Công việc từ xa mang lại nhiều sự linh hoạt hơn.
flourish	phát triển mạnh	Các doanh nghiệp nhỏ có thể phát triển mạnh ở đây.
fluid	chất lỏng	Hãy uống nhiều chất lỏng sau khi tập thể dục.
footage	cảnh quay	Cảnh quay đã cho thấy vụ va chạm.
foreigner	người nước ngoài	Mẫu đơn hỏi liệu bạn có phải là người nước ngoài không.
forge	thiết lập	Họ đã cố gắng thiết lập một liên minh mới.
formula	công thức	Công thức đã giải quyết được vấn đề.
formulate	xây dựng	Các nhà khoa học xây dựng một lý thuyết mới.
forth	về phía trước	Dòng sông cuốn chiếc thuyền về phía trước.
forthcoming	sắp tới	Báo cáo sắp tới sẽ giải thích mọi thứ.
foster	bồi dưỡng	Chương trình này giúp bồi dưỡng sự tự lập.
fragile	dễ vỡ	Chiếc bình dễ vỡ cần được xử lý cẩn thận.
franchise	nhượng quyền thương mại	Nhà hàng này đã trở thành một tổ chức nhượng quyền toàn cầu.
frankly	thẳng thắn mà nói	Thẳng thắn mà nói, chúng tôi cần thêm thời gian.
frustrated	nản lòng	Các công nhân cảm thấy nản lòng vì sự chậm trễ.
frustrating	gây nản lòng	Kết nối chậm gây nản lòng.
frustration	sự nản lòng	Sự nản lòng đã tăng lên trong suốt cuộc họp.
functional	vẫn hoạt động	Căn bếp cũ vẫn hoạt động được.
fundraising	việc gây quỹ	Việc gây quỹ sẽ bắt đầu vào tuần tới.
funeral	đám tang	Đám tang đã diễn ra vào thứ Sáu.
gallon	gallon	Bình chứa được một gallon.
gambling	cờ bạc	Cờ bạc bị hạn chế bởi pháp luật.
gathering	cuộc tụ tập	Cuộc tụ tập đã kết thúc một cách hòa bình.
gaze	ánh nhìn	Cô ấy đã giữ ánh nhìn của anh ấy trong chốc lát.
gear	thiết bị	Hãy đóng gói thiết bị an toàn trước khi leo núi.
generic	thông thường	Phiên bản thông thường có giá rẻ hơn.
genocide	nạn diệt chủng	Nạn diệt chủng đã để lại tổn thương quốc gia sâu sắc.
glance	cái liếc nhìn	Anh ấy đã liếc nhanh một cái.
glimpse	cái nhìn thoáng qua	Tôi đã nhìn thoáng qua biển.
glorious	vẻ vang	Đội bóng đã tận hưởng một chiến thắng vẻ vang.
glory	vinh quang	Cô ấy đã mơ về vinh quang Olympic.
governance	sự quản trị	Sự quản trị tốt đòi hỏi tính minh bạch.
grace	phong thái	Cô ấy đã chấp nhận thất bại với phong thái duyên dáng.
grasp	nắm bắt	Anh ấy đã không nắm bắt được khái niệm này.
grave (for dead person)	ngôi mộ	Ngôi mộ được phủ đầy hoa.
grave (serious)	nghiêm trọng	Tình hình vẫn còn nghiêm trọng.
gravity	trọng lực	Trọng lực kéo các vật thể về phía Trái đất.
grid	hệ thống lưới	Bản đồ sử dụng một hệ thống lưới đơn giản.
grief	nỗi đau buồn	Nỗi đau buồn đã làm thay đổi cả gia đình anh ấy.
grin	nụ cười tươi	Cậu bé đã nở một nụ cười thật tươi.
grind	xay	Các công nhân xay hạt đậu vào mỗi buổi sáng.
grip	cầm chặt	Hãy nắm thật chặt sợi dây.
gross	tổng	Tổng thu nhập đã tăng mạnh.
guerrilla	quân du kích	Các chiến binh du kích đã trốn trên những ngọn đồi.
guidance	sự hướng dẫn	Người hướng dẫn cung cấp sự hướng dẫn thiết thực.
guilt	cảm giác tội lỗi	Cô ấy đã cảm thấy tội lỗi sau khi nói dối.
gut	linh cảm	Hãy tin vào linh cảm của bạn trong những lựa chọn khó khăn.
hail	ca ngợi	Dân làng đã ca ngợi vị bác sĩ như một người anh hùng.
halfway	nửa chừng	Chúng tôi đã dừng lại ở lưng chừng đồi.
halt	sự dừng lại	Chuyến tàu đã dừng lại đột ngột.
handful	một số ít	Một số ít tình nguyện viên đã ở lại muộn.
handling	việc xử lý	Việc xử lý đúng cách sẽ ngăn ngừa hư hỏng.
handy	tiện dụng	Công cụ này rất tiện dụng cho việc sửa chữa.
harassment	sự quấy rối	Công ty đã điều tra các khiếu nại về quấy rối.
hardware	phần cứng	Cửa hàng này bán phần cứng máy tính.
harmony	sự hài hòa	Dàn đồng ca đã hát trong sự hài hòa hoàn hảo.
harsh	khắc nghiệt	Thẩm phán đã đưa ra một bản án khắc nghiệt.
harvest	vụ thu hoạch	Vụ thu hoạch bắt đầu vào tháng Chín.
haunt	ám ảnh	Ký ức vẫn tiếp tục ám ảnh anh ấy.
hazard	mối nguy hiểm	Băng là một mối nguy hiểm nghiêm trọng trên đường.
heighten	làm tăng thêm	Bài phát biểu có thể làm tăng thêm căng thẳng.
heritage	di sản	Lâu đài là một phần của di sản địa phương.
hierarchy	hệ thống cấp bậc	Hệ thống cấp bậc trong văn phòng được xác định rõ ràng.
high-profile	thu hút sự chú ý	Phiên tòa thu hút nhiều sự chú ý đã thu hút các phóng viên.
hint	gợi ý	Cô ấy đã cho tôi một gợi ý hữu ích.
homeland	quê hương	Anh ấy đã trở về quê hương của mình.
hopeful	đầy hy vọng	Các bác sĩ đang rất hy vọng về sự phục hồi.
horizon	đường chân trời	Mặt trời đã biến mất dưới đường chân trời.
horn	còi	Tiếng còi xe đã đánh thức mọi người.
hostage	con tin	Con tin đã được trở về nhà.
hostile	thù địch	Đám đông đã trở nên thù địch.
hostility	sự thù địch	Sự thù địch công khai đã kết thúc các cuộc đàm phán.
humanitarian	nhân đạo	Sứ mệnh nhân đạo đã giao thực phẩm.
humanity	nhân loại	Nhân loại đang phải đối mặt với những thách thức chung.
humble	khiêm tốn	Cô ấy vẫn khiêm tốn sau khi thành công.
hydrogen	hydro	Hydro cháy rất dễ dàng.
identification	giấy tờ tùy thân	Cần có giấy tờ tùy thân tại lối vào.
ideological	thuộc về hệ tư tưởng	Cuộc tranh chấp này có nguồn gốc về hệ tư tưởng.
ideology	hệ tư tưởng	Hệ tư tưởng của ông ấy đã định hình mọi bài phát biểu.
idiot	đồ ngốc	Đừng gọi bất cứ ai là đồ ngốc.
ignorance	sự thiếu hiểu biết	Sự thiếu hiểu biết có thể lan truyền nỗi sợ hãi.
imagery	hình ảnh	Bài thơ này sử dụng hình ảnh sống động.
immense	to lớn	Dự án đã đòi hỏi một nỗ lực to lớn.
imminent	sắp xảy ra	Một cơn bão có vẻ như sắp xảy ra.
implementation	việc thi hành	Việc thi hành luật diễn ra rất chậm.
imprison	bỏ tù	Chế độ này đã cố gắng bỏ tù những người chỉ trích.
imprisonment	sự giam cầm	Sự giam cầm của anh ấy kéo dài trong năm năm.
inability	sự không thể	Sự không thể tập trung của cô ấy đã khiến các giáo viên lo lắng.
inadequate	không đủ	Nơi trú ẩn này đã không có đủ hệ thống sưởi.
inappropriate	không phù hợp	Trò đùa của anh ấy thật không phù hợp.
incidence	tỷ lệ mắc bệnh	Tỷ lệ mắc bệnh cúm đã tăng lên.
inclined	có khuynh hướng	Cô ấy có khuynh hướng đồng ý.
inclusion	sự bao gồm	Trường học này thúc đẩy sự bao gồm.
