simplified	HR	example_HR
地理	geografija	Jako me zanima kineska geografija.
地区	regija	U ovoj regiji zimi je vrlo hladno.
地毯	tepih	U dnevnoj sobi položen je tepih.
地位	položaj	Obrazovanje ima važan položaj u društvu.
地震	potres	Sinoć se ovdje dogodio potres.
递	predati; proslijediti	Molim te, predaj ovo pismo učitelju.
点心	zalogaj; slastica	Popodne smo pojeli nešto za užinu.
电池	baterija	Ovoj igrački trebaju dvije baterije.
电台	radijska postaja	On vodi emisiju na radijskoj postaji.
钓	pecati	Djed voli ići pecati kraj rijeke.
顶	brojač za šešire; vrh	On nosi crni šešir.
冻	smrznuti se	Vani je toliko hladno da se voda smrznula.
动画片	crtani film	Djeca gledaju crtane filmove.
洞	rupa	Na zidu je mala rupa.
豆腐	tofu	Ovo jelo od tofua je ukusno.
逗	zadirkivati; nasmijati	Njegove riječi nasmijale su sve.
独立	neovisan	Ona želi živjeti neovisno.
独特	jedinstven	Ovaj grad ima jedinstvenu kulturu.
度过	provesti	Proveli smo odmor uz more.
断	puknuti	Ovo uže je puklo.
堆	gomila; nagomilati	Na stolu je nagomilano mnogo dokumenata.
兑换	razmijeniti	Želio bih razmijeniti nešto renminbija.
对比	usporediti; kontrast	Molim vas, usporedite ova dva plana.
对待	postupati prema	Trebamo se prema svima odnositi pravedno.
对方	druga strana	Molim te, prvo poslušaj mišljenje druge strane.
对手	protivnik	Njegov protivnik je vrlo jak.
对象	predmet; cilj	Ispitanici istraživanja su studenti.
吨	tona	Ovaj kamion može prevesti tri tone robe.
蹲	čučati	On čuči na zemlji i traži ključeve.
顿	obrok; kratka pauza	Zajedno smo pojeli večeru.
多亏	zahvaljujući	Zahvaljujući tvojoj pomoći, dovršio sam zadatak.
多余	suvišan	Ova rečenica je suvišna.
朵	brojač za cvjetove	Na stolu stoji jedan cvijet.
躲藏	skrivati se	Mačić se skriva ispod kreveta.
恶劣	loš; težak	Vrijeme je danas vrlo loše.
耳环	naušnica	Ona nosi par naušnica.
发表	objaviti; iznijeti	Na sastanku je iznio svoje mišljenje.
发愁	brinuti se	Nemoj se brinuti zbog te sitnice.
发达	razvijen	Prijevoz u ovom gradu vrlo je razvijen.
发抖	drhtati	Drhti od hladnoće.
发挥	iskoristiti; pokazati	Molim vas, upotrijebite svoju maštu.
发明	izum	Električna žarulja važan je izum.
发票	račun	Molim vas, izdajte mi račun.
发言	govoriti; izlagati	Govorio je na sastanku.
罚款	novčana kazna	Za nepropisno parkiranje plaća se kazna.
法院	sud	Ovaj slučaj predan je sudu na rješavanje.
翻	okrenuti	Molim vas, okrenite knjigu na desetu stranicu.
繁荣	procvjetati; prosperitetan	Gospodarstvo postupno postaje prosperitetno.
反而	naprotiv; umjesto toga	Nije se naljutio, nego se nasmijao.
反复	ponavljano	Ovu rečenicu treba ponavljano vježbati.
反应	reakcija	Njegova reakcija je brza.
反映	odražavati	Ovo izvješće odražava stvarno stanje.
反正	u svakom slučaju	U svakom slučaju, sutra imam vremena.
范围	opseg	Molim vas, nemojte prelaziti ovaj opseg.
方	kvadrat; četvrtast	Molim te, nacrtaj kvadrat na papiru.
方案	plan; prijedlog	Ovaj plan je prilično razuman.
方式	način	Ovaj način učenja vrlo je učinkovit.
妨碍	ometati	Molim vas, nemojte ometati druge u radu.
仿佛	kao da	Čini se kao da sve zna.
非	mora; ne-	Ovo se ne može napraviti bez tebe.
肥皂	sapun	Pri pranju ruku treba koristiti sapun.
废话	gluposti; prazne riječi	Manje gluposti, brzo počnimo.
分别	rastati se	Rastali su se na kolodvoru.
分布	rasprostraniti se	Te trgovine raspoređene su po cijelom gradu.
分配	dodijeliti; raspodijeliti	Učitelj je dodijelio novi zadatak.
分手	prekinuti vezu	Prekinuli su prošle godine.
分析	analizirati	Moramo analizirati razloge.
纷纷	jedan za drugim	Svi su jedan za drugim izrazili slaganje.
奋斗	boriti se; truditi se	Mladi se trebaju boriti za svoje snove.
疯狂	lud; mahnit	Navijači su mahnito navijali.
风格	stil	Stil ovog restorana vrlo je poseban.
风景	krajolik	Krajolik na planini je lijep.
风俗	običaj	Svako mjesto ima svoje običaje.
风险	rizik	Ulaganje nosi određeni rizik.
讽刺	satirizirati	Ovaj članak satirizira društvene probleme.
否定	negirati	On je negirao tu tvrdnju.
否认	poricati	Porekao je da je pogriješio.
幅	brojač za slike	Na zidu visi slika.
扶	pridržati; pomoći	Molim vas, pomozite starijoj osobi prijeći cestu.
服装	odjeća	Ova trgovina prodaje dječju odjeću.
辅导	podučavati; davati instrukcije	Učitelj nakon nastave podučava učenike.
复制	kopirati	Molim vas, kopirajte ovaj dokument.
妇女	žena	Ova bolnica pruža usluge ženama.
改革	reforma; reformirati	Škola provodi reformu nastave.
改进	poboljšati	Moramo poboljšati kvalitetu usluge.
改善	poboljšati	Vježbanje može poboljšati san.
改正	ispraviti	Molim vas, pravodobno ispravite pogreške.
概括	sažeti	Molim te, sažmi sadržaj članka.
概念	pojam	Taj pojam nije lako razumjeti.
盖	poklopiti; pokriti	Molim te, dobro poklopi šalicu.
干脆	jednostavno; otvoreno	Jednostavno nemoj ići danas.
干燥	suh	Zime na sjeveru vrlo su suhe.
感激	biti zahvalan	Jako sam zahvalan na tvojoj pomoći.
感受	osjećaj	Mogu razumjeti tvoje osjećaje.
感想	dojam; razmišljanje	Molim te, reci svoje dojmove.
赶紧	požuriti	Već je kasno, požurimo i krenimo.
赶快	brzo; odmah	Brzo zatvori vrata.
干活儿	raditi	On radi u dvorištu.
钢铁	čelik	Ovaj most je napravljen od čelika.
高档	visoke klase	Ovo je hotel visoke klase.
高级	napredan; visoke razine	Ona je pohađala napredni tečaj kineskog.
搞	organizirati; raditi	Kakvu aktivnost organiziraš?
告别	oprostiti se	Na aerodromu smo se oprostili od prijatelja.
格外	osobito	Nebo je danas osobito plavo.
隔壁	susjedni; pokraj	U susjedstvu živi jedan učitelj.
个别	pojedini	Nekoliko pojedinih učenika još nije predalo zadaću.
个人	osoban	Ovo je moje osobno mišljenje.
个性	osobnost	Ona ima izraženu osobnost.
各自	svatko za sebe	Svatko neka dovrši svoj zadatak.
根	korijen; brojač za tanke predmete	Ispod stola je jedna žica.
根本	uopće; temeljno	Ovaj problem uopće nije težak.
公布	objaviti	Škola je objavila rezultate ispita.
公开	javan	Ovaj sastanak je javan.
公平	pravedan	Natjecanje treba biti pravedno.
公寓	stan	Ona je unajmila mali stan.
公元	nove ere	Ovo je dvije tisuće dvadeset šesta godina nove ere.
公主	princeza	Djevojčica voli priče o princezama.
功能	funkcija	Ovaj softver ima mnogo funkcija.
工厂	tvornica	Ova tvornica proizvodi automobile.
工程师	inženjer	Moj stariji brat je inženjer.
工具	alat	Za popravak bicikla potreban je alat.
工人	radnik	Radnici popravljaju cestu.
工业	industrija	Ovaj grad se uglavnom temelji na industriji.
恭喜	čestitam	Čestitam ti na položenom ispitu.
贡献	doprinos; pridonijeti	On je dao doprinos tvrtki.
沟通	komunikacija	Dobra komunikacija vrlo je važna.
构成	činiti; tvoriti	Ti dijelovi čine cjelinu.
姑姑	teta s očeve strane	Za vikend idem posjetiti tetu.
姑娘	djevojka	Ta djevojka je vrlo susretljiva.
古代	stara vremena	U stara vremena nije bilo mobitela.
古典	klasičan	Volim klasičnu glazbu.
股票	dionica	Kupio je nekoliko dionica.
骨头	kost	Ova kost je vrlo tvrda.
鼓舞	ohrabriti	Ova vijest je vrlo ohrabrujuća.
鼓掌	pljeskati	Publika je pljeskala glumcima.
固定	fiksan	Imam fiksno radno vrijeme.
挂号	registrirati se kod liječnika	Prije pregleda treba se registrirati.
乖	dobar; poslušan	Ovo dijete je vrlo poslušno.
拐弯	skrenuti	Na raskrižju ispred skreni desno.
怪不得	nije ni čudo	Nije ni čudo što si tako umoran.
关闭	zatvoriti	Molim te, isključi računalo prije odlaska.
官	dužnosnik	On je mladi dužnosnik.
观察	promatrati	Liječnik promatra stanje pacijenta.
观点	gledište	Slažem se s tvojim gledištem.
观念	ideja; shvaćanje	Shvaćanja mladih ljudi se mijenjaju.
管子	cijev	Ova cijev propušta vodu.
冠军	prvak	Ona je osvojila prvenstvo na natjecanju.
光滑	gladak	Površina ovog stola vrlo je glatka.
光临	posjetiti; dobro došli	Dobro došli i sljedeći put.
光明	svijetao; svjetlost	Budućnost je svijetla.
光盘	disk	Molim vas, spremite materijale na disk.
广场	trg	Na trgu ima mnogo ljudi.
广大	širok; mnogobrojan	Ova vijest dobro je primljena među mnogim studentima.
广泛	širok; opsežan	Ova knjiga ima širok utjecaj.
归纳	sažeti; zaključiti	Učitelj nam je pomogao sažeti ključne točke.
规矩	pravilo; red	Djeca trebaju razumjeti pravila.
规律	pravilnost; ritam	Život treba imati redovit ritam.
规模	razmjer	Ova tvrtka je velikih razmjera.
规则	pravilo	Pravila natjecanja vrlo su jasna.
柜台	šalter; pult	Molim vas, platite na šalteru.
滚	kipjeti; kotrljati se	Voda već kipi.
锅	lonac; tava	U loncu je vruća juha.
国庆节	Nacionalni dan	Na Nacionalni dan imamo slobodan dan.
国王	kralj	Kralj živi u palači.
果然	kao što se očekivalo	Stigao je na vrijeme, kao što se očekivalo.
果实	plod; rezultat	Stablo je puno plodova.
过分	pretjeran	Njegov zahtjev je malo pretjeran.
过敏	alergičan; alergija	Alergičan sam na pelud.
过期	istekao	Ova boca mlijeka već je istekla.
哈	ha	Ha, napokon sam shvatio.
海关	carina	Stajali smo u redu za pregled na carini.
海鲜	plodovi mora	Plodovi mora u ovom restoranu vrlo su svježi.
喊	vikati	Nemoj glasno vikati u učionici.
行业	industrija; djelatnost	Turistička se djelatnost brzo razvija.
豪华	luksuzan	Odsjeli su u luksuznom hotelu.
好客	gostoljubiv	Lokalni ljudi vrlo su gostoljubivi.
好奇	znatiželjan	Djeca su vrlo znatiželjna prema svijetu.
何必	čemu; zašto bi	Čemu se ljutiti zbog sitnice?
何况	a kamoli; osim toga	Danas je hladno, a osim toga pada kiša.
合法	zakonit	Ovaj ugovor je zakonit.
合理	razuman; pravedan	Ova cijena je razumna.
合同	ugovor	Potpisali su ugovor.
合影	zajednička fotografija	Na diplomiranju smo snimili zajedničku fotografiju.
合作	suradnja; surađivati	Projekt smo dovršili suradnjom.
和平	mir	Svatko se nada miru.
核心	srž; jezgra	Povjerenje je srž suradnje.
恨	mrziti; žaliti	On žali što se nije ranije više trudio.
猴子	majmun	U zoološkom vrtu ima nekoliko majmuna.
后背	leđa	Leđa ga malo bole.
后果	posljedica	Trebaš razmotriti posljedice.
呼吸	disati	Molim vas, duboko udahnite.
忽然	iznenada	Nebo je iznenada potamnilo.
忽视	zanemariti	Nemoj zanemariti ovaj problem.
壶	vrč; čajnik	Na stolu je čajnik s čajem.
糊涂	zbunjen	Danas sam malo zbunjen.
胡说	govoriti gluposti	Nemoj govoriti gluposti, to nije istina.
胡同	uličica	U Pekingu ima mnogo starih uličica.
蝴蝶	leptir	U vrtu je jedan leptir.
花生	kikiriki	On voli jesti kikiriki.
华裔	osoba kineskog podrijetla	Ona je spisateljica kineskog podrijetla.
滑	sklizak; kliziti	Pod je sklizak, budi oprezan.
划	veslati; isplativ	Kad se voze čamcem, on je zadužen za veslanje.
化学	kemija	Na sveučilištu je studirala kemiju.
话题	tema	Ova tema je vrlo zanimljiva.
怀念	nedostajati; sjećati se s nostalgijom	Jako mi nedostaje studentski život.
怀孕	biti trudna	Ona je u trećem mjesecu trudnoće.
缓解	ublažiti	Odmor može ublažiti stres.
幻想	maštarija; maštati	Često mašta o putovanju u svemir.
慌张	uspaničen	Nemoj paničariti kad naiđeš na problem.
黄金	zlato	Cijena zlata opet je porasla.
恢复	oporaviti se; obnoviti	Njegovo tijelo se oporavlja.
挥	mahati	Mahnula je rukom.
灰	siv; pepeo	Nebo je sivo.
灰尘	prašina	Na stolu ima mnogo prašine.
灰心	obeshrabriti se	Nemoj se obeshrabriti čak ni ako ne uspiješ.
汇率	tečaj	Koji je današnji tečaj?
婚礼	vjenčanje	Njihovo vjenčanje bilo je vrlo jednostavno.
婚姻	brak	Brak zahtijeva međusobno razumijevanje.
活跃	aktivan	On je vrlo aktivan na satu.
伙伴	partner; drug	On je moj najbolji drug.
火柴	šibica	U kutiji je ostala samo jedna šibica.
或许	možda	Možda će sutra padati kiša.
基本	osnovan	To su osnovni zahtjevi.
机器	stroj	Ovaj stroj je pokvaren.
激烈	žestok; intenzivan	Natjecanje je bilo vrlo žestoko.
肌肉	mišić	Nakon vježbanja mišići me malo bole.
及格	položiti ispit	Položio je ovaj ispit.
急忙	žurno	Žurno je istrčao iz učionice.
急诊	hitni prijem	Pacijent je poslan na hitni prijem.
极其	izuzetno	Ovo pitanje je izuzetno važno.
集合	okupiti se	Molim vas, okupite se na ulazu u osam sati.
集体	kolektiv; skupina	Ovo je skupna aktivnost.
集中	usredotočiti se	Na satu se treba usredotočiti.
寂寞	usamljen	Živjeti sam ponekad može biti usamljeno.
系领带	vezati kravatu	On svaki dan prije posla veže kravatu.
纪录	rekord	Oborio je školski rekord.
纪律	disciplina	Disciplina u učionici vrlo je važna.
纪念	obilježiti; spomen	Snimili smo fotografije kako bismo obilježili ovaj dan.
计算	izračunati	Molim vas, izračunajte ukupne troškove.
记录	zapisati; zapis	Molim vas, zapišite sadržaj sastanka.
记忆	sjećanje	Ovo sjećanje je vrlo dragocjeno.
嘉宾	počasni gost	Današnji gost je pisac.
夹子	kopča; štipaljka	Molim te, pričvrsti dokumente kopčom.
家庭	obitelj	Obitelj je vrlo važna za djecu.
家务	kućanski poslovi	Za vikend moram raditi kućanske poslove.
家乡	rodni kraj	Jako mi nedostaje rodni kraj.
假如	ako	Ako sutra bude kiše, nećemo ići.
假设	pretpostavka; pretpostaviti	Pretpostavimo da si ti učitelj. Što bi učinio?
假装	pretvarati se	Pretvarao se da nije čuo.
甲	prva strana; prvi	Prva strana mora platiti na vrijeme.
价值	vrijednost	Ova knjiga je vrlo vrijedna.
嫁	udati se	Ona će se sljedeće godine udati za svog dečka.
驾驶	voziti	Vozi oprezno kad voziš auto.
兼职	honorarni posao	On navečer radi honorarno.
坚决	odlučan	Odlučno se ne slaže s tom odlukom.
坚强	snažan; otporan	Ona je snažna osoba.
肩膀	rame	Rame mu je ozlijeđeno.
艰巨	težak; zahtjevan	To je težak zadatak.
艰苦	težak; naporan	Prošli su kroz težak život.
剪刀	škare	Molim te, dodaj mi škare.
捡	podignuti; pokupiti	Podigao je novčanik sa zemlje.
简历	životopis	Prije prijave za posao treba pripremiti životopis.
简直	jednostavno; naprosto	Ova vijest je naprosto šokantna.
健身	vježbati; održavati formu	On ide vježbati tri puta tjedno.
建立	uspostaviti; osnovati	Uspostavili smo novi odnos.
建设	izgradnja	Izgradnja grada brzo se razvija.
建筑	zgrada; građevina	Ova zgrada ima prepoznatljiva obilježja.
键盘	tipkovnica	Moju tipkovnicu treba očistiti.
讲究	pridavati veliku pažnju; biti profinjen	Kinezi pridaju veliku pažnju jelu.
讲座	predavanje	Večeras je predavanje iz kineskog.
酱油	sojin umak	Dodaj malo sojina umaka u jelo.
交换	razmijeniti; zamijeniti	Razmijenili smo telefonske brojeve.
交际	druženje; komunikacija	Kad se uči jezik, treba vježbati i komunikaciju.
交往	biti u vezi; družiti se	U vezi su dvije godine.
浇	zaliti; polijevati	Molim te, zalijevaj cvijeće svaki dan.
胶水	ljepilo	Ljepilom sam zalijepio fotografiju.
狡猾	lukav	Ta je lisica vrlo lukava.
角度	kut; gledište	Pogledajmo problem iz drugog kuta.
教材	udžbenik; nastavni materijal	Ovaj je udžbenik vrlo praktičan.
教练	trener; instruktor	Trener traži da stignemo na vrijeme.
教训	pouka; lekcija	Ovaj je neuspjeh pouka.
接触	dodir; kontakt; doći u dodir	Prvi put dolazim u dodir s kineskom kulturom.
接待	primiti; dočekati	Poduzeće je odredilo posebnu osobu za doček gostiju.
接近	približavati se; blizu	Proljetni festival sve je bliže.
结实	čvrst; izdržljiv	Ovaj je kovčeg vrlo čvrst.
阶段	faza; etapa	Učenje je podijeljeno u tri faze.
结构	struktura	Ovaj članak ima jasnu strukturu.
结合	spojiti; povezati	Učenje treba povezati s praksom.
结论	zaključak	Njegov je zaključak vrlo uvjerljiv.
结账	platiti račun	Nakon jela otišli smo platiti račun.
