source_headword	KA	example_KA
laptop	ლეპტოპი	ის ლეპტოპზე მუშაობს.
last1 (taking time)	გაგრძელება	შეხვედრა ორ საათს გაგრძელდა.
laughter	სიცილი	ოთახი სიცილით აივსო.
law	კანონი	ეს კანონი ყველას ეხება.
lawyer	ადვოკატი	ადვოკატმა სასამართლოში ისაუბრა.
lazy	ზარმაცი	ის დღეს ძალიან ზარმაცია.
lead1	ხელმძღვანელობა	მან გუნდს კარგად უხელმძღვანელა.
leader	ლიდერი	ლიდერმა გეგმა ახსნა.
learning	სწავლა	სწავლა ყოველდღე საჭიროა.
least	მინიმუმ	ეს მინიმუმ ფასია.
lecture	ლექცია	ლექცია დილით დაიწყო.
lemon	ლიმონი	მან წყალს ლიმონი დაუმატა.
lend	სესხება	გთხოვთ, კალამი მასესხეთ.
less	ნაკლები	დღეს ხალხი ნაკლებია.
level	დონე	მისი ინგლისურის დონე გაუმჯობესდა.
lifestyle	ცხოვრების წესი	ჯანსაღი ცხოვრების წესი მნიშვნელოვანია.
lift	ლიფტი	ლიფტი მესამე სართულზე გაჩერდა.
light	აანთება	მან სანთელი აანთო.
light (not heavy)	მსუბუქი	ეს ჩანთა მსუბუქია.
likely	სავარაუდო	დღეს წვიმა სავარაუდოა.
link	კავშირი	ამ ორ აზრს შორის კავშირია.
listener	მსმენელი	მსმენელმა ყურადღებით მოისმინა.
lock	დაკეტვა	გასვლისას კარი დაკეტეთ.
lorry	სატვირთო მანქანა	სატვირთო მანქანამ საქონელი მოიტანა.
lost	დაკარგული	დაკარგული ტელეფონი შემდეგ იპოვეს.
loud	ხმამაღალი	მუსიკა ძალიან ხმამაღალი იყო.
loudly	ხმამაღლა	მან ხმამაღლა ილაპარაკა.
lovely	მშვენიერი	ეს მშვენიერი დღეა.
low	დაბალი	დღეს ტემპერატურა დაბალია.
luck	იღბალი	მას კარგი იღბალი ჰქონდა.
lucky	იღბლიანი	ის ძალიან იღბლიანია.
mail	ფოსტა	დღეს ფოსტა გვიან მოვიდა.
major	მთავარი	ეს მთავარი პრობლემაა.
male	მამრი	მამრი ფრინველი ფერადია.
manage	მართვა	მან დრო კარგად მართა.
manager	მენეჯერი	მენეჯერმა შეხვედრა მოიწვია.
manner	მანერა	მისი საუბრის მანერა რბილია.
mark	ნიშანი	წიგნში წითელი ნიშანია.
marry	დაქორწინება	ისინი მომავალ თვეში დაქორწინდებიან.
material	მასალა	ეს მასალა რბილია.
mathematics	მათემატიკა	ის მათემატიკას სწავლობს.
maths	მათემატიკა	მას მათემატიკა უყვარს.
matter	საკითხი	ეს პატარა საკითხი არ არის.
may modal	შეიძლება	ის შეიძლება გვიან მოვიდეს.
media	მედია	მედიამ ახალი ამბავი გაავრცელა.
medical	სამედიცინო	მას სამედიცინო დახმარება სჭირდება.
medicine	წამალი	გთხოვთ, წამალი დროულად მიიღეთ.
memory	მოგონება	ეს დღე კარგი მოგონებაა.
mention	ხსენება	მან ჩემი სახელიც ახსენა.
metal	მეტალი	კარი მეტალისგან არის გაკეთებული.
method	მეთოდი	ეს მეთოდი მარტივია.
middle	შუა	მაგიდა ოთახის შუაშია.
might modal	შეიძლება	დღეს შეიძლება იწვიმოს.
mind	გონება	მის გონებაში კითხვა იყო.
mine (belongs to me)	ჩემი	ეს წიგნი ჩემია.
mirror	სარკე	სარკე კედელზე კიდია.
missing	დაკარგული	დაკარგული გასაღები იპოვეს.
mobile	მობილური ტელეფონი	მობილური ტელეფონი მაგიდაზე დევს.
monkey	მაიმუნი	მაიმუნი ხეზე ავიდა.
moon	მთვარე	ღამით მთვარე კაშკაშა იყო.
mostly	უმეტესად	ოთახი უმეტესად ცარიელი იყო.
motorcycle	მოტოციკლი	მოტოციკლი სწრაფად წავიდა.
movement	მოძრაობა	მისი ხელის მოძრაობა სწრაფი იყო.
musical	მუსიკალური	ეს მუსიკალური პროგრამაა.
musician	მუსიკოსი	მუსიკოსმა სცენაზე იმღერა.
myself	თვითონ	მე საჭმელი თვითონ მოვამზადე.
narrow	ვიწრო	გზა ძალიან ვიწროა.
national	ეროვნული	ეს ეროვნული დღესასწაულია.
nature	ბუნება	ბუნება მშვიდია.
nearly	თითქმის	ის თითქმის მზადაა.
necessary	საჭირო	ეს საჭირო დოკუმენტია.
neck	კისერი	მას კისერი სტკივა.
neither	არც ერთი	მათგან არც ერთს ეს ფერი არ მოეწონა.
nervous	ნერვიული	გამოცდის წინ ის ნერვიულობდა.
network	ქსელი	აქ ტელეფონის ქსელი სუსტია.
noise	ხმაური	გარეთ დიდი ხმაური ისმოდა.
noisy	ხმაურიანი	ქუჩა ძალიან ხმაურიანია.
none	არაფერი	ყუთში არაფერია.
normal	ნორმალური	ეს ნორმალური მდგომარეობაა.
normally	ჩვეულებრივ	ის ჩვეულებრივ ადრე მოდის.
notice	შენიშვნა	გთხოვთ, ცვლილებას ყურადღება მიაქციეთ.
novel	რომანი	ის ახალ რომანს კითხულობს.
nowhere	არსად	გასაღები არსად არის.
nut	თხილი	მან ერთი თხილი შეჭამა.
ocean	ოკეანე	ოკეანე ძალიან ფართოა.
offer	შეთავაზება	მათ დახმარების შეთავაზება გააკეთეს.
officer	მოხელე	მოხელემ დოკუმენტი შეამოწმა.
oil	ზეთი	მან ქვაბში ზეთი ჩაასხა.
onto	ზედ	კატა სკამზე ახტა.
opportunity	შესაძლებლობა	ეს კარგი შესაძლებლობაა.
option	არჩევანი	ჩვენ სხვა არჩევანი გვაქვს.
ordinary	ჩვეულებრივი	ეს ჩვეულებრივი დღეა.
organization	ორგანიზაცია	ორგანიზაცია ბავშვებს ეხმარება.
organize	ორგანიზება	მათ ღონისძიება მოაწყვეს.
original	ორიგინალური	ეს ორიგინალური სურათია.
ourselves	თვითონ	ჩვენ ოთახი თვითონ გავწმინდეთ.
oven	ღუმელი	პური ღუმელში ცხვება.
owner	მფლობელი	მაღაზიის მფლობელი იქ იყო.
pack	ჩალაგება	მან ჩანთა ჩაალაგა.
pain	ტკივილი	მას ფეხში ტკივილი აქვს.
painter	მხატვარი	მხატვარმა კედელი შეღება.
palace	სასახლე	ძველი სასახლე ღიაა.
pants	შარვალი	მან ახალი შარვალი იყიდა.
parking	პარკინგი	აქ პარკინგი უფასოა.
particular	განსაკუთრებული	მას განსაკუთრებული მიზეზი ჰქონდა.
pass	გავლა	მანქანა ხიდზე გადავიდა.
passenger	მგზავრი	მგზავრმა ბილეთი აჩვენა.
patient	მომთმენი	მასწავლებელი ძალიან მომთმენი იყო.
pattern	ნიმუში	ქსოვილზე ლამაზი ნიმუშია.
peace	მშვიდობა	ყველას მშვიდობა სურს.
penny	ხურდა	მან ხურდა აიღო.
per	თითო	თითო ადამიანს ერთი ბილეთი მისცეს.
per cent	პროცენტი	ფასი ხუთი პროცენტით დაეცა.
perform	შესრულება	ბავშვებმა სცენაზე ცეკვა შეასრულეს.
perhaps	ალბათ	ალბათ ის სახლშია.
permission	ნებართვა	მას წასვლის ნებართვა მისცეს.
personality	პიროვნება	მისი პიროვნება კეთილია.
pet	შინაური ცხოველი	მისი შინაური ცხოველი ძაღლია.
petrol	ბენზინი	მანქანაში ბენზინი ცოტაა.
physical	ფიზიკური	ფიზიკური ვარჯიში ჯანმრთელობისთვის კარგია.
physics	ფიზიკა	ის ფიზიკას სწავლობს.
pick	აღება	მან კალამი იატაკიდან აიღო.
pilot	პილოტი	პილოტმა მგზავრებს მიესალმა.
planet	პლანეტა	დედამიწა პლანეტაა.
plastic	პლასტმასი	ბოთლი პლასტმასისგან არის გაკეთებული.
plate	თეფში	თეფში მაგიდაზე დადეს.
platform	ბაქანი	მატარებელი მესამე ბაქანზე მოვიდა.
pleased	კმაყოფილი	ის შედეგით კმაყოფილია.
pocket	ჯიბე	მან გასაღები ჯიბეში ჩაიდო.
polite	თავაზიანი	ეს ბავშვი ძალიან თავაზიანია.
pollution	დაბინძურება	ქალაქში დაბინძურება იზრდება.
pop	პოპ მუსიკა	ის პოპ მუსიკას უსმენს.
population	მოსახლეობა	ქალაქის მოსახლეობა დიდია.
position	პოზიცია	მისი პოზიცია სიაში მაღლაა.
possession	საკუთრება	წიგნი ახლა მის საკუთრებაშია.
possibility	შესაძლებლობა	გამარჯვების შესაძლებლობა ჯერ კიდევ არის.
poster	პოსტერი	პოსტერი კედელზე მიაკრეს.
power	ძალა	მანქანას მეტი ძალა სჭირდება.
predict	წინასწარმეტყველება	მათ ხვალინდელი ამინდი იწინასწარმეტყველეს.
president	პრეზიდენტი	პრეზიდენტმა სიტყვა თქვა.
prevent	თავიდან აცილება	წვიმამ თამაშს ხელი შეუშალა.
print	დაბეჭდვა	გთხოვთ, ეს გვერდი დაბეჭდეთ.
printer	პრინტერი	პრინტერი დღეს არ მუშაობს.
prison	ციხე	ქურდი ციხეში მოხვდა.
prize	პრიზი	მან შეჯიბრში პრიზი მიიღო.
process	პროცესი	ეს პროცესი დროს იღებს.
produce	წარმოება	ქარხანა სათამაშოებს აწარმოებს.
professional	პროფესიონალი	ის პროფესიონალი მოთამაშეა.
professor	პროფესორი	პროფესორმა კითხვა ახსნა.
profile	პროფილი	მან პროფილი განაახლა.
program	პროგრამა	პროგრამა საღამოს იწყება.
progress	პროგრესი	მის სწავლაში პროგრესია.
promise	დაპირება	მან დროზე მოსვლა დაჰპირდა.
pronounce	წარმოთქმა	ეს სიტყვა მკაფიოდ წარმოთქვით.
protect	დაცვა	ხეები ბუნებას იცავს.
provide	უზრუნველყოფა	სკოლა უფასო საკვებს უზრუნველყოფს.
pub	პაბი	ისინი საღამოს პაბში შეხვდნენ.
public	საზოგადოებრივი	ეს საზოგადოებრივი ბაღია.
publish	გამოქვეყნება	ისინი წიგნს მომავალ წელს გამოაქვეყნებენ.
pull	გამოქაჩვა	კარის გასაღებად სახელური გამოქაჩეთ.
purpose	მიზანი	ამ შეხვედრის მიზანი ნათელია.
push	ბიძგება	კარის გასაღებად მიაწექით.
quality	ხარისხი	ამ პერანგის ხარისხი კარგია.
quantity	რაოდენობა	რაოდენობა ყურადღებით გაზომეთ.
queen	დედოფალი	დედოფალი სასახლეში ცხოვრობდა.
quietly	ჩუმად	ის ოთახში ჩუმად შევიდა.
race (competition)	რბოლა	რბოლა დილით დაიწყო.
railway	რკინიგზა	რკინიგზის სადგური ახლოსაა.
raise	აწევა	მან ხელი აწია.
rate	ფასი	ოთახის ფასი მაღალია.
rather	საკმაოდ	ეს საკმაოდ რთულია.
reach	მიღწევა	ჩვენ საღამოს სახლში მივედით.
react	რეაგირება	მან ამბავზე მშვიდად რეაგირება მოახდინა.
realize	გააზრება	მან თავისი შეცდომა გაიაზრა.
receive	მიღება	მან წერილი მიიღო.
recent	ბოლო	ბოლო ამბები მნიშვნელოვანია.
recently	ახლახან	ის ახლახან აქ მოვიდა.
reception	მიმღები მაგიდა	გასაღები მიმღებ მაგიდასთან იკითხეთ.
recipe	რეცეპტი	ეს რეცეპტი მარტივია.
recognize	ცნობა	მან ძველი მეგობარი იცნო.
recommend	რეკომენდაცია	მე ამ წიგნს გირჩევთ.
record	ჩაწერა	მან ინფორმაცია ჩაიწერა.
recording	ჩანაწერი	ჩანაწერი ახლა იწყება.
recycle	გადამუშავება	ჩვენ ქაღალდს ვამუშავებთ.
reduce	შემცირება	გთხოვთ, ხმა შეამცირეთ.
refer	მითითება	მასწავლებელმა ძველ გაკვეთილზე მიუთითა.
refuse1	უარის თქმა	მან დახმარებაზე უარი თქვა.
region	რეგიონი	ეს რეგიონი ძალიან თბილია.
regular	რეგულარული	ის რეგულარულად ვარჯიშობს.
relationship	ურთიერთობა	მათი ურთიერთობა ძლიერია.
remove	მოცილება	წიგნი მაგიდიდან აიღეთ.
repair	შეკეთება	მან ველოსიპედი შეაკეთა.
replace	შეცვლა	ძველი ნათურა შეცვალეთ.
reply	პასუხი	მისი პასუხი მოკლე იყო.
reporter	რეპორტიორი	რეპორტიორმა კითხვა დასვა.
request	თხოვნა	მან დახმარების თხოვნა გააკეთა.
research	კვლევა	მან ახალი კვლევა ჩაატარა.
researcher	მკვლევარი	მკვლევარმა შედეგები ახსნა.
respond	პასუხის გაცემა	მან კითხვას უპასუხა.
response	პასუხი	პასუხი ძალიან სწრაფი იყო.
rest (remaining part)	დარჩენილი ნაწილი	დარჩენილ ნაწილს ხვალ დავასრულებთ.
rest (sleep/relax)	დასვენება	მან ცოტა დაისვენა.
review	მიმოხილვა	მასწავლებელმა გაკვეთილის მიმოხილვა გააკეთა.
ring1	ბეჭედი	მას ვერცხლის ბეჭედი ეკეთა.
ring2	დარეკვა	ტელეფონმა უცებ დარეკა.
rise	ამოსვლა	დილით მზე ამოდის.
rock (stone)	ქვა	ბავშვმა პატარა ქვა აიღო.
