source_headword	UZ	example_UZ
overlook	e'tibordan chetda qoldirmoq	Kichik tafsilotlarni e'tibordan chetda qoldirmang.
overly	haddan tashqari	Ko'rsatmalar haddan tashqari murakkab edi.
oversee	nazorat qilmoq	U loyihani nazorat qiladi.
overturn	bekor qilmoq	Sud qarorni bekor qilishi mumkin.
overwhelm	gangitib qo'ymoq	Haddan tashqari ko'p ma'lumot o'rganuvchilarni gangitib qo'yishi mumkin.
overwhelming	juda katta	Dalillar juda katta edi.
pad	taglik	Tizzalarni himoya qilish uchun taglikdan foydalaning.
parameter	parametr	Bir vaqtning o'zida bitta parametrni sozlang.
parental	ota-onaga oid	Ota-onalar qo'llab-quvvatlashi davomatni yaxshiladi.
parish	cherkov jamoasi	Cherkov jamoasi xayriya kechki ovqatini tashkil qildi.
parliamentary	parlamentga oid	Parlament bahsi soatlab davom etdi.
partial	qisman	Hisobot qisman javob berdi.
partially	qisman	Deraza qisman ochiq edi.
passing	vafot etish	Uning vafoti to'satdan yuz berdi.
passive	passiv	Passiv investorlar barqaror daromadni qabul qilishdi.
pastor	ruhoniy	Ruhoniy oilaga tashrif buyurdi.
patch	yamoq	Kurtkaga kichik yamoq kerak.
patent	patent	Kompaniya patent topshirdi.
pathway	yo'l	Bu yo'l sertifikatlashga olib boradi.
patrol	patrul	Politsiya tunda hududni patrul qiladi.
patron	homiy	Muzey o'z homiysiga minnatdorchilik bildirdi.
peak	eng yuqori nuqta	Talab qishki eng yuqori nuqtaga yetdi.
peasant	dehqon	Dehqonning yerlari oz edi.
peculiar	g'alati	Xonada g'alati hid bor edi.
persist	davom etmoq	Alomatlar bir necha kun davom etishi mumkin.
persistent	doimiy	Doimiy yo'tal e'tiborni talab qiladi.
personnel	xodimlar	Xodimlar yozuvlari maxfiydir.
petition	petitsiya	Petitsiya minglab imzolar to'pladi.
philosopher	faylasuf	Faylasuf umumiy tushunchalarni shubha ostiga oldi.
philosophical	falsafiy	Bahs falsafiy tus oldi.
physician	shifokor	Shifokor qon tahlillarini buyurdi.
pioneer	kashshof	U tibbiyotda kashshof bo'ldi.
pipeline	quvur	Quvur gazni yer ostidan tashiydi.
pirate	qaroqchi	Qirg'oqda qaroqchilar kemasi ko'rindi.
pit	chuqur	Ishchilar chuqur qazishdi.
plea	iltijo	Uning yordam so'rab qilgan iltijosi e'tiborsiz qoldi.
plead	aybini tan olmoq	Gumonlanuvchi o'z aybini tan oladi.
pledge	va'da bermoq	Ular islohotlarni qo'llab-quvvatlashga va'da berishdi.
plug	tiqmoq	Kabelni rozetkaga tiqing.
plunge	tushib ketmoq	Mojarodan keyin narxlar tushib ketishi mumkin.
pole	ustun	Bayroq ustunga osilgan edi.
poll	so'rovnoma	So'rovnoma o'zgarib borayotgan fikrlarni ko'rsatdi.
pond	hovuz	O'rdaklar muzlagan hovuzni kesib o'tishdi.
pop	yorilmoq	Sharlar o'tkir narsalar yonida yorilib ketadi.
portfolio	portfel	Uning portfelida bir nechta startaplar mavjud.
portray	tasvirlamoq	Film qishloq hayotini tasvirlaydi.
postpone	kechiktirmoq	Ular sud majlisini kechiktirishga qaror qilishdi.
post-war	urushdan keyingi	Urushdan keyingi uy-joylar zudlik bilan kerak edi.
practitioner	amaliyotchi	Amaliyotchi davolanishni tushuntirdi.
preach	va'z qilmoq	Ruhoniy yakshanba kuni va'z qiladi.
precedent	pretsedent	Qaror muhim pretsedent yaratdi.
precision	aniqlik	Mashina aniqlik bilan kesadi.
predator	yirtqich	Yirtqich daryo bo'yida kutib turardi.
predecessor	o'tmishdosh	Uning o'tmishdoshi batafsil yozuvlar qoldirgan.
predominantly	asosan	Hudud asosan turar-joylardan iborat.
pregnancy	homiladorlik	Homiladorlik muntazam tibbiy yordamni talab qiladi.
prejudice	noto'g'ri qarash	Kampaniya irqiy noto'g'ri qarashlarga qarshi chiqdi.
preliminary	dastlabki	Dastlabki natijalar umid baxsh etadi.
premier	bosh vazir	Bosh vazir bugun parlamentda nutq so'zladi.
premise	asos	Dalil noto'g'ri asosga tayanadi.
premium	ustama haq	Mijozlar tezlik uchun ustama haq to'lashdi.
prescribe	yozib bermoq	Shifokorlar antibiotiklarni ehtiyotkorlik bilan yozib berishadi.
prescription	retsept	Retseptning muddati kelasi oy tugaydi.
presently	hozirda	U hozirda band.
preservation	saqlash	Saqlash tarixiy binolarni himoya qiladi.
preside	raislik qilmoq	Sudya sud majlisida raislik qiladi.
presidency	prezidentlik	Uning prezidentlik davri sakkiz yil davom etdi.
presidential	prezidentlik	Prezidentlik saylovi e'tiborni tortdi.
prestigious	nufuzli	U nufuzli stipendiyani qo'lga kiritdi.
presumably	ehtimol	Ehtimol, bugun ofis yopiq.
presume	faraz qilmoq	Biz hujjatlarni haqiqiy deb faraz qilamiz.
prevail	ustun kelmoq	Sog'lom aql ustun kelishi kerak.
prevalence	tarqalish	Astma kasalligining tarqalishi oshdi.
prevention	oldini olish	Oldini olish ta'mirlashdan ko'ra arzonroqdir.
