source_headword	NL	example_NL
living	levend	Levende planten hebben licht nodig.
locate	vinden	Kun je het bestand vinden?
located	gevestigd	Het kantoor is in het centrum gevestigd.
location	de locatie	Dit is een goede locatie.
lonely	eenzaam	Hij voelde zich eenzaam na de verhuizing.
loss	het verlies	Het verlies was zwaar voor iedereen.
luxury	de luxe	Het hotel biedt echte luxe.
mad	boos	Zij was boos over de vertraging.
magic	de magie	De show zat vol magie.
mainly	vooral	De groep bestaat vooral uit studenten.
mall	het winkelcentrum	We ontmoetten elkaar in het winkelcentrum.
management	het management	Goed management bespaart tijd.
marketing	de marketing	Marketing helpt het product verkopen.
marriage	het huwelijk	Hun huwelijk duurde dertig jaar.
meanwhile	ondertussen	Ik kookte ondertussen het avondeten.
measure	meten	Meet de tafel zorgvuldig.
medium	middelgroot	Ik bestelde een middelgrote pizza.
mental	mentaal	Stress beïnvloedt de mentale gezondheid.
mess	de rommel	Ruim deze rommel op.
mild	mild	De soep heeft een milde smaak.
mine (hole in the ground)	de mijn	De mijn sloot vorig jaar.
mix	mengen	Meng de eieren met melk.
mixture	het mengsel	Het mengsel werd dik.
mood	de stemming	Muziek veranderde haar stemming.
mud	de modder	Zijn schoenen zaten onder de modder.
murder	de moord	De moord gebeurde 's nachts.
muscle	de spier	Beweging bouwt spieren op.
mystery	het mysterie	Het oude huis is een mysterie.
nail	de nagel	Ik brak een nagel.
narrative	het verhaal	De roman heeft een duidelijk verhaal.
nation	de natie	De hele natie vierde feest.
native	de moedertaal	Spaans is haar moedertaal.
naturally	natuurlijk	Kinderen leren natuurlijk door spel.
necessarily	per se	Duur eten is niet per se beter.
needle	de naald	De naald is erg scherp.
neighbourhood	de buurt	Zij wonen in een rustige buurt.
net	het net	De visser repareerde zijn net.
nor	noch	Hij glimlachte noch sprak.
northern	noordelijk	Zij bezochten de noordelijke kust.
nuclear	nucleair	Het debat ging over nucleaire energie.
obvious	duidelijk	Het antwoord was duidelijk.
obviously	duidelijk	Duidelijk, we hebben meer tijd nodig.
occasion	de gelegenheid	Dit is een bijzondere gelegenheid.
occur	gebeuren	Ongelukken kunnen overal gebeuren.
odd	vreemd	Dat was een vreemde vraag.
official	officieel	Het officiële resultaat kwam vandaag.
old-fashioned	ouderwets	Haar telefoon ziet er ouderwets uit.
operation	de operatie	De operatie duurde twee uur.
organized	georganiseerd	Haar bureau is erg georganiseerd.
organizer	de organisator	De organisator verwelkomde de gasten.
originally	oorspronkelijk	Zij kwam oorspronkelijk uit Canada.
ought modal	zou moeten	Je zou moeten rusten.
ours	van ons	Deze tafel is van ons.
outdoor	voor buiten	We kochten meubels voor buiten.
outdoors	buiten	Kinderen moeten buiten spelen.
package	het pakket	Het pakket kwam vanmorgen aan.
painful	pijnlijk	De snee was pijnlijk.
pale	bleek	Zijn gezicht zag bleek.
pan	de pan	Verhit eerst de pan.
participate	deelnemen	Iedereen kan deelnemen.
particularly	vooral	Ik vind dit lied vooral leuk.
passion	de passie	Muziek is haar passie.
path	het pad	Volg het pad door het park.
payment	de betaling	De betaling is morgen verschuldigd.
peaceful	vredig	De tuin is vredig.
percentage	het percentage	Een klein percentage stemde toe.
perfectly	perfect	Het plan werkte perfect.
performance	de prestatie	Haar prestatie was uitstekend.
personally	persoonlijk	Ik geef persoonlijk de voorkeur aan thee.
persuade	overtuigen	Kun je hem overtuigen om mee te doen?
photographer	de fotograaf	De fotograaf maakte veel foto's.
photography	de fotografie	Fotografie is zijn favoriete hobby.
pin	de speld	Zet een speld op de kaart.
pipe	de leiding	De leiding vervoert water.
planning	de planning	Planning kost tijd.
pleasant	prettig	We hadden een prettige avond.
pleasure	het genoegen	Het was een genoegen je te ontmoeten.
plenty	genoeg	We hebben genoeg tijd.
plot	de plot	De plot was makkelijk te volgen.
plus1	plus	Twee plus drie is vijf.
poem	het gedicht	Zij schreef een kort gedicht.
poet	de dichter	De dichter las hardop voor.
poetry	de poëzie	Hij geniet van moderne poëzie.
poison	het gif	Houd gif uit de buurt van kinderen.
poisonous	giftig	Sommige paddenstoelen zijn giftig.
policy	het beleid	Het bedrijf veranderde zijn beleid.
political	politiek	De toespraak was politiek.
politician	de politicus	De politicus beantwoordde vragen.
politics	de politiek	Politiek kan ingewikkeld zijn.
port	de haven	Het schip voer de haven binnen.
portrait	het portret	Het portret hangt in de hal.
possibly	misschien	Zij komt misschien laat aan.
pot	de pot	De plant heeft een grotere pot nodig.
pour	gieten	Giet de melk langzaam.
poverty	de armoede	Veel gezinnen leven in armoede.
powder	het poeder	Voeg het poeder toe aan water.
powerful	krachtig	De motor is krachtig.
practical	praktisch	Dit is een praktische oplossing.
pray	bidden	Zij bidden elke ochtend.
prayer	het gebed	Zij zei een stil gebed.
prediction	de voorspelling	Zijn voorspelling was juist.
prepared	voorbereid	Ik ben voorbereid op het examen.
presentation	de presentatie	Haar presentatie was duidelijk.
press	drukken	Druk een keer op de knop.
pressure	de druk	Druk kan je gezondheid beïnvloeden.
pretend	doen alsof	Doe niet alsof je slaapt.
previous	vorige	De vorige les was makkelijker.
previously	eerder	We woonden eerder in Rome.
priest	de priester	De priester sprak zacht.
primary	belangrijkste	Gezondheid is onze belangrijkste zorg.
prince	de prins	De prins bezocht de school.
princess	de prinses	De prinses droeg een blauwe jurk.
printing	het printen	Het printen van het rapport duurde minuten.
prisoner	de gevangene	De gevangene ontsnapte 's nachts.
private	privé	Dit is een privégesprek.
producer	de producent	De producent vond de film goed.
production	de productie	De productie begint volgende week.
profession	het beroep	Lesgeven is een gerespecteerd beroep.
profit	de winst	De winkel maakte winst.
promote	bevorderen	Zij bevorderen gezond eten.
proper	geschikt	Draag geschikte schoenen om te wandelen.
properly	goed	Doe de deur goed dicht.
property	het vastgoed	Zij kochten vastgoed bij de rivier.
protest	het protest	Het protest eindigde vreedzaam.
proud	trots	Zij was trots op haar zoon.
prove	bewijzen	Kun je je antwoord bewijzen?
punish	straffen	De leraar strafte hem niet.
punishment	de straf	De straf leek eerlijk.
qualification	de kwalificatie	Je hebt een kwalificatie nodig voor deze baan.
qualified	gekwalificeerd	Zij is een gekwalificeerde verpleegkundige.
qualify	zich kwalificeren	Ons team kan zich kwalificeren.
queue	de rij	We wachtten in een lange rij.
quit	stoppen	Hij besloot te stoppen met roken.
quotation	het citaat	Het essay begint met een citaat.
quote	citeren	Mag ik je woorden citeren?
race (people)	de etniciteit	Het formulier vraagt naar etniciteit.
racing	het paardenrennen	Paardenrennen is daar populair.
range	het assortiment	De winkel verkoopt een breed assortiment.
rare	zeldzaam	Deze vogel is zeldzaam.
rarely	zelden	We eten zelden buiten de deur.
reaction	de reactie	Haar reactie verraste mij.
reality	de werkelijkheid	De werkelijkheid was anders dan zijn droom.
receipt	het bonnetje	Bewaar het bonnetje.
recommendation	de aanbeveling	Bedankt voor de aanbeveling.
reference	de verwijzing	Voeg aan het einde een verwijzing toe.
reflect	weerspiegelen	De spiegel kan licht weerspiegelen.
regularly	regelmatig	Zij sport regelmatig.
reject	afwijzen	Zij kunnen het aanbod afwijzen.
relate	zich herkennen	Ik kan me in dat verhaal herkennen.
related	gerelateerd	De twee problemen zijn gerelateerd.
relation	de relatie	Er is een relatie tussen hen.
relative	relatief	Snelheid is relatief.
relaxed	ontspannen	Hij voelde zich ontspannen na het avondeten.
relaxing	ontspannend	De muziek was ontspannend.
release	uitbrengen	Zij zullen de film binnenkort uitbrengen.
reliable	betrouwbaar	Deze bus is meestal betrouwbaar.
religion	de religie	Religie is belangrijk voor haar.
religious	religieus	Zij bezochten een religieus gebouw.
remain	blijven	Blijf alsjeblieft rustig.
remind	herinneren	Herinner me morgen.
remote	afgelegen	Zij wonen in een afgelegen dorp.
rent	de huur	De huur moet vandaag worden betaald.
repeated	herhaald	Herhaalde fouten vertraagden het werk.
represent	staan voor	De ster staat voor hoop.
require	vereisen	Deze baan vereist training.
reservation	de reservering	Ik maakte een reservering.
resource	de hulpbron	De bibliotheek is een nuttige hulpbron.
respect	respecteren	Respecteer je klasgenoten.
responsibility	de verantwoordelijkheid	Kinderopvang is een grote verantwoordelijkheid.
responsible	verantwoordelijk	Zij is verantwoordelijk voor de tickets.
retire	met pensioen gaan	Mijn vader gaat binnenkort met pensioen.
retired	gepensioneerd	Hij is een gepensioneerde leraar.
revise	herzien	Herzie je essay vanavond.
risk	het risico	Er is risico op regen.
robot	de robot	De robot maakte de vloer schoon.
roll	rollen	Rol de bal naar mij.
romantic	romantisch	Zij hadden een romantisch diner.
rope	het touw	Bind het touw stevig vast.
rough	ruw	De weg was ruw.
row1	de rij	Ga op de voorste rij zitten.
royal	koninklijk	De koninklijke familie arriveerde.
rugby	rugby	We keken rugby op televisie.
safety	de veiligheid	Veiligheid is belangrijk op het werk.
sailor	de zeeman	De zeeman repareerde de boot.
sample	het monster	De verpleegkundige nam een bloedmonster.
sand	het zand	Het zand bedekte mijn schoenen.
scan	scannen	Scan eerst het document.
scientific	wetenschappelijk	Dit is een wetenschappelijke methode.
script	het script	De acteur las het script.
sculpture	het beeldhouwwerk	Het beeldhouwwerk staat buiten.
secondary	secundair	Dit is een secundair probleem.
security	de beveiliging	De beveiliging controleerde onze tassen.
seed	het zaad	Plant het zaad in de grond.
sensible	verstandig	Dat is een verstandig idee.
seriously	serieus	Neem dit probleem serieus.
servant	de bediende	De bediende opende de deur.
set (put)	neerzetten	Zet het glas op de tafel neer.
set (group)	de set	Deze set bevat zes kopjes.
setting	de setting	Het verhaal heeft een stedelijke setting.
sex	het geslacht	Het formulier vraagt om leeftijd en geslacht.
sexual	seksueel	De klas besprak seksuele gezondheid.
sharp	scherp	Dit mes is scherp.
shelf	de plank	Zet het boek op de plank.
shell	de schelp	De schelp was leeg.
shift	de dienst	Mijn dienst begint om acht uur.
shine	schijnen	De sterren schijnen 's nachts.
shiny	glanzend	Haar schoenen zijn glanzend.
shoot	fotograferen	De fotograaf zal de scene fotograferen.
shy	verlegen	Hij is verlegen bij vreemden.
sight	het uitzicht	De berg was een prachtig uitzicht.
signal	het signaal	Het signaal was zwak.
silent	stil	De kamer werd stil.
silly	dom	Dat was een domme fout.
similarity	de overeenkomst	Er is een duidelijke overeenkomst.
similarly	op dezelfde manier	Het tweede plan werkt op dezelfde manier.
simply	gewoon	Druk gewoon op deze knop.
sink	zinken	Zware stenen zinken snel.
slice	het plakje	Ik at een plakje cake.
slightly	iets	De kamer is iets warmer.
smart	netjes	Zij droeg een net jasje.
smooth	glad	De weg is glad.
software	de software	De software heeft een update nodig.
soil	de grond	De grond is droog.
solid	stevig	De muur is stevig.
southern	zuidelijk	Zij wonen aan de zuidelijke kust.
specifically	specifiek	Ik vroeg specifiek om thee.
spending	de uitgaven	De overheidsuitgaven stegen.
spicy	pittig	Deze curry is pittig.
spirit	de teamgeest	Het team toonde veel teamgeest.
spoken	gesproken	Gesproken Engels verbetert door oefening.
spot	de plek	Deze plek is perfect.
spread	smeren	Smeer boter op het brood.
stadium	het stadion	Het stadion was vol.
staff	het personeel	Het personeel was behulpzaam.
standard	de standaard	De standaard was hoog.
statistic	de statistiek	Deze statistiek is verrassend.
statue	het standbeeld	Het standbeeld staat op het plein.
stick (push into/attach)	plakken	Plak het etiket op de doos.
stick (piece of wood)	de stok	Hij pakte een stok op.
