source_headword	LV	example_LV
behalf	vārdā	Viņa runāja savas komandas vārdā.
beloved	iemīļots	Iemīļotais skolotājs šodien devās pensijā.
bench	sols	Viņi sēdēja uz koka sola.
benchmark	etalons	Tests kļuva par nozares etalonu.
beneath	zem	Dokumenti bija zem mapes.
beneficiary	labuma guvējs	Viņas dēls bija galvenais labuma guvējs.
betray	nodot	Nenodod sava drauga uzticību.
bind	saistīt	Vienošanās saistīs abas kompānijas.
biography	biogrāfija	Viņa biogrāfija tika pārdota daudzos eksemplāros.
bishop	bīskaps	Bīskaps apmeklēja ciemata baznīcu.
bizarre	dīvains	Filmai bija dīvainas beigas.
blade	asmens	Asmens pārgrieza virvi.
blast	sprādziens	Sprādziens izsita tuvumā esošos logus.
bleed	asiņot	Griezums sāka stipri asiņot.
blend	sajaukt	Sablendējiet mērci, līdz tā kļūst viendabīga.
bless	svētīt	Priesteris svētīs māju.
blessing	svētība	Atbalsta esamība bija svētība.
boast	lepoties	Viņam patīk lielīties ar naudu.
bonus	prēmija	Darbinieki saņēma svētku prēmiju.
boom	uzplaukums	Pilsēta piedzīvoja būvniecības uzplaukumu.
bounce	lēkāt	Bumba var atlēkt ļoti augstu.
boundary	robeža	Upe iezīmē robežu.
bow1	paklanīšanās	Aktieris dziļi paklanījās.
breach	pārkāpums	Pārkāpums atklāja privātos datus.
breakdown	sadalījums	Ziņojumā iekļauts izmaksu sadalījums.
breakthrough	izrāviens	Atklājums bija nozīmīgs izrāviens.
breed	vairoties	Šie putni vairojas pavasarī.
broadband	platjosla	Birojam nepieciešama ātrāka platjosla.
browser	pārlūkprogramma	Pirms pieteikšanās atjauniniet savu pārlūkprogrammu.
brutal	brutāls	Uzbrukums bija brutāls un pēkšņs.
buck	dolārs	Biļete maksā desmit dolārus.
buddy	draugs	Viņa draugs gaidīja ārā.
buffer	buferis	Koki veido trokšņa buferi.
bulk	vairumā	Viņi pirka rīsus vairumā.
burden	nasta	Parāds kļuva par smagu nastu.
bureaucracy	birokrātija	Birokrātija aizkavēja atļauju.
burial	apbedīšana	Apbedīšana notika rītausmā.
burst	plīst	Caurule var plīst zem spiediena.
cabinet	kabinets	Ministru kabinets apstiprināja plānu.
calculation	aprēķins	Aprēķins prasīja vairākas minūtes.
canvas	audekls	Mākslinieks gleznoja uz liela audekla.
capability	spēja	Ierīcei ir bezvadu spēja.
capitalism	kapitālisms	Kapitālisms veidoja moderno ekonomiku.
capitalist	kapitālistisks	Kapitālistiskā sistēma atalgo privātās investīcijas.
cargo	krava	Kuģis pārvadāja medicīnisko kravu.
carriage	vagons	Vilciena vagons bija gandrīz tukšs.
carve	grebt	Viņš uzmanīgi grebs koku.
casino	kazino	Kazino tika atvērts netālu no viesnīcas.
casualty	upuris	Avārija izraisīja vienu upuri.
catalogue	katalogs	Katalogs uzskaita katru produktu.
cater	apkalpot	Restorāns var apkalpot lielus pasākumus.
cattle	liellopi	Liellopi ganījās pie upes.
caution	piesardzība	Ievērojiet piesardzību uz apledojušiem ceļiem.
cautious	piesardzīgs	Investori šonedēļ paliek piesardzīgi.
cease	pārtraukt	Rūpnīca drīz pārtrauks ražošanu.
cemetery	kapsēta	Kapsēta skatās uz jūru.
chamber	zāle	Balsošanas laikā zālē valdīja klusums.
chaos	haoss	Kavēšanās izraisīja haosu lidostā.
characterize	raksturot	Eksperti plānu raksturo kā riskantu.
charm	šarms	Pilsētiņai ir vecās pasaules šarms.
charter	harta	Harta aizsargā pamattiesības.
chronic	hronisks	Viņš cieš no hroniskām muguras sāpēm.
chunk	gabals	Sagrieziet sieru gabalā.
circulate	izplatīt	Lūdzu, šodien izplatiet darba kārtību.
circulation	tirāža	Laikraksta tirāža strauji kritās.
citizenship	pilsonība	Viņa pieteicās Francijas pilsonībai.
civic	pilsonisks	Pilsoniskie līderi apmeklēja sanāksmi.
civilian	civiliedzīvotājs	Vairāki civiliedzīvotāju nami tika bojāti.
clarity	skaidrība	Diagramma pievienoja skaidrību ziņojumam.
clash	sadursme	Sadursme sākās pēc gājiena.
classification	klasifikācija	Klasifikācija ir atkarīga no lieluma.
cling	pieķerties	Slapjas drēbes līp pie ādas.
clinical	klīnisks	Klīniskais pētījums sākas nākamajā mēnesī.
closure	noslēgums	Ģimene vēlējās noslēgumu pēc šīs lietas.
cluster	kopa	Tuvumā atradās māju kopa.
coalition	koalīcija	Koalīcija zaudēja vairākumu.
coastal	piekrastes	Piekrastes ciemati gatavojās plūdiem.
cocktail	kokteilis	Viņa pasūtīja augļu kokteili.
cognitive	kognitīvs	Kognitīvās prasmes uzlabojas ar praksi.
coincide	sakrist	Festivāls sakritīs ar izlaidumu.
collaborate	sadarboties	Komandas sadarbojas pie programmatūras.
collaboration	sadarbība	Viņu sadarbība deva spēcīgus rezultātus.
collective	kolektīvs	Lēmums bija kolektīvs darbs.
collision	sadursme	Sadursme bloķēja šoseju.
colonial	koloniāls	Ēkai ir koloniālā arhitektūra.
columnist	komentētājs	Komentētājs kritizēja politiku.
combat	cīņa	Karavīri trenējās cīņai.
commence	sākties	Ceremonija sāksies pusdienlaikā.
commentary	komentārs	Mača komentārs bija dzīvīgs.
commentator	komentētājs	Komentētājs paskaidroja lēmumu.
commerce	tirdzniecība	Tiešsaistes tirdzniecība strauji auga.
commissioner	komisārs	Komisārs paziņoja jaunos noteikumus.
commodity	prece	Kvieši ir svarīga prece.
communist	komunistisks	Komunistiskā partija rīkoja sanāksmi.
companion	pavadonis	Viņas suns ir lojāls pavadonis.
comparable	salīdzināms	Abas pilsētas ir salīdzināmas pēc izmēra.
compassion	līdzjūtība	Māsa izrādīja lielu līdzjūtību.
compel	piespiest	Pierādījumi var piespiest atbildēt.
compelling	pārliecinošs	Dokumentālā filma sniedza pārliecinošus argumentus.
compensate	kompensēt	Uzņēmums kompensēs cietušajiem klientiem.
compensation	kompensācija	Darbinieki pieprasīja godīgu kompensāciju.
competence	kompetence	Tests mēra profesionālo kompetenci.
competent	kompetents	Viņa ir kompetenta inženiere.
compile	apkopot	Pētnieki apkopo datus no slimnīcām.
complement	papildināt	Vīns papildinās maltīti.
complexity	sarežģītība	Projektam ir negaidīta sarežģītība.
compliance	atbilstība	Audits pārbaudīja juridisko atbilstību.
complication	komplikācija	Operācijai bija viena komplikācija.
comply	ievērot	Uzņēmumiem jāievēro noteikumi.
composition	kompozīcija	Kompozīcijā ietilpst vijole un klavieres.
compromise	kompromiss	Kompromiss apmierināja abas puses.
compute	aprēķināt	Programma var aprēķināt kopsummu.
conceal	slēpt	Viņš mēģināja slēpt bojājumus.
concede	atzīt	Ministrs atteicās atzīt sakāvi.
conceive	izdomāt	Viņi nevarēja izdomāt labāku plānu.
conception	koncepcija	Filma mainīja manu vēstures koncepciju.
concession	piekāpšanās	Uzņēmums piedāvāja vienu piekāpšanos.
condemn	nosodīt	Līderi publiski nosoda uzbrukumu.
confer	piešķirt	Balva piešķirs prestižu.
confession	atzīšanās	Viņa atzīšanās pārsteidza tiesu.
configuration	konfigurācija	Konfigurācija kontrolē tīkla piekļuvi.
confine	ierobežot	Noteikumi ierobežo suņus šajā apgabalā.
confirmation	apstiprinājums	Mēs saņēmām apstiprinājumu pa e-pastu.
confront	stāties pretī	Viņa nolēma stāties pretī problēmai.
confrontation	konfrontācija	Konfrontācija beidzās bez vardarbības.
congratulate	apsveikt	Es piezvanīju, lai apsveiktu māsu.
congregation	draudze	Draudze dziedāja kopā.
congressional	kongresa	Kongresa uzklausīšana ilga stundām.
conquer	iekarot	Komanda cer iekarot tirgu.
conscience	sirdsapziņa	Viņa sirdsapziņa nepieļautu melus.
consciousness	apziņa	Negadījums ietekmēja viņa apziņu.
consecutive	secīgs	Viņa uzvarēja trīs secīgos mačos.
consensus	konsenss	Komiteja ātri panāca konsensu.
consent	piekrišana	Ir nepieciešama rakstiska piekrišana.
conserve	taupīt	Sausuma laikā mēs taupām ūdeni.
consistency	konsekvence	Konsekvencei ir nozīme valodu apguvē.
consolidate	konsolidēt	Uzņēmums konsolidēs divus birojus.
constituency	vēlēšanu apgabals	Kandidāts apmeklēja katru vēlēšanu apgabalu.
constitute	veidot	Sievietes veido pusi komitejas.
constitution	konstitūcija	Konstitūcija garantē vārda brīvību.
constitutional	konstitucionāls	Tiesa izskatīja konstitucionālās tiesības.
constraint	ierobežojums	Budžeta ierobežojums aizkavēja projektu.
consultation	konsultācija	Konsultācija ilga divas nedēļas.
contemplate	apdomāt	Viņa apstājās, lai apdomātu piedāvājumu.
contempt	nicinājums	Viņš izrādīja nicinājumu pret noteikumiem.
contend	cīnīties	Vairāki uzņēmumi cīnās par līgumu.
contender	pretendents	Viņa ir spēcīga pretendente.
content2	apmierināts	Viņš bija apmierināts ar rezultātu.
contention	strīds	Galvenais strīds attiecas uz finansējumu.
continually	pastāvīgi	Sistēma pastāvīgi pārbauda kļūdas.
contractor	darbuzņēmējs	Darbuzņēmējs salaboja jumtu.
contradiction	pretruna	Viņa paziņojumā bija pretruna.
contrary	pretējs	Pretējie pierādījumi mainīja lietu.
contributor	līdzstrādnieks	Viņa ir pastāvīga līdzstrādniece.
conversion	konversija	Konversija nomainīja dolārus pret eiro.
convict	notiesāt	Zvērinātie var notiesāt aizdomās turamo.
conviction	notiesāšana	Viņa notiesāšana šokēja sabiedrību.
cooperate	sadarboties	Lūdzu, sadarbojieties ar izmeklēšanu.
cooperative	atsaucīgs	Personāls bija atsaucīgs un mierīgs.
coordinate	koordinēt	Viņi katru rītu koordinē piegādes.
coordination	koordinācija	Laba koordinācija ietaupīja laiku.
coordinator	koordinators	Koordinators sadalīja katru uzdevumu.
cop	policists	Policists stāvēja ārpus iecirkņa.
copper	varš	Caurule ir izgatavota no vara.
copyright	autortiesības	Attēlu aizsargā autortiesības.
correction	labojums	Skolotājs veica vienu labojumu.
correlate	korelēt	Augsts stress var korelēt ar slimībām.
correlation	korelācija	Pētījumā tika konstatēta spēcīga korelācija.
correspond	atbilst	Šie cipari atbilst etiķetēm.
correspondence	sarakste	Viņu sarakste ilga gadiem.
correspondent	korespondents	Korespondents ziņoja no Kairas.
corresponding	atbilstošs	Katrai pogai ir atbilstoša gaismiņa.
corrupt	korumpēts	Korumpētais ierēdnis pieņēma naudu.
corruption	korupcija	Korupcija vājināja sabiedrības uzticību.
costly	dārgs	Kļūda komandai bija dārga.
councillor	padomnieks	Padomnieks atbildēja uz iedzīvotāju jautājumiem.
counselling	konsultēšana	Pēc negadījuma viņa saņēma psiholoģisko konsultēšanu.
counsellor	konsultants	Konsultants palīdzēja jaunajiem studentiem.
counter (argue against)	iebilst	Viņa mēģināja iebilst pret viņa argumentu.
counterpart	kolēģis	Viņš satika savu Japānas kolēģi.
countless	neskaitāms	Meklēšanai pievienojās neskaitāmi brīvprātīgie.
coup	apvērsums	Apvērsums gāza prezidentu.
courtesy	pieklājība	Viņa pateicās viņiem par pieklājību.
