source_headword	RO	example_RO
tool	o unealtă	Folosește unealta potrivită.
top	vârf	Raftul de sus este plin.
touch	a atinge	Nu atinge sticla.
tour	un tur	Am făcut un tur al orașului.
tourism	turism	Turismul ajută acest oraș.
towards	spre	Mergi spre stație.
towel	un prosop	Ia un prosop curat.
tower	un turn	Turnul este foarte vechi.
toy	o jucărie	Jucăria este roșie.
track	o șină	Șina merge spre nord.
tradition	o tradiție	Tradiția aceasta este veche.
traditional	tradițional	Ea purta haine tradiționale.
trainer	un antrenor	Antrenorul meu este de ajutor.
training	antrenament	Antrenamentul începe mâine.
transport	transport	Transportul public întârzie.
traveller	un călător	Călătorul a cerut ajutor.
trouble	probleme	Ieri am avut probleme.
truck	un camion	Camionul este afară.
twin	un geamăn	Sora mea geamănă este mai înaltă.
typical	tipic	Aceasta este o zi tipică.
underground	subteran	Trenul merge sub pământ.
understanding	înțelegere	Înțelegerea ta este corectă.
unfortunately	din păcate	Din păcate, magazinul este închis.
unhappy	nefericit	El pare nefericit.
uniform	o uniformă	Poartă uniformă școlară.
unit	o unitate	Această unitate este mică.
united	unit	Echipa a rămas unită.
unusual	neobișnuit	Sunetul acela este neobișnuit.
used to modal	obișnuiam să	Obișnuiam să locuim aici.
user	un utilizator	Fiecare utilizator are un număr.
usual	obișnuit	Mi-am luat locul obișnuit.
valley	o vale	Valea este verde.
van	o dubă	Duba este plină.
variety	varietate	Avem nevoie de mai multă varietate.
vehicle	un vehicul	Vehiculul acesta este lent.
view	o priveliște	Priveliștea este frumoasă.
virus	un virus	Virusul l-a îmbolnăvit.
voice	o voce	Vocea ei este joasă.
war	un război	Războiul s-a încheiat acum ani.
washing	rufe	Rufele sunt afară.
wave	un val	Valul a lovit nava.
weak	slab	Picioarele mele sunt slabe.
web	web	Pagina web este deschisă.
wedding	o nuntă	Nunta începe curând.
weight	o greutate	Verifică greutatea mai întâi.
wet	ud	Pantofii mei sunt uzi.
wheel	o roată	Roata este ruptă.
while	o vreme	Așteaptă aici o vreme.
whole	întreg	Am mâncat mărul întreg.
whose	al cui	Al cui este telefonul acesta?
wide	lat	Drumul este lat.
wild	sălbatic	Animalele sălbatice trăiesc aici.
wind1	vânt	Vântul este puternic.
winner	un câștigător	Câștigătorul a zâmbit.
wish	o dorință	Pune-ți o dorință.
wood	lemn	Scaunul este din lemn.
wooden	de lemn	Cutia de lemn este grea.
working	de lucru	Ziua de lucru s-a terminat.
worried	îngrijorat	Sunt îngrijorat azi.
worry	a se îngrijora	Nu te îngrijora acum.
worse	mai rău	Durerea aceasta este mai rea.
worst	cel mai rău	A fost cea mai rea zi.
wow	uau	Uau, este uimitor!
yet	încă; deja	Am ajuns deja?
yours	al tău	Cartea aceasta este a ta.
zero	zero	Numără invers până la zero.
