source_headword	SW	example_SW
mobilize	hamasisha	Viongozi huhamasisha wanaojitolea haraka.
moderate	ya wastani	Mgombea ana maoni ya wastani.
modification	marekebisho	Muundo unahitaji marekebisho moja.
momentum	kasi	Kampeni ilipata kasi haraka.
monk	mtawa	Mtawa aliishi kwa ukimya.
monopoly	ukiritimba	Kampuni hiyo ilikuwa na ukiritimba.
morality	maadili	Kozi inachunguza maadili ya umma.
motive	nia	Polisi walihoji nia yake.
motorist	dereva	Dereva alisimama kwenye taa nyekundu.
municipal	ya manispaa	Huduma za manispaa ziliboreka mwaka huu.
mutual	ya pamoja	Walifikia makubaliano ya pamoja.
namely	yaani	Tatizo moja linabaki, yaani ufadhili.
nationwide	nchi nzima	Mgomo ulisababisha ucheleweshaji nchi nzima.
naval	ya jeshi la majini	Kituo cha jeshi la majini kilifungwa mwaka jana.
neglect	puuza	Usipuuze usalama wa kimsingi.
neighbouring	jirani	Miji jirani ilishiriki hospitali hiyo.
nest	kiota	Ndege alijenga kiota.
net	halisi	Faida halisi iliongezeka kwa kiasi kikubwa.
newsletter	jarida	Jarida hufika kila Ijumaa.
niche	nyanja maalum	Kampuni ilipata nyanja maalum yenye faida.
noble	adhimu	Ishara yake adhimu ilivutia kila mtu.
nod	tikisa kichwa	Tafadhali tikisa kichwa ikiwa unaelewa.
nominate	teua	Watamteua mwenyekiti mpya.
nomination	uteuzi	Uteuzi wake ulishangaza kamati.
nominee	mteule	Mteule alijibu maswali magumu.
nonetheless	hata hivyo	Hata hivyo, mpango ulisonga mbele.
non-profit	isiyo ya faida	Yeye hufanya kazi katika zahanati isiyo ya faida.
nonsense	upuuzi	Uvumi huo ni upuuzi mtupu.
noon	adhuhuri	Mkutano huanza adhuhuri.
notable	muhimu	Ripoti ilifanya maendeleo muhimu.
notably	hasa	Hasa, gharama zilishuka mwezi wa Mei.
notify	arifu	Tafadhali arifu wafanyakazi kabla ya kuondoka.
notorious	yenye sifa mbaya	Barabara hiyo ina sifa mbaya ya ajali.
novel	mpya	Walipendekeza suluhisho jipya.
nursery	chekechea	Chekechea inatunza watoto wachanga.
objection	pingamizi	Mwanasheria aliibua pingamizi.
oblige	kulazimisha	Sheria zinalazimisha madereva kusimama.
obsess	kuhangaishwa	Usihangaishwe na makosa madogo.
obsession	kutawaliwa na fikra	Kutawaliwa kwake na fikra kuliharibu kazi yake.
occasional	ya hapa na pale	Ucheleweshaji wa hapa na pale unatarajiwa.
occurrence	tukio	Tukio kama hilo ni nadra.
odds	uwezekano	Uwezekano wa mafanikio uliboreka.
offering	ofa	Chuo kikuu kilipanua ofa yake.
offspring	uzao	Mbweha alilinda uzao wake.
operational	inafanya kazi	Mfumo mpya unafanya kazi.
opt	kuchagua	Wanafunzi wengi huchagua madarasa ya mtandaoni.
optical	ya macho	Lenzi ya macho inahitaji kusafishwa.
optimism	matumaini	Matumaini yalirejea baada ya tangazo.
oral	ya mdomo	Mtihani wa mdomo unaanza kesho.
organizational	ya kimuundo	Mabadiliko ya kimuundo yalianza mara moja.
orientation	mafunzo ya awali	Warsha ilihusu mafunzo ya awali ya mfanyakazi.
originate	asili	Mila nyingi zina asili katika vijiji vya mashambani.
outbreak	mlipuko	Mlipuko ulienea jiji zima.
outing	matembezi	Darasa lilifurahia matembezi ya makumbusho.
outlet	kituo cha mauzo	Kituo cha mauzo kinauza nguo zilizopunguzwa bei.
outlook	mwelekeo	Mwelekeo wa kiuchumi bado hauna uhakika.
outrage	ghadhabu	Uamuzi huo ulisababisha ghadhabu ya umma.
outsider	mgeni	Kama mtu wa nje, aligundua matatizo.
overlook	kupuuza	Usipuuze maelezo madogo.
overly	kupita kiasi	Maelekezo yalikuwa magumu kupita kiasi.
oversee	kusimamia	Atasimamia mradi.
overturn	kutengua	Mahakama inaweza kutengua uamuzi.
overwhelm	kulemea	Habari nyingi zinaweza kuwalemea wanafunzi.
overwhelming	kubwa sana	Ushahidi ulikuwa mkubwa sana.
pad	kinga	Tumia kinga kulinda magoti.
parameter	kigezo	Rekebisha kigezo kimoja kwa wakati.
parental	ya wazazi	Usaidizi wa wazazi uliboresha mahudhurio.
parish	parokia	Parokia iliandaa chakula cha jioni cha hisani.
parliamentary	ya bunge	Mjadala wa bunge ulidumu kwa saa nyingi.
partial	kiasi	Ripoti ilitoa jibu la kiasi.
partially	kwa kiasi	Dirisha lilikuwa wazi kwa kiasi.
passing	kifo	Kifo chake kilikuwa cha ghafla.
passive	tuili	Wawekezaji tuili walikubali faida thabiti.
pastor	mchungaji	Mchungaji aliitembelea familia.
patch	kiraka	Koti linahitaji kiraka kidogo.
patent	hataza	Kampuni iliwasilisha hataza.
pathway	njia	Njia inaongoza kwenye uthibitisho.
patrol	doria	Polisi hufanya doria eneo hilo usiku.
patron	mfadhili	Jumba la makumbusho lilimshukuru mfadhili wake.
peak	kilele	Mahitaji yalifikia kilele cha majira ya baridi.
peasant	mkulima	Mkulima huyo alimiliki ardhi kidogo.
peculiar	ya ajabu	Chumba hicho kilikuwa na harufu ya ajabu.
persist	kuendelea	Dalili zinaweza kuendelea kwa siku.
persistent	inayoendelea	Kikohozi kinachoendelea kinahitaji uangalizi.
personnel	wafanyakazi	Rekodi za wafanyakazi ni za siri.
petition	ombi	Ombi hilo lilikusanya maelfu ya saini.
philosopher	mwanafalsafa	Mwanafalsafa alitilia shaka dhana za kawaida.
philosophical	ya kifalsafa	Majadiliano yalikuwa ya kifalsafa.
physician	daktari	Daktari aliagiza vipimo vya damu.
pioneer	mwanzilishi	Alikuwa mwanzilishi katika dawa.
pipeline	bomba	Bomba hubeba gesi chini ya ardhi.
pirate	haramia	Meli ya maharamia ilionekana pwani.
pit	shimo	Wafanyakazi walichimba shimo refu.
plea	ombi	Ombi lake la msaada lilipuuzwa.
plead	kujitetea	Mshukiwa atajitetea kuwa ana hatia.
pledge	kuahidi	Wanaahidi msaada kwa marekebisho.
plug	kuchomeka	Chomeka kebo kwenye soketi.
plunge	kushuka ghafla	Bei zinaweza kushuka ghafla baada ya kashfa.
pole	mlingoti	Bendera ilining'inia kwenye mlingoti.
poll	kura ya maoni	Kura ya maoni ilionyesha kubadilika kwa maoni.
pond	bwawa	Mabata walivuka bwawa lililoganda.
pop	kupasuka	Maputo hupasuka karibu na vitu vyenye ncha kali.
portfolio	jalada la kazi	Jalada lake la kazi linajumuisha kampuni kadhaa mpya.
portray	kuonyesha	Filamu itaonyesha maisha ya vijijini.
postpone	kuahirisha	Waliamua kuahirisha usikilizaji.
post-war	baada ya vita	Makazi ya baada ya vita yalihitajika kwa haraka.
practitioner	tabibu	Tabibu alielezea matibabu.
preach	kuhubiri	Mchungaji atahubiri siku ya Jumapili.
precedent	mfano	Uamuzi huo uliweka mfano muhimu.
precision	usahihi	Mashine hukata kwa usahihi.
predator	mnyama mwindaji	Mnyama mwindaji alingoja karibu na mto.
predecessor	mtangulizi	Mtangulizi wake aliacha maelezo ya kina.
predominantly	kwa kiasi kikubwa	Eneo hilo ni kwa kiasi kikubwa la makazi.
pregnancy	ujauzito	Ujauzito unahitaji huduma ya matibabu ya mara kwa mara.
prejudice	ubaguzi	Kampeni ilipinga ubaguzi wa rangi.
preliminary	ya awali	Matokeo ya awali yanaonekana kuwa ya kutia matumaini.
premier	waziri mkuu	Waziri mkuu alilihutubia bunge leo.
premise	msingi	Hoja inategemea msingi wa uongo.
premium	malipo ya ziada	Wateja walilipa malipo ya ziada kwa kasi.
prescribe	kuandikisha dawa	Madaktari huandikisha viua viini kwa uangalifu.
prescription	cheti cha dawa	Cheti cha dawa kinamalizika muda wake mwezi ujao.
presently	kwa sasa	Hayupo kwa sasa.
preservation	uhifadhi	Uhifadhi hulinda majengo ya kihistoria.
preside	kuongoza	Jaji ataongoza kesi.
presidency	urais	Urais wake ulidumu kwa miaka minane.
presidential	ya rais	Uchaguzi wa rais ulivuta hisia.
prestigious	yenye heshima	Alishinda ufadhili wa masomo wenye heshima.
presumably	labda	Ofisi labda imefungwa leo.
presume	kudhani	Tunadhani nyaraka hizo ni halisi.
prevail	kushinda	Akili ya kawaida inapaswa kushinda.
prevalence	kuenea	Kuenea kwa pumu kuliongezeka.
prevention	kuzuia	Kuzuia ni nafuu kuliko kukarabati.
