source_headword	TL	example_TL
social	panlipunan	Ito ay isang panlipunang kaganapan.
society	lipunan	Nagbabago ang lipunan sa paglipas ng panahon.
sock	medyas	Nawawala ang isang medyas.
soft	malambot	Malambot ang kumot na ito.
soldier	sundalo	Umuwi ang sundalo.
solution	solusyon	Nakahanap kami ng solusyon.
solve	lutasin	Lutasin ang palaisipang ito.
somewhere	saanman; kung saan	Ilagay ito sa ligtas na lugar.
sort	uri	Anong uri ang gusto mo?
source	pinagmulan	Suriin muna ang pinagmulan.
speaker	tagapagsalita; speaker	Malakas ang speaker.
specific	tiyak	Kailangan ko ng tiyak na sagot.
speech	talumpati	Maikli ang talumpati niya.
speed	bilis	Bawasan ang bilis mo rito.
spider	gagamba	May gagamba sa dingding.
spoon	kutsara	Gumamit ng kutsara para sa sopas.
square	parisukat	Gumuhit ng parisukat na kahon.
stage	entablado	Nasa entablado ang banda.
stair	baitang	Sira ang baitang.
stamp	selyo	Lagyan ng selyo ang liham.
state	sabihin	Sabihin nang malinaw ang pangalan mo.
steal	magnakaw	Huwag magnakaw ng pera.
step	hakbang	Humakbang ng isa pasulong.
stomach	tiyan	Masakit ang tiyan ko.
stone	bato	Mabigat ang bato.
store	tindahan	Maagang nagsasara ang tindahan.
storm	bagyo	Paparating ang bagyo.
straight	diretso	Umuwi ka nang diretso.
strange	kakaiba	Kakaiba ang tunog na iyon.
strategy	estratehiya	Kailangan natin ng estratehiya.
stress	stress; tensiyon	Maaaring magdulot ng stress ang trabaho.
structure	istruktura	Matibay ang istrukturang ito.
stupid	tanga; hangal	Iyon ay hangal na pagkakamali.
succeed	magtagumpay	Maaari kang magtagumpay dito.
successful	matagumpay	Naging matagumpay siya.
such	gayong; ganoong	Kapaki-pakinabang ang ganoong tulong.
suddenly	bigla	Biglang tumakbo palayo ang aso.
suggest	magmungkahi	Nagmumungkahi ako ng maikling pahinga.
suggestion	mungkahi	Kapaki-pakinabang ang mungkahi mo.
suit	suit	Mahal ang suit na ito.
support	suportahan	Sinusuportahan namin ang aming koponan.
suppose	palagay	Palagay ko tama ka.
surprise	sorpresa	Napasaya siya ng sorpresa.
surprised	nagulat	Nagulat siya ngayon.
surprising	nakakagulat	Nakakagulat ang resulta.
survey	survey; sarbey	Pakikumpleto ang sarbey.
sweet	matamis	Matamis ang tsaang ito.
symbol	simbolo	Ang simbolong ito ay nangangahulugang panganib.
system	sistema	Gumagana nang maayos ang sistema.
tablet	tablet	Nasa mesa ang tablet ko.
target	target; puntirya	Tamaan nang maingat ang puntirya.
task	gawain	Madali ang gawaing ito.
taste	tikman	Tikman muna ang sopas.
teaching	pagtuturo	Mahirap na trabaho ang pagtuturo.
technology	teknolohiya	Mabilis magbago ang teknolohiya.
teenage	malabata	Masipag mag-aral ang malabata kong kapatid.
temperature	temperatura	Mababa ang temperatura.
term	termino; semestre	Matatapos na ang terminong ito.
themselves	sila mismo	Sila mismo ang nagluto ng hapunan.
thick	makapal	Makapal ang aklat na ito.
thief	magnanakaw	Tumakas ang magnanakaw.
thin	manipis	Manipis ang papel.
thinking	pag-iisip	Kailangan ng oras ang pag-iisip.
thought	isip; kaisipan	May kakaiba akong kaisipan.
throw	ihagis	Ihagis nang marahan ang bola.
tidy	maayos	Panatilihing maayos ang silid mo.
tie	itali	Itali mo na ang sapatos mo.
tip	tip; pabuya	Mag-iwan ng pabuya para sa serbisyo.
tool	kasangkapan	Gamitin ang tamang kasangkapan.
top	itaas	Puno ang itaas na istante.
touch	hawakan	Huwag hawakan ang salamin.
tour	paglilibot	Naglibot kami sa lungsod.
tourism	turismo	Nakakatulong ang turismo sa bayang ito.
towards	patungo sa	Maglakad patungo sa istasyon.
towel	tuwalya	Magdala ng malinis na tuwalya.
tower	tore	Napakaluma ng tore.
toy	laruan	Pula ang laruang kotse.
track	riles	Ang riles ay pahilaga.
tradition	tradisyon	Matanda ang tradisyong ito.
traditional	tradisyonal	Nagsuot siya ng tradisyonal na damit.
trainer	tagapagsanay	Matulungin ang tagapagsanay ko.
training	pagsasanay	Magsisimula bukas ang pagsasanay.
transport	transportasyon	Huli ang pampublikong transportasyon.
traveller	manlalakbay	Humingi ng tulong ang manlalakbay.
trouble	problema	Nagkaproblema kami kahapon.
truck	trak	Nasa labas ang trak.
twin	kambal	Mas matangkad ang kambal kong kapatid.
typical	karaniwan	Karaniwang araw ito.
underground	ilalim ng lupa	Tumatakbo ang tren sa ilalim ng lupa.
understanding	pag-unawa	Tama ang pag-unawa mo.
unfortunately	sa kasamaang-palad	Sa kasamaang-palad, sarado ang tindahan.
unhappy	malungkot	Mukha siyang malungkot.
uniform	uniporme	Nagsusuot siya ng uniporme sa paaralan.
unit	yunit	Maliit ang yunit na ito.
united	nagkakaisa	Nanatiling nagkakaisa ang koponan.
unusual	hindi pangkaraniwan	Hindi pangkaraniwan ang tunog na iyon.
used to modal	dati	Dati kaming nakatira dito.
user	gumagamit	May numero ang bawat gumagamit.
usual	karaniwan	Naupo ako sa karaniwan kong upuan.
valley	lambak	Berde ang lambak.
van	van	Puno ang van.
variety	sari-sari; pagkakaiba-iba	Kailangan namin ng higit na pagkakaiba-iba.
vehicle	sasakyan	Mabagal ang sasakyang ito.
view	tanawin	Maganda ang tanawin.
virus	virus	Isang virus ang nagpasakit sa kanya.
voice	boses	Mahina ang boses niya.
war	digmaan	Natapos ang digmaan taon na ang nakalipas.
washing	labada	Nasa labas ang labada.
wave	alon	Tumama ang alon sa bangka.
weak	mahina	Mahina ang pakiramdam ng mga binti ko.
web	web	Bukas ang web page.
wedding	kasal	Magsisimula na ang kasal.
weight	timbang	Suriin muna ang timbang.
wet	basa	Basang-basa ang sapatos ko.
wheel	gulong	Sira ang gulong.
while	sandali	Maghintay dito sandali.
whole	buong	Kinain ko ang buong mansanas.
whose	kanino	Kaninong telepono ito?
wide	malapad	Malapad ang kalsada.
wild	ligaw	Dito nakatira ang mga ligaw na hayop.
wind1	hangin	Malakas ang hangin.
winner	nagwagi	Ngumiti ang nagwagi.
wish	hiling	Gumawa ng hiling.
wood	kahoy	Gawa sa kahoy ang upuan.
wooden	kahoy na	Mabigat ang kahoy na kahon.
working	araw ng trabaho	Natapos ang araw ng trabaho.
worried	nag-aalala	Nag-aalala ako ngayon.
worry	mag-alala	Huwag mag-alala ngayon.
worse	mas malala	Mas malala ang sakit na ito.
worst	pinakamasama	Iyon ang pinakamasamang araw.
wow	wow	Wow, ang galing nito!
yet	pa; na ba	Nandoon na ba tayo?
yours	iyo	Iyo ang aklat na ito.
zero	sero	Magbilang pababa hanggang sero.
