source_headword	ES-419	example_ES-419
protein	la proteína	Los frijoles contienen proteína.
protester	el manifestante	El manifestante sostenía un letrero.
psychological	psicológico	El accidente causó estrés psicológico.
publicity	la publicidad	El evento recibió publicidad.
publishing	la edición	Ella trabaja en la edición.
punk	el punk	La música punk se volvió popular allí.
purely	puramente	La elección fue puramente práctica.
pursuit	la búsqueda	Él continuó su búsqueda de justicia.
puzzle	el rompecabezas	El rompecabezas tomó una hora.
questionnaire	el cuestionario	Por favor, complete el cuestionario.
racial	racial	El informe discutió la desigualdad racial.
racism	el racismo	El racismo daña a las comunidades.
racist	racista	El comentario fue racista.
radiation	la radiación	La radiación puede dañar las células.
rail	el pasamanos	Sostén el pasamanos de las escaleras.
random	aleatorio	La computadora eligió un número aleatorio.
rat	la rata	Una rata corrió detrás de los basureros.
rating	la calificación	El hotel tiene una alta calificación.
reasonably	razonablemente	La habitación estaba razonablemente limpia.
rebuild	reconstruir	Ellos reconstruirán el puente.
receiver	el receptor	El receptor atrapó la pelota.
recession	la recesión	La recesión redujo los gastos.
reckon	creer	Creo que el tren está retrasado.
recognition	el reconocimiento	Ella recibió reconocimiento por su trabajo.
recovery	la recuperación	La recuperación tomó varias semanas.
recruit	reclutar	La empresa reclutará ingenieros.
recruitment	el reclutamiento	El reclutamiento comienza el próximo lunes.
referee	el árbitro	El árbitro detuvo el partido.
refugee	el refugiado	El refugiado encontró un hogar seguro.
registration	la inscripción	La inscripción cierra el viernes.
regulate	regular	La ley regulará las emisiones.
reinforce	reforzar	Vigas adicionales refuerzan el techo.
relieve	aliviar	La medicina puede aliviar el dolor.
relieved	aliviado	Ella se sintió aliviada después de la llamada.
remarkable	notable	La recuperación fue notable.
remarkably	notablemente	Él se recuperó notablemente rápido.
reporting	el reportaje	El reportaje preciso es importante.
resign	renunciar	El gerente renunciará mañana.
resolution	la resolución	La pantalla tiene alta resolución.
restore	restaurar	Los trabajadores restauran la pintura antigua.
restrict	restringir	Las reglas restringen el estacionamiento.
restriction	la restricción	La restricción termina mañana.
retail	el comercio minorista	Las ventas al por menor aumentaron.
retirement	la jubilación	Ella planeó su jubilación cuidadosamente.
revenue	los ingresos	Los ingresos de los boletos pagaron las reparaciones.
revision	el repaso	El repaso ayudó antes del examen.
ridiculous	ridículo	El precio era ridículo.
risky	arriesgado	El plan parecía arriesgado.
rival	el rival	Nuestro rival abrió una nueva tienda.
rob	robar	Los hombres intentaron robar el banco.
robbery	el robo	El robo ocurrió en la noche.
rocket	el cohete	El cohete fue lanzado con éxito.
romance	el romance	La novela incluye un romance.
rose	la rosa	Una rosa roja creció junto a la cerca.
roughly	aproximadamente	Aproximadamente veinte personas asistieron.
ruin	arruinar	La lluvia podría arruinar el picnic.
satisfaction	la satisfacción	La satisfacción del cliente mejoró.
scandal	el escándalo	El escándalo dañó su carrera.
scare	el susto	El ruido fuerte me dio un susto.
scenario	el escenario	El peor escenario es improbable.
scholar	el erudito	El erudito estudió textos antiguos.
scholarship	la beca	Ella ganó una beca.
scratch	el rasguño	El gato dejó un rasguño.
screening	la detección	El hospital ofrece pruebas de detección de cáncer.
seeker	el candidato	El buscador de empleo envió solicitudes.
seminar	el seminario	El seminario comienza a las nueve.
settler	el colono	El colono construyó una pequeña granja.
severely	severamente	La tormenta dañó severamente las carreteras.
sexy	sexy	El vestido fue considerado sexy.
shocking	impactante	La noticia fue impactante.
shore	la orilla	Caminamos por la orilla.
shortage	la escasez	La ciudad enfrentó una escasez de agua.
shortly	pronto	El autobús llegó poco después del mediodía.
short-term	a corto plazo	El plan tiene beneficios a corto plazo.
sibling	el hermano	Cada hermano recibió un regalo.
signature	la firma	Por favor, agregue su firma.
significance	la importancia	El descubrimiento tiene gran importancia.
skilled	calificado	Trabajadores calificados repararon el techo.
slogan	el eslogan	La campaña usó un eslogan simple.
so-called	así llamado	El así llamado experto cometió errores.
somehow	de alguna manera	De alguna manera, las llaves desaparecieron.
sometime	en algún momento	Visítanos en algún momento la próxima semana.
sophisticated	sofisticado	El software es sofisticado.
spare	de repuesto	Guardamos una llave de repuesto.
specialize	especializarse	Los médicos se especializan en diferentes campos.
specify	especificar	Por favor, especifique su hora de llegada.
spectacular	espectacular	Los fuegos artificiales fueron espectaculares.
spectator	el espectador	Cada espectador recibió un programa.
speculate	especular	Los expertos especulan sobre la causa.
speculation	la especulación	El artículo fomentó la especulación.
spice	la especia	Agregue una especia a la vez.
spill	derramar	No derrames el jugo.
spite	el rencor	Él tuvo éxito a pesar de los problemas.
spoil	arruinar	Demasiada sal puede arruinar la sopa.
spokesman	el portavoz	El portavoz respondió preguntas.
spokesperson	el portavoz	El portavoz leyó una declaración.
spokeswoman	la portavoz	La portavoz se dirigió a la prensa.
sponsorship	el patrocinio	El equipo necesita patrocinio.
sporting	deportivo	La ciudad alberga eventos deportivos.
stall	el puesto	El puesto del mercado vende frutas.
stance	la postura	El ministro cambió su postura.
starve	morir de hambre	Sin comida, los animales pueden morir de hambre.
steadily	constantemente	La empresa creció constantemente.
steam	el vapor	El vapor subió de la sopa.
stimulate	estimular	Los colores brillantes pueden estimular el interés.
