simplified	DA	example_DA
被告	en tiltalt	Den tiltalte nægtede alle anklager
贝壳	en muslingeskal	Barnet samlede muslingeskaller ved havet
奔波	fare rundt	Han farer rundt overalt for arbejdet
奔驰	køre hurtigt	Bilen kørte hurtigt på motorvejen
本能	et instinkt	At beskytte børn er forældres instinkt
本钱	en kapital	At drive forretning kræver kapital
本人	jeg selv	Jeg er selv villig til at tage ansvar
本身	i sig selv	Der er ikke noget problem med selve planen
本事	en evne	Han har store evner
笨拙	klodset	Hans bevægelser er lidt klodsede
崩溃	bryde sammen	Systemet brød pludselig sammen
甭	behøver ikke	Du behøver ikke bekymre dig om denne sag
蹦	hoppe	Den lille hund hoppede rundt på græsset
迸发	bryde ud	Bifaldet brød ud fra mængden
逼迫	tvinge	De tvang ham til at underskrive kontrakten
鼻涕	snot	Barnet er forkølet og har hele tiden løbende næse
比方	for eksempel	For eksempel kan vi prøve en måned først
比喻	en metafor	Denne metafor er meget levende
比重	en andel	Servicebranchens andel bliver højere og højere
鄙视	se ned på	Se ikke ned på andres indsats
弊病	en mangel	Dette system har mange mangler
弊端	en ulempe	Den nye plan løste ulemperne ved det gamle system
臂	en arm	Hans højre arm blev skadet
闭塞	isoleret	Transporten i denne bjerglandsby var tidligere meget isoleret
编织	strikke	Bedstemor strikker en trøje
边疆	et grænseområde	Mange soldater bevogter landets grænseområder
边界	en grænse	De to lande trak grænsen på ny
边境	et grænseområde	Grænseområderne styrkede sikkerhedskontrollerne
边缘	en kant	Koppen står på kanten af bordet
鞭策	motivere	Lærerens ord har altid motiveret mig
扁	flad	Denne æske er bred og flad
贬低	nedgøre	Nedgør ikke bare andres indsats
贬义	en negativ betydning	Dette ord har en negativ betydning her
便利	praktisk	Metro gør det mere praktisk at rejse
便条	en seddel	Han efterlod en seddel på bordet
便于	gøre let	Dette design gør det let for ældre at bruge det
变故	en ulykke	Der skete pludselig en uventet ulykke i familien
变迁	forandringer	Byens forandringer gjorde ham dybt rørt
变质	blive dårlig	Mælk bliver dårlig hvis den står for længe
辨认	identificere	Politiet bad ham identificere personen på fotoet
辩护	forsvare	Advokaten forsvarede den tiltalte
辩解	retfærdiggøre	Han forsøgte at retfærdiggøre sin fejl
辩证	dialektisk	Vi bør se dialektisk på dette problem
辫子	en fletning	Den lille pige har to fletninger
遍布	finde overalt	Denne plante findes overalt i landet
标本	et præparat	Dyrepreparater er udstillet på museet
标记	et mærke	Lav mærker ved de vigtige afsnit
标题	en titel	Titlen på denne artikel er meget fængende
表决	stemme	Repræsentanterne skal stemme om forslaget
表态	erklære sin holdning	Han har endnu ikke erklæret sin holdning offentligt
表彰	hædre	Virksomheden hædrede fremragende medarbejdere
憋	holde tilbage	Han holdt latteren tilbage og sagde ingenting
别墅	en villa	De købte en villa i forstæderne
别致	særpræget	Indretningen i denne cafe er meget særpræget
别扭	akavet	Denne sætning lyder lidt akavet
濒临	være på randen af	Dette dyr er på randen af udryddelse
冰雹	hagl	Der faldt kraftig hagl i går eftermiddags
丙	gruppe C	Kampen for gruppe C begynder om eftermiddagen
并非	egentlig ikke	Sagen er egentlig ikke som du forestiller dig
并列	ligge side om side	De to projekter ligger side om side på førstepladsen
剥削	udnyttelse	Der fandtes alvorlig udnyttelse i det gamle samfund
拨	ringe op	Ring venligst til dette telefonnummer
播种	så	Farmerne begynder at så om foråret
波浪	en bølge	Der rejste sig store bølger på havet
波涛	store bølger	Båden sejlede frem gennem de store bølger
伯母	en tante	Jeg besøger min tante i weekenden
博大精深	vidtfavnende og dyb	Kinesisk kultur er vidtfavnende og dyb
博览会	en messe	Den internationale messe tiltrak mange virksomheder
搏斗	kæmpe	Politiet kæmpede med forbryderen
薄弱	svag	Hans grammatiske grundlag er forholdsvis svagt
不顾	uanset	Han styrtede ind uanset faren
不愧	leve op til	Han lever virkelig op til betegnelsen erfaren ekspert
不料	uventet	Uventet blev mødet pludselig aflyst
不像话	urimelig	Det er urimeligt at behandle gæster sådan
不屑一顾	afvise med foragt	Han afviste disse rygter med foragt
哺乳	amme	Moderen ammer babyen
捕捉	fange	Fotografen fangede et fantastisk øjeblik
补偿	kompensere	Virksomheden vil kompensere dig for dit tab
补救	afhjælpe	Vi kan stadig nå at afhjælpe det
补贴	et tilskud	Regeringen giver tilskud til familier med lav indkomst
不得已	ikke have noget valg	Han forlod kun sin hjemby fordi han ikke havde noget valg
不妨	du kan lige så godt	Du kan lige så godt først høre hans forklaring
不敢当	det fortjener jeg ikke	Når De roser mig sådan, fortjener jeg det virkelig ikke
不禁	ikke kunne lade være	Efter at have hørt nyheden kunne han ikke lade være med at smile
不堪	ikke kunne holde ud	Støjen her er ikke til at holde ud
不可思议	utrolig	Dette resultat er virkelig utroligt
不免	uundgåeligt	Første gang på scenen var han uundgåeligt lidt nervøs
不时	af og til	Han kiggede af og til op på uret
不惜	ikke tøve	For at redde en person tøvede han ikke med at tage en risiko
不相上下	jævnbyrdig	De to hold er jævnbyrdige
不言而喻	sige sig selv	Ærlighedens betydning siger sig selv
不由得	ikke kunne lade være	Da jeg så det gamle foto, kunne jeg ikke lade være med at tænke på barndommen
不择手段	bruge alle midler	Han bruger alle midler for at tjene penge
不止	mere end	Mere end hundrede personer deltog i mødet
布告	en meddelelse	Der blev sat en meddelelse op ved skolens port
布局	en indretning	Indretningen af denne lejlighed er meget fornuftig
布置	tildele	Læreren tildelte nye lektier
步伐	et skridt	Holdet gik fremad med ensartede skridt
部署	iværksætte	Virksomheden er ved at iværksætte en ny salgsplan
部位	et område	Lægen undersøgte det skadede område
才干	en evne	Hun har store evner inden for ledelse
裁缝	en skrædder	Denne skrædder er meget dygtig
裁判	en dommer	Dommeren meddelte at kampen var sat på pause
裁员	afskedige medarbejdere	Virksomheden besluttede at afskedige medarbejdere på grund af tab
财富	en rigdom	Viden er også en form for rigdom
财务	økonomi	Økonomiafdelingen kontrollerer regnskaberne
财政	statsfinanser	De offentlige indtægter er steget noget i år
彩票	en lottokupon	Han køber af og til en lottokupon
采购	indkøbe	Virksomheden sendte nogen ud for at indkøbe udstyr
采集	indsamle	Forskerne indsamlede prøver i skoven
采纳	vedtage	Lederen vedtog vores forslag
参谋	rådgive	Han rådgiver ofte chefen
参照	følge	Udfyld venligst formularen efter dette format
残疾	handicappet	Denne station tilbyder hjælp til handicappede passagerer
残酷	grusom	Krig er meget grusom
残留	blive tilbage	Der er stadig kaffesmag tilbage i koppen
残忍	grusom	Mishandling af dyr er en grusom handling
灿烂	strålende	Hun viste et strålende smil
仓促	forhastet	Denne beslutning blev truffet alt for forhastet
仓库	et lager	Varerne er allerede leveret til lageret
舱	en kabine	Passagererne er ved at gå ind i kabinen
苍白	bleg	Hans ansigt så meget blegt ud
操劳	slide hårdt	Moderen har slidt hårdt for denne familie i mange år
操练	øve	Soldaterne øver hver morgen
操纵	styre	Denne maskine styres af en computer
操作	betjene	Betjen udstyret efter vejledningen
嘈杂	støjende	Der er meget støjende på stationen
草案	et udkast	Komiteen diskuterer udkastet
草率	skødesløs	En så vigtig beslutning må ikke være skødesløs
侧面	fra siden	Fra siden ser denne bygning højere ud
测量	måle	Ingeniøren måler broens længde
策划	planlægge	De planlagde et stort arrangement
策略	en strategi	Denne strategi hjalp virksomheden med at reducere omkostninger
层出不穷	dukke op igen og igen	Nye problemer dukker op igen og igen
层次	en struktur	Strukturen i denne artikel er meget klar
差别	en forskel	Der er ikke stor forskel på de to metoder
插座	en stikkontakt	Der er ikke nok stikkontakter i dette rum
查获	beslaglægge	Tolden beslaglagde et parti falske varer
刹那	et øjeblik	På et øjeblik gik alle lysene ud
岔	en forgrening	Bilerne delte sig ved krydset foran
诧异	overrasket	Hans beslutning gjorde alle meget overraskede
柴油	diesel	Denne lastbil bruger diesel
搀	støtte	Sygeplejersken støttede den gamle person ind på afdelingen
缠绕	slynge sig	Vinrankerne slynger sig om grenene
馋	få lyst til	Da barnet så kagen, fik det lyst til den
产业	en branche	Turisme er en vigtig branche her
阐述	uddybe	Professoren uddybede sit synspunkt
颤抖	ryste	Hun var så kold at hele kroppen rystede
昌盛	blomstrende	Vi håber at landet bliver blomstrende og velstående
偿还	betale tilbage	Han betalte lånet tilbage til tiden
尝试	prøve	Vi kan prøve en ny metode
场合	en anledning	Denne slags anledning egner sig ikke til vittigheder
场面	en scene	Bryllupsscenen var meget livlig
场所	et sted	Dette er et offentligt sted, lad være med at ryge
敞开	vidåben	Lad vinduet stå vidåbent et øjeblik
倡导	tale for	Skolen taler for en sund livsstil
倡议	et initiativ	Dette miljøinitiativ fik støtte
畅通	åben	Efter regnen stoppede, blev vejen åben igen
畅销	sælge godt	Denne roman sælger meget godt
超越	overgå	Han overgik endelig sin egen rekord
钞票	en pengeseddel	Der var kun nogle få pengesedler tilbage i tegnebogen
嘲笑	grine ad	Grin ikke ad andres mangler
巢穴	et hi	Jægeren opdagede dyrets hi
朝代	et dynasti	Tang-dynastiet er et dynasti i Kinas historie
潮流	en trend	Unge mennesker følger nøje med i modetrends
撤退	trække sig tilbage	Tropperne trak sig tilbage efter at have modtaget ordren
撤销	ophæve	Retten ophævede den oprindelige dom
沉淀	bundfælde	Slammet vil langsomt bundfælde sig
沉闷	trykkende	Vejret i dag er varmt og trykkende
沉思	gruble	Han sad ved vinduet og grublede
沉重	tung	Denne nyhed gjorde alle tunge om hjertet
沉着	rolig	Bevar roen når du står over for fare
陈旧	gammeldags	Denne maskine er allerede meget gammeldags
陈列	udstille	Mange kulturgenstande er udstillet i udstillingssalen
陈述	fremlægge	Fremlæg venligst fakta klart
称心如意	tilfredsstillende	Dette arbejde er meget tilfredsstillende for ham
衬托	fremhæve	Den hvide væg fremhæver blomsternes farve
称号	en titel	Han fik titlen som fremragende lærer
乘	tage	Jeg tager metroen på arbejde hver dag
呈现	antage	Himlen antog en svag rød farve
城堡	et slot	Der ligger et gammelt slot på bjergtoppen
惩罚	straffe	Skolen vil straffe elever der snyder
成本	en omkostning	Stigende råvarepriser øgede omkostningerne
成交	indgå en handel	Denne handel blev endelig indgået
成天	hele dagen	Han sidder foran computeren hele dagen
成效	et resultat	Den nye ledelsesmetode viste hurtigt resultater
成心	med vilje	Han gjorde dig ikke flov med vilje
成员	et medlem	Hvert medlem skal deltage i mødet
承办	arrangere	Denne virksomhed arrangerede udstillingen
承包	påtage sig	De påtog sig dette projekt
承诺	love	Han lovede at afslutte opgaven til tiden
橙	en appelsin	Jeg købte flere friske appelsiner
澄清	afklare	Lederen kom frem for at afklare misforståelsen
盛	øse	Hun øste en skål suppe op til gæsten
诚挚	oprigtig	Modtag venligst min oprigtige tak
秤	en vægt	Denne vægt er ikke særlig præcis
吃苦	tåle slid	Unge mennesker bør lære at tåle slid
吃力	anstrengende	Det er anstrengende at flytte denne kasse
持久	varig	Succes kræver varig indsats
迟钝	træg	Hans reaktioner har været lidt træge på det seneste
迟缓	langsom	Trafikken blev langsom efter regnen
迟疑	tøve	Hun tøvede et øjeblik før hun svarede
赤道	ækvator	Det er varmt hele året nær ækvator
赤字	et underskud	Virksomheden havde underskud i år
充当	fungere som	Han fungerede som koordinator i projektet
充沛	rigelig	Børnene har rigelig energi
充实	meningsfuld	Denne erfaring gjorde mit liv mere meningsfuldt
充足	nok	Forbered nok vand før rejsen
冲动	en impuls	Tag ikke en beslutning på grund af en øjeblikkelig impuls
冲击	en påvirkning	Ny teknologi har påvirket traditionelle brancher
冲突	en konflikt	Begge sider forsøgte at undgå konflikt
崇拜	beundre	Mange unge beundrer denne forsker
崇高	ædel	En læges ansvar er ædelt
崇敬	respektere	Eleverne respekterer alle denne lærer højt
重叠	overlappe	Disse to opgaver overlapper delvist
稠密	tæt	Befolkningen her er meget tæt
筹备	forberede	De forbereder brylluppet
丑恶	grim	Han afslørede den grimme sandhed bag hændelsen
出路	en vej frem	Uddannelse kan give unge flere veje frem
出卖	forråde	Han ville ikke forråde sine venner
出身	baggrund	Han kommer fra en almindelig familie
出神	opslugt	Hun var opslugt af at lytte til musikken
出息	en fremtid	Dette barn vil få en lovende fremtid
初步	foreløbig	Vi har allerede nået en foreløbig aftale
除	bortset fra	Alle er kommet bortset fra ham
储备	reservere	Virksomheden skal reservere flere midler
储存	lagre	Disse data bliver lagret automatisk
储蓄	spare	Han sparer en del af sin løn hver måned
处分	en disciplinær straf	Skolen gav ham en alvorlig disciplinær straf
处境	en situation	Deres nuværende situation er meget vanskelig
处置	håndtere	Dette gamle udstyr skal håndteres korrekt
触犯	overtræde	At gøre dette vil overtræde loven
川流不息	uden ophør	Køretøjerne på gaden flyder uden ophør
穿越	passere	Toget passerede den lange tunnel
传达	formidle	Formidl venligst denne besked til alle
传单	en flyer	Frivillige delte flyers ud på gaden
传授	videregive	Læreren videregav erfaring til eleverne
船舶	et fartøj	Der ligger mange fartøjer i havnen
喘气	puste	Han blev ved med at puste efter løbeturen
串	trække på snor	Hun trak perlerne på en halskæde
床单	et lagen	Skift venligst lagenet
创立	grundlægge	De grundlagde denne virksomhed sammen
创新	innovation	Virksomhedsudvikling kræver konstant innovation
创业	starte virksomhed	Mange unge vælger at starte virksomhed
创作	skabe	Forfatteren er ved at skabe en lang roman
吹牛	prale	Lad være med at prale, vis beviserne
吹捧	rose overdrevent	Medierne roste dette produkt overdrevent
炊烟	madlagningsrøg	Om aftenen steg madlagningsrøg op fra landsbyen
垂直	lodret	Disse to linjer står lodret på hinanden
锤	en hammer	Arbejderen slog på jernpladen med en hammer
纯粹	udelukkende	Hans hjælp var udelukkende af god vilje
纯洁	ren	Et barns hjerte er meget rent
慈善	velgørenhed	Denne virksomhed deltager ofte i velgørenhedsaktiviteter
慈祥	venlig	Bedstemors smil er meget venligt
磁带	en kassette	Dette gamle kassettebånd kan stadig afspilles
雌雄	han og hun	Hannen og hunnen hos denne fugl har forskellige farver
伺候	pleje	Sygeplejersken plejede patienten omhyggeligt
刺	en torn	Der er mange torne på rosenkvisten
次品	en defekt vare	Disse defekte varer kan ikke sælges
次序	en rækkefølge	Stil jer venligst i kø i rækkefølge
丛	en klynge	Der står en klynge vilde blomster ved vejen
从容	rolig	Hun svarede roligt på spørgsmålet
凑合	duge	Værelset er ikke stort, men det kan godt duge til at bo i
粗鲁	uhøflig	Han taler alt for uhøfligt
窜	smutte	Den kat smuttede pludselig ind i huset
摧残	ødelægge	Langvarig forurening vil ødelægge denne skov
脆弱	skrøbelig	Genstande af glas er meget skrøbelige
搓	gnide	Han gned sine kolde hænder
磋商	forhandle	Begge parter vil fortsætte forhandlingerne
挫折	et tilbageslag	Alle møder tilbageslag
搭	tage	Vi tager bussen til lufthavnen
搭档	en partner	Han har været min arbejdspartner i mange år
搭配	passe sammen	Denne jakke og bukserne passer godt sammen
答辩	et forsvar	Kandidaten forbereder sit specialeforsvar
答复	et svar	Giv mig venligst et svar så hurtigt som muligt
达成	opnå	De to parter opnåede endelig en aftale
打包	pakke	Tjeneren pakkede resterne for os
打官司	gå rettens vej	De gik rettens vej på grund af et kontraktproblem
打击	et slag	Dette nederlag var et stort slag for ham
打架	slås	Studerende der slås på campus, bliver disciplineret
打量	se op og ned på	Hun så mig op og ned
打猎	jage	Jagt er forbudt her
打仗	gå i krig	Ingen ønsker at gå i krig
大不了	i værste fald	I værste fald prøver vi igen i morgen
大臣	en minister	Kongen tilkaldte flere ministre
大伙儿	alle	Alle venter på din beslutning
大肆	i stor stil	Købmanden reklamerede for det nye produkt i stor stil
大体	i hovedtræk	Planen er i hovedtræk uden problemer
大意	hovedideen	Forklar først hovedideen i denne artikel
大致	omtrent	Jeg forstår omtrent hvad der skete
歹徒	en forbryder	Politiet fangede hurtigt forbryderen
代价	en pris	Succes kræver ofte at man betaler en pris
代理	vikariere	Han vikarierer midlertidigt for lederen
带领	lede	Læreren ledte eleverne på besøg på museet
怠慢	forsømme	Vi må ikke forsømme gæsterne
逮捕	arrestere	Politiet arresterede den hovedmistænkte
担保	garantere	Banken kræver at nogen stiller garanti
胆怯	genert	Han var lidt genert under sin første tale
淡季	lavsæson	Flybilletter er billigere i lavsæsonen
淡水	ferskvand	Denne slags fisk kan kun leve i ferskvand
蛋白质	et protein	Æg indeholder meget protein
诞辰	en fødselsdag	I dag er denne forfatters fødselsdag
诞生	opstå	Denne ide opstod under diskussionen
当场	på stedet	Han indrømmede sin fejl på stedet
当初	i begyndelsen	I begyndelsen støttede vi alle denne beslutning
当代	samtiden	Samfundet i samtiden ændrer sig meget hurtigt
当面	ansigt til ansigt	Det er bedst at forklare problemer klart ansigt til ansigt
当前	for øjeblikket	Det vigtigste for øjeblikket er at sikre sikkerheden
当事人	den involverede	Politiet afhører den involverede
当务之急	højeste prioritet	At løse boligproblemet er højeste prioritet
当选	blive valgt	Hun blev uden problemer valgt som formand
党	et parti	Dette parti foreslog en ny politik
档案	et arkiv	Skolen opbevarede elevernes arkiver
档次	et kvalitetsniveau	Dette hotel har et højt kvalitetsniveau
倒闭	gå konkurs	Den lille butik gik konkurs sidste år
导弹	et missil	Nyhederne rapporterede om missiltesten
导航	rutevejledning	Tænd venligst rutevejledningen på telefonen
导向	en orientering	Uddannelsespolitikken bør være orienteret mod retfærdighed
捣乱	lave ballade	Lad være med at lave ballade i timen
盗窃	tyveri	Indkøbscentret styrkede tiltag for at forhindre tyveri
稻谷	risafgrøder	Bønderne høster risafgrøder
得不偿失	ikke kunne betale sig	At købe dårlige materialer for at spare penge kan ikke betale sig
得力	dygtig	Han er en dygtig assistent for lederen
得天独厚	unikt begunstiget	Denne by har unikt begunstigede geografiske fordele
得罪	støde	Jeg vil ikke støde kolleger på grund af en lille sag
灯笼	en lanterne	Der hænger røde lanterner ved døren under forårsfesten
登录	logge ind	Log først ind på din konto
登陆	gå i land	Tyfonen kan gå i land i kystområderne i aften
蹬	træde	Han trådte hårdt til, og cyklen satte sig i bevægelse
等候	vente	Passagererne venter i hallen på at gå om bord
等级	et niveau	Denne software har forskellige medlemsniveauer
瞪	glo vredt	Han gloede vredt på mig
堤坝	en dæmning	Dæmningen skal undersøges omhyggeligt efter det kraftige regnvejr
敌视	fjendtlig	Vi bør ikke være fjendtlige over for forskellige meninger
抵达	ankomme	Flyet ankom til Beijing til tiden
抵抗	modstå	Landsbyboerne modstod oversvømmelsen sammen
抵制	boykotte	Forbrugerne begyndte at boykotte produkter af dårlig kvalitet
地步	en situation	Sagen er endnu ikke blevet så alvorlig
地势	terræn	Terrænet her ligger højt, så vand samler sig ikke let
地质	geologi	Eksperter undersøger de lokale geologiske forhold
递增	stige gradvist	Salget steg gradvist i tre måneder i træk
颠簸	ujævn	Bjergvejen er meget ujævn, så kør forsigtigt
颠倒	vende om	Du vendte rækkefølgen på de to tal om
典礼	en ceremoni	Dimissionsceremonien skal holdes i auditoriet
典型	typisk	Dette er et typisk vellykket eksempel
点缀	pynte	Nogle små blomster pyntede spisebordet
垫	et underlag	Læg venligst dette stykke papir under koppen
奠定	lægge grundlaget	Dette samarbejde lagde grundlaget for et langsigtet forhold
惦记	bekymre sig	Moderen bekymrer sig altid om barnet langt væk
电源	en strømkilde	Sluk venligst for strømmen før du går ud
叼	holde i munden	Den hund holder en knogle i munden
雕刻	skære ud	Han kan lide at skære mønstre ud i træ
雕塑	en skulptur	Der står en skulptur midt på torvet
吊	løfte	Arbejderne brugte en maskine til at løfte stålbjælken
调动	overføre	Virksomheden overførte ham til arbejde i Shanghai
跌	falde	Aktiekursen faldt igen i dag
丁	en terning	Opskriften siger at kartoflerne skal skæres i tern
叮嘱	minde gentagne gange	Læreren mindede os gentagne gange om at tænke på sikkerheden
盯	stirre	Lad være med hele tiden at stirre på andre
定期	regelmæssig	Lægen rådede ham til regelmæssige helbredsundersøgelser
定义	en definition	Forklar først definitionen af dette begreb
丢人	pinlig	At lyve offentligt er virkelig pinligt
丢三落四	glemsom	Han er altid glemsom og glemmer ofte nøglerne når han går ud
东道主	en vært	Som værter bør vi passe godt på gæsterne
东张西望	se sig omkring	Se dig ikke omkring i timen
董事长	en bestyrelsesformand	Bestyrelsesformanden deltog i mødet i dag
冻结	fryse	Banken frøs midlertidigt denne konto
动荡	uro	Krigen holdt dette område ustabilt i lang tid
动机	et motiv	Politiet undersøger hans motiv
动静	lyd og bevægelse	Der var ikke den mindste lyd eller bevægelse i rummet
动力	motivation	Interesse er motivationen for læring
动脉	en arterie	Lægen undersøgte hans arterie
动身	tage af sted	Vi tager af sted til lufthavnen tidligt i morgen
动手	begynde at slås	Sagen er ikke afklaret endnu, så ingen bør begynde at slås
动态	udvikling	Følg venligst løbende projektets udvikling
动员	mobilisere	Skolen mobiliserede eleverne til at deltage i frivilligt arbejde
栋	en bygning	Denne bygning har tyve etager
兜	en lomme	Han lagde nøglerne i jakkelommen
陡峭	stejl	Denne bjergvej er meget stejl
斗争	en kamp	De kæmper for at beskytte miljøet
督促	presse på	Lederen pressede alle til at afslutte opgaven til tiden
毒品	narkotika	Tolden beslaglagde et parti narkotika
独裁	diktatur	Folk er imod diktatur
堵塞	blokere	Affald blokerede kloakken
赌博	gamble	Gambling kan medføre alvorlige konsekvenser
杜绝	sætte en stopper for	Virksomheden kræver at man sætter en stopper for spild
端	bære	Han kom ind med en kop varm te
端午节	dragebådsfestivalen	Vi spiser zongzi under dragebådsfestivalen
端正	korrigere	Elever bør korrigere deres holdning til læring
短促	kort	Han udstødte et kort suk
断定	afgøre	Det er stadig umuligt at afgøre hvem der har ret
断绝	bryde	Efter ulykken mistede landsbyen kontakten med omverdenen
堆积	hobe sig op	Sne hobede sig op langs vejkanten
兑现	opfylde	Han opfyldte endelig sit løfte
对策	et modtræk	Når vi står over for risici, har vi brug for modtræk
对称	symmetrisk	Venstre og højre side af denne bygning er meget symmetriske
对付	håndtere	Dette problem er ikke let at håndtere
对抗	møde	De to hold skal møde hinanden i finalen
对立	stå i modsætning	De to parters holdninger står helt i modsætning til hinanden
对联	dørvers	Under forårsfesten sætter de dørvers på indgangen
对应	svare til	Hvert nummer svarer til en plads
对照	sammenligne	Sammenlign venligst oversættelsen med originalteksten
队伍	en procession	Paradeprocessionen bevægede sig langsomt fremad
顿时	med det samme	Da han hørte nyheden, stivnede han med det samme
哆嗦	ryste	Det var så koldt at han blev ved med at ryste
多元化	diversificering	Virksomheden fremmer diversificering af forretningen
堕落	forfalde	Han vil ikke lade sig selv fortsætte med at forfalde moralsk
额外	ekstra	Denne service kræver et ekstra gebyr
恶心	kvalm	Da jeg lugtede den lugt, blev jeg lidt kvalm
恶化	forværres	Hvis sygdommen ikke behandles, kan den forværres
遏制	begrænse	Regeringen tog tiltag for at begrænse forurening
恩怨	gammelt nag	Det gamle nag mellem de to virksomheder går langt tilbage
而已	kun det	Jeg sagde det bare tilfældigt, kun det
二氧化碳	kuldioxid	Planter optager kuldioxid
发布	offentliggøre	Virksomheden offentliggør et nyt produkt i morgen
发财	blive rig	Han håber at blive rig gennem hårdt arbejde
发呆	sidde i egne tanker	Hun sad ved vinduet i egne tanker
发动	mobilisere	Frivillige mobiliserede beboerne til at rydde gaden
发觉	lægge mærke til	Jeg lagde mærke til at han var lidt nervøs i dag
发射	affyre	Raketten bliver affyret om aftenen
发誓	sværge	Han svor at han aldrig ville lyve igen
发行	udgive	Denne film bliver udgivet næste måned
发炎	betændt	Såret er lidt betændt
发扬	føre videre	Vi bør føre ånden af samarbejde videre
发育	udvikling	Børns fysiske udvikling kræver nok næring
法人	en juridisk person	Denne virksomhed er en selvstændig juridisk person
