source_headword	KA	example_KA
relief	შვება	ამბავმა დიდი შვება მოიტანა.
rely	დაყრდნობა	ბავშვები უფროსების მხარდაჭერას ეყრდნობიან.
remark	შენიშვნა	მისმა შენიშვნამ დაასრულა დისკუსია.
representative	წარმომადგენელი	წარმომადგენელი ადგილობრივ მუშებს შეხვდა.
reputation	რეპუტაცია	სასტუმროს კარგი რეპუტაცია აქვს.
requirement	მოთხოვნა	გამოცდილება ძირითადი მოთხოვნაა.
rescue	გადარჩენა	ისინი წყალდიდობისგან იხსნიან ხალხს.
reserve	დაჯავშნა	ჩვენ ვჯავშნით ადგილებს სტუმრებისთვის.
resident	მცხოვრები	თითოეულმა მცხოვრებმა მიიღო შეტყობინება.
resist	წინააღმდეგობის გაწევა	შეეცადეთ წინააღმდეგობა გაუწიოთ ზეწოლას.
resolve	მოგვარება	მათ დავა მშვიდობიანად მოაგვარეს.
resort	კურორტი	კუნძულის კურორტი მაისში გაიხსნა.
retain	შენარჩუნება	კომპანიას სურს პერსონალის შენარჩუნება.
reveal	გამოვლენა	ანგარიში სიმართლეს გამოავლენს.
revolution	რევოლუცია	რევოლუციამ შეცვალა ქვეყანა.
reward	ჯილდო	შრომა ჯილდოს იმსახურებს.
rhythm	რიტმი	სიმღერას აქვს სტაბილური რიტმი.
rid	მოშორება	მოიშორეთ ეგ ძველი ფაილები.
root	ფესვი	პრობლემის ფესვი ფულია.
rub	გახეხვა	ზედაპირი ტილოთი გახეხეთ.
rubber	რეზინი	რეზინის ლუქი ხელს უშლის გაჟონვას.
rural	სოფლის	ბევრ სოფლის სკოლას სჭირდება მხარდაჭერა.
rush	აჩქარება	ნუ იჩქარებთ ამ გადაწყვეტილების მიღებას.
satellite	თანამგზავრი	თანამგზავრმა ახალი სურათები გამოაგზავნა.
satisfied	კმაყოფილი	მომხმარებელი კმაყოფილი ჩანდა.
satisfy	დაკმაყოფილება	პასუხმა იგი არ დააკმაყოფილა.
saving	დაზოგვა	ენერგიის დაზოგვა ამცირებს ყოველთვიურ ხარჯებს.
scale	მასშტაბი	ზიანის მასშტაბი უზარმაზარი იყო.
scheme	სქემა	სქემა ეხმარება ახალგაზრდა მუშებს.
scream	ყვირილი	მათ გარედან ყვირილი გაიგონეს.
sector	სექტორი	ტექნოლოგიების სექტორი იზრდება.
secure	დაცვა	მის დასაცავად ჩაკეტეთ კარი.
seek	ძიება	ისინი რჩევას ეძებენ ექსპერტებისგან.
select	არჩევა	აირჩიეთ საუკეთესო ვარიანტი.
selection	არჩევანი	მაღაზია გვთავაზობს ფართო არჩევანს.
self	თავი	მან აჩვენა თავისი ნამდვილი სახე.
senior	უფროსი	უფროსმა ექიმმა შეამოწმა პაციენტი.
sensitive	მგრძნობიარე	ეს თემა ძალიან მგრძნობიარეა.
sequence	თანმიმდევრობა	მიჰყევით ნაბიჯების თანმიმდევრობას.
session	სესია	ტრენინგის სესია შუადღისას იწყება.
settle	მოგვარება	მათ დავა სწრაფად მოაგვარეს.
severe	ძლიერი	ქარიშხალმა ძლიერი წყალდიდობა გამოიწვია.
shade	ჩრდილი	დასხედით ჩრდილში.
shadow	ჩრდილი	ფანჯარაში ჩრდილმა გაიარა.
shallow	არაღრმა	აქ ტბა არაღრმაა.
shame	სირცხვილი	ტყუილის თქმის შემდეგ სირცხვილი იგრძნო.
shelter	თავშესაფარი	სკოლამ უზრუნველყო საგანგებო თავშესაფარი.
shock	შოკი	გადაწყვეტილება შოკი იყო.
shocked	შოკირებული	იგი ახალმა ამბავმა შოკირებული დატოვა.
shooting	სროლა	სროლა სადგურთან მოხდა.
shot	დარტყმა	გამარჯვების დარტყმამ ყველა გააკვირვა.
significant	მნიშვნელოვანი	აღმოჩენა მნიშვნელოვანი იყო.
significantly	მნიშვნელოვნად	გასულ წელს ხარჯები მნიშვნელოვნად გაიზარდა.
silence	სიჩუმე	ოთახში სიჩუმე ჩამოვარდა.
silk	აბრეშუმი	კაბა აბრეშუმისგან იყო დამზადებული.
sincere	გულწრფელი	გთხოვთ, მიიღოთ ჩემი გულწრფელი მადლობა.
slave	მონა	კანონმა ყველა მონა გაათავისუფლა.
slide	სრიალი	ბავშვი სასრიალოდან ჩამოსრიალდა.
slight	ოდნავი	იყო ოდნავი შეფერხება.
slip	ფეხის დაცურება	სველ იატაკზე ფეხი არ დაგიცურდეთ.
slope	ფერდობი	ბილიკი ციცაბო ფერდობს მიუყვება.
solar	მზის	სახლი მზის ენერგიას იყენებს.
somewhat	ოდნავ	ინსტრუქციები ოდნავ დამაბნეველი იყო.
soul	სული	მუსიკამ მისი სული აამაღლა.
specialist	სპეციალისტი	სპეციალისტმა პაციენტი გასინჯა.
species	სახეობა	ეს სახეობა მდინარეებთან ახლოს ბინადრობს.
spiritual	სულიერი	მან სულიერი გამოცდილება აღწერა.
split	გაყოფა	მათ ანგარიში თანაბრად გაიყვეს.
sponsor	სპონსორობა	კომპანია ღონისძიებას დაასპონსორებს.
stable	სტაბილური	პაციენტის მდგომარეობა სტაბილურია.
stare	მიშტერება	უცნობებს ნუ მიაშტერდებით.
status	სტატუსი	მისი სტატუსი ერთ ღამეში შეიცვალა.
steady	მუდმივი	შეინარჩუნეთ მუდმივი სიჩქარე.
steel	ფოლადი	ხიდი ფოლადისგან არის დამზადებული.
steep	ციცაბო	ბორცვი ციცაბოა.
sticky	წებოვანი	იატაკი წებოვანია.
stiff	დაჭიმული	მას მხარი დაეჭიმა.
stock	მარაგი	მაღაზიაში მარაგი აღარ დარჩა.
stream	ნაკადული	მინდორზე პატარა ნაკადული მოედინება.
stretch	გაჭიმვა	ფრენის შემდეგ ფეხები გაჭიმეთ.
strict	მკაცრი	სკოლას მკაცრი წესები აქვს.
strike	გაფიცვა	მუშები შესაძლოა ხვალ გაიფიცონ.
struggle	წვალება	ბევრი ოჯახი ქირის გადახდაზე წვალობს.
submit	წარდგენა	ფორმა პარასკევამდე წარადგინეთ.
sum	ჯამი	ჯამი მოსალოდნელზე მაღალი იყო.
surgery	ოპერაცია	ოპერაცია ორი საათი გაგრძელდა.
surround	გარშემორტყმა	სახლს მაღალი ხეები აკრავს გარს.
surrounding	მიმდებარე	მიმდებარე ტერიტორია მშვიდია.
suspect	ეჭვმიტანა	პოლიციას ეჭვი ადგილობრივ კაცზე აქვს.
swear	გინება	კლასში ნუ შეიგინებით.
sweep	დაგვა	სტუმრების მოსვლამდე იატაკი დაგავეთ.
sympathy	თანაგრძნობა	მან მსხვერპლთა მიმართ თანაგრძნობა გამოხატა.
tale	ზღაპარი	ბებიამ უცნაური ზღაპარი მოყვა.
tank	ავზი	ავზში სუფთა წყალია.
tear1	დახევა	დოკუმენტი არ დახიოთ.
tear2	ცრემლი	ლოყაზე ცრემლი ჩამოუგორდა.
temporary	დროებითი	ოფისი დროებითი თავშესაფარია.
therapy	თერაპია	ფიზიოთერაპია მის გამოჯანმრთელებას დაეხმარა.
threat	მუქარა	შეტყობინება მუქარას შეიცავდა.
threaten	დამუქრება	ქარიშხალმა შესაძლოა მოსავალს საფრთხე შეუქმნას.
thus	ამგვარად	გზა დაკეტილი იყო; ამგვარად, ჩვენ დაველოდეთ.
tone	ტონი	მისი ტონი მშვიდად ჟღერდა.
tough	რთული	ინტერვიუ რთული იყო.
transfer	გადაცემა	ისინი ყოველ ღამე გადასცემენ მონაცემებს.
transform	გარდაქმნა	ახალი პოლიტიკა გარდაქმნის სერვისებს.
transition	გადასვლა	გადასვლას რამდენიმე თვე დასჭირდა.
trial	სასამართლო პროცესი	სასამართლო პროცესი მომავალ კვირას იწყება.
tropical	ტროპიკული	აქ ტროპიკული შტორმები ხშირია.
truly	ნამდვილად	ნამდვილად ვაფასებ თქვენს დახმარებას.
trust	ნდობა	ნდობის მოპოვებას დრო სჭირდება.
tune	მელოდია	ჯგუფმა მხიარული მელოდია დაუკრა.
tunnel	გვირაბი	გვირაბი მდინარის ქვეშ გადის.
ultimately	საბოლოოდ	საბოლოოდ, გეგმამ გაამართლა.
unconscious	უგონო	პაციენტი უგონო მდგომარეობაში დარჩა.
unexpected	მოულოდნელი	შეფერხება მოულოდნელი იყო.
unique	უნიკალური	თითოეული დიზაინი უნიკალურია.
universe	სამყარო	სამყარო ფართოვდება.
unknown	უცნობი	სახელი უცნობი რჩება.
upper	ზედა	ზედა თარო ცარიელია.
upwards	ზევით	კვამლი ზევით ავიდა.
urban	ურბანული	ურბანულ ტერიტორიებს უკეთესი ტრანსპორტი სჭირდება.
urge	მოწოდება	ექიმები მოუწოდებენ ხალხს ივარჯიშონ.
vary	განსხვავება	ფასები რეგიონების მიხედვით იცვლება.
vast	ვრცელი	უდაბნო ვრცელ ტერიტორიას მოიცავს.
venue	ადგილი	ადგილი ხუთას ადამიანს იტევს.
via	საშუალებით	გააგზავნეთ დოკუმენტი ელექტრონული ფოსტის საშუალებით.
victory	გამარჯვება	გუნდმა გამარჯვება აღნიშნა.
violence	ძალადობა	ქალაქმა განიცადა პოლიტიკური ძალადობა.
virtual	ვირტუალური	შეხვედრა ვირტუალურია.
vision	ხედვა	მისმა ხედვამ ჩამოაყალიბა კომპანია.
visual	ვიზუალური	ანგარიში მოიცავს ვიზუალურ მაგალითებს.
vital	სასიცოცხლო	წყალი სასიცოცხლოდ მნიშვნელოვანია.
vitamin	ვიტამინი	ფორთოხალი შეიცავს C ვიტამინს.
volume	ხმა	ჩაუწიეთ ხმას.
wage	ხელფასი	მუშებმა უფრო მაღალი ხელფასი მოითხოვეს.
weakness	სისუსტე	გეგმას ერთი სისუსტე აქვს.
wealth	სიმდიდრე	მისი სიმდიდრე ვაჭრობიდან მოვიდა.
wealthy	მდიდარი	მდიდარმა ოჯახმა დააფინანსა მუზეუმი.
whereas	მაშინ როცა	მას ჩაი უყვარს, მაშინ როცა მე ყავას ვანიჭებ უპირატესობას.
wherever	სადაც არ უნდა	დაჯექით იქ, სადაც თავს კომფორტულად იგრძნობთ.
whisper	ჩურჩული	გთხოვთ, ცერემონიის დროს იჩურჩულოთ.
whom	ვის	ვის მოიწვიეთ?
widely	ფართოდ	წიგნი ფართოდ იკითხება.
wildlife	ველური ბუნება	პარკი იცავს ადგილობრივ ველურ ბუნებას.
willing	მზად	ის მზადაა დასახმარებლად.
wind2	დახვევა	დაახვიეთ კაბელი კოჭაზე.
wire	მავთული	მავთული აკავშირებს ორ მოწყობილობას.
wise	ბრძნული	ეს იყო ბრძნული არჩევანი.
witness	მოწმე	მოწმემ აღწერა ავარია.
wound	ჭრილობა	ფრთხილად გაიწმინდეთ ჭრილობა.
wrap	შეფუთვა	საჩუქარი ქაღალდში შეფუთეთ.
zone	ზონა	ეს ზონა დახურულია ტრანსპორტისთვის.
