simplified	TR	example_TR
除了	dışında; ayrıca	Kahvenin dışında çay da istiyorum.
船	tekne; gemi	O şehre gemiyle gidiyoruz.
春	ilkbahar	İlkbaharda çok çiçek olur.
词典	sözlük	Bu sözlük çok yararlı.
聪明	zeki; akıllı	Bu çocuk çok zeki.
打扫	temizlemek; süpürmek	Hafta sonunda odayı temizlerim.
打算	planlamak; niyetlenmek	Yarın için ne planın var?
带	getirmek; yanında götürmek	Lütfen pasaportunu getir.
担心	endişelenmek	Endişelenme, sana yardım edeceğim.
蛋糕	pasta	Bu pasta çok tatlı.
当然	elbette; tabii	Elbette yapabilirsin.
地	zarf parçacığı; bir şekilde	O mutlu bir şekilde gülümsedi.
灯	lamba; ışık	Lütfen ışığı aç.
地方	yer; bölge	Bu yer çok sakin.
地铁	metro	Her gün işe metroyla gidiyorum.
地图	harita	Haritada okulu arıyorum.
电梯	asansör	Asansör solda.
电子邮件	elektronik posta	Öğretmene elektronik posta gönderiyorum.
东	doğu	Güneş doğudan doğar.
冬	kış	Kışın sıcak çay içmeyi severim.
动物	hayvan	Panda Çin'de ünlü bir hayvandır.
短	kısa	Bu pantolon çok kısa.
段	paragraf; bölüm	Lütfen bu paragrafı oku.
锻炼	egzersiz yapmak; çalıştırmak	Her sabah egzersiz yaparım.
多么	ne kadar; ne	Bu çevre ne kadar iyi!
饿	aç	Açım ve ekmek yemek istiyorum.
耳朵	kulak	Kulağım biraz ağrıyor.
发	göndermek; yayımlamak	Akşamları elektronik posta gönderirim.
发烧	ateşi olmak	Onun ateşi var ve okula gidemiyor.
发现	bulmak; fark etmek	Bu yöntemin iyi olduğunu fark ettim.
方便	uygun; rahat	Metroya binmek rahat.
放	koymak; bırakmak	Lütfen kitabı masanın üzerine koy.
放心	rahatlamak; endişelenmemek	Endişelenme, zamanında geleceğim.
分	bölmek; ayırmak	Lütfen pastayı herkese bölüştür.
复习	tekrar etmek; gözden geçirmek	Sınavdan önce tekrar yapmam gerek.
附近	yakın; çevre	Yakında bir lokanta var.
干净	temiz; düzenli	Bu oda çok temiz.
感冒	nezle olmak; soğuk algınlığı	Nezleyim ve dinlenmek istiyorum.
感兴趣	ilgi duymak	Çinceye çok ilgi duyuyorum.
刚才	az önce	Az önce seni kim aradı?
个子	boy; vücut yapısı	O uzun boylu.
根据	göre; dayanarak	Haritaya göre okul doğuda.
跟	ile; takip etmek	Bir arkadaşımla parka gidiyorum.
更	daha; daha da	Bugün dünden daha soğuk.
公斤	kilogram	Bu elmalar bir kilogram geliyor.
公园	park	Çocuklar parkta oyun oynuyor.
故事	hikaye	Dedem bana bir hikaye anlatıyor.
刮风	rüzgar esmek	Bugün rüzgar esiyor, bisiklete binme.
关	kapatmak; söndürmek	Lütfen kapıyı kapat.
关系	ilişki	İş arkadaşımla ilişkim iyi.
关心	ilgilenmek; önemsemek	Annem sağlığımla çok ilgilenir.
关于	hakkında	Bu kitap Çin kültürü hakkında.
国家	ülke; devlet	Çin çok büyük bir ülkedir.
过	deneyim parçacığı; daha önce yapmak	Pekin'e gittim.
过去	geçmiş; eskiden	Eskiden burada metro yoktu.
还是	yoksa; hâlâ	Çay mı kahve mi içersin?
害怕	korkmak	Sınavdan korkmuyorum.
黑板	tahta	Öğretmen tahtaya karakter yazıyor.
后来	sonra; daha sonra	Sonra parka gittik.
护照	pasaport	Lütfen pasaportunu getir.
96:花	harcamak; tutmak	Telefonu almak iki bin yuan tuttu.
97:花	çiçek	Masanın üzerinde bir çiçek var.
画	çizmek; resim	Kız kardeşim panda çizmeyi sever.
坏	bozuk; kötü	Bilgisayarım bozuk.
欢迎	karşılamak; hoş geldiniz	Evime hoş geldin.
环境	çevre	Bu okulun çevresi çok iyi.
还	geri vermek	Lütfen kitabımı yarın geri ver.
换	değiştirmek; takas etmek	Gömleği değiştirmek istiyorum.
黄河	Sarı Irmak	Sarı Irmak çok uzun.
回答	cevap vermek; cevap	Lütfen soruma cevap ver.
会议	toplantı; konferans	Toplantı saat dokuzda başlıyor.
或者	veya; ya da	Metroya veya otobüse binebilirsin.
几乎	neredeyse	O neredeyse her gün egzersiz yapar.
机会	fırsat; şans	Bu iyi bir fırsat.
极	çok; son derece	O son derece mutlu.
季节	mevsim	Sonbahar en sevdiğim mevsim.
记得	hatırlamak	Kredi kartını getirmeyi hatırlıyor musun?
检查	kontrol etmek; muayene etmek	Doktor beni muayene ediyor.
简单	basit; kolay	Bu cümle çok basit.
健康	sağlık; sağlıklı	Egzersiz sağlık için iyidir.
见面	görüşmek; buluşmak	Yarın okulda buluşacağız.
讲	anlatmak; konuşmak	Öğretmen çok açık anlatıyor.
教	öğretmek	O bana Çince karakter yazmayı öğretiyor.
脚	ayak; bacak	Ayağım biraz ağrıyor.
角	köşe; açı	Dükkan sokağın köşesinde.
接	almak; karşılamak; cevaplamak	Bir arkadaşımı almak için havaalanına gidiyorum.
街道	sokak; cadde	Bu sokak çok temiz.
结婚	evlenmek	Gelecek yıl evlenecekler.
结束	bitmek; sona ermek	Maç çoktan bitti.
节目	televizyon yayını	Bu televizyon yayını çok iyi.
节日	bayram; festival	Bahar Bayramı Çin'in önemli bir bayramıdır.
解决	çözmek	Bu sorun çoktan çözüldü.
借	ödünç almak; ödünç vermek	Sözlüğünü ödünç almak istiyorum.
经常	sık sık	Sık sık kütüphaneye giderim.
经过	yanından geçmek; geçmek	Her gün bu parkın yanından geçerim.
经理	yönetici	Yönetici toplantıda.
久	uzun süre	Burada uzun süredir yaşıyorum.
旧	eski; kullanılmış	Bu giysi çok eski.
句子	cümle	Lütfen bir cümle yaz.
决定	karar vermek; karar	Çince öğrenmeye karar verdim.
可爱	sevimli	Bu kedi çok sevimli.
渴	susamış	Susadım ve su içmek istiyorum.
刻	çeyrek saat; an	Saat sekizi çeyrek geçiyor.
客人	misafir; müşteri	Bugün evimize bir misafir geldi.
空调	klima	Lütfen klimayı aç.
口	ağız; yudum	O bir yudum su içti.
哭	ağlamak	Çocuk neden ağlıyor?
裤子	pantolon	Bu pantolon yeni.
筷子	yemek çubuğu	Yemek çubuklarıyla yemek yiyebilirim.
蓝	mavi	Gökyüzü mavi.
老	yaşlı; eski	Öğretmenim yaşlı değil.
离开	ayrılmak; terk etmek	O yarın Pekin'den ayrılıyor.
礼物	hediye	Bu senin için bir hediye.
历史	tarih	Çin tarihini severim.
脸	yüz	Onun yüzü çok kırmızı.
练习	alıştırma; pratik yapmak	Lütfen Çince konuşmayı daha çok pratik yap.
辆	taşıtlar için ölçü sözü	Kapının önünde bir taksi var.
聊天	sohbet etmek	Bir arkadaşımla sohbet ediyorum.
了解	anlamak; tanımak	Çin kültürünü tanımak istiyorum.
邻居	komşu	Komşum çok sıcakkanlı.
留学	yurt dışında okumak	O Çin'de yurt dışında okuyor.
楼	bina; kat	Büro üçüncü katta.
绿	yeşil	İlkbaharda ağaçlar yeşillendi.
马	at	O at çok hızlı koşuyor.
马上	hemen; derhal	Hemen döneceğim.
满意	memnun	Bu odadan çok memnunum.
帽子	şapka	Bu şapka çok güzel.
米	metre; pirinç	Bu masa iki metre uzunluğunda.
面包	ekmek	Kahvaltıda ekmek yerim.
明白	anlamak; açık	Ne demek istediğini anlıyorum.
拿	almak; tutmak	Lütfen benim için bir kitap al.
奶奶	babaanne; büyükanne	Babaannem müzik dinlemeyi sever.
南	güney	Okul şehrin güneyinde.
难	zor	Bu soru zor değil.
难过	üzgün	O bugün biraz üzgün.
年级	sınıf; seviye	Kız kardeşim üçüncü sınıfta.
年轻	genç	Bu yönetici çok genç.
鸟	kuş	Ağaçta bir kuş var.
努力	çabalamak; çalışkan	O çok çalışkan bir şekilde ders çalışıyor.
爬山	dağa tırmanmak; dağ yürüyüşü yapmak	Bu hafta sonu dağa çıkacağız.
盘子	tabak; tepsi	Masanın üzerinde üç tabak var.
胖	şişman; kilolu	Bu köpek biraz şişman.
啤酒	bira	Babam bira içmez.
皮鞋	deri ayakkabı	Bu deri ayakkabı çifti pahalı.
瓶子	şişe	Şişede su var.
其实	aslında	Aslında bira sevmem.
其他	diğer; başkaları	Diğer sınıf arkadaşlarının hepsi geldi.
奇怪	tuhaf; garip	Bu ses çok tuhaf.
骑	binmek	O her gün işe bisikletle gider.
起飞	havalanmak	Uçak yakında havalanıyor.
起来	ayağa kalkmak; kalkmak	Lütfen ayağa kalk.
清楚	açık; net	Sen çok net konuştun.
请假	izin istemek	O nezle oldu ve izin istemesi gerekiyor.
秋	sonbahar	Sonbaharda hava rahat olur.
裙子	etek	Bu etek çok güzel.
然后	sonra	Önce yemek yerim, sonra ödev yaparım.
热情	samimi; hevesli	Çinli arkadaşlar çok samimi.
认为	düşünmek; sanmak	Bu yöntemin iyi olduğunu düşünüyorum.
认真	ciddi; dikkatli	Lütfen öğretmeni dikkatle dinle.
容易	kolay	Bu Çince karakteri yazmak kolay.
如果	eğer	Eğer yağmur yağarsa metroyla gideriz.
伞	şemsiye	Yağmur yağıyor, lütfen şemsiye al.
上网	ağa bağlanmak; çevrime girmek	Akşam haritaya bakmak için ağa bağlanırım.
声音	ses	Sesin güzel geliyor.
生气	kızgın; sinirli	Kızma, bunu bilerek yapmadım.
世界	dünya	Dünya çok büyük.
试	denemek; sınamak	Bu deri ayakkabıları denemek istiyorum.
瘦	zayıf; ince	O eskisinden daha zayıf.
叔叔	amca	Amcam beni okula götürür.
舒服	rahat	Bu sandalye rahat.
数学	matematik	Matematik dersi ilginç.
树	ağaç	Evin önünde bir ağaç var.
刷牙	diş fırçalamak	Her sabah dişlerimi fırçalarım.
双	çift	Bir çift deri ayakkabı aldım.
水平	seviye	Onun Çince seviyesi yüksek.
司机	şoför; sürücü	Şoför kapının önünde bizi bekliyor.
太阳	güneş	Bugün güneş çok güçlü.
特别	özellikle; özel	Bu yayın özellikle ilginç.
疼	ağrımak; ağrılı	Bacağım ağrıyor.
提高	yükseltmek; geliştirmek	Daha çok alıştırma Çince seviyesini geliştirebilir.
体育	spor; beden eğitimi	Beden eğitimi dersini severim.
甜	tatlı	Bu içecek çok tatlı.
条	uzun nesneler için ölçü sözü; adet	Bir etek aldım.
同事	iş arkadaşı	İş arkadaşım çok meşgul.
同意	kabul etmek; aynı fikirde olmak	Kararını kabul ediyorum.
头发	saç	Onun saçları uzun.
突然	ani; aniden	O aniden gitti.
图书馆	kütüphane	Kütüphane bugün açık değil.
腿	bacak	Dağa çıktıktan sonra bacaklarım ağrıyor.
完成	tamamlamak	Ödevi bitirdim.
碗	kase	Masanın üzerinde iki kase var.
万	on bin; çok sayıda	Bu şehirde on bin kişi var.
忘记	unutmak	Pasaportunu getirmeyi unutma.
为	için; yüzünden	Senin adına sevindim.
为了	için; amacıyla	Sınav için her gün tekrar yapıyor.
位	kişiler için kibar ölçü sözü	Bu öğretmen çok ünlü.
文化	kültür	Çin kültürünü tanımak istiyorum.
西	batı	Banka okulun batısında.
习惯	alışkanlık; alışmak	Sabah egzersiz yapmaya alışkınım.
洗手间	tuvalet	Tuvalet sağda.
洗澡	yıkanmak; duş almak	Akşam duş alırım.
夏	yaz	Yaz çok sıcak.
先	önce; ilk olarak	Önce sen ye.
相信	inanmak	Onun geleceğine inanıyorum.
香蕉	muz	Üç muz aldım.
像	benzemek; gibi olmak	Bu bulut kuşa benziyor.
向	yön; -e doğru	Lütfen sola doğru yürü.
小心	dikkatli olmak	Yağmur yağıyor, yolda dikkatli ol.
校长	okul müdürü	Okul müdürü büroda.
新闻	haber	Babam her gün haberleri izler.
新鲜	taze	Bu meyve çok taze.
信用卡	kredi kartı	Kredi kartıyla ödeyebilir miyim?
行李箱	bavul	Bavulum ağır.
熊猫	panda	Çocuklar panda izlemeyi sever.
需要	ihtiyaç duymak; gerek duymak	Yardımına ihtiyacım var.
选择	seçmek; seçim	Hangi gömleği seçiyorsun?
要求	istemek; talep etmek	Öğretmen ödevi dikkatli yapmamızı istiyor.
爷爷	dede	Büyükbabam her gün parka gider.
一直	sürekli; hep	O seni sürekli bekliyor.
一定	mutlaka; kesinlikle	Mutlaka geleceğim.
一共	toplam	Bu kitaplar toplam ne kadar?
一会儿	bir süre; biraz	Lütfen beni biraz bekle.
一样	aynı	Bu iki fincan aynı büyüklükte.
以前	eskiden; önce	Eskiden Pekin'de yaşardım.
一般	sıradan; ortalama	Bu lokantanın yemeği ortalama.
一边	bir taraf; bir yandan	O müzik dinlerken ödev yapıyor.
音乐	müzik	Çin müziğini severim.
银行	banka	Banka büyük mağazanın yanında.
饮料	içecek	Bu içecek güzel.
应该	gerekir; -meli	Daha çok dinlenmelisin.
影响	etki; etkilemek	Hava durumu maçı etkileyecek.
用	kullanmak	Ödev yapmak için bilgisayar kullanıyorum.
游戏	oyun	Çocuklar oyun oynuyor.
有名	ünlü	Bu lokanta çok ünlü.
又	yine; de	O bugün yine geç kaldı.
遇到	karşılaşmak; rastlamak	Sokakta öğretmenle karşılaştım.
元	yuan; para birimi	Bu sözlük elli yuan.
愿意	istemek; razı olmak	Katılmak ister misin?
月亮	ay	Bu gece ay parlak.
越	ne kadar... o kadar...	Çince öğrendikçe daha ilginç oluyor.
站	istasyon; ayakta durmak	O kapıda duruyor.
张	düz nesneler için ölçü sözü	Lütfen bana bir harita ver.
长	büyümek	Çocuklar hızlı büyür.
着急	endişelenmek; telaşlanmak	Telaşlanma, asansör yakında gelecek.
照顾	bakmak; ilgilenmek	O hasta büyükannesine bakıyor.
照片	fotoğraf	Bu fotoğraf güzel görünüyor.
照相机	fotoğraf makinesi	Fotoğraf çekmek için fotoğraf makinesi kullanıyorum.
283:只	sadece; yalnız	Sadece bir fincan çay içiyorum.
284:只	hayvanlar için ölçü sözü	Masanın altında bir kedi var.
只有…才…	ancak... ise...	Ancak dikkatle tekrar yaparsan sınavda iyi sonuç alırsın.
中间	orta; ortada	Masa odanın ortasında.
中文	Çince; Çin yazısı	Her gün Çince öğreniyorum.
终于	sonunda	Sonunda vardık.
种	tür; çeşit	Ne tür içecek seversin?
重要	önemli	Pasaport çok önemli.
周末	hafta sonu	Hafta sonu parka gitmek istiyorum.
主要	başlıca; ana	Onun başlıca hobisi müzik.
注意	dikkat etmek	Lütfen öğretmene dikkat et.
自己	kendi; kendisi	Ödevi kendim yapmak istiyorum.
自行车	bisiklet	Bisikletim aşağıda.
总是	her zaman	O her zaman büroya erken gelir.
嘴	ağız	Lütfen ağzını aç.
最后	son; sonunda	Sonunda hepimiz kabul ettik.
最近	son zamanlarda	Son zamanlarda meşgulüm.
作业	ödev	Ödevi henüz bitirmedim.
