hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
3699:财物	财物	财物	property; belongings	请保管好个人财物。	Qǐng bǎo guǎn hǎo gè rén cáiwù.	Please take good care of your personal belongings.
3700:材质	材质	材质	material; texture	这件衣服的材质很舒服。	Zhè jiàn yī fu de cáizhì hěn shū fu.	The material of this piece of clothing is very comfortable.
3707:参展	参展	参展	to participate in an exhibition	公司今年第一次参展。	Gōng sī jīn nián dì yī cì cānzhǎn.	The company is participating in an exhibition for the first time this year.
3710:草原	草原	草原	grassland; prairie	夏天的草原非常美。	Xià tiān de cǎoyuán fēi cháng měi.	The grassland is very beautiful in summer.
3711:侧	侧	侧	side	他站在路的左侧。	Tā zhàn zài lù de zuǒ cè.	He stood on the left side of the road.
3716:层面	层面	层面	level; aspect	这个问题需要从法律层面分析。	Zhè ge wèn tí xū yào cóng fǎ lǜ céngmiàn fēn xī.	This issue needs to be analyzed from a legal aspect.
3717:叉	叉	叉	fork	服务员给了我一把叉。	Fú wù yuán gěi le wǒ yì bǎ chā.	The waiter gave me a fork.
3718:差异	差异	差异	difference; disparity	南北气候差异很大。	Nán běi qì hòu chāyì hěn dà.	There is a big difference between northern and southern climates.
3720:查询	查询	查询	to look up; inquire	你可以在网上查询航班信息。	Nǐ kě yǐ zài wǎng shàng cháxún háng bān xìn xī.	You can look up flight information online.
3721:拆除	拆除	拆除	to demolish; remove	这座旧桥下个月将被拆除。	Zhè zuò jiù qiáo xià ge yuè jiāng bèi chāichú.	This old bridge will be demolished next month.
3722:产出	产出	产出	to produce; output	这片土地每年产出很多粮食。	Zhè piàn tǔ dì měi nián chǎnchū hěn duō liáng shi.	This land produces a lot of grain every year.
3723:产地	产地	产地	place of origin; production area	这种茶的产地在云南。	Zhè zhǒng chá de chǎndì zài Yún nán.	The place of origin of this tea is in Yunnan.
3724:肠	肠	肠	intestine	医生检查了他的肠。	Yī shēng jiǎn chá le tā de cháng.	The doctor examined his intestine.
3725:长短	长短	长短	length; relative length	这两根绳子的长短不同。	Zhè liǎng gēn shéng zi de chángduǎn bù tóng.	These two ropes are different in length.
3726:常规	常规	常规	routine; conventional	这是医院的常规检查。	Zhè shì yī yuàn de chángguī jiǎn chá.	This is a routine examination at the hospital.
3727:常年	常年	常年	year-round; all year	这里常年气候温和。	Zhè lǐ chángnián qì hòu wēn hé.	The climate here is mild all year round.
3728:长寿	长寿	长寿	long-lived; longevity	健康的生活习惯有助于长寿。	Jiàn kāng de shēng huó xí guàn yǒu zhù yú chángshòu.	Healthy living habits help with longevity.
3729:常温	常温	常温	room temperature; normal temperature	这种药可以在常温下保存。	Zhè zhǒng yào kě yǐ zài chángwēn xià bǎo cún.	This medicine can be stored at room temperature.
3730:场次	场次	场次	session; show time	今天演出有三个场次。	Jīn tiān yǎn chū yǒu sān gè chǎngcì.	Today's performance has three show times.
3731:场地	场地	场地	site; venue	学校提供了比赛场地。	Xué xiào tí gōng le bǐ sài chǎngdì.	The school provided the competition venue.
3732:场馆	场馆	场馆	venue; stadium	新场馆可以容纳两万人。	Xīn chǎngguǎn kě yǐ róng nà liǎng wàn rén.	The new venue can hold twenty thousand people.
3734:厂家	厂家	厂家	manufacturer; factory	这个厂家提供售后服务。	Zhè ge chǎngjiā tí gōng shòu hòu fú wù.	This manufacturer provides after-sales service.
3735:场景	场景	场景	scene; scenario	电影里的这个场景很感人。	Diàn yǐng lǐ de zhè ge chǎngjǐng hěn gǎn rén.	This scene in the movie is very moving.
3737:厂商	厂商	厂商	manufacturer; vendor	多家厂商参加了发布会。	Duō jiā chǎngshāng cān jiā le fā bù huì.	Many vendors attended the launch event.
3746:炒股	炒股	炒股	to trade stocks	他最近开始学习炒股。	Tā zuì jìn kāi shǐ xué xí chǎogǔ.	He recently started learning to trade stocks.
3748:撤回	撤回	撤回	to withdraw; retract	公司撤回了这项申请。	Gōng sī chèhuí le zhè xiàng shēn qǐng.	The company withdrew this application.
3752:撑	撑	撑	to support; hold up	这把伞撑不开了。	Zhè bǎ sǎn chēng bù kāi le.	This umbrella can no longer be opened.
3755:称作	称作	称作	to call; be called	人们把这里称作城市花园。	Rén men bǎ zhè lǐ chēngzuò chéng shì huā yuán.	People call this place the city garden.
3756:成	成	成	one tenth; proportion	今年收入增加了三成。	Jīn nián shōu rù zēng jiā le sān chéng.	Income increased by thirty percent this year.
3763:成千上万	成千上万	成千上万	thousands upon thousands	成千上万的人参加了游行。	Chéngqiān-shàngwàn de rén cān jiā le yóu xíng.	Thousands upon thousands of people joined the march.
3766:诚信	诚信	诚信	integrity; honest and trustworthy	做生意最重要的是诚信。	Zuò shēng yì zuì zhòng yào de shì chéngxìn.	The most important thing in doing business is integrity.
3768:城镇	城镇	城镇	town; urban settlement	这个城镇靠近海边。	Zhè ge chéngzhèn kào jìn hǎi biān.	This town is near the seaside.
3770:持有	持有	持有	to hold; possess	他持有这家公司的股份。	Tā chíyǒu zhè jiā gōng sī de gǔ fèn.	He holds shares in this company.
3771:尺	尺	尺	chi; Chinese foot	这块布长三尺。	Zhè kuài bù cháng sān chǐ.	This piece of cloth is three chi long.
3772:尺寸	尺寸	尺寸	size; dimensions	请确认箱子的尺寸。	Qǐng què rèn xiāng zi de chǐcùn.	Please confirm the dimensions of the box.
3778:重建	重建	重建	to rebuild	地震后，村庄开始重建。	Dì zhèn hòu, cūn zhuāng kāi shǐ chóngjiàn.	After the earthquake, the village began to rebuild.
3780:抽奖	抽奖	抽奖	prize draw; lottery draw	买票的人可以参加抽奖。	Mǎi piào de rén kě yǐ cān jiā chōujiǎng.	People who buy tickets can join the prize draw.
3782:愁	愁	愁	to worry	他正为工作的事发愁。	Tā zhèng wèi gōng zuò de shì fā chóu.	He is worrying about work.
3785:出场	出场	出场	to appear; enter the stage	主角最后一个出场。	Zhǔ jué zuì hòu yí gè chūchǎng.	The main character appeared last.
3786:初等	初等	初等	elementary; primary	这本书介绍初等数学。	Zhè běn shū jiè shào chūděng shù xué.	This book introduces elementary mathematics.
3787:出境	出境	出境	to leave a country; exit a border	办理出境手续需要护照。	Bàn lǐ chūjìng shǒu xù xū yào hù zhào.	A passport is needed to complete exit procedures.
3788:出力	出力	出力	to make an effort; contribute labor	这个项目大家都愿意出力。	Zhè ge xiàng mù dà jiā dōu yuàn yì chūlì.	Everyone is willing to contribute effort to this project.
3789:出名	出名	出名	famous; well-known	这家小店因为面包很出名。	Zhè jiā xiǎo diàn yīn wèi miàn bāo hěn chūmíng.	This small shop is well known for its bread.
3790:出入	出入	出入	entry and exit; access	小区出入需要刷卡。	Xiǎo qū chūrù xū yào shuā kǎ.	Entry and exit in the residential area require swiping a card.
3792:出游	出游	出游	to go on a trip	假期很多家庭选择出游。	Jià qī hěn duō jiā tíng xuǎn zé chūyóu.	Many families choose to go on a trip during the holiday.
3793:出于	出于	出于	out of; because of	他出于安全考虑取消了计划。	Tā chūyú ān quán kǎo lǜ qǔ xiāo le jì huà.	He canceled the plan out of safety concerns.
3797:处罚	处罚	处罚	to punish; penalty	违规停车会受到处罚。	Wéi guī tíng chē huì shòu dào chǔfá.	Illegal parking will be punished.
3799:处处	处处	处处	everywhere; in all places	这座城市处处都有绿树。	Zhè zuò chéng shì chùchù dōu yǒu lǜ shù.	There are green trees everywhere in this city.
3800:穿过	穿过	穿过	to pass through	我们穿过一条安静的小路。	Wǒ men chuānguò yì tiáo ān jìng de xiǎo lù.	We passed through a quiet path.
3801:传承	传承	传承	to pass down; inherit	这门手艺已经传承了几代人。	Zhè mén shǒu yì yǐ jīng chuánchéng le jǐ dài rén.	This craft has been passed down for several generations.
3804:传染病	传染病	传染病	infectious disease	医生提醒大家预防传染病。	Yī shēng tí xǐng dà jiā yù fáng chuánrǎnbìng.	The doctor reminded everyone to prevent infectious diseases.
3806:传输	传输	传输	to transmit; transfer	系统正在传输数据。	Xì tǒng zhèng zài chuánshū shù jù.	The system is transmitting data.
3808:船只	船只	船只	boats; vessels	港口里停着很多船只。	Gǎng kǒu lǐ tíng zhe hěn duō chuánzhī.	Many vessels are docked in the port.
3810:窗口	窗口	窗口	window; service counter	请到三号窗口办理手续。	Qǐng dào sān hào chuāngkǒu bàn lǐ shǒu xù.	Please go to window number three to handle the procedure.
3812:创办	创办	创办	to found; establish	他毕业后创办了一家公司。	Tā bì yè hòu chuàngbàn le yì jiā gōng sī.	After graduating, he founded a company.
3813:创建	创建	创建	to create; establish	团队正在创建新的数据库。	Tuán duì zhèng zài chuàngjiàn xīn de shù jù kù.	The team is creating a new database.
3815:创意	创意	创意	creativity; creative idea	这个广告很有创意。	Zhè ge guǎng gào hěn yǒu chuàngyì.	This advertisement is very creative.
3817:纯	纯	纯	pure; purely	这瓶果汁是纯苹果汁。	Zhè píng guǒ zhī shì chún píng guǒ zhī.	This bottle of juice is pure apple juice.
3818:瓷器	瓷器	瓷器	porcelain; china	博物馆展出了古代瓷器。	Bó wù guǎn zhǎn chū le gǔ dài cíqì.	The museum displayed ancient porcelain.
3819:此刻	此刻	此刻	at this moment	此刻我只想安静地休息。	Cǐkè wǒ zhǐ xiǎng ān jìng de xiū xi.	At this moment, I just want to rest quietly.
3821:次数	次数	次数	number of times	请记录每天练习的次数。	Qǐng jì lù měi tiān liàn xí de cìshù.	Please record the number of times you practice each day.
3822:匆匆	匆匆	匆匆	hurriedly; in a rush	他匆匆吃完早饭就出门了。	Tā cōngcōng chī wán zǎo fàn jiù chū mén le.	He hurriedly finished breakfast and went out.
3824:从未	从未	从未	never; have never	她从未放弃自己的梦想。	Tā cóngwèi fàng qì zì jǐ de mèng xiǎng.	She has never given up her dream.
3825:从业	从业	从业	to work in a profession	他在金融行业从业多年。	Tā zài jīn róng háng yè cóngyè duō nián.	He has worked in the finance industry for many years.
3827:脆	脆	脆	crisp; brittle	这种饼干又香又脆。	Zhè zhǒng bǐng gān yòu xiāng yòu cuì.	This kind of cookie is fragrant and crisp.
3829:村庄	村庄	村庄	village	山脚下有一个安静的村庄。	Shān jiǎo xià yǒu yí gè ān jìng de cūnzhuāng.	There is a quiet village at the foot of the mountain.
3830:存储	存储	存储	to store; storage	这些照片可以存储在云端。	Zhè xiē zhào piàn kě yǐ cúnchǔ zài yún duān.	These photos can be stored in the cloud.
3831:寸	寸	寸	cun; inch-like unit	这张照片是两寸的。	Zhè zhāng zhào piàn shì liǎng cùn de.	This photo is two cun in size.
3837:打动	打动	打动	to move; touch emotionally	他的真诚打动了所有人。	Tā de zhēn chéng dǎdòng le suǒ yǒu rén.	His sincerity moved everyone.
3840:打卡	打卡	打卡	to clock in; check in	员工每天早上九点打卡。	Yuán gōng měi tiān zǎo shang jiǔ diǎn dǎkǎ.	Employees clock in at nine every morning.
3841:打雷	打雷	打雷	to thunder	外面开始打雷了。	Wài miàn kāi shǐ dǎléi le.	It has started thundering outside.
3842:打造	打造	打造	to build; create	他们想打造一个新的品牌。	Tā men xiǎng dǎzào yí gè xīn de pǐn pái.	They want to create a new brand.
3845:大吃一惊	大吃一惊	大吃一惊	to be greatly surprised	听到价格后，他大吃一惊。	Tīng dào jià gé hòu, tā dàchī-yìjīng.	After hearing the price, he was greatly surprised.
3846:大地	大地	大地	the earth; land	春雨滋润了大地。	Chūn yǔ zī rùn le dàdì.	Spring rain nourished the earth.
3847:大都	大都	大都	mostly; for the most part	这里的游客大都来自国内。	Zhè lǐ de yóu kè dàdū lái zì guó nèi.	Most of the tourists here come from within the country.
3849:大幅	大幅	大幅	substantially; by a large margin	今年成本大幅下降。	Jīn nián chéng běn dàfú xià jiàng.	Costs fell substantially this year.
3851:大使	大使	大使	ambassador	大使出席了欢迎晚宴。	Dàshǐ chū xí le huān yíng wǎn yàn.	The ambassador attended the welcome dinner.
3852:大师	大师	大师	master; great expert	这位大师教了我很多。	Zhè wèi dàshī jiāo le wǒ hěn duō.	This master taught me a lot.
3853:大洋洲	大洋洲	大洋洲	Oceania	澳大利亚位于大洋洲。	Ào dà lì yà wèi yú Dàyángzhōu.	Australia is located in Oceania.
3856:待	待	待	to stay; remain	请待在安全的地方。	Qǐng dài zài ān quán de dì fāng.	Please stay in a safe place.
3864:担忧	担忧	担忧	to worry; be concerned	父母担忧孩子的安全。	Fù mǔ dānyōu hái zi de ān quán.	The parents worry about the child's safety.
3870:当今	当今	当今	today; present age	当今社会变化很快。	Dāngjīn shè huì biàn huà hěn kuài.	Society today changes very quickly.
3872:当下	当下	当下	at present; right now	当下最重要的是解决问题。	Dāngxià zuì zhòng yào de shì jiě jué wèn tí.	At present, the most important thing is solving the problem.
3875:当天	当天	当天	the same day	订单当天就发出了。	Dìng dān dàngtiān jiù fā chū le.	The order was sent out the same day.
3876:岛	岛	岛	island	这座岛上没有汽车。	Zhè zuò dǎo shang méi yǒu qì chē.	There are no cars on this island.
3878:倒车	倒车	倒车	to reverse a vehicle	倒车时要注意后方。	Dǎochē shí yào zhù yì hòu fāng.	When reversing, pay attention to what is behind you.
3879:导师	导师	导师	supervisor; mentor	我的导师给了我很多建议。	Wǒ de dǎoshī gěi le wǒ hěn duō jiàn yì.	My supervisor gave me a lot of advice.
3881:倒是	倒是	倒是	actually; on the contrary	这家店不大，味道倒是很好。	Zhè jiā diàn bú dà, wèi dào dàoshì hěn hǎo.	This shop is not big, but the taste is actually very good.
3882:得了	得了	得了	to get; contract	他得了流感，需要休息。	Tā dé le liú gǎn, xū yào xiū xi.	He got the flu and needs to rest.
3883:得以	得以	得以	to be able to; be enabled to	在大家帮助下，项目得以完成。	Zài dà jiā bāng zhù xià, xiàng mù déyǐ wán chéng.	With everyone's help, the project was able to be completed.
3884:得知	得知	得知	to learn; be informed	我刚刚得知会议改时间了。	Wǒ gāng gāng dézhī huì yì gǎi shí jiān le.	I just learned that the meeting time was changed.
3888:低碳	低碳	低碳	low-carbon	低碳生活越来越受欢迎。	Dītàn shēng huó yuè lái yuè shòu huān yíng.	Low-carbon living is becoming more and more popular.
3893:地形	地形	地形	terrain; landform	这里地形复杂，不适合夜行。	Zhè lǐ dìxíng fù zá, bù shì hé yè xíng.	The terrain here is complex and not suitable for night travel.
3894:地域	地域	地域	region; area	不同地域有不同的饮食习惯。	Bù tóng dìyù yǒu bù tóng de yǐn shí xí guàn.	Different regions have different eating habits.
3896:点击	点击	点击	to click	请点击右上角的按钮。	Qǐng diǎnjī yòu shàng jiǎo de àn niǔ.	Please click the button in the upper right corner.
3898:点燃	点燃	点燃	to light; ignite	他点燃了生日蜡烛。	Tā diǎnrán le shēng rì là zhú.	He lit the birthday candles.
3900:电饭锅	电饭锅	电饭锅	rice cooker	电饭锅里还有米饭。	Diànfànguō lǐ hái yǒu mǐ fàn.	There is still rice in the rice cooker.
3901:电力	电力	电力	electric power	这个地区电力供应稳定。	Zhè ge dì qū diànlì gōng yìng wěn dìng.	The electric power supply in this area is stable.
3902:店铺	店铺	店铺	shop; store	这条街上有很多小店铺。	Zhè tiáo jiē shang yǒu hěn duō xiǎo diànpù.	There are many small shops on this street.
3906:钓鱼	钓鱼	钓鱼	to fish; go fishing	周末他喜欢去河边钓鱼。	Zhōu mò tā xǐ huān qù hé biān diàoyú.	On weekends he likes to go fishing by the river.
3909:订单	订单	订单	order	客户已经确认了订单。	Kè hù yǐ jīng què rèn le dìngdān.	The customer has confirmed the order.
3910:订婚	订婚	订婚	to get engaged	他们计划明年订婚。	Tā men jì huà míng nián dìnghūn.	They plan to get engaged next year.
3911:定价	定价	定价	to set a price; pricing	新产品还没有定价。	Xīn chǎn pǐn hái méi yǒu dìngjià.	The new product has not been priced yet.
3912:定时	定时	定时	to time; scheduled	这个软件可以定时关机。	Zhè ge ruǎn jiàn kě yǐ dìngshí guān jī.	This software can shut down on a schedule.
3913:定位	定位	定位	to locate; positioning	手机可以快速定位车辆的位置。	Shǒu jī kě yǐ kuài sù dìngwèi chē liàng de wèi zhi.	A phone can quickly locate the vehicle's position.
3915:定制	定制	定制	to customize; custom-made	客户定制了一套家具。	Kè hù dìngzhì le yí tào jiā jù.	The customer ordered a custom-made set of furniture.
3919:动漫	动漫	动漫	animation and comics	他周末喜欢看动漫。	Tā zhōu mò xǐ huān kàn dòngmàn.	He likes watching animation and comics on weekends.
3921:动听	动听	动听	pleasant to hear	她的歌声很动听。	Tā de gē shēng hěn dòngtīng.	Her singing voice is very pleasant to hear.
3924:都市	都市	都市	metropolis; city	上海是一座现代都市。	Shàng hǎi shì yí zuò xiàn dài dūshì.	Shanghai is a modern metropolis.
3925:毒	毒	毒	poison; poisonous	这种蛇有毒。	Zhè zhǒng shé yǒu dú.	This kind of snake is poisonous.
3926:渡	渡	渡	to cross; ferry across	我们坐船渡过了这条河。	Wǒ men zuò chuán dù guò le zhè tiáo hé.	We crossed this river by boat.
3928:短缺	短缺	短缺	shortage; be in short supply	这个城市冬季用水短缺。	Zhè ge chéng shì dōng jì yòng shuǐ duǎnquē.	This city has a water shortage in winter.
3930:对接	对接	对接	to connect; coordinate	两个系统正在对接。	Liǎng gè xì tǒng zhèng zài duìjiē.	The two systems are being connected.
3936:多才多艺	多才多艺	多才多艺	multitalented	她多才多艺，会画画也会弹琴。	Tā duōcái-duōyì, huì huà huà yě huì tán qín.	She is multitalented and can both paint and play the piano.
3938:多媒体	多媒体	多媒体	multimedia	教室里有多媒体设备。	Jiào shì lǐ yǒu duōméitǐ shè bèi.	There is multimedia equipment in the classroom.
3940:多元	多元	多元	diverse; pluralistic	学校鼓励多元文化交流。	Xué xiào gǔ lì duōyuán wén huà jiāo liú.	The school encourages diverse cultural exchange.
3941:夺	夺	夺	to seize; take by force	他在最后一秒夺下了球。	Tā zài zuì hòu yì miǎo duó xià le qiú.	He seized the ball in the final second.
3942:夺取	夺取	夺取	to capture; win	运动员努力夺取冠军。	Yùn dòng yuán nǔ lì duóqǔ guàn jūn.	The athlete worked hard to win the championship.
3943:躲避	躲避	躲避	to avoid; dodge	行人躲避突然来的大雨。	Xíng rén duǒbì tū rán lái de dà yǔ.	Pedestrians avoided the sudden heavy rain.
3946:儿科	儿科	儿科	pediatrics	这家医院的儿科很有名。	Zhè jiā yī yuàn de érkē hěn yǒu míng.	The pediatrics department of this hospital is well known.
3949:发病	发病	发病	to develop an illness	这种病通常在春季发病。	Zhè zhǒng bìng tōng cháng zài chūn jì fābìng.	This illness usually develops in spring.
3951:发电	发电	发电	to generate electricity	风车可以用来发电。	Fēng chē kě yǐ yòng lái fādiàn.	Wind turbines can be used to generate electricity.
3953:发放	发放	发放	to distribute; issue	学校明天发放新教材。	Xué xiào míng tiān fāfàng xīn jiào cái.	The school will distribute new textbooks tomorrow.
3954:发光	发光	发光	to shine; give off light	这些小虫在夜里会发光。	Zhè xiē xiǎo chóng zài yè lǐ huì fāguāng.	These small insects give off light at night.
3959:法定	法定	法定	legal; statutory	法定假日大家可以休息。	Fǎdìng jià rì dà jiā kě yǐ xiū xi.	Everyone can rest on legal holidays.
3960:法官	法官	法官	judge	法官宣布了判决。	Fǎguān xuān bù le pàn jué.	The judge announced the verdict.
3961:法规	法规	法规	laws and regulations	企业必须遵守环保法规。	Qǐ yè bì xū zūn shǒu huán bǎo fǎguī.	Companies must comply with environmental regulations.
3968:犯	犯	犯	to commit; violate	他犯了一个严重的错误。	Tā fàn le yí gè yán zhòng de cuò wù.	He made a serious mistake.
3969:方方面面	方方面面	方方面面	all aspects	这次改革影响社会方方面面。	Zhè cì gǎi gé yǐng xiǎng shè huì fāngfāngmiànmiàn.	This reform affects all aspects of society.
3973:房价	房价	房价	housing prices	这个城市的房价很高。	Zhè ge chéng shì de fángjià hěn gāo.	Housing prices in this city are high.
3975:访谈	访谈	访谈	interview; to interview	记者正在和作家做访谈。	Jì zhě zhèng zài hé zuò jiā zuò fǎngtán.	The reporter is doing an interview with the writer.
3977:放飞	放飞	放飞	to release; let fly	孩子们在草地上放飞风筝。	Hái zi men zài cǎo dì shang fàngfēi fēng zheng.	The children are flying kites on the grass.
3978:飞速	飞速	飞速	rapidly; at high speed	科技正在飞速发展。	Kē jì zhèng zài fēisù fā zhǎn.	Technology is developing rapidly.
3979:肥	肥	肥	fat; fertile	这块地很肥，适合种菜。	Zhè kuài dì hěn féi, shì hé zhòng cài.	This land is fertile and suitable for growing vegetables.
3980:肥胖	肥胖	肥胖	obese; obesity	肥胖会增加健康风险。	Féipàng huì zēng jiā jiàn kāng fēng xiǎn.	Obesity increases health risks.
3983:肺炎	肺炎	肺炎	pneumonia	医生说他得了肺炎。	Yī shēng shuō tā dé le fèiyán.	The doctor said he had pneumonia.
