source_headword	TR	example_TR
persist	devam etmek	Belirtiler günlerce devam edebilir.
persistent	inatçı	İnatçı bir öksürük dikkat gerektirir.
personnel	personel	Personel kayıtları gizlidir.
petition	dilekçe	Dilekçe binlerce imza topladı.
philosopher	filozof	Filozof yaygın varsayımları sorguladı.
philosophical	felsefi	Tartışma felsefi bir hal aldı.
physician	hekim	Hekim kan testleri istedi.
pioneer	öncü	O, tıpta bir öncü oldu.
pipeline	boru hattı	Boru hattı yer altında gaz taşır.
pirate	korsan	Korsan gemisi açıkta göründü.
pit	çukur	İşçiler derin bir çukur kazdılar.
plea	yalvarış	Yardım yalvarışı görmezden gelindi.
plead	savunma yapmak	Şüpheli suçunu kabul edecek.
pledge	söz vermek	Reformlar için destek sözü veriyorlar.
plug	fişe takmak	Kabloyu prize takın.
plunge	düşmek	Skandaldan sonra fiyatlar düşebilir.
pole	direk	Bayrak bir direkten sarkıyordu.
poll	anket	Anket değişen görüşleri gösterdi.
pond	gölet	Ördekler donmuş göleti geçti.
pop	patlamak	Balonlar sivri cisimlerin yakınında patlar.
portfolio	portföy	Portföyü birkaç girişimi içeriyor.
portray	tasvir etmek	Film kırsal yaşamı tasvir edecek.
postpone	ertelemek	Duruşmayı ertelemeye karar verdiler.
post-war	savaş sonrası	Savaş sonrası barınmaya acilen ihtiyaç vardı.
practitioner	uygulayıcı	Uygulayıcı tedaviyi açıkladı.
preach	vaaz vermek	Rahip pazar günü vaaz verecek.
precedent	emsal	Karar önemli bir emsal oluşturdu.
precision	hassasiyet	Makine hassasiyetle kesiyor.
predator	yırtıcı	Yırtıcı nehrin yakınında bekledi.
predecessor	selef	Selefi detaylı notlar bıraktı.
predominantly	ağırlıklı olarak	Bölge ağırlıklı olarak yerleşim yeridir.
pregnancy	hamilelik	Hamilelik düzenli tıbbi bakım gerektirir.
prejudice	önyargı	Kampanya ırksal önyargılara meydan okudu.
preliminary	ön	Ön sonuçlar umut verici görünüyor.
premier	başbakan	Başbakan bugün parlamentoya seslendi.
premise	öncül	Argüman yanlış bir varsayıma dayanıyor.
premium	ekstra ücret	Müşteriler hız için ekstra ücret ödediler.
prescribe	reçete yazmak	Doktorlar antibiyotikleri dikkatlice reçete eder.
prescription	reçete	Reçetenin süresi gelecek ay doluyor.
presently	şu anda	O şu anda müsait değil.
preservation	koruma	Koruma, tarihi binaları güvence altına alır.
preside	başkanlık etmek	Davaya yargıç başkanlık edecek.
presidency	başkanlık	Başkanlığı sekiz yıl sürdü.
presidential	başkanlık	Başkanlık seçimi dikkat çekti.
prestigious	prestijli	Prestijli bir burs kazandı.
presumably	muhtemelen	Ofis muhtemelen bugün kapalıdır.
presume	varsaymak	Belgelerin orijinal olduğunu varsayıyoruz.
prevail	üstün gelmek	Sağduyu üstün gelmelidir.
prevalence	yaygınlık	Astımın yaygınlığı arttı.
prevention	önleme	Önlemek onarmaktan daha ucuzdur.
