source_headword	SW	example_SW
boom	kuongezeka	Jiji lilishuhudia kuongezeka kwa ujenzi.
bounce	kudunda	Mpira unaweza kudunda juu sana.
boundary	mpaka	Mto unaonyesha mpaka.
bow1	kuinamia	Mwigizaji aliinama kwa heshima.
breach	ukiukaji	Ukiukaji ulifichua data za kibinafsi.
breakdown	mchanganuo	Ripoti inajumuisha mchanganuo wa gharama.
breakthrough	maendeleo makubwa	Ugunduzi ulikuwa maendeleo makubwa.
breed	kuzaliana	Ndege hawa huzaliana wakati wa masika.
broadband	mkongo wa taifa	Ofisi inahitaji mkongo wa taifa wenye kasi zaidi.
browser	kivinjari	Sasisha kivinjari chako kabla ya kuingia.
brutal	kikatili	Shambulio lilikuwa la kikatili na la ghafla.
buck	dola	Tiketi inagharimu dola kumi.
buddy	rafiki	Rafiki yake alingoja nje.
buffer	kizuizi	Miti inaunda kizuizi cha kelele.
bulk	wingi	Walinunua mchele kwa wingi.
burden	mzigo	Deni limekuwa mzigo mzito.
bureaucracy	urasimu	Urasimu ulichelewesha kibali.
burial	mazishi	Mazishi yalifanyika alfajiri.
burst	kupasuka	Bomba linaweza kupasuka chini ya shinikizo.
cabinet	baraza la mawaziri	Baraza la mawaziri liliidhinisha mpango huo.
calculation	hesabu	Hesabu ilichukua dakika kadhaa.
canvas	turubai	Msanii alichora kwenye turubai kubwa.
capability	uwezo	Kifaa kina uwezo wa pasiwaya.
capitalism	ubepari	Ubepari uliunda uchumi wa kisasa.
capitalist	kibepari	Mfumo wa kibepari unatuza uwekezaji binafsi.
cargo	shehena	Meli ilibeba shehena ya matibabu.
carriage	troli	Troli ya treni ilikuwa karibu tupu.
carve	kuchonga	Atachonga mbao kwa uangalifu.
casino	kasino	Kasino ilifunguliwa karibu na hoteli.
casualty	majeruhi	Ajali ilisababisha majeruhi mmoja.
catalogue	katalogi	Katalogi inaorodhesha kila bidhaa.
cater	kuhudumia	Mkahawa unaweza kuhudumia hafla kubwa.
cattle	ng'ombe	Ng'ombe walilisha karibu na mto.
caution	tahadhari	Chukua tahadhari kwenye barabara zenye barafu.
cautious	tahadhari	Wawekezaji wanasalia waangalifu wiki hii.
cease	kusitisha	Kiwanda kitasitisha uzalishaji hivi karibuni.
cemetery	makaburi	Makaburi yanatazama bahari.
chamber	chumba	Chumba kilikuwa kimya wakati wa upigaji kura.
chaos	machafuko	Ucheleweshaji ulisababisha machafuko uwanja wa ndege.
characterize	kutambulisha	Wataalamu wanatambulisha mpango huo kama hatari.
charm	hirizi	Mji una mvuto wa zamani.
charter	hati	Hati inalinda haki za msingi.
chronic	sugu	Anasumbuliwa na maumivu sugu ya mgongo.
chunk	kipande	Kata jibini katika kipande.
circulate	kusambaza	Tafadhali sambaza ajenda leo.
circulation	mzunguko	Usambazaji wa gazeti ulishuka sana.
citizenship	uraia	Aliomba uraia wa Ufaransa.
civic	kiraia	Viongozi wa kiraia walihudhuria mkutano.
civilian	raia	Nyumba kadhaa za raia ziliharibiwa.
clarity	uwazi	Mchoro uliongeza uwazi kwenye ripoti.
clash	mgongano	Mgongano ulianza baada ya maandamano.
classification	uainishaji	Uainishaji unategemea saizi.
cling	kung'ang'ania	Nguo zenye unyevu hung'ang'ania kwenye ngozi.
clinical	kliniki	Utafiti wa kliniki utaanza mwezi ujao.
closure	kufungwa	Familia ilitaka jambo hilo lifungwe baada ya kesi.
cluster	kikundi	Kikundi cha nyumba kilisimama karibu.
coalition	muungano	Muungano ulipoteza wingi wake.
coastal	pwani	Vijiji vya pwani vilijiandaa kwa mafuriko.
cocktail	kokteli	Aliagiza kokteli ya matunda.
cognitive	kognitiva	Ujuzi wa kognitiva huboreka kwa mazoezi.
coincide	kuambatana	Tamasha litaambatana na mahafali.
collaborate	kushirikiana	Timu zitashirikiana kwenye programu.
collaboration	ushirikiano	Ushirikiano wao ulileta matokeo mazuri.
collective	pamoja	Uamuzi ulikuwa juhudi ya pamoja.
collision	mgongano	Mgongano uliifunga barabara kuu.
colonial	kikoloni	Jengo lina usanifu wa kikoloni.
columnist	mwandishi wa makala	Mwandishi wa makala alikosoa sera hiyo.
combat	mapambano	Wanajeshi walipata mafunzo ya mapambano.
commence	anza	Sherehe itaanza saa sita mchana.
commentary	maoni	Maoni ya mechi yalikuwa ya kusisimua.
commentator	mtoa maoni	Mtoa maoni alieleza uamuzi huo.
commerce	biashara	Biashara ya mtandaoni ilikua haraka.
commissioner	kamishna	Kamishna alitangaza sheria mpya.
commodity	bidhaa	Ngano ni bidhaa muhimu.
communist	kikomunisti	Chama cha kikomunisti kilifanya mkutano.
companion	mwandani	Mbwa wake ni mwandani mwaminifu.
comparable	ya kulinganishwa	Majiji hayo mawili yanalingana kwa ukubwa.
compassion	huruma	Muuguzi alionyesha huruma kubwa.
compel	lazimisha	Ushahidi unaweza kulazimisha jibu.
compelling	ya kushawishi	Makala hiyo ilitoa hoja ya kushawishi.
compensate	fidia	Kampuni itafidia wateja walioathirika.
compensation	fidia	Wafanyakazi walidai fidia ya haki.
competence	umahiri	Mtihani unapima umahiri wa kitaaluma.
competent	stadi	Yeye ni mhandisi stadi.
compile	kusanya	Watafiti hukusanya data kutoka hospitalini.
complement	kamilisha	Mvinyo utakamilisha mlo.
complexity	utata	Mradi una utata usiotarajiwa.
compliance	utiifu	Ukaguzi ulichunguza utiifu wa kisheria.
complication	tatizo	Upasuaji ulikuwa na tatizo moja.
comply	tii	Kampuni lazima zitii kanuni.
composition	tungo	Tungo hiyo inajumuisha fidla na kinanda.
compromise	maelewano	Maelewano yaliridhisha pande zote mbili.
compute	piga hesabu	Programu inaweza kupiga hesabu ya jumla.
conceal	ficha	Alijaribu kuficha uharibifu huo.
concede	kubali kushindwa	Waziri alikataa kukubali kushindwa.
conceive	buni	Hawakuweza kubuni mpango bora.
conception	dhana	Filamu hiyo ilibadilisha dhana yangu kuhusu historia.
concession	makubaliano	Kampuni ilitoa makubaliano moja.
condemn	laani	Viongozi walilaani shambulio hilo hadharani.
confer	tunuku	Tuzo hiyo itatunuku heshima.
confession	maungamo	Maungamo yake yaliishangaza mahakama.
configuration	usanidi	Usanidi hudhibiti ufikiaji wa mtandao.
confine	wekea mipaka	Sheria zinawawekea mbwa mipaka katika eneo hili.
confirmation	uthibitisho	Tulipokea uthibitisho kwa barua pepe.
confront	kabiliana na	Aliamua kukabiliana na tatizo hilo.
confrontation	makabiliano	Makabiliano yalimalizika bila vurugu.
congratulate	pongeza	Nilipiga simu kumpongeza dada yangu.
congregation	ushirika	Ushirika uliimba pamoja.
congressional	ya bunge	Kikao cha bunge kilidumu kwa saa kadhaa.
conquer	teka	Timu inatarajia kuteka soko.
conscience	dhamiri	Dhamiri yake isingeruhusu uwongo.
consciousness	fahamu	Ajali iliathiri fahamu zake.
consecutive	mfululizo	Alishinda mechi tatu mfululizo.
consensus	makubaliano	Kamati ilifikia makubaliano haraka.
consent	idhini	Idhini ya maandishi inahitajika.
conserve	hifadhi	Tunahifadhi maji wakati wa ukame.
consistency	uthabiti	Uthabiti ni muhimu katika kujifunza lugha.
consolidate	unganisha	Kampuni itaunganisha ofisi mbili.
constituency	jimbo la uchaguzi	Mgombea alitembelea kila jimbo la uchaguzi.
constitute	unda	Wanawake wanaunda nusu ya kamati.
constitution	katiba	Katiba inahakikisha uhuru wa kujieleza.
constitutional	ya kikatiba	Mahakama ilipitia haki za kikatiba.
constraint	kizuizi	Kizuizi cha bajeti kilipunguza mradi.
consultation	mashauriano	Mashauriano yalidumu kwa wiki mbili.
contemplate	tafakari	Alitua kutafakari ofa hiyo.
contempt	dharau	Alionyesha dharau kwa sheria.
contend	shindania	Kampuni kadhaa zinashindania mkataba huo.
contender	mshindani	Yeye ni mshindani hodari.
content2	kuridhika	Alihisi kuridhika na matokeo.
contention	ubishi	Ubishi mkuu unahusu ufadhili.
continually	kila wakati	Mfumo huangalia makosa kila wakati.
contractor	mwanakandarasi	Mwanakandarasi alitengeneza paa.
contradiction	utata	Kauli yake ilikuwa na utata.
contrary	kinyume	Ushahidi wa kinyume ulibadilisha kesi.
contributor	mchangiaji	Yeye ni mchangiaji wa kawaida.
conversion	ubadilishaji	Ubadilishaji huo ulibadilisha dola kuwa euro.
convict	tia hatiani	Baraza la mahakama linaweza kumtia hatiani mshukiwa.
conviction	hukumu	Hukumu yake ilishtua umma.
cooperate	shirikiana	Tafadhali shirikiana na uchunguzi.
cooperative	ya ushirikiano	Wafanyakazi walikuwa na ushirikiano na watulivu.
coordinate	ratibu	Wao huratibu usafirishaji kila asubuhi.
coordination	uratibu	Uratibu mzuri uliokoa muda.
coordinator	mratibu	Mratibu alipanga kila jukumu.
cop	polisi	Polisi alisimama nje ya kituo.
copper	shaba	Bomba hilo limetengenezwa kwa shaba.
copyright	hakimiliki	Picha hiyo inalindwa na hakimiliki.
correction	sahihisho	Mwalimu alifanya sahihisho moja.
correlate	husiana	Msongo wa mawazo mkubwa unaweza kuhusiana na ugonjwa.
correlation	uhusiano	Utafiti ulipata uhusiano mkubwa.
correspond	lingana	Nambari hizi zinalingana na lebo.
correspondence	mawasiliano	Mawasiliano yao yalidumu kwa miaka.
correspondent	mwanahabari	Mwanahabari huyo aliripoti kutoka Cairo.
corresponding	ya kulingana	Kila kitufe kina mwanga unaolingana.
corrupt	fisadi	Afisa fisadi alipokea pesa.
corruption	ufisadi	Ufisadi ulidhoofisha uaminifu wa umma.
costly	ghali	Kosa hilo lilikuwa ghali kwa timu.
councillor	diwani	Diwani alijibu maswali ya wakazi.
counselling	ushauri nasaha	Alipokea ushauri nasaha baada ya ajali.
counsellor	mshauri	Mshauri aliwasaidia wanafunzi wapya.
counter (argue against)	pinga	Alijaribu kupinga hoja yake.
counterpart	mwenzake	Alikutana na mwenzake wa Kijapani.
countless	wasiohesabika	Wajitoleaji wasiohesabika walijiunga na utafutaji.
coup	mapinduzi	Mapinduzi yalimuondoa rais.
courtesy	adabu	Aliwashukuru kwa adabu yao.
