source_headword	ML	example_ML
suspend	താൽക്കാലികമായി നിർത്തിവെക്കുക	സ്കൂൾ യാത്ര താൽക്കാലികമായി നിർത്തിവെച്ചേക്കാം.
sustainable	സുസ്ഥിരമായ	ഫാം സുസ്ഥിരമായ രീതികൾ ഉപയോഗിക്കുന്നു.
swallow	വിഴുങ്ങുക	ഗുളിക വെള്ളത്തോടൊപ്പം വിഴുങ്ങുക.
sympathetic	സഹതാപമുള്ള	മാനേജർ അവളുടെ പ്രശ്നത്തോട് സഹതാപമുള്ളവനായിരുന്നു.
tackle	പരിഹരിക്കുക	നമ്മൾ ഭവന പ്രശ്നം പരിഹരിക്കേണ്ടതുണ്ട്.
tag	ടാഗ്	ബാഗിന് ഒരു വില ടാഗ് ഉണ്ടായിരുന്നു.
tap	ടാപ്പ്	അവൾ ടാപ്പ് അടച്ചു.
technological	സാങ്കേതികമായ	സാങ്കേതികമായ മാറ്റം എല്ലാ തൊഴിലിടങ്ങളെയും ബാധിക്കുന്നു.
teens	കൗമാരക്കാർ	പല കൗമാരക്കാരും ദിവസവും സോഷ്യൽ മീഡിയ ഉപയോഗിക്കുന്നു.
temple	അമ്പലം	നദിക്കരികെ അമ്പലം നിന്നിരുന്നു.
temporarily	താൽക്കാലികമായി	ഓഫീസ് താൽക്കാലികമായി അടച്ചിരിക്കുന്നു.
tendency	പ്രവണത	അവന് വൈകി വരുന്ന ഒരു പ്രവണതയുണ്ട്.
tension	പിരിമുറുക്കം	ചർച്ചയ്ക്കിടെ പിരിമുറുക്കം വർദ്ധിച്ചു.
terms	നിബന്ധനകൾ	കരാർ നിബന്ധനകൾ വ്യക്തമായിരുന്നു.
terribly	വല്ലാതെ	കുട്ടി വല്ലാതെ വിഷമിച്ചു.
terrify	ഭയപ്പെടുത്തുക	ഉച്ചത്തിലുള്ള ശബ്ദങ്ങൾ നായയെ ഭയപ്പെടുത്തുന്നു.
territory	പ്രദേശം	മാപ്പ് പുതിയ പ്രദേശം കാണിക്കുന്നു.
terror	ഭീതി	ആക്രമണത്തിന് ശേഷം ഭീതി പടർന്നു.
terrorism	തീവ്രവാദം	തീവ്രവാദം പൊതു സുരക്ഷയ്ക്ക് ഭീഷണിയാണ്.
terrorist	തീവ്രവാദി	പോലീസ് ഇന്നലെ തീവ്രവാദിയെ അറസ്റ്റ് ചെയ്തു.
testing	പരിശോധന	ഉൽപ്പന്ന പരിശോധന തിങ്കളാഴ്ച ആരംഭിക്കുന്നു.
textbook	പാഠപുസ്തകം	അവൾ അവളുടെ ബയോളജി പാഠപുസ്തകം മറന്നു.
theft	മോഷണം	പ്രദേശത്ത് മോഷണം വർദ്ധിച്ചു.
therapist	തെറാപ്പിസ്റ്റ്	ഉത്കണ്ഠ നിയന്ത്രിക്കാൻ തെറാപ്പിസ്റ്റ് അവനെ സഹായിച്ചു.
thesis	പ്രബന്ധം	അവളുടെ പ്രബന്ധം ഓൺലൈൻ പഠനത്തെക്കുറിച്ച് പരിശോധിക്കുന്നു.
thorough	സമഗ്രമായ	സമഗ്രമായ ഒരു അവലോകനത്തിൽ തെറ്റുകളൊന്നും കണ്ടെത്തിയില്ല.
thoroughly	നന്നായി	മുറിവ് നന്നായി വൃത്തിയാക്കുക.
thumb	തള്ളവിരൽ	സമ്മതം അറിയിക്കാൻ അവൻ തള്ളവിരൽ ഉയർത്തി.
timing	സമയം	കോളിന്റെ സമയം കൃത്യമായിരുന്നു.
tissue	ടിഷ്യൂ	അവൾ ഒരു ടിഷ്യൂ കൊണ്ട് ഗ്ലാസ് തുടച്ചു.
ton	ടൺ	ട്രക്ക് ഒരു ടൺ മണൽ കൊണ്ടുപോയി.
tonne	ടൺ	കയറ്റുമതിക്ക് ഒരു ടൺ ഭാരമുണ്ടായിരുന്നു.
tournament	ടൂർണമെന്റ്	ടെന്നീസ് ടൂർണമെന്റ് നാളെ ആരംഭിക്കുന്നു.
trace	കണ്ടെത്തുക	ശാസ്ത്രജ്ഞർക്ക് വൈറസിന്റെ ഉറവിടം കണ്ടെത്താൻ കഴിയും.
trading	വ്യാപാരം	സ്റ്റോക്ക് വ്യാപാരം ഉച്ചയ്ക്ക് നിർത്തിവെച്ചു.
tragedy	ദുരന്തം	അപകടം ഒരു വലിയ ദുരന്തമായിരുന്നു.
tragic	ദാരുണമായ	തകർച്ചയ്ക്ക് ദാരുണമായ പ്രത്യാഘാതങ്ങൾ ഉണ്ടായി.
trait	സവിശേഷത	ക്ഷമ ഒരു ഉപയോഗപ്രദമായ സവിശേഷതയാണ്.
transmit	പകർത്തുക	കൊതുകുകൾക്ക് രോഗം പകർത്താൻ കഴിയും.
transportation	ഗതാഗതം	പൊതുഗതാഗതം ഇന്ന് തിരക്കേറിയതാണ്.
trap	കുടുക്കുക	ഈ പെട്ടിക്ക് പ്രാണികളെ സുരക്ഷിതമായി കുടുക്കാൻ കഴിയും.
treasure	നിധി	ആ പഴയ പെട്ടിയിൽ നിധി ഉണ്ടായിരുന്നു.
tribe	ഗോത്രം	ഗോത്രം അവരുടെ പാരമ്പര്യങ്ങൾ സംരക്ഷിച്ചു.
trigger	പ്രവർത്തിപ്പിക്കുക	പുക അലാറം പ്രവർത്തിപ്പിക്കും.
trillion	ട്രില്യൺ	കടം ഒരു ട്രില്യൺ ഡോളറിലെത്തി.
troop	സൈന്യം	സൈന്യം അതിർത്തിയിലേക്ക് നീങ്ങി.
tsunami	സുനാമി	സുനാമി തീരപ്രദേശത്തെ വീടുകൾ നശിപ്പിച്ചു.
ultimate	ആത്യന്തിക	ആത്യന്തിക ലക്ഷ്യം സമാധാനമാണ്.
unacceptable	അസ്വീകാര്യമായ	കാലതാമസം യാത്രക്കാർക്ക് അസ്വീകാര്യമായിരുന്നു.
uncertainty	അനിശ്ചിതത്വം	അനിശ്ചിതത്വം നിക്ഷേപകരെ പരിഭ്രാന്തരാക്കി.
undergo	വിധേയമാകുക	രോഗി നാളെ ശസ്ത്രക്രിയയ്ക്ക് വിധേയനാകും.
undertake	നടത്തുക	ടീം ഒരു സർവേ നടത്തും.
unfold	ചുരുളഴിയുക	നാടകം പതുക്കെ ചുരുളഴിയാൻ തുടങ്ങി.
unfortunate	നിർഭാഗ്യകരമായ	പിശക് നിർഭാഗ്യകരമായിരുന്നു എങ്കിലും പരിഹരിക്കാവുന്നതായിരുന്നു.
unite	ഒന്നിപ്പിക്കുക	നേതാക്കൾ പാർട്ടിയെ ഒന്നിപ്പിക്കാൻ ശ്രമിച്ചു.
unity	ഐക്യം	പ്രസംഗം ദേശീയ ഐക്യത്തിന് ആഹ്വാനം ചെയ്തു.
universal	സാർവത്രികമായ	ആപ്പ് ഒരു സാർവത്രികമായ രൂപകൽപ്പന ഉപയോഗിക്കുന്നു.
urgent	അടിയന്തിര	ആശുപത്രിയിൽ ഒരു അടിയന്തിര കോൾ ലഭിച്ചു.
usage	ഉപയോഗം	ഗൈഡ് ശരിയായ ഉപയോഗം വിശദീകരിക്കുന്നു.
useless	ഉപയോഗശൂന്യമായ	പൊട്ടിയ ചാർജർ ഉപയോഗശൂന്യമാണ്.
valid	സാധുവായ	നിങ്ങളുടെ പാസ്‌പോർട്ട് ഇപ്പോഴും സാധുവാണ്.
variation	വ്യത്യാസം	വിലകളിൽ വലിയ വ്യത്യാസമുണ്ട്.
vertical	ലംബമായ	ചാർട്ടിന് ഒരു ലംബമായ അച്ചുതണ്ടുണ്ട്.
viewpoint	കാഴ്ചപ്പാട്	സംവാദത്തിന് ശേഷം അവളുടെ കാഴ്ചപ്പാട് മാറി.
visa	വിസ	അവൻ ഒരു വിദ്യാർത്ഥി വിസയ്ക്ക് അപേക്ഷിച്ചു.
visible	കാണാവുന്ന	സൈൻബോർഡ് ഇവിടെ നിന്ന് കാണാവുന്നതാണ്.
voluntary	സ്വമേധയായുള്ള	കോഴ്സിൽ സ്വമേധയായുള്ള വർക്ക്ഷോപ്പുകൾ ഉൾപ്പെടുന്നു.
voting	വോട്ടെടുപ്പ്	മുൻകൂർ വോട്ടെടുപ്പ് അടുത്ത ആഴ്ച ആരംഭിക്കുന്നു.
wander	അലഞ്ഞുതിരിയുക	വിനോദസഞ്ചാരികൾ പഴയ മാർക്കറ്റിലൂടെ അലഞ്ഞുതിരിയുന്നു.
warming	താപനം	ആഗോള താപനം സമുദ്രനിരപ്പിനെ ബാധിക്കുന്നു.
weekly	പ്രതിവാര	ടീം ഒരു പ്രതിവാര യോഗം നടത്തുന്നു.
weird	വിചിത്രമായ	ശബ്ദം വിചിത്രമായി തോന്നി.
welfare	ക്ഷേമം	ഈ പ്രോഗ്രാം ശിശുക്ഷേമത്തെ പിന്തുണയ്ക്കുന്നു.
wheat	ഗോതമ്പ്	കർഷകൻ ഗോതമ്പ് കൃഷിചെയ്യുന്നു.
whoever	ആരായാലും	ആദ്യം വരുന്നവർ പുറത്ത് കാത്തുനിൽക്കണം.
widespread	വ്യാപകമായ	കൊടുങ്കാറ്റ് വ്യാപകമായ നാശനഷ്ടമുണ്ടാക്കി.
wisdom	ജ്ഞാനം	അവളുടെ മുത്തശ്ശി പ്രായോഗിക ജ്ഞാനം പങ്കുവെച്ചു.
withdraw	പിൻവലിക്കുക	തന്റെ അപേക്ഷ പിൻവലിക്കാൻ അവൻ തീരുമാനിച്ചു.
workforce	തൊഴിലാളികൾ	തൊഴിലാളികൾക്ക് പുതിയ കഴിവുകൾ ആവശ്യമാണ്.
workplace	തൊഴിലിടം	തൊഴിലിടത്തിൽ വ്യക്തമായ സുരക്ഷാ നിയമങ്ങളുണ്ട്.
workshop	ശിൽപശാല	ശിൽപശാല പത്ത് മണിക്ക് ആരംഭിക്കുന്നു.
worm	പുഴു	ഒരു പുഴു മണ്ണിലൂടെ ഇഴഞ്ഞു നീങ്ങി.
wrist	കൈത്തണ്ട	അവൾക്ക് കൈത്തണ്ടയിൽ പരിക്കേറ്റു.
