simplified	ET	example_ET
雌雄	isane ja emane	Selle linnu isasel ja emasel on eri värv.
伺候	hooldama	Õde hooldas patsienti tähelepanelikult.
刺	okas	Roosiokstel on palju okkaid.
次品	praagid	Neid praaktooteid ei saa müüa.
次序	järjekord	Palun seiske järjekorras.
丛	puhmas	Tee ääres on puhmas metslilli.
从容	rahulik	Ta vastas küsimusele rahulikult.
凑合	hakkama saama	Tuba pole suur, kuid elamiseks saab hakkama.
粗鲁	jäme	Ta räägib liiga jämedalt.
窜	sööstma	See kass sööstis äkki tuppa.
摧残	laastama	Pikaajaline reostus laastab seda metsa.
脆弱	habras	Klaasesemed on väga haprad.
搓	hõõruma	Ta hõõrus oma külmi käsi.
磋商	läbirääkimised	Mõlemad pooled jätkavad läbirääkimisi.
挫折	tagasilöök	Igaüks kohtab tagasilööke.
搭	sõitma	Me sõidame bussiga lennujaama.
搭档	partner	Ta on olnud minu tööpartner palju aastaid.
搭配	sobima	See mantel ja püksid sobivad hästi kokku.
答辩	kaitsmine	Magistrant valmistub lõputöö kaitsmiseks.
答复	vastus	Palun anna mulle võimalikult kiiresti vastus.
达成	saavutama	Mõlemad pooled saavutasid lõpuks kokkuleppe.
打包	kaasa pakkima	Kelner pakkis ülejäägid meile kaasa.
打官司	kohut käima	Nad käisid lepinguvaidluse pärast kohut.
打击	hoop	See ebaõnnestumine oli talle suur hoop.
打架	kaklema	Õpilasi, kes koolis kaklevad, karistatakse.
打量	silmitsema	Ta silmitses mind pealaest jalatallani.
打猎	jahti pidama	Siin on jahipidamine keelatud.
打仗	sõdima	Keegi ei taha sõdida.
大不了	halvimal juhul	Halvimal juhul proovime homme uuesti.
大臣	minister	Kuningas kutsus mitu ministrit enda juurde.
大伙儿	kõik	Kõik ootavad sinu otsust.
大肆	suures ulatuses	Kaupmees reklaamis uut toodet suures ulatuses.
大体	üldjoontes	Plaaniga pole üldjoontes probleemi.
大意	põhimõte	Palun selgita kõigepealt selle artikli põhimõtet.
大致	umbes	Ma sain umbes aru, mis juhtus.
歹徒	kurjategija	Politsei tabas kurjategija kiiresti.
代价	hind	Edu nõuab sageli hinna maksmist.
代理	ajutiselt täitma	Ta täidab ajutiselt juhi ülesandeid.
带领	juhtima	Õpetaja juhtis õpilased muuseumi külastama.
怠慢	hooletusse jätma	Me ei tohi külalisi hooletusse jätta.
逮捕	vahistama	Politsei vahistas peamise kahtlusaluse.
担保	käendus	Pank nõuab, et keegi annaks käenduse.
胆怯	arg	Esimese kõne ajal oli ta veidi arg.
淡季	madalhooaeg	Reisimise madalhooajal on lennupiletid odavamad.
淡水	magevesi	See kala saab elada ainult magevees.
蛋白质	valk	Munades on palju valku.
诞辰	sünniaastapäev	Täna on selle kirjaniku sünniaastapäev.
诞生	sündima	See idee sündis arutelus.
当场	kohapeal	Ta tunnistas oma viga kohapeal.
当初	alguses	Alguses toetasime kõik seda otsust.
当代	nüüdisaja	Nüüdisaja ühiskond muutub väga kiiresti.
当面	näost näkku	Probleemid on kõige parem näost näkku selgeks rääkida.
当前	praegune	Praegu on kõige tähtsam tagada ohutus.
当事人	asjaosaline	Politsei küsitleb asjaosalist.
当务之急	esmatähtis ülesanne	Eluasemeprobleemi lahendamine on esmatähtis ülesanne.
当选	valituks osutuma	Ta osutus edukalt esimeheks valituks.
党	partei	See partei pakkus välja uue poliitika.
档案	toimik	Kool säilitas õpilaste toimikud.
档次	tase	Selle hotelli tase on väga kõrge.
倒闭	pankrotti minema	See väike pood läks eelmisel aastal pankrotti.
导弹	rakett	Uudistes räägiti raketikatsetusest.
导航	navigatsioon	Palun lülita telefonis navigatsioon sisse.
导向	suunatud	Hariduspoliitika peaks olema suunatud õiglusele.
捣乱	segadust tekitama	Palun ära tunnis segadust tekita.
盗窃	vargus	Kaubanduskeskus tugevdas meetmeid varguste vältimiseks.
稻谷	riisivili	Talunikud koristavad riisivilja.
得不偿失	ei tasu ära	Kehvade materjalide ostmine raha säästmiseks ei tasu ära.
得力	võimekas	Ta on juhi võimekas abiline.
得天独厚	ainulaadsed eelised	Sellel linnal on ainulaadsed geograafilised eelised.
得罪	solvama	Ma ei taha tühise asja pärast kolleege solvata.
灯笼	latern	Kevadpüha ajal ripuvad ukse juures punased laternad.
登录	sisse logima	Palun logi kõigepealt oma kontole sisse.
登陆	maabuma	Taifuun võib täna öösel rannikualadel maabuda.
蹬	tõukama	Ta tõukas jalaga tugevasti ja jalgratas hakkas liikuma.
等候	ootama	Reisijad ootavad saalis pardaleminekut.
等级	tase	Sellel tarkvaral on eri liikmetasemed.
瞪	jõllitama	Ta jõllitas mind vihaselt.
堤坝	tamm	Pärast paduvihma tuleb tammi hoolikalt kontrollida.
敌视	vaenulik olema	Me ei peaks olema eri arvamuste suhtes vaenulikud.
抵达	saabuma	Lennuk saabus Pekingisse õigel ajal.
抵抗	vastu seisma	Külaelanikud seisid koos üleujutusele vastu.
抵制	boikoteerima	Tarbijad hakkasid kehva kvaliteediga tooteid boikoteerima.
地步	olukord	Asi pole veel nii tõsisesse olukorda jõudnud.
地势	maastik	Siin on maastik kõrgem, nii et vesi ei kogune kergesti.
地质	geoloogia	Eksperdid uurivad kohalikke geoloogilisi tingimusi.
递增	järk-järgult suurenema	Müük suurenes kolm kuud järjest.
颠簸	konarlik	Mägitee on väga konarlik, nii et sõida ettevaatlikult.
颠倒	ümber pöörama	Sa pöörasid kahe numbri järjekorra ümber.
典礼	tseremoonia	Lõputseremoonia toimub aulas.
典型	tüüpiline	See on tüüpiline edulugu.
点缀	kaunistama	Mõned väikesed lilled kaunistasid söögilauda.
垫	alla panema	Palun pane see paberileht tassi alla.
奠定	aluse panema	See koostöö pani aluse pikaajalistele suhetele.
惦记	muretsema	Ema muretseb alati kaugel oleva lapse pärast.
电源	vooluallikas	Palun lülita enne lahkumist vool välja.
叼	suus hoidma	See koer hoiab luud suus.
雕刻	nikerdama	Talle meeldib puusse mustreid nikerdada.
雕塑	skulptuur	Väljaku keskel on skulptuur.
吊	üles tõstma	Töölised tõstsid masinaga terastala üles.
调动	üle viima	Ettevõte viis ta tööle Shanghaisse.
跌	langema	Aktsia hind langes täna jälle.
丁	kuubik	Retseptis on kirjas, et kartulid tuleb kuubikuteks lõigata.
叮嘱	korduvalt meelde tuletama	Õpetaja tuletas meile korduvalt meelde ohutusele tähelepanu pöörata.
盯	jõllitama	Palun ära jõllita teisi kogu aeg.
定期	regulaarselt	Arst soovitas tal regulaarselt tervist kontrollida.
定义	definitsioon	Palun selgita kõigepealt selle mõiste definitsiooni.
丢人	häbiväärne	Avalikult valetamine on tõesti häbiväärne.
丢三落四	hajameelne	Ta on alati hajameelne ja unustab kodust välja minnes sageli võtmed.
东道主	võõrustaja	Võõrustajatena peame külaliste eest hästi hoolitsema.
东张西望	ringi vahtima	Ära vaata tunnis ringi.
董事长	juhatuse esimees	Juhatuse esimees osales täna koosolekul.
冻结	külmutama	Pank külmutas selle konto ajutiselt.
动荡	rahutu	Sõda hoidis seda piirkonda pikka aega rahutuna.
动机	motiiv	Politsei uurib tema motiivi.
动静	hääl ja liikumine	Toas polnud vähimatki häält ega liikumist.
动力	motivatsioon	Huvi on õppimise motivatsioon.
动脉	arter	Arst kontrollis tema arterit.
动身	teele asuma	Homme varahommikul asume lennujaama poole teele.
动手	kallale minema	Asi pole veel selge, nii et keegi ärgu hakaku kaklema.
动态	areng	Palun jälgi projekti arengut igal ajal.
动员	mobiliseerima	Kool mobiliseeris õpilasi vabatahtlikus tegevuses osalema.
栋	hoone	Sellel hoonel on kakskümmend korrust.
兜	tasku	Ta pani võtmed mantlitaskusse.
陡峭	järsk	See mägitee on väga järsk.
斗争	võitlema	Nad võitlevad keskkonna kaitsmise eest.
督促	tagant sundima	Juht sundis kõiki ülesannet õigeks ajaks lõpetama.
毒品	narkootikumid	Toll konfiskeeris partii narkootikume.
独裁	diktatuur	Inimesed on diktatuuri vastu.
堵塞	ummistama	Prügi ummistas kanalisatsiooni.
赌博	hasartmänge mängima	Hasartmängud võivad tuua tõsiseid tagajärgi.
杜绝	lõpetama	Ettevõte nõuab raiskamise lõpetamist.
端	kandma	Ta tuli sisse, käes tass kuuma teed.
端午节	draakonipaatide püha	Draakonipaatide püha ajal sööme zongzi riisiklimpe.
