simplified	LO	example_LO
比较	ປຽບທຽບ; ຄ່ອນຂ້າງ	ມື້ນີ້ຄ່ອນຂ້າງຮ້ອນ.
比赛	ການແຂ່ງຂັນ	ການແຂ່ງຂັນນີ້ສຳຄັນຫຼາຍ.
笔记本	ປຶ້ມບັນທຶກ	ຂ້ອຍວາງປຶ້ມບັນທຶກໄວ້ເທິງໂຕະ.
必须	ຕ້ອງ	ເຈົ້າຕ້ອງທົບທວນບົດຮຽນຢ່າງຕັ້ງໃຈ.
变化	ການປ່ຽນແປງ; ປ່ຽນແປງ	ເມືອງນີ້ປ່ຽນແປງຫຼາຍ.
别人	ຄົນອື່ນ	ຢ່າເອົາຂອງຄົນອື່ນ.
冰箱	ຕູ້ເຢັນ	ໝາກໄມ້ຢູ່ໃນຕູ້ເຢັນ.
不但…而且…	ບໍ່ພຽງແຕ່...ແຕ່ຍັງ...	ລາວບໍ່ພຽງແຕ່ສະຫຼາດ ແຕ່ຍັງຂະຫຍັນຫຼາຍ.
菜单	ເມນູ; ລາຍການອາຫານ	ກະລຸນາເອົາເມນູໜຶ່ງອັນໃຫ້ຂ້ອຍ.
参加	ເຂົ້າຮ່ວມ	ຂ້ອຍຢາກເຂົ້າຮ່ວມການປະຊຸມນີ້.
草	ຫຍ້າ	ໝານ້ອຍກຳລັງແລ່ນຢູ່ເທິງຫຍ້າ.
层	ຊັ້ນ; ຊັ້ນຊ້ອນ	ອາຄານນີ້ມີສາມຊັ້ນ.
差	ບໍ່ດີ; ແຕກຕ່າງ; ຂາດ	ອາກາດມື້ນີ້ບໍ່ດີຫຼາຍ.
超市	ຊູເປີມາເກັດ	ຂ້ອຍໄປຊູເປີມາເກັດຊື້ເຂົ້າຈີ່.
衬衫	ເສື້ອເຊີດ	ເສື້ອເຊີດນີ້ສະອາດຫຼາຍ.
城市	ເມືອງ	ປັກກິ່ງເປັນເມືອງໃຫຍ່ເມືອງໜຶ່ງ.
成绩	ຄະແນນ; ຜົນການຮຽນ	ຄະແນນຄະນິດສາດຂອງລາວດີຫຼາຍ.
迟到	ມາຊ້າ	ຢ່າມາຊ້າເວລາເຂົ້າຮຽນ.
除了	ນອກຈາກ; ຍົກເວັ້ນ	ນອກຈາກກາເຟ, ຂ້ອຍຍັງຕ້ອງການຊາ.
船	ເຮືອ	ພວກເຮົາຂີ່ເຮືອໄປເມືອງນັ້ນ.
春	ລະດູບານໃໝ່	ລະດູບານໃໝ່ມີດອກໄມ້ຫຼາຍ.
词典	ວັດຈະນານຸກົມ	ວັດຈະນານຸກົມເຫຼັ້ມນີ້ມີປະໂຫຍດຫຼາຍ.
聪明	ສະຫຼາດ	ເດັກຄົນນີ້ສະຫຼາດຫຼາຍ.
打扫	ທຳຄວາມສະອາດ; ກວາດ	ຂ້ອຍທຳຄວາມສະອາດຫ້ອງໃນທ້າຍອາທິດ.
打算	ແຜນ; ວາງແຜນ	ມື້ອື່ນເຈົ້າມີແຜນຫຍັງ?
带	ເອົາໄປນຳ; ພາ	ກະລຸນາເອົາໜັງສືຜ່ານແດນຂອງເຈົ້າໄປນຳ.
担心	ກັງວົນ	ຢ່າກັງວົນ, ຂ້ອຍຈະຊ່ວຍເຈົ້າ.
蛋糕	ເຄັກ	ເຄັກນີ້ຫວານຫຼາຍ.
当然	ແນ່ນອນ	ແນ່ນອນໄດ້.
地	ຄຳຊ່ວຍຄຳວິເສດ	ລາວຍິ້ມຢ່າງດີໃຈ.
灯	ໂຄມໄຟ; ໄຟ	ກະລຸນາເປີດໄຟ.
地方	ບ່ອນ; ພື້ນທີ່	ບ່ອນນີ້ງຽບຫຼາຍ.
地铁	ລົດໄຟໃຕ້ດິນ	ຂ້ອຍຂີ່ລົດໄຟໃຕ້ດິນໄປເຮັດວຽກທຸກມື້.
地图	ແຜນທີ່	ຂ້ອຍຊອກຫາໂຮງຮຽນໃນແຜນທີ່.
电梯	ລິຟ	ລິຟຢູ່ທາງຊ້າຍ.
电子邮件	ອີເມວ	ຂ້ອຍສົ່ງອີເມວໃຫ້ຄູ.
东	ທິດຕາເວັນອອກ	ດວງອາທິດຂຶ້ນຈາກທິດຕາເວັນອອກ.
冬	ລະດູໜາວ	ລະດູໜາວຂ້ອຍມັກດື່ມຊາຮ້ອນ.
动物	ສັດ	ໝີແພນດາເປັນສັດທີ່ມີຊື່ສຽງຂອງຈີນ.
短	ສັ້ນ	ກາງເກງນີ້ສັ້ນເກີນໄປ.
段	ວັກ; ຕອນ	ກະລຸນາອ່ານວັກນີ້.
锻炼	ອອກກຳລັງກາຍ	ຂ້ອຍອອກກຳລັງກາຍທຸກເຊົ້າ.
多么	ຫຼາຍປານໃດ; ຊ່າງ...ແທ້	ສະພາບແວດລ້ອມຢູ່ນີ້ດີແທ້!
饿	ຫິວ	ຂ້ອຍຫິວແລ້ວ ຢາກກິນເຂົ້າຈີ່.
耳朵	ຫູ	ຫູຂອງຂ້ອຍເຈັບໜ້ອຍໜຶ່ງ.
发	ສົ່ງ; ອອກ	ຂ້ອຍສົ່ງອີເມວຕອນແລງ.
发烧	ເປັນໄຂ້	ລາວເປັນໄຂ້ ແລະໄປໂຮງຮຽນບໍ່ໄດ້.
发现	ພົບ; ຄົ້ນພົບ	ຂ້ອຍພົບວ່າວິທີນີ້ດີ.
方便	ສະດວກ	ຂີ່ລົດໄຟໃຕ້ດິນສະດວກຫຼາຍ.
放	ວາງ; ປ່ອຍ	ກະລຸນາວາງປຶ້ມໄວ້ເທິງໂຕະ.
放心	ບໍ່ຕ້ອງກັງວົນ; ສະບາຍໃຈ	ບໍ່ຕ້ອງກັງວົນ, ຂ້ອຍຈະມາທັນເວລາ.
分	ແບ່ງ; ແຍກ	ກະລຸນາແບ່ງເຄັກໃຫ້ທຸກຄົນ.
复习	ທົບທວນບົດຮຽນ	ກ່ອນສອບເສັງຂ້ອຍຕ້ອງທົບທວນບົດຮຽນ.
附近	ໃກ້ໆ; ບໍລິເວນໃກ້	ໃກ້ໆນີ້ມີຮ້ານອາຫານໜຶ່ງຮ້ານ.
干净	ສະອາດ	ຫ້ອງນີ້ສະອາດຫຼາຍ.
感冒	ເປັນຫວັດ	ຂ້ອຍເປັນຫວັດແລ້ວ ຢາກພັກຜ່ອນ.
感兴趣	ສົນໃຈ	ຂ້ອຍສົນໃຈພາສາຈີນຫຼາຍ.
刚才	ເມື່ອກີ້	ເມື່ອກີ້ໃຜໂທຫາເຈົ້າ?
个子	ຄວາມສູງ; ຮູບຮ່າງ	ລາວສູງ.
根据	ອີງຕາມ; ຕາມ	ອີງຕາມແຜນທີ່, ໂຮງຮຽນຢູ່ທາງຕາເວັນອອກ.
跟	ກັບ; ຕາມ	ຂ້ອຍໄປສວນສາທາລະນະກັບໝູ່.
更	ຍິ່ງກວ່າ; ຫຼາຍຂຶ້ນ	ມື້ນີ້ໜາວກວ່າມື້ວານອີກ.
公斤	ກິໂລກຣາມ	ໝາກໂປມເຫຼົ່ານີ້ໜັກໜຶ່ງກິໂລກຣາມ.
公园	ສວນສາທາລະນະ	ເດັກນ້ອຍກຳລັງຫຼິ້ນເກມຢູ່ສວນສາທາລະນະ.
故事	ນິທານ; ເລື່ອງ	ພໍ່ເຖົ້າເລົ່ານິທານໃຫ້ຂ້ອຍຟັງ.
刮风	ມີລົມພັດ	ມື້ນີ້ມີລົມພັດ, ຢ່າຂີ່ລົດຖີບ.
关	ປິດ	ກະລຸນາປິດປະຕູ.
关系	ຄວາມສຳພັນ	ຄວາມສຳພັນຂອງຂ້ອຍກັບເພື່ອນຮ່ວມງານດີຫຼາຍ.
关心	ໃສ່ໃຈ; ເປັນຫ່ວງ	ແມ່ໃສ່ໃຈສຸຂະພາບຂອງຂ້ອຍຫຼາຍ.
关于	ກ່ຽວກັບ	ປຶ້ມເຫຼັ້ມນີ້ກ່ຽວກັບວັດທະນະທຳຈີນ.
国家	ປະເທດ; ຊາດ	ຈີນເປັນປະເທດໃຫຍ່ຫຼາຍ.
过	ຄຳຊ່ວຍບອກປະສົບການ; ເຄີຍ	ຂ້ອຍເຄີຍໄປປັກກິ່ງ.
过去	ອະດີດ; ເມື່ອກ່ອນ	ເມື່ອກ່ອນບ່ອນນີ້ບໍ່ມີລົດໄຟໃຕ້ດິນ.
还是	ຫຼື; ຍັງ	ເຈົ້າດື່ມຊາຫຼືກາເຟ?
害怕	ຢ້ານ	ຂ້ອຍບໍ່ຢ້ານການສອບເສັງ.
黑板	ກະດານດຳ	ຄູຂຽນຕົວອັກສອນຢູ່ກະດານດຳ.
后来	ຕໍ່ມາ; ຫຼັງຈາກນັ້ນ	ຕໍ່ມາພວກເຮົາໄປສວນສາທາລະນະ.
护照	ໜັງສືຜ່ານແດນ	ກະລຸນາເອົາໜັງສືຜ່ານແດນຂອງເຈົ້າໄປນຳ.
96:花	ໃຊ້ຈ່າຍ; ເສຍຄ່າ	ຊື້ໂທລະສັບເສຍສອງພັນຢວນ.
97:花	ດອກໄມ້	ເທິງໂຕະມີດອກໄມ້ໜຶ່ງດອກ.
画	ແຕ້ມ; ຮູບແຕ້ມ	ນ້ອງສາວມັກແຕ້ມໝີແພນດາ.
坏	ເສຍ; ບໍ່ດີ	ຄອມພິວເຕີຂອງຂ້ອຍເສຍແລ້ວ.
欢迎	ຕ້ອນຮັບ; ຍິນດີຕ້ອນຮັບ	ຍິນດີຕ້ອນຮັບເຈົ້າມາເຮືອນຂ້ອຍ.
环境	ສະພາບແວດລ້ອມ	ສະພາບແວດລ້ອມຂອງໂຮງຮຽນນີ້ດີຫຼາຍ.
还	ສົ່ງຄືນ; ຄືນ	ກະລຸນາສົ່ງປຶ້ມຄືນໃຫ້ຂ້ອຍມື້ອື່ນ.
换	ປ່ຽນ; ແລກປ່ຽນ	ຂ້ອຍຢາກປ່ຽນເສື້ອເຊີດໜຶ່ງໂຕ.
黄河	ແມ່ນ້ຳຫວາງເຫີ	ແມ່ນ້ຳຫວາງເຫີຍາວຫຼາຍ.
回答	ຕອບ	ກະລຸນາຕອບຄຳຖາມຂອງຂ້ອຍ.
会议	ການປະຊຸມ	ການປະຊຸມເລີ່ມເກົ້າໂມງ.
或者	ຫຼື; ອາດຈະ	ເຈົ້າສາມາດຂີ່ລົດໄຟໃຕ້ດິນຫຼືຂີ່ລົດເມ.
几乎	ເກືອບ	ລາວອອກກຳລັງກາຍເກືອບທຸກມື້.
机会	ໂອກາດ	ນີ້ເປັນໂອກາດດີໜຶ່ງ.
极	ຫຼາຍທີ່ສຸດ; ຢ່າງຍິ່ງ	ນາງດີໃຈຢ່າງຍິ່ງ.
季节	ລະດູ	ລະດູໃບໄມ້ລົ່ນແມ່ນລະດູທີ່ຂ້ອຍມັກທີ່ສຸດ.
记得	ຈື່	ເຈົ້າຈື່ເອົາບັດເຄຣດິດໄປນຳບໍ?
检查	ກວດ	ທ່ານໝໍກວດຮ່າງກາຍໃຫ້ຂ້ອຍ.
简单	ງ່າຍ; ບໍ່ຊັບຊ້ອນ	ປະໂຫຍກນີ້ງ່າຍຫຼາຍ.
健康	ສຸຂະພາບ; ແຂງແຮງ	ອອກກຳລັງກາຍດີຕໍ່ສຸຂະພາບ.
见面	ພົບກັນ	ພວກເຮົາຈະພົບກັນຢູ່ໂຮງຮຽນມື້ອື່ນ.
讲	ອະທິບາຍ; ເວົ້າ	ຄູອະທິບາຍຊັດເຈນຫຼາຍ.
教	ສອນ	ລາວສອນຂ້ອຍຂຽນຕົວອັກສອນຈີນ.
脚	ຕີນ; ຂາ	ຕີນຂອງຂ້ອຍເຈັບໜ້ອຍໜຶ່ງ.
角	ມຸມ	ຮ້ານຢູ່ມຸມຖະໜົນ.
接	ໄປຮັບ; ຮັບ	ຂ້ອຍໄປສະໜາມບິນຮັບໝູ່.
街道	ຖະໜົນ	ຖະໜົນນີ້ສະອາດຫຼາຍ.
结婚	ແຕ່ງງານ	ພວກເຂົາຈະແຕ່ງງານປີໜ້າ.
结束	ຈົບ; ສິ້ນສຸດ	ການແຂ່ງຂັນຈົບແລ້ວ.
节目	ລາຍການ	ລາຍການໂທລະພາບນີ້ເບິ່ງມ່ວນຫຼາຍ.
节日	ວັນບຸນ; ເທດສະການ	ບຸນປີໃໝ່ຈີນເປັນວັນບຸນສຳຄັນຂອງຈີນ.
解决	ແກ້ໄຂ	ບັນຫານີ້ແກ້ໄຂແລ້ວ.
借	ຢືມ; ໃຫ້ຢືມ	ຂ້ອຍຢາກຢືມວັດຈະນານຸກົມຂອງເຈົ້າ.
经常	ເລື້ອຍໆ	ຂ້ອຍໄປຫໍສະໝຸດເລື້ອຍໆ.
经过	ຜ່ານ	ຂ້ອຍຜ່ານສວນສາທາລະນະນີ້ທຸກມື້.
经理	ຜູ້ຈັດການ	ຜູ້ຈັດການກຳລັງປະຊຸມ.
久	ດົນ	ຂ້ອຍຢູ່ບ່ອນນີ້ດົນແລ້ວ.
旧	ເກົ່າ; ໃຊ້ແລ້ວ	ເສື້ອຜ້ານີ້ເກົ່າຫຼາຍ.
句子	ປະໂຫຍກ	ກະລຸນາຂຽນປະໂຫຍກໜຶ່ງ.
决定	ຕັດສິນໃຈ; ການຕັດສິນໃຈ	ຂ້ອຍຕັດສິນໃຈຮຽນພາສາຈີນ.
可爱	ໜ້າຮັກ	ແມວໂຕນີ້ໜ້າຮັກຫຼາຍ.
渴	ຫິວນ້ຳ	ຂ້ອຍຫິວນ້ຳຫຼາຍ ຢາກດື່ມນ້ຳ.
刻	ໜຶ່ງສ່ວນສີ່ຊົ່ວໂມງ; ຂະນະ	ດຽວນີ້ແປດໂມງສິບຫ້ານາທີ.
客人	ແຂກ; ລູກຄ້າ	ມື້ນີ້ມີແຂກມາເຮືອນ.
空调	ແອ	ກະລຸນາເປີດແອ.
口	ປາກ; ຄຳ; ອຶກ	ລາວດື່ມນ້ຳໜຶ່ງອຶກ.
哭	ຮ້ອງໄຫ້	ເປັນຫຍັງເດັກຮ້ອງໄຫ້?
裤子	ກາງເກງ	ກາງເກງນີ້ໃໝ່.
筷子	ຕະກຽບ	ຂ້ອຍໃຊ້ຕະກຽບກິນເຂົ້າໄດ້.
蓝	ສີຟ້າ; ສີນ້ຳເງິນ	ທ້ອງຟ້າເປັນສີຟ້າ.
老	ເຖົ້າ; ເກົ່າ	ຄູຂອງຂ້ອຍບໍ່ເຖົ້າ.
离开	ອອກຈາກ	ລາວຈະອອກຈາກປັກກິ່ງມື້ອື່ນ.
礼物	ຂອງຂວັນ	ນີ້ແມ່ນຂອງຂວັນໃຫ້ເຈົ້າ.
历史	ປະຫວັດສາດ	ຂ້ອຍມັກປະຫວັດສາດຈີນ.
脸	ໜ້າ	ໜ້າຂອງນາງແດງຫຼາຍ.
练习	ຝຶກ; ແບບຝຶກຫັດ	ກະລຸນາຝຶກເວົ້າພາສາຈີນຫຼາຍໆ.
辆	ລັກສະນະນາມສຳລັບຍານພາຫະນະ	ຢູ່ໜ້າປະຕູມີແທັກຊີໜຶ່ງຄັນ.
聊天	ລົມກັນ	ຂ້ອຍລົມກັນກັບໝູ່.
了解	ເຂົ້າໃຈ; ຮູ້ຈັກ	ຂ້ອຍຢາກເຂົ້າໃຈວັດທະນະທຳຈີນ.
邻居	ເພື່ອນບ້ານ	ເພື່ອນບ້ານຂອງຂ້ອຍໃຈດີຫຼາຍ.
留学	ໄປຮຽນຕ່າງປະເທດ	ນາງກຳລັງຮຽນຢູ່ຈີນ.
楼	ອາຄານ; ຊັ້ນ	ຫ້ອງການຢູ່ຊັ້ນສາມ.
绿	ສີຂຽວ	ລະດູບານໃໝ່ຕົ້ນໄມ້ທັງໝົດຂຽວແລ້ວ.
马	ມ້າ	ມ້າໂຕນັ້ນແລ່ນໄວຫຼາຍ.
马上	ທັນທີ	ຂ້ອຍຈະກັບມາທັນທີ.
满意	ພໍໃຈ	ຂ້ອຍພໍໃຈຫ້ອງນີ້ຫຼາຍ.
帽子	ໝວກ	ໝວກນີ້ງາມຫຼາຍ.
米	ແມັດ; ເຂົ້າສານ	ໂຕະນີ້ຍາວສອງແມັດ.
面包	ເຂົ້າຈີ່	ອາຫານເຊົ້າຂ້ອຍກິນເຂົ້າຈີ່.
明白	ເຂົ້າໃຈ; ຊັດເຈນ	ຂ້ອຍເຂົ້າໃຈຄວາມໝາຍຂອງເຈົ້າ.
拿	ເອົາ; ຖື	ກະລຸນາເອົາປຶ້ມໜຶ່ງເຫຼັ້ມໃຫ້ຂ້ອຍ.
奶奶	ຍ່າ	ຍ່າມັກຟັງດົນຕີ.
南	ທິດໃຕ້	ໂຮງຮຽນຢູ່ທາງໃຕ້ຂອງເມືອງ.
难	ຍາກ	ຄຳຖາມນີ້ບໍ່ຍາກ.
难过	ເສຍໃຈ; ໂສກເສົ້າ	ມື້ນີ້ນາງເສຍໃຈໜ້ອຍໜຶ່ງ.
年级	ຊັ້ນຮຽນ	ນ້ອງສາວຂ້ອຍຮຽນຊັ້ນສາມ.
年轻	ໜຸ່ມ; ອ່ອນໄວ	ຜູ້ຈັດການຄົນນີ້ຍັງໜຸ່ມຫຼາຍ.
鸟	ນົກ	ຢູ່ເທິງຕົ້ນໄມ້ມີນົກໜຶ່ງໂຕ.
努力	ພະຍາຍາມ; ຂະຫຍັນ	ລາວຮຽນຢ່າງຂະຫຍັນ.
爬山	ປີນພູ; ຂຶ້ນພູ	ທ້າຍອາທິດພວກເຮົາໄປຂຶ້ນພູ.
盘子	ຈານ	ເທິງໂຕະມີຈານສາມໃບ.
胖	ອ້ວນ	ໝາໂຕນີ້ອ້ວນໜ້ອຍໜຶ່ງ.
啤酒	ເບຍ	ພໍ່ບໍ່ດື່ມເບຍ.
皮鞋	ເກີບໜັງ	ເກີບໜັງຄູ່ນີ້ແພງຫຼາຍ.
瓶子	ຂວດ	ໃນຂວດມີນ້ຳ.
其实	ຄວາມຈິງແລ້ວ	ຄວາມຈິງແລ້ວຂ້ອຍບໍ່ມັກເບຍ.
其他	ອື່ນໆ	ເພື່ອນຮ່ວມຫ້ອງຄົນອື່ນມາໝົດແລ້ວ.
奇怪	ແປກ	ສຽງນີ້ແປກຫຼາຍ.
骑	ຂີ່	ລາວຂີ່ລົດຖີບໄປເຮັດວຽກທຸກມື້.
起飞	ບິນຂຶ້ນ	ເຮືອບິນຈະບິນຂຶ້ນໃນອີກບໍ່ດົນ.
起来	ລຸກຂຶ້ນ	ກະລຸນາລຸກຂຶ້ນ.
清楚	ຊັດເຈນ	ເຈົ້າເວົ້າຊັດເຈນຫຼາຍ.
请假	ຂໍລາພັກ	ລາວເປັນຫວັດ ຈຶ່ງຕ້ອງຂໍລາພັກ.
秋	ລະດູໃບໄມ້ລົ່ນ	ອາກາດໃນລະດູໃບໄມ້ລົ່ນສະບາຍຫຼາຍ.
裙子	ກະໂປງ	ກະໂປງນີ້ງາມຫຼາຍ.
然后	ຈາກນັ້ນ	ຂ້ອຍກິນເຂົ້າກ່ອນ ຈາກນັ້ນເຮັດວຽກບ້ານ.
热情	ໃຈດີ; ອົບອຸ່ນ	ໝູ່ຄົນຈີນໃຈດີຫຼາຍ.
认为	ຄິດວ່າ; ເຫັນວ່າ	ຂ້ອຍຄິດວ່າວິທີນີ້ດີຫຼາຍ.
认真	ຕັ້ງໃຈ; ຈິງຈັງ	ກະລຸນາຕັ້ງໃຈຟັງຄູອະທິບາຍ.
容易	ງ່າຍ	ຕົວອັກສອນຈີນນີ້ຂຽນງ່າຍ.
如果	ຖ້າ	ຖ້າຝົນຕົກ, ພວກເຮົາຈະຂີ່ລົດໄຟໃຕ້ດິນ.
伞	ຄັນຮົ່ມ	ຝົນຕົກແລ້ວ, ກະລຸນາເອົາຄັນຮົ່ມໄປນຳ.
上网	ເຂົ້າອິນເຕີເນັດ	ຕອນແລງຂ້ອຍເຂົ້າອິນເຕີເນັດຊອກຫາແຜນທີ່.
声音	ສຽງ	ສຽງຂອງເຈົ້າຟັງມ່ວນຫຼາຍ.
生气	ໃຈຮ້າຍ	ຢ່າໃຈຮ້າຍ, ຂ້ອຍບໍ່ໄດ້ຕັ້ງໃຈ.
世界	ໂລກ	ໂລກກວ້າງໃຫຍ່ຫຼາຍ.
试	ລອງ	ຂ້ອຍຢາກລອງໃສ່ເກີບໜັງຄູ່ນີ້.
瘦	ຈ່ອຍ; ຜອມ	ລາວຜອມກວ່າແຕ່ກ່ອນ.
叔叔	ລຸງ; ອາຊາຍ	ລຸງຂັບລົດສົ່ງຂ້ອຍໄປໂຮງຮຽນ.
舒服	ສະບາຍ	ຕັ່ງນີ້ນັ່ງສະບາຍຫຼາຍ.
数学	ຄະນິດສາດ	ຫ້ອງຮຽນຄະນິດສາດນ່າສົນໃຈ.
树	ຕົ້ນໄມ້	ຂ້າງໜ້າເຮືອນມີຕົ້ນໄມ້ໜຶ່ງຕົ້ນ.
刷牙	ຖູແຂ້ວ	ຂ້ອຍຖູແຂ້ວທຸກເຊົ້າ.
双	ຄູ່; ສອງ	ຂ້ອຍຊື້ເກີບໜັງໜຶ່ງຄູ່.
水平	ລະດັບ	ລະດັບພາສາຈີນຂອງລາວສູງ.
司机	ຄົນຂັບລົດ	ຄົນຂັບລົດກຳລັງລໍຖ້າພວກເຮົາຢູ່ໜ້າປະຕູ.
太阳	ດວງອາທິດ	ມື້ນີ້ແດດແຮງຫຼາຍ.
特别	ພິເສດ; ໂດຍສະເພາະ	ລາຍການນີ້ນ່າສົນໃຈໂດຍສະເພາະ.
疼	ເຈັບ	ຂາຂອງຂ້ອຍເຈັບຫຼາຍ.
提高	ຍົກລະດັບ; ເພີ່ມຂຶ້ນ	ຝຶກຫຼາຍສາມາດຍົກລະດັບພາສາຈີນໄດ້.
体育	ກິລາ; ພະລະສຶກສາ	ຂ້ອຍມັກຫ້ອງຮຽນພະລະສຶກສາ.
甜	ຫວານ	ເຄື່ອງດື່ມນີ້ຫວານເກີນໄປ.
条	ລັກສະນະນາມສຳລັບຂອງຍາວ	ຂ້ອຍຊື້ກະໂປງໜຶ່ງຜືນ.
同事	ເພື່ອນຮ່ວມງານ	ເພື່ອນຮ່ວມງານຂອງຂ້ອຍຫຍຸ້ງຫຼາຍ.
同意	ເຫັນດີ	ຂ້ອຍເຫັນດີກັບການຕັດສິນໃຈຂອງເຈົ້າ.
头发	ຜົມ	ຜົມຂອງນາງຍາວ.
突然	ກະທັນຫັນ	ລາວອອກໄປກະທັນຫັນ.
图书馆	ຫໍສະໝຸດ	ຫໍສະໝຸດມື້ນີ້ບໍ່ເປີດ.
腿	ຂາ	ຫຼັງຈາກຂຶ້ນພູ, ຂາຂອງຂ້ອຍເຈັບຫຼາຍ.
完成	ສຳເລັດ	ຂ້ອຍເຮັດວຽກບ້ານສຳເລັດແລ້ວ.
碗	ຖ້ວຍ	ເທິງໂຕະມີຖ້ວຍສອງໃບ.
万	ໜຶ່ງໝື່ນ	ເມືອງນີ້ມີຄົນໜຶ່ງໝື່ນຄົນ.
忘记	ລືມ	ຢ່າລືມເອົາໜັງສືຜ່ານແດນໄປນຳ.
为	ເພື່ອ; ເພາະ	ຂ້ອຍດີໃຈເພື່ອເຈົ້າ.
为了	ເພື່ອ	ເພື່ອການສອບເສັງ, ລາວທົບທວນບົດຮຽນທຸກມື້.
位	ລັກສະນະນາມສຸພາບສຳລັບຄົນ	ຄູທ່ານນີ້ມີຊື່ສຽງຫຼາຍ.
文化	ວັດທະນະທຳ	ຂ້ອຍຢາກເຂົ້າໃຈວັດທະນະທຳຈີນ.
西	ທິດຕາເວັນຕົກ	ທະນາຄານຢູ່ທາງຕາເວັນຕົກຂອງໂຮງຮຽນ.
习惯	ນິໄສ; ຄຸ້ນເຄີຍ	ຂ້ອຍຄຸ້ນເຄີຍກັບການອອກກຳລັງກາຍຕອນເຊົ້າ.
洗手间	ຫ້ອງນ້ຳ; ຫ້ອງສ້ວມ	ຫ້ອງນ້ຳຢູ່ທາງຂວາ.
洗澡	ອາບນ້ຳ	ຂ້ອຍອາບນ້ຳຕອນແລງ.
夏	ລະດູຮ້ອນ	ລະດູຮ້ອນຮ້ອນຫຼາຍ.
先	ກ່ອນ	ເຈົ້າກິນເຂົ້າກ່ອນເຖາະ.
相信	ເຊື່ອ	ຂ້ອຍເຊື່ອວ່າລາວຈະມາ.
香蕉	ໝາກກ້ວຍ	ຂ້ອຍຊື້ໝາກກ້ວຍສາມໜ່ວຍ.
像	ຄື; ເບິ່ງຄື	ເມກນີ້ເບິ່ງຄືນົກໂຕໜຶ່ງ.
向	ໄປທາງ; ທິດທາງ	ກະລຸນາຍ່າງໄປທາງຊ້າຍ.
小心	ລະວັງ	ຝົນຕົກແລ້ວ, ລະວັງຕາມທາງ.
校长	ຜູ້ອຳນວຍການໂຮງຮຽນ	ຜູ້ອຳນວຍການຢູ່ຫ້ອງການ.
新闻	ຂ່າວ	ພໍ່ເບິ່ງຂ່າວທຸກມື້.
新鲜	ສົດ	ໝາກໄມ້ນີ້ສົດຫຼາຍ.
信用卡	ບັດເຄຣດິດ	ຂ້ອຍຈ່າຍເງິນດ້ວຍບັດເຄຣດິດໄດ້ບໍ?
行李箱	ກະເປົາເດີນທາງ	ກະເປົາເດີນທາງຂອງຂ້ອຍໜັກຫຼາຍ.
熊猫	ໝີແພນດາ	ເດັກນ້ອຍມັກເບິ່ງໝີແພນດາ.
需要	ຕ້ອງການ	ຂ້ອຍຕ້ອງການຄວາມຊ່ວຍເຫຼືອຂອງເຈົ້າ.
选择	ເລືອກ; ທາງເລືອກ	ເຈົ້າເລືອກເສື້ອເຊີດໂຕໃດ?
要求	ຮ້ອງຂໍ; ຕ້ອງການ	ຄູຮ້ອງຂໍໃຫ້ພວກເຮົາເຮັດວຽກບ້ານຢ່າງຕັ້ງໃຈ.
爷爷	ພໍ່ເຖົ້າ	ພໍ່ເຖົ້າໄປສວນສາທາລະນະທຸກມື້.
