source_headword	FR	example_FR
boss	le patron; la patronne	Mon patron est gentil.
bottom	le bas; le fond	Signe en bas.
bowl	le bol; le saladier	Le bol est plein.
brain	le cerveau	Ton cerveau a besoin de repos.
bridge	le pont	Le pont est vieux.
bright	clair; lumineux	La pièce est lumineuse.
brilliant	brillant; excellent	Cette idée est excellente.
broken	cassé; cassée	La chaise est cassée.
brush	la brosse; brosser	Brosse-toi les dents maintenant.
burn	brûler	Ne brûle pas le pain.
businessman	l'homme d'affaires	L'homme d'affaires est arrivé tôt.
button	le bouton	Appuie sur le bouton rouge.
camp	le camp; camper	Nous campons près du lac.
camping	le camping; camper	Le camping est amusant en été.
can2	la boîte; la canette	Ouvre la boîte avec soin.
care	le soin; prendre soin de	Prends soin de ta santé.
careful	prudent; attentive	Sois prudent dans l'escalier.
carefully	soigneusement; avec attention	Lis la question avec attention.
carpet	le tapis	Le tapis est doux.
cartoon	le dessin animé	Ce dessin animé est drôle.
case	le cas; l'étui	Mets-le dans l'étui.
cash	l'argent liquide	J'ai payé en espèces.
castle	le château	Le château est très ancien.
catch	attraper; prendre	Attrape le ballon maintenant.
cause	la cause; causer	La pluie peut causer des problèmes.
celebrate	célébrer	Nous célébrons mon anniversaire.
celebrity	la célébrité	La célébrité était très gentille.
certain	certain; sûr	Je suis sûr de cela.
certainly	certainement; bien sûr	Je vais certainement t'aider.
chance	la chance; l'occasion	Tu as une chance.
character	le personnage; le caractère	Ce personnage est courageux.
charity	l'association caritative; la charité	L'association caritative aide les enfants.
chat	discuter; le chat	Nous discutons après le cours.
chef	le chef; la cheffe	La cheffe a préparé la soupe.
chemistry	la chimie	La chimie est difficile pour moi.
chip	la frite; la puce	Cette frite est salée.
choice	le choix	Ce choix est important.
church	l'église	L'église est proche.
cigarette	la cigarette	La cigarette est mauvaise pour la santé.
circle	le cercle; entourer	Dessine un cercle ici.
classical	classique	J'aime la musique classique.
clear	clair; dégager	La réponse est claire.
clearly	clairement	Parle clairement, s'il te plaît.
clever	intelligent; intelligente	C'est une enfant intelligente.
climate	le climat	Le climat change.
close2	proche; près de	Mon école est près de chez moi.
closed	fermé; fermée	Le magasin est fermé.
clothing	les vêtements	Les vêtements chauds sont utiles.
cloud	le nuage	Le nuage cache le soleil.
coach	l'entraîneur; l'autocar	L'entraîneur a aidé l'équipe.
coast	la côte	Nous avons longé la côte en voiture.
code	le code	Entre le code ici.
colleague	le collègue; la collègue	Mon collègue m'a appelé.
collect	collectionner; ramasser	Je collectionne les vieilles cartes.
column	la colonne	Lis la première colonne.
comedy	la comédie	Cette comédie est drôle.
comfortable	confortable	Cette chaise est confortable.
comment	le commentaire; commenter	Laisse un commentaire ci-dessous.
communicate	communiquer	Nous communiquons par courriel.
community	la communauté	Notre communauté est accueillante.
compete	concourir; être en compétition	Ils sont en compétition chaque année.
competition	la compétition; le concours	La compétition commence demain.
complain	se plaindre	Ne te plains pas encore.
completely	complètement	Je suis complètement d'accord avec toi.
condition	la condition; l'état	La voiture est en bon état.
conference	la conférence	La conférence commence à neuf heures.
connect	connecter; relier	Connecte le téléphone à l'ordinateur.
connected	connecté; lié	Ces deux idées sont liées.
consider	considérer; réfléchir à	Veuillez considérer mon idée.
contain	contenir	Cette boîte contient des livres.
context	le contexte	Le contexte aide à comprendre.
continent	le continent	Le continent est très grand.
continue	continuer	Continue à lire, s'il te plaît.
control	le contrôle; contrôler	Contrôle bien la vitesse.
cooker	la cuisinière	La cuisinière est propre.
copy	la copie; copier	Fais une copie pour moi.
corner	le coin	Assieds-toi dans le coin.
correctly	correctement	Écris la réponse correctement.
count	compter; le compte	Compte les livres.
couple	le couple	Le couple est arrivé tôt.
cover	couvrir; le couvercle	Couvre le bol.
crazy	fou; folle	Cette idée semble folle.
creative	créatif; créative	Elle a une idée créative.
credit	le crédit	J'ai payé par carte de crédit.
crime	le crime; la criminalité	La criminalité est un problème sérieux.
criminal	le criminel; criminel	Le criminel est parti vite.
cross	traverser; la croix	Traverse la rue avec prudence.
crowd	la foule	La foule attendait dehors.
crowded	bondé; plein	Le train était bondé.
cry	pleurer; le cri	Ne pleure pas maintenant.
cupboard	le placard	Les tasses sont dans le placard.
curly	bouclé; frisé	Elle a les cheveux bouclés.
cycle	faire du vélo; le cycle	Je vais à l'école à vélo.
daily	quotidien; quotidiennement	Je lis les nouvelles quotidiennement.
danger	le danger	Le panneau montre un danger.
data	les données	Ces données sont utiles.
dead	mort; morte	La plante est morte.
deal	l'affaire; l'accord	C'est une bonne affaire.
death	la mort	La mort est un sujet difficile.
decision	la décision	Prends une décision aujourd'hui.
deep	profond; profondément	L'eau est profonde.
definitely	définitivement; sans aucun doute	Je veux vraiment du thé.
degree	le diplôme; le degré	Mon diplôme est en histoire.
dentist	le dentiste; la dentiste	Le dentiste a vérifié mes dents.
department	le département; le rayon	Le rayon chaussures est à l'étage.
depend	dépendre	Cela dépend du temps.
desert	le désert	Le désert est très sec.
designer	le designer; la designer	La designer a créé cette robe.
destroy	détruire	Ne détruis pas le fichier.
detective	le détective; la détective	Le détective a trouvé la clé.
develop	développer	Ils développent une nouvelle application.
device	l'appareil; le dispositif	Cet appareil est utile.
diary	le journal intime	Elle écrit dans son journal.
differently	différemment	Nous faisons cela différemment.
digital	numérique	C'est un appareil photo numérique.
direct	direct; diriger	Prends le train direct.
direction	la direction	Va dans cette direction.
director	le directeur; le réalisateur	Le réalisateur a aimé le film.
disagree	ne pas être d'accord	Je ne suis pas d'accord avec cette idée.
disappear	disparaître	Le soleil va bientôt disparaître.
disaster	le désastre; la catastrophe	La tempête a été un désastre.
discover	découvrir	Ils découvrent une nouvelle île.
discovery	la découverte	La découverte a changé la science.
discussion	la discussion; le débat	La discussion s'est terminée tôt.
disease	la maladie	Cette maladie est grave.
distance	la distance	La distance est courte.
divorced	divorcé; divorcée	Ses parents sont divorcés.
document	le document; documenter	Enregistre ce document maintenant.
double	double	J'ai besoin d'une chambre double.
download	télécharger; le téléchargement	Télécharge l'application aujourd'hui.
drama	le drame	Le drame commence ce soir.
drawing	le dessin	Son dessin est beau.
dream	le rêve; rêver	J'ai fait un rêve étrange.
driving	la conduite	Conduire la nuit est difficile.
drop	laisser tomber; la goutte	Ne laisse pas tomber le verre.
drug	le médicament; la drogue	Le médicament l'a aidé.
dry	sec; sécher	La serviette est sèche.
earn	gagner	Je gagne de l'argent au travail.
earth	la Terre; la terre	La Terre est ronde.
easily	facilement	Elle apprend facilement.
education	l'éducation	L'éducation est importante.
effect	l'effet; l'influence	L'effet était clair.
either	l'un ou l'autre; non plus	L'une ou l'autre réponse convient.
electric	électrique	Cette voiture est électrique.
electrical	électrique	Le système électrique est sûr.
electricity	l'électricité	L'électricité est chère ici.
electronic	électronique	Ce billet électronique fonctionne.
employ	employer; embaucher	Ils emploient cinq personnes.
employee	l'employé; l'employée	L'employé travaille beaucoup.
employer	l'employeur; l'employeuse	Mon employeur est juste.
empty	vide; vider	La pièce est vide.
ending	la fin	La fin était inattendue.
energy	l'énergie	Je n'ai pas d'énergie aujourd'hui.
engine	le moteur	Le moteur est bruyant.
engineer	l'ingénieur; l'ingénieure	L'ingénieure a réparé le pont.
enormous	énorme	Le bâtiment est énorme.
enter	entrer; saisir	Entre dans la pièce en silence.
environment	l'environnement	Protège l'environnement.
equipment	l'équipement	Cet équipement est cher.
error	l'erreur	J'ai trouvé une erreur.
especially	surtout; particulièrement	J'aime surtout cette chanson.
essay	la dissertation; l'essai	Écris une dissertation ce soir.
everyday	quotidien; de tous les jours	C'est de l'anglais quotidien.
everywhere	partout	Les fleurs poussent partout.
evidence	la preuve	Les preuves sont claires.
exact	exact	Donne le nombre exact.
exactly	exactement	C'est exactement correct.
excellent	excellent; excellente	Ton travail est excellent.
except	sauf; excepté	Tout le monde est venu sauf moi.
exist	exister	Cette adresse existe-t-elle ?
expect	s'attendre à; attendre	Je m'attends à de la pluie demain.
experience	l'expérience	J'ai de l'expérience avec les enfants.
experiment	l'expérience; l'expérimentation	L'expérience s'est bien passée.
expert	l'expert; l'experte	Demande de l'aide à un expert.
explanation	l'explication	Son explication était claire.
express	exprimer	Exprime ton opinion, s'il te plaît.
expression	l'expression	Cette expression est courante.
extreme	extrême	La chaleur était extrême.
extremely	extrêmement; très	Il fait extrêmement froid.
factor	le facteur	Le coût est un facteur.
factory	l'usine	L'usine ferme à cinq heures.
fail	échouer; rater	Je n'ai pas échoué.
fair	juste; équitable	Le prix est juste.
fan	le ventilateur; le fan	Allume le ventilateur.
farming	l'agriculture	Le travail agricole est dur.
fashion	la mode	La mode change chaque année.
fear	la peur; craindre	La peur peut arrêter les gens.
feature	la caractéristique; la fonction	Ce téléphone a une fonction utile.
feed	nourrir; la nourriture	Nourris le chat maintenant.
female	féminin; la femme	L'athlète a gagné.
fiction	la fiction	Elle lit de la fiction le soir.
field	le champ; le domaine	Le champ est vert.
fight	se battre; le combat	Ils se battent trop.
figure	la figure; le chiffre	Regarde la figure.
finally	enfin	Nous sommes enfin arrivés à la maison.
finger	le doigt	J'ai mal au doigt.
firstly	premièrement	Premièrement, lis la question.
fishing	la pêche	La pêche est populaire ici.
fit	aller; convenir	Ces chaussures vont bien.
fix	réparer; fixer	Répare la chaise cassée.
flu	la grippe	J'ai la grippe.
flying	le vol; volant	Le vol est rapide.
focus	se concentrer; le focus	Concentre-toi sur cette tâche.
following	suivant; suivante	Lis la phrase suivante.
foreign	étranger; étrangère	Elle parle une langue étrangère.
forest	la forêt	La forêt est calme.
fork	la fourchette	Utilise la fourchette.
formal	formel; officiel	Cette lettre est formelle.
fortunately	heureusement	Heureusement, personne n'a été blessé.
forward	en avant	Avance lentement.
fresh	frais; fraîche	Le pain est frais.
