source_headword	TH	example_TH
terms	เงื่อนไข	เงื่อนไขของสัญญาชัดเจน.
terribly	อย่างมาก	เด็กอารมณ์เสียอย่างมาก.
terrify	ทำให้หวาดกลัว	เสียงดังทำให้สุนัขหวาดกลัว.
territory	ดินแดน	แผนที่แสดงดินแดนใหม่.
terror	ความหวาดกลัว	ความหวาดกลัวแพร่กระจายหลังจากการโจมตี.
terrorism	การก่อการร้าย	การก่อการร้ายคุกคามความปลอดภัยสาธารณะ.
terrorist	ผู้ก่อการร้าย	ตำรวจจับกุมผู้ก่อการร้ายเมื่อวานนี้.
testing	การทดสอบ	การทดสอบผลิตภัณฑ์เริ่มต้นในวันจันทร์.
textbook	หนังสือเรียน	เธอลืมหนังสือเรียนวิชาชีววิทยา.
theft	การขโมย	การขโมยเพิ่มขึ้นในพื้นที่.
therapist	นักบำบัด	นักบำบัดช่วยเขาจัดการกับความวิตกกังวล.
thesis	วิทยานิพนธ์	วิทยานิพนธ์ของเธอตรวจสอบการเรียนรู้ออนไลน์.
thorough	ละเอียดถี่ถ้วน	การตรวจสอบอย่างละเอียดถี่ถ้วนไม่พบข้อผิดพลาด.
thoroughly	อย่างละเอียด	ทำความสะอาดแผลอย่างละเอียด.
thumb	นิ้วหัวแม่มือ	เขายกนิ้วหัวแม่มือขึ้นเพื่อเป็นสัญญาณอนุมัติ.
timing	จังหวะเวลา	จังหวะเวลาของการโทรนั้นสมบูรณ์แบบ.
tissue	กระดาษชำระ	เธอเช็ดแก้วด้วยกระดาษชำระ.
ton	ตัน	รถบรรทุกบรรทุกทรายหนึ่งตัน.
tonne	ตัน	สินค้าน้ำหนักหนึ่งตัน.
tournament	การแข่งขัน	การแข่งขันเทนนิสเริ่มพรุ่งนี้.
trace	ติดตาม	นักวิทยาศาสตร์สามารถติดตามแหล่งที่มาของไวรัสได้.
trading	การซื้อขาย	การซื้อขายหุ้นหยุดลงในตอนเที่ยง.
tragedy	โศกนาฏกรรม	อุบัติเหตุครั้งนี้เป็นโศกนาฏกรรมที่เลวร้าย.
tragic	น่าเศร้าสลด	การชนกันมีผลที่ตามมาที่น่าเศร้าสลด.
trait	ลักษณะนิสัย	ความอดทนเป็นลักษณะนิสัยที่มีประโยชน์.
transmit	แพร่เชื้อ	ยุงสามารถแพร่เชื้อโรคได้.
transportation	การคมนาคม	การคมนาคมสาธารณะวันนี้คนพลุกพล่าน.
trap	ดักจับ	กล่องนี้สามารถดักจับแมลงได้อย่างปลอดภัย.
treasure	สมบัติ	หีบเก่ามีสมบัติอยู่.
tribe	เผ่า	เผ่าได้ปกป้องประเพณีของตน.
trigger	กระตุ้น	ควันสามารถกระตุ้นสัญญาณเตือนได้.
trillion	ล้านล้าน	หนี้ถึงหนึ่งล้านล้านดอลลาร์.
troop	กองกำลัง	กองกำลังเคลื่อนตัวไปยังชายแดน.
tsunami	สึนามิ	สึนามิทำลายบ้านเรือนริมชายฝั่ง.
ultimate	ท้ายที่สุด	เป้าหมายท้ายที่สุดคือสันติภาพ.
unacceptable	ไม่สามารถยอมรับได้	ความล่าช้านี้ไม่สามารถยอมรับได้สำหรับผู้โดยสาร.
uncertainty	ความไม่แน่นอน	ความไม่แน่นอนทำให้นักลงทุนกังวล.
undergo	เขารับ	ผู้ป่วยจะเข้ารับการผ่าตัดในวันพรุ่งนี้.
undertake	ดำเนินการ	ทีมจะดำเนินการสำรวจ.
unfold	เปิดเผย	ละครเริ่มเปิดเผยอย่างช้าๆ.
unfortunate	โชคร้าย	ข้อผิดพลาดนั้นเป็นความโชคร้ายแต่สามารถแก้ไขได้.
unite	รวมกัน	ผู้นำพยายามที่จะรวมพรรค.
unity	ความสามัคคี	สุนทรพจน์เรียกร้องให้มีความสามัคคีในชาติ.
universal	สากล	แอปนี้ใช้การออกแบบสากล.
urgent	ด่วน	โรงพยาบาลได้รับสายด่วน.
usage	การใช้งาน	คู่มืออธิบายการใช้งานที่ถูกต้อง.
useless	ไร้ประโยชน์	ที่ชาร์จที่พังนั้นไร้ประโยชน์.
valid	ถูกต้องตามกฎหมาย	หนังสือเดินทางของคุณยังคงใช้ได้.
variation	ความแปรปรวน	มีความแปรปรวนของราคาอย่างมาก.
vertical	แนวตั้ง	แผนภูมิมีแกนแนวตั้ง.
viewpoint	มุมมอง	มุมมองของเธอเปลี่ยนไปหลังจากการโต้วาที.
visa	วีซ่า	เขายื่นขอวีซ่านักเรียน.
visible	มองเห็นได้	ป้ายมองเห็นได้จากที่นี่.
voluntary	สมัครใจ	หลักสูตรนี้รวมถึงเวิร์กชอปที่สมัครใจ.
voting	การลงคะแนนเสียง	การลงคะแนนเสียงล่วงหน้าจะเริ่มในสัปดาห์หน้า.
wander	เดินเตร่	นักท่องเที่ยวเดินเตร่ผ่านตลาดเก่า.
warming	ภาวะโลกร้อน	ภาวะโลกร้อนส่งผลกระทบต่อระดับน้ำทะเล.
weekly	ประจำสัปดาห์	ทีมจัดการประชุมประจำสัปดาห์.
weird	แปลก	เสียงนั้นฟังดูแปลก.
welfare	สวัสดิการ	โครงการสนับสนุนสวัสดิการเด็ก.
wheat	ข้าวสาลี	ชาวนาปลูกข้าวสาลี.
whoever	ใครก็ตาม	ใครก็ตามที่มาถึงก่อนควรรออยู่ข้างนอก.
widespread	เป็นวงกว้าง	พายุทำให้เกิดความเสียหายเป็นวงกว้าง.
wisdom	ภูมิปัญญา	ย่าของเธอแบ่งปันภูมิปัญญาที่ใช้ได้จริง.
withdraw	ถอน	เขาตัดสินใจถอนใบสมัครของเขา.
workforce	กำลังคน	กำลังคนต้องการทักษะใหม่.
workplace	สถานที่ทำงาน	สถานที่ทำงานมีกฎความปลอดภัยที่ชัดเจน.
workshop	เวิร์กชอป	เวิร์กชอปเริ่มเวลาสิบโมง.
worm	หนอน	หนอนตัวหนึ่งเคลื่อนตัวข้ามดิน.
wrist	ข้อมือ	เธอทำข้อมือบาดเจ็บ.
