source_headword	LT	example_LT
certainly	tikrai; žinoma	Tikrai padėsiu.
chance	galimybė; proga	Turi galimybę.
character	veikėjas; charakteris	Šis veikėjas yra drąsus.
charity	labdaros organizacija; labdara	Organizacija padeda vaikams.
chat	kalbėtis; pokalbis	Pasikalbėsime po pamokos.
chef	virėjas	Virėjas pagamino sriubą.
chemistry	chemija	Chemija man sunki.
chip	traškučiai; gabalėlis	Šie traškučiai sūrūs.
choice	pasirinkimas	Šis pasirinkimas yra svarbus.
church	bažnyčia	Bažnyčia yra netoli.
cigarette	cigaretė	Cigaretė bloga sveikatai.
circle	apskritimas; ratas	Čia nupiešk apskritimą.
classical	klasikinis	Man patinka klasikinė muzika.
clear	aiškus	Atsakymas aiškus.
clearly	aiškiai	Prašau, kalbėk aiškiai.
clever	protingas	Ji yra protingas vaikas.
climate	klimatas	Klimatas keičiasi.
close2	arti; artimas	Mano mokykla arti namų.
closed	uždarytas	Parduotuvė uždaryta.
clothing	drabužiai	Šilti drabužiai naudingi.
cloud	debesis	Debesis dengia saulę.
coach	treneris; autobusas	Treneris padėjo komandai.
coast	pakrantė	Važiavome palei pakrantę.
code	kodas; šifras	Čia įvesk kodą.
colleague	kolega	Mano kolega man paskambino.
collect	rinkti; kolekcionuoti	Renku senas korteles.
column	stulpelis	Perskaityk pirmą stulpelį.
comedy	komedija	Ši komedija juokinga.
comfortable	patogus	Ši kėdė patogi.
comment	komentaras	Palik komentarą apačioje.
communicate	bendrauti; komunikuoti	Bendraujame el. paštu.
community	bendruomenė	Mūsų bendruomenė draugiška.
compete	varžytis	Jie varžosi kiekvienais metais.
competition	varžybos; konkursas	Varžybos prasideda rytoj.
complain	skųstis	Nesiskųsk vėl.
completely	visiškai	Visiškai su tavimi sutinku.
condition	būklė; sąlyga	Automobilis geros būklės.
conference	konferencija	Konferencija prasideda devintą.
connect	sujungti; prijungti	Prijunk telefoną prie kompiuterio.
connected	sujungtas; susijęs	Šios dvi idėjos susijusios.
consider	apsvarstyti	Prašau, apsvarstyk mano idėją.
contain	turėti; apimti	Šioje dėžėje yra knygų.
context	kontekstas	Kontekstas padeda suprasti.
continent	žemynas	Žemynas labai didelis.
continue	tęsti	Prašau, tęsk skaitymą.
control	kontrolė; kontroliuoti	Atsargiai kontroliuok greitį.
cooker	viryklė	Viryklė švari.
copy	kopija; kopijuoti	Padaryk kopiją man.
corner	kampas	Sėsk į kampą.
correctly	teisingai	Teisingai parašyk atsakymą.
count	skaičiuoti	Suskaičiuok knygas.
couple	pora; keletas	Pora atėjo anksti.
cover	uždengti; viršelis	Uždenk dubenį.
crazy	beprotiškas	Ši idėja skamba beprotiškai.
creative	kūrybingas	Ji turi kūrybingą idėją.
credit	kreditas; kreditinė kortelė	Mokėjau kreditine kortele.
crime	nusikaltimas; nusikalstamumas	Nusikalstamumas yra rimta problema.
criminal	nusikaltėlis	Nusikaltėlis greitai išėjo.
cross	pereiti; kryžius	Atsargiai pereik gatvę.
crowd	minia	Minia laukė lauke.
crowded	perpildytas	Traukinys buvo perpildytas.
cry	verkti	Neverk dabar.
cupboard	spintelė	Puodeliai yra spintelėje.
curly	garbanotas	Jos plaukai garbanoti.
cycle	važiuoti dviračiu; ciklas	Į mokyklą važiuoju dviračiu.
daily	kasdienis; kasdien	Kasdien skaitau naujienas.
danger	pavojus	Ženklas rodo pavojų.
data	duomenys	Duomenys naudingi.
dead	miręs; nudžiūvęs	Augalas nudžiūvęs.
deal	susitarimas; pasiūlymas	Tai geras pasiūlymas.
death	mirtis	Mirtis yra sunki tema.
decision	sprendimas	Priimk sprendimą šiandien.
deep	gilus	Vanduo gilus.
definitely	tikrai; neabejotinai	Tikrai noriu arbatos.
degree	laipsnis; diplomas	Mano diplomas yra istorijos.
dentist	odontologas	Odontologas patikrino mano dantis.
department	skyrius	Batų skyrius yra viršuje.
depend	priklausyti	Tai priklauso nuo oro.
desert	dykuma	Dykuma labai sausa.
designer	dizaineris	Dizaineris sukūrė šią suknelę.
destroy	sunaikinti	Nesunaikink failo.
detective	detektyvas	Detektyvas rado raktą.
develop	kurti; plėtoti	Jie kuria naują programėlę.
device	įrenginys	Šis įrenginys naudingas.
diary	dienoraštis	Ji rašo savo dienoraštyje.
differently	kitaip	Tai darome kitaip.
digital	skaitmeninis	Tai skaitmeninis fotoaparatas.
direct	tiesioginis	Važiuok tiesioginiu traukiniu.
direction	kryptis	Eik šia kryptimi.
director	direktorius; režisierius	Režisieriui patiko filmas.
disagree	nesutikti	Nesutinku su ta idėja.
disappear	dingti; išnykti	Saulė greitai išnyks.
disaster	nelaimė; katastrofa	Audra buvo katastrofa.
discover	atrasti	Jie atranda naują salą.
discovery	atradimas	Atradimas pakeitė mokslą.
discussion	diskusija	Diskusija baigėsi anksti.
disease	liga	Ši liga rimta.
distance	atstumas	Atstumas trumpas.
divorced	išsiskyręs	Jos tėvai išsiskyrę.
document	dokumentas	Dabar išsaugok šį dokumentą.
double	dvigubas	Man reikia dviviečio kambario.
download	atsisiųsti; atsisiuntimas	Šiandien atsisiųsk programėlę.
drama	drama	Drama prasideda šį vakarą.
drawing	piešinys	Jos piešinys gražus.
dream	sapnas; svajonė; sapnuoti	Sapnavau keistą sapną.
driving	vairavimas	Vairavimas naktį sunkus.
drop	numesti; lašas	Nenumesk stiklinės.
drug	vaistas; narkotikas	Vaistas jam padėjo.
dry	sausas	Rankšluostis sausas.
earn	uždirbti	Uždirbu pinigus darbe.
earth	Žemė; žemė	Žemė yra apvali.
easily	lengvai	Ji lengvai mokosi.
education	išsilavinimas; švietimas	Švietimas yra svarbus.
effect	poveikis	Poveikis buvo aiškus.
either	bet kuris; arba	Bet kuris atsakymas geras.
electric	elektrinis	Šis automobilis elektrinis.
electrical	elektrinis	Elektros sistema saugi.
electricity	elektra	Čia elektra brangi.
electronic	elektroninis	Šis elektroninis bilietas veikia.
employ	įdarbinti	Jie įdarbina penkis žmones.
employee	darbuotojas	Darbuotojas daug dirba.
employer	darbdavys	Mano darbdavys teisingas.
empty	tuščias	Kambarys tuščias.
ending	pabaiga	Pabaiga buvo netikėta.
energy	energija	Šiandien neturiu energijos.
engine	variklis	Variklis garsus.
engineer	inžinierius	Inžinierius pataisė tiltą.
enormous	milžiniškas	Pastatas milžiniškas.
enter	įeiti; įvesti	Tyliai įeik į kambarį.
environment	aplinka	Saugok aplinką.
equipment	įranga	Ši įranga brangi.
error	klaida	Radau klaidą.
especially	ypač	Ypač mėgstu šią dainą.
essay	esė	Šį vakarą parašyk esė.
everyday	kasdienis	Tai kasdienė anglų kalba.
everywhere	visur	Gėlės auga visur.
evidence	įrodymas	Įrodymas aiškus.
exact	tikslus	Pateik tikslų skaičių.
exactly	tiksliai	Tai tiksliai atitinka.
excellent	puikus	Tavo darbas puikus.
except	išskyrus	Visi atėjo, išskyrus mane.
exist	egzistuoti; būti	Ar šis adresas egzistuoja?
expect	tikėtis	Rytoj tikiuosi lietaus.
experience	patirtis	Turiu patirties su vaikais.
experiment	eksperimentas; bandymas	Eksperimentas gerai pavyko.
expert	ekspertas; specialistas	Paprašyk specialisto pagalbos.
explanation	paaiškinimas	Jos paaiškinimas buvo aiškus.
express	išreikšti	Prašau, išreikšk savo nuomonę.
expression	posakis; išraiška	Šis posakis dažnas.
extreme	kraštutinis; ekstremalus	Karštis buvo ekstremalus.
extremely	labai; ypač	Labai šalta.
factor	veiksnys	Kaina yra vienas veiksnys.
factory	gamykla	Gamykla užsidaro penktą.
fail	nepavykti; neišlaikyti	Aš neišlaikiau egzamino.
fair	sąžiningas; teisingas	Kaina yra teisinga.
fan	ventiliatorius; gerbėjas	Įjunk ventiliatorių.
farming	ūkininkavimas; žemdirbystė	Ūkininkavimas yra sunkus darbas.
fashion	mada	Mada keičiasi kasmet.
fear	baimė	Baimė gali sustabdyti žmones.
feature	savybė; funkcija	Šis telefonas turi naudingą funkciją.
feed	maitinti	Dabar pamaitink katę.
female	moteriškas; moteris	Sportininkė laimėjo.
fiction	grožinė literatūra; fikcija	Ji vakare skaito grožinę literatūrą.
field	laukas; sritis	Laukas žalias.
fight	kovoti; kova	Jie per daug pešasi.
figure	figūra; skaičius	Pažiūrėk į figūrą.
finally	pagaliau	Pagaliau grįžome namo.
finger	pirštas	Man skauda pirštą.
firstly	pirmiausia	Pirmiausia perskaityk klausimą.
fishing	žvejyba	Žvejyba čia populiari.
fit	tikti; pritaikyti	Šie batai man gerai tinka.
fix	pataisyti	Pataisyk sulūžusią kėdę.
flu	gripas	Aš sergu gripu.
flying	skrydis; skraidymas	Skrydis yra greitas.
focus	sutelkti dėmesį; dėmesys	Sutelk dėmesį į šią užduotį.
following	kitas; toliau nurodytas	Perskaityk kitą sakinį.
foreign	užsienio; svetimas	Ji kalba užsienio kalba.
forest	miškas	Miškas tylus.
fork	šakutė	Naudok šakutę.
formal	formalus; oficialus	Šis laiškas oficialus.
fortunately	laimei	Laimei, niekas nenukentėjo.
forward	pirmyn	Judėk lėtai pirmyn.
fresh	šviežias	Duona šviežia.
