source_headword	RO	example_RO
destructive	distructiv	Furtuna a avut o forță distructivă.
detain	a reține	Poliția poate reține suspecții peste noapte.
detection	depistarea	Depistarea timpurie îmbunătățește tratamentul cancerului.
detention	detenția	Studenții au protestat împotriva condițiilor de detenție.
deteriorate	a se deteriora	Sănătatea lui a început să se deterioreze.
devastate	a devasta	Cutremurul poate devasta orașele de coastă.
devil	diavolul	Copilul a desenat un diavol zâmbitor.
devise	a concepe	Inginerii concep sisteme de transport mai sigure.
diagnose	a diagnostica	Medicii diagnostichează boala cu teste de sânge.
diagnosis	diagnosticul	Diagnosticul i-a explicat simptomele.
dictate	a dicta	Contractul va dicta condițiile de plată.
dictator	dictatorul	Dictatorul controla mass-media.
differentiate	a diferenția	Puteți diferenția faptele de opinii?
dignity	demnitatea	Toată lumea merită demnitate la locul de muncă.
dilemma	dilema	Managerul s-a confruntat cu o dilemă serioasă.
dimension	dimensiunea	Problema are o dimensiune politică.
diminish	a se diminua	Durerea ar trebui să se diminueze încet.
dip	a scădea	Temperaturile pot scădea sub zero grade.
diplomat	diplomatul	Diplomatul s-a întâlnit cu lideri străini.
diplomatic	diplomatic	Discuțiile diplomatice au continuat peste noapte.
directory	directorul	Căutați numărul lui în director.
disastrous	dezastruos	Inundația dezastruoasă a distrus mai multe poduri.
discard	a arunca	Nu aruncați înregistrările utile.
discharge	a externa	Spitalul îl va externa mâine.
disclose	a dezvălui	Oficialii au refuzat să dezvăluie cifrele.
disclosure	dezvăluirea	Dezvăluirea a șocat consiliul.
discourse	discursul	Discursul public a devenit mai politicos.
discretion	discernământul	Folosiți-vă discernământul în cazurile sensibile.
discrimination	discriminarea	Legea interzice discriminarea la angajare.
dismissal	concedierea	Concedierea lui a provocat furia publicului.
displace	a strămuta	Războiul ar putea strămuta mii de oameni.
disposal	eliminarea	Eliminarea deșeurilor rămâne o problemă locală.
dispose	a elimina	Compania trebuie să elimine substanțele chimice în siguranță.
dispute	disputa	Disputa a durat luni de zile.
disrupt	a perturba	Zgomotul poate perturba concentrarea.
disruption	perturbarea	Greva a provocat o perturbare majoră.
dissolve	a se dizolva	Zahărul se va dizolva în ceaiul fierbinte.
distinction	distincția	Distincția dintre ele este importantă.
distinctive	distinctiv	Ea are o voce distinctivă.
distort	a distorsiona	Oglinda vă poate distorsiona reflexia.
distress	suferința	Apelul a provocat o suferință gravă.
disturbing	tulburător	Documentarul a arătat scene tulburătoare.
divert	a devia	Poliția a trebuit să devieze traficul.
divine	divin	Capela are o atmosferă divină.
doctrine	doctrina	Partidul a respins vechea doctrină.
documentation	documentația	Completați documentația înainte de lansare.
domain	domeniul	Site-ul web folosește un domeniu securizat.
dominance	dominanța	Dominanța echipei a durat un deceniu.
donor	donatorul	Donatorul a dat sânge astăzi.
dose	doza	Luați o doză după micul dejun.
drain	a se scurge	Apa se va scurge în râu.
drift	a pluti	Fumul a început să plutească peste drum.
driving	determinant	Ploaia a fost factorul determinant din spatele întârzierilor.
drown	a se îneca	Nu înota niciodată unde curenții te pot îneca.
dual	dublu	Dispozitivul are o funcție dublă.
dub	a supranumi	Criticii supranumesc orașul o capitală culturală.
dumb	prost	Asta a fost o greșeală proastă.
duo	duoul	Duoul de comedie a făcut un turneu în Europa.
eager	dornic	Elevii erau dornici să înceapă.
earnings	câștigurile	Câștigurile companiei au crescut brusc.
ease	a ușura	Noul drum va ușura traficul.
echo	a răsuna	Vocea ei a răsunat în sală.
ecological	ecologic	Impactul ecologic rămâne incert.
educator	educatorul	Educatorul a conceput un curs nou.
effectiveness	eficiența	Studiul a măsurat eficiența vaccinului.
efficiency	eficiența	Un software mai bun a îmbunătățit eficiența.
ego	egoul	Egoul său a cauzat probleme la locul de muncă.
elaborate	elaborat	Costumul elaborat a durat săptămâni.
electoral	electoral	Sistemul electoral s-a schimbat anul trecut.
elevate	a crește	Premiul îi va crește profilul.
eligible	eligibil	Doar rezidenții sunt eligibili pentru reduceri.
elite	elita	Elita s-a antrenat la o academie privată.
embark	a porni	Ei vor porni într-o călătorie lungă.
embarrassment	jena	A râs pentru a-și ascunde jena.
embassy	ambasada	Ambasada a emis noi sfaturi de călătorie.
embed	a se integra	Jurnalistul se va integra în unitate.
embody	a întruchipa	Statuia pare să întruchipeze curajul.
emergence	apariția	Apariția telefoanelor a schimbat viața de zi cu zi.
empirical	empiric	Lucrarea se bazează pe dovezi empirice.
empower	a împuternici	Educația poate împuternici comunitățile locale.
enact	a promulga	Parlamentul a votat pentru a promulga reforma.
encompass	a cuprinde	Cursul va cuprinde istoria modernă.
encouragement	încurajarea	Încurajarea ei l-a ajutat să continue.
encouraging	încurajator	Primele rezultate par încurajatoare.
endeavour	străduința	Salvarea a fost o străduință dificilă.
endless	nesfârșit	Deșertul părea nesfârșit.
endorse	a susține	Sindicatul a refuzat să-l susțină pe candidat.
endorsement	susținerea	Susținerea lui a impulsionat campania ei.
endure	a rezista	Plantele pot rezista iernilor aspre.
enforce	a aplica	Poliția aplică limita de viteză.
enforcement	aplicarea	Aplicarea mai strictă a redus aruncarea ilegală a gunoiului.
engagement	implicarea	Implicarea elevilor s-a îmbunătățit în acest semestru.
engaging	captivant	Vorbitorul a ținut un discurs captivant.
enquire	a se interesa	Vă rugăm să vă interesați la recepție.
enrich	a îmbogăți	Călătoriile vă pot îmbogăți înțelegerea.
enrol	a se înscrie	Elevii trebuie să se înscrie înainte de septembrie.
ensue	a urma	Haosul ar putea urma după anunț.
enterprise	întreprinderea	Întreprinderea angajează artiști locali.
enthusiast	entuziastul	Orice pasionat de ciclism cunoaște acest traseu.
entitle	a îndreptăți	Biletul vă va îndreptăți la intrare.
entity	entitatea	Compania este o entitate legală separată.
epidemic	epidemia	Epidemia s-a răspândit în mai multe regiuni.
equality	egalitatea	Mișcarea a luptat pentru egalitate.
equation	ecuația	Ecuația conține două necunoscute.
erect	a ridica	Muncitorii vor ridica un gard nou.
escalate	a escalada	Conflictul ar putea escalada rapid.
essence	esența	Poezia surprinde esența copilăriei.
establishment	instituția	Instituția s-a opus reformei.
eternal	etern	Ei și-au promis prietenie eternă.
evacuate	a evacua	Pompierii i-au ajutat pe locuitori să evacueze în siguranță.
evoke	a evoca	Cântecul poate evoca amintiri puternice.
evolutionary	evolutiv	Fosila arată o schimbare evolutivă.
exaggerate	a exagera	Nu vă exagerați experiența.
excellence	excelența	Școala răsplătește excelența academică.
exceptional	excepțional	Ea a arătat o abilitate excepțională.
excess	excesul	Apa în exces a inundat subsolul.
exclusion	excluderea	Excluderea socială dăunează tinerilor.
exclusive	exclusiv	Clubul oferă acces exclusiv.
exclusively	exclusiv	Această cameră este folosită exclusiv de personal.
execute	a executa	Echipa va executa planul cu atenție.
execution	execuția	Execuția strategiei a durat luni de zile.
exert	a exercita	Trebuie să exercitați mai multă presiune.
exile	exilul	Scriitorul a trăit în exil.
expenditure	cheltuiala	Cheltuiala publică a crescut anul trecut.
experimental	experimental	Tratamentul este încă experimental.
expire	a expira	Pașaportul meu va expira curând.
explicit	explicit	Instrucțiunile au fost explicite.
explicitly	explicit	Regulile interzic explicit fumatul.
exploitation	exploatarea	Raportul a expus exploatarea muncitorilor.
explosive	exploziv	Dispozitivul exploziv a fost îndepărtat în siguranță.
extremist	extremistul	Grupul extremist a pierdut sprijinul.
facilitate	a facilita	Aplicația va facilita învățarea la distanță.
faction	facțiunea	O facțiune s-a opus liderului.
faculty	facultatea	Facultatea a aprobat propunerea.
fade	a se decolora	Vopseaua se va decolora la lumina soarelui.
fairness	corectitudinea	Corectitudinea contează în orice competiție.
fatal	fatal	Accidentul a provocat răni fatale.
fate	soarta	Nimeni nu i-a știut soarta.
favourable	favorabil	Recenzia a fost favorabilă.
feat	performanța	Urcarea pe acel vârf a fost o performanță.
feminist	feminist	Mișcarea feministă a schimbat dezbaterea publică.
fibre	fibra	Această pâine conține fibre în plus.
fierce	crâncen	Furtuna crâncenă a distrus acoperișuri.
film-maker	realizatorul de film	Realizatorul de film a răspuns la întrebări după aceea.
filter	filtrul	Filtrul elimină praful din aer.
fine	amenda	Compania a plătit o amendă.
firearm	arma de foc	Ofițerul a recuperat o armă de foc furată.
fit	potrivirea	Noii pantofi sunt o potrivire perfectă.
fixture	accesoriul	Lampa este un accesoriu permanent.
flaw	defectul	Designul are un defect serios.
flawed	defectuos	Studiul defectuos a dat rezultate false.
flee	a fugi	Familiile au trebuit să fugă de lupte.
fleet	flota	Compania aeriană și-a reînnoit flota.
flesh	carnea	Ghimpele i-a străpuns carnea.
flexibility	flexibilitatea	Munca de la distanță oferă mai multă flexibilitate.
flourish	a prospera	Micile afaceri pot prospera aici.
fluid	lichidul	Bea multe lichide după exerciții.
footage	înregistrarea	Înregistrarea a arătat accidentul.
foreigner	străinul	Formularul întreabă dacă sunteți străin.
forge	a crea	Au încercat să creeze o nouă alianță.
formula	formula	Formula a rezolvat problema.
formulate	a formula	Oamenii de știință formulează o nouă teorie.
forth	înainte	Râul a purtat barca înainte.
forthcoming	viitor	Raportul viitor va explica totul.
foster	a promova	Programul ajută la promovarea independenței.
fragile	fragil	Vaza fragilă necesită o manipulare atentă.
franchise	franciza	Restaurantul a devenit o franciză globală.
frankly	sincer	Sincer, avem nevoie de mai mult timp.
frustrated	frustrat	Muncitorii s-au simțit frustrați de întârziere.
frustrating	frustrant	Conexiunea lentă a fost frustrantă.
frustration	frustrarea	Frustrarea a crescut în timpul întâlnirii.
functional	funcțional	Vechea bucătărie este încă funcțională.
fundraising	strângerea de fonduri	Strângerea de fonduri începe săptămâna viitoare.
funeral	înmormântarea	Înmormântarea a avut loc vineri.
gallon	galonul	Rezervorul are capacitatea de un galon.
gambling	jocurile de noroc	Jocurile de noroc sunt restricționate prin lege.
gathering	adunarea	Adunarea s-a încheiat pașnic.
gaze	privirea	I-a susținut privirea pentru scurt timp.
gear	echipamentul	Împachetează echipamentul de siguranță înainte de a urca.
generic	generic	Versiunea generică costă mai puțin.
genocide	genocidul	Genocidul a lăsat o traumă națională profundă.
glance	privirea	A aruncat o privire rapidă.
glimpse	o privire fugară	Am prins o privire fugară asupra mării.
glorious	glorios	Echipa s-a bucurat de o victorie glorioasă.
glory	gloria	A visat la gloria olimpică.
governance	guvernarea	Buna guvernare necesită transparență.
grace	grația	A acceptat înfrângerea cu grație.
grasp	a înțelege	Nu a reușit să înțeleagă conceptul.
grave (for dead person)	mormântul	Mormântul era acoperit cu flori.
grave (serious)	grav	Situația rămâne gravă.
gravity	gravitația	Gravitația atrage obiectele spre Pământ.
grid	grila	Harta folosește o grilă simplă.
grief	durerea	Durerea a schimbat întreaga lui familie.
grin	zâmbetul	Băiatul a oferit un zâmbet larg.
grind	a măcina	Muncitorii macină boabele în fiecare dimineață.
grip	prinderea	Păstrează o strânsoare fermă pe frânghie.
gross	brut	Venitul brut a crescut brusc.
guerrilla	gherila	Luptătorii de gherilă s-au ascuns în dealuri.
guidance	îndrumarea	Ghidul oferă îndrumare practică.
guilt	vinovăția	A simțit vinovăție după ce a mințit.
gut	instinctul	Ai încredere în instinctul tău în alegerile dificile.
hail	a aclama	Sătenii îl aclamă pe doctor ca pe un erou.
halfway	la jumătatea drumului	Ne-am oprit la jumătatea dealului.
halt	oprirea	Trenul a ajuns la o oprire bruscă.
handful	mâna	O mână de voluntari au stat până târziu.
handling	manipularea	Manipularea corespunzătoare previne deteriorarea.
handy	util	Acest instrument este util pentru reparații.
harassment	hărțuirea	Compania a investigat plângerile de hărțuire.
hardware	hardware-ul	Magazinul vinde hardware pentru calculatoare.
harmony	armonia	Corul a cântat în perfectă armonie.
harsh	aspru	Judecătorul a dat o sentință aspră.
harvest	recolta	Recolta începe în septembrie.
haunt	a bântui	Amintirea a continuat să-l bântuie.
hazard	pericolul	Gheața este un pericol rutier grav.
heighten	a crește	Discursul poate crește tensiunile.
heritage	patrimoniul	Castelul face parte din patrimoniul local.
hierarchy	ierarhia	Ierarhia biroului este clar definită.
high-profile	de profil înalt	Procesul de profil înalt a atras reporteri.
hint	indiciul	Mi-a dat un indiciu util.
homeland	patria	S-a întors în patria sa.
hopeful	plin de speranță	Medicii sunt plini de speranță în privința recuperării.
horizon	orizontul	Soarele a dispărut sub orizont.
horn	claxonul	Claxonul mașinii i-a trezit pe toți.
hostage	ostaticul	Ostaticul s-a întors acasă.
hostile	ostil	Mulțimea a devenit ostilă.
hostility	ostilitatea	Ostilitatea deschisă a pus capăt discuțiilor.
humanitarian	umanitar	Misiunea umanitară a livrat alimente.
humanity	umanitatea	Umanitatea se confruntă cu provocări comune.
humble	modest	A rămas modestă după succes.
hydrogen	hidrogenul	Hidrogenul arde foarte ușor.
identification	identificarea	Identificarea este necesară la intrare.
ideological	ideologic	Disputa a avut rădăcini ideologice.
ideology	ideologia	Ideologia lui a modelat fiecare discurs.
idiot	idiotul	Nu numi pe nimeni idiot.
ignorance	ignoranța	Ignoranța poate răspândi frica.
imagery	imagistica	Poezia folosește o imagistică vie.
immense	imens	Proiectul a necesitat un efort imens.
imminent	iminent	O furtună părea iminentă.
implementation	implementarea	Implementarea legii a fost lentă.
imprison	a întemnița	Regimul a încercat să întemnițeze criticii.
imprisonment	încarcerarea	Încarcerarea lui a durat cinci ani.
inability	incapacitatea	Incapacitatea ei de a se concentra a îngrijorat profesorii.
inadequate	inadecvat	Adăpostul avea încălzire inadecvată.
inappropriate	inadecvat	Gluma lui a fost inadecvată.
incidence	incidența	Incidența gripei a crescut.
inclined	înclinat	Ea este înclinată să fie de acord.
inclusion	incluziunea	Școala promovează incluziunea.
