source_headword	FI	example_FI
irrelevant	epäolennainen	Tuo yksityiskohta on täällä epäolennainen.
isolation	eristys	Eristäytyminen voi vahingoittaa mielenterveyttä.
judicial	oikeudellinen	Oikeudellinen arviointi alkaa maanantaina.
junction	risteys	Käänny vasemmalle risteyksessä.
jurisdiction	toimivalta	Tuomioistuimella on rajoitettu toimivalta.
just	oikeudenmukainen	Tuomari teki oikeudenmukaisen päätöksen.
justification	perustelu	Tarvitsemme selkeän perustelun kulutukselle.
kidnap	siepata	Rikolliset yrittivät siepata diplomaatin.
kidney	munuainen	Hänen munuaisten toimintansa parani.
kingdom	valtakunta	Valtakunta laajeni hänen hallituskaudellaan.
lad	poika	Nuori poika kantoi laukkuja.
landlord	vuokranantaja	Vuokranantaja korjasi lämmityksen.
landmark	maamerkki	Tornista tuli kaupungin maamerkki.
lap	syli	Lapsi istui hänen sylissään.
large-scale	laajamittainen	Kaupunki suunnitteli laajamittaisia korjauksia.
laser	laser	Laser mittasi etäisyyden.
latter	jälkimmäinen	Jälkimmäinen vaihtoehto vaikuttaa turvallisemmalta.
lawn	nurmikko	Lapset leikkivät nurmikolla.
lawsuit	oikeusjuttu	Yritys sopi oikeusjutun.
layout	ulkoasu	Sivun asettelu näyttää selkeämmältä.
leak	vuoto	Putkivuoto tulvi keittiöön.
leap	harppaus	Myynti teki äkillisen harppauksen.
legacy	perintö	Hänen perintönsä muovasi yliopistoa.
legendary	legendaarinen	Legendaarinen laulaja palasi lavalle.
legislation	lainsäädäntö	Uusi lainsäädäntö suojelee vuokralaisia.
legislative	lainsäädännöllinen	Lainsäädäntökomitea kokoontui tänään.
legislature	lainsäätäjä	Lainsäädäntöelin hyväksyi budjetin.
legitimate	perusteltu	He toivat esiin perusteltuja huolia.
lengthy	pitkällinen	Pitkällinen väittely viivytti äänestystä.
lesbian	lesbo	Lesboaktivisti puhui foorumilla.
lesser	pienempi	Valitse pienempi riski.
lethal	tappava	Kemikaali voi olla tappavaa.
liable	vastuussa	Kuljettajat ovat vastuussa vahingoista.
liberal	vapaamielinen	Hän tukee vapaamielistä sosiaalipolitiikkaa.
liberation	vapautus	Vapautus muutti maan tulevaisuuden.
liberty	vapaus	Laki suojelee henkilökohtaista vapautta.
license	myöntää lupa	Valtio voi lisensoida uusia klinikoita.
lifelong	elinikäinen	Hän sai siellä elinikäisiä ystäviä.
likelihood	todennäköisyys	Sateen todennäköisyys kasvoi.
limb	raaja	Loukkaantunut raaja parani hitaasti.
linear	lineaarinen	Kaavio näyttää lineaarisen trendin.
line-up	kokoonpano	Festivaalin esiintyjäkaartiin kuuluu paikallisia bändejä.
linger	viipyä	Haju saattaa viipyä tunteja.
listing	ilmoitus	Asuntoilmoitus näytti paikkansapitävältä.
literacy	luku- ja kirjoitustaito	Aikuisten luku- ja kirjoitustaito-ohjelmat laajenivat.
liver	maksa	Maksa suodattaa haitallisia aineita.
lobby	aula	Aula oli tungokseen asti täynnä puolenpäivän jälkeen.
log	loki	Järjestelmä pitää päivittäistä lokia.
logic	logiikka	Hänen argumenttinsa logiikka petti.
long-standing	pitkäaikainen	He ratkaisivat pitkäaikaisen kiistan.
long-time	pitkäaikainen	Hän on pitkäaikainen vapaaehtoinen.
loom	häämöttää	Tummia pilviä kohoaa laakson ylle.
loop	silmukka	Polku muodostaa silmukan.
loyalty	uskollisuus	Hänen uskollisuutensa teki vaikutuksen joukkueeseen.
machinery	koneisto	Tehdas asensi uuden koneiston.
magical	taianomainen	Puutarha näytti taianomaiselta yöllä.
magistrate	tuomari	Tuomari käsitteli tapauksen.
magnetic	magneettinen	Magneettikenttä vaikutti kompassiin.
magnitude	laajuus	Vahinkojen laajuus oli selvä.
mainland	manner	Lautta yhdistää saaret mantereeseen.
mainstream	valtavirta	Idea päätyi valtavirran politiikkaan.
maintenance	huolto	Säännöllinen huolto estää rikkoutumiset.
mandate	mandaatti	Presidentti ilmoitti vahvasta mandaatista.
mandatory	pakollinen	Läsnäolo on pakollista harjoittelijoille.
manifest	ilmetä	Oireet voivat ilmetä viikkojen kuluttua.
manipulate	manipuloida	Älä manipuloi kyselyn tuloksia.
manipulation	manipulointi	Datan manipulointi paljastui.
manuscript	käsikirjoitus	Kustantaja hyväksyi hänen käsikirjoituksensa.
march	marssia	Mielenosoittajat marssivat keskustaan.
marginal	marginaalinen	Muutoksella oli marginaalisia hyötyjä.
marine	meri-	Merielämä tarvitsee puhdasta vettä.
marketplace	markkinapaikka	Verkkomarkkinapaikka laajeni nopeasti.
mask	maski	Työntekijöiden on pidettävä maskia.
massacre	verilöyly	Verilöyly järkytti koko aluetta.
mathematical	matemaattinen	Matemaattinen malli ennusti kysynnän.
mature	täysikasvuinen	Täysikasvuiset puut antavat varjoa.
maximize	maksimoida	Päivitys maksimoi akun keston.
meaningful	merkityksellinen	Heillä oli merkityksellinen keskustelu.
meantime	väliaika	Odota sillä välin ulkopuolella.
medieval	keskiaikainen	Linnassa on keskiaikaiset muurit.
meditation	meditaatio	Päivittäinen meditaatio rauhoittaa hänen mielensä.
melody	melodia	Melodia jäi päähäni.
memo	muistio	Muistio selitti käytännön.
memoir	muistelma	Hänen muistelmansa kuvaavat lapsuuden maanpakoa.
memorial	muistomerkki	Muistomerkki kunnioittaa paikallisia sotilaita.
mentor	mentori	Hänen mentorinsa kävi ehdotuksen läpi.
merchant	kauppias	Kauppias myi silkkiä ja mausteita.
mercy	armo	Tuomari osoitti armoa.
mere	pelkkä	Pelkkä vilkaisu paljasti virheen.
merely	ainoastaan	Hän vain toisti ohjeet.
merge	yhdistyä	Nämä kaksi yritystä yhdistyvät.
merger	fuusio	Fuusio loi suuremman pankin.
merit	ansio	Ehdotuksella on selvät ansiot.
methodology	metodologia	Tutkimus selittää sen metodologian.
midst	keskellä	He työskentelivät kaaoksen keskellä.
migration	muuttoliike	Vuodenaikainen muuttoliike vaikuttaa paikallisiin työpaikkoihin.
militant	militantti	Militantti ryhmä torjui neuvottelut.
militia	miliisi	Miliisi hallitsi tietä.
mill	mylly	Vanhasta myllystä tuli museo.
minimal	minimaalinen	Suunnitelma vaatii minimaalista vaivaa.
minimize	minimoida	Meidän on minimoitava tarpeeton riski.
mining	kaivostoiminta	Kaivostoiminta vahingoitti jokilaaksoa.
ministry	ministeriö	Ministeriö ilmoitti uusista säännöistä.
minute2	pikkuruinen	Lasiin ilmestyi pikkuruinen särö.
miracle	ihme	Hänen toipumisensa vaikutti ihmeeltä.
misery	kurjuus	Pakolaiset kestivät vuosia kestänyttä kurjuutta.
misleading	harhaanjohtava	Harhaanjohtava kaavio hämmenti lukijoita.
missile	ohjus	Ohjuskoe lisäsi jännitteitä.
mob	väkijoukko	Vihainen väkijoukko tuki liikenteen.
mobility	liikkuvuus	Paremmat linja-autot parantavat kaupunkien liikkuvuutta.
mobilize	mobilisoida	Johtajat mobilisoivat vapaaehtoiset nopeasti.
moderate	maltillinen	Ehdokkaalla on maltillisia näkemyksiä.
modification	muutos	Suunnittelu tarvitsee yhden muutoksen.
momentum	vauhti	Kampanja sai nopeasti vauhtia.
monk	munkki	Munkki eli hiljaisuudessa.
monopoly	monopoli	Yrityksellä oli monopoli.
morality	moraali	Kurssi tutkii julkista moraalia.
motive	motiivi	Poliisi kyseenalaisti hänen motiivinsa.
motorist	autoilija	Autoilija pysähtyi punaisiin valoihin.
municipal	kunnallinen	Kunnalliset palvelut paranivat tänä vuonna.
mutual	molemminpuolinen	He pääsivät molemminpuoliseen sopimukseen.
namely	nimittäin	Yksi ongelma on jäljellä, nimittäin rahoitus.
nationwide	valtakunnallinen	Lakko aiheutti valtakunnallisia viivästyksiä.
naval	laivasto-	Laivastotukikohta suljettiin viime vuonna.
neglect	laiminlyödä	Älä laiminlyö perusturvallisuutta.
neighbouring	naapuri-	Naapurikaupungit jakoivat sairaalan.
nest	pesä	Lintu rakensi pesän.
net	netto	Nettovoitto nousi jyrkästi.
newsletter	uutiskirje	Uutiskirje saapuu joka perjantai.
niche	markkinarako	Yritys löysi tuottoisan markkinaraon.
noble	jalo	Hänen jalo eleensä teki vaikutuksen kaikkiin.
nod	nyökätä	Nyökkää, jos ymmärrät.
nominate	nimetä	He nimeävät uuden puheenjohtajan.
nomination	nimitys	Hänen nimityksensä yllätti komitean.
nominee	ehdokas	Ehdokas vastasi vaikeisiin kysymyksiin.
nonetheless	kuitenkin	Kuitenkin suunnitelma eteni.
non-profit	voittoa tavoittelematon	Hän työskentelee voittoa tavoittelemattomalla klinikalla.
nonsense	hölynpöly	Tuo huhu on täyttä hölynpölyä.
noon	keskipäivä	Kokous alkaa keskipäivällä.
notable	huomattava	Raportti osoitti huomattavaa edistystä.
notably	erityisesti	Erityisesti kustannukset laskivat toukokuussa.
notify	ilmoittaa	Ilmoita henkilökunnalle ennen lähtöä.
notorious	surullisenkuuluisa	Tie on surullisenkuuluisa onnettomuuksista.
novel	uudenlainen	He ehdottivat uudenlaista ratkaisua.
nursery	lastentarha	Lastentarha huolehtii pikkulapsista.
objection	vastalause	Asianajaja esitti vastalauseen.
oblige	velvoittaa	Säännöt velvoittavat kuljettajia pysähtymään.
obsess	takertua	Älä takerru pieniin virheisiin.
obsession	pakkomielle	Hänen pakkomielteensä vahingoitti hänen työtään.
occasional	satunnainen	Satunnaisia viivästyksiä on odotettavissa.
occurrence	tapahtuma	Tällainen tapahtuma on harvinainen.
odds	todennäköisyys	Onnistumisen todennäköisyys parani.
offering	tarjonta	Yliopisto laajensi tarjontaansa.
offspring	jälkeläinen	Kettu suojeli jälkeläistään.
operational	toiminnassa	Uusi järjestelmä on toiminnassa.
opt	valita	Monet opiskelijat valitsevat verkkokurssit.
optical	optinen	Optinen linssi vaatii puhdistusta.
optimism	optimismi	Optimismi palasi ilmoituksen jälkeen.
oral	suullinen	Suullinen koe alkaa huomenna.
organizational	organisatorinen	Organisatoriset muutokset alkoivat välittömästi.
orientation	perehdytys	Työpaja käsitteli työntekijöiden perehdytystä.
originate	olla peräisin	Monet perinteet ovat peräisin maaseudun kylistä.
outbreak	epidemia	Epidemia levisi ympäri kaupunkia.
outing	retki	Luokka nautti museoretkestä.
outlet	myymälä	Myymälä myy alennettuja vaatteita.
outlook	näkymä	Talouden näkymät pysyvät epävarmoina.
outrage	raivo	Päätös aiheutti julkista raivoa.
outsider	ulkopuolinen	Ulkopuolisena hän huomasi ongelmat.
overlook	jättää huomiotta	Älä jätä huomiotta pieniä yksityiskohtia.
overly	liian	Ohjeet olivat liian monimutkaisia.
oversee	valvoa	Hän tulee valvomaan projektia.
overturn	kumota	Tuomioistuin voi kumota päätöksen.
overwhelm	ylikuormittaa	Liiallinen tieto voi ylikuormittaa oppijoita.
overwhelming	ylivoimainen	Todisteet olivat ylivoimaisia.
pad	pehmuste	Käytä pehmustetta polvien suojaamiseen.
parameter	parametri	Säädä yhtä parametria kerrallaan.
parental	vanhempien	Vanhempien tuki paransi läsnäoloa.
parish	seurakunta	Seurakunta järjesti hyväntekeväisyysillallisen.
parliamentary	parlamentaarinen	Parlamentaarinen keskustelu kesti tunteja.
partial	osittainen	Raportti antoi osittaisen vastauksen.
partially	osittain	Ikkuna oli osittain auki.
passing	poismeno	Hänen poismenonsa oli äkillinen.
passive	passiivinen	Passiiviset sijoittajat hyväksyivät vakaan tuoton.
pastor	pastori	Pastori vieraili perheen luona.
patch	paikka	Takki tarvitsee pienen paikan.
patent	patentti	Yritys haki patenttia.
pathway	polku	Polku johtaa sertifiointiin.
patrol	partio	Poliisi partioi aluetta yöllä.
patron	suojelija	Museo kiitti suojelijaansa.
peak	huippu	Kysyntä saavutti talvihuipun.
peasant	talonpoika	Talonpoika omisti vain vähän maata.
peculiar	kummallinen	Huoneessa oli kummallinen haju.
persist	jatkua	Oireet voivat jatkua päiviä.
persistent	jatkuva	Jatkuva yskä vaatii huomiota.
personnel	henkilöstö	Henkilöstörekisterit ovat luottamuksellisia.
petition	vetoomus	Vetoomus keräsi tuhansia allekirjoituksia.
philosopher	filosofi	Filosofi kyseenalaisti yleiset oletukset.
philosophical	filosofinen	Keskustelusta tuli filosofinen.
physician	lääkäri	Lääkäri määräsi verikokeita.
pioneer	edelläkävijä	Hänestä tuli lääketieteen edelläkävijä.
pipeline	putkisto	Putkisto kuljettaa kaasua maan alla.
pirate	merirosvo	Merirosvolaiva ilmestyi rannikolle.
pit	kuoppa	Työntekijät kaivoivat syvän kuopan.
plea	vetoomus	Hänen avunpyyntönsä sivuutettiin.
plead	myöntää	Epäilty aikoo myöntää syyllisyytensä.
pledge	luvata	He lupaavat tukea uudistuksille.
plug	kytkeä	Kytke kaapeli pistorasiaan.
plunge	romahtaa	Hinnat voivat romahtaa skandaalin jälkeen.
pole	tanko	Lippu riippui tangosta.
poll	mielipidekysely	Mielipidekysely osoitti muuttuvia asenteita.
pond	lampi	Ankat ylittivät jäätyneen lammen.
pop	puhjeta	Ilmapallot puhkeavat terävien esineiden lähellä.
portfolio	salkku	Hänen portfolionsa sisältää useita startup-yrityksiä.
portray	kuvata	Elokuva tulee kuvaamaan maaseudun elämää.
postpone	lykätä	He päättivät lykätä kuulemista.
post-war	sodanjälkeinen	Sodanjälkeisiä asuntoja tarvittiin kipeästi.
practitioner	harjoittaja	Harjoittaja selitti hoidon.
preach	saarnata	Pappi tulee saarnaamaan sunnuntaina.
precedent	ennakkotapaus	Tuomio asetti tärkeän ennakkotapauksen.
precision	tarkkuus	Kone leikkaa tarkasti.
predator	saalistaja	Saalistaja odotti joen lähellä.
predecessor	edeltäjä	Hänen edeltäjänsä jätti yksityiskohtaiset muistiinpanot.
predominantly	pääasiassa	Alue on pääasiassa asuinaluetta.
pregnancy	raskaus	Raskaus vaatii säännöllistä lääkärinhoitoa.
prejudice	ennakkoluulo	Kampanja haastoi rodulliset ennakkoluulot.
preliminary	alustava	Alustavat tulokset näyttävät lupaavilta.
premier	pääministeri	Pääministeri puhui parlamentille tänään.
premise	lähtökohta	Argumentti perustuu väärään premissiin.
premium	lisämaksu	Asiakkaat maksoivat lisämaksun nopeudesta.
prescribe	määrätä	Lääkärit määräävät antibiootteja varovasti.
prescription	resepti	Resepti vanhenee ensi kuussa.
presently	tällä hetkellä	Hän on tällä hetkellä tavoittamattomissa.
preservation	säilyttäminen	Säilyttäminen suojelee historiallisia rakennuksia.
preside	johtaa	Tuomari tulee johtamaan oikeudenkäyntiä.
presidency	presidenttikausi	Hänen presidenttikautensa kesti kahdeksan vuotta.
presidential	presidentin	Presidentinvaali herätti huomiota.
prestigious	arvostettu	Hän voitti arvostetun stipendin.
presumably	oletettavasti	Toimisto on oletettavasti suljettu tänään.
presume	olettaa	Oletamme asiakirjojen olevan aitoja.
prevail	voittaa	Terveen järjen tulisi voittaa.
prevalence	yleisyys	Astman yleisyys kasvoi.
prevention	ennaltaehkäisy	Ennaltaehkäisy on halvempaa kuin korjaaminen.
