source_headword	TR	example_TR
comparative	karşılaştırmalı	Makale karşılaştırmalı veriler kullanıyor.
completion	tamamlanma	Köprü tamamlanmak üzere.
compose	oluşturmak	Film için müzik besteleyecek.
composer	besteci	Besteci yeni bir şarkı yazdı.
compound	bileşik	Bileşik iki kimyasal içeriyor.
comprehensive	kapsamlı	Kılavuz kapsamlı talimatlar verir.
comprise	içermek	Takım beş üyeden oluşuyor.
compulsory	zorunlu	Bu ders için katılım zorunludur.
concrete	somut	Zemin betondan yapılmıştır.
confess	itiraf etmek	Hatayı öğretmenine itiraf etti.
confusion	kafa karışıklığı	Gecikme kafa karışıklığına neden oldu.
consequently	sonuç olarak	Yağmur yağdı; sonuç olarak maç durdu.
conservation	koruma	Doğa koruma nadir hayvanları korur.
considerable	önemli	Onarım hatırı sayılır bir zaman aldı.
considerably	önemli ölçüde	Fiyatlar bu yıl önemli ölçüde arttı.
consistently	tutarlı bir şekilde	Tutarlı bir şekilde iyi performans gösteriyor.
conspiracy	komplo	Polis komployu soruşturdu.
consult	danışmak	İlaç almadan önce doktorunuza danışın.
consultant	danışman	Danışman yeni bir strateji önerdi.
consumption	tüketim	Enerji tüketimi geçen ay düştü.
controversial	tartışmalı	Politika tartışmalı olmaya devam ediyor.
controversy	tartışma	Karar tartışmaya neden oldu.
convenience	kolaylık	Mağaza büyük kolaylık sağlıyor.
convention	kongre	Yıllık kongre Pazartesi başlıyor.
conventional	geleneksel	Geleneksel bir tasarım seçti.
convey	iletmek	Mesaj sempati iletiyordu.
convincing	inandırıcı	Açıklaması ikna ediciydi.
cope	başa çıkmak	Stresle başa çıkmayı öğrendi.
corporation	şirket	Şirket yeni bir ofis açtı.
corridor	koridor	Koridor dar ve sessizdi.
counter (long flat surface)	tezgah	Anahtarlar mutfak tezgahının üzerinde.
coverage	kapsam	Haber kapsamı tüm akşam sürdü.
crack	çatlamak	Duvarda bir çatlak belirdi.
craft	zanaat	İnternette el yapımı el sanatları satıyor.
creativity	yaratıcılık	Yaratıcılık sorunları çözmeye yardımcı olur.
critically	eleştirel olarak	Makale son derece önemliydi.
cruise	gemi seyahati	Yunanistan'a bir gemi seyahati rezervasyonu yaptırdılar.
cue	ipucu	Aktör işaretini kaçırdı.
curious	meraklı	Çocuk uzayı merak ediyordu.
curriculum	müfredat	Okul müfredatını güncelledi.
cute	sevimli	Yavru köpek sevimli görünüyordu.
dairy	mandıra	Çiftlik süt ürünleri üretiyor.
dare	cesaret etmek	Sana bunu denemen için meydan okuyorum.
darkness	karanlık	Oda karanlıkla doldu.
database	veritabanı	Veritabanı müşteri kayıtlarını depolar.
deadline	son teslim tarihi	Son teslim tarihi Cuma.
deadly	ölümcül	Yılanın ölümcül zehri var.
dealer	satıcı	Araba satıcısı indirim teklif etti.
deck	güverte	Sandalyeler güvertede.
defender	savunma oyuncusu	Savunma oyuncusu şutu engelledi.
delete	silmek	Eski mesajı sil.
democracy	demokrasi	Demokrasi özgür seçimlere bağlıdır.
democratic	demokratik	Oylama demokratik kuralları izledi.
demonstration	gösteri	Öğrenciler bir gösteriye katıldı.
depart	ayrılmak	Tren öğlen ayrılacak.
dependent	bağımlı	Çocuk yetişkinlere bağımlıdır.
deposit	depozito	Daire için depozito ödedi.
depression	depresyon	Depresyon profesyonel destek gerektirir.
derive	türetmek	Birçok kelime Latince'den türer.
desperately	umutsuzca	Umutsuzca suya ihtiyacı vardı.
destruction	yıkım	Fırtına geniş çaplı yıkıma neden oldu.
determination	kararlılık	Kararlılığı koçu etkiledi.
devote	adamak	Hafta sonlarını çalışmaya adar.
differ	farklılık göstermek	Görüşleri keskin bir şekilde farklılık gösteriyor.
disability	engellilik	Binanın engelli erişimi var.
disabled	devre dışı	Engelli atlet madalya kazandı.
disagreement	anlaşmazlık	Toplantı anlaşmazlıkla sonuçlandı.
disappoint	hayal kırıklığına uğratmak	Sonuç hayranları hayal kırıklığına uğratabilir.
disappointment	hayal kırıklığı	Derin bir hayal kırıklığı hissetti.
discourage	cesaret kırmak	Genç öğrencilerin cesaretini kırmayın.
disorder	bozukluk	Doktor uyku bozukluğu teşhisi koydu.
distant	uzak	Dağlar uzak görünüyordu.
distinct	belirgin	İki ses birbirinden farklıdır.
distinguish	ayırt etmek	Bu renkleri ayırt edebilir misin?
distract	dikkat dağıtmak	Gürültü öğrencilerin dikkatini dağıtabilir.
disturb	rahatsız etmek	Lütfen hastayı rahatsız etmeyin.
dive	dalış	Resifin yakınında dalacaklar.
diverse	çeşitli	Şehir çeşitli kültürlere sahip.
diversity	çeşitlilik	Kültürel çeşitliliği kutluyoruz.
divorce	boşanma	Boşanma herkes için zordu.
dominant	baskın	Baskın takım oyunu kontrol etti.
donation	bağış	Yardım kurumu bir bağış aldı.
dot	nokta	Sayıdan sonra bir nokta koyun.
downtown	şehir merkezi	İşten sonra şehir merkezinde buluştuk.
dramatically	çarpıcı biçimde	Fiyat önemli ölçüde düştü.
drought	kuraklık	Kuraklık mahsullere zarar verdi.
dull	sıkıcı	Ders sıkıcıydı.
dump	çöpe atmak	Çöpü buraya dökmeyin.
duration	süre	Uçuş süresi üç saattir.
dynamic	dinamik	Sınıf dinamik hissettirdi.
economics	ekonomi	Üniversitede ekonomi okuyor.
economist	ekonomist	Ekonomist daha yavaş bir büyüme öngördü.
editorial	başyazı	Başyazı yasayı eleştirdi.
efficiently	verimli biçimde	Takım verimli bir şekilde çalıştı.
elbow	dirsek	Dirseğini incitti.
electronics	elektronik	Mağaza elektronik satıyor.
elegant	zarif	Elbise zarif görünüyordu.
elementary	temel	Kitap temel dilbilgisini açıklıyor.
eliminate	ortadan kaldırmak	Ekip birkaç hatayı ortadan kaldırdı.
embrace	benimsemek	Yeni fikri benimsedi.
emission	emisyon	Araç emisyon seviyeleri düştü.
emotionally	duygusal olarak	Ailesi hakkında duygusal olarak konuştu.
empire	imparatorluk	İmparatorluk yüzyıllarca sürdü.
enjoyable	zevkli	Gezi zevkliydi.
entertaining	eğlenceli	Gösteri eğlenceliydi.
entrepreneur	girişimci	Girişimci bir kafe açtı.
envelope	zarf	Mektubu bir zarfa koyun.
equip	donatmak	Okul laboratuvarı donatacak.
equivalent	eşdeğer	Bir dolar burada eşdeğer değildir.
era	çağ	Keşif yeni bir çağ başlattı.
erupt	patlamak	Yanardağ yakında patlayabilir.
essentially	esasen	İki yöntem esasen aynıdır.
ethic	ahlak	Çalışma ahlakı güçlüdür.
ethnic	etnik	Festival etnik gelenekleri kutluyor.
evaluation	değerlendirme	Kurs bir final değerlendirmesi içerir.
evident	belirgin	Gerginliği belirgindi.
evolution	evrim	Evrim birçok biyolojik değişikliği açıklar.
evolve	evrilmek	Diller zamanla gelişir.
exceed	aşmak	Talep arzı aşabilir.
exception	istisna	Bir istisna var.
excessive	aşırı	Aşırı gürültü komşuları rahatsız eder.
exclude	hariç tutmak	Liste geçici işçileri hariç tutuyor.
exhibit	sergi	Müze nadir fotoğrafları sergileyecek.
exit	çıkış	Çıkış sahnenin arkasındadır.
exotic	egzotik	Dükkan egzotik meyveler satıyor.
expansion	genişleme	Şirket bir genişleme planladı.
expertise	uzmanlık	Uzmanlığı projeyi geliştirdi.
exploit	kullanmak	Suçlular zayıf şifreleri kötüye kullanır.
exposure	maruziyet	Güneşe maruz kalma cilde zarar verebilir.
extension	uzatma	Son teslim tarihi uzatması herkese yardımcı oldu.
extensive	kapsamlı	Kütüphanenin kapsamlı kaynakları var.
extensively	kapsamlı bir şekilde	Konu kapsamlı bir şekilde incelendi.
extract	alıntı	Vanilya özütü tat verir.
fabric	kumaş	Kumaş yumuşak hissettiriyor.
fabulous	muhteşem	Yemek harikaydı.
failed	başarısız	Başarısız girişim bize bir şeyler öğretti.
fake	sahte	Web sitesi sahte biletler sattı.
fame	şöhret	Ün özel hayatını değiştirdi.
fantasy	fantezi	Roman bir fantezidir.
fare	ücret	Otobüs ücreti arttı.
federal	federal	Federal hükümet finansman duyurdu.
fever	ateş	Çocuğun ateşi var.
firefighter	itfaiyeci	İtfaiyeci köpeği kurtardı.
firework	havai fişek	Parkın üzerinde bir havai fişek patladı.
firm	sıkı	Yatak serttir.
firmly	kesin olarak	Kapıyı sıkıca kapattı.
flavour	tat	Çorbanın zengin bir lezzeti var.
fond	sevgi dolu	Caza düşkündür.
fool	aptal	Aptal gibi davranma.
forbid	yasaklamak	Kanun burada sigara içmeyi yasaklıyor.
forecast	tahmin	Hava durumu tahmini yağmur bekliyor.
format	format	Doğru dosya biçimini kullanın.
formation	oluşum	Bulut oluşumu hızla değişir.
formerly	eskiden	Bina eskiden bir okuldu.
fortunate	şanslı	Erken vardığımız için şanslıydık.
forum	forum	Forumda iklim politikası tartışıldı.
fossil	fosil	Fosil taşın içinde bulundu.
foundation	temel	Evin sağlam bir temeli var.
founder	kurucu	Kurucu misafirleri karşıladı.
fraction	kesir	Öğrencilerin sadece küçük bir kısmı geldi.
fragment	parça	Yerde bir cam parçası duruyordu.
framework	çerçeve	Yasa net bir çerçeve oluşturur.
fraud	dolandırıcılık	Banka dolandırıcılık tespit etti.
freely	özgürce	Çocuklar dışarıda özgürce oynadılar.
frequent	sık	Sık molalar odaklanmayı geliştirir.
fulfil	yerine getirmek	Sözümü yerine getirmeyi umuyorum.
full-time	tam zamanlı	Tam zamanlı bir işi var.
fundamentally	temel olarak	Plan temelden farklıdır.
furious	öfkeli	Gecikme konusunda öfkeliydi.
gaming	oyun	Oyun oynama tepki hızını artırabilir.
gay	eşcinsel	Eşcinsel haklarını destekliyor.
gender	cinsiyet	Anket cinsiyeti sordu.
gene	gen	Gen göz rengini etkiler.
genetic	genetik	Hastalığın genetik nedenleri var.
genius	dahi	Genç piyanist bir dahidir.
genuine	hakiki	Gülümsemesi içten görünüyordu.
genuinely	içtenlikle	Gerçekten yardım etmek istedi.
gesture	jest	Dostça bir jest yaptı.
gig	konser	Grup şehir merkezinde bir konser verdi.
globalization	küreselleşme	Küreselleşme yerel işletmeleri etkiler.
globe	küre	Küre her kıtayı gösterir.
golden	altın	Gün batımı altın rengine döndü.
goodness	iyilik	İnsanlığın iyiliğine inanır.
gorgeous	muhteşem	Bahçe muhteşem görünüyordu.
governor	vali	Vali tasarıyı imzaladı.
graphic	grafik	Grafik görüntü izleyicileri şoke etti.
graphics	grafikler	Oyunun basit grafikleri var.
greatly	büyük ölçüde	Tavsiyeniz büyük ölçüde yardımcı oldu.
greenhouse	sera	Domatesler seranın içinde büyür.
grocery	bakkal	İşten sonra market ürünleri aldı.
guideline	yönerge	Yönerge güvenli uygulamayı açıklar.
habitat	doğal yaşam alanı	Orman bir kuş yaşam alanıdır.
harbour	liman	Tekne limana girdi.
headquarters	merkez	Şirket merkezi şehir merkezine taşındı.
