source_headword	IS	example_IS
per	á	Miðar kosta tíu dollara á mann.
per cent	prósent	Fimm prósent eru lítið.
perform	koma fram	Hljómsveitin kemur fram í kvöld.
perhaps	kannski	Kannski er hún heima.
permission	leyfi	Biddu fyrst um leyfi.
personality	persónuleiki	Hann hefur vingjarnlegan persónuleika.
pet	gæludýr	Gæludýrið mitt er köttur.
petrol	bensín	Bíllinn þarf bensín.
physical	líkamlegur	Líkamleg hreyfing hjálpar heilsunni.
physics	eðlisfræði	Eðlisfræði er erfið.
pick	velja	Veldu eitt spil.
pilot	flugmaður	Flugmaðurinn talaði skýrt.
planet	pláneta	Jörðin er pláneta.
plastic	plast; úr plasti	Þessi flaska er úr plasti.
plate	diskur	Settu mat á diskinn.
platform	brautarpallur; pallur	Bíddu á brautarpalli tvö.
pleased	ánægður	Ég er ánægður að hitta þig.
pocket	vasi	Miðinn er í vasanum mínum.
polite	kurteis	Vertu kurteis við alla.
pollution	mengun	Mengun skaðar hafið.
pop	poppmúsík	Mér líkar poppmúsík.
population	íbúafjöldi	Íbúafjöldinn er að vaxa.
position	staða; staðsetning	Breyttu stöðu þinni.
possession	eign	Þessi hringur er eign mín.
possibility	möguleiki	Það er möguleiki á rigningu.
poster	veggspjald	Settu veggspjaldið á vegginn.
power	rafmagn; kraftur	Tölvan þarf rafmagn.
predict	spá	Við getum ekki spáð veðrinu.
president	forseti	Forsetinn hélt ræðu.
prevent	koma í veg fyrir	Þvoðu hendur til að koma í veg fyrir veikindi.
print	prenta	Prentaðu skjalið.
printer	prentari	Prentarinn er bilaður.
prison	fangelsi	Hann fór í fangelsi.
prize	verðlaun	Hún vann verðlaun.
process	ferli	Ferlið tekur tíma.
produce	framleiða	Býli framleiða mat.
professional	atvinnumaður; faglegur	Hún er atvinnudansari.
professor	prófessor	Prófessorinn svaraði spurningum.
profile	prófíll	Uppfærðu prófílinn þinn.
program	dagskrá; forrit	Dagskráin byrjar núna.
progress	framfarir	Við náðum framförum í dag.
promise	loforð	Haltu loforðið þitt.
pronounce	bera fram	Vinsamlegast berðu þetta orð fram.
protect	vernda	Verndaðu augun þín.
provide	veita	Þau veita ókeypis vatn.
pub	krá	Við hittumst á kránni.
public	opinber; almennings	Garðurinn er almenningsgarður.
publish	gefa út	Þau gefa út tímarit.
pull	toga	Togaðu í hurðina.
purpose	tilgangur	Hver er tilgangurinn?
push	ýta	Ýttu á hnappinn.
quality	gæði	Gæðin eru mikil.
quantity	magn	Athugaðu magnið.
queen	drottning	Drottningin veifaði.
quietly	hljóðlega	Talaðu hljóðlega.
race (competition)	keppni	Keppnin byrjar bráðum.
railway	járnbraut	Járnbrautin er lokuð.
raise	lyfta	Lyftu hendinni.
rate	verð; gjald	Verð hótelsins er hátt.
rather	frekar	Ég er frekar þreyttur.
reach	ná til	Geturðu náð í hilluna?
react	bregðast við	Hvernig brást hann við?
realize	gera sér grein fyrir	Ég geri mér grein fyrir mistökum mínum.
receive	fá	Fékkstu skilaboðin mín?
recent	nýlegur	Þetta er nýleg mynd.
recently	nýlega	Ég flutti hingað nýlega.
reception	móttaka	Móttakan er á mánudag.
recipe	uppskrift	Þessi uppskrift er auðveld.
recognize	þekkja	Ég þekki þetta lag.
recommend	mæla með	Ég mæli með þessari bók.
record	skrá; upptaka	Haltu skrá yfir greiðslur.
recording	upptaka	Upptakan hljómar skýrt.
recycle	endurvinna	Endurvinndu pappír og plast.
reduce	minnka	Minnkaðu hitann.
refer	vísa til	Vísaðu til síðu tvö.
refuse1	neita	Ég neita að ljúga.
region	svæði	Þetta svæði er kalt.
regular	reglulegur; fastur	Hann er fastur viðskiptavinur.
relationship	samband	Samband þeirra er sterkt.
remove	fjarlægja	Farðu úr skónum.
repair	gera við	Gerðu við hjólið í dag.
replace	skipta út	Skiptu út gömlu rafhlöðunni.
reply	svara	Vinsamlegast svaraðu fljótlega.
reporter	fréttamaður	Fréttamaðurinn tók minnispunkta.
request	beiðni	Ég lagði fram beiðni.
research	rannsaka	Við rannsökum staðarsögu.
researcher	rannsakandi	Rannsakandinn skoðaði gögnin.
respond	svara	Vinsamlegast svaraðu í dag.
response	svar	Svar hennar var fljótt.
rest (remaining part)	afgangur	Borðaðu afganginn seinna.
rest (sleep/relax)	hvíla sig	Þú þarft að hvíla þig.
review	fara yfir	Farðu yfir glósurnar þínar í kvöld.
ring1	hringur	Hún bar gullhring.
ring2	hringja	Hringdu í mig eftir hádegismat.
rise	hækka; rísa	Verð hækkar á hverju ári.
rock (stone)	steinn	Steinninn er þungur.
