source_headword	ES	example_ES
despite	a pesar de	A pesar de la lluvia, caminamos.
destination	el destino	París era su destino final.
determine	determinar	Las pruebas determinan tu nivel.
determined	decidido	Ella estaba decidida a triunfar.
development	el desarrollo	El desarrollo del pueblo fue rápido.
diagram	el diagrama	Dibuja un diagrama simple.
diamond	el diamante	El anillo tenía un diamante pequeño.
difficulty	la dificultad	Él tuvo dificultad para abrir la puerta.
directly	directamente	Por favor habla directamente conmigo.
dirt	la suciedad	Sus zapatos estaban cubiertos de suciedad.
disadvantage	la desventaja	El viaje largo es una desventaja.
disappointed	decepcionado	Ella se sintió decepcionada por el resultado.
disappointing	decepcionante	El final fue decepcionante.
discount	el descuento	Los estudiantes reciben un descuento aquí.
dislike	no gustar	No me gusta la música muy fuerte.
divide	dividir	Divide el pastel en pedazos.
documentary	el documental	Vimos un documental sobre el espacio.
donate	donar	Muchas personas donan ropa vieja.
doubt	la duda	No tengo ninguna duda al respecto.
dressed	vestido	Él estaba vestido de negro.
drum	el tambor	El tambor sonó por toda la habitación.
drunk	borracho	El conductor estaba borracho.
due	previsto	El informe vence mañana.
dust	el polvo	El polvo cubría los libros viejos.
duty	el deber	Es mi deber ayudar.
earthquake	el terremoto	El terremoto dañó el puente.
eastern	oriental	La costa oriental es ventosa.
economic	económico	El país enfrenta problemas económicos.
economy	la economía	La economía creció este año.
edge	el borde	Aléjate del borde.
editor	el editor	El editor revisó el artículo.
educate	educar	Las escuelas educan a los jóvenes.
educated	educado	Ella es muy educada.
educational	educativo	El juego es educativo.
effective	eficaz	Este medicamento es eficaz.
effectively	eficazmente	Ella explicó la regla eficazmente.
effort	el esfuerzo	Tu esfuerzo marcó una diferencia.
election	la elección	El resultado de la elección fue ajustado.
element	el elemento	La confianza es un elemento importante.
embarrassed	avergonzado	Él se sintió avergonzado después de caer.
embarrassing	vergonzoso	Ese fue un error vergonzoso.
emergency	la emergencia	Llama a este número en una emergencia.
emotion	la emoción	El miedo es una emoción fuerte.
employment	el empleo	El empleo aumentó este mes.
encourage	animar	Los profesores animan a los estudiantes a leer.
enemy	el enemigo	Los dos países eran enemigos.
engaged	comprometido	Se comprometieron la primavera pasada.
engineering	la ingeniería	Ella estudia ingeniería en la universidad.
entertain	entretener	El cantante entretendrá a los invitados.
entertainment	el entretenimiento	La ciudad ofrece entretenimiento nocturno.
entrance	la entrada	Encuéntrame en la entrada.
entry	la entrada	La entrada es gratis para niños.
environmental	ambiental	Hablamos de problemas ambientales.
episode	el episodio	El episodio final fue emocionante.
equal	igual	Reciben el mismo salario.
equally	por igual	El trabajo se comparte por igual.
escape	escapar	Los prisioneros intentaron escapar.
essential	esencial	El agua es esencial para la vida.
eventually	finalmente	Finalmente encontramos el hotel.
examine	examinar	El médico examinó mi brazo.
exchange	el intercambio	Hicimos un intercambio en la tienda.
excitement	la emoción	El partido estuvo lleno de emoción.
exhibition	la exposición	La exposición de arte abre mañana.
expand	expandirse	La empresa planea expandirse.
expected	esperado	El costo esperado es alto.
expedition	la expedición	La expedición cruzó el desierto.
experienced	experimentado	Ella es una enfermera experimentada.
explode	explotar	La botella puede explotar con el calor.
explore	explorar	Exploramos el casco antiguo.
explosion	la explosión	La explosión rompió varias ventanas.
export	la exportación	El café es una exportación importante.
fairly	bastante	El examen fue bastante fácil.
familiar	familiar	Su cara me parecía familiar.
fancy	apetecer	¿Te apetece un café?
fascinating	fascinante	La historia fue fascinante.
fashionable	de moda	Esos zapatos están de moda.
fasten	abrochar	Abróchate el cinturón de seguridad.
favour	el favor	¿Puedes hacerme un favor?
fence	la valla	La valla rodea el jardín.
fighting	la lucha	La lucha se detuvo al amanecer.
file	el archivo	Guarda el archivo antes de cerrar.
financial	financiero	Ella necesita asesoramiento financiero.
fitness	la forma física	Correr mejora tu forma física.
fixed	fijo	El precio es fijo.
flag	la bandera	La bandera ondeaba sobre la escuela.
flood	la inundación	La inundación dañó muchas casas.
flour	la harina	Añade harina al bol.
flow	fluir	El río fluye por la ciudad.
fold	doblar	Dobla el papel por la mitad.
folk	folclórico	La música folclórica llenó la sala.
force	la fuerza	El viento tenía gran fuerza.
forever	para siempre	Recordaré esto para siempre.
frame	el marco	La foto necesita un marco.
freeze	congelarse	El agua se congelará durante la noche.
frequently	frecuentemente	Él visita a sus padres frecuentemente.
friendship	la amistad	Su amistad duró años.
frighten	asustar	Los ruidos fuertes asustan al bebé.
frightened	asustado	El niño parecía asustado.
frightening	aterrador	La tormenta fue aterradora.
frozen	congelado	El lago estaba congelado.
fry	freír	Fríe las cebollas durante cinco minutos.
fuel	el combustible	El coche necesita más combustible.
function	la función	Este botón tiene una función.
fur	el pelaje	El gato tiene un pelaje suave.
garage	el garaje	El coche está en el garaje.
gather	reunirse	Nos reunimos alrededor de la mesa.
generally	generalmente	Ella generalmente llega temprano.
generation	la generación	Cada generación enfrenta nuevos problemas.
generous	generoso	Él es generoso con su tiempo.
gentle	suave	Usa una voz suave.
gentleman	el caballero	El caballero abrió la puerta.
ghost	el fantasma	La historia menciona un fantasma.
giant	gigante	Una pantalla gigante llenó el escenario.
glad	contento	Me alegra que hayas venido.
global	global	El cambio climático es un problema global.
glove	el guante	Perdí un guante.
goods	los bienes	Los bienes llegaron tarde.
grade	la calificación	Ella sacó una calificación alta.
graduate	el graduado	Él es un graduado reciente.
grain	el grano	Un grano de arroz cayó.
grateful	agradecido	Estoy agradecido por tu apoyo.
growth	el crecimiento	La planta mostró un crecimiento constante.
guard	el guardia	El guardia revisó nuestros boletos.
guilty	culpable	Él se sintió culpable por mentir.
hang	colgar	Cuelga tu abrigo aquí.
happiness	la felicidad	El dinero no puede comprar la felicidad.
hardly	apenas	Apenas podía oírte.
headline	el titular	El titular llamó mi atención.
heating	la calefacción	La calefacción dejó de funcionar.
heavily	fuertemente	Llovió fuertemente toda la noche.
helicopter	el helicóptero	Un helicóptero aterrizó cerca.
highlight	resaltar	Por favor resalta la idea principal.
highly	muy	Ella es muy respetada.
hire	alquilar	Necesitamos alquilar un coche.
historic	histórico	Visitamos un edificio histórico.
historical	histórico	A ella le encantan las novelas históricas.
honest	honesto	Por favor da una respuesta honesta.
horrible	horrible	El olor era horrible.
horror	el terror	Él disfruta las películas de terror.
host	el anfitrión	El anfitrión recibió a cada invitado.
