source_headword	TL	example_TL
mandate	mandato	Inangkin ng pangulo ang isang matibay na mandato.
mandatory	sapilitan	Sapilitan ang pagdalo para sa mga nagsasanay.
manifest	magpakita	Maaaring magpakita ang mga sintomas pagkalipas ng ilang linggo.
manipulate	manipulahin	Huwag manipulahin ang mga resulta ng survey.
manipulation	manipulasyon	Natuklasan ang manipulasyon ng data.
manuscript	manuskrito	Tinanggap ng publisher ang kanyang manuskrito.
march	magmartsa	Magmamartsa sa downtown ang mga nagpoprotesta.
marginal	bahagya	May bahagyang benepisyo ang pagbabago.
marine	dagat	Kailangan ng buhay dagat ng malinis na tubig.
marketplace	palengke	Mabilis na lumawak ang online na palengke.
mask	mask	Dapat magsuot ng mask ang mga manggagawa.
massacre	masaker	Ginulat ng masaker ang buong rehiyon.
mathematical	matematikal	Hinulaan ng matematikal na modelo ang demand.
mature	mature	Nagbibigay ng lilim ang mga mature na puno.
maximize	i-maximize	I-maximize ng update ang tagal ng baterya.
meaningful	makabuluhan	Nagkaroon sila ng makabuluhang pag-uusap.
meantime	samantala	Samantala, maghintay sa labas.
medieval	medyebal	May mga medyebal na pader ang kastilyo.
meditation	pagninilay	Pinapakalma ng pang-araw-araw na pagninilay ang kanyang isip.
melody	himig	Naiiwan ang himig sa aking isipan.
memo	memo	Ipinaliwanag ng memo ang patakaran.
memoir	memoir	Inilalarawan ng kanyang memoir ang pagkatapon noong pagkabata.
memorial	alaala	Pinararangalan ng alaala ang mga lokal na sundalo.
mentor	mentor	Sinuri ng kanyang mentor ang panukala.
merchant	mangangalakal	Nagbenta ng sutla at pampalasa ang mangangalakal.
mercy	awa	Nagpakita ng awa ang hukom.
mere	tanging	Ibinunyag ng tanging sulyap ang error.
merely	lamang	Inulit lamang niya ang mga tagubilin.
merge	magsama	Magsasama ang dalawang kumpanya.
merger	merger	Lumikha ang merger ng isang mas malaking bangko.
merit	merito	May malinaw na merito ang panukala.
methodology	pamamaraan	Ipinapaliwanag ng pag-aaral ang pamamaraan nito.
midst	gitna	Nagtrabaho sila sa gitna ng kaguluhan.
migration	pandarayuhan	Nakakaapekto ang napapanahong pandarayuhan sa mga lokal na trabaho.
militant	militante	Tinanggihan ng militanteng grupo ang mga negosasyon.
militia	milisya	Kinontrol ng milisya ang kalsada.
mill	kiskisan	Naging museo ang lumang kiskisan.
minimal	minimal	Nangangailangan ang plano ng minimal na pagsisikap.
minimize	bawasan	Dapat nating bawasan ang hindi kinakailangang panganib.
mining	pagmimina	Napinsala ng pagmimina ang lambak ng ilog.
ministry	ministeryo	Inihayag ng ministeryo ang mga bagong panuntunan.
minute2	napakaliit	Lumitaw ang isang napakaliit na bitak sa salamin.
miracle	himala	Tila isang himala ang kanyang paggaling.
misery	pagdurusa	Tiniis ng mga refugee ang mga taon ng pagdurusa.
misleading	nakapanlilinlang	Nilitó ng nakapanlilinlang na tsart ang mga mambabasa.
missile	misayl	Pinalala ng pagsubok sa misayl ang tensyon.
mob	mandurumog	Hinarangan ng galit na mandurumog ang trapiko.
mobility	kadaliang kumilos	Pinapabuti ng mas magagandang bus ang kadaliang kumilos sa lungsod.
mobilize	pakilusin	Mabilis na pinapakilos ng mga pinuno ang mga boluntaryo.
moderate	katamtaman	May katamtamang pananaw ang kandidato.
modification	pagbabago	Kailangan ng isang pagbabago ang disenyo.
momentum	momentum	Mabilis na nakakuha ng momentum ang kampanya.
monk	monghe	Namuhay nang tahimik ang monghe.
monopoly	monopolyo	May hawak na monopolyo ang kumpanya.
morality	moralidad	Sinusuri ng kurso ang pampublikong moralidad.
motive	motibo	Kinuwestiyon ng pulisya ang kanyang motibo.
motorist	motorista	Huminto sa mga pulang ilaw ang motorista.
municipal	munisipal	Bumuti ang mga munisipal na serbisyo ngayong taon.
mutual	mutual	Naabot nila ang isang mutual na kasunduan.
namely	partikular	Isang problema ang nananatili, partikular ang pagpopondo.
nationwide	sa buong bansa	Nagdulot ang welga ng mga pagkaantala sa buong bansa.
naval	hukbong dagat	Nagsara ang base ng hukbong dagat noong nakaraang taon.
neglect	pabayaan	Huwag pabayaan ang pangunahing kaligtasan.
neighbouring	kalapit na	Nagbahagi ng ospital ang mga kalapit na bayan.
nest	pugad	Gumawa ng pugad ang ibon.
net	net	Tumaas nang husto ang netong kita.
newsletter	newsletter	Dumarating ang newsletter tuwing Biyernes.
niche	niche	Nakahanap ang kumpanya ng kumikitang niche.
noble	marangal	Pinahanga ng kanyang marangal na kilos ang lahat.
nod	tumango	Mangyaring tumango kung naiintindihan mo.
nominate	magnomina	Magnonomina sila ng bagong tagapangulo.
nomination	nominasyon	Ginulat ng kanyang nominasyon ang komite.
nominee	nominado	Sinagot ng nominado ang mahihirap na tanong.
nonetheless	gayunpaman	Gayunpaman, sumulong ang plano.
non-profit	non-profit	Nagtatrabaho siya para sa isang non-profit na klinika.
nonsense	walang katuturan	Ang tsismis na iyon ay ganap na walang katuturan.
noon	tanghali	Magsisimula ang pulong sa tanghali.
notable	kapansin-pansin	Gumawa ang ulat ng kapansin-pansing pag-unlad.
notably	kapansin-pansin	Kapansin-pansin, bumaba ang mga gastos noong Mayo.
notify	abisuhan	Mangyaring abisuhan ang kawani bago umalis.
notorious	notoryuso	Ang kalsada ay notoryuso sa mga aksidente.
novel	bago	Nagpanukala sila ng isang bagong solusyon.
nursery	nursery	Ang nursery ay nag-aalaga ng mga sanggol.
objection	pagtutol	Ang abogado ay nagtaas ng pagtutol.
oblige	obligahin	Ang mga panuntunan ay inoobliga ang mga drayber na huminto.
obsess	mahumaling	Huwag mahumaling sa maliliit na pagkakamali.
obsession	pagkahumaling	Ang kanyang pagkahumaling ay nakasira sa kanyang trabaho.
occasional	paminsan-minsan	Inaasahan ang mga paminsan-minsang pagkaantala.
occurrence	pangyayari	Ang ganoong pangyayari ay bihira.
odds	posibilidad	Ang posibilidad ng tagumpay ay bumuti.
offering	inaalok	Pinalawak ng unibersidad ang inaalok nito.
offspring	supling	Pinrotektahan ng asong-gubat ang kanyang supling.
operational	gumagana	Ang bagong sistema ay gumagana na.
opt	pumili	Maraming estudyante ang pumipili ng mga online na klase.
optical	optical	Kailangang linisin ang optical na lente.
optimism	optimismo	Bumalik ang optimismo pagkatapos ng anunsyo.
oral	pasalita	Magsisimula bukas ang pasalitang pagsusulit.
organizational	pang-organisasyon	Ang mga pagbabagong pang-organisasyon ay nagsimula kaagad.
orientation	oryentasyon	Tinalakay sa palihan ang oryentasyon ng empleyado.
originate	magmula	Maraming tradisyon ang nagmumula sa mga bukid.
outbreak	pagkalat	Ang pagkalat ng sakit ay umabot sa buong lungsod.
outing	pamamasyal	Nag-enjoy ang klase sa pamamasyal sa museo.
outlet	outlet	Nagbebenta ang outlet ng mga nakadiskwentong damit.
outlook	pananaw	Ang pananaw sa ekonomiya ay nananatiling walang katiyakan.
outrage	galit	Ang desisyon ay nagdulot ng galit ng publiko.
outsider	tagalabas	Bilang isang tagalabas, napansin niya ang mga problema.
overlook	palagpasin	Huwag palagpasin ang maliliit na detalye.
overly	labis	Ang mga tagubilin ay labis na kumplikado.
oversee	pamahalaan	Siya ang mamamahala sa proyekto.
overturn	baligtarin	Maaaring baligtarin ng korte ang desisyon.
overwhelm	tabunan	Ang sobrang impormasyon ay maaaring tumabun sa mga nag-aaral.
overwhelming	napakalaki	Napakalaki ng mga ebidensya.
pad	pad	Gamitin ang pad para protektahan ang mga tuhod.
parameter	parametro	Ayusin ang isang parametro sa bawat pagkakataon.
parental	magulang	Ang suporta ng magulang ay nagpabuti sa pagdalo.
parish	parokya	Ang parokya ay nag-organisa ng hapunan para sa kawanggawa.
parliamentary	parliyamentaryo	Ang parliyamentaryong debate ay tumagal ng ilang oras.
partial	bahagya	Nagbigay ang ulat ng bahagyang sagot.
partially	bahagya	Bahagyang bukas ang bintana.
passing	pagpanaw	Ang kanyang pagpanaw ay biglaan.
passive	pasibo	Ang mga pasibong namumuhunan ay tumanggap ng matatag na kita.
pastor	pastor	Binisita ng pastor ang pamilya.
patch	tagpi	Kailangan ng maliit na tagpi ang jacket.
patent	patente	Ang kumpanya ay nagsumite ng patente.
pathway	landas	Ang landas ay patungo sa sertipikasyon.
patrol	pagpapatrulya	Nagpapatrulya ang mga pulis sa lugar tuwing gabi.
patron	parokyano	Pinasalamatan ng museo ang parokyano nito.
peak	tugatog	Naabot ng demand ang tugatog nito sa taglamig.
peasant	magsasaka	Ang magsasaka ay nagmamay-ari ng kaunting lupa.
peculiar	kakaiba	May kakaibang amoy ang kwarto.
persist	magpatuloy	Maaaring magpatuloy ang mga sintomas sa loob ng ilang araw.
persistent	paulit-ulit	Ang paulit-ulit na ubo ay nangangailangan ng atensyon.
personnel	tauhan	Ang mga rekord ng tauhan ay kumpidensyal.
petition	petisyon	Ang petisyon ay nakakuha ng libu-libong lagda.
philosopher	pilosopo	Kinuwestiyon ng pilosopo ang mga karaniwang palagay.
philosophical	pilosopikal	Naging pilosopikal ang talakayan.
physician	manggagamot	Ang manggagamot ay nag-utos ng mga pagsusuri sa dugo.
pioneer	tagapanguna	Siya ay naging isang tagapanguna sa medisina.
pipeline	pipeline	Ang pipeline ay nagdadala ng gas sa ilalim ng lupa.
pirate	pirata	Lumitaw ang barko ng pirata sa pampang.
pit	hukay	Naghukay ang mga manggagawa ng malalim na hukay.
plea	pakiusap	Ang kanyang pakiusap para sa tulong ay hindi pinansin.
plead	umamin	Aamin ang suspek na siya ay may sala.
pledge	mangako	Nangangako sila ng suporta para sa mga reporma.
plug	isaksak	Isaksak ang kable sa saksakan.
plunge	bumagsak	Maaaring bumagsak ang mga presyo pagkatapos ng iskandalo.
pole	poste	Nakasabit ang watawat sa isang poste.
poll	botohan	Ipinakita ng botohan ang nagbabagong mga opinyon.
pond	lawa-lawaan	Tumawid ang mga itik sa nakeyelong lawa-lawaan.
pop	pumutok	Pumuputok ang mga lobo malapit sa matatalim na bagay.
portfolio	portfolio	Kasama sa kanyang portfolio ang ilang mga startup.
portray	ilarawan	Ilalarawan ng pelikula ang buhay sa probinsya.
postpone	ipagpaliban	Nagpasya silang ipagpaliban ang pagdinig.
post-war	pagkatapos ng digmaan	Kagyat na kinailangan ang pabahay pagkatapos ng digmaan.
practitioner	practitioner	Ipinaliwanag ng practitioner ang paggamot.
preach	mangaral	Mangangaral ang ministro sa araw ng Linggo.
precedent	pamarisan	Ang hatol ay nagtakda ng mahalagang pamarisan.
precision	katumpakan	Pumuputol ang makina na may katumpakan.
predator	maninila	Ang maninila ay naghintay malapit sa ilog.
predecessor	hinalinhan	Nag-iwan ng detalyadong mga tala ang kanyang hinalinhan.
predominantly	nakararami	Ang lugar ay nakararami sa tirahan.
pregnancy	pagbubuntis	Ang pagbubuntis ay nangangailangan ng regular na pangangalagang medikal.
prejudice	pagkiling	Hinamon ng kampanya ang pagkiling sa lahi.
preliminary	panimula	Ang mga panimulang resulta ay mukhang may pag-asa.
premier	premier	Nagsalita ang premier sa parliyamento ngayon.
premise	batayan	Ang argumento ay nakasalalay sa maling batayan.
premium	premium	Nagbayad ng premium ang mga customer para sa bilis.
prescribe	magreseta	Maingat na nagrereseta ang mga doktor ng antibiotics.
prescription	reseta	Maso-sira ang reseta sa susunod na buwan.
presently	sa kasalukuyan	Siya ay hindi magagamit sa kasalukuyan.
preservation	pangangalaga	Pinoprotektahan ng pangangalaga ang mga makasaysayang gusali.
preside	mamuno	Mamumuno ang hukom sa paglilitis.
presidency	pagkapangulo	Ang kanyang pagkapangulo ay tumagal ng walong taon.
presidential	pampanguluhan	Ang halalang pampanguluhan ay nakakuha ng atensyon.
prestigious	prestihiyoso	Nanalo siya ng isang prestihiyosong iskolarship.
presumably	marahil	Ang opisina ay marahil sarado ngayon.
presume	ipagpalagay	Ipinapalagay namin na ang mga dokumento ay tunay.
prevail	mangibabaw	Dapat mangibabaw ang tamang pag-iisip.
prevalence	paglaganap	Tumaas ang paglaganap ng hika.
prevention	pag-iwas	Ang pag-iwas ay mas mura kaysa pag-aayos.
