source_headword	BN	example_BN
birth	জন্ম	তার জন্ম মে মাসে হয়েছিল.
biscuit	বিস্কুট	সে একটি বিস্কুট খায়.
bit	একটু	আমার একটু বেশি সময় দরকার.
blank	খালি জায়গা	খালি জায়গায় তোমার নাম লেখো.
blood	রক্ত	রক্ত লাল.
blow	বওয়া; ফুঁ দেওয়া	বাতাস জোরে বইতে পারে.
board	বোর্ড	এটা বোর্ডে লেখো.
boil	সিদ্ধ করা	আগে পানি সিদ্ধ করো.
bone	হাড়	কুকুরটির একটি হাড় আছে.
borrow	ধার নেওয়া	আমি কি তোমার কলম ধার নিতে পারি?
boss	বস	আমার বস বন্ধুত্বপূর্ণ.
bottom	নিচের অংশ	নিচে স্বাক্ষর করো.
bowl	বাটি	বাটিটি ভরা.
brain	মস্তিষ্ক	তোমার মস্তিষ্কের বিশ্রাম দরকার.
bridge	সেতু	সেতুটি পুরোনো.
bright	উজ্জ্বল	ঘরটি উজ্জ্বল.
brilliant	চমৎকার	ওই ধারণাটি চমৎকার.
broken	ভাঙা	চেয়ারটি ভাঙা.
brush	ব্রাশ করা; ব্রাশ	এখন দাঁত ব্রাশ করো.
burn	পোড়ানো; পোড়া	রুটি পোড়িও না.
businessman	ব্যবসায়ী	ব্যবসায়ী তাড়াতাড়ি এসেছিল.
button	বোতাম	লাল বোতামটি চাপো.
camp	শিবির; তাঁবু খাটানো	আমরা হ্রদের কাছে তাঁবু খাটাই.
camping	ক্যাম্পিং	গ্রীষ্মে ক্যাম্পিং মজার.
can2	ক্যান	ক্যানটি সাবধানে খোলো.
care	যত্ন	তোমার স্বাস্থ্যের যত্ন নাও.
careful	সাবধান	সিঁড়িতে সাবধান থাকো.
carefully	সাবধানে	প্রশ্নটি সাবধানে পড়ো.
carpet	কার্পেট	কার্পেটটি নরম.
cartoon	কার্টুন	এই কার্টুনটি মজার.
case	ঘটনা; বাক্স	এটা বাক্সে রাখো.
cash	নগদ	আমি নগদে টাকা দিয়েছি.
castle	দুর্গ	দুর্গটি খুব পুরোনো.
catch	ধরা	এখন বলটি ধরো.
cause	কারণ; ঘটানো	বৃষ্টি সমস্যা ঘটাতে পারে.
celebrate	উদযাপন করা	আমরা আমার জন্মদিন উদযাপন করি.
celebrity	খ্যাতিমান ব্যক্তি	খ্যাতিমান ব্যক্তিটি খুব দয়ালু ছিল.
certain	নিশ্চিত	আমি এ বিষয়ে নিশ্চিত.
certainly	নিশ্চয়ই	আমি নিশ্চয়ই সাহায্য করব.
chance	সুযোগ	তোমার একটি সুযোগ আছে.
character	চরিত্র; চরিত্রপাত্র	এই চরিত্রটি সাহসী.
charity	দাতব্য সংস্থা	দাতব্য সংস্থা শিশুদের সাহায্য করে.
chat	আড্ডা দেওয়া	আমরা ক্লাসের পরে আড্ডা দিই.
chef	রাঁধুনি	রাঁধুনি স্যুপ বানিয়েছে.
chemistry	রসায়ন	রসায়ন আমার জন্য কঠিন.
chip	চিপস	এই চিপসটি নোনতা.
choice	পছন্দ; নির্বাচন	এই পছন্দটি গুরুত্বপূর্ণ.
church	গির্জা	গির্জাটি এখানেই কাছে.
cigarette	সিগারেট	সিগারেট স্বাস্থ্যের জন্য খারাপ.
circle	বৃত্ত	এখানে একটি বৃত্ত আঁকো.
classical	শাস্ত্রীয়	আমি শাস্ত্রীয় সঙ্গীত উপভোগ করি.
clear	স্পষ্ট	উত্তরটি স্পষ্ট.
clearly	স্পষ্টভাবে	দয়া করে স্পষ্টভাবে বলো.
clever	বুদ্ধিমান	সে বুদ্ধিমান শিশু.
climate	জলবায়ু	জলবায়ু বদলাচ্ছে.
close2	কাছাকাছি	আমার স্কুল বাড়ির কাছাকাছি.
closed	বন্ধ	দোকানটি বন্ধ.
clothing	পোশাক	গরম পোশাক উপকারী.
cloud	মেঘ	একটি মেঘ সূর্য ঢেকে দেয়.
coach	প্রশিক্ষক	প্রশিক্ষক দলকে সাহায্য করেছে.
coast	উপকূল	আমরা উপকূল বরাবর গাড়ি চালিয়েছি.
code	কোড	এখানে কোড লিখো.
colleague	সহকর্মী	আমার সহকর্মী আমাকে ফোন করেছে.
collect	সংগ্রহ করা	আমি পুরোনো কার্ড সংগ্রহ করি.
column	কলাম	প্রথম কলামটি পড়ো.
comedy	কমেডি	এই কমেডিটি মজার.
comfortable	আরামদায়ক	এই চেয়ারটি আরামদায়ক.
comment	মন্তব্য	নিচে একটি মন্তব্য রাখো.
communicate	যোগাযোগ করা	আমরা ইমেইলে যোগাযোগ করি.
community	সম্প্রদায়	আমাদের সম্প্রদায় বন্ধুত্বপূর্ণ.
compete	প্রতিযোগিতা করা	তারা প্রতি বছর প্রতিযোগিতা করে.
competition	প্রতিযোগিতা	প্রতিযোগিতা কাল শুরু হবে.
complain	অভিযোগ করা	আবার অভিযোগ করো না.
completely	পুরোপুরি	আমি তোমার সঙ্গে পুরোপুরি একমত.
condition	অবস্থা	গাড়িটি ভালো অবস্থায় আছে.
conference	সম্মেলন	সম্মেলন নয়টায় শুরু হয়.
connect	সংযোগ করা	ফোনটি কম্পিউটারের সঙ্গে সংযোগ করো.
connected	সংযুক্ত	দুটি ধারণা সংযুক্ত.
consider	বিবেচনা করা	দয়া করে আমার ধারণাটি বিবেচনা করো.
contain	থাকা; ধারণ করা	এই বাক্সে বই আছে.
context	প্রসঙ্গ	প্রসঙ্গ তোমাকে বুঝতে সাহায্য করে.
continent	মহাদেশ	একটি মহাদেশ খুব বড়.
continue	চালিয়ে যাওয়া	দয়া করে পড়া চালিয়ে যাও.
control	নিয়ন্ত্রণ; নিয়ন্ত্রণ করা	গতি সাবধানে নিয়ন্ত্রণ করো.
cooker	চুলা; কুকার	চুলাটি পরিষ্কার.
copy	কপি	আমার জন্য একটি কপি করো.
corner	কোণা	কোণায় বসো.
correctly	সঠিকভাবে	উত্তরটি সঠিকভাবে লেখো.
count	গোনা	বইগুলো গোনো.
couple	জোড়া; দম্পতি	দম্পতি তাড়াতাড়ি এসেছিল.
cover	ঢাকা	বাটিটি ঢেকে দাও.
crazy	পাগল; অদ্ভুত	এই ধারণাটি অদ্ভুত শোনায়.
creative	সৃজনশীল	তার একটি সৃজনশীল ধারণা আছে.
credit	ক্রেডিট; ক্রেডিট কার্ড	আমি ক্রেডিট কার্ডে টাকা দিয়েছি.
crime	অপরাধ	অপরাধ একটি গুরুতর সমস্যা.
criminal	অপরাধী	অপরাধী দ্রুত চলে গেল.
cross	পার হওয়া	রাস্তা সাবধানে পার হও.
crowd	ভিড়	ভিড় বাইরে অপেক্ষা করছিল.
crowded	ভিড়ভাট্টা	ট্রেনটি ভিড়ভাট্টা ছিল.
cry	কাঁদা	এখন কেঁদো না.
cupboard	আলমারি	কাপগুলো আলমারিতে আছে.
curly	কোঁকড়া	তার কোঁকড়া চুল আছে.
cycle	সাইকেল চালানো	আমি সাইকেলে স্কুলে যাই.
daily	দৈনিক; প্রতিদিন	আমি প্রতিদিন খবর পড়ি.
danger	বিপদ	চিহ্নটি বিপদ দেখায়.
data	ডেটা	ডেটা উপকারী.
dead	মৃত	গাছটি মৃত.
deal	চুক্তি; সওদা	এটি ভালো সওদা.
death	মৃত্যু	মৃত্যু কঠিন বিষয়.
decision	সিদ্ধান্ত	আজ সিদ্ধান্ত নাও.
deep	গভীর	পানি গভীর.
definitely	নিশ্চিতভাবে	আমি নিশ্চিতভাবে চা চাই.
degree	ডিগ্রি	আমার ডিগ্রি ইতিহাসে.
dentist	দাঁতের ডাক্তার	দাঁতের ডাক্তার আমার দাঁত পরীক্ষা করেছে.
department	বিভাগ	জুতার বিভাগ ওপরে.
depend	নির্ভর করা	এটি আবহাওয়ার ওপর নির্ভর করে.
desert	মরুভূমি	মরুভূমি খুব শুকনো.
designer	ডিজাইনার	ডিজাইনার এই পোশাক বানিয়েছে.
destroy	ধ্বংস করা	ফাইলটি ধ্বংস করো না.
detective	গোয়েন্দা	গোয়েন্দা চাবিটি খুঁজে পেয়েছে.
develop	উন্নয়ন করা	তারা নতুন অ্যাপ উন্নয়ন করে.
device	যন্ত্র	এই যন্ত্রটি উপকারী.
diary	ডায়েরি	সে তার ডায়েরিতে লেখে.
differently	ভিন্নভাবে	আমরা এটা ভিন্নভাবে করি.
digital	ডিজিটাল	এটি ডিজিটাল ক্যামেরা.
direct	সরাসরি	সরাসরি ট্রেন নাও.
direction	দিক	এই দিকে হাঁটো.
director	পরিচালক	পরিচালক ফিল্মটি পছন্দ করেছে.
disagree	অসম্মত হওয়া	আমি ওই ধারণার সঙ্গে অসম্মত.
disappear	অদৃশ্য হওয়া	সূর্য শিগগির অদৃশ্য হবে.
disaster	দুর্যোগ	ঝড়টি দুর্যোগ ছিল.
discover	আবিষ্কার করা	তারা নতুন দ্বীপ আবিষ্কার করে.
discovery	আবিষ্কার	আবিষ্কারটি বিজ্ঞান বদলেছে.
discussion	আলোচনা	আলোচনাটি তাড়াতাড়ি শেষ হয়েছে.
disease	রোগ	এই রোগটি গুরুতর.
distance	দূরত্ব	দূরত্ব কম.
divorced	তালাকপ্রাপ্ত	তার বাবা-মা তালাকপ্রাপ্ত.
document	দলিল; নথি	এই নথিটি এখন সংরক্ষণ করো.
double	দ্বিগুণ; ডাবল	আমার ডাবল ঘর দরকার.
download	ডাউনলোড করা	আজ অ্যাপটি ডাউনলোড করো.
drama	নাটক	নাটকটি আজ রাতে শুরু হয়.
drawing	আঁকা ছবি	তার আঁকা ছবিটি সুন্দর.
dream	স্বপ্ন	আমি অদ্ভুত স্বপ্ন দেখেছি.
driving	গাড়ি চালানো	রাতে গাড়ি চালানো কঠিন.
drop	ফেলে দেওয়া	গ্লাসটি ফেলো না.
drug	ওষুধ	ওষুধটি তাকে সাহায্য করেছে.
dry	শুকনো	তোয়ালেটি শুকনো.
earn	উপার্জন করা	আমি কাজে টাকা উপার্জন করি.
earth	পৃথিবী	পৃথিবী গোল.
easily	সহজে	সে সহজে শেখে.
education	শিক্ষা	শিক্ষা গুরুত্বপূর্ণ.
effect	প্রভাব	প্রভাবটি স্পষ্ট ছিল.
either	যেকোনো একটি	যেকোনো একটি উত্তর ঠিক আছে.
electric	বিদ্যুৎচালিত	এই গাড়ি বিদ্যুৎচালিত.
electrical	বৈদ্যুতিক	বৈদ্যুতিক ব্যবস্থা নিরাপদ.
electricity	বিদ্যুৎ	এখানে বিদ্যুৎ দামি.
electronic	ইলেকট্রনিক	এই ইলেকট্রনিক টিকিট কাজ করে.
employ	নিয়োগ করা	তারা পাঁচজন মানুষ নিয়োগ করে.
employee	কর্মচারী	কর্মচারী কঠোর পরিশ্রম করে.
employer	নিয়োগকর্তা	আমার নিয়োগকর্তা ন্যায্য.
empty	খালি	ঘরটি খালি.
ending	শেষ	শেষটি আশ্চর্যজনক ছিল.
energy	শক্তি	আজ আমার শক্তি নেই.
engine	ইঞ্জিন	ইঞ্জিনটি জোরে শব্দ করে.
engineer	প্রকৌশলী	প্রকৌশলী সেতুটি ঠিক করেছে.
enormous	বিশাল	ভবনটি বিশাল.
enter	প্রবেশ করা	ঘরে চুপচাপ প্রবেশ করো.
environment	পরিবেশ	পরিবেশ রক্ষা করো.
equipment	সরঞ্জাম	এই সরঞ্জাম দামি.
error	ভুল; ত্রুটি	আমি একটি ভুল পেয়েছি.
especially	বিশেষ করে	আমি বিশেষ করে এই গান পছন্দ করি.
essay	প্রবন্ধ	আজ রাতে প্রবন্ধ লেখো.
everyday	রোজকার	এটি রোজকার ইংরেজি.
everywhere	সব জায়গায়	ফুল সব জায়গায় জন্মায়.
evidence	প্রমাণ	প্রমাণটি স্পষ্ট.
exact	সঠিক	সঠিক সংখ্যা দাও.
exactly	ঠিক	এটা ঠিক সঠিক.
excellent	চমৎকার	তোমার কাজ চমৎকার.
except	ছাড়া	আমাকে ছাড়া সবাই এসেছিল.
exist	অস্তিত্ব থাকা	এই ঠিকানার অস্তিত্ব আছে?
expect	আশা করা	আমি কাল বৃষ্টির আশা করি.
experience	অভিজ্ঞতা	আমার শিশুদের সঙ্গে অভিজ্ঞতা আছে.
experiment	পরীক্ষা	পরীক্ষাটি ভালো কাজ করেছে.
expert	বিশেষজ্ঞ	সাহায্যের জন্য বিশেষজ্ঞকে জিজ্ঞেস করো.
explanation	ব্যাখ্যা	তার ব্যাখ্যা স্পষ্ট ছিল.
express	প্রকাশ করা	দয়া করে তোমার মতামত প্রকাশ করো.
expression	প্রকাশ; অভিব্যক্তি	এই অভিব্যক্তি সাধারণ.
extreme	চরম	গরমটি চরম ছিল.
extremely	অত্যন্ত	এটি অত্যন্ত ঠান্ডা.
factor	কারণ; উপাদান	খরচ একটি কারণ.
factory	কারখানা	কারখানা পাঁচটায় বন্ধ হয়.
fail	ব্যর্থ হওয়া	আমি ব্যর্থ হইনি.
fair	ন্যায্য	দামটি ন্যায্য.
fan	পাখা; ভক্ত	পাখাটি চালু করো.
farming	চাষাবাদ	চাষাবাদ কঠিন কাজ.
fashion	ফ্যাশন	ফ্যাশন প্রতি বছর বদলায়.
fear	ভয়	ভয় মানুষকে থামাতে পারে.
feature	বৈশিষ্ট্য	এই ফোনে উপকারী বৈশিষ্ট্য আছে.
feed	খাওয়ানো	এখন বিড়ালটিকে খাওয়াও.
female	নারী; স্ত্রী	নারী ক্রীড়াবিদ জিতেছে.
fiction	কল্পকাহিনি	সে রাতে কল্পকাহিনি পড়ে.
field	মাঠ; ক্ষেত্র	মাঠটি সবুজ.
fight	লড়াই করা	তারা খুব বেশি লড়াই করে.
figure	চিত্র; সংখ্যা	চিত্রটির দিকে তাকাও.
finally	অবশেষে	আমরা অবশেষে বাড়ি পৌঁছেছি.
finger	আঙুল	আমার আঙুল ব্যথা করছে.
firstly	প্রথমত	প্রথমত, প্রশ্নটি পড়ো.
fishing	মাছ ধরা	মাছ ধরা এখানে জনপ্রিয়.
fit	মাপসই হওয়া	এই জুতাগুলো ভালো মাপসই হয়.
fix	ঠিক করা	ভাঙা চেয়ারটি ঠিক করো.
flu	ফ্লু	আমার ফ্লু হয়েছে.
flying	উড়ান	উড়ান দ্রুত.
focus	মনোযোগ দেওয়া	এই কাজে মনোযোগ দাও.
following	নিম্নলিখিত	নিম্নলিখিত বাক্যটি পড়ো.
foreign	বিদেশি	সে বিদেশি ভাষা বলে.
forest	জঙ্গল	জঙ্গলটি শান্ত.
fork	কাঁটা	কাঁটা ব্যবহার করো.
formal	আনুষ্ঠানিক	এই চিঠি আনুষ্ঠানিক.
fortunately	সৌভাগ্যবশত	সৌভাগ্যবশত কেউ আহত হয়নি.
forward	সামনে	ধীরে সামনে এগোও.
fresh	তাজা	রুটি তাজা.
