source_headword	TR	example_TR
basketball	basketbol	Okuldan sonra basketbol oynarız.
bean	fasulye	Bu fasulye yeşil.
bear (animal)	ayı	Ormanda bir ayı yaşar.
beat	yenmek	Takımımız onları yenebilir.
beef	sığır eti	Akşam yemeğinde sığır eti yedim.
behave	davranmak	Lütfen sınıfta iyi davran.
behaviour	davranış	Onun davranışı kibardı.
belong	ait olmak	Bu ayakkabılar bana ait.
belt	kemer	Onun kemeri siyah.
benefit	fayda	Egzersizin gerçek bir faydası var.
billion	milyar	Milyar çok büyük bir sayı.
bin	çöp kutusu	Kağıdı çöp kutusuna koy.
biology	biyoloji	Biyoloji benim en iyi dersim.
birth	doğum	Onun doğumu mayıstaydı.
biscuit	bisküvi	O bir bisküvi yer.
bit	biraz	Biraz daha zamana ihtiyacım var.
blank	boşluk	Adını boşluğa yaz.
blood	kan	Kan kırmızıdır.
blow	esmek	Rüzgar sert esebilir.
board	tahta	Bunu tahtaya yaz.
boil	kaynatmak	Önce suyu kaynat.
bone	kemik	Köpeğin bir kemiği var.
borrow	ödünç almak	Kalemini ödünç alabilir miyim?
boss	patron	Patronum arkadaş canlısı.
bottom	alt kısım	Alt kısma imza at.
bowl	kase	Kase dolu.
brain	beyin	Beyninin dinlenmeye ihtiyacı var.
bridge	köprü	Köprü eski.
bright	parlak; aydınlık	Oda aydınlık.
brilliant	harika; parlak	Bu fikir harika.
broken	kırık	Sandalye kırık.
brush	fırçalamak	Şimdi dişlerini fırçala.
burn	yakmak	Ekmeği yakma.
businessman	iş insanı	İş insanı erken geldi.
button	düğme	Kırmızı düğmeye bas.
camp	kamp kurmak	Gölün yakınında kamp kurarız.
camping	kamp yapmak	Yazın kamp yapmak eğlenceli.
can2	kutu	Konserve kutusunu dikkatle aç.
care	bakım; özen	Sağlığına dikkat et.
careful	dikkatli	Merdivenlerde dikkatli ol.
carefully	dikkatlice	Soruyu dikkatlice oku.
carpet	halı	Halı yumuşak.
cartoon	çizgi film	Bu çizgi film komik.
case	kutu; durum	Onu kutuya koy.
cash	nakit	Nakit ödedim.
castle	kale	Kale çok eski.
catch	yakalamak	Topu şimdi yakala.
cause	neden olmak	Yağmur sorunlara neden olabilir.
celebrate	kutlamak	Doğum günümü kutlarız.
celebrity	ünlü kişi	Ünlü kişi çok nazikti.
certain	emin	Bundan eminim.
certainly	kesinlikle	Kesinlikle yardım edeceğim.
chance	şans; fırsat	Bir şansın var.
character	karakter	Bu karakter cesur.
charity	hayır kurumu	Hayır kurumu çocuklara yardım eder.
chat	sohbet etmek	Dersten sonra sohbet ederiz.
chef	şef; aşçı	Şef çorba yaptı.
chemistry	kimya	Kimya benim için zor.
chip	cips	Bu cips tuzlu.
choice	seçim	Bu seçim önemli.
church	kilise	Kilise buraya yakın.
cigarette	sigara	Sigara sağlık için kötü.
circle	daire	Buraya bir daire çiz.
classical	klasik	Klasik müzikten hoşlanırım.
clear	açık; net	Cevap açık.
clearly	açıkça	Lütfen açıkça konuş.
clever	akıllı	O akıllı bir çocuk.
climate	iklim	İklim değişiyor.
close2	yakın	Okulum eve yakın.
closed	kapalı	Dükkan kapalı.
clothing	giysi; kıyafet	Sıcak giysi yararlı.
cloud	bulut	Bulut güneşi kapatıyor.
coach	antrenör	Antrenör takıma yardım etti.
coast	kıyı	Kıyı boyunca gittik.
code	kod	Kodu buraya gir.
colleague	meslektaş	Meslektaşım beni aradı.
collect	toplamak	Eski kartlar toplarım.
column	sütun	İlk sütunu oku.
comedy	komedi	Bu komedi komik.
comfortable	rahat	Bu sandalye rahat.
comment	yorum	Aşağıya yorum bırak.
communicate	iletişim kurmak	E-posta ile iletişim kurarız.
community	topluluk	Topluluğumuz arkadaş canlısı.
compete	yarışmak	Her yıl yarışırlar.
competition	yarışma	Yarışma yarın başlar.
complain	şikayet etmek	Tekrar şikayet etme.
completely	tamamen	Sana tamamen katılıyorum.
condition	durum	Araba iyi durumda.
conference	konferans	Konferans dokuzda başlar.
connect	bağlamak	Telefonu bilgisayara bağla.
connected	bağlı	İki fikir bağlı.
consider	düşünmek; dikkate almak	Lütfen fikrimi dikkate al.
contain	içermek	Bu kutu kitap içerir.
context	bağlam	Bağlam anlamana yardım eder.
continent	kıta	Kıta çok büyük.
continue	devam etmek	Lütfen okumaya devam et.
control	kontrol etmek	Hızı dikkatle kontrol et.
cooker	ocak	Ocak temiz.
copy	kopya	Benim için bir kopya yap.
corner	köşe	Köşede otur.
correctly	doğru şekilde	Cevabı doğru yaz.
count	saymak	Kitapları say.
couple	çift	Çift erken geldi.
cover	örtmek	Kaseyi ört.
crazy	çılgın; tuhaf	Bu fikir tuhaf geliyor.
creative	yaratıcı	Onun yaratıcı bir fikri var.
credit	kredi	Kredi kartıyla ödedim.
crime	suç	Suç ciddi bir sorun.
criminal	suçlu	Suçlu hızla ayrıldı.
cross	geçmek	Caddeyi dikkatle geç.
crowd	kalabalık	Kalabalık dışarıda bekledi.
crowded	kalabalık	Tren kalabalıktı.
cry	ağlamak	Şimdi ağlama.
cupboard	dolap	Fincanlar dolapta.
curly	kıvırcık	Onun kıvırcık saçları var.
cycle	bisiklete binmek	Okula bisikletle giderim.
daily	günlük; her gün	Haberleri her gün okurum.
danger	tehlike	İşaret tehlikeyi gösterir.
data	veri	Veri yararlı.
dead	ölü	Bitki ölü.
deal	anlaşma; fırsat	Bu iyi bir fırsat.
death	ölüm	Ölüm zor bir konu.
decision	karar	Bugün bir karar ver.
deep	derin	Su derin.
definitely	kesinlikle	Kesinlikle çay istiyorum.
degree	derece; diploma	Diplomam tarih alanında.
dentist	dişçi	Dişçi dişlerimi kontrol etti.
department	bölüm	Ayakkabı bölümü üst katta.
depend	bağlı olmak	Havaya bağlı.
desert	çöl	Çöl çok kuru.
designer	tasarımcı	Tasarımcı bu elbiseyi yaptı.
destroy	yok etmek	Dosyayı yok etme.
detective	dedektif	Dedektif anahtarı buldu.
develop	geliştirmek; yapmak	Yeni bir uygulama geliştiriyorlar.
device	cihaz	Bu cihaz yararlı.
diary	günlük	O günlüğüne yazar.
differently	farklı şekilde	Bunu farklı yaparız.
digital	dijital	Bu dijital bir kamera.
direct	direkt; doğrudan	Direkt trene bin.
direction	yön	Bu yönde yürü.
director	yönetmen	Yönetmen filmi beğendi.
disagree	katılmamak	Bu fikre katılmıyorum.
disappear	kaybolmak	Güneş yakında kaybolacak.
disaster	felaket	Fırtına bir felaketti.
discover	keşfetmek	Yeni bir ada keşfederler.
discovery	keşif	Keşif bilimi değiştirdi.
discussion	tartışma; görüşme	Tartışma erken bitti.
disease	hastalık	Bu hastalık ciddi.
distance	mesafe	Mesafe kısa.
divorced	boşanmış	Onun anne babası boşanmış.
document	belge	Bu belgeyi şimdi kaydet.
double	çift; iki kişilik	İki kişilik bir oda lazım.
download	indirmek	Uygulamayı bugün indir.
drama	dram	Dram bu gece başlar.
drawing	çizim	Onun çizimi güzel.
dream	rüya; hayal	Garip bir rüya gördüm.
driving	araba kullanma	Gece araba kullanmak zor.
drop	düşürmek	Bardağı düşürme.
drug	ilaç	İlaç ona yardım etti.
dry	kuru	Havlu kuru.
earn	kazanmak	İşte para kazanırım.
earth	dünya	Dünya yuvarlak.
easily	kolayca	O kolayca öğrenir.
education	eğitim	Eğitim önemli.
effect	etki	Etki açıktı.
either	ikisinden biri; herhangi biri	İki cevaptan biri uygun.
electric	elektrikli	Bu araba elektrikli.
electrical	elektriksel	Elektrik sistemi güvenli.
electricity	elektrik	Elektrik burada pahalı.
electronic	elektronik	Bu elektronik bilet çalışıyor.
employ	istihdam etmek; işe almak	Beş kişiyi işe alıyorlar.
employee	çalışan	Çalışan çok çalışır.
employer	işveren	İşverenim adil.
empty	boş	Oda boş.
ending	son	Son şaşırtıcıydı.
energy	enerji	Bugün enerjim yok.
engine	motor	Motor gürültülü.
engineer	mühendis	Mühendis köprüyü onardı.
enormous	kocaman; devasa	Bina devasa.
enter	girmek	Odaya sessizce gir.
environment	çevre	Çevreyi koru.
equipment	ekipman	Bu ekipman pahalı.
error	hata	Bir hata buldum.
especially	özellikle	Bu şarkıyı özellikle severim.
essay	kompozisyon; deneme	Bu gece bir kompozisyon yaz.
everyday	günlük	Bu günlük İngilizce.
everywhere	her yerde	Çiçekler her yerde büyür.
evidence	kanıt	Kanıt açık.
exact	tam; kesin	Tam sayıyı ver.
exactly	tam olarak	Bu tam olarak doğru.
excellent	mükemmel	Çalışman mükemmel.
except	dışında	Herkes geldi, ben hariç.
exist	var olmak	Bu adres var mı?
expect	beklemek	Yarın yağmur bekliyorum.
experience	deneyim	Çocuklarla deneyimim var.
experiment	deney	Deney iyi çalıştı.
expert	uzman	Yardım için bir uzmana sor.
explanation	açıklama	Onun açıklaması açıktı.
express	ifade etmek	Lütfen fikrini ifade et.
expression	ifade	Bu ifade yaygın.
extreme	aşırı	Sıcak aşırıydı.
extremely	son derece	Son derece soğuk.
factor	faktör	Maliyet bir faktör.
factory	fabrika	Fabrika beşte kapanır.
fail	başarısız olmak	Başarısız olmadım.
fair	adil	Fiyat adil.
fan	vantilatör	Vantilatörü aç.
farming	tarım	Tarım zor iştir.
fashion	moda	Moda her yıl değişir.
fear	korku	Korku insanları durdurabilir.
feature	özellik	Bu telefonun yararlı bir özelliği var.
feed	beslemek	Kediyi şimdi besle.
female	kadın; dişi	Kadın sporcu kazandı.
fiction	kurgu	Geceleri kurgu okur.
field	tarla; alan	Tarla yeşil.
fight	kavga etmek; savaşmak	Çok kavga ederler.
figure	şekil; rakam	Şekle bak.
finally	sonunda	Sonunda eve vardık.
finger	parmak	Parmağım ağrıyor.
firstly	ilk olarak	İlk olarak soruyu oku.
fishing	balık tutma	Balık tutma burada popüler.
fit	uymak	Bu ayakkabılar iyi uyuyor.
fix	onarmak	Kırık sandalyeyi onar.
flu	grip	Grip oldum.
flying	uçmak; uçuş	Uçmak hızlıdır.
focus	odaklanmak	Bu göreve odaklan.
following	aşağıdaki	Aşağıdaki cümleyi oku.
foreign	yabancı	O yabancı bir dil konuşur.
forest	orman	Orman sessiz.
fork	çatal	Çatal kullan.
formal	resmi	Bu mektup resmi.
fortunately	neyse ki	Neyse ki kimse yaralanmadı.
forward	ileri	Yavaşça ileri git.
fresh	taze	Ekmek taze.
