source_headword	TR	example_TR
artificial	yapay	Çiçekler yapay görünüyordu.
artistic	sanatsal	Sanatsal yeteneği var.
ashamed	utanmış	Sonrasında utanmış hissetti.
aspect	yön	Her yönü dikkatlice düşünün.
assess	değerlendirmek	Hasarı değerlendirmeliyiz.
assessment	değerlendirme	Değerlendirme iki saat sürdü.
associate	ilişkilendirmek	İnsanlar dumanı tehlikeyle ilişkilendirir.
associated	ilişkili	Stres hastalıkla ilişkilidir.
association	dernek	Dernek genç sanatçıları destekliyor.
assume	varsaymak	Aynı fikirde olduğunuzu varsayıyorum.
attempt	girişim	İlk girişimi başarısız oldu.
bacteria	bakteri	Bakteriler hızla yayılabilir.
barrier	engel	Dil bir engeldi.
basically	temel olarak	Temel olarak daha fazla zamana ihtiyacımız var.
bear (deal with)	katlanmak	Bu gürültüye katlanamıyorum.
beg	yalvarmak	Lütfen yardım için yalvar.
being	varlık	Her varlığın suya ihtiyacı vardır.
bent	bükük	Metal çubuk büküktü.
bet	iddiaya girmek	İddiaya girerim biliyor.
beyond	ötesinde	Köy nehrin ötesinde yer alıyor.
bitter	acı	İlacın tadı acıydı.
blame	suçlamak	Sürücüyü suçlama.
blind	kör	Genç yaşta kör oldu.
bond	bağ	Güven güçlü bir bağ oluşturur.
breast	göğüs	Göğsünde ağrı hissetti.
brief	kısa	Cevabınızı kısa tutun.
broad	geniş	Nehir burada geniştir.
broadcast	yayınlamak	Konuşma canlı olarak yayınlandı.
budget	bütçe	Bütçe çok kısıtlı.
bullet	mermi	Mermi duvara isabet etti.
bunch	demet	Bir demet anahtar taşıyordu.
bush	çalı	Çalıların arasına bir kuş saklandı.
cable	kablo	Kablo kopmuş.
calculate	hesaplamak	Toplam maliyeti hesapla.
cancel	iptal etmek	Toplantıyı iptal ettiler.
cancer	kanser	Kanser tedavisi zor olabilir.
capable	yetenekli	O daha fazlasını yapabilir.
capacity	kapasite	Salon kapasitesine ulaştı.
capture	yakalamak	Fotoğraf ruh halini yakalıyor.
cast	oyuncu kadrosu	Oyuncu kadrosu hazır.
cell	hücre	Her hücre veri içerir.
chairman	başkan	Başkan toplantıyı açtı.
characteristic	özellik	Sabır onun temel özelliğidir.
chief	baş	Baş mühendis geç geldi.
circumstance	durum	Her durumu dikkatlice değerlendirin.
cite	alıntı yapmak	Lütfen kaynağınızı belirtin.
citizen	vatandaş	Her vatandaş oy kullanabilir.
civil	sivil	Protesto sivil kaldı.
classic	klasik	Bu film bir klasiktir.
closely	yakından	Süreci yakından izleyin.
collapse	çökmek	Eski köprü çökebilir.
combination	kombinasyon	Kombinasyon iyi çalıştı.
comfort	teselli	Sözleri teselli verdi.
command	emir	Subay bir emir verdi.
commission	komisyon	Komisyon davayı inceledi.
commitment	bağlılık	İş bağlılık gerektirir.
committee	komite	Komite haftalık toplanır.
commonly	yaygın olarak	Bu bitki yaygın olarak yetiştirilir.
complicated	karmaşık	Talimatlar karmaşık.
component	bileşen	Bir bileşen arızalandı.
concentration	konsantrasyon	Gürültü konsantrasyonumu bozuyor.
concept	kavram	Kavram basittir.
concern	endişe	Güvenlik asıl endişemizdir.
concerned	endişeli	Ebeveynler derinden endişeliydi.
conduct	yürütmek	Yerel olarak araştırma yürütüyorlar.
confidence	güven	Pratik yapmak güven oluşturur.
conflict	çatışma	Çatışma yıllarca sürdü.
confusing	kafa karıştırıcı	Harita kafa karıştırıcıydı.
conscious	bilinçli	Bilinci açık kaldı.
conservative	muhafazakar	Görüşleri muhafazakar.
consideration	husus	Maliyet önemli bir husustur.
consistent	tutarlı	Sonuçları tutarlı.
constant	sürekli	Sürekli gürültü bizi yordu.
constantly	sürekli olarak	Sürekli telefonunu kontrol ediyor.
construct	inşa etmek	İşçiler yeni bir köprü inşa ettiler.
construction	inşaat	İnşaat gelecek ay başlıyor.
contemporary	çağdaş	Galeri çağdaş sanat eserleri sergiliyor.
contest	yarışma	Yarışmaya katıldı.
contract	sözleşme	Sözleşmeyi dikkatlice okuyun.
contribute	katkıda bulunmak	Herkes fikirleriyle katkıda bulunabilir.
contribution	katkı	Katkısı değerliydi.
convert	dönüştürmek	Garajı dönüştürdüler.
convinced	ikna olmuş	Yalan söylediğine ikna oldum.
core	temel	Güven temel sorundur.
corporate	kurumsal	Kurumsal kurallar yine değişti.
council	konsey	Konsey planı onayladı.
county	ilçe	İlçe yolu onardı.
courage	cesaret	Gerçek bir cesaret gösterdi.
crash	kaza	Kaza trafiği engelledi.
creation	oluşturma	Oluşturma süreci altı ay sürdü.
creature	yaratık	Yaratık sessizce hareket etti.
crew	mürettebat	Mürettebat gemiyi hazırladı.
crisis	kriz	Kriz her şeyi değiştirdi.
criterion	kriter	Fiyat bir kriterdir.
critic	eleştirmen	Eleştirmen oyunu övdü.
critical	kritik	Durumu kritik.
criticism	eleştiri	Eleştiriyi sakince kabul etti.
criticize	eleştirmek	Her hatayı eleştirmeyin.
crop	mahsul	Bu yıl mahsul başarısız oldu.
crucial	çok önemli	Zamanlama burada çok önemli.
cure	tedavi	Doktorlar bir tedavi buldu.
curve	viraj	Yol bir virajı takip ediyor.
curved	kavisli	Duvar hafifçe kavisli.
debate	tartışma	Tartışma saatlerce sürdü.
debt	borç	Borcu ödedi.
decent	düzgün	Düzgün bir daire buldular.
declare	ilan etmek	Sonucu ilan ettiler.
decline	düşmek	Satışlar düşmeye devam etti.
decoration	dekorasyon	Dekorasyon pahalı görünüyordu.
decrease	azalmak	Fiyatlar yakında azalabilir.
deeply	derinden	Adaleti derinden önemsiyordu.
defeat	yenilgi	Yenilgi takımı şok etti.
defence	savunma	Savunma kanıta itiraz etti.
defend	savunmak	Kendini savunmaya çalıştı.
delay	gecikme	Kötü hava gecikmeye neden oldu.
deliberate	kasıtlı	Bu kasıtlı bir seçimdi.
deliberately	kasten	Uyarıyı kasten görmezden geldi.
delight	sevindirmek	Haber herkesi sevindirdi.
delighted	memnun	Hediyeden çok memnun kaldık.
delivery	teslimat	Teslimat erken geldi.
demand	talep	İşçiler daha iyi maaş talep ediyor.
demonstrate	göstermek	Yeni yazılımı gösterdi.
deny	inkar etmek	Suçlamayı inkar etti.
depressed	depresif	Kaybettikten sonra depresif hissetti.
depressing	moral bozucu	Film moral bozucuydu.
depth	derinlik	Havuzun derinliği büyüktür.
deserve	hak etmek	Bir molayı hak ediyorsun.
desire	arzu	Seyahat etme arzusunu dile getirdi.
desperate	çaresiz	Çaresizce bir arama yaptılar.
detailed	detaylı	Rehber çok detaylıdır.
detect	tespit etmek	Köpekler dumanı tespit edebilir.
dig	kazmak	Yazın kuyu kazarlar.
disc	disk	Disk çizilmişti.
discipline	disiplin	Disiplin sporcuların gelişmesine yardımcı olur.
dishonest	dürüst olmayan	Cevabı dürüst görünmüyordu.
dismiss	reddetmek	Yönetici şikayeti reddetti.
display	göstermek	Ekran skoru gösteriyor.
distribute	dağıtmak	Gönüllüler temiz su dağıttı.
distribution	dağıtım	Dağıtım gün doğumundan sonra başladı.
district	ilçe	İlçe bir belediye başkanı seçti.
division	bölüm	Bölüm hukuki davalara bakar.
domestic	yurt içi	Yurt içi uçuşlar daha ucuzdur.
dominate	hakim olmak	Bir şirket piyasaya hakim olabilir.
downwards	aşağıya doğru	Yol aşağıya doğru eğimlidir.
dozen	düzine	Bir düzine yumurta aldı.
draft	taslak	Lütfen taslağı inceleyin.
drag	sürüklemek	Masayı sürüklemeyin.
dramatic	dramatik	Sonuçlar dramatikti.
edit	düzenlemek	Makaleyi düzenledi.
edition	baskı	Bu baskı yeni fotoğraflar içeriyor.
efficient	verimli	Sistem verimlidir.
elderly	yaşlı	Yaşlı sakinlerin desteğe ihtiyacı var.
elect	seçmek	Seçmenler yeni bir konsey seçer.
elsewhere	başka bir yerde	Yardım için başka bir yere baktık.
emerge	ortaya çıkmak	Detaylar gece yarısından sonra ortaya çıktı.
emotional	duygusal	Konuşma duygusaldı.
emphasis	vurgu	Güvenliğe vurgu yapın.
emphasize	vurgulamak	Öğretmenler günlük pratiği vurgular.
enable	olanak tanımak	Uygulama hızlı ödemelere olanak tanır.
encounter	karşılaşmak	Yoğun trafikle karşılaştık.
engage	ilgisini çekmek	Kurs yetişkin öğrencilerin ilgisini çekiyor.
enhance	geliştirmek	Aydınlatma odayı güzelleştirebilir.
enquiry	soruşturma	Soruşturma üç ay sürdü.
ensure	sağlamak	Doğruluğu sağlamak için iki kez kontrol edin.
enthusiasm	heves	Onun hevesi grubu cesaretlendirdi.
enthusiastic	hevesli	Gönüllüler hevesliydi.
entire	tüm	Tüm köyün elektriği kesildi.
entirely	tamamen	Hikaye tamamen yanlış.
establish	kurmak	Net kurallar kurdular.
estate	mülk	Mülk birkaç çiftliği içeriyor.
estimate	tahmin etmek	On bin ziyaretçi tahmin ediyoruz.
ethical	etik	Karar etik sorular ortaya çıkardı.
evaluate	değerlendirmek	Uzmanlar tasarımı değerlendirecek.
evil	kötü	Kral kötü ruhlardan korkuyordu.
examination	sınav	Sınav bir saat sürdü.
excuse	bahane	O bahane zayıf geldi.
executive	yönetici	Yönetici anlaşmayı onayladı.
existence	varlık	Varlıkları bilinmiyordu.
expectation	beklenti	Lansmandan önce beklenti yüksekti.
expense	masraf	Seyahat en büyük masrafımızdır.
exploration	keşif	Uzay keşfi çocuklara ilham verir.
expose	ifşa etmek	Makale yolsuzluğu ifşa etti.
extend	uzatmak	Teslim tarihini uzattılar.
extent	boyut	Boyutunu daha sonra öğrendik.
external	dış	Dış baskı onları etkiledi.
extraordinary	olağanüstü	İyileşmesi olağanüstüydü.
facility	tesis	Tesis Haziran ayında açıldı.
failure	başarısızlık	Başarısızlık ona sabrı öğretti.
faith	inanç	Ona inancını korudu.
fault	hata	Kaza benim hatamdı.
feather	tüy	Yastıktan bir tüy düştü.
fee	ücret	Ücrete öğle yemeği dahildir.
feedback	geri bildirim	Geri bildirim kursu geliştirmeye yardımcı oldu.
fellow	meslektaş	Çalışma arkadaşları onu destekledi.
finance	finanse etmek	Banka genişlemeyi finanse edecek.
finding	bulgu	Bulgu araştırmacıları şaşırttı.
firm	firma	Firma yeni personel işe aldı.
flame	alev	Küçük bir alev belirdi.
flash	flaş	Bir flaş gökyüzünü aydınlattı.
flexible	esnek	Program esnektir.
float	yüzmek	Yapraklar suda yüzer.
folding	katlanır	Katlanır bir sandalye taşıyordu.
forgive	affetmek	Onu affedebilir misin?
former	eski	Eski belediye başkanı geri döndü.
fortune	servet	Bir servet kaybettiler.
found	kurmak	Küçük bir hayır kurumu kurdular.
freedom	özgürlük	Özgürlük sorumluluk gerektirir.
frequency	sıklık	Kışın sıklık arttı.
fully	tamamen	Otel tamamen dolu.
fund	fon	Fon yerel okulları destekliyor.
fundamental	temel	Saygı burada temeldir.
funding	finansman	Finansman geçen yıl sona erdi.
furthermore	dahası	Dahası, maliyetler artıyor.
gain	kazanmak	Öğrenciler hızla özgüven kazanır.
gang	çete	Sokağı bir çete kontrol ediyordu.
generate	üretmek	Güneş panelleri enerji üretir.
genre	tür	Komedi onun en sevdiği türdür.
govern	yönetmek	Kanunlar kamu harcamalarını belirler.
grab	kapmak	Kolumu yakaladı.
gradually	yavaş yavaş	Ağrı yavaş yavaş kayboldu.
grand	görkemli	Otelin görkemli bir girişi var.
grant	hibe	Ekipmanlar hibe ile ödendi.
guarantee	garanti etmek	Bilet girişi garanti eder.
handle	halletmek	Şikayeti sakince halletti.
harm	zarar	Sigara içmek sağlığa zarar verebilir.
harmful	zararlı	O kimyasal zararlıdır.
hearing	işitme	İşitme duyusu gelişti.
heaven	cennet	Yukarıdaki cenneti hayal ettiler.
heel	topuk	Topuğu çok fena acıdı.
hell	cehennem	Yolculuk cehennem gibiydi.
hesitate	tereddüt etmek	Sormaktan çekinmeyin.
hollow	içi boş	Ağacın içi boştu.
holy	kutsal	Kutsal bir yeri ziyaret ettiler.
honour	onur	Onur için savaştılar.
household	hane	Her haneye su verildi.
housing	konut	Konut maliyetleri artmaya devam ediyor.
humorous	mizahi	Hikayesi komikti.
humour	mizah	Mizah gerginliği azaltmaya yardımcı oldu.
hunting	avcılık	Burada avlanmak yasaktır.
illustrate	örneklemek	Örnekler kuralı gösteriyor.
illustration	çizim	Çizim süreci gösteriyor.
imagination	hayal gücü	Çocuklar hayal güçlerini özgürce kullanırlar.
impatient	sabırsız	Sürücüler sabırsızlandı.
imply	ima etmek	Sessizliği onayladığını ima edebilir.
impose	uygulamak	Mahkeme para cezası kesti.
impress	etkilemek	Cesareti herkesi etkiledi.
impressed	etkilenmiş	Onun çalışmasından etkilendim.
inch	inç	Bir inç sola kaydırın.
incident	olay	Olay endişeye neden oldu.
income	gelir	Gelirleri yavaşça arttı.
increasingly	giderek	Ev fiyatları giderek artıyor.
industrial	endüstriyel	Kasabanın sanayi kökleri var.
infection	enfeksiyon	Enfeksiyon hızla yayıldı.
inform	bilgilendirmek	Lütfen yöneticiye haber verin.
initial	ilk	Başlangıç maliyeti yüksekti.
initially	başlangıçta	Başlangıçta kimse ona inanmadı.
initiative	girişim	Yeni bir girişim başlattı.
inner	iç	İç kapı kilitliydi.
insight	içgörü	Rapor faydalı içgörüler sunuyor.
insist	ısrar etmek	Güvenlik kontrollerinde ısrar ediyorlar.
inspire	ilham vermek	Hikayesi başkalarına ilham verebilir.
install	kurmak	Yeni bir ısıtıcı kurdular.
instance	örnek	Bu açık bir örnektir.
