source_headword	PT	example_PT
phase	a fase	O projeto entrou na sua fase final.
phenomenon	o fenômeno	O fenômeno ocorre em muitas culturas.
philosophy	a filosofia	Sua filosofia valoriza a ação prática.
pile	a pilha	Uma pilha de papéis cobria a mesa.
pitch	o campo	A equipe preparou o campo cuidadosamente.
plain	claro	As instruções eram claras e diretas.
pointed	incisivo	Ele fez um comentário direto.
popularity	a popularidade	O cantor ganhou popularidade online.
pose	representar	A questão pode representar um problema.
possess	possuir	Poucos alunos possuem essa habilidade.
potential	o potencial	A ideia tem um potencial real.
praise	o elogio	O professor fez um elogio sincero.
pregnant	grávida	Ela está grávida de seis meses.
preparation	a preparação	Uma boa preparação reduz o estresse.
presence	a presença	Sua presença mudou o clima.
preserve	preservar	Devemos preservar este edifício histórico.
prime	principal	A causa principal foi um planejamento ruim.
principle	o princípio	A decisão seguiu um princípio claro.
priority	a prioridade	A segurança é a nossa primeira prioridade.
privacy	a privacidade	Os clientes esperam privacidade online.
procedure	o procedimento	O procedimento leva trinta minutos.
proof	a prova	Precisamos de provas antes de agir.
proposal	a proposta	A proposta precisa de mais detalhes.
propose	propor	Proponho uma solução diferente.
prospect	a perspectiva	A perspectiva de fracasso os preocupava.
protection	a proteção	O capacete oferece proteção básica.
psychologist	o psicólogo	O psicólogo explicou os resultados do teste.
psychology	a psicologia	Ela estuda psicologia na universidade.
publication	a publicação	A publicação atraiu a atenção do público.
pupil	o aluno	Cada aluno recebeu um novo livro didático.
purchase	a compra	Eles compram suprimentos todos os meses.
pure	puro	A água era pura e fria.
pursue	seguir	Ele seguirá uma carreira médica.
rank	o cargo	Ela ocupa um cargo sênior.
rapid	rápido	O país viu um crescimento rápido.
rapidly	rapidamente	Os preços subiram rapidamente este ano.
raw	cru	O chef preparou vegetais crus.
realistic	realista	Estabeleça um prazo realista.
reasonable	razoável	Esse parece um pedido razoável.
recall	lembrar	Lembro-me de suas palavras exatas.
recover	recuperar-se	Ela vai se recuperar após o tratamento.
reduction	a redução	A redução economizou dinheiro.
regard	considerar	Muitas pessoas a consideram honesta.
regional	regional	O escritório regional fechou hoje.
register	registrar-se	Por favor, registre-se antes da conferência.
regret	lamentar	Lamento a minha decisão anterior.
regulation	o regulamento	O novo regulamento afeta todos os motoristas.
relatively	relativamente	O exame foi relativamente fácil.
relevant	relevante	Escolha apenas os detalhes relevantes.
relief	o alívio	A notícia trouxe um grande alívio.
rely	depender	As crianças dependem do apoio dos adultos.
remark	a observação	O seu comentário encerrou a discussão.
representative	o representante	O representante encontrou-se com os trabalhadores locais.
reputation	a reputação	O hotel tem uma boa reputação.
requirement	o requisito	A experiência é um requisito básico.
rescue	resgatar	Eles resgatam pessoas de enchentes.
reserve	a reserva	Reservamos lugares para os convidados.
resident	o residente	Cada residente recebeu um aviso.
resist	resistir	Tente resistir à pressão.
resolve	resolver	Eles resolveram a disputa pacificamente.
resort	o resort	O resort da ilha abriu em maio.
retain	reter	A empresa quer reter os funcionários.
reveal	revelar	O relatório revelará a verdade.
revolution	a revolução	A revolução mudou o país.
reward	a recompensa	O trabalho duro merece uma recompensa.
rhythm	o ritmo	A música tem um ritmo constante.
rid	livrar-se	Livre-se daqueles arquivos velhos.
root	a raiz	A raiz do problema é o dinheiro.
rub	esfregar	Esfregue a superfície com um pano.
rubber	a borracha	A vedação de borracha evita vazamentos.
rural	rural	Muitas escolas rurais precisam de apoio.
rush	apressar	Não apresse esta decisão.
satellite	o satélite	O satélite enviou novas imagens.
satisfied	satisfeito	O cliente parecia satisfeito.
satisfy	satisfazer	A resposta não o satisfez.
saving	a economia	A economia de energia reduz os custos mensais.
scale	a escala	A escala dos danos foi enorme.
scheme	o programa	O programa ajuda jovens trabalhadores.
scream	gritar	Eles ouviram um grito lá fora.
sector	o setor	O setor de tecnologia está crescendo.
secure	proteger	Tranque a porta para protegê-la.
seek	procurar	Eles buscam conselhos de especialistas.
select	selecionar	Selecione a melhor opção.
selection	a seleção	A loja oferece uma ampla seleção.
self	o eu	Ela mostrou o seu verdadeiro eu.
senior	sénior	Um médico sénior examinou o paciente.
sensitive	sensível	Este tópico é muito sensível.
sequence	a sequência	Siga a sequência de passos.
session	a sessão	A sessão de treinamento começa ao meio-dia.
settle	resolver	Eles resolveram a discussão rapidamente.
severe	severo	A tempestade causou inundações severas.
shade	a sombra	Sente-se na sombra.
shadow	a sombra	Uma sombra cruzou a janela.
shallow	raso	O lago é raso aqui.
shame	a vergonha	Ele sentiu vergonha depois de mentir.
shelter	o abrigo	A escola forneceu um abrigo de emergência.
shock	o choque	A decisão foi um choque.
shocked	chocado	Ela parecia chocada com a notícia.
shooting	o tiroteio	O tiroteio aconteceu perto da estação.
shot	o tiro	O arremesso vencedor surpreendeu a todos.
significant	significativo	A descoberta foi significativa.
significantly	significativamente	Os custos aumentaram significativamente no ano passado.
silence	o silêncio	A sala mergulhou em silêncio.
silk	a seda	O vestido era feito de seda.
sincere	sincero	Por favor, aceite os meus sinceros agradecimentos.
slave	o escravo	A lei libertou todos os escravos.
slide	escorregar	A criança desceu pelo escorrega.
slight	ligeiro	Houve um ligeiro atraso.
slip	escorregar	Não escorregue no chão molhado.
slope	a encosta	O caminho segue uma encosta íngreme.
solar	solar	A casa utiliza energia solar.
somewhat	um pouco	As instruções eram um pouco confusas.
soul	a alma	A música elevou a sua alma.
specialist	o especialista	O especialista examinou o paciente.
species	a espécie	Esta espécie vive perto de rios.
spiritual	espiritual	Ela descreveu uma experiência espiritual.
split	dividir	Eles dividiram a conta igualmente.
sponsor	patrocinar	A empresa vai patrocinar o evento.
stable	estável	O paciente está estáável.
stare	olhar fixamente	Não olhe fixamente para estranhos.
status	o estatuto	O seu estatuto mudou de um dia para o outro.
steady	constante	Mantenha uma velocidade constante.
steel	o aço	A ponte é feita de aço.
steep	íngreme	A colina é íngreme.
sticky	pegajoso	O chão está pegajoso.
stiff	rígido	O seu ombro estava rígido.
stock	o stock	A loja não tem mais stock.
stream	o ribeiro	Um pequeno ribeiro atravessa o campo.
stretch	esticar	Estique as pernas após o voo.
strict	rigoroso	A escola tem regras rigorosas.
strike	fazer greve	Os trabalhadores podem fazer greve amanhã.
struggle	ter dificuldades	Muitas famílias têm dificuldades com a renda.
submit	submeter	Envie o formulário até sexta-feira.
sum	a soma	A soma foi superior ao esperado.
surgery	a cirurgia	A cirurgia durou duas horas.
surround	rodear	Árvores altas rodeiam a casa.
surrounding	circundante	A área circundante é tranquila.
suspect	suspeitar	A polícia suspeita de um homem local.
swear	dizer palavrões	Não diga palavrões na aula.
sweep	varrer	Varra o chão antes da chegada dos convidados.
sympathy	a compaixão	Ela expressou compaixão pelas vítimas.
tale	o conto	A avó contou um conto estranho.
tank	o tanque	O tanque contém água limpa.
tear1	rasgar	Não rasgue o documento.
tear2	a lágrima	Uma lágrima escorreu-lhe pela face.
temporary	temporário	O escritório é um abrigo temporário.
therapy	a terapia	A fisioterapia ajudou na sua recuperação.
threat	a ameaça	A mensagem continha uma ameaça.
threaten	ameaçar	A tempestade pode ameaçar as colheitas.
thus	assim	A estrada estava fechada; assim, esperámos.
tone	o tom	O seu tom soou calmo.
tough	difícil	A entrevista foi difícil.
transfer	transferir	Eles transferem dados todas as noites.
transform	transformar	A nova política transformará os serviços.
transition	a transição	A transição levou vários meses.
trial	o julgamento	O julgamento começa na próxima semana.
tropical	tropical	Tempestades tropicais são comuns aqui.
truly	sinceramente	Eu sinceramente aprecio a sua ajuda.
trust	a confiança	A confiança leva tempo a construir.
tune	a melodia	A banda tocou uma melodia alegre.
tunnel	o túnel	O túnel passa debaixo do rio.
ultimately	no final	No final, o plano foi bem-sucedido.
unconscious	inconsciente	O paciente permaneceu inconsciente.
unexpected	inesperado	O atraso foi inesperado.
unique	único	Cada design é único.
universe	o universo	O universo está a expandir-se.
unknown	desconhecido	O nome permanece desconhecido.
upper	superior	A prateleira superior está vazia.
upwards	para cima	O fumo moveu-se para cima.
urban	urbano	As áreas urbanas precisam de melhores transportes.
urge	instar	Os médicos instam as pessoas a fazer exercício.
vary	variar	Os preços variam de acordo com a região.
vast	vasto	O deserto cobre uma área vasta.
venue	o local	O local tem capacidade para quinhentas pessoas.
via	por	Envie o documento por e-mail.
victory	a vitória	A equipa celebrou a sua vitória.
violence	a violência	A cidade sofreu violência política.
virtual	virtual	A reunião é virtual.
vision	a visão	A sua visão moldou a empresa.
visual	visual	O relatório inclui exemplos visuais.
vital	vital	A água é vital para a vida.
vitamin	a vitamina	As laranjas contêm vitamina C.
volume	o volume	Baixa o volume.
wage	o salário	Os trabalhadores exigiram um salário mais alto.
weakness	a fraqueza	O plano tem uma fraqueza.
wealth	a riqueza	A sua riqueza vinha do comércio.
wealthy	rico	A família rica financiou o museu.
whereas	enquanto que	Ela gosta de chá, enquanto que eu prefiro café.
wherever	onde quer que	Sente-se onde quer que se sinta confortável.
whisper	sussurrar	Por favor, sussurre durante a cerimónia.
whom	quem	Quem é que convidaste?
widely	amplamente	O livro é amplamente lido.
wildlife	a vida selvagem	O parque protege a vida selvagem local.
willing	disposto	Ela está disposta a ajudar.
wind2	enrolar	Enrole o cabo à volta da bobina.
wire	o fio	O fio liga os dois dispositivos.
wise	sensato	Essa foi uma escolha sensata.
witness	a testemunha	Uma testemunha descreveu o acidente.
wound	a ferida	Limpe a ferida com cuidado.
wrap	embrulhar	Embrulhe o presente em papel.
zone	a zona	Esta zona está fechada ao trânsito.
