source_headword	PT-BR	example_PT-BR
interference	a interferência	A interferência no sinal interrompeu a chamada.
interim	provisório	Um relatório provisório chega amanhã.
interior	interior	As paredes interiores precisam de pintura.
intermediate	intermediário	Ela entrou para a turma intermediária.
intervene	intervir	A polícia teve que intervir rapidamente.
intervention	a intervenção	A intervenção precoce ajudou o paciente.
intimate	íntimo	Eles realizaram uma cerimônia familiar íntima.
intriguing	intrigante	Os dados revelaram um padrão intrigante.
investigator	o investigador	O investigador interrogou cada testemunha.
invisible	invisível	O gás é invisível e perigoso.
invoke	invocar	O advogado tentou invocar o precedente.
involvement	o envolvimento	O envolvimento dele permaneceu obscuro.
ironic	irônico	O comentário irônico fez todos rirem.
ironically	ironicamente	Ironicamente, a rota demorou mais.
irony	a ironia	A ironia ficou óbvia para todos.
irrelevant	irrelevante	Esse detalhe é irrelevante aqui.
isolation	o isolamento	O isolamento pode prejudicar a saúde mental.
judicial	judicial	A revisão judicial começa na segunda-feira.
junction	o cruzamento	Vire à esquerda no cruzamento.
jurisdiction	a jurisdição	O tribunal tem jurisdição limitada.
just	justo	O juiz tomou uma decisão justa.
justification	a justificativa	Precisamos de uma justificativa clara para os gastos.
kidnap	sequestrar	Os criminosos tentaram sequestrar o diplomata.
kidney	o rim	A função renal dela melhorou.
kingdom	o reino	O reino se expandiu sob seu governo.
lad	o rapaz	O jovem rapaz carregou as malas.
landlord	o proprietário	O proprietário consertou o aquecimento.
landmark	o marco	A torre se tornou um marco da cidade.
lap	o colo	A criança sentou no colo dela.
large-scale	em grande escala	A cidade planejou reparos em grande escala.
laser	o laser	O laser mediu a distância.
latter	o último	Esta última opção parece mais segura.
lawn	o gramado	As crianças brincaram no gramado.
lawsuit	o processo	A empresa resolveu o processo.
layout	o layout	O layout da página parece mais claro.
leak	o vazamento	Um vazamento no cano inundou a cozinha.
leap	o salto	As vendas deram um salto repentino.
legacy	o legado	O legado dela moldou a universidade.
legendary	lendário	O lendário cantor voltou aos palcos.
legislation	a legislação	A nova legislação protege os inquilinos.
legislative	legislativo	O comitê legislativo se reuniu hoje.
legislature	a legislatura	A legislatura aprovou o orçamento.
legitimate	legítimo	Eles levantaram preocupações legítimas.
lengthy	longo	O longo debate atrasou a votação.
lesbian	lésbica	A ativista lésbica discursou no fórum.
lesser	menor	Escolha o menor risco.
lethal	letal	O produto químico pode ser letal.
liable	responsável	Os motoristas são responsáveis pelos danos.
liberal	liberal	Ele apoia políticas sociais liberais.
liberation	a libertação	A libertação mudou o futuro do país.
liberty	a liberdade	A lei protege a liberdade pessoal.
license	licenciar	O estado pode licenciar novas clínicas.
lifelong	para toda a vida	Ela fez amigos para toda a vida lá.
likelihood	a probabilidade	A probabilidade de chuva aumentou.
limb	o membro	O membro ferido sarou lentamente.
linear	linear	O gráfico mostra uma tendência linear.
line-up	a programação	A programação do festival inclui bandas locais.
linger	persistir	O cheiro pode persistir por horas.
listing	o anúncio	O anúncio do apartamento parecia preciso.
literacy	a alfabetização	Os programas de alfabetização de adultos foram expandidos.
liver	o fígado	O fígado filtra substâncias nocivas.
lobby	o saguão	O saguão estava lotado depois do meio-dia.
log	o registro	O sistema mantém um registro diário.
logic	a lógica	A lógica do argumento dele falhou.
long-standing	antigo	Eles resolveram uma disputa de longa data.
long-time	de longa data	Ela é uma voluntária de longa data.
loom	pairar	Nuvens escuras pairam sobre o vale.
loop	o círculo	A trilha forma um círculo.
loyalty	a lealdade	A lealdade dele impressionou a equipe.
machinery	o maquinário	A fábrica instalou um maquinário novo.
magical	mágico	O jardim parecia mágico à noite.
magistrate	o magistrado	O magistrado ouviu o caso.
magnetic	magnético	O campo magnético afetou a bússola.
magnitude	a magnitude	A magnitude dos danos estava clara.
mainland	o continente	A balsa conecta as ilhas ao continente.
mainstream	a corrente principal	A ideia entrou na política convencional.
maintenance	a manutenção	A manutenção regular evita falhas.
mandate	o mandato	O presidente reivindicou um forte mandato.
mandatory	obrigatório	O comparecimento é obrigatório para os estagiários.
manifest	manifestar-se	Os sintomas podem se manifestar após semanas.
manipulate	manipular	Não manipule os resultados da pesquisa.
manipulation	a manipulação	A manipulação de dados foi descoberta.
manuscript	o manuscrito	O editor aceitou o manuscrito dela.
march	a marcha	Os manifestantes marcharão para o centro da cidade.
marginal	marginal	A mudança teve benefícios marginais.
marine	marinho	A vida marinha precisa de água limpa.
marketplace	o mercado	O mercado online expandiu rapidamente.
mask	a máscara	Os trabalhadores devem usar uma máscara.
massacre	o massacre	O massacre chocou toda a região.
mathematical	matemático	O modelo matemático previu a demanda.
mature	maduro	As árvores maduras fornecem sombra.
maximize	maximizar	A atualização maximizará a vida útil da bateria.
meaningful	significativo	Eles tiveram uma conversa significativa.
meantime	o meio-tempo	Nesse meio-tempo, espere lá fora.
medieval	medieval	O castelo tem muralhas medievais.
meditation	a meditação	A meditação diária acalma a mente dela.
melody	a melodia	A melodia ficou na minha cabeça.
memo	o memorando	O memorando explicou a política.
memoir	o livro de memórias	O livro de memórias dela descreve o exílio na infância.
memorial	o memorial	O memorial homenageia os soldados locais.
mentor	o mentor	O mentor dela revisou a proposta.
merchant	o comerciante	O comerciante vendia seda e especiarias.
mercy	a misericórdia	O juiz mostrou clemência.
mere	mero	Um mero olhar revelou o erro.
merely	meramente	Ela apenas repetiu as instruções.
merge	fundir-se	As duas empresas se fundirão.
merger	a fusão	A fusão criou um banco maior.
merit	o mérito	A proposta tem mérito claro.
methodology	a metodologia	O estudo explica sua metodologia.
midst	o meio	Eles trabalharam no meio do caos.
migration	a migração	A migração sazonal afeta os empregos locais.
militant	o militante	O grupo militante rejeitou as negociações.
militia	a milícia	A milícia controlava a estrada.
mill	o moinho	O velho moinho virou um museu.
minimal	mínimo	O plano requer esforço mínimo.
minimize	minimizar	Devemos minimizar o risco desnecessário.
mining	a mineração	A mineração danificou o vale do rio.
ministry	o ministério	O ministério anunciou novas regras.
minute2	minúsculo	Uma rachadura minúscula apareceu no vidro.
miracle	o milagre	A recuperação dele pareceu um milagre.
misery	a miséria	Os refugiados suportaram anos de miséria.
misleading	enganoso	O gráfico enganoso confundiu os leitores.
missile	o míssil	O teste do míssil aumentou as tensões.
mob	a multidão	A multidão furiosa bloqueou o trânsito.
mobility	a mobilidade	Ônibus melhores melhoram a mobilidade urbana.
mobilize	mobilizar	Os líderes mobilizam voluntários rapidamente.
moderate	moderado	O candidato tem opiniões moderadas.
modification	a modificação	O design precisa de uma modificação.
momentum	o ímpeto	A campanha ganhou ímpeto rapidamente.
monk	o monge	O monge vivia em silêncio.
monopoly	o monopólio	A empresa detinha um monopólio.
morality	a moralidade	O curso examina a moralidade pública.
motive	o motivo	A polícia questionou o motivo dele.
motorist	o motorista	O motorista parou no sinal vermelho.
municipal	municipal	Os serviços municipais melhoraram este ano.
mutual	mútuo	Eles chegaram a um acordo mútuo.
namely	a saber	Resta um problema, a saber, o financiamento.
nationwide	nacional	A greve causou atrasos em nível nacional.
naval	naval	A base naval fechou no ano passado.
neglect	negligenciar	Não negligencie a segurança básica.
neighbouring	vizinho	As cidades vizinhas dividiam o hospital.
nest	o ninho	O pássaro construiu um ninho.
net	líquido	O lucro líquido subiu acentuadamente.
newsletter	o boletim informativo	O boletim informativo chega toda sexta-feira.
niche	o nicho	A empresa encontrou um nicho lucrativo.
noble	nobre	O gesto nobre dela impressionou a todos.
nod	acenar com a cabeça	Por favor, acene com a cabeça se você entender.
nominate	nomear	Eles indicarão um novo presidente.
nomination	a nomeação	A nomeação dela surpreendeu o comitê.
nominee	o indicado	O indicado respondeu a perguntas difíceis.
nonetheless	no entanto	No entanto, o plano avançou.
non-profit	sem fins lucrativos	Ela trabalha para uma clínica sem fins lucrativos.
nonsense	o absurdo	Esse boato é um completo absurdo.
noon	o meio-dia	A reunião começa ao meio-dia.
notable	notável	O relatório fez um progresso notável.
notably	notavelmente	Notavelmente, os custos caíram em maio.
notify	notificar	Por favor, notifique a equipe antes de sair.
notorious	notório	A estrada é notória por acidentes.
novel	inédito	Eles propuseram uma solução inédita.
nursery	o berçário	O berçário cuida de bebês.
objection	a objeção	O advogado levantou uma objeção.
oblige	obrigar	As regras obrigam os motoristas a parar.
obsess	ficar obcecado	Não fique obcecado com pequenos erros.
obsession	a obsessão	Sua obsessão prejudicou seu trabalho.
occasional	ocasional	Atrasos ocasionais são esperados.
occurrence	a ocorrência	Tal ocorrência é rara.
odds	as probabilidades	As chances de sucesso melhoraram.
offering	a oferta	A universidade expandiu sua oferta.
offspring	o filhote	A raposa protegeu seu filhote.
operational	operacional	O novo sistema está operacional.
opt	optar	Muitos alunos optam por aulas online.
optical	óptico	A lente óptica precisa de limpeza.
optimism	o otimismo	O otimismo retornou após o anúncio.
oral	oral	O exame oral começa amanhã.
organizational	organizacional	As mudanças organizacionais começaram imediatamente.
orientation	a orientação	O workshop abordou a orientação de funcionários.
originate	originar	Muitas tradições se originam em vilas rurais.
outbreak	o surto	O surto se espalhou pela cidade.
outing	o passeio	A turma aproveitou um passeio ao museu.
outlet	a loja de fábrica	A loja de fábrica vende roupas com desconto.
outlook	a perspectiva	A perspectiva econômica continua incerta.
outrage	a indignação	A decisão causou indignação pública.
outsider	a pessoa de fora	Como uma pessoa de fora, ela notou problemas.
overlook	negligenciar	Não deixe passar detalhes menores.
overly	excessivamente	As instruções eram excessivamente complexas.
oversee	supervisionar	Ela supervisionará o projeto.
overturn	anular	O tribunal pode anular a decisão.
overwhelm	sobrecarregar	Muita informação pode sobrecarregar os alunos.
overwhelming	esmagador	A evidência era esmagadora.
pad	o protetor	Use o protetor para proteger os joelhos.
parameter	o parâmetro	Ajuste um parâmetro de cada vez.
parental	parental	O apoio parental melhorou a frequência.
parish	a paróquia	A paróquia organizou um jantar de caridade.
parliamentary	parlamentar	O debate parlamentar durou horas.
partial	parcial	O relatório deu uma resposta parcial.
partially	parcialmente	A janela estava parcialmente aberta.
passing	o falecimento	O falecimento dela foi repentino.
passive	passivo	Investidores passivos aceitaram retornos constantes.
pastor	o pastor	O pastor visitou a família.
patch	o remendo	A jaqueta precisa de um pequeno remendo.
patent	a patente	A empresa registrou uma patente.
pathway	o caminho	O caminho leva à certificação.
patrol	patrulhar	A polícia patrulha a área à noite.
patron	o patrono	O museu agradeceu ao seu patrono.
peak	o pico	A demanda atingiu um pico de inverno.
peasant	o camponês	O camponês possuía pouca terra.
peculiar	peculiar	A sala tinha um cheiro peculiar.
persist	persistir	Os sintomas podem persistir por dias.
persistent	persistente	Uma tosse persistente precisa de atenção.
personnel	os funcionários	Os registros de pessoal são confidenciais.
petition	a petição	A petição reuniu milhares de assinaturas.
philosopher	o filósofo	O filósofo questionou suposições comuns.
philosophical	filosófico	A discussão tornou-se filosófica.
physician	o médico	O médico pediu exames de sangue.
pioneer	o pioneiro	Ela se tornou uma pioneira na medicina.
pipeline	o gasoduto	O gasoduto transporta gás no subsolo.
pirate	o pirata	O navio pirata apareceu no mar.
pit	o buraco	Os trabalhadores cavaram um buraco fundo.
plea	o apelo	Seu apelo por ajuda foi ignorado.
plead	alegar	O suspeito vai se declarar culpado.
pledge	prometer	Eles prometem apoio às reformas.
plug	ligar	Ligue o cabo na tomada.
plunge	despencar	Os preços podem despencar após o escândalo.
pole	o mastro	A bandeira pendia de um mastro.
poll	a pesquisa	A pesquisa mostrou a mudança de opiniões.
pond	o lago	Os patos cruzaram o lago congelado.
pop	estourar	Balões estouram perto de objetos pontiagudos.
portfolio	o portfólio	Seu portfólio inclui várias startups.
portray	retratar	O filme vai retratar a vida rural.
postpone	adiar	Eles decidiram adiar a audiência.
post-war	do pós-guerra	Habitações do pós-guerra eram urgentemente necessárias.
practitioner	o profissional	O profissional explicou o tratamento.
preach	pregar	O ministro vai pregar no domingo.
precedent	o precedente	A decisão abriu um importante precedente.
precision	a precisão	A máquina corta com precisão.
predator	o predador	O predador esperou perto do rio.
predecessor	o antecessor	O antecessor dela deixou notas detalhadas.
predominantly	predominantemente	A área é predominantemente residencial.
pregnancy	a gravidez	A gravidez requer assistência médica regular.
prejudice	o preconceito	A campanha desafiou o preconceito racial.
preliminary	preliminar	Os resultados preliminares parecem promissores.
premier	o primeiro-ministro	O primeiro-ministro discursou no parlamento hoje.
premise	a premissa	O argumento baseia-se numa premissa falsa.
premium	a taxa extra	Os clientes pagaram uma taxa extra pela velocidade.
prescribe	prescrever	Os médicos prescrevem antibióticos com cuidado.
prescription	a receita médica	A receita médica expira no mês que vem.
presently	no momento	Ela está indisponível no momento.
preservation	a preservação	A preservação protege edifícios históricos.
preside	presidir	O juiz vai presidir o julgamento.
presidency	a presidência	A presidência dele durou oito anos.
presidential	presidencial	A eleição presidencial chamou a atenção.
prestigious	prestigiado	Ela ganhou uma bolsa de estudos prestigiada.
presumably	presumivelmente	O escritório está presumivelmente fechado hoje.
presume	presumir	Presumimos que os documentos são genuínos.
prevail	prevalecer	O bom senso deve prevalecer.
prevalence	a prevalência	A prevalência de asma aumentou.
prevention	a prevenção	A prevenção é mais barata que o reparo.
