source_headword	PT-BR	example_PT-BR
racing	a corrida	Corrida de cavalos é popular lá.
range	a variedade	A loja vende uma ampla variedade.
rare	raro	Esta ave é rara.
rarely	raramente	Raramente comemos fora.
reaction	a reação	A reação dela me surpreendeu.
reality	a realidade	A realidade era diferente do sonho dele.
receipt	o recibo	Guarde o recibo.
recommendation	a recomendação	Obrigado pela recomendação.
reference	a referência	Adicione uma referência no final.
reflect	refletir	O espelho pode refletir luz.
regularly	regularmente	Ela se exercita regularmente.
reject	rejeitar	Eles podem rejeitar a oferta.
relate	identificar-se	Consigo me identificar com essa história.
related	relacionado	Os dois problemas estão relacionados.
relation	a relação	Há uma relação entre eles.
relative	relativo	A velocidade é relativa.
relaxed	relaxado	Ele se sentiu relaxado depois do jantar.
relaxing	relaxante	A música era relaxante.
release	lançar	Eles vão lançar o filme em breve.
reliable	confiável	Este ônibus costuma ser confiável.
religion	a religião	A religião é importante para ela.
religious	religioso	Eles visitaram um prédio religioso.
remain	permanecer	Por favor, permaneça calmo.
remind	lembrar	Lembre-me amanhã.
remote	remoto	Eles moram em uma vila remota.
rent	o aluguel	O aluguel vence hoje.
repeated	repetido	Erros repetidos atrasaram o trabalho.
represent	representar	A estrela representa esperança.
require	exigir	Este trabalho exigirá treinamento.
reservation	a reserva	Fiz uma reserva.
resource	o recurso	A biblioteca é um recurso útil.
respect	o respeito	Respeite seus colegas de classe.
responsibility	a responsabilidade	Cuidar de crianças é uma grande responsabilidade.
responsible	responsável	Ela é responsável pelos ingressos.
retire	aposentar-se	Meu pai vai se aposentar em breve.
retired	aposentado	Ele é um professor aposentado.
revise	revisar	Revise sua redação esta noite.
risk	o risco	Há risco de chuva.
robot	o robô	O robô limpou o chão.
roll	rolar	Role a bola para mim.
romantic	romântico	Eles tiveram um jantar romântico.
rope	a corda	Amarre a corda com força.
rough	irregular	A estrada era irregular.
row1	a fileira	Sente-se na fileira da frente.
royal	real	A família real chegou.
rugby	o rúgbi	Vimos rúgbi na televisão.
safety	a segurança	A segurança é importante no trabalho.
sailor	o marinheiro	O marinheiro consertou o barco.
sample	a amostra	A enfermeira tirou uma amostra de sangue.
sand	a areia	A areia cobriu meus sapatos.
scan	digitalizar	Digitalize o documento primeiro.
scientific	científico	Este é um método científico.
script	o roteiro	O ator leu o roteiro.
sculpture	a escultura	A escultura fica do lado de fora.
secondary	secundário	Este é um problema secundário.
security	a segurança	A segurança verificou nossas bolsas.
seed	a semente	Plante a semente no solo.
sensible	sensato	Essa é uma ideia sensata.
seriously	a sério	Leve este problema a sério.
servant	o empregado	O empregado abriu a porta.
set (put)	colocar	Coloque o copo sobre a mesa.
set (group)	o conjunto	Este conjunto inclui seis xícaras.
setting	o cenário	A história tem um cenário urbano.
sex	o sexo	O formulário pede idade e sexo.
sexual	sexual	A aula discutiu saúde sexual.
sharp	afiado	Esta faca está afiada.
shelf	a prateleira	Coloque o livro na prateleira.
shell	a concha	A concha estava vazia.
shift	o turno	Meu turno começa às oito.
shine	brilhar	As estrelas brilham à noite.
shiny	brilhante	Os sapatos dela são brilhantes.
shoot	fotografar	O fotógrafo vai fotografar a cena.
shy	tímido	Ele é tímido com estranhos.
sight	a vista	A montanha era uma vista bonita.
signal	o sinal	O sinal estava fraco.
silent	silencioso	A sala ficou silenciosa.
silly	bobo	Foi um erro bobo.
similarity	a semelhança	Há uma semelhança clara.
similarly	de forma semelhante	O segundo plano funciona de forma semelhante.
simply	simplesmente	Simplesmente pressione este botão.
sink	afundar	Pedras pesadas afundam rapidamente.
slice	a fatia	Comi uma fatia de bolo.
slightly	um pouco	A sala está um pouco mais quente.
smart	elegante	Ela usava um casaco elegante.
smooth	liso	A estrada é lisa.
software	o software	O software precisa de uma atualização.
soil	o solo	O solo está seco.
solid	sólido	A parede é sólida.
southern	do sul	Eles moram na costa sul.
specifically	especificamente	Pedi especificamente chá.
spending	o gasto	Os gastos do governo aumentaram.
spicy	apimentado	Este curry é apimentado.
spirit	o espírito	A equipe mostrou grande espírito.
spoken	falado	O inglês falado melhora com a prática.
spot	o lugar	Este lugar é perfeito.
spread	passar	Passe manteiga no pão.
stadium	o estádio	O estádio estava cheio.
staff	a equipe	A equipe foi prestativa.
standard	o padrão	O padrão era alto.
statistic	a estatística	Esta estatística é surpreendente.
statue	o monumento	O monumento fica na praça.
stick (push into/attach)	colar	Cole a etiqueta na caixa.
stick (piece of wood)	o graveto	Ele pegou um graveto.
