hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
5066:新能源	新能源	新能源	ახალი ენერგია	ახალი ენერგიის ინდუსტრია სწრაფად ვითარდება.	նոր էներգիա	Նոր էներգիայի արդյունաբերությունը արագ զարգանում է։
5069:新兴	新兴	新兴	ახალი აღმოცენებული; მზარდი	მზარდმა დარგებმა ბევრი ახალგაზრდა მიიზიდა.	նորաստեղծ; զարգացող	Զարգացող ոլորտները շատ երիտասարդների են գրավել։
5071:心愿	心愿	心愿	გულითადი სურვილი; ნატვრა	მან ბოლოს და ბოლოს მრავალწლიანი ნატვრა აისრულა.	սրտի ցանկություն; երազանք	Նա վերջապես իրականացրեց իր տարիների երազանքը։
5075:兴起	兴起	兴起	აღმოცენება; გავრცელება	ონლაინ სწავლება ბევრ რეგიონში გავრცელდა.	առաջանալ; տարածվել	Առցանց ուսուցումը տարածվել է շատ շրջաններում։
5076:型号	型号	型号	მოდელი; ტიპის ნომერი	გთხოვ, კომპიუტერის მოდელი ფორმაში ჩაწერო.	մոդել; տեսակի համար	Խնդրում եմ, համակարգչի մոդելը գրիր ձևաթղթում։
5078:性价比	性价比	性价比	ფასი-ხარისხის თანაფარდობა	ამ სასტუმროს ფასი-ხარისხის თანაფარდობა ძალიან კარგია.	գին-որակ հարաբերակցություն	Այս հյուրանոցի գին-որակ հարաբերակցությունը շատ բարձր է։
5081:修订	修订	修订	გადასინჯვა; შესწორება	რედაქტორი ამ სახელმძღვანელოს ასწორებს.	վերանայել; խմբագրել	Խմբագիրը վերանայում է այս դասագիրքը։
5083:袖子	袖子	袖子	სახელო	ამ ქურთუკის სახელოები ცოტა გრძელია.	թևք	Այս վերարկուի թևքերը մի քիչ երկար են։
5088:选修	选修	选修	არჩევით საგნად აღება	მომდევნო სემესტრში ფსიქოლოგიის არჩევით აღება მინდა.	ընտրովի առարկա վերցնել	Հաջորդ կիսամյակում ուզում եմ հոգեբանությունը ընտրովի առարկա վերցնել։
5089:学会	学会	学会	ასოციაცია; სამეცნიერო საზოგადოება	ის ადგილობრივ ენათმეცნიერების საზოგადოებაში გაწევრიანდა.	ընկերություն; գիտական միություն	Նա միացավ տեղական լեզվաբանական ընկերությանը։
5092:学员	学员	学员	მსმენელი; კურსანტი	სასწავლო ჯგუფში ოცი მსმენელია.	դասընթացի մասնակից; ուսանող	Վերապատրաստման խմբում քսան մասնակից կա։
5093:血管	血管	血管	სისხლძარღვი	ექიმმა თქვა, რომ ამ სისხლძარღვს დამატებითი შემოწმება სჭირდება.	արյունատար անոթ	Բժիշկն ասաց, որ այս արյունատար անոթը լրացուցիչ հետազոտության կարիք ունի։
5094:血型	血型	血型	სისხლის ჯგუფი	რეგისტრაციისას საკუთარი სისხლის ჯგუფის ჩაწერა საჭიროა.	արյան խումբ	Գրանցվելիս պետք է լրացնել ձեր արյան խումբը։
5096:血液	血液	血液	სისხლი	ვარჯიში სისხლის მიმოქცევას აუმჯობესებს.	արյուն	Մարզանքը կարող է նպաստել արյան շրջանառությանը։
5098:寻求	寻求	寻求	ძიება; მოძიება	ისინი უკეთეს გადაწყვეტას ეძებენ.	փնտրել; որոնել	Նրանք ավելի լավ լուծում են փնտրում։
5101:淹	淹	淹	დატბორვა; წყალში ჩაძირვა	ძლიერმა წვიმამ დაბალ ადგილას გზა დატბორა.	հեղեղել; ջրի տակ առնել	Հորդ անձրևը ցածրադիր ճանապարհը ջրի տակ առավ։
5103:严	严	严	მკაცრი; მძიმე	სკოლა გამოცდის დისციპლინის მიმართ ძალიან მკაცრია.	խիստ; ծանր	Դպրոցը քննության կարգապահության նկատմամբ շատ խիստ է։
5111:研讨	研讨	研讨	განხილვა და შესწავლა	ექსპერტები ახალ სამკურნალო გეგმას განიხილავენ.	քննարկել և ուսումնասիրել	Մասնագետները քննարկում և ուսումնասիրում են բուժման նոր ծրագիրը։
5113:言语	言语	言语	სიტყვები; მეტყველება	მისი სიტყვები ძალიან გულწრფელი იყო.	խոսք; բառեր	Նրա խոսքերը շատ անկեղծ էին։
5114:炎症	炎症	炎症	ანთება	ამ წამალს ანთების შემცირება შეუძლია.	բորբոքում	Այս դեղը կարող է նվազեցնել բորբոքումը։
5116:眼看	眼看	眼看	მალე; თვალწინ	უკვე მალე დაბნელდება, ამიტომ უნდა დავბრუნდეთ.	շուտով; աչքի առաջ	Շուտով կմթնի, ուստի պետք է վերադառնանք։
5120:仰	仰	仰	ზემოთ ყურება; თავის აწევა	ბავშვმა თავი ასწია და ვარსკვლავებს შეხედა.	վեր նայել; գլուխը վեր պահել	Երեխան գլուխը բարձրացրեց և նայեց աստղերին։
5122:养老	养老	养老	სიბერის უზრუნველყოფა; მოხუცებულობაში ცხოვრება	ისინი პენსიის შემდეგ ცხოვრებას გეგმავენ.	ծերության ապահովում; տարեցների խնամք	Նրանք պլանավորում են թոշակից հետո իրենց ծերության կյանքը։
5123:养老院	养老院	养老院	მოხუცთა თავშესაფარი	ეს მოხუცთა თავშესაფარი საავადმყოფოსთან ძალიან ახლოსაა.	տարեցների տուն; ծերանոց	Այս ծերանոցը հիվանդանոցին շատ մոտ է։
5125:样	样	样	სახეობა; ნივთი	მან სამი სახეობის ნამცხვარი იყიდა.	տեսակ; իր	Նա երեք տեսակի քաղցրավենիք գնեց։
5128:要么	要么	要么	ან; ანდა	ან ახლა წადი, ან ხვალამდე დაელოდე.	կա՛մ; կամ	Կա՛մ հիմա գնա, կա՛մ սպասիր մինչև վաղը։
5130:野	野	野	ველური; დაუმუშავებელი	ამ მთებში ბევრი ველური ყვავილია.	վայրի; չմշակված	Այս լեռներում շատ վայրի ծաղիկներ կան։
5131:也好	也好	也好	იქნება თუ არა; მაინც	წახვალ თუ არ წახვალ, მაინც უნდა მითხრა.	լինի թե ոչ; միևնույն է	Գնաս թե չգնաս, միևնույն է պետք է ինձ ասես։
5132:野生	野生	野生	ველური; ბუნებაში მზარდი	აქ ველური ცხოველების დაჭერა აკრძალულია.	վայրի; բնության մեջ աճող	Այստեղ արգելված է վայրի կենդանիներ բռնել։
5133:野外	野外	野外	ღია ცის ქვეშ; ველზე	სტუდენტები ველზე მცენარეებს აკვირდებოდნენ.	դաշտում; բացօթյա	Ուսանողները դաշտում բույսեր էին դիտարկում։
5134:业	业	业	დარგი; პროფესია; სუფიქსი	მომსახურების დარგს მეტი პროფესიონალი სჭირდება.	ոլորտ; մասնագիտություն; վերջածանց	Ծառայությունների ոլորտին ավելի շատ մասնագետներ են պետք։
5139:衣食住行	衣食住行	衣食住行	ცხოვრების ძირითადი საჭიროებები	ეს ანგარიში ქალაქის მცხოვრებთა ძირითად საჭიროებებს აანალიზებს.	կյանքի հիմնական կարիքներ	Այս զեկույցը վերլուծում է քաղաքի բնակիչների կյանքի հիմնական կարիքները։
5140:医药	医药	医药	მედიცინა; ფარმაცევტიკა	ბოლო წლებში სამედიცინო და ფარმაცევტული ხარჯები გაიზარდა.	բժշկություն; դեղագործություն	Վերջին տարիներին բժշկական և դեղագործական ծախսերը որոշ չափով աճել են։
5141:一一	一一	一一	სათითაოდ; ერთიმეორის მიყოლებით	მასწავლებელმა კითხვები სათითაოდ ნათლად ახსნა.	մեկ առ մեկ; հերթով	Ուսուցիչը հարցերը մեկ առ մեկ պարզ բացատրեց։
5142:姨	姨	姨	დეიდა; დედის და	ჩემი დეიდა დღეს ჩვენთან სადილად მოდის.	մորաքույր	Մորաքույրս այսօր մեր տուն է գալիս ընթրիքի։
5146:一带	一带	一带	მიდამო; რაიონი	სკოლის მიდამოში ბევრი წიგნის მაღაზიაა.	շրջակայք; տարածք	Դպրոցի շրջակայքում շատ գրախանութներ կան։
5147:一道	一道	一道	ერთად; ერთდროულად	მოდი, გამოფენის სანახავად ერთად წავიდეთ.	միասին; միաժամանակ	Եկ միասին գնանք ցուցահանդեսը տեսնելու։
5155:一系列	一系列	一系列	სერია; რიგი	კომპანიამ ახალი პროდუქტების სერია გამოუშვა.	շարք; սերիա	Ընկերությունը թողարկեց նոր ապրանքների շարք։
5157:一阵	一阵	一阵	უეცარი წამოქროლება; მცირე ხანი	ფანჯრის გარედან გრილი ნიავის წამოქროლება შემოვიდა.	մի պոռթկում; մի պահ	Պատուհանից ներս սառը քամու մի պոռթկում փչեց։
5158:遗址	遗址	遗址	ნანგრევები; ისტორიული ადგილი	ამ უძველესი ქალაქის ნანგრევებმა ბევრი ტურისტი მიიზიდა.	ավերակներ; պատմական վայր	Այս հին քաղաքի ավերակները շատ զբոսաշրջիկների են գրավել։
5163:益处	益处	益处	სარგებელი; უპირატესობა	ყოველდღიურ ვარჯიშს ჯანმრთელობისთვის ბევრი სარგებელი აქვს.	օգուտ; առավելություն	Ամենօրյա մարզանքը առողջության համար շատ օգուտներ ունի։
5164:一帆风顺	一帆风顺	一帆风顺	წარმატებული; შეუფერხებელი	გისურვებ, ახალ სამსახურში ყველაფერი წარმატებით წარიმართოს.	հաջող; անխափան ընթացք	Մաղթում եմ, որ նոր աշխատանքդ հաջող ընթանա։
5165:一口气	一口气	一口气	ერთ ამოსუნთქვაში; შეუსვენებლად	მან შეუსვენებლად მთის მწვერვალამდე ირბინა.	մի շնչով; առանց կանգ առնելու	Նա առանց կանգ առնելու վազեց մինչև լեռան գագաթը։
5167:一模一样	一模一样	一模一样	სრულიად ერთნაირი	ეს ორი ფოტო სრულიად ერთნაირად გამოიყურება.	ճիշտ նույնը	Այս երկու լուսանկարները ճիշտ նույնն են թվում։
5168:艺人	艺人	艺人	არტისტი; შემსრულებელი	ეს არტისტი სცენაზე ძალიან თავდაჯერებულია.	արտիստ; կատարող	Այս արտիստը բեմում շատ ինքնավստահ է։
5169:一身	一身	一身	მთელი სხეული; სრული სამოსი	მას მთლიანად შავი კოსტიუმი ეცვა.	ամբողջ մարմին; ամբողջ հագուստ	Նա ամբողջովին սև կոստյում էր հագել։
5170:一时	一时	一时	ცოტა ხნით; იმ მომენტში	იმ მომენტში მისი სახელი ვერ გავიხსენე.	մի պահ; այդ պահին	Այդ պահին չկարողացա հիշել նրա անունը։
5171:一同	一同	一同	ერთად	ჩვენ ეს პროექტი ერთად დავასრულეთ.	միասին	Մենք այս նախագիծը միասին ավարտեցինք։
5172:易于	易于	易于	ადვილად; მარტივად	ამ პროგრამის გამოყენება მარტივია.	հեշտ; հեշտ է անել	Այս ծրագիրը հեշտ է օգտագործել։
5173:抑制	抑制	抑制	შეკავება; დათრგუნვა	ამ წამალს ტკივილის დათრგუნვა შეუძლია.	զսպել; ճնշել	Այս դեղը կարող է ճնշել ցավը։
5174:因	因	因	გამო; მიზეზით	შეხვედრა ძლიერი წვიმის გამო გადაიდო.	պատճառով; հետևանքով	Ժողովը հորդ անձրևի պատճառով հետաձգվեց։
5175:音节	音节	音节	მარცვალი	ამ სიტყვას სამი მარცვალი აქვს.	վանկ	Այս բառը երեք վանկ ունի։
5177:银牌	银牌	银牌	ვერცხლის მედალი	მან შეჯიბრში ვერცხლის მედალი მოიპოვა.	արծաթե մեդալ	Նա մրցույթում արծաթե մեդալ շահեց։
5178:引	引	引	ციტატად მოყვანა; წარმართვა	მასწავლებელმა აზრის ასახსნელად ძველი ლექსი ციტატად მოიყვანა.	մեջբերել; առաջնորդել	Ուսուցիչը մի հին բանաստեղծություն մեջբերեց միտքը բացատրելու համար։
5179:隐藏	隐藏	隐藏	დამალვა	ფაილი სისტემურ საქაღალდეში იყო დამალული.	թաքցնել; թաքնված պահել	Ֆայլը թաքցված էր համակարգային պանակում։
5181:引发	引发	引发	გამოწვევა; პროვოცირება	ამ ამბავმა ცხარე განხილვა გამოიწვია.	առաջացնել; պատճառ դառնալ	Այս լուրը բուռն քննարկում առաջացրեց։
5182:引入	引入	引入	შემოტანა; დანერგვა	სკოლა სწავლების ახალი მეთოდის დანერგვას გეგმავს.	ներմուծել; բերել	Դպրոցը պլանավորում է ուսուցման նոր մեթոդ ներմուծել։
5184:饮用水	饮用水	饮用水	სასმელი წყალი	აქაური სასმელი წყალი მკაცრ შემოწმებას გადის.	խմելու ջուր	Այստեղի խմելու ջուրը խիստ ստուգում է անցել։
5185:印	印	印	დაბეჭდვა; ბეჭდის დასმა	გთხოვ, აქ კომპანიის ლოგო დაბეჭდო.	տպել; կնիք դնել	Խնդրում եմ, այստեղ տպիր ընկերության նշանը։
5192:用餐	用餐	用餐	კვება; ჭამა	სტუმრები რესტორანში სადილობენ.	ճաշել; ուտել	Հյուրերը ռեստորանում ճաշում են։
5193:用处	用处	用处	გამოყენება; სარგებელი	ამ პატარა დანას ბევრი გამოყენება აქვს.	օգտակարություն; գործածություն	Այս փոքրիկ դանակը շատ օգտակարություններ ունի։
5195:用人	用人	用人	ადამიანების დაქირავება	ეს კომპანია თანამშრომლების დაქირავებისას ძალიან ფრთხილია.	մարդկանց աշխատանքի վերցնել	Այս ընկերությունը մարդկանց աշխատանքի վերցնելիս շատ զգույշ է։
5196:用心	用心	用心	გულდასმით; ყურადღებით	ამ საჩუქარში დიდი ყურადღებაა ჩადებული.	ուշադիր; հոգատարությամբ	Այս նվերի մեջ մեծ հոգատարություն է երևում։
5197:优化	优化	优化	ოპტიმიზაცია; გაუმჯობესება	ინჟინერი სისტემის სიჩქარეს აუმჯობესებს.	օպտիմալացնել; բարելավել	Ինժեները օպտիմալացնում է համակարգի արագությունը։
5200:由来	由来	由来	წარმოშობა; მიზეზი	ამ ჩვეულების წარმოშობა ძალიან საინტერესოა.	ծագում; պատճառ	Այս սովորույթի ծագումը շատ հետաքրքիր է։
5201:游人	游人	游人	ტურისტი; დამთვალიერებელი	გაზაფხულზე პარკში დამთვალიერებელი განსაკუთრებით ბევრია.	զբոսաշրջիկ; այցելու	Գարնանը այգում այցելուները հատկապես շատ են։
5203:有机	有机	有机	ორგანული	ეს ფერმა მხოლოდ ორგანულ ბოსტნეულს ყიდის.	օրգանական	Այս ֆերման միայն օրգանական բանջարեղեն է վաճառում։
5204:有劲	有劲	有劲	ენერგიული; საინტერესო	ეს ფილმი ყურებისას სულ უფრო საინტერესო ხდება.	էներգիայով լի; հետաքրքիր	Այս ֆիլմը որքան դիտում ես, այնքան ավելի հետաքրքիր է դառնում։
5205:有序	有序	有序	მოწესრიგებული	მაყურებლები დარბაზში მოწესრიგებულად შევიდნენ.	կարգավորված; կարգով	Հանդիսատեսը սրահ մտավ կարգով։
5206:于	于	于	-ში; დროს; -ზე	შეხვედრა დილის ცხრა საათზე დაიწყება.	-ում; ժամանակ; -ին	Ժողովը կսկսվի առավոտյան ժամը իննին։
5207:余额	余额	余额	ნაშთი; ბალანსი	გთხოვ, ჯერ საბანკო ბარათის ბალანსი შეამოწმო.	մնացորդ; բալանս	Խնդրում եմ, նախ ստուգիր բանկային քարտի բալանսը։
5210:预定	预定	预定	დაჯავშნა; წინასწარ შეთანხმება	მე ხვალ საღამოსთვის ადგილები უკვე დავჯავშნე.	ամրագրել; նախապես որոշել	Ես վաղվա երեկոյի տեղերն արդեն ամրագրել եմ։
5213:浴室	浴室	浴室	აბაზანა	აბაზანის იატაკი ცოტა სრიალაა.	լոգասենյակ	Լոգասենյակի հատակը մի քիչ սայթաքուն է։
5215:原本	原本	原本	თავდაპირველად; თავიდან	თავდაპირველად შაბათ-კვირას პეკინში წასვლას ვგეგმავდი.	սկզբում; ի սկզբանե	Ես սկզբում պլանավորել էի շաբաթավերջին Պեկին գնալ։
5216:原材料	原材料	原材料	ნედლეული	ქარხანას ნედლეულის სტაბილური მიწოდება სჭირდება.	հումք	Գործարանին հումքի կայուն մատակարարում է պետք։
5224:元宵	元宵	元宵	იუანსიაო; ფარნების ფესტივალის ტკბილი ბრინჯის ბურთულა	ფარნების ფესტივალის დღეს ჩვენ იუანსიაო ვჭამეთ.	յուանսյաո; Ֆանարների տոնի քաղցր բրնձագնդիկ	Ֆանարների տոնի օրը մենք յուանսյաո կերանք։
5225:源于	源于	源于	მომდინარეობა; წარმოშობა	ეს ტრადიცია უძველესი დღესასწაულიდან მომდინარეობს.	ծագել; սկիզբ առնել	Այս ավանդույթը ծագել է հին տոնից։
5226:远程	远程	远程	დისტანციური; შორ მანძილზე	კომპანიამ დისტანციური გასაუბრება დანიშნა.	հեռավար; հեռավոր	Ընկերությունը հեռավար հարցազրույց կազմակերպեց։
5227:远方	远方	远方	შორეული ადგილი	მას ხშირად ახსენდება შორს მყოფი ოჯახი.	հեռավոր վայր	Նա հաճախ հիշում է հեռավոր վայրում գտնվող ընտանիքին։
5229:月光	月光	月光	მთვარის შუქი	მთვარის შუქი მშვიდ ტბაზე დაეცა.	լուսնի լույս	Լուսնի լույսը ընկավ հանգիստ լճի վրա։
5231:月球	月球	月球	მთვარე	მეცნიერები მთვარის ზედაპირს იკვლევენ.	Լուսին; լուսնագունդ	Գիտնականները ուսումնասիրում են Լուսնի մակերեսը։
5232:乐曲	乐曲	乐曲	მუსიკალური ნაწარმოები	ეს მუსიკალური ნაწარმოები ძალიან ლამაზად ჟღერს.	երաժշտական ստեղծագործություն	Այս երաժշտական ստեղծագործությունը շատ գեղեցիկ է հնչում։
5234:晕车	晕车	晕车	მგზავრობისას გულისრევა	გრძელ ავტობუსის მგზავრობაში მას ადვილად ერევა გული.	մեքենայից սրտխառնուք ունենալ	Երկար ավտոբուսային ճանապարհին նրա սիրտը հեշտությամբ խառնում է։
5235:运送	运送	运送	გადაზიდვა; მიწოდება	ეს მარაგი კატასტროფის ზონაში გადაიგზავნება.	տեղափոխել; հասցնել	Այս պաշարները կտեղափոխվեն աղետի գոտի։
5237:运营	运营	运营	მართვა; ოპერირება	ამ პლატფორმას პროფესიონალი გუნდი მართავს.	կառավարել; գործարկել	Այս հարթակը կառավարում է մասնագիտական թիմը։
5238:杂	杂	杂	შერეული; სხვადასხვა	ამ უჯრაში ბევრი სხვადასხვა წვრილმანია.	խառը; տարբեր	Այս դարակում շատ խառը մանր իրեր կան։
5239:灾	灾	灾	კატასტროფა; უბედურება	ამ კატასტროფამ სოფელს დიდი ზიანი მიაყენა.	աղետ	Այս աղետը գյուղին մեծ վնաս պատճառեց։
5242:灾区	灾区	灾区	კატასტროფის ზონა	მოხალისეებმა საკვები კატასტროფის ზონაში მიიტანეს.	աղետի գոտի	Կամավորները սնունդը հասցրին աղետի գոտի։
5244:再生	再生	再生	გადამუშავება; ხელახლა წარმოქმნა	ამ მასალების გადამუშავება და ხელახლა გამოყენება შეიძლება.	վերամշակել; վերածնվել	Այս նյութերը կարելի է վերամշակել և կրկին օգտագործել։
5246:赞赏	赞赏	赞赏	დაფასება; ქება	მასწავლებელმა მისი სერიოზული დამოკიდებულება დააფასა.	գնահատել; գովել	Ուսուցիչը գնահատեց նրա լուրջ վերաբերմունքը։
5247:赞同	赞同	赞同	დათანხმება; მოწონება	წევრების უმრავლესობა ამ გადაწყვეტილებას დაეთანხმა.	համաձայնել; հավանություն տալ	Անդամների մեծ մասը հավանություն տվեց այս որոշմանը։
5248:遭到	遭到	遭到	წაწყდომა; განცდა	ამ გეგმას გარკვეული წინააღმდეგობა შეხვდა.	բախվել; ենթարկվել	Այս ծրագիրը բախվեց որոշ ընդդիմության։
5251:噪声	噪声	噪声	ხმაური	მშენებლობის ხმაურმა ახლომდებარე მცხოვრებლები შეაწუხა.	աղմուկ	Շինարարության աղմուկը ազդեց մոտակա բնակիչների վրա։
5255:炸	炸	炸	აფეთქება	ფეიერვერკი მოულოდნელად აფეთქდა და ყველანი შეშინდნენ.	պայթել	Ճայթուկը հանկարծ պայթեց, և բոլորը վախեցան։
5256:粘	粘	粘	დაწებება; მიწებება	წებომ ქაღალდები ერთმანეთს მიაწება.	կպցնել; սոսնձել	Սոսինձը թղթերը իրար կպցրեց։
5259:占比	占比	占比	წილი; პროპორცია	ონლაინ გაყიდვების წილმა უკვე ნახევარს გადააჭარბა.	բաժին; համամասնություն	Առցանց վաճառքի բաժինը արդեն անցել է կեսից։
5262:战胜	战胜	战胜	დამარცხება; დაძლევა	მათ ბოლოს ყველა სირთულე დაძლიეს.	հաղթել; հաղթահարել	Նրանք վերջապես հաղթահարեցին բոլոր դժվարությունները։
5263:占有	占有	占有	ფლობა; დაკავება	ამ კომპანიას ბაზრის დიდი წილი უკავია.	տիրել; զբաղեցնել	Այս ընկերությունը շուկայի մեծ բաժին է զբաղեցնում։
5265:章	章	章	თავი; განყოფილება	გთხოვ, მესამე თავის შინაარსი წაიკითხო.	գլուխ; բաժին	Խնդրում եմ, կարդա երրորդ գլխի բովանդակությունը։
5268:账单	账单	账单	ანგარიში; გადასახადის ქვითარი	ოფიციანტმა ანგარიში მაგიდაზე დადო.	հաշիվ; վճարման թուղթ	Մատուցողը հաշիվը դրեց սեղանին։
5269:招	招	招	აყვანა; მოზიდვა	კომპანია ახალ თანამშრომლებს იყვანს.	աշխատանքի ընդունել; գրավել	Ընկերությունը նոր աշխատակիցներ է ընդունում։
5271:招生	招生	招生	სტუდენტების მიღება	ეს სკოლა წელს ხუთასი მოსწავლის მიღებას გეგმავს.	ուսանողներ ընդունել; աշակերտներ ընդունել	Այս դպրոցը այս տարի պլանավորում է հինգ հարյուր աշակերտ ընդունել։
5272:招手	招手	招手	ხელის დაქნევა	მან სადგურზე ხელი დაგვიქნია.	ձեռքով անել	Նա կայարանում մեզ ձեռքով արեց։
5274:照明	照明	照明	განათება	ამ ოთახის განათება ძალიან კარგია.	լուսավորություն	Այս սենյակի լուսավորությունը շատ լավ է։
5276:针	针	针	ნემსი; ინექცია	ექთანმა პაციენტს ერთი ნემსი გაუკეთა.	ասեղ; ներարկում	Բուժքույրը հիվանդին մեկ ներարկում արեց։
