simplified	UZ	example_UZ
榜样	namuna	Ota-onalar bolalar uchun namuna.
绑架	o'g'irlab ketish	Politsiya o'g'irlab ketish hodisasini to'xtatdi.
磅	funt	Bu quti yigirma funt og'ir.
包庇	yashirmoq	Hech kim jinoyatni yashirmasligi kerak.
包袱	yuk	U yukini tashlab, ancha yengillashdi.
包围	o'rab olmoq	Jurnalistlar aktyorni o'rab oldi.
包装	qadoq	Bu sovg'aning qadoqi chiroyli.
保管	saqlamoq	Bu hujjatlar mening saqlovimda.
保密	sir saqlamoq	Yig'ilish mazmuni sir saqlanishi kerak.
保姆	enaga	Ular enaga yollashdi.
保守	konservativ	Uning fikrlari nisbatan konservativ.
保卫	himoya qilmoq	Askarlar chegarani himoya qiladi.
保养	parvarish qilmoq	Bu mashinani muntazam parvarish qilish kerak.
保障	kafolatlamoq	Qonun fuqarolar huquqlarini kafolatlaydi.
保重	o'zingizni ehtiyot qiling	Uydan uzoqda o'zingizni ehtiyot qiling.
饱和	to'yingan	Bu bozor deyarli to'yingan.
饱经沧桑	ko'p sinovlarni ko'rgan	Bu qariya ko'p sinovlarni ko'rgan.
报酬	haq	U munosib haq oldi.
报仇	qasos olmoq	U qasos olishni emas, qayta boshlashni istaydi.
报答	yaxshilikni qaytarmoq	Yordamingizni amalim bilan qaytaraman.
报复	o'ch olmoq	O'ch olish ziddiyatni yanada chuqurlashtiradi.
报警	xabar bermoq	Yong'inni ko'rgach darhol xabar berish kerak.
报销	xarajatni qoplatmoq	Safar xarajatlarini qoplatish mumkin.
抱负	orzu-niyat	Uning bolalikdan katta orzu-niyatlari bor edi.
暴力	zo'ravonlik	Biz zo'ravonlikning har qanday shakliga qarshimiz.
暴露	oshkor bo'lmoq	Bu muammo asta-sekin oshkor bo'ldi.
曝光	oshkor bo'lish	Bu surat oshkor bo'lgach e'tibor tortdi.
爆发	otilib chiqmoq	Vulqon to'satdan otilib chiqdi.
爆炸	portlash	Laboratoriyada portlash yuz berdi.
卑鄙	qabih	Bunday qabih usul odamni g'azablantiradi.
悲哀	qayg'uli	Bu xabarni eshitib u juda qayg'uga tushdi.
悲惨	fojiali	Bu tarixning fojiali davri edi.
北极	Shimoliy qutb	Olimlar Shimoliy qutbda tadqiqot olib bormoqda.
备份	zaxira nusxa	Avval muhim fayllarning zaxira nusxasini oling.
备忘录	eslatma	U eslatmaga muhim nuqtalarni yozdi.
背叛	xiyonat	U do'stining xiyonatini qabul qila olmadi.
背诵	yoddan aytmoq	O'quvchilar matnni yoddan aytmoqda.
被动	passiv	Muzokarada biz juda passiv bo'lmasligimiz kerak.
被告	ayblanuvchi	Ayblanuvchi barcha ayblovlarni rad etdi.
贝壳	chig'anoq	Bola dengiz bo'yida chig'anoqlar terdi.
奔波	yugurib yurmoq	U ish uchun har tomonga yugurib yuradi.
奔驰	tez yurmoq	Mashina katta yo'lda tez yurmoqda.
本能	instinkt	Bolani himoya qilish ota-onaning instinktidir.
本钱	sarmoya	Savdo qilish uchun sarmoya kerak.
本人	shaxsan o'zim	Shaxsan o'zim javobgarlikni olishga tayyorman.
本身	o'zi	Rejaning o'zida muammo yo'q.
本事	qobiliyat	U juda qobiliyatli.
笨拙	qo'pol	Uning harakati biroz qo'pol.
崩溃	qulab tushmoq	Tizim to'satdan qulab tushdi.
甭	kerak emas	Bu ish haqida tashvishlanishingiz kerak emas.
蹦	sakramoq	Kuchuk maysada sakrab yurdi.
迸发	otilib chiqmoq	Olqishlar odamlar orasidan otilib chiqdi.
逼迫	majburlamoq	Ular uni shartnomaga imzo qo'yishga majburladi.
鼻涕	burun suyuqligi	Bola shamollab, burnidan doimo suyuqlik oqmoqda.
比方	misol	Masalan, avval bir oy sinab ko'rishimiz mumkin.
比喻	tashbeh	Bu tashbeh juda obrazli.
比重	ulush	Xizmatlar sohasining ulushi tobora ortmoqda.
鄙视	mensimaslik	Boshqalarning mehnatini mensimang.
弊病	kamchilik	Bu tizimning ko'p kamchiliklari bor.
弊端	salbiy tomon	Yangi reja eski tizimning salbiy tomonlarini hal qildi.
臂	qo'l	Uning o'ng qo'li jarohatlandi.
闭塞	berk	Bu tog' qishlog'ida ilgari transport juda berk edi.
编织	to'qimoq	Buvim sviter to'qiyapti.
边疆	chegara hududi	Ko'plab jangchilar vatan chegara hududlarini qo'riqlaydi.
边界	chegara	Ikki davlat chegarani qayta belgiladi.
边境	chegara	Chegara hududida xavfsizlik tekshiruvi kuchaytirildi.
边缘	chet	Stakan stol chetida turibdi.
鞭策	ruhlantirmoq	O'qituvchining so'zlari meni doimo ruhlantiradi.
扁	yassi	Bu quti keng va yassi.
贬低	kamsitmoq	Boshqalarning mehnatini osonlikcha kamsitmang.
贬义	salbiy ma'no	Bu so'z bu yerda salbiy ma'noga ega.
便利	qulay	Metro qatnovni yanada qulay qildi.
便条	yozuvcha	U stol ustiga yozuvcha qoldirdi.
便于	qulay bo'lmoq	Bu dizayn keksalar foydalanishi uchun qulay.
变故	kutilmagan hodisa	Uyda to'satdan kutilmagan hodisa yuz berdi.
变迁	o'zgarishlar	Shahardagi o'zgarishlar uni ko'p o'ylantirdi.
变质	buzilmoq	Sut uzoq tursa buziladi.
辨认	tanib aniqlamoq	Politsiya undan suratdagi odamni tanib aniqlashni so'radi.
辩护	himoya qilmoq	Advokat ayblanuvchini himoya qildi.
辩解	o'zini oqlamoq	U xatosini oqlashga urindi.
辩证	dialektik	Bu masalaga dialektik qarashimiz kerak.
辫子	o'rim	Qizchada ikki o'rim soch bor.
遍布	keng tarqalmoq	Bu o'simlik butun mamlakat bo'ylab tarqalgan.
标本	namuna	Muzeyda hayvon namunalari namoyish etilgan.
标记	belgi	Muhim paragraflar yoniga belgi qo'ying.
标题	sarlavha	Bu maqolaning sarlavhasi juda jozibali.
表决	ovoz bermoq	Vakillar taklif bo'yicha ovoz beradi.
表态	pozitsiyasini bildirmoq	U hali ochiq pozitsiyasini bildirmadi.
表彰	taqdirlamoq	Kompaniya a'lo xodimlarni taqdirladi.
憋	ichida tutmoq	U kulgisini ichida tutdi va gapirmadi.
别墅	villa	Ular shahar chetida villa sotib olishdi.
别致	o'ziga xos	Bu qahvaxonaning bezagi juda o'ziga xos.
别扭	noqulay	Bu jumla biroz noqulay eshitiladi.
濒临	yoqasida	Bu hayvon yo'q bo'lib ketish yoqasida.
冰雹	do'l	Kecha tushdan keyin katta do'l yog'di.
丙	uchinchi	Uchinchi guruhning musobaqasi tushdan keyin boshlanadi.
并非	aslida emas	Ish sen o'ylagandek emas.
并列	yonma-yon	Bu ikki loyiha birinchi o'rinda yonma-yon turadi.
剥削	ekspluatatsiya qilmoq	Eski jamiyatda jiddiy ekspluatatsiya bor edi.
拨	raqam termoq	Iltimos, bu telefon raqamini tering.
播种	urug' sepmoq	Dehqonlar bahorda urug' sepishni boshlaydi.
波浪	to'lqin	Dengiz yuzida ulkan to'lqinlar ko'tarildi.
波涛	ulkan to'lqinlar	Kema ulkan to'lqinlar orasida oldinga yurdi.
伯母	xola	Men hafta oxiri xolani ko'rgani boraman.
博大精深	keng va chuqur	Xitoy madaniyati keng va chuqur.
博览会	ko'rgazma	Xalqaro ko'rgazma ko'plab korxonalarni jalb qildi.
搏斗	olishmoq	Politsiya jinoyatchi bilan olishdi.
薄弱	zaif	Uning grammatika asosi nisbatan zaif.
不顾	qaramay	U xavfga qaramay ichkariga yugurdi.
不愧	munosib	U tajribali mutaxassis degan nomga munosib.
不料	kutilmaganda	Kutilmaganda yig'ilish bekor qilindi.
不像话	noo'rin	Mehmonlarga bunday munosabat juda noo'rin.
不屑一顾	mensimaslik	U bu mish-mishlarni butunlay mensimadi.
哺乳	emizish	Ona chaqaloqni emizmoqda.
捕捉	tutib olmoq	Fotograf ajoyib lahzani tutib oldi.
补偿	qoplamoq	Kompaniya zararingizni qoplaydi.
补救	tuzatmoq	Biz hali tuzatishga ulgiramiz.
补贴	subsidiya	Hukumat kam daromadli oilalarga subsidiya beradi.
不得已	ilojsiz	U ilojsiz vatanidan ketdi.
不妨	zarari yo'q	Avval uning izohini eshitib ko'rsang zarari yo'q.
不敢当	bunga loyiq emasman	Siz meni shunday maqtaganingizda, bunga loyiq emasman.
不禁	beixtiyor	Bu xabarni eshitib, u beixtiyor kuldi.
不堪	chidab bo'lmas	Bu yerdagi shovqin chidab bo'lmas.
不可思议	aql bovar qilmas	Bu natija haqiqatan aql bovar qilmas.
不免	muqarrar	Birinchi marta sahnaga chiqqanda, u biroz hayajonlanishi muqarrar.
不时	vaqti-vaqti bilan	U vaqti-vaqti bilan boshini ko'tarib soatga qaradi.
不惜	tortinmaslik	Odamni qutqarish uchun u tavakkal qilishdan tortinmadi.
不相上下	teng	Ikki jamoaning kuchi teng.
不言而喻	o'z-o'zidan ravshan	Halollikning ahamiyati o'z-o'zidan ravshan.
不由得	beixtiyor	Eski suratlarni ko'rib, bolaligimni beixtiyor esladim.
不择手段	har qanday vositadan foydalanmoq	U pul topish uchun har qanday vositadan foydalanadi.
不止	dan ortiq	Yig'ilishda qatnashganlar yuzdan ortiq.
布告	e'lon	Maktab darvozasiga e'lon yopishtirilgan.
布局	joylashuv	Bu xonadonning joylashuvi juda oqilona.
布置	vazifa bermoq	O'qituvchi yangi vazifa berdi.
步伐	qadam	Jamoa tartibli qadamlar bilan oldinga yurdi.
部署	amalga oshirishga tayyorlamoq	Kompaniya yangi savdo rejasini amalga oshirishga tayyorlamoqda.
部位	qism	Shifokor jarohatlangan qismni tekshirdi.
才干	iste'dod	U boshqaruvda katta iste'dodga ega.
裁缝	tikuvchi	Bu tikuvchining mahorati yaxshi.
裁判	hakam	Hakam o'yin to'xtatilganini e'lon qildi.
裁员	xodim qisqartirmoq	Kompaniya zarar sabab xodimlarni qisqartirishga qaror qildi.
财富	boylik	Bilim ham boylikdir.
财务	moliya	Moliya bo'limi hisoblarni tekshirmoqda.
财政	davlat moliyasi	Bu yil davlat moliyasi daromadi oshdi.
彩票	lotereya chiptasi	U ba'zan lotereya chiptasi sotib oladi.
采购	xarid qilmoq	Kompaniya uskunalar xarid qilish uchun odam yubordi.
采集	yig'moq	Tadqiqotchilar o'rmonda namunalar yig'di.
采纳	qabul qilmoq	Rahbar bizning taklifimizni qabul qildi.
参谋	maslahat bermoq	U ko'pincha menejerga maslahat beradi.
参照	namuna qilib olish	Iltimos, bu formatni namuna qilib jadvalni to'ldiring.
残疾	nogiron	Bu bekat nogiron yo'lovchilarga yordam beradi.
残酷	shafqatsiz	Urush juda shafqatsiz.
残留	qoldiq qolmoq	Stakanda hali qahva hidi qoldi.
残忍	shafqatsiz	Hayvonlarga zulm qilish shafqatsiz xatti-harakat.
灿烂	yorqin	U yorqin tabassum qildi.
仓促	shoshma-shosharlik	Bu qaror juda shoshma-shosharlik bilan qabul qilindi.
仓库	ombor	Tovarlar allaqachon omborga yetkazildi.
舱	kabina	Yo'lovchilar samolyot kabinasiga kirmoqda.
苍白	oqarib ketgan	Uning yuzi oqarib ketgan ko'rindi.
操劳	tinimsiz mehnat qilmoq	Ona bu oila uchun ko'p yillar tinimsiz mehnat qildi.
操练	mashq qilmoq	Askarlar har kuni ertalab mashq qiladi.
操纵	boshqarmoq	Bu mashinani kompyuter boshqaradi.
操作	ishlatmoq	Iltimos, uskunani ko'rsatmaga ko'ra ishlating.
嘈杂	shovqinli	Vokzal ichida ovozlar juda shovqinli edi.
草案	loyiha	Qo'mita loyiha matnini muhokama qilmoqda.
草率	shoshma-shosharlik	Bunday muhim qarorni shoshma-shosharlik bilan qabul qilib bo'lmaydi.
侧面	yon tomon	Yon tomondan qaraganda, bu bino balandroq ko'rinadi.
测量	o'lchamoq	Muhandis ko'prik uzunligini o'lchamoqda.
策划	rejalashtirmoq	Ular katta tadbirni rejalashtirdi.
策略	strategiya	Bu strategiya kompaniyaga xarajatlarni kamaytirishga yordam berdi.
层出不穷	ketma-ket paydo bo'lmoq	Yangi muammolar ketma-ket paydo bo'lmoqda.
层次	daraja	Bu maqolaning darajalari juda aniq.
差别	farq	Ikki usul orasida katta farq yo'q.
插座	rozetka	Bu xonada rozetka yetarli emas.
查获	aniqlab musodara qilmoq	Bojxona bir partiya soxta tovarni aniqlab musodara qildi.
刹那	bir lahza	Bir lahzada hamma chiroqlar o'chdi.
岔	ayrilmoq	Mashina oldindagi chorrahada boshqa yo'lga ayrildi.
诧异	hayratda qolgan	Uning qarori barchani juda hayratda qoldirdi.
柴油	dizel yoqilg'isi	Bu yuk mashinasi dizel yoqilg'isidan foydalanadi.
搀	suyab olib bormoq	Hamshira qariyani suyab palataga olib kirdi.
缠绕	o'ralmoq	Tok novdalarga o'ralgan.
馋	ko'ngli tusamoq	Tortni ko'rib, bolaning ko'ngli tusadi.
产业	sanoat	Turizm bu yerning muhim sanoatidir.
阐述	batafsil bayon qilmoq	Professor o'z qarashlarini batafsil bayon qildi.
颤抖	titramoq	U sovuqdan butun tanasi bilan titradi.
昌盛	ravnaq topgan	Biz mamlakat ravnaq topishini xohlaymiz.
偿还	qaytarmoq	U qarzni vaqtida qaytardi.
尝试	sinab ko'rmoq	Biz yangi usulni sinab ko'rishimiz mumkin.
场合	vaziyat	Bunday vaziyatda hazil qilish mos emas.
场面	manzara	To'y manzarasi juda gavjum edi.
场所	joy	Bu jamoat joyi, chekmang.
敞开	keng ochmoq	Iltimos, derazani bir oz keng oching.
倡导	targ'ib qilmoq	Maktab sog'lom turmush tarzini targ'ib qiladi.
倡议	tashabbus	Bu ekologik tashabbus qo'llab-quvvatlandi.
畅通	to'siqsiz	Yomg'ir to'xtagach, yo'llar yana to'siqsiz bo'ldi.
畅销	yaxshi sotilmoq	Bu roman juda yaxshi sotilmoqda.
超越	ortda qoldirmoq	U nihoyat o'z rekordini ortda qoldirdi.
钞票	qog'oz pul	Hamyonda faqat bir nechta qog'oz pul qoldi.
嘲笑	masxara qilmoq	Boshqalarning kamchiliklarini masxara qilmang.
巢穴	in	Ovchi hayvonning inini topdi.
朝代	sulola	Tang Xitoy tarixidagi bir suloladir.
潮流	oqim	Yoshlar moda oqimiga juda qiziqadi.
撤退	chekinmoq	Qo'shin buyruq olgach chekindi.
撤销	bekor qilmoq	Sud avvalgi hukmni bekor qildi.
沉淀	cho'kmoq	Loyqa asta-sekin pastga cho'kadi.
沉闷	dim	Bugungi havo issiq va dim.
沉思	chuqur o'ylamoq	U deraza yonida o'tirib chuqur o'yladi.
沉重	og'ir	Bu xabar barchaning kayfiyatini og'irlashtirdi.
沉着	vazmin	Xavfga duch kelganda vazmin bo'lish kerak.
陈旧	eskirgan	Bu mashina allaqachon juda eskirgan.
陈列	namoyish qilmoq	Ko'rgazma zalida ko'plab tarixiy buyumlar namoyish qilingan.
陈述	bayon qilmoq	Iltimos, faktlarni aniq bayon qiling.
称心如意	ko'ngildagidek	Bu ish uning ko'nglidagidek bo'ldi.
衬托	ajratib ko'rsatmoq	Oq devor gullarning rangini ajratib ko'rsatdi.
称号	unvon	U a'lo o'qituvchi unvonini oldi.
乘	minmoq	Men har kuni ishga metroga minib boraman.
呈现	namoyon bo'lmoq	Osmon och qizil rangda namoyon bo'ldi.
城堡	qal'a	Tog' tepasida qadimiy qal'a bor.
惩罚	jazolamoq	Maktab imtihonda aldangan o'quvchini jazolaydi.
成本	xarajat	Xomashyo narxi oshib, xarajatni ko'paytirdi.
成交	kelishuv tuzmoq	Bu savdo nihoyat kelishuv bilan yakunlandi.
成天	kun bo'yi	U kun bo'yi kompyuter oldida o'tiradi.
成效	natija	Yangi boshqaruv usuli tezda natija berdi.
成心	ataylab	U seni noqulay ahvolga solishni ataylab qilmagan.
成员	a'zo	Har bir a'zo yig'ilishda qatnashishi kerak.
承办	tashkil etishni zimmasiga olmoq	Bu kompaniya ko'rgazmani tashkil etishni zimmasiga oldi.
承包	pudratga olmoq	Ular bu loyihani pudratga oldi.
承诺	va'da bermoq	U vazifani vaqtida tugatishga va'da berdi.
橙	apelsin	Men bir nechta yangi apelsin sotib oldim.
澄清	aniqlik kiritmoq	Menejer chiqib, tushunmovchilikka aniqlik kiritdi.
盛	suzib bermoq	U mehmonlarga bir kosa sho'rva suzib berdi.
诚挚	samimiy	Iltimos, mening samimiy minnatdorchiligimni qabul qiling.
秤	tarozi	Bu tarozi unchalik aniq emas.
吃苦	qiyinchilikka chidamoq	Yoshlar qiyinchilikka chidashni o'rganishi kerak.
吃力	og'irlik qilmoq	Bu qutini ko'tarish juda og'irlik qiladi.
持久	uzoq davom etadigan	Muvaffaqiyat uchun uzoq davom etadigan mehnat kerak.
迟钝	sekin	Uning reaksiyasi yaqinda biroz sekinlashdi.
迟缓	sekin	Yomg'irdan keyin transport harakati sekinlashdi.
迟疑	ikkilanmoq	U bir oz ikkilanib keyin javob berdi.
赤道	ekvator	Ekvator yaqinida yil bo'yi issiq bo'ladi.
赤字	kamomad	Kompaniyada bu yil kamomad yuzaga keldi.
充当	rolini bajarmoq	U loyihada muvofiqlashtiruvchi rolini bajardi.
充沛	serob	Bolalarning kuchi juda serob.
充实	mazmunli	Bu tajriba hayotimni yanada mazmunli qildi.
充足	yetarli	Safar oldidan yetarli suv tayyorlash kerak.
冲动	shoshqaloqlik	Bir lahzalik shoshqaloqlik bilan qaror qilmang.
冲击	zarba bermoq	Yangi texnologiya an'anaviy sohalarga zarba berdi.
冲突	to'qnashuv	Ikki tomon to'qnashuvdan qochishga harakat qildi.
崇拜	sajda qilmoq	Ko'p yoshlar bu olimga sajda qilgandek hurmat qiladi.
崇高	oliyjanob	Shifokorning vazifasi oliyjanobdir.
崇敬	chuqur hurmat qilmoq	Talabalar bu o'qituvchini chuqur hurmat qiladi.
重叠	ustma-ust tushmoq	Bu ikki vazifaning bir qismi ustma-ust tushadi.
稠密	zich	Bu yerda aholi juda zich.
筹备	tayyorgarlik ko'rmoq	Ular to'yga tayyorgarlik ko'rmoqda.
丑恶	xunuk	U voqea ortidagi xunuk haqiqatni fosh qildi.
出路	yo'l	O'qish yoshlarga ko'proq yo'l ochadi.
出卖	xiyonat qilmoq	U do'stiga xiyonat qilmaydi.
出身	kelib chiqmoq	U oddiy oiladan kelib chiqqan.
出神	xayolga cho'mgan	U musiqani xayolga cho'mib tingladi.
出息	kelajak istiqboli	Bu bolaning kelajak istiqboli bor.
初步	dastlabki	Biz dastlabki kelishuvga erishdik.
除	tashqari	Undan tashqari hamma yetib keldi.
储备	zaxira qilmoq	Kompaniya ko'proq mablag' zaxira qilishi kerak.
储存	saqlamoq	Bu ma'lumotlar avtomatik saqlanadi.
储蓄	jamg'armoq	U har oy maoshining bir qismini jamg'aradi.
处分	intizomiy jazo	Maktab unga og'ir intizomiy jazo berdi.
处境	ahvol	Ularning hozirgi ahvoli juda qiyin.
处置	hal qilmoq	Bu eski uskunalarni to'g'ri hal qilish kerak.
触犯	buzmoq	Bunday qilish qonunni buzadi.
川流不息	tinimsiz oqim	Ko'chadagi mashinalar tinimsiz oqimda harakatlanmoqda.
穿越	kesib o'tmoq	Poyezd uzun tunnelni kesib o'tdi.
传达	yetkazmoq	Iltimos, bu xabarni hammaga yetkazing.
传单	varaqa	Ko'ngillilar ko'chada varaqa tarqatdi.
传授	o'rgatmoq	O'qituvchi talabalarga tajribasini o'rgatdi.
船舶	kemalar	Portda ko'plab kemalar turibdi.
喘气	hansiramoq	U yugurib bo'lgach tinmay hansiradi.
串	ipga tizmoq	U munchoqlarni ipga tizib marjon qildi.
床单	choyshab	Iltimos, choyshabni almashtiring.
创立	asos solmoq	Ular bu kompaniyaga birgalikda asos soldi.
创新	innovatsiya	Korxona rivoji doimiy innovatsiyani talab qiladi.
创业	biznes boshlamoq	Ko'p yoshlar biznes boshlashni tanlaydi.
创作	ijod qilmoq	Yozuvchi uzun roman ijod qilmoqda.
吹牛	maqtanmoq	Maqtanma, dalil ko'rsat.
吹捧	ko'klarga ko'tarib maqtamoq	OAV bu mahsulotni haddan tashqari ko'klarga ko'tarib maqtadi.
炊烟	oshxona tutuni	Kechqurun qishloqda oshxona tutuni ko'tarildi.
垂直	tik	Bu ikki chiziq bir-biriga tik.
锤	bolg'a	Ishchi temir plastinani bolg'a bilan urdi.
纯粹	sof	Uning yordami sof yaxshi niyatdan edi.
纯洁	pok	Bolaning qalbi juda pok.
慈善	xayriya	Bu korxona ko'pincha xayriya tadbirlarida qatnashadi.
慈祥	mehribon	Buvining tabassumi juda mehribon.
磁带	magnit lenta	Bu eski magnit lenta hali ham ijro etiladi.
雌雄	erkak va urg'ochi	Bu qushning erkak va urg'ochisi turli rangda.
伺候	parvarish qilmoq	Hamshira bemorni diqqat bilan parvarish qildi.
刺	tikan	Atirgul shoxida ko'p tikan bor.
次品	nuqsonli mahsulot	Bu nuqsonli mahsulotlarni sotib bo'lmaydi.
次序	tartib	Iltimos, tartib bo'yicha navbatga turing.
丛	to'p	Yo'l chetida bir to'p yovvoyi gul bor.
从容	vazmin	U savollarga vazmin javob berdi.
凑合	amallab ishlatmoq	Xona katta emas, lekin yashashga amallasa bo'ladi.
粗鲁	qo'pol	U juda qo'pol gapirdi.
窜	yugurib kirib ketmoq	U mushuk birdan uyga yugurib kirib ketdi.
摧残	vayron qilmoq	Uzoq muddatli ifloslanish bu o'rmonni vayron qiladi.
脆弱	nozik	Shisha buyumlar juda nozik.
搓	ishqalamoq	U sovuq qo'llarini ishqaladi.
磋商	muzokara qilmoq	Ikki tomon muzokarani davom ettiradi.
挫折	muvaffaqiyatsizlik	Har bir inson muvaffaqiyatsizlikka duch keladi.
搭	minmoq	Biz aeroportga avtobusga minib boramiz.
搭档	hamkor	U ko'p yillik ish hamkorim.
搭配	mos kelmoq	Bu palto shim bilan juda mos keladi.
答辩	himoya qilish	Magistrant dissertatsiya himoyasiga tayyorlanmoqda.
答复	javob	Iltimos, menga tezroq javob bering.
达成	erishmoq	Ikki tomon nihoyat kelishuvga erishdi.
打包	o'rab bermoq	Ofitsiant ortiqcha ovqatni bizga o'rab berdi.
打官司	sudlashmoq	Ular shartnoma masalasida sudlashmoqda.
打击	zarba	Bu muvaffaqiyatsizlik unga katta zarba berdi.
打架	urishmoq	O'quvchilar kampusda urishsa, jazolanadi.
打量	ko'zdan kechirmoq	U meni boshdan oyoq ko'zdan kechirdi.
打猎	ov qilmoq	Bu yerda ov qilish taqiqlangan.
打仗	urushmoq	Hech kim urushmoqchi emas.
大不了	eng yomoni	Eng yomoni, ertaga yana bir marta sinab ko'ramiz.
大臣	vazir	Podsho bir necha vazirni huzuriga chaqirdi.
大伙儿	hamma	Hamma sizning qaroringizni kutmoqda.
大肆	keng ko'lamda	Savdogarlar yangi mahsulotni keng ko'lamda reklama qildi.
大体	umuman	Rejada umuman muammo yo'q.
大意	asosiy mazmun	Avval maqolaning asosiy mazmunini ayting.
大致	taxminan	Men voqea jarayonini taxminan tushundim.
歹徒	jinoyatchi	Politsiya jinoyatchini tezda qo'lga oldi.
代价	narx	Muvaffaqiyat ko'pincha narx to'lashni talab qiladi.
代理	vaqtincha bajaruvchi	U vaqtincha menejer ishini bajaradi.
带领	boshlab bormoq	O'qituvchi talabalarni muzeyga boshlab bordi.
怠慢	e'tiborsiz qoldirmoq	Biz mehmonlarni e'tiborsiz qoldirmasligimiz kerak.
逮捕	hibsga olmoq	Politsiya asosiy gumondorni hibsga oldi.
担保	kafillik qilmoq	Bank kimdir kafillik qilishini talab qildi.
胆怯	cho'chigan	Birinchi nutqida u biroz cho'chigan edi.
淡季	past mavsum	Turizmning past mavsumida aviachiptalar arzonroq.
淡水	chuchuk suv	Bu baliq faqat chuchuk suvda yashaydi.
蛋白质	oqsil	Tuxum oqsilga boy.
诞辰	tug'ilgan kun	Bugun bu yozuvchining tug'ilgan kuni.
诞生	tug'ilmoq	Bu g'oya muhokama jarayonida tug'ildi.
当场	joyida	U xatosini joyida tan oldi.
当初	o'shanda	O'shanda biz hammamiz bu qarorni qo'llab-quvvatlagan edik.
当代	zamonaviy davr	Zamonaviy jamiyat juda tez o'zgaradi.
当面	yuzma-yuz	Muammo bo'lsa, yuzma-yuz tushuntirgan yaxshiroq.
当前	hozirgi	Hozirgi eng muhim narsa xavfsizlikni ta'minlash.
当事人	aloqador shaxs	Politsiya aloqador shaxslarni so'roq qilmoqda.
当务之急	eng dolzarb vazifa	Uy-joy muammosini hal qilish eng dolzarb vazifadir.
当选	saylanmoq	U rais etib muvaffaqiyatli saylandi.
党	partiya	Bu partiya yangi siyosat taklif qildi.
档案	arxiv	Maktab o'quvchilar arxivini saqlaydi.
档次	daraja	Bu mehmonxonaning darajasi yuqori.
倒闭	bankrot bo'lmoq	U kichik do'kon o'tgan yili bankrot bo'ldi.
导弹	raketa	Yangiliklarda raketa sinovi haqida xabar berildi.
导航	navigatsiya	Iltimos, telefonda navigatsiyani yoqing.
导向	yo'naltirilgan	Ta'lim siyosati adolatga yo'naltirilgan bo'lishi kerak.
捣乱	tartibni buzmoq	Iltimos, darsda tartibni buzmang.
盗窃	o'g'irlik	Savdo markazi o'g'irlikning oldini olish choralarini kuchaytirdi.
