source_headword	ET	example_ET
attend	osalema	Ma osalen täna tunnis.
attention	tähelepanu	Palun pööra nüüd tähelepanu.
attractive	atraktiivne; meeldiv	Aed on meeldiv.
audience	publik	Publik oli vaikne.
author	autor	Autor kirjutas selle raamatu.
available	saadaval	Toit on nüüd saadaval.
average	keskmine	Keskmine tulemus oli hea.
avoid	vältima	Väldi rahvarohket teed.
award	auhind	Ta võitis auhinna.
awful	kohutav	Ilm oli kohutav.
background	taust	Pildil on tume taust.
badly	halvasti	Ta mängis täna halvasti.
bar	baar	Me kohtusime hotelli baaris.
baseball	pesapall	Pesapall on siin populaarne.
based	põhinev	Film põhineb raamatul.
basketball	korvpall	Me mängime pärast kooli korvpalli.
bean	uba	See uba on roheline.
bear (animal)	karu	Karu elab metsas.
beat	võitma; lööma	Meie meeskond võib neid võita.
beef	veiseliha	Ma sõin õhtusöögiks veiseliha.
behave	käituma	Palun käitu tunnis hästi.
behaviour	käitumine	Tema käitumine oli viisakas.
belong	kuuluma	Need kingad kuuluvad mulle.
belt	vöö	Tema vöö on must.
benefit	kasu	Treenimisel on tõeline kasu.
billion	miljard	Miljard on tohutu arv.
bin	prügikast	Pane paber prügikasti.
biology	bioloogia	Bioloogia on minu parim tund.
birth	sünd	Tema sünd oli mais.
biscuit	küpsis	Ta sööb küpsist.
bit	natuke	Ma vajan natuke rohkem aega.
blank	tühi koht	Kirjuta oma nimi tühja kohta.
blood	veri	Veri on punane.
blow	puhuma	Tuul võib kõvasti puhuda.
board	tahvel; laud	Kirjuta see tahvlile.
boil	keetma	Keeda kõigepealt vesi.
bone	luu	Koeral on luu.
borrow	laenama	Kas ma võin sinu pliiatsit laenata?
boss	ülem	Minu ülem on sõbralik.
bottom	alumine osa; põhi	Allkirjasta allosas.
bowl	kauss	Kauss on täis.
brain	aju	Sinu aju vajab puhkust.
bridge	sild	Sild on vana.
bright	hele; särav	Tuba on hele.
brilliant	hiilgav	See idee on hiilgav.
broken	katki	Tool on katki.
brush	harjama; hari	Harja nüüd hambaid.
burn	põletama; põlema	Ära põleta leiba.
businessman	ärimees	Ärimees saabus vara.
button	nupp	Vajuta punast nuppu.
camp	laager; telkima	Me telgime järve lähedal.
camping	telkimine	Telkimine on suvel lõbus.
can2	purk	Ava purk ettevaatlikult.
care	hool	Hoolitse oma tervise eest.
careful	ettevaatlik	Ole trepil ettevaatlik.
carefully	ettevaatlikult	Loe küsimust ettevaatlikult.
carpet	vaip	Vaip on pehme.
cartoon	multikas	See multikas on naljakas.
case	juhtum; ümbris	Pane see ümbrisesse.
cash	sularaha	Ma maksin sularahas.
castle	loss	Loss on väga vana.
catch	püüdma	Püüa pall nüüd kinni.
cause	põhjus; põhjustama	Vihm võib probleeme põhjustada.
celebrate	tähistama	Me tähistame minu sünnipäeva.
celebrity	kuulsus	Kuulsus oli väga lahke.
certain	kindel	Ma olen selles kindel.
certainly	kindlasti	Ma aitan kindlasti.
chance	võimalus	Sul on võimalus.
character	tegelane; iseloom	See tegelane on julge.
charity	heategevus	Heategevus aitab lapsi.
chat	vestlema	Me vestleme pärast tundi.
chef	kokk	Kokk tegi suppi.
chemistry	keemia	Keemia on minu jaoks raske.
chip	krõps	See krõps on soolane.
choice	valik	See valik on oluline.
church	kirik	Kirik on siin lähedal.
cigarette	sigaret	Sigaret on tervisele halb.
circle	ring	Joonista siia ring.
classical	klassikaline	Ma naudin klassikalist muusikat.
clear	selge	Vastus on selge.
clearly	selgelt	Räägi palun selgelt.
clever	tark	Ta on tark laps.
climate	kliima	Kliima muutub.
close2	lähedal	Minu kool on kodu lähedal.
closed	suletud	Pood on suletud.
clothing	riietus	Soe riietus on kasulik.
cloud	pilv	Pilv katab päikese.
coach	treener	Treener aitas meeskonda.
coast	rannik	Me sõitsime mööda rannikut.
code	kood	Sisesta kood siia.
colleague	kolleeg	Minu kolleeg helistas mulle.
collect	koguma	Ma kogun vanu kaarte.
column	veerg	Loe esimest veergu.
comedy	komöödia	See komöödia on naljakas.
comfortable	mugav	See tool on mugav.
comment	kommentaar	Jäta kommentaar alla.
communicate	suhtlema	Me suhtleme e-posti teel.
community	kogukond	Meie kogukond on sõbralik.
compete	võistlema	Nad võistlevad igal aastal.
competition	võistlus	Võistlus algab homme.
complain	kaebama	Ära kaeba jälle.
completely	täiesti	Ma olen sinuga täiesti nõus.
condition	seisukord	Auto on heas seisukorras.
conference	konverents	Konverents algab kell üheksa.
connect	ühendama	Ühenda telefon arvutiga.
connected	ühendatud	Need kaks ideed on seotud.
consider	kaaluma	Palun kaalu minu ideed.
contain	sisaldama	See kast sisaldab raamatuid.
context	kontekst	Kontekst aitab sul aru saada.
continent	manner	Manner on väga suur.
continue	jätkama	Jätka lugemist, palun.
control	kontroll; juhtima	Kontrolli kiirust ettevaatlikult.
cooker	pliit	Pliit on puhas.
copy	koopia	Tee mulle koopia.
corner	nurk	Istu nurka.
correctly	õigesti	Kirjuta vastus õigesti.
count	loendama	Loenda raamatud üle.
couple	paar	Paar saabus vara.
cover	katma	Kata kauss kinni.
crazy	hull	See idee kõlab hullult.
creative	loominguline	Tal on loominguline idee.
credit	krediit; krediitkaart	Ma maksin krediitkaardiga.
crime	kuritegu	Kuritegu on tõsine probleem.
criminal	kurjategija	Kurjategija lahkus kiiresti.
cross	ületama	Ületa tänav ettevaatlikult.
crowd	rahvahulk	Rahvahulk ootas väljas.
crowded	rahvarohke	Rong oli rahvarohke.
cry	nutma	Ära nuta nüüd.
cupboard	kapp	Tassid on kapis.
curly	lokkis	Tal on lokkis juuksed.
cycle	jalgrattaga sõitma	Ma sõidan jalgrattaga kooli.
daily	igapäevane; iga päev	Ma loen uudiseid iga päev.
danger	oht	Silt näitab ohtu.
data	andmed	Andmed on kasulikud.
dead	surnud	Taim on surnud.
deal	tehing; kokkulepe	See on hea tehing.
death	surm	Surm on raske teema.
decision	otsus	Tee otsus täna.
deep	sügav	Vesi on sügav.
definitely	kindlasti	Ma tahan kindlasti teed.
degree	kraad; kõrgharidus	Minu kraad on ajaloos.
dentist	hambaarst	Hambaarst kontrollis mu hambaid.
department	osakond	Jalatsiosakond on üleval.
depend	sõltuma	See sõltub ilmast.
desert	kõrb	Kõrb on väga kuiv.
designer	disainer	Disainer tegi selle kleidi.
destroy	hävitama	Ära hävita faili.
detective	detektiiv	Detektiiv leidis võtme.
develop	arendama	Nad arendavad uut rakendust.
device	seade	See seade on kasulik.
diary	päevik	Ta kirjutab oma päevikusse.
differently	teisiti	Me teeme seda teisiti.
digital	digitaalne	See on digitaalne kaamera.
direct	otsene	Võta otsene rong.
direction	suund	Kõnni selles suunas.
director	režissöör; direktor	Režissöörile meeldis film.
disagree	mitte nõustuma	Ma ei nõustu selle ideega.
disappear	kaduma	Päike kaob varsti.
disaster	katastroof	Torm oli katastroof.
discover	avastama	Nad avastavad uue saare.
discovery	avastus	Avastus muutis teadust.
discussion	arutelu	Arutelu lõppes vara.
disease	haigus	See haigus on tõsine.
distance	vahemaa	Vahemaa on lühike.
divorced	lahutatud	Tema vanemad on lahutatud.
document	dokument	Salvesta see dokument nüüd.
double	kahekordne; kahene	Ma vajan kahest tuba.
download	alla laadima	Laadi rakendus täna alla.
drama	draama	Draama algab täna õhtul.
drawing	joonistus	Tema joonistus on ilus.
dream	uni; unistus	Ma nägin imelikku und.
driving	autojuhtimine	Öösel sõitmine on raske.
drop	maha pillama	Ära pilla klaasi maha.
drug	ravim	Ravim aitas teda.
dry	kuiv	Rätik on kuiv.
earn	teenima	Ma teenin tööl raha.
earth	maa	Maa on ümmargune.
easily	kergesti	Ta õpib kergesti.
education	haridus	Haridus on oluline.
effect	mõju	Mõju oli selge.
either	üks kahest	Kumbki vastus sobib.
electric	elektriline	See auto on elektriline.
electrical	elektri-	Elektrisüsteem on ohutu.
electricity	elekter	Elekter on siin kallis.
electronic	elektrooniline	See elektrooniline pilet töötab.
employ	tööle võtma	Nad võtavad tööle viis inimest.
employee	töötaja	Töötaja töötab kõvasti.
employer	tööandja	Minu tööandja on õiglane.
empty	tühi	Tuba on tühi.
ending	lõpp	Lõpp oli üllatav.
energy	energia	Mul pole täna energiat.
engine	mootor	Mootor on vali.
engineer	insener	Insener parandas silla.
enormous	tohutu	Hoone on tohutu.
enter	sisenema	Sisene tuppa vaikselt.
environment	keskkond	Kaitse keskkonda.
equipment	varustus	See varustus on kallis.
error	viga	Ma leidsin vea.
especially	eriti	Mulle meeldib eriti see laul.
essay	essee	Kirjuta täna õhtul essee.
everyday	igapäevane	See on igapäevane inglise keel.
everywhere	igal pool	Lilled kasvavad igal pool.
evidence	tõend	Tõend on selge.
exact	täpne	Anna täpne arv.
exactly	täpselt	See on täpselt õige.
excellent	suurepärane	Sinu töö on suurepärane.
except	välja arvatud	Kõik tulid peale minu.
exist	eksisteerima	Kas see aadress eksisteerib?
expect	ootama	Ma ootan homme vihma.
experience	kogemus	Mul on lastega kogemusi.
experiment	katse	Katse töötas hästi.
expert	ekspert	Küsi eksperdilt abi.
explanation	selgitus	Tema selgitus oli selge.
express	väljendama	Palun väljenda oma arvamust.
expression	väljend	See väljend on tavaline.
extreme	äärmuslik	Kuumus oli äärmuslik.
extremely	äärmiselt	On äärmiselt külm.
factor	tegur	Hind on üks tegur.
factory	tehas	Tehas suletakse kell viis.
fail	ebaõnnestuma	Ma ei kukkunud läbi.
fair	õiglane	Hind on õiglane.
fan	ventilaator; fänn	Lülita ventilaator sisse.
farming	põllumajandus	Põllumajandus on raske töö.
fashion	mood	Mood muutub igal aastal.
fear	hirm	Hirm võib inimesi peatada.
feature	omadus	Sellel telefonil on kasulik omadus.
feed	toitma	Toida kassi nüüd.
female	naissoost	Naissoost sportlane võitis.
fiction	ilukirjandus	Ta loeb öösel ilukirjandust.
field	põld; väli	Põld on roheline.
fight	võitlema; kaklema	Nad kaklevad liiga palju.
figure	joonis; arv	Vaata joonist.
finally	lõpuks	Me jõudsime lõpuks koju.
finger	sõrm	Mu sõrm valutab.
firstly	esiteks	Esiteks loe küsimust.
fishing	kalapüük	Kalapüük on siin populaarne.
fit	sobima	Need kingad sobivad hästi.
fix	parandama	Paranda katkine tool.
flu	gripp	Mul on gripp.
flying	lendamine	Lendamine on kiire.
focus	keskenduma	Keskendu sellele ülesandele.
following	järgmine	Loe järgmist lauset.
foreign	võõras; välis-	Ta räägib võõrkeelt.
forest	mets	Mets on vaikne.
fork	kahvel	Kasuta kahvlit.
formal	ametlik	See kiri on ametlik.
fortunately	õnneks	Õnneks keegi viga ei saanud.
forward	edasi	Liigu aeglaselt edasi.
fresh	värske	Leib on värske.
