source_headword	HI	example_HI
terms	शर्तें	अनुबंध की शर्तें स्पष्ट थीं।
terribly	बुरी तरह	बच्चा बुरी तरह से परेशान था।
terrify	डराना	तेज आवाजें कुत्ते को डराती हैं।
territory	क्षेत्र	नक्शा नया क्षेत्र दिखाता है।
terror	आतंक	हमले के बाद आतंक फैल गया।
terrorism	आतंकवाद	आतंकवाद सार्वजनिक सुरक्षा को खतरे में डालता है।
terrorist	आतंकवादी	पुलिस ने कल आतंकवादी को गिरफ्तार कर लिया।
testing	परीक्षण	उत्पाद परीक्षण सोमवार को शुरू होता है।
textbook	पाठ्यपुस्तक	वह अपनी जीव विज्ञान की पाठ्यपुस्तक भूल गई।
theft	चोरी	क्षेत्र में चोरी बढ़ गई है।
therapist	चिकित्सक	चिकित्सक ने उसे चिंता को प्रबंधित करने में मदद की।
thesis	थीसिस	उसकी थीसिस ऑनलाइन सीखने की जांच करती है।
thorough	विस्तृत	एक विस्तृत समीक्षा में कोई त्रुटि नहीं मिली।
thoroughly	अच्छी तरह से	घाव को अच्छी तरह से साफ करें।
thumb	अंगूठा	उसने स्वीकृति का संकेत देने के लिए अपना अंगूठा उठाया।
timing	समय	कॉल का समय एकदम सही था।
tissue	टिश्यू	उसने टिश्यू से गिलास पोंछा।
ton	टन	ट्रक एक टन रेत ले गया।
tonne	टन	शिपमेंट का वजन एक टन था।
tournament	टूर्नामेंट	टेनिस टूर्नामेंट कल शुरू होगा।
trace	पता लगाना	वैज्ञानिक वायरस के स्रोत का पता लगा सकते हैं।
trading	व्यापार	शेयर व्यापार दोपहर में बंद हो गया।
tragedy	त्रासदी	दुर्घटना एक भयानक त्रासदी थी।
tragic	दुखद	दुर्घटना के दुखद परिणाम हुए।
trait	विशेषता	धैर्य एक उपयोगी विशेषता है।
transmit	फैलाना	मच्छर बीमारी फैला सकते हैं।
transportation	परिवहन	आज सार्वजनिक परिवहन में भीड़ है।
trap	फंसाना	बक्सा कीड़ों को सुरक्षित रूप से फंसा सकता है।
treasure	खजाना	पुरानी संदूक में खजाना था।
tribe	जनजाति	जनजाति ने अपनी परंपराओं की रक्षा की।
trigger	ट्रिगर करना	धुआं अलार्म को ट्रिगर कर सकता है।
trillion	खरब	कर्ज एक खरब डॉलर तक पहुंच गया।
troop	सैन्य दल	सैन्य दल सीमा की ओर बढ़ा।
tsunami	सुनामी	सुनामी ने तटीय घरों को नष्ट कर दिया।
ultimate	अंतिम	अंतिम लक्ष्य शांति है।
unacceptable	अस्वीकार्य	देरी यात्रियों के लिए अस्वीकार्य थी।
uncertainty	अनिश्चितता	अनिश्चितता ने निवेशकों को घबरा दिया।
undergo	से गुजरना	मरीज कल सर्जरी से गुजरेगा।
undertake	शुरू करना	टीम एक सर्वेक्षण शुरू करेगी।
unfold	सामने आना	नाटक धीरे-धीरे सामने आने लगा।
unfortunate	दुर्भाग्यपूर्ण	त्रुटि दुर्भाग्यपूर्ण थी लेकिन सुधारने योग्य थी।
unite	एकजुट करना	नेताओं ने पार्टी को एकजुट करने की कोशिश की।
unity	एकता	भाषण में राष्ट्रीय एकता का आह्वान किया गया।
universal	सार्वभौमिक	ऐप एक सार्वभौमिक डिज़ाइन का उपयोग करता है।
urgent	तत्काल	अस्पताल को एक तत्काल कॉल आई।
usage	उपयोग	गाइड सही उपयोग की व्याख्या करता है।
useless	बेकार	टूटा हुआ चार्जर बेकार है।
valid	वैध	आपका पासपोर्ट अभी भी वैध है।
variation	भिन्नता	कीमतों में बहुत भिन्नता है।
vertical	लंबवत	चार्ट में एक लंबवत धुरी है।
viewpoint	दृष्टिकोण	बहस के बाद उसका दृष्टिकोण बदल गया।
visa	वीज़ा	उसने छात्र वीज़ा के लिए आवेदन किया।
visible	दिखाई देने वाला	संकेत यहाँ से दिखाई देता है।
voluntary	स्वैच्छिक	पाठ्यक्रम में स्वैच्छिक कार्यशालाएँ शामिल हैं।
voting	मतदान	प्रारंभिक मतदान अगले सप्ताह शुरू होगा।
wander	घूमना	पर्यटक पुराने बाजार में घूमते हैं।
warming	वार्मिंग	ग्लोबल वार्मिंग समुद्र के स्तर को प्रभावित करती है।
weekly	साप्ताहिक	टीम एक साप्ताहिक बैठक आयोजित करती है।
weird	अजीब	शोर अजीब लग रहा था।
welfare	कल्याण	कार्यक्रम बाल कल्याण का समर्थन करता है।
wheat	गेहूं	किसान गेहूं उगाता है।
whoever	जो कोई भी	जो कोई भी पहले आए उसे बाहर इंतजार करना चाहिए।
widespread	व्यापक	तूफान ने व्यापक क्षति पहुंचाई।
wisdom	ज्ञान	उसकी दादी ने व्यावहारिक ज्ञान साझा किया।
withdraw	वापस लेना	उसने अपना आवेदन वापस लेने का फैसला किया।
workforce	कार्यबल	कार्यबल को नए कौशल की आवश्यकता है।
workplace	कार्यस्थल	कार्यस्थल में स्पष्ट सुरक्षा नियम हैं।
workshop	कार्यशाला	कार्यशाला दस बजे शुरू होती है।
worm	केंचुआ	एक कीड़ा मिट्टी के पार चला गया।
wrist	कलाई	उसने अपनी कलाई को चोट पहुंचाई।
