source_headword	UZ	example_UZ
provoke	qo'zg'atmoq	Nutq kuchli munosabatlarni qo'zg'atishi mumkin.
psychiatric	psixiatrik	Kasalxonada psixiatriya bo'limi ochildi.
pulse	puls	Hamshira uning pulsini tekshirdi.
pump	nasos	Nasos suvni yuqoriga tashiydi.
punch	musht	U jahl bilan musht tushirdi.
query	so'rov	So'rovingizni qo'llab-quvvatlash xizmatiga yuboring.
quest	izlanish	Ularning adolat izlashi davom etdi.
quota	kvota	Jamoa sotuv kvotasini bajardi.
radar	radar	Bo'ron radarda ko'rindi.
radical	tub	Guruh tub islohotlarni taklif qildi.
rage	g'azab	Uning g'azabi tezda so'ndi.
raid	reyd	Politsiya tonggi reydni o'tkazdi.
rally	miting	Tarafdorlar shahar markazidagi mitingga qo'shilishdi.
ranking	reyting	Universitet o'z reytingini yaxshiladi.
rape	zo'rlash	Zo'rlash ishlari ehtiyotkorlik bilan tergov qilishni talab qiladi.
ratio	nisbat	Sinfda o'qituvchilar nisbati past.
rational	oqilona	Uning qarori oqilona edi.
ray	nur	Quyosh nuri kirib keldi.
readily	bajonidil	U taklifni bajonidil qabul qildi.
realization	anglab yetish	Buni anglab yetish uning rejalarini o'zgartirdi.
realm	soha	Bu savol boshqa sohaga tegishli.
rear	orqa	Bugun orqa eshikdan kiring.
reasoning	mulohaza	Uning mulohazasi aniq edi.
reassure	ishontirmoq	Shifokor uni ishontirishga harakat qildi.
rebel	isyonchi	Isyonchi yetakchi qochib qutuldi.
rebellion	qo'zg'olon	Muzokaralardan so'ng qo'zg'olon tugadi.
recipient	qabul qiluvchi	Qabul qiluvchi shaklni imzoladi.
reconstruction	qayta qurish	Suv toshqinidan keyin qayta qurish boshlandi.
recount1	aytib bermoq	U voqealarni aniq aytib bera oladi.
referendum	referendum	Referendum mamlakatni bo'lib yubordi.
reflection	mulohaza yuritish	Insho chuqurroq mulohaza yuritishni talab qildi.
reform	islohot	Islohot davlat xizmatlarini yaxshiladi.
refuge	boshpana	Oila xorijdan boshpana izladi.
refusal	rad etish	Uning rad etishi qo'mitani ajablantirdi.
regain	tiklamoq	U ishonchni tiklash uchun qattiq ishladi.
regardless	qat'i nazar	Ular tanqidlarga qaramay davom etishdi.
regime	rejim	Rejim so'z erkinligini chekladi.
regulator	nazoratchi	Nazoratchi kompaniyani jarimaga tortdi.
regulatory	tartibga soluvchi	Tartibga soluvchi organ tasdig'i bir necha oy davom etdi.
rehabilitation	reabilitatsiya	Reabilitatsiya unga yana yurishga yordam berdi.
reign	hukmronlik	Qirolning hukmronligi o'nlab yillar davom etdi.
rejection	rad etish	Rad etish uning ishonchiga putur yetkazdi.
relevance	dolzarblik	Ma'lumotlarning dolzarbligi cheklangan.
reliability	ishonchlilik	Favqulodda tizimlarda ishonchlilik muhimdir.
reluctant	istaksiz	U gapirishni xohlamasdi.
remainder	qolgan qism	Qolgan qismi xayriyaga ketdi.
remains	qoldiqlar	Qoldiqlar diqqat bilan o'rganib chiqildi.
remedy	chora	Qonun chora ko'radi.
reminder	eslatma	Elektron pochta foydali eslatma bo'ldi.
removal	olib tashlash	To'siqlarni olib tashlash savdoga yordam berdi.
render	holatga keltirmoq	Xato shartnomani haqiqiy emas deb topdi.
renew	yangilamoq	Tez orada pasportingizni yangilang.
renowned	mashhur	U o'zining tadqiqotlari bilan mashhur.
rental	ijara haqi	Ijara haqiga sug'urta kiradi.
replacement	zaxira	Zaxira qism bugun yetib keldi.
reportedly	xabarlarga ko'ra	Xabarlarga ko'ra, vazir kecha iste'foga chiqqan.
representation	vakillik	Adolatli vakillik muhim bo'lib qolmoqda.
reproduce	ko'paymoq	Bu o'simliklar tez ko'payadi.
reproduction	nusxa ko'chirish	Raqamli nusxa ko'chirish kirishni yaxshiladi.
republic	respublika	Respublika saylov o'tkazdi.
resemble	o'xshamoq	Ikki dizayn bir-biriga juda o'xshaydi.
reside	istiqomat qilmoq	Ular chegara yaqinida yashaydilar.
residence	qarorgoh	Uning rasmiy qarorgohi qoriqlanadi.
residential	turar joy	Hudud asosan turar joylardan iborat.
residue	qoldiq	Tozalovchi vosita yopishqoq qoldiq qoldirdi.
resignation	iste'fo	Uning iste'fosi boshqaruv kengashini hayratda qoldirdi.
resistance	qarshilik	O'zgarishlarga qarshilik kuchli edi.
respective	tegishli	Ular o'zlarining tegishli idoralariga qaytishdi.
respectively	mos ravishda	Ballar mos ravishda 80 va 90 edi.
restoration	tiklash	Binoni tiklash uchun yillar kerak bo'ldi.
restraint	vazminlik	Politsiya vazminlik ko'rsatdi.
resume	qayta boshlamoq	Darslar kelasi haftadan qayta boshlanadi.
retreat	chekinish	Armiya chekinishni boshladi.
retrieve	qaytarib olmoq	U faylni qaytarib oldi.
revelation	fosh qilish	Fosh qilingan ma'lumot uning obro'siga putur yetkazdi.
revenge	qasos	U haqorat uchun qasos olishni xohladi.
reverse	bekor qilmoq	Sud qarorni bekor qildi.
revival	tiklanish	Shahar iqtisodiy tiklanishni ko'rdi.
revive	jonlantirmoq	Festival mahalliy an'analarni jonlantirishga yordam berdi.
revolutionary	inqilobiy	Ixtiro inqilobiy edi.
rhetoric	balandparvoz gaplar	Uning balandparvoz gaplari tajovuzkor eshitildi.
rifle	miltiq	Miltiq xavfsiz joyda saqlangan.
riot	isyon	Isyon bir necha soat davom etdi.
rip	yirtmoq	Qog'ozni ehtiyotkorlik bilan yirting.
ritual	marosim	Marosim hosil yig'im-terimini anglatadi.
robust	mustahkam	Tizim mustahkam.
rock	silkitmoq	Portlash qishloqni larzaga keltirdi.
rod	xoda	Parda xodada osilib turibdi.
rotate	aylantirmoq	Tutqichni sekin aylantiring.
rotation	almashinish	Ekinlarni almashlab ekish tuproqni himoya qiladi.
ruling	qaror	Sud qaror chiqardi.
rumour	mish-mish	Mish-mish tez tarqaldi.
sack	ishdan bo'shatmoq	Kengash murabbiyni ishdan bo'shatishi mumkin.
sacred	muqaddas	Ma'bad muqaddasdir.
sacrifice	qurbonlik	Ota-onalar tez-tez qurbonlik qilishadi.
saint	avliyo	Cherkov mahalliy avliyoni ulug'laydi.
sake	xotiri uchun	U uning xotiri uchun qoldi.
sanction	sanksiya	Sanksiya xalqaro savdoga ta'sir ko'rsatdi.
say	so'z	Xodimlar jadvallarni tuzishda o'z so'zlariga ega edilar.
scattered	sochilgan	Sochilgan qog'ozlar stolni qoplab olgandi.
sceptical	ishonchsiz	U bu da'voga ishonchsizlik bildirdi.
scope	ko'lam	Loyiha ko'lami kengaydi.
screw	vint	Vintni ehtiyotkorlik bilan torting.
scrutiny	sinchkovlik bilan tekshirish	Kelishuv jamoatchilik nazoratiga tushdi.
seal	muhrlamoq	Jo'natishdan oldin konvertni muhrlang.
secular	dunyoviy	Maktab dunyoviy o'quv dasturiga amal qiladi.
seemingly	ko'rinishidan	Vazifa ko'rinishidan oddiy edi.
segment	qism	Yakuniy qism qisqaroq edi.
seize	musodara qilmoq	Politsiya hujjatlarni musodara qildi.
seldom	kamdan-kam	U darslarni kamdan-kam qoldiradi.
selective	tanlab oluvchi	Dastur juda qattiq tanlab oladi.
senator	senator	Senator qonun loyihasini qo'llab-quvvatladi.
sensation	shov-shuv	Kashfiyot shov-shuvga sabab bo'ldi.
sensitivity	sezgirlik	Bu masala sezgirlikni talab qiladi.
sentiment	kayfiyat	Jamoatchilik kayfiyati tezda o'zgardi.
separation	ajralish	Ajralish qiyin bo'ldi.
serial	seriya	Seriya raqami yo'q.
settlement	kelishuv	Kelishuv kelishmovchilikni yakunladi.
set-up	o'rnatish	O'rnatish butun tongni oldi.
sexuality	jinsiylik	Kurs shaxsiyat va jinsiylikni muhokama qiladi.
shareholder	aksiyador	Bir aksiyador boshqaruv kengashiga savol berdi.
shatter	barbod qilmoq	Yangilik uning ishonchini barbod qildi.
shed	qisqartirmoq	Kompaniya ish o'rinlarini qisqartiradi.
sheer	ulkan	Uning ulkan o'lchami hammani hayratda qoldirdi.
shipping	yuk tashish	Yuk tashish xarajatlari oshdi.
shoot	suratga olish	Suratga olish ishlari erta tugadi.
shrink	qisqarmoq	Ko'ylak kirmayishi mumkin.
shrug	yelka qismoq	U yengilgina yelka qisib qo'ydi.
sigh	xo'rsinmoq	U yengil tortib xo'rsindi.
simulate	modellashtirmoq	Dastur transport harakatini modellashtirishi mumkin.
simulation	simulyatsiya	Simulyatsiya suv toshqinini bashorat qildi.
simultaneously	bir vaqtda	Ikkita signal bir vaqtda chalindi.
sin	gunoh	Mag'rurlik gunoh hisoblanadi.
situated	joylashgan	Mehmonxona shahar markazida joylashgan.
sketch	xomaki rasm	U tezda xomaki rasm chizdi.
skip	o'tkazib yubormoq	Nonushtani o'tkazib yubormang.
slam	qattiq yopmoq	U eshikni qattiq yopishi mumkin.
slap	tarsillatib urmoq	Stolga urmang.
slavery	quldorlik	Quldorlik mintaqa tarixini shakllantirgan.
slot	vaqt oralig'i	Onlayn tarzda vaqt oralig'ini band qiling.
smash	chilparchin bo'lmoq	Stakan polda chilparchin bo'ldi.
snap	qarsillab sinmoq	Shox shamolda qarsillab sindi.
soak	ivitmoq	Loviya tunda ivitib qo'yilsin.
soar	keskin oshmoq	Yoqilg'i narxi keskin oshishi mumkin.
socialist	sotsialistik	Partiya sotsialistik siyosatni qo'llab-quvvatlaydi.
sole	yagona	U yagona tirik qolgan inson edi.
solely	faqat	Qaror faqat uniki edi.
solicitor	advokat	Advokat shartnomani tayyorladi.
solidarity	birdamlik	Ishchilar birdamlik bildirishdi.
solo	yakkaxon	U yakkaxon albomini chiqardi.
sound	ishonchli	Reja oqilona va amaliydir.
sovereignty	suverenitet	Shartnoma milliy suverenitetni himoya qildi.
spam	spam	Inboks spamga to'ldi.
span	qamrab olmoq	Ko'prik daryo ustidan o'tadi.
spark	keltirib chiqarmoq	Kichik bir izoh bahsga sabab bo'ldi.
specialized	ixtisoslashtirilgan	Klinika ixtisoslashtirilgan yordam ko'rsatadi.
specification	texnik talab	Dizayn barcha texnik talablarga javob beradi.
specimen	namuna	Namuna xavfsiz saqlandi.
spectacle	tomosha	Parad yorqin tomosha bo'ldi.
spectrum	spektr	Fikrlar keng spektrni qamrab oladi.
spell	davr	Quruq davr haftalab davom etdi.
sphere	soha	Siyosat madaniy sohaga kirib bordi.
spin	aylanmoq	G'ildiraklar aylana boshladi.
spine	umurtqa	Jarohat uning umurtqasiga ta'sir qildi.
spotlight	diqqat markazi	Mojaro uni diqqat markaziga olib chiqdi.
spouse	turmush o'rtog'i	Uning turmush o'rtog'i marosimda ishtirok etdi.
spy	josus	Josus shifrlangan xabarlarni yubordi.
squad	guruh	Qutqaruv guruhi tez yetib keldi.
squeeze	siqmoq	Tutqichni sekin siqing.
stab	pichoqlamoq	Hisobotda pichoq jarohati tasvirlangan.
stability	barqarorlik	Siyosat barqarorlik olib keldi.
stabilize	barqarorlashtirmoq	Dori uni barqarorlashtirishga yordam berdi.
stake	ulush	Sarmoyadorlarning bu yerda ulushi bor.
standing	nufuz	Uning partiyadagi nufuzi oshdi.
stark	yaqqol	Natijalar yaqqol farqni ko'rsatdi.
statistical	statistik	Tadqiqotda statistik usullardan foydalanildi.
steer	yo'naltirmoq	U bahsni yo'naltirishga harakat qildi.
stem	poya	Bo'ronda poya sindi.
stereotype	stereotip	Film stereotipga qarshi chiqdi.
stimulus	rag'bat	Paket iqtisodiy rag'bat berdi.
stir	aralashtirmoq	Sousni sekin aralashtiring.
storage	saqlash joyi	Bino xavfsiz saqlash joyini taklif etadi.
straightforward	tushunarli	Ko'rsatmalar juda tushunarli edi.
strain	zo'riqish	Uzoq kechikish zo'riqishga sabab bo'ldi.
strand	tola	Bir tola soch tushdi.
strategic	strategik	Kompaniya strategik sarmoya kiritdi.
strip (long narrow piece)	tasma	Qog'ozning ingichka tasmasini kesib oling.
strip (remove clothes/a layer)	qirib tashlamoq	Eski bo'yoqni ehtiyotkorlik bilan qirib tashlang.
strive	intilmoq	Ular mukammallikka intilishadi.
structural	tizimli	Ko'prikda tizimli shikastlanish bor.
stumble	qoqinmoq	U zinalarda qoqinib ketdi.
stun	hayratga solmoq	Yangilik odamlarni hayratga solishi mumkin.
submission	topshirish	Topshirish muddati o'tdi.
subscriber	obunachi	Har bir obunachi yangiliklarni oladi.
subscription	obuna	Obuna avtomatik ravishda uzaytiriladi.
subsidy	subsidiya	Subsidiya yoqilg'i narxini tushirdi.
substantial	salmoqli	Loyihaga salmoqli mablag' kerak.
substantially	sezilarli darajada	Narx sezilarli darajada oshdi.
substitute	o'rnini bosuvchi	Sutdan o'rnini bosuvchi sifatida foydalaning.
substitution	almashtirish	Almashtirish retseptni o'zgartirdi.
subtle	nozik	Rasmda nozik tafsilotlar bor.
suburban	shahar atrofidagi	Ular shahar atrofidagi hududga ko'chib o'tishdi.
succession	ketma-ketlik	Inqiroz ketma-ket omadsizliklar ortidan keldi.
successive	ketma-ket kelgan	Ketma-ket kelgan hukumatlar muammoni e'tiborsiz qoldirdi.
successor	voris	Voris dushanba kuni ish boshlaydi.
suck	so'rmoq	Mashina changni so'rib olishi mumkin.
sue	sudga bermoq	U kompaniyani sudga berishga qaror qildi.
suicide	o'z joniga qasd qilish	O'z joniga qasd qilishning oldini olish doimiy moliyalashtirishni talab qiladi.
suite	lyuks xona	Mehmonxonaning lyuks xonasi daryo tomonga qaragan edi.
summit	sammit	Yetakchilar sammitda uchrashishdi.
superb	ajoyib	Ijro ajoyib edi.
superior	ustun	Yangi model ancha ustun.
supervise	nazorat qilmoq	U stajyorlarni nazorat qiladi.
supervision	nazorat	Bolalar kattalar nazoratiga muhtoj.
supervisor	nazoratchi	Avval rahbaringizdan so'rang.
supplement	qo'shimcha	Hisobot o'z ichiga qo'shimchani ham oladi.
supportive	qo'llab-quvvatlaydigan	Uning oilasi qo'llab-quvvatladi.
supposedly	taxminan	Fayl o'chirib tashlangan emish.
suppress	bostirmoq	Rejim namoyishlarni bostirishga urindi.
supreme	oliy	Oliy sud ishni ko'rib chiqdi.
surge	keskin ko'tarilish	To'satdan keskin ko'tarilish uskunani shikastladi.
surgical	jarrohlik	Bemor jarrohlik davolanishiga muhtoj.
surplus	ortiqcha qism	Omborxonada ortiqcha mahsulot bor.
surrender	taslim bo'lmoq	Askarlar taslim bo'lishga rozi bo'lishdi.
surveillance	kuzatuv	Kuzatuv kameralari kirish qismini yozib oldi.
suspension	chetlatish	Chetlatish ikki hafta davom etdi.
suspicion	shubha	Uning xulq-atvori shubha uyg'otdi.
suspicious	shubhali	Posilka shubhali ko'rinardi.
sustain	saqlab qolmoq	Loyiha mahalliy ish o'rinlarini saqlab qolishi mumkin.
swing	tebranmoq	Eshik tebrana boshladi.
sword	qilich	Qilich devorda osilgan edi.
symbolic	ramziy	Bu harakat ramziy ma'noga ega edi.
syndrome	sindrom	Sindrom xotiraga ta'sir qiladi.
synthesis	sintez	Bob o'ziga xos umumlashtirishni taklif etadi.
systematic	tizimli	Tahlil tizimli edi.
tactic	taktika	Taktika tezda muvaffaqiyatsizlikka uchradi.
tactical	taktik	Jamoa taktik o'zgarish qildi.
taxpayer	soliq to'lovchi	Ko'prik soliq to'lovchilar puli hisobiga qurildi.
tempt	qiziqtirmoq	Taklif sarmoyadorlarni qiziqtirishi mumkin.
tenant	ijarachi	Ijarachi ijara pulini erta to'ladi.
tender	muloyim	U muloyimlik bilan jilmaydi.
tenure	ishlash muddati	Uning ishlash muddati olti yil davom etdi.
terminal	davosiz	Bemorda davosiz kasallik bor edi.
terminate	bekor qilmoq	Kompaniya shartnomani bekor qilishi mumkin.
terrain	relyef	Relyef murakkab edi.
terrific	ajoyib	Manzara ajoyib edi.
testify	guvohlik bermoq	U guvohlik berishga rozi bo'ldi.
testimony	guvohlik	Uning guvohligi batafsil edi.
texture	tekstura	Matoning tuzilishi dag'al.
thankfully	xayriyatki	Xayriyatki, hech kim jarohat olmadi.
theatrical	teatrlashtirilgan	Nutq teatrlashtirilgandek eshitildi.
theology	ilohiyot	U universitetda ilohiyotni o'rgangan.
theoretical	nazariy	Model sof nazariydir.
thereafter	shundan so'ng	Shundan so'ng qoidalar o'zgardi.
thereby	shu tariqa	O'zgarish xarajatlarni kamaytirdi, shu tariqa ish o'rinlari saqlab qolindi.
thoughtful	o'ylab qilingan	Uning javobi o'ylab qilingan edi.
thought-provoking	o'ylantiradigan	Maqola o'ylantiradigan edi.
thread	ip	Ip osongina uzildi.
threshold	chegara	Ovozlar chegaradan o'tdi.
thrilled	hayajonlangan	U yangilikdan juda hayajonlandi.
thrive	gullab-yashnamoq	Kichik biznes bu yerda gullab-yashnashi mumkin.
tide	suv ko'tarilishi	Suv ko'tarilishi tezlashdi.
tighten	mahkamlamoq	Qopqoqni mahkamlang.
timber	yog'och	Uy qurilishida mahalliy yog'ochdan foydalanilgan.
timely	o'z vaqtida	Ogohlantirish o'z vaqtida bo'ldi.
tobacco	tamaki	Tamaki savdosi pasaydi.
tolerance	bag'rikenglik	Siyosat bag'rikenglikni rag'batlantiradi.
tolerate	toqat qilmoq	Biz zo'ravonlikka toqat qila olmaymiz.
toll	talofat	Bo'ron og'ir talofat yetkazdi.
top	oshib ketmoq	Savdo o'tgan yilgi rekorddan oshib ketishi mumkin.
torture	qiynoq	Shartnoma qiynoqlarni mutlaqo taqiqlaydi.
