source_headword	TA	example_TA
wooden	மரத்தால் ஆன	மரத்தால் ஆன பெட்டி கனமாக உள்ளது.
working	வேலை செய்யும்	வேலை நாள் முடிந்தது.
worried	கவலைப்பட்ட	நான் இன்று கவலைப்பட்டதாக உணர்கிறேன்.
worry	கவலைப்படு	இப்போது கவலைப்படாதே.
worse	மேலும் மோசமான	இந்த வலி மேலும் மோசமானது.
worst	மிக மோசமான	அது மிக மோசமான நாள்.
wow	ஆஹா	ஆஹா, அது அற்புதம்!
yet	இன்னும்	நாம் இன்னும் அங்கேயா?
yours	உன்னுடையது	இந்த புத்தகம் உன்னுடையது.
zero	பூஜ்யம்	பூஜ்யம் வரை எண்ணு.
