hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
5024:险	险	险	peligroso; arriesgado	El camino de montaña es peligroso, así que hay que conducir más despacio.	dangereux; risqué	La route de montagne est dangereuse, il faut donc conduire plus lentement.	gefährlich; riskant	Die Bergstraße ist gefährlich, deshalb muss man langsamer fahren.	pericoloso; rischioso	La strada di montagna è pericolosa, quindi bisogna guidare più piano.	perigoso; arriscado	A estrada da montanha é perigosa, então é preciso dirigir mais devagar.	опасный; рискованный	Горная дорога опасная, поэтому за рулем нужно ехать медленнее.
5026:限	限	限	limitar; restringir	Cada persona puede comprar como máximo dos boletos.	limiter; restreindre	Chaque personne est limitée à deux billets.	begrenzen; einschränken	Jede Person darf höchstens zwei Tickets kaufen.	limitare; restringere	Ogni persona può comprare al massimo due biglietti.	limitar; restringir	Cada pessoa pode comprar no máximo dois ingressos.	ограничивать	Каждому человеку разрешено купить не больше двух билетов.
5027:线	线	线	la línea; el hilo	Por favor, corta siguiendo esta línea.	la ligne; le fil	Veuillez couper le long de cette ligne.	die Linie; der Faden	Bitte schneiden Sie entlang dieser Linie.	la linea; il filo	Per favore, taglia lungo questa linea.	a linha; o fio	Por favor, corte ao longo desta linha.	линия; нить	Пожалуйста, режьте вдоль этой линии.
5028:现存	现存	现存	existente; conservado actualmente	Los datos existentes no bastan para demostrar esta conclusión.	existant; conservé actuellement	Les documents existants ne suffisent pas à prouver cette conclusion.	vorhanden; erhalten	Die vorhandenen Unterlagen reichen nicht aus, um diese Schlussfolgerung zu belegen.	esistente; attualmente conservato	I materiali esistenti non bastano a dimostrare questa conclusione.	existente; preservado atualmente	Os materiais existentes não bastam para provar esta conclusão.	существующий; сохранившийся	Существующих материалов недостаточно, чтобы доказать этот вывод.
5029:限度	限度	限度	el límite; grado	Su paciencia ya llegó al límite.	la limite; le degré	Sa patience a déjà atteint sa limite.	die Grenze; das Maß	Seine Geduld hat bereits ihre Grenze erreicht.	il limite; il grado	La sua pazienza ha già raggiunto il limite.	o limite; grau	A paciência dele já chegou ao limite.	предел; степень	Его терпение уже достигло предела.
5030:现货	现货	现货	mercancía en stock; disponible	Este modelo de teléfono está en stock y puede enviarse hoy.	en stock; disponible	Ce modèle de téléphone est en stock et peut être expédié aujourd'hui.	Lagerware; verfügbar	Dieses Handymodell ist vorrätig und kann heute verschickt werden.	merce disponibile; in stock	Questo modello di telefono è disponibile e può essere spedito oggi.	produto em estoque; disponível	Este modelo de celular está em estoque e pode ser enviado hoje.	товар в наличии	Эта модель телефона есть в наличии и может быть отправлена сегодня.
5033:限于	限于	限于	limitarse a; estar limitado a	La inscripción está limitada a treinta personas.	se limiter à; être limité à	Les inscriptions sont limitées à trente personnes.	beschränkt sein auf; begrenzt sein auf	Die Anmeldung ist auf dreißig Personen begrenzt.	limitarsi a; essere limitato a	L'iscrizione è limitata a trenta persone.	limitar-se a; estar limitado a	A inscrição está limitada a trinta pessoas.	ограничиваться; быть ограниченным	Регистрация ограничена тридцатью участниками.
5036:相传	相传	相传	según la tradición; se dice	Se dice que este puente tiene trescientos años de historia.	dit-on; selon la tradition	On dit que ce pont a trois cents ans d'histoire.	der Überlieferung nach; es heißt	Der Überlieferung nach ist diese Brücke dreihundert Jahre alt.	secondo la tradizione; si dice	Si dice che questo ponte abbia trecento anni di storia.	segundo a tradição; dizem que	Dizem que esta ponte tem trezentos anos de história.	по преданию; говорят, что	По преданию, этому мосту триста лет.
5038:相连	相连	相连	estar conectado; unirse	Las dos ciudades están conectadas por tren de alta velocidad.	être relié; être connecté	Les deux villes sont reliées par le train à grande vitesse.	verbunden sein	Die beiden Städte sind durch eine Hochgeschwindigkeitsbahn verbunden.	essere collegato; essere connesso	Le due città sono collegate dalla ferrovia ad alta velocità.	estar conectado; estar ligado	As duas cidades são ligadas por trem de alta velocidade.	быть соединенным	Два города соединены высокоскоростной железной дорогой.
5039:香水	香水	香水	el perfume	A ella no le gustan los perfumes con un olor demasiado fuerte.	le parfum	Elle n'aime pas les parfums à l'odeur trop forte.	das Parfüm	Sie mag kein Parfüm mit zu starkem Duft.	il profumo	A lei non piacciono i profumi dall'odore troppo intenso.	o perfume	Ela não gosta de perfume com cheiro forte demais.	духи; парфюм	Она не любит духи со слишком сильным запахом.
5052:小偷儿	小偷儿	小偷儿	el ladrón	El ladrón fue atrapado rápidamente por la policía.	le voleur	Le voleur a été rapidement arrêté par la police.	der Dieb	Der Dieb wurde schnell von der Polizei gefasst.	il ladro	Il ladro è stato preso rapidamente dalla polizia.	o ladrão	O ladrão foi rapidamente pego pela polícia.	вор	Вора быстро поймала полиция.
5053:笑容	笑容	笑容	la sonrisa	La sonrisa en su rostro tranquilizó a todos.	le sourire	Le sourire sur son visage a rassuré tout le monde.	das Lächeln	Das Lächeln auf ihrem Gesicht beruhigte alle.	il sorriso	Il sorriso sul suo viso ha rassicurato tutti.	o sorriso	O sorriso no rosto dela tranquilizou todos.	улыбка	Улыбка на ее лице всех успокоила.
5054:效应	效应	效应	el efecto	Todavía hay que observar el efecto de esta política.	l'effet	Il faut encore observer l'effet de cette politique.	die Wirkung; der Effekt	Die Wirkung dieser Politik muss noch beobachtet werden.	l'effetto	Bisogna ancora osservare l'effetto di questa politica.	o efeito	O efeito desta política ainda precisa ser observado.	эффект	Эффект этой политики еще нужно наблюдать.
5060:心爱	心爱	心爱	querido; favorito	Llevó su cámara favorita al viaje.	cher; bien-aimé	Il a emporté son appareil photo préféré en voyage.	geliebt; liebgewonnen	Er nahm seine geliebte Kamera mit auf die Reise.	amato; preferito	Ha portato in viaggio la sua macchina fotografica preferita.	querido; favorito	Ele levou sua câmera favorita para a viagem.	любимый	Он взял в поездку любимую камеру.
5061:心底	心底	心底	el fondo del corazón	Ella agradeció la ayuda del profesor desde el fondo del corazón.	le fond du cœur	Elle a remercié le professeur du fond du cœur pour son aide.	tief im Herzen	Sie dankte dem Lehrer tief im Herzen für seine Hilfe.	il fondo del cuore	Ha ringraziato l'insegnante dal profondo del cuore per l'aiuto.	o fundo do coração	Ela agradeceu a ajuda do professor do fundo do coração.	глубина души	Она от всего сердца поблагодарила учителя за помощь.
5062:新款	新款	新款	el nuevo modelo; nuevo estilo	Esta tienda acaba de poner a la venta un lote de zapatos nuevos.	le nouveau modèle; le nouveau style	Ce magasin vient de mettre en rayon un lot de nouvelles chaussures.	das neue Modell; die neue Ausführung	Dieses Geschäft hat gerade eine Reihe neuer Schuhmodelle ins Sortiment aufgenommen.	il nuovo modello; il nuovo stile	Questo negozio ha appena messo in vendita una serie di scarpe nuove.	o novo modelo; novo estilo	Esta loja acabou de colocar à venda um lote de sapatos novos.	новая модель; новинка	В этом магазине только что выставили партию новой обуви.
5064:新媒体	新媒体	新媒体	los nuevos medios	Los nuevos medios cambiaron la forma en que la gente obtiene información.	les nouveaux médias	Les nouveaux médias ont changé la façon dont les gens obtiennent l'information.	die neuen Medien	Neue Medien haben verändert, wie Menschen Informationen erhalten.	i nuovi media	I nuovi media hanno cambiato il modo in cui le persone ottengono informazioni.	as novas mídias	As novas mídias mudaram a forma como as pessoas obtêm informações.	новые медиа	Новые медиа изменили способ получения информации людьми.
5065:心目	心目	心目	en la mente; a los ojos de alguien	En mi mente, ella es una escritora excelente.	dans l'esprit; aux yeux de quelqu'un	Dans mon esprit, elle est une excellente écrivaine.	in jemandes Augen; in der Vorstellung	In meinen Augen ist sie eine ausgezeichnete Schriftstellerin.	nella mente; agli occhi di qualcuno	Nella mia mente, lei è un'eccellente scrittrice.	na opinião de alguém; na mente	Na minha opinião, ela é uma excelente escritora.	в представлении; в глазах	В моем представлении она отличный писатель.
5066:新能源	新能源	新能源	las nuevas energías; energía renovable	La industria de nuevas energías se está desarrollando rápidamente.	les nouvelles énergies	Le secteur des nouvelles énergies se développe rapidement.	die neuen Energien	Die Branche der neuen Energien entwickelt sich schnell.	le nuove energie	Il settore delle nuove energie si sta sviluppando rapidamente.	as novas energias	O setor de novas energias está se desenvolvendo rapidamente.	новая энергетика; новые источники энергии	Отрасль новой энергетики быстро развивается.
5069:新兴	新兴	新兴	emergente	Las industrias emergentes han atraído a muchos jóvenes.	émergent	Les secteurs émergents attirent beaucoup de jeunes.	aufstrebend; neu entstehend	Aufstrebende Branchen ziehen viele junge Menschen an.	emergente	I settori emergenti attirano molti giovani.	emergente	Setores emergentes atraem muitos jovens.	новый; развивающийся	Новые развивающиеся отрасли привлекают многих молодых людей.
5071:心愿	心愿	心愿	el deseo profundo	Por fin cumplió un deseo que tenía desde hacía muchos años.	le souhait profond	Elle a enfin réalisé un souhait qu'elle portait depuis des années.	der Herzenswunsch	Sie erfüllte endlich einen langjährigen Herzenswunsch.	il desiderio profondo	Ha finalmente realizzato un desiderio coltivato per molti anni.	o desejo profundo	Ela finalmente realizou um desejo de muitos anos.	заветное желание	Она наконец исполнила свое многолетнее желание.
5075:兴起	兴起	兴起	surgir; cobrar auge	El aprendizaje en línea ha surgido en muchas regiones.	émerger; prendre son essor	L'apprentissage en ligne prend son essor dans de nombreuses régions.	aufkommen; entstehen	Online-Lernen ist in vielen Regionen aufgekommen.	sorgere; affermarsi	L'apprendimento online si è affermato in molte regioni.	surgir; ganhar força	O aprendizado online surgiu em muitas regiões.	возникать; набирать силу	Онлайн-обучение стало активно развиваться во многих регионах.
5076:型号	型号	型号	el modelo	Por favor, escribe el modelo de la computadora en el formulario.	le modèle	Veuillez écrire le modèle de l'ordinateur dans le formulaire.	das Modell	Bitte tragen Sie das Computermodell in das Formular ein.	il modello	Per favore, scrivi il modello del computer nel modulo.	o modelo	Por favor, escreva o modelo do computador no formulário.	модель; номер модели	Пожалуйста, впишите модель компьютера в форму.
5078:性价比	性价比	性价比	la relación calidad-precio	Este hotel tiene una muy buena relación calidad-precio.	le rapport qualité-prix	Cet hôtel offre un très bon rapport qualité-prix.	das Preis-Leistungs-Verhältnis	Dieses Hotel hat ein sehr gutes Preis-Leistungs-Verhältnis.	il rapporto qualità-prezzo	Questo hotel ha un ottimo rapporto qualità-prezzo.	o custo-benefício	Este hotel tem um ótimo custo-benefício.	соотношение цены и качества	У этого отеля очень хорошее соотношение цены и качества.
5081:修订	修订	修订	revisar; corregir	El editor está revisando este manual.	réviser; corriger	L'éditeur révise ce manuel.	überarbeiten; revidieren	Der Redakteur überarbeitet dieses Lehrbuch.	revisionare; correggere	L'editor sta revisionando questo manuale.	revisar; corrigir	O editor está revisando este material didático.	пересматривать; редактировать	Редактор сейчас пересматривает этот учебник.
5083:袖子	袖子	袖子	la manga	Las mangas de esta chaqueta son un poco largas.	la manche	Les manches de cette veste sont un peu longues.	der Ärmel	Die Ärmel dieser Jacke sind etwas lang.	la manica	Le maniche di questa giacca sono un po' lunghe.	a manga	As mangas deste casaco são um pouco compridas.	рукав	У этой куртки рукава немного длинные.
5088:选修	选修	选修	cursar como optativa	El próximo semestre quiero cursar psicología como optativa.	suivre comme option	Je veux suivre la psychologie comme option le semestre prochain.	als Wahlfach belegen	Ich möchte nächstes Semester Psychologie als Wahlfach belegen.	scegliere come corso opzionale	Il prossimo semestre voglio scegliere psicologia come corso opzionale.	cursar como eletiva	No próximo semestre quero cursar psicologia como disciplina eletiva.	выбрать факультативно	В следующем семестре я хочу выбрать психологию как факультатив.
5089:学会	学会	学会	la asociación académica	Se unió a la asociación local de lingüística.	la société savante; l'association	Il a rejoint la société locale de linguistique.	die Fachgesellschaft	Er trat der örtlichen sprachwissenschaftlichen Fachgesellschaft bei.	l'associazione scientifica	È entrato nell'associazione locale di linguistica.	a sociedade acadêmica; associação	Ele entrou na associação local de linguística.	научное общество; ассоциация	Он вступил в местное лингвистическое общество.
5092:学员	学员	学员	el alumno; participante	En el curso de formación hay veinte alumnos.	le stagiaire; l'apprenant	Il y a vingt stagiaires dans la formation.	der Kursteilnehmer	In dem Schulungskurs gibt es zwanzig Teilnehmer.	il corsista; partecipante	Nel corso di formazione ci sono venti corsisti.	o aluno; participante	Na turma de treinamento há vinte alunos.	слушатель курса; учащийся	На курсе обучения двадцать слушателей.
5093:血管	血管	血管	el vaso sanguíneo	El médico dijo que este vaso sanguíneo necesita un examen adicional.	le vaisseau sanguin	Le médecin a dit que ce vaisseau sanguin nécessite un examen supplémentaire.	das Blutgefäß	Der Arzt sagte, dieses Blutgefäß müsse weiter untersucht werden.	il vaso sanguigno	Il medico ha detto che questo vaso sanguigno richiede ulteriori controlli.	o vaso sanguíneo	O médico disse que este vaso sanguíneo precisa de mais exames.	кровеносный сосуд	Врач сказал, что этот кровеносный сосуд нужно дополнительно обследовать.
5094:血型	血型	血型	el grupo sanguíneo	Al registrarse, hay que indicar el grupo sanguíneo.	le groupe sanguin	Lors de l'inscription, il faut indiquer son groupe sanguin.	die Blutgruppe	Bei der Anmeldung muss man seine Blutgruppe angeben.	il gruppo sanguigno	Al momento dell'iscrizione bisogna indicare il proprio gruppo sanguigno.	o tipo sanguíneo	Ao se inscrever, é preciso informar o tipo sanguíneo.	группа крови	При регистрации нужно указать свою группу крови.
5096:血液	血液	血液	la sangre	El ejercicio puede favorecer la circulación de la sangre.	le sang	L'exercice peut favoriser la circulation du sang.	das Blut	Bewegung kann die Blutzirkulation fördern.	il sangue	L'esercizio può favorire la circolazione del sangue.	o sangue	O exercício pode melhorar a circulação do sangue.	кровь	Физические упражнения способствуют кровообращению.
5098:寻求	寻求	寻求	buscar; procurar	Están buscando una solución mejor.	chercher; rechercher	Ils cherchent une meilleure solution.	suchen; anstreben	Sie suchen nach einer besseren Lösung.	cercare; ricercare	Stanno cercando una soluzione migliore.	buscar; procurar	Eles estão buscando uma solução melhor.	искать; стремиться найти	Они ищут лучшее решение.
5101:淹	淹	淹	inundar; sumergir	La lluvia intensa inundó la carretera en la zona baja.	inonder; submerger	La forte pluie a inondé la route en contrebas.	überfluten; unter Wasser setzen	Der starke Regen überschwemmte die tiefer gelegene Straße.	allagare; sommergere	La forte pioggia ha allagato la strada più bassa.	inundar; submergir	A chuva forte inundou a estrada na parte baixa.	затопить; залить	Сильный дождь затопил низкий участок дороги.
5103:严	严	严	estricto; severo	La escuela es muy estricta con la disciplina en los exámenes.	strict; sévère	L'école est très stricte sur la discipline pendant les examens.	streng; schwerwiegend	Die Schule ist bei der Prüfungsdisziplin sehr streng.	severo; rigoroso	La scuola è molto rigorosa sulla disciplina degli esami.	rigoroso; severo	A escola é muito rigorosa quanto à disciplina nos exames.	строгий; суровый	В школе очень строго относятся к дисциплине на экзаменах.
5111:研讨	研讨	研讨	debatir; estudiar	Los expertos están debatiendo un nuevo plan de tratamiento.	discuter et étudier	Les experts étudient et discutent un nouveau plan de traitement.	beraten; erörtern	Fachleute beraten über einen neuen Behandlungsplan.	discutere; esaminare	Gli esperti stanno discutendo un nuovo piano di cura.	discutir; estudar	Especialistas estão discutindo um novo plano de tratamento.	обсуждать; прорабатывать	Эксперты обсуждают новый план лечения.
5113:言语	言语	言语	palabras; lenguaje	Sus palabras fueron muy sinceras.	paroles; langage	Ses paroles étaient très sincères.	Worte; Sprache	Seine Worte waren sehr aufrichtig.	parole; linguaggio	Le sue parole erano molto sincere.	palavras; fala	As palavras dele foram muito sinceras.	слова; речь	Его слова были очень искренними.
5114:炎症	炎症	炎症	inflamación	Este medicamento puede reducir la inflamación.	l'inflammation	Ce médicament peut réduire l'inflammation.	Entzündung	Dieses Medikament kann Entzündungen lindern.	infiammazione	Questo medicinale può ridurre l'infiammazione.	inflamação	Este medicamento pode reduzir a inflamação.	воспаление	Это лекарство может уменьшить воспаление.
5116:眼看	眼看	眼看	casi; pronto	Ya casi oscurece, así que deberíamos volver.	bientôt; presque	Il va bientôt faire nuit, alors nous devrions rentrer.	bald; fast	Es wird gleich dunkel, also sollten wir zurückgehen.	quasi; tra poco	Sta per fare buio, quindi dovremmo tornare indietro.	quase; logo	Está quase escurecendo, então devemos voltar.	вот-вот; на глазах	Уже темнеет, нам пора возвращаться.
5120:仰	仰	仰	mirar hacia arriba	El niño levantó la vista hacia las estrellas.	lever les yeux	L'enfant a levé les yeux vers les étoiles.	aufblicken	Das Kind blickte zu den Sternen hinauf.	guardare in alto	Il bambino guardò le stelle in alto.	olhar para cima	A criança olhou para as estrelas.	смотреть вверх	Ребенок поднял голову и посмотрел на звезды.
5122:养老	养老	养老	prepararse para la vejez; mantener a los mayores	Están planificando su vida de vejez después de la jubilación.	préparer sa vieillesse; subvenir aux vieux jours	Ils préparent leur vie de vieillesse après la retraite.	Altersvorsorge; für das Alter vorsorgen	Sie planen ihr Leben im Alter nach der Pensionierung.	provvedere alla vecchiaia; assistenza agli anziani	Stanno pianificando la vita da anziani dopo la pensione.	preparar a velhice; cuidar dos idosos	Eles estão planejando a vida na velhice depois da aposentadoria.	обеспечивать старость; готовиться к старости	Они планируют жизнь в старости после выхода на пенсию.
5123:养老院	养老院	养老院	residencia de ancianos	Esta residencia de ancianos está muy cerca del hospital.	maison de retraite; EHPAD	Cette maison de retraite est très proche de l'hôpital.	Pflegeheim; Seniorenheim	Dieses Seniorenheim liegt ganz in der Nähe des Krankenhauses.	casa di riposo	Questa casa di riposo è molto vicina all'ospedale.	casa de repouso; lar de idosos	Este lar de idosos fica muito perto do hospital.	дом престарелых; пансионат для пожилых	Этот дом престарелых находится очень близко к больнице.
5125:样	样	样	tipo; clase	Compró tres tipos de bocadillos.	sorte; type	Il a acheté trois sortes de snacks.	Art; Sorte	Er kaufte drei Sorten Snacks.	tipo; genere	Ha comprato tre tipi di snack.	tipo; variedade	Ele comprou três tipos de lanches.	вид; тип	Он купил три вида закусок.
5128:要么	要么	要么	o... o...; ya sea	O sales ahora o esperas hasta mañana.	soit... soit...	Soit tu pars maintenant, soit tu attends jusqu'à demain.	entweder... oder...	Entweder du gehst jetzt, oder du wartest bis morgen.	o... o...	O parti adesso o aspetti fino a domani.	ou... ou...	Ou você sai agora, ou espera até amanhã.	либо... либо...	Либо уходи сейчас, либо жди до завтра.
5130:野	野	野	silvestre; salvaje	En esta zona montañosa hay muchas flores silvestres.	sauvage; inculte	Il y a beaucoup de fleurs sauvages dans cette région montagneuse.	wild; unbebaut	In dieser Bergregion gibt es viele wilde Blumen.	selvatico; incolto	In questa zona montuosa ci sono molti fiori selvatici.	selvagem; silvestre	Há muitas flores silvestres nesta região montanhosa.	дикий; необработанный	В этом горном районе много диких цветов.
5131:也好	也好	也好	sea... o...; también está bien	Vayas o no, tienes que decírmelo.	que ce soit... ou...	Que tu y ailles ou non, tu dois me le dire.	ob... oder...	Ob du gehst oder nicht, du musst es mir sagen.	che... o...	Che tu vada o no, devi dirmelo.	quer... quer...	Quer você vá ou não, precisa me avisar.	будь то; ли... или...	Пойдешь ты или нет, ты должен мне сказать.
5132:野生	野生	野生	salvaje; silvestre	Aquí está prohibido capturar animales salvajes.	sauvage	Il est interdit de capturer des animaux sauvages ici.	wild; wildlebend	Hier ist es verboten, wilde Tiere zu fangen.	selvatico	Qui è vietato catturare animali selvatici.	selvagem; silvestre	É proibido capturar animais silvestres aqui.	дикий; дикорастущий	Здесь запрещено ловить диких животных.
5133:野外	野外	野外	campo; aire libre	Los estudiantes observaron plantas en el campo.	plein air; terrain	Les élèves ont observé des plantes sur le terrain.	Feld; freie Natur	Die Schüler beobachteten Pflanzen im Freien.	all'aperto; sul campo	Gli studenti hanno osservato le piante sul campo.	campo; ar livre	Os estudantes observaram plantas no campo.	полевая местность; на природе	Студенты наблюдали за растениями в полевых условиях.
5134:业	业	业	industria; sector	El sector servicios necesita más profesionales.	secteur; industrie	Le secteur des services a besoin de plus de professionnels.	Branche; Gewerbe	Die Dienstleistungsbranche braucht mehr Fachkräfte.	settore; industria	Il settore dei servizi ha bisogno di più professionisti.	setor; indústria	O setor de serviços precisa de mais profissionais.	отрасль; сфера	Сфере услуг нужно больше специалистов.
5139:衣食住行	衣食住行	衣食住行	necesidades básicas: ropa, comida, vivienda y transporte	Este informe analiza las necesidades básicas de los residentes urbanos.	besoins essentiels: habillement, nourriture, logement et transport	Ce rapport analyse les besoins essentiels des habitants de la ville.	Grundbedürfnisse des Alltags	Dieser Bericht analysiert die Grundbedürfnisse der Stadtbewohner.	bisogni essenziali della vita quotidiana	Questo rapporto analizza i bisogni essenziali dei residenti urbani.	necessidades básicas da vida	Este relatório analisa as necessidades básicas dos moradores urbanos.	базовые жизненные потребности	В этом отчете анализируются основные жизненные потребности городских жителей.
5140:医药	医药	医药	medicina; productos farmacéuticos	Los costos médicos y farmacéuticos han subido algo en los últimos años.	médecine; produits pharmaceutiques	Les coûts médicaux et pharmaceutiques ont un peu augmenté ces dernières années.	Medizin; Arzneimittel	Die Kosten für Medizin und Arzneimittel sind in den letzten Jahren etwas gestiegen.	medicina; farmaci	I costi medici e farmaceutici sono aumentati un po' negli ultimi anni.	medicina; produtos farmacêuticos	Os custos médicos e farmacêuticos subiram um pouco nos últimos anos.	медицина; фармацевтика	Расходы на медицину и лекарства за последние годы немного выросли.
5141:一一	一一	一一	uno por uno	El profesor explicó las preguntas una por una.	un par un	Le professeur a expliqué les questions une par une.	einzeln; nacheinander	Der Lehrer erklärte die Fragen einzeln.	uno per uno	L'insegnante ha spiegato le domande una per una.	um por um	O professor explicou as perguntas uma por uma.	один за другим; по очереди	Учитель разобрал вопросы один за другим.
5142:姨	姨	姨	tía materna	Mi tía viene hoy a cenar a mi casa.	tante maternelle	Ma tante vient dîner chez moi aujourd'hui.	Tante mütterlicherseits	Meine Tante kommt heute zum Abendessen zu mir.	zia materna	Mia zia viene a cena da me oggi.	tia materna	Minha tia vem jantar na minha casa hoje.	тетя по материнской линии	Сегодня моя тетя придет ко мне домой на ужин.
5146:一带	一带	一带	zona; área	Hay muchas librerías por la zona de la escuela.	secteur; région	Il y a beaucoup de librairies dans le secteur de l'école.	Gegend; Bereich	In der Gegend um die Schule gibt es viele Buchhandlungen.	zona; area	Nella zona della scuola ci sono molte librerie.	região; área	Há muitas livrarias na região da escola.	район; окрестности	В районе школы много книжных магазинов.
5147:一道	一道	一道	juntos; al mismo tiempo	Vamos juntos a ver la exposición.	ensemble; en même temps	Allons voir l'exposition ensemble.	zusammen; zugleich	Lass uns zusammen die Ausstellung ansehen.	insieme; allo stesso tempo	Andiamo insieme a vedere la mostra.	juntos; ao mesmo tempo	Vamos ver a exposição juntos.	вместе; одновременно	Давай вместе сходим на выставку.
5155:一系列	一系列	一系列	una serie de	La empresa lanzó una serie de productos nuevos.	une série de	L'entreprise a lancé une série de nouveaux produits.	eine Reihe von	Das Unternehmen brachte eine Reihe neuer Produkte auf den Markt.	una serie di	L'azienda ha lanciato una serie di nuovi prodotti.	uma série de	A empresa lançou uma série de novos produtos.	ряд; серия	Компания выпустила серию новых продуктов.
