source_headword	LO	example_LO
calculate	ຄໍານວນ	ນາງຄໍານວນຄ່າໃຊ້ຈ່າຍທັງໝົດ.
cancel	ຍົກເລີກ	ພວກເຂົາຍົກເລີກການປະຊຸມ.
cancer	ມະເຮັງ	ການກວດໄວອາດພົບມະເຮັງ.
capable	ມີຄວາມສາມາດ	ນາງມີຄວາມສາມາດນໍາທີມ.
capacity	ຄວາມຈຸ	ຫ້ອງໂຖງນີ້ມີຄວາມຈຸຫ້າຮ້ອຍຄົນ.
capture	ຈັບພາບ	ກ້ອງຈັບພາບໄດ້ຊັດ.
cast	ສະແດງ	ເຂົາຖືກເລືອກໃຫ້ສະແດງບົດຫຼັກ.
cell	ເຊວ	ແຕ່ລະເຊວມີໂຄງສ້າງຂອງມັນ.
chairman	ປະທານ	ປະທານເປີດການປະຊຸມ.
characteristic	ລັກສະນະ	ຄວາມສະຫງົບແມ່ນລັກສະນະຂອງເຂົາ.
chief	ຫຼັກ	ເຫດຜົນຫຼັກແມ່ນຂາດນ້ໍາ.
circumstance	ສະຖານະການ	ເຂົາເຮັດໄດ້ດີໃນສະຖານະການຍາກ.
cite	ອ້າງອີງ	ນັກສຶກສາອ້າງອີງສອງແຫຼ່ງ.
citizen	ພົນລະເມືອງ	ພົນລະເມືອງທຸກຄົນມີສິດເລືອກຕັ້ງ.
civil	ພົນລະເຮືອນ	ອົງການພົນລະເຮືອນຊ່ວຍຜູ້ເສຍຫາຍ.
classic	ຄລາສສິກ	ນີ້ແມ່ນຕົວຢ່າງຄລາສສິກຂອງບັນຫາ.
closely	ຢ່າງໃກ້ຊິດ	ຄູເບິ່ງວຽກຢ່າງໃກ້ຊິດ.
collapse	ພັງທະລາຍ	ອາຄານເກົ່າພັງທະລາຍຫຼັງພາຍຸ.
combination	ການປະສົມ	ການປະສົມສີນີ້ງາມ.
comfort	ຄວາມປອບໃຈ	ຄໍາເວົ້າຂອງນາງໃຫ້ຄວາມປອບໃຈ.
command	ຄໍາສັ່ງ	ເຈົ້າໜ້າທີ່ອອກຄໍາສັ່ງໃໝ່.
commission	ຄະນະກໍາມະການ	ຄະນະກໍາມະການກວດລາຍງານ.
commitment	ຄວາມມຸ່ງໝັ້ນ	ວຽກນີ້ຕ້ອງການຄວາມມຸ່ງໝັ້ນສູງ.
committee	ຄະນະກໍາມະການ	ຄະນະກໍາມະການປະຊຸມວັນສຸກ.
commonly	ໂດຍທົ່ວໄປ	ຄໍານີ້ຖືກໃຊ້ໂດຍທົ່ວໄປ.
complicated	ຊັບຊ້ອນ	ຂັ້ນຕອນນີ້ຊັບຊ້ອນເກີນໄປ.
component	ສ່ວນປະກອບ	ສ່ວນປະກອບນີ້ເສຍ.
concentration	ສະມາທິ	ສຽງດັງລົບກວນສະມາທິ.
concept	ແນວຄວາມຄິດ	ແນວຄວາມຄິດນີ້ເຂົ້າໃຈງ່າຍ.
concern	ຄວາມກັງວົນ	ຄວາມປອດໄພເປັນຄວາມກັງວົນໃຫຍ່.
concerned	ກັງວົນ	ພໍ່ແມ່ກັງວົນເລື່ອງລູກ.
conduct	ດໍາເນີນ	ທີມຈະດໍາເນີນການສຶກສາໃໝ່.
confidence	ຄວາມໝັ້ນໃຈ	ຄວາມສໍາເລັດນີ້ໃຫ້ຄວາມໝັ້ນໃຈແກ່ນາງ.
conflict	ຄວາມຂັດແຍ່ງ	ຄວາມຂັດແຍ່ງຢຸດວຽກ.
confusing	ສັບສົນ	ຄໍາແນະນໍານີ້ສັບສົນ.
conscious	ຮູ້ສຶກຕົວ	ຄົນເຈັບຍັງຮູ້ສຶກຕົວ.
conservative	ອະນຸລັກນິຍົມ	ເຂົາມີທັດສະນະອະນຸລັກນິຍົມ.
consideration	ການພິຈາລະນາ	ຂໍ້ສະເໜີນີ້ຕ້ອງການການພິຈາລະນາເພີ່ມ.
consistent	ສະໝ່ໍາສະເໝີ	ຜົນຍັງສະໝ່ໍາສະເໝີ.
constant	ຄົງທີ່	ສຽງຄົງທີ່ເຮັດໃຫ້ເຂົາເມື່ອຍ.
constantly	ຕະຫຼອດເວລາ	ນາງກວດໂທລະສັບຕະຫຼອດເວລາ.
construct	ກໍ່ສ້າງ	ບໍລິສັດຈະກໍ່ສ້າງຂົວໃໝ່.
construction	ການກໍ່ສ້າງ	ການກໍ່ສ້າງເລີ່ມເດືອນໜ້າ.
contemporary	ຮ່ວມສະໄໝ	ພິພິທະພັນສະແດງສິລະປະຮ່ວມສະໄໝ.
contest	ການແຂ່ງຂັນ	ນາງຊະນະການແຂ່ງຂັນຂຽນ.
contract	ສັນຍາ	ພວກເຂົາເຊັນສັນຍາ.
contribute	ປະກອບສ່ວນ	ທຸກຄົນປະກອບສ່ວນໃຫ້ໂຄງການໄດ້.
contribution	ການປະກອບສ່ວນ	ການປະກອບສ່ວນຂອງເຂົາມີຄ່າ.
convert	ປ່ຽນ	ໂປຣແກຣມປ່ຽນໄຟລ໌ໄດ້.
convinced	ເຊື່ອໝັ້ນ	ນາງເຊື່ອໝັ້ນວ່າໂຄງການຈະສໍາເລັດ.
core	ແກນຫຼັກ	ທີມແກນຫຼັກຍັງຄົງເດີມ.
corporate	ບໍລິສັດ	ການຕັດສິນໃຈບໍລິສັດຖືກປະກາດ.
council	ສະພາ	ສະພາອະນຸມັດງົບປະມານ.
county	ເຂດ	ເຂດນີ້ເປີດສູນໃໝ່.
courage	ຄວາມກ້າຫານ	ນາງສະແດງຄວາມກ້າຫານຫຼາຍ.
crash	ການຊົນ	ການຊົນເກີດຂຶ້ນເຊົ້ານີ້.
creation	ການສ້າງ	ການສ້າງວຽກໃໝ່ເປັນເປົ້າໝາຍຫຼັກ.
creature	ສັດ	ສັດປະຫຼາດຢູ່ໃນເລື່ອງນີ້.
crew	ລູກເຮືອ	ລູກເຮືອກຽມເຮືອບິນ.
crisis	ວິກິດ	ວິກິດນີ້ຕ້ອງການຄໍາຕອບໄວ.
criterion	ເກນ	ຄຸນນະພາບເປັນເກນສໍາຄັນ.
critic	ນັກວິຈານ	ນັກວິຈານຊົມໜັງນີ້.
critical	ສໍາຄັນຫຼາຍ	ຊົ່ວໂມງທໍາອິດສໍາຄັນຫຼາຍ.
criticism	ການວິຈານ	ການວິຈານຊ່ວຍໃຫ້ທີມປັບປຸງ.
criticize	ວິຈານ	ເຂົາບໍ່ຢາກວິຈານເພື່ອນຮ່ວມງານ.
crop	ພືດຜົນ	ພືດຜົນປີນີ້ເຕີບໂຕດີ.
crucial	ສໍາຄັນຢ່າງຍິ່ງ	ຂໍ້ມູນນີ້ສໍາຄັນຢ່າງຍິ່ງຕໍ່ການຕັດສິນໃຈ.
cure	ຮັກສາ	ຢານີ້ຮັກສາອາການໄດ້.
curve	ເສັ້ນໂຄ້ງ	ຖະໜົນມີເສັ້ນໂຄ້ງໃຫຍ່.
curved	ໂຄ້ງ	ກະຈົກມີຮູບໂຄ້ງ.
debate	ການໂຕ້ວາທີ	ການໂຕ້ວາທີດໍາເນີນໜຶ່ງຊົ່ວໂມງ.
debt	ໜີ້ສິນ	ເຂົາກໍາລັງຈ່າຍໜີ້ສິນ.
decent	ພໍດີ	ພວກເຂົາມີເງິນເດືອນພໍດີ.
declare	ປະກາດ	ເມືອງປະກາດພາວະສຸກເສີນ.
decline	ຫຼຸດລົງ	ຍອດຂາຍຫຼຸດລົງເດືອນກ່ອນ.
decoration	ການຕົກແຕ່ງ	ການຕົກແຕ່ງຫ້ອງເບິ່ງສວຍ.
decrease	ຫຼຸດລົງ	ລາຄາຫຼຸດລົງເລັກນ້ອຍ.
deeply	ຢ່າງເລິກຊຶ້ງ	ນາງກັງວົນຢ່າງເລິກຊຶ້ງ.
defeat	ຄວາມພ່າຍແພ້	ທີມພົບຄວາມພ່າຍແພ້ໃນນັດສຸດທ້າຍ.
defence	ການປ້ອງກັນ	ການປ້ອງກັນຂອງທີມຍັງແຂງແຮງ.
defend	ປ້ອງກັນ	ທະນາຍຄວາມປ້ອງກັນລູກຄວາມ.
delay	ຊັກຊ້າ	ຝົນເຮັດໃຫ້ການເດີນທາງຊັກຊ້າ.
deliberate	ໂດຍເຈດຕະນາ	ນີ້ບໍ່ແມ່ນຄວາມຜິດໂດຍເຈດຕະນາ.
deliberately	ຢ່າງຈົງໃຈ	ເຂົາເວົ້າຊ້າຢ່າງຈົງໃຈ.
delight	ຄວາມຍິນດີ	ຂອງຂວັນນັ້ນນໍາຄວາມຍິນດີມາໃຫ້.
delighted	ດີໃຈ	ນາງດີໃຈກັບຂ່າວດີ.
delivery	ການຈັດສົ່ງ	ການຈັດສົ່ງມາຮອດເຊົ້ານີ້.
demand	ຄວາມຕ້ອງການ	ຄວາມຕ້ອງການຫ້ອງຮຽນນີ້ສູງ.
demonstrate	ສະແດງ	ຄູສະແດງວິທີໃໝ່.
deny	ປະຕິເສດ	ເຂົາປະຕິເສດຂໍ້ກ່າວຫາ.
depressed	ຊຶມເສົ້າ	ນາງຮູ້ສຶກຊຶມເສົ້າຫຼັງພ່າຍແພ້.
depressing	ເຮັດໃຫ້ຊຶມເສົ້າ	ຂ່າວນັ້ນເຮັດໃຫ້ຊຶມເສົ້າ.
depth	ຄວາມເລິກ	ພວກເຂົາວັດຄວາມເລິກຂອງນ້ໍາ.
deserve	ສົມຄວນໄດ້ຮັບ	ນາງສົມຄວນໄດ້ຮັບຄໍາຊົມ.
desire	ຄວາມປາຖະໜາ	ເຂົາມີຄວາມປາຖະໜາຈະເດີນທາງ.
desperate	ໝົດຫວັງ	ພວກເຂົາໝົດຫວັງໃນການຫາຄວາມຊ່ວຍ.
detailed	ລະອຽດ	ລາຍງານລະອຽດຖືກສົ່ງແລ້ວ.
detect	ກວດພົບ	ອຸປະກອນກວດພົບຄວັນໄດ້.
dig	ຂຸດ	ພວກເຂົາຂຸດຂຸມໃນສວນ.
disc	ແຜ່ນດິດ	ໃສ່ແຜ່ນດິດໃນເຄື່ອງ.
discipline	ວິນັຍ	ກິລານີ້ຕ້ອງການວິນັຍຫຼາຍ.
dishonest	ບໍ່ຊື່ສັດ	ພຶດຕິກໍາບໍ່ຊື່ສັດທໍາລາຍຄວາມເຊື່ອໃຈ.
dismiss	ປະຕິເສດ	ຜູ້ຈັດການປະຕິເສດຂໍ້ສະເໜີນີ້.
display	ສະແດງ	ຮ້ານສະແດງສິນຄ້າໃໝ່.
distribute	ແຈກຢາຍ	ພວກເຂົາແຈກຢາຍອາຫານໃຫ້ຄອບຄົວ.
distribution	ການແຈກຢາຍ	ການແຈກຢາຍສິນຄ້າຊັກຊ້າ.
district	ເມືອງ	ເມືອງນີ້ມີໂຮງຮຽນໃໝ່.
division	ການແບ່ງ	ການແບ່ງວຽກຊັດເຈນ.
domestic	ພາຍໃນປະເທດ	ຕະຫຼາດພາຍໃນປະເທດກໍາລັງເຕີບໂຕ.
dominate	ຄອບງໍາ	ທີມໜຶ່ງຄອບງໍາການແຂ່ງຂັນ.
downwards	ລົງລຸ່ມ	ລາຄາຕົກລົງລຸ່ມຢ່າງໄວ.
dozen	ສິບສອງ	ນາງຊື້ໄຂ່ສິບສອງໜ່ວຍ.
draft	ຮ່າງ	ເຂົາສົ່ງຮ່າງທໍາອິດ.
drag	ລາກ	ເຂົາລາກຕັ່ງເຂົ້າໃກ້ໂຕະ.
dramatic	ນ່າຕື່ນເຕັ້ນ	ການປ່ຽນແປງນີ້ນ່າຕື່ນເຕັ້ນ.
edit	ແກ້ໄຂ	ນາງແກ້ໄຂບົດຄວາມກ່ອນພິມ.
edition	ສະບັບ	ສະບັບໃໝ່ມີຮູບເພີ່ມ.
efficient	ມີປະສິດທິພາບ	ວິທີນີ້ມີປະສິດທິພາບກວ່າ.
elderly	ສູງອາຍຸ	ອາສາສະໝັກຊ່ວຍຄົນສູງອາຍຸ.
elect	ເລືອກຕັ້ງ	ພວກເຂົາຈະເລືອກຕັ້ງປະທານໃໝ່.
elsewhere	ບ່ອນອື່ນ	ເຂົາຫາວຽກຢູ່ບ່ອນອື່ນ.
emerge	ປາກົດ	ຂໍ້ເທັດຈິງໃໝ່ປາກົດຂຶ້ນ.
emotional	ທາງອາລົມ	ນັ້ນເປັນເວລາທາງອາລົມສໍາລັບຄອບຄົວ.
emphasis	ການເນັ້ນ	ຄູໃຫ້ການເນັ້ນການຝຶກ.
emphasize	ເນັ້ນ	ນາງເນັ້ນເລື່ອງຄວາມປອດໄພ.
enable	ເຮັດໃຫ້ສາມາດ	ໂປຣແກຣມນີ້ເຮັດໃຫ້ສາມາດບັນທຶກໄຟລ໌.
encounter	ພົບ	ພວກເຮົາພົບບັນຫານ້ອຍໜຶ່ງ.
engage	ມີສ່ວນຮ່ວມ	ນັກຮຽນມີສ່ວນຮ່ວມຢ່າງຫ້າວຫັນ.
enhance	ປັບປຸງ	ການຝຶກອົບຮົມປັບປຸງທັກສະໄດ້.
enquiry	ຄໍາສອບຖາມ	ຫ້ອງການຕອບຄໍາສອບຖາມ.
ensure	ຮັບປະກັນ	ກະລຸນາຮັບປະກັນວ່າປິດປະຕູແລ້ວ.
enthusiasm	ຄວາມກະຕືລືລົ້ນ	ຄວາມກະຕືລືລົ້ນຂອງນາງກະຕຸ້ນທີມ.
enthusiastic	ກະຕືລືລົ້ນ	ນັກຮຽນກະຕືລືລົ້ນກັບໂຄງການ.
entire	ທັງໝົດ	ທີມທັງໝົດເຂົ້າຮ່ວມ.
entirely	ທັງໝົດ	ຂ້ອຍບໍ່ເຫັນດີທັງໝົດ.
establish	ກໍ່ຕັ້ງ	ພວກເຂົາຢາກກໍ່ຕັ້ງບໍລິສັດໃໝ່.
estate	ອະສັງຫາລິມະຊັບ	ຄອບຄົວຂາຍອະສັງຫາລິມະຊັບ.
estimate	ປະເມີນ	ພວກເຮົາປະເມີນຄ່າໃຊ້ຈ່າຍປະມານໜຶ່ງພັນໂດລາ.
ethical	ຈັນຍາບັນ	ການຕັດສິນໃຈນີ້ມີບັນຫາຈັນຍາບັນ.
evaluate	ປະເມີນ	ຜູ້ຊ່ຽວຊານຈະປະເມີນຜົນ.
evil	ຊົ່ວຮ້າຍ	ຕົວລະຄອນຊົ່ວຮ້າຍໃນເລື່ອງນີ້ອັນຕະລາຍ.
examination	ການສອບເສັງ	ການສອບເສັງເລີ່ມເວລາເກົ້າໂມງ.
excuse	ຂໍ້ແກ້ຕົວ	ເຂົາໃຫ້ຂໍ້ແກ້ຕົວສໍາລັບການມາຊ້າ.
executive	ຜູ້ບໍລິຫານ	ຜູ້ບໍລິຫານເວົ້າກັບພະນັກງານ.
existence	ການມີຢູ່	ຫຼັກຖານຢືນຢັນການມີຢູ່ຂອງບັນຫາ.
expectation	ຄວາມຄາດຫວັງ	ຜົນເກີນຄວາມຄາດຫວັງ.
expense	ຄ່າໃຊ້ຈ່າຍ	ການເດີນທາງນີ້ມີຄ່າໃຊ້ຈ່າຍສູງ.
exploration	ການສໍາຫຼວດ	ການສໍາຫຼວດພື້ນທີ່ນີ້ເລີ່ມມື້ອື່ນ.
expose	ເປີດເຜີຍ	ລາຍງານເປີດເຜີຍຄວາມຜິດ.
extend	ຂະຫຍາຍ	ພວກເຂົາຈະຂະຫຍາຍຖະໜົນ.
extent	ຂອບເຂດ	ພວກເຮົາບໍ່ຮູ້ຂອບເຂດຄວາມເສຍຫາຍ.
external	ພາຍນອກ	ທີມພາຍນອກຈະກວດລະບົບ.
extraordinary	ພິເສດຫຼາຍ	ນາງມີຄວາມສາມາດພິເສດຫຼາຍ.
facility	ສະຖານທີ່	ສະຖານທີ່ນີ້ມີອຸປະກອນທັນສະໄໝ.
failure	ຄວາມລົ້ມເຫຼວ	ຄວາມລົ້ມເຫຼວນີ້ໃຫ້ບົດຮຽນສໍາຄັນ.
faith	ສັດທາ	ເຂົາມີສັດທາໃນທີມ.
fault	ຄວາມຜິດ	ນັ້ນບໍ່ແມ່ນຄວາມຜິດຂອງເຈົ້າ.
feather	ຂົນນົກ	ຂົນນົກອັນໜຶ່ງຕົກລົງພື້ນ.
fee	ຄ່າທໍານຽມ	ຄ່າທໍານຽມຕ້ອງຈ່າຍກ່ອນ.
feedback	ຄໍາຕິຊົມ	ຄູໃຫ້ຄໍາຕິຊົມລະອຽດ.
fellow	ເພື່ອນຮ່ວມ	ເຂົາຊ່ວຍເພື່ອນຮ່ວມທີມ.
finance	ການເງິນ	ພະແນກການເງິນກວດງົບປະມານ.
finding	ການຄົ້ນພົບ	ການຄົ້ນພົບໃໝ່ປ່ຽນມຸມມອງ.
firm	ບໍລິສັດ	ບໍລິສັດຈ້າງພະນັກງານໃໝ່.
flame	ແປວໄຟ	ແປວໄຟນ້ອຍລຸກຢູ່ເຕົາ.
flash	ແສງວາບ	ແສງວາບສ່ອງຫ້ອງ.
flexible	ຍືດຫຍຸ່ນ	ຕາຕະລາງນີ້ຍືດຫຍຸ່ນ.
float	ລອຍ	ໃບໄມ້ລອຍຢູ່ນ້ໍາ.
folding	ພັບໄດ້	ຕັ່ງພັບໄດ້ພົກງ່າຍ.
forgive	ໃຫ້ອະໄພ	ນາງໃຫ້ອະໄພເຂົາ.
former	ອະດີດ	ອະດີດປະທານເຂົ້າຮ່ວມພິທີ.
fortune	ໂຊກ	ໂຊກຊ່ວຍພວກເຂົາໃນມື້ນັ້ນ.
found	ກໍ່ຕັ້ງ	ພວກເຂົາກໍ່ຕັ້ງໂຮງຮຽນໃໝ່.
freedom	ເສລີພາບ	ເສລີພາບໃນການເວົ້າສໍາຄັນຫຼາຍ.
frequency	ຄວາມຖີ່	ຄວາມຖີ່ຂອງການຝຶກເພີ່ມຂຶ້ນ.
fully	ຢ່າງເຕັມທີ່	ເຂົາເຂົ້າໃຈສະຖານະການຢ່າງເຕັມທີ່.
fund	ກອງທຶນ	ກອງທຶນນີ້ຊ່ວຍນັກຮຽນຍາກຈົນ.
fundamental	ພື້ນຖານ	ການອ່ານເປັນທັກສະພື້ນຖານ.
funding	ເງິນທຶນ	ໂຄງການຕ້ອງການເງິນທຶນເພີ່ມ.
furthermore	ນອກຈາກນັ້ນ	ນອກຈາກນັ້ນລາຄາຍັງຕໍ່າກວ່າ.
gain	ໄດ້ຮັບ	ເຂົາໄດ້ຮັບປະສົບການຢ່າງໄວ.
gang	ແກ໊ງ	ຕໍາຫຼວດຈັບແກ໊ງນັ້ນ.
generate	ສ້າງ	ເຄື່ອງຈັກສ້າງພະລັງງານໄດ້.
genre	ປະເພດ	ປະເພດດົນຕີນີ້ນິຍົມ.
govern	ປົກຄອງ	ກົດເຫຼົ່ານີ້ປົກຄອງຕະຫຼາດ.
grab	ຄວ້າ	ນາງຄວ້າກະເປົາທັນທີ.
gradually	ຄ່ອຍໆ	ອາກາດອຸ່ນຂຶ້ນຄ່ອຍໆ.
grand	ຍິ່ງໃຫຍ່	ໂຮງແຮມມີທາງເຂົ້າຍິ່ງໃຫຍ່.
grant	ໃຫ້	ລັດຖະບານໃຫ້ເງິນຊ່ວຍເຫຼືອ.
guarantee	ຮັບປະກັນ	ຮ້ານຮັບປະກັນຄຸນນະພາບສິນຄ້າ.
handle	ຈັດການ	ນາງຈັດການສະຖານະການຍາກໄດ້.
harm	ອັນຕະລາຍ	ການສູບຢາອາດກໍ່ອັນຕະລາຍ.
harmful	ເປັນອັນຕະລາຍ	ຄວັນນີ້ເປັນອັນຕະລາຍຕໍ່ເດັກ.
hearing	ການໄດ້ຍິນ	ການໄດ້ຍິນຂອງເຂົາອ່ອນລົງ.
heaven	ສະຫວັນ	ພວກເຂົາບອກວ່າສວນນີ້ຄືສະຫວັນ.
heel	ສົ້ນຕີນ	ສົ້ນຕີນຂອງນາງເຈັບຫຼັງຍ່າງດົນ.
hell	ນະລົກ	ບ່ອນນັ້ນຮ້ອນຄືນະລົກ.
hesitate	ລັງເລ	ຢ່າລັງເລທີ່ຈະຖາມ.
hollow	ກວງ	ຕົ້ນໄມ້ເກົ່າກວງຂ້າງໃນ.
holy	ສັກສິດ	ພວກເຂົາເຂົ້າໄປສະຖານທີ່ສັກສິດ.
honour	ກຽດ	ນີ້ເປັນກຽດສໍາລັບເຂົາ.
household	ຄົວເຮືອນ	ທຸກຄົວເຮືອນໄດ້ຮັບຈົດໝາຍ.
housing	ທີ່ຢູ່ອາໄສ	ເມືອງຕ້ອງການທີ່ຢູ່ອາໄສເພີ່ມ.
humorous	ຕະຫຼົກ	ເລື່ອງນີ້ມີນ້ໍາສຽງຕະຫຼົກ.
humour	ອາລົມຂັນ	ອາລົມຂັນຂອງເຂົາເຮັດໃຫ້ທຸກຄົນຫົວ.
